" Daily soil water balance output for Almonds in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almonds at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","717.22","0.54","0.0","0.0","2.23","0.54","1.19","0.0","0.0","0.0","0.0","21.95","26.4","498.58","249.29","476.63","472.18","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","717.22","0.51","0.0","0.0","2.77","0.51","1.41","0.0","0.0","0.0","0.0","23.36","26.4","498.58","249.29","475.22","472.18","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","717.22","0.49","0.0","0.0","2.41","0.49","1.18","0.0","0.0","0.0","0.0","24.54","26.4","498.58","249.29","474.04","472.18","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","717.22","0.47","0.0","0.0","2.19","0.47","1.04","0.0","0.0","0.0","0.0","25.58","26.4","498.58","249.29","473.0","472.18","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","717.22","0.46","0.0","0.0","2.81","0.46","1.28","0.0","0.0","0.0","0.0","26.86","26.4","498.58","249.29","471.72","472.18","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","717.22","1.14","0.0","0.0","1.99","1.14","2.27","11.41","11.41","0.0","0.0","15.45","26.4","498.58","249.29","483.13","472.18","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","717.22","1.14","0.0","0.0","1.8","1.14","2.06","0.6","0.6","0.0","0.0","16.91","26.4","498.58","249.29","481.67","472.18","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","717.22","1.15","0.0","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","18.96","26.4","498.58","249.29","479.62","472.18","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","717.22","1.01","0.0","0.0","2.02","1.01","2.04","0.0","0.0","0.0","0.0","21.0","26.4","498.58","249.29","477.58","472.18","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","717.22","0.87","0.0","0.0","2.59","0.87","2.25","0.0","0.0","0.0","0.0","23.25","26.4","498.58","249.29","475.33","472.18","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","717.22","0.78","0.0","0.0","2.54","0.78","1.97","0.0","0.0","0.0","0.0","25.22","26.4","498.58","249.29","473.36","472.18","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","717.22","0.71","0.0","0.0","2.3","0.71","1.64","0.0","0.0","0.0","0.0","26.86","26.4","498.58","249.29","471.72","472.18","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","717.22","0.66","0.0","0.0","2.39","0.66","1.58","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","717.22","0.62","0.0","0.0","2.38","0.62","1.48","0.0","0.0","0.0","0.0","27.88","26.4","498.58","249.29","470.7","472.18","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","717.22","0.59","0.0","0.0","2.47","0.59","1.45","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","717.22","0.56","0.0","0.0","1.98","0.56","1.11","0.0","0.0","0.0","0.0","27.51","26.4","498.58","249.29","471.07","472.18","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","717.22","0.53","0.0","0.0","2.66","0.53","1.42","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","717.22","0.51","0.0","0.0","2.99","0.51","1.51","0.0","0.0","0.0","0.0","27.91","26.4","498.58","249.29","470.67","472.18","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","717.22","0.48","0.0","0.0","2.58","0.48","1.25","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","717.22","0.47","0.0","0.0","2.01","0.47","0.95","0.0","0.0","0.0","0.0","27.35","26.4","498.58","249.29","471.23","472.18","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","717.22","0.46","0.0","0.0","1.57","0.46","0.72","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","717.22","1.17","0.0","0.0","1.33","1.17","1.55","8.94","8.94","0.0","0.0","19.01","26.4","498.58","249.29","479.57","472.18","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","717.22","1.13","0.0","0.0","2.35","1.13","2.65","15.39","15.39","0.0","0.0","6.27","26.4","498.58","249.29","492.31","472.18","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","717.22","1.16","0.0","0.0","1.45","1.16","1.68","11.15","7.95","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","717.22","1.14","0.0","0.0","1.96","1.14","2.24","2.39","2.24","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","717.22","1.14","0.0","0.0","2.13","1.14","2.42","0.0","0.0","0.0","0.0","2.42","26.4","498.58","249.29","496.16","472.18","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","717.22","1.14","0.0","0.0","1.68","1.14","1.92","0.63","0.63","0.0","0.0","3.71","26.4","498.58","249.29","494.87","472.18","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","717.22","1.15","0.0","0.0","1.74","1.15","2.0","1.88","1.88","0.0","0.0","3.84","26.4","498.58","249.29","494.74","472.18","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","717.22","1.15","0.0","0.0","1.85","1.15","2.12","4.36","4.36","0.0","0.0","1.6","26.4","498.58","249.29","496.98","472.18","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","717.22","1.17","0.0","0.0","1.21","1.17","1.42","6.19","3.01","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","717.22","1.12","0.0","0.0","2.5","1.12","2.8","12.58","2.8","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","717.22","1.11","0.0","0.0","2.97","1.11","3.3","0.0","0.0","0.0","0.0","3.3","26.4","498.58","249.29","495.28","472.18","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","717.22","0.93","0.0","0.0","3.12","0.93","2.91","0.0","0.0","0.0","0.0","6.21","26.4","498.58","249.29","492.37","472.18","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","717.22","0.8","0.0","0.0","3.16","0.8","2.52","0.0","0.0","0.0","0.0","8.73","26.4","498.58","249.29","489.85","472.18","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","717.22","0.71","0.0","0.0","3.01","0.71","2.14","0.0","0.0","0.0","0.0","10.86","26.4","498.58","249.29","487.72","472.18","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","717.22","0.65","0.0","0.0","2.88","0.65","1.87","0.0","0.0","0.0","0.0","12.74","26.4","498.58","249.29","485.84","472.18","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","717.22","0.61","0.0","0.0","2.45","0.61","1.49","0.0","0.0","0.0","0.0","14.23","26.4","498.58","249.29","484.35","472.18","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","717.22","0.58","0.0","0.0","2.48","0.58","1.43","0.81","0.81","0.0","0.0","14.85","26.4","498.58","249.29","483.73","472.18","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","717.22","0.54","0.0","0.0","3.02","0.54","1.63","1.9","1.9","0.0","0.0","14.58","26.4","498.58","249.29","484.0","472.18","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","717.22","0.51","0.0","0.0","3.33","0.51","1.69","0.0","0.0","0.0","0.0","16.27","26.4","498.58","249.29","482.31","472.18","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","717.22","0.48","0.0","0.0","3.2","0.48","1.54","0.0","0.0","0.0","0.0","17.81","26.4","498.58","249.29","480.77","472.18","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","717.22","0.46","0.0","0.0","3.57","0.46","1.63","0.0","0.0","0.0","0.0","19.44","26.4","498.58","249.29","479.14","472.18","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","717.22","0.43","0.0","0.0","4.13","0.43","1.78","0.0","0.0","0.0","0.0","21.23","26.4","498.58","249.29","477.35","472.18","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","717.22","0.41","0.0","0.0","3.54","0.41","1.46","0.0","0.0","0.0","0.0","22.69","26.4","498.58","249.29","475.89","472.18","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","717.22","0.4","0.0","0.0","3.45","0.4","1.37","0.0","0.0","0.0","0.0","24.06","26.4","498.58","249.29","474.52","472.18","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","717.22","0.38","0.0","0.0","3.66","0.38","1.4","0.0","0.0","0.0","0.0","25.46","26.4","498.58","249.29","473.12","472.18","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","717.22","0.37","0.0","0.0","3.45","0.37","1.28","0.0","0.0","0.0","0.0","26.74","26.4","498.58","249.29","471.84","472.18","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","717.22","0.36","0.0","0.0","3.71","0.36","1.33","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","717.22","0.35","0.0","0.0","3.62","0.35","1.26","0.0","0.0","0.0","0.0","27.66","26.4","498.58","249.29","470.92","472.18","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","717.22","0.34","0.0","0.0","3.76","0.34","1.27","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","717.22","0.33","0.0","0.0","3.92","0.33","1.28","0.0","0.0","0.0","0.0","27.68","26.4","498.58","249.29","470.9","472.18","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","717.22","0.32","0.0","0.0","4.15","0.32","1.32","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","717.22","0.31","0.0","0.0","5.31","0.31","1.62","0.0","0.0","0.0","0.0","28.02","26.4","498.58","249.29","470.56","472.18","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","717.22","0.3","0.0","0.0","4.82","0.3","1.43","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","717.22","0.29","0.0","0.0","4.09","0.29","1.18","0.0","0.0","0.0","0.0","27.58","26.4","498.58","249.29","471.0","472.18","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","717.22","0.28","0.0","0.0","3.17","0.28","0.9","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","717.22","1.15","0.0","0.0","1.67","1.15","1.93","10.08","10.08","0.0","0.0","18.25","26.4","498.58","249.29","480.33","472.18","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","717.22","1.15","0.0","0.0","1.79","1.15","2.06","22.52","20.3","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","717.22","1.13","0.0","0.0","2.63","1.13","2.98","0.5","0.5","0.0","0.0","2.48","26.4","498.58","249.29","496.1","472.18","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","717.22","0.98","0.0","0.0","3.39","0.98","3.33","0.0","0.0","0.0","0.0","5.81","26.4","498.58","249.29","492.77","472.18","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","717.22","0.79","0.0","0.0","4.11","0.79","3.25","0.0","0.0","0.0","0.0","9.06","26.4","498.58","249.29","489.52","472.18","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","717.22","0.68","0.0","0.0","4.09","0.68","2.78","0.6","0.6","0.0","0.0","11.23","26.4","498.58","249.29","487.35","472.18","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","717.22","0.58","0.55","0.0","5.31","0.58","3.1","0.0","0.0","0.0","0.0","14.34","113.73","498.58","249.29","484.24","384.85","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","717.22","0.52","0.56","0.0","5.03","0.56","2.8","0.0","0.0","0.0","0.0","17.13","113.73","498.58","249.29","481.45","384.85","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","717.22","0.48","0.56","0.0","4.83","0.56","2.71","0.0","0.0","0.0","0.0","19.85","113.73","498.58","249.29","478.73","384.85","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","717.22","0.44","0.57","0.0","5.14","0.57","2.92","0.0","0.0","0.0","0.0","22.77","113.73","498.58","249.29","475.81","384.85","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","717.22","0.42","0.57","0.0","4.86","0.57","2.79","0.0","0.0","0.0","0.0","25.56","113.73","498.58","249.29","473.02","384.85","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","717.22","0.39","0.58","0.0","5.01","0.58","2.91","0.0","0.0","0.0","0.0","28.46","113.73","498.58","249.29","470.12","384.85","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","717.22","0.38","0.59","0.0","3.57","0.59","2.09","0.0","0.0","0.0","0.0","30.55","113.73","498.58","249.29","468.03","384.85","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","717.22","0.37","0.59","0.0","2.93","0.59","1.73","0.0","0.0","0.0","0.0","32.29","113.73","498.58","249.29","466.29","384.85","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","717.22","1.07","0.6","0.0","3.8","1.07","4.06","4.37","4.37","0.0","0.0","31.98","113.73","498.58","249.29","466.6","384.85","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","717.22","0.93","0.6","0.0","4.41","0.93","4.11","0.0","0.0","0.0","0.0","36.09","113.73","498.58","249.29","462.49","384.85","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","717.22","0.72","0.61","0.0","5.33","0.72","3.84","0.0","0.0","0.0","0.0","39.93","113.73","498.58","249.29","458.65","384.85","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","717.22","0.62","0.62","0.0","4.64","0.62","2.88","0.0","0.0","0.0","0.0","42.81","113.73","498.58","249.29","455.77","384.85","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","717.22","0.57","0.62","0.0","3.74","0.62","2.33","1.02","1.02","0.0","0.0","44.12","113.73","498.58","249.29","454.46","384.85","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","717.22","0.51","0.63","0.0","5.44","0.63","3.42","0.06","0.06","0.0","0.0","47.47","113.73","498.58","249.29","451.11","384.85","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","717.22","0.47","0.63","0.0","4.83","0.63","3.06","0.0","0.0","0.0","0.0","50.54","113.73","498.58","249.29","448.04","384.85","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","717.22","0.42","0.64","0.0","7.02","0.64","4.49","0.0","0.0","0.0","0.0","55.03","113.73","498.58","249.29","443.55","384.85","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","717.22","0.39","0.65","0.0","5.56","0.65","3.59","0.0","0.0","0.0","0.0","58.62","113.73","498.58","249.29","439.96","384.85","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","717.22","0.37","0.65","0.0","5.08","0.65","3.31","0.0","0.0","0.0","0.0","61.93","113.73","498.58","249.29","436.65","384.85","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","717.22","0.36","0.66","0.0","4.27","0.66","2.81","0.0","0.0","0.0","0.0","64.74","113.73","498.58","249.29","433.84","384.85","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","717.22","0.34","0.66","0.0","4.46","0.66","2.96","0.0","0.0","0.0","0.0","67.7","113.73","498.58","249.29","430.88","384.85","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","717.22","0.34","0.67","0.0","2.51","0.67","1.68","0.0","0.0","0.0","0.0","69.39","113.73","498.58","249.29","429.19","384.85","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","717.22","0.33","0.68","0.0","1.88","0.68","1.27","0.33","0.33","0.0","0.0","70.33","113.73","498.58","249.29","428.25","384.85","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","717.22","1.14","0.68","0.0","2.02","1.14","2.3","5.71","5.71","0.0","0.0","66.92","113.73","498.58","249.29","431.66","384.85","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","717.22","1.12","0.69","0.0","3.22","1.12","3.59","0.88","0.88","0.0","0.0","69.63","113.73","498.58","249.29","428.95","384.85","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","717.22","0.87","0.69","0.0","4.58","0.87","3.97","0.0","0.0","0.0","0.0","73.59","113.73","498.58","249.29","424.98","384.85","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","717.22","0.69","0.7","0.0","5.26","0.7","3.68","0.0","0.0","0.0","0.0","77.28","113.73","498.58","249.29","421.3","384.85","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","717.22","0.59","0.71","0.0","5.52","0.71","3.9","0.0","0.0","0.0","0.0","81.17","113.73","498.58","249.29","417.41","384.85","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","717.22","0.52","0.71","0.0","5.57","0.71","3.97","0.0","0.0","0.0","0.0","85.14","113.73","498.58","249.29","413.44","384.85","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","717.22","0.47","0.72","0.0","5.2","0.72","3.73","0.0","0.0","0.0","0.0","88.87","113.73","498.58","249.29","409.71","384.85","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","717.22","0.44","0.72","0.0","4.93","0.72","3.57","0.0","0.0","0.0","0.0","92.44","113.73","498.58","249.29","406.14","384.85","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","717.22","0.41","0.73","0.0","5.35","0.73","3.91","0.0","0.0","0.0","0.0","96.35","113.73","498.58","249.29","402.23","384.85","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","717.22","0.38","0.74","0.0","6.32","0.74","4.65","0.0","0.0","0.0","0.0","101.0","113.73","498.58","249.29","397.58","384.85","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","717.22","0.35","0.74","0.0","7.24","0.74","5.37","0.0","0.0","0.0","0.0","106.37","113.73","498.58","249.29","392.21","384.85","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","717.22","0.33","0.75","0.0","6.77","0.75","5.06","0.0","0.0","0.0","0.0","111.44","113.73","498.58","249.29","387.14","384.85","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","717.22","0.32","0.75","0.0","6.08","0.75","4.58","0.0","0.0","0.0","0.0","0.0","113.73","498.58","249.29","498.58","384.85","116.02","","","","","","",""
"2016.0","5.0","20.0","141.0","717.22","0.31","0.76","0.0","4.95","0.76","3.76","0.0","0.0","0.0","0.0","3.76","113.73","498.58","249.29","494.82","384.85","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","717.22","0.3","0.77","0.0","3.91","0.77","3.0","0.0","0.0","0.0","0.0","6.76","113.73","498.58","249.29","491.82","384.85","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","717.22","0.29","0.77","0.0","4.27","0.77","3.3","0.01","0.01","0.0","0.0","10.04","113.73","498.58","249.29","488.54","384.85","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","717.22","0.28","0.78","0.0","4.9","0.78","3.81","0.0","0.0","0.0","0.0","13.86","113.73","498.58","249.29","484.72","384.85","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","717.22","0.28","0.78","0.0","4.88","0.78","3.83","0.0","0.0","0.0","0.0","17.68","113.73","498.58","249.29","480.9","384.85","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","717.22","0.27","0.79","0.0","5.16","0.79","4.08","0.0","0.0","0.0","0.0","21.76","113.73","498.58","249.29","476.82","384.85","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","717.22","0.26","0.8","0.0","5.46","0.8","4.35","0.0","0.0","0.0","0.0","26.1","113.73","498.58","249.29","472.48","384.85","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","717.22","0.25","0.8","0.0","5.87","0.8","4.71","0.0","0.0","0.0","0.0","30.81","113.73","498.58","249.29","467.77","384.85","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","717.22","0.24","0.81","0.0","6.71","0.81","5.42","0.0","0.0","0.0","0.0","36.23","113.73","498.58","249.29","462.35","384.85","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","717.22","0.24","0.81","0.0","6.25","0.81","5.09","0.0","0.0","0.0","0.0","41.32","113.73","498.58","249.29","457.26","384.85","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","717.22","0.23","0.82","0.0","6.48","0.82","5.31","0.0","0.0","0.0","0.0","46.63","113.73","498.58","249.29","451.95","384.85","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","717.22","0.23","0.83","0.0","6.79","0.83","5.61","0.0","0.0","0.0","0.0","52.24","113.73","498.58","249.29","446.34","384.85","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","717.22","0.22","0.83","0.0","6.66","0.83","5.54","0.0","0.0","0.0","0.0","57.78","113.73","498.58","249.29","440.8","384.85","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","717.22","0.21","0.84","0.0","6.66","0.84","5.58","0.0","0.0","0.0","0.0","63.37","113.73","498.58","249.29","435.21","384.85","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","717.22","0.21","0.84","0.0","7.06","0.84","5.96","0.0","0.0","0.0","0.0","69.32","113.73","498.58","249.29","429.26","384.85","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","717.22","0.21","0.85","0.0","5.11","0.85","4.34","0.0","0.0","0.0","0.0","73.67","113.73","498.58","249.29","424.91","384.85","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","717.22","0.2","0.86","0.0","7.26","0.86","6.21","0.0","0.0","0.0","0.0","79.88","113.73","498.58","249.29","418.7","384.85","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","717.22","0.2","0.86","0.0","6.66","0.86","5.74","0.0","0.0","0.0","0.0","85.62","113.73","498.58","249.29","412.96","384.85","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","717.22","0.19","0.87","0.0","6.41","0.87","5.56","0.0","0.0","0.0","0.0","91.19","113.73","498.58","249.29","407.39","384.85","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","717.22","0.19","0.87","0.0","6.1","0.87","5.33","0.0","0.0","0.0","0.0","96.52","113.73","498.58","249.29","402.06","384.85","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","717.22","0.19","0.88","0.0","5.92","0.88","5.21","0.0","0.0","0.0","0.0","101.73","113.73","498.58","249.29","396.85","384.85","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","717.22","0.18","0.89","0.0","6.34","0.89","5.62","0.0","0.0","0.0","0.0","107.35","113.73","498.58","249.29","391.23","384.85","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","717.22","0.18","0.89","0.0","6.63","0.89","5.91","0.0","0.0","0.0","0.0","113.26","113.73","498.58","249.29","385.32","384.85","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","717.22","0.18","0.9","0.0","6.49","0.9","5.83","0.0","0.0","0.0","0.0","0.0","113.73","498.58","249.29","498.58","384.85","119.09","","","","","","",""
"2016.0","6.0","13.0","165.0","717.22","0.18","0.9","0.0","6.18","0.9","5.59","0.0","0.0","0.0","0.0","5.59","113.73","498.58","249.29","492.99","384.85","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","717.22","0.17","0.91","0.0","6.18","0.91","5.62","0.0","0.0","0.0","0.0","11.21","113.73","498.58","249.29","487.37","384.85","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","717.22","0.17","0.92","0.0","5.33","0.92","4.88","0.0","0.0","0.0","0.0","16.09","113.73","498.58","249.29","482.49","384.85","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","717.22","0.17","0.92","0.0","5.34","0.92","4.92","0.0","0.0","0.0","0.0","21.02","113.73","498.58","249.29","477.56","384.85","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","717.22","0.17","0.93","0.0","5.01","0.93","4.65","0.0","0.0","0.0","0.0","25.67","113.73","498.58","249.29","472.91","384.85","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","717.22","0.17","0.93","0.0","6.2","0.93","5.79","0.0","0.0","0.0","0.0","31.46","113.73","498.58","249.29","467.12","384.85","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","717.22","0.16","0.94","0.0","6.84","0.94","6.43","0.0","0.0","0.0","0.0","37.89","113.73","498.58","249.29","460.69","384.85","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","717.22","0.16","0.95","0.0","7.15","0.95","6.76","0.0","0.0","0.0","0.0","44.65","113.73","498.58","249.29","453.93","384.85","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","717.22","0.16","0.95","0.0","7.59","0.95","7.23","0.0","0.0","0.0","0.0","51.88","113.73","498.58","249.29","446.7","384.85","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","717.22","0.16","0.96","0.0","7.32","0.96","7.01","0.0","0.0","0.0","0.0","58.89","113.73","498.58","249.29","439.69","384.85","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","717.22","0.15","0.96","0.0","7.37","0.96","7.1","0.0","0.0","0.0","0.0","65.99","113.73","498.58","249.29","432.59","384.85","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","717.22","0.15","0.97","0.0","6.72","0.97","6.52","0.0","0.0","0.0","0.0","72.51","113.73","498.58","249.29","426.07","384.85","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","717.22","0.15","0.98","0.0","7.49","0.98","7.31","0.0","0.0","0.0","0.0","79.82","113.73","498.58","249.29","418.76","384.85","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","717.22","0.15","0.98","0.0","7.36","0.98","7.23","0.0","0.0","0.0","0.0","87.05","113.73","498.58","249.29","411.53","384.85","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","717.22","0.15","0.99","0.0","7.71","0.99","7.62","0.0","0.0","0.0","0.0","94.67","113.73","498.58","249.29","403.91","384.85","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","717.22","0.14","0.99","0.0","7.6","0.99","7.55","0.0","0.0","0.0","0.0","102.22","113.73","498.58","249.29","396.36","384.85","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","717.22","0.14","1.0","0.0","6.89","1.0","6.89","0.0","0.0","0.0","0.0","109.11","113.73","498.58","249.29","389.47","384.85","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","717.22","0.14","1.01","0.0","6.7","1.01","6.74","0.0","0.0","0.0","0.0","0.0","113.73","498.58","249.29","498.58","384.85","115.85","","","","","","",""
"2016.0","7.0","1.0","183.0","717.22","0.14","1.01","0.0","6.67","1.01","6.75","0.0","0.0","0.0","0.0","6.75","113.73","498.58","249.29","491.83","384.85","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","717.22","0.14","1.02","0.0","6.62","1.02","6.74","0.0","0.0","0.0","0.0","13.49","113.73","498.58","249.29","485.09","384.85","0.0","","","","","","",""
