" Daily soil water balance output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Alfalfa in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","3064.15","0.61","0.9","0.0","1.75","0.9","1.58","0.0","0.0","0.0","0.0","20.0","119.79","569.98","284.99","549.98","450.19","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","3064.15","0.58","0.9","0.0","1.85","0.9","1.67","0.0","0.0","0.0","0.0","21.66","119.79","569.98","284.99","548.32","450.19","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","3064.15","0.55","0.9","0.0","2.25","0.9","2.03","0.0","0.0","0.0","0.0","23.69","119.79","569.98","284.99","546.29","450.19","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","3064.15","0.52","0.9","0.0","2.94","0.9","2.65","0.0","0.0","0.0","0.0","26.33","119.79","569.98","284.99","543.64","450.19","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","3064.15","0.5","0.9","0.0","2.45","0.9","2.21","0.0","0.0","0.0","0.0","28.54","119.79","569.98","284.99","541.44","450.19","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","3064.15","0.49","0.9","0.0","2.13","0.9","1.92","0.0","0.0","0.0","0.0","30.45","119.79","569.98","284.99","539.52","450.19","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","3064.15","1.11","0.9","0.0","2.73","1.11","3.03","2.71","2.71","0.0","0.0","30.78","119.79","569.98","284.99","539.2","450.19","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","3064.15","1.14","0.9","0.0","1.95","1.14","2.23","9.85","9.85","0.0","0.0","23.15","119.79","569.98","284.99","546.82","450.19","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","3064.15","1.15","0.9","0.0","1.71","1.15","1.96","1.24","1.24","0.0","0.0","23.87","119.79","569.98","284.99","546.1","450.19","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","3064.15","1.15","0.9","0.0","1.78","1.15","2.04","0.01","0.01","0.0","0.0","25.91","119.79","569.98","284.99","544.07","450.19","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","3064.15","1.02","0.9","0.0","1.99","1.02","2.03","0.0","0.0","0.0","0.0","27.94","119.79","569.98","284.99","542.04","450.19","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","3064.15","0.88","0.9","0.0","2.61","0.9","2.35","0.0","0.0","0.0","0.0","30.29","119.79","569.98","284.99","539.69","450.19","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","3064.15","0.78","0.9","0.0","2.48","0.9","2.23","0.0","0.0","0.0","0.0","32.52","119.79","569.98","284.99","537.46","450.19","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","3064.15","0.72","0.9","0.0","2.24","0.9","2.02","0.0","0.0","0.0","0.0","34.54","119.79","569.98","284.99","535.44","450.19","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","3064.15","0.67","0.9","0.0","2.36","0.9","2.12","0.0","0.0","0.0","0.0","36.66","119.79","569.98","284.99","533.32","450.19","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","3064.15","0.63","0.9","0.0","2.33","0.9","2.1","0.0","0.0","0.0","0.0","38.76","119.79","569.98","284.99","531.22","450.19","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","3064.15","0.59","0.9","0.0","2.37","0.9","2.13","0.0","0.0","0.0","0.0","40.89","119.79","569.98","284.99","529.09","450.19","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","3064.15","0.57","0.9","0.0","2.04","0.9","1.84","0.0","0.0","0.0","0.0","42.73","119.79","569.98","284.99","527.25","450.19","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","3064.15","0.54","0.9","0.0","2.61","0.9","2.35","0.0","0.0","0.0","0.0","45.07","119.79","569.98","284.99","524.9","450.19","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","3064.15","0.51","0.9","0.0","2.95","0.9","2.66","0.0","0.0","0.0","0.0","47.73","119.79","569.98","284.99","522.25","450.19","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","3064.15","0.49","0.9","0.0","2.56","0.9","2.3","0.0","0.0","0.0","0.0","50.03","119.79","569.98","284.99","519.94","450.19","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","3064.15","0.47","0.9","0.0","1.87","0.9","1.68","0.0","0.0","0.0","0.0","51.72","119.79","569.98","284.99","518.26","450.19","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","3064.15","0.47","0.9","0.0","1.5","0.9","1.35","1.71","1.71","0.0","0.0","51.36","119.79","569.98","284.99","518.62","450.19","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","3064.15","1.17","0.9","0.0","1.33","1.17","1.55","14.14","14.14","0.0","0.0","38.77","119.79","569.98","284.99","531.21","450.19","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","3064.15","1.13","0.9","0.0","2.26","1.13","2.55","20.66","20.66","0.0","0.0","20.66","119.79","569.98","284.99","549.31","450.19","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","3064.15","1.16","0.9","0.0","1.53","1.16","1.77","13.1","13.1","0.0","0.0","9.33","119.79","569.98","284.99","560.64","450.19","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","3064.15","1.15","0.9","0.0","1.93","1.15","2.22","1.46","1.46","0.0","0.0","10.1","119.79","569.98","284.99","559.88","450.19","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","3064.15","1.15","0.9","0.0","1.98","1.15","2.27","0.57","0.57","0.0","0.0","11.8","119.79","569.98","284.99","558.18","450.19","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","3064.15","1.16","0.9","0.0","1.59","1.16","1.84","2.01","2.01","0.0","0.0","11.63","119.79","569.98","284.99","558.35","450.19","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","3064.15","1.16","0.9","0.0","1.54","1.16","1.78","5.1","5.1","0.0","0.0","8.31","119.79","569.98","284.99","561.67","450.19","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","3064.15","1.15","0.9","0.0","1.8","1.15","2.07","7.19","7.19","0.0","0.0","3.19","119.79","569.98","284.99","566.79","450.19","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","3064.15","1.17","0.9","0.0","1.19","1.17","1.4","12.32","4.58","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","3064.15","1.12","0.9","0.0","2.52","1.12","2.82","10.8","2.82","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","3064.15","1.11","0.9","0.0","2.99","1.11","3.32","0.0","0.0","0.0","0.0","3.32","119.79","569.98","284.99","566.66","450.19","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","3064.15","0.93","0.9","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.21","119.79","569.98","284.99","563.77","450.19","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","3064.15","0.8","0.9","0.0","3.14","0.9","2.83","0.0","0.0","0.0","0.0","9.03","119.79","569.98","284.99","560.94","450.19","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","3064.15","0.71","0.9","0.0","3.04","0.9","2.74","0.0","0.0","0.0","0.0","11.77","119.79","569.98","284.99","558.21","450.19","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","3064.15","0.65","0.9","0.0","2.97","0.9","2.67","0.0","0.0","0.0","0.0","14.44","119.79","569.98","284.99","555.53","450.19","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","3064.15","0.61","0.9","0.0","2.33","0.9","2.1","0.03","0.03","0.0","0.0","16.51","119.79","569.98","284.99","553.47","450.19","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","3064.15","0.58","0.9","0.0","2.37","0.9","2.13","1.23","1.23","0.0","0.0","17.41","119.79","569.98","284.99","552.56","450.19","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","3064.15","0.54","0.9","0.0","3.0","0.9","2.7","0.94","0.94","0.0","0.0","19.17","119.79","569.98","284.99","550.8","450.19","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","3064.15","0.51","0.9","0.0","3.33","0.9","3.0","0.0","0.0","0.0","0.0","22.17","119.79","569.98","284.99","547.81","450.19","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","3064.15","0.48","0.9","0.0","3.19","0.9","2.87","0.0","0.0","0.0","0.0","25.04","119.79","569.98","284.99","544.94","450.19","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","3064.15","0.46","0.9","0.0","3.61","0.9","3.25","0.0","0.0","0.0","0.0","28.29","119.79","569.98","284.99","541.69","450.19","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","3064.15","0.43","0.9","0.0","4.2","0.9","3.78","0.0","0.0","0.0","0.0","32.07","119.79","569.98","284.99","537.91","450.19","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","3064.15","0.41","0.9","0.0","3.51","0.9","3.16","0.0","0.0","0.0","0.0","35.23","119.79","569.98","284.99","534.75","450.19","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","3064.15","0.4","0.9","0.0","3.52","0.9","3.17","0.0","0.0","0.0","0.0","38.4","119.79","569.98","284.99","531.58","450.19","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","3064.15","0.38","0.9","0.0","3.71","0.9","3.34","0.0","0.0","0.0","0.0","41.73","119.79","569.98","284.99","528.24","450.19","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","3064.15","0.37","0.9","0.0","3.49","0.9","3.14","0.0","0.0","0.0","0.0","44.88","119.79","569.98","284.99","525.1","450.19","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","3064.15","0.36","0.9","0.0","3.72","0.9","3.35","0.0","0.0","0.0","0.0","48.22","119.79","569.98","284.99","521.75","450.19","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","3064.15","0.35","0.9","0.0","3.62","0.9","3.26","0.0","0.0","0.0","0.0","51.48","119.79","569.98","284.99","518.49","450.19","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","3064.15","0.34","0.9","0.0","3.72","0.9","3.35","0.0","0.0","0.0","0.0","54.83","119.79","569.98","284.99","515.15","450.19","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","3064.15","0.33","0.9","0.0","3.94","0.9","3.55","0.0","0.0","0.0","0.0","58.38","119.79","569.98","284.99","511.6","450.19","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","3064.15","0.32","0.9","0.0","4.14","0.9","3.73","0.0","0.0","0.0","0.0","62.1","119.79","569.98","284.99","507.87","450.19","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","3064.15","0.31","0.9","0.0","5.39","0.9","4.85","0.0","0.0","0.0","0.0","66.95","119.79","569.98","284.99","503.02","450.19","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","3064.15","0.3","0.9","0.0","4.84","0.9","4.36","0.0","0.0","0.0","0.0","71.31","119.79","569.98","284.99","498.67","450.19","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","3064.15","0.29","0.9","0.0","4.19","0.9","3.77","0.0","0.0","0.0","0.0","75.08","119.79","569.98","284.99","494.9","450.19","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","3064.15","0.28","0.9","0.0","3.25","0.9","2.93","1.44","1.44","0.0","0.0","76.56","119.79","569.98","284.99","493.41","450.19","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","3064.15","1.16","0.9","0.0","1.59","1.16","1.84","12.65","12.65","0.0","0.0","65.75","119.79","569.98","284.99","504.22","450.19","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","3064.15","1.15","0.9","0.0","1.84","1.15","2.11","20.51","20.51","0.0","0.0","47.35","119.79","569.98","284.99","522.62","450.19","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","3064.15","1.12","0.9","0.0","3.06","1.12","3.43","0.4","0.4","0.0","0.0","50.39","119.79","569.98","284.99","519.59","450.19","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","3064.15","0.95","0.9","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","53.63","119.79","569.98","284.99","516.34","450.19","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","3064.15","0.77","0.9","0.0","4.11","0.9","3.7","0.0","0.0","0.0","0.0","57.33","119.79","569.98","284.99","512.65","450.19","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","3064.15","0.67","0.9","0.0","4.1","0.9","3.69","0.78","0.78","0.0","0.0","60.24","119.79","569.98","284.99","509.74","450.19","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","3064.15","0.58","0.9","0.0","5.34","0.9","4.81","0.0","0.0","0.0","0.0","65.05","119.79","569.98","284.99","504.93","450.19","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","3064.15","0.52","0.9","0.0","5.13","0.9","4.62","0.0","0.0","0.0","0.0","69.66","119.79","569.98","284.99","500.31","450.19","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","3064.15","0.48","0.9","0.0","4.75","0.9","4.28","0.0","0.0","0.0","0.0","73.94","119.79","569.98","284.99","496.04","450.19","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","3064.15","0.44","0.9","0.0","5.08","0.9","4.57","0.0","0.0","0.0","0.0","78.51","119.79","569.98","284.99","491.47","450.19","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","3064.15","0.41","0.9","0.0","4.82","0.9","4.34","0.0","0.0","0.0","0.0","82.85","119.79","569.98","284.99","487.13","450.19","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","3064.15","0.39","0.9","0.0","5.01","0.9","4.51","0.0","0.0","0.0","0.0","87.36","119.79","569.98","284.99","482.62","450.19","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","3064.15","0.38","0.9","0.0","3.61","0.9","3.25","0.0","0.0","0.0","0.0","90.61","119.79","569.98","284.99","479.37","450.19","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","3064.15","0.37","0.9","0.0","2.88","0.9","2.59","0.68","0.68","0.0","0.0","92.52","119.79","569.98","284.99","477.46","450.19","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","3064.15","0.35","0.9","0.0","4.01","0.9","3.61","3.64","3.64","0.0","0.0","92.49","119.79","569.98","284.99","477.49","450.19","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","3064.15","0.34","0.9","0.0","4.5","0.9","4.05","0.0","0.0","0.0","0.0","96.54","119.79","569.98","284.99","473.44","450.19","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","3064.15","0.33","0.9","0.0","5.34","0.9","4.81","0.0","0.0","0.0","0.0","101.34","119.79","569.98","284.99","468.63","450.19","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","3064.15","0.32","0.9","0.0","4.63","0.9","4.17","0.0","0.0","0.0","0.0","105.51","119.79","569.98","284.99","464.47","450.19","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","3064.15","0.31","0.9","0.0","3.59","0.9","3.23","0.1","0.1","0.0","0.0","108.64","119.79","569.98","284.99","461.33","450.19","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","3064.15","0.3","0.9","0.0","5.55","0.9","5.0","1.66","1.66","0.0","0.0","111.98","119.79","569.98","284.99","458.0","450.19","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","3064.15","0.29","0.9","0.0","4.91","0.9","4.42","0.0","0.0","0.0","0.0","116.4","119.79","569.98","284.99","453.58","450.19","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","3064.15","0.28","0.9","0.0","7.15","0.9","6.44","0.0","0.0","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","122.83","","","","","","",""
"2016.0","5.0","1.0","122.0","3064.15","0.27","0.9","0.0","5.68","0.9","5.11","0.0","0.0","0.0","0.0","5.11","119.79","569.98","284.99","564.86","450.19","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","3064.15","0.26","0.9","0.0","5.14","0.9","4.63","0.0","0.0","0.0","0.0","9.74","119.79","569.98","284.99","560.24","450.19","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","3064.15","0.26","0.9","0.0","4.27","0.9","3.84","0.0","0.0","0.0","0.0","13.58","119.79","569.98","284.99","556.4","450.19","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","3064.15","0.25","0.9","0.0","4.54","0.9","4.09","0.0","0.0","0.0","0.0","17.67","119.79","569.98","284.99","552.31","450.19","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","3064.15","0.25","0.9","0.0","2.55","0.9","2.3","0.46","0.46","0.0","0.0","19.5","119.79","569.98","284.99","550.47","450.19","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","3064.15","0.25","0.9","0.0","1.88","0.9","1.69","0.47","0.47","0.0","0.0","20.72","119.79","569.98","284.99","549.25","450.19","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","3064.15","1.14","0.9","0.0","2.03","1.14","2.31","4.81","4.81","0.0","0.0","18.23","119.79","569.98","284.99","551.75","450.19","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","3064.15","1.11","0.9","0.0","3.27","1.11","3.64","0.69","0.69","0.0","0.0","21.18","119.79","569.98","284.99","548.8","450.19","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","3064.15","0.87","0.9","0.0","4.52","0.9","4.07","0.0","0.0","0.0","0.0","25.25","119.79","569.98","284.99","544.73","450.19","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","3064.15","0.69","0.9","0.0","5.37","0.9","4.83","0.0","0.0","0.0","0.0","30.08","119.79","569.98","284.99","539.9","450.19","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","3064.15","0.58","0.9","0.0","5.67","0.9","5.1","0.0","0.0","0.0","0.0","35.18","119.79","569.98","284.99","534.79","450.19","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","3064.15","0.52","0.9","0.0","5.67","0.9","5.1","0.0","0.0","0.0","0.0","40.29","119.79","569.98","284.99","529.69","450.19","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","3064.15","0.47","0.9","0.0","5.3","0.9","4.77","0.0","0.0","0.0","0.0","45.06","119.79","569.98","284.99","524.92","450.19","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","3064.15","0.44","0.9","0.0","4.83","0.9","4.35","0.0","0.0","0.0","0.0","49.4","119.79","569.98","284.99","520.57","450.19","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","3064.15","0.41","0.9","0.0","5.41","0.9","4.87","0.0","0.0","0.0","0.0","54.27","119.79","569.98","284.99","515.7","450.19","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","3064.15","0.38","0.9","0.0","6.4","0.9","5.76","0.0","0.0","0.0","0.0","60.03","119.79","569.98","284.99","509.94","450.19","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","3064.15","0.35","0.9","0.0","7.38","0.9","6.64","0.0","0.0","0.0","0.0","66.67","119.79","569.98","284.99","503.3","450.19","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","3064.15","0.33","0.9","0.0","6.85","0.9","6.17","0.0","0.0","0.0","0.0","72.84","119.79","569.98","284.99","497.14","450.19","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","3064.15","0.31","0.9","0.0","6.05","0.9","5.45","0.0","0.0","0.0","0.0","78.28","119.79","569.98","284.99","491.69","450.19","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","3064.15","0.3","0.9","0.0","4.86","0.9","4.37","0.0","0.0","0.0","0.0","82.66","119.79","569.98","284.99","487.32","450.19","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","3064.15","0.3","0.9","0.0","3.64","0.9","3.28","0.0","0.0","0.0","0.0","85.93","119.79","569.98","284.99","484.04","450.19","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","3064.15","0.29","0.9","0.0","4.01","0.9","3.61","0.8","0.8","0.0","0.0","88.74","119.79","569.98","284.99","481.23","450.19","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","3064.15","0.28","0.9","0.0","4.59","0.9","4.13","0.0","0.0","0.0","0.0","92.87","119.79","569.98","284.99","477.1","450.19","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","3064.15","0.28","0.9","0.0","4.79","0.9","4.31","0.0","0.0","0.0","0.0","97.18","119.79","569.98","284.99","472.79","450.19","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","3064.15","0.27","0.9","0.0","5.18","0.9","4.66","0.0","0.0","0.0","0.0","101.85","119.79","569.98","284.99","468.13","450.19","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","3064.15","0.26","0.9","0.0","5.52","0.9","4.97","0.0","0.0","0.0","0.0","106.81","119.79","569.98","284.99","463.16","450.19","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","3064.15","0.25","0.9","0.0","5.89","0.9","5.3","0.0","0.0","0.0","0.0","112.12","119.79","569.98","284.99","457.86","450.19","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","3064.15","0.25","0.9","0.0","6.73","0.9","6.06","0.0","0.0","0.0","0.0","118.17","119.79","569.98","284.99","451.8","450.19","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","3064.15","0.24","0.9","0.0","6.28","0.9","5.65","0.0","0.0","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","123.82","","","","","","",""
"2016.0","5.0","30.0","151.0","3064.15","0.23","0.9","0.0","6.56","0.9","5.9","0.0","0.0","0.0","0.0","5.9","119.79","569.98","284.99","564.07","450.19","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","3064.15","0.23","0.9","0.0","6.88","0.9","6.19","0.0","0.0","0.0","0.0","12.1","119.79","569.98","284.99","557.88","450.19","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","3064.15","0.22","0.9","0.0","6.81","0.9","6.13","0.0","0.0","0.0","0.0","18.23","119.79","569.98","284.99","551.75","450.19","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","3064.15","0.21","0.9","0.0","6.66","0.9","5.99","0.0","0.0","0.0","0.0","24.22","119.79","569.98","284.99","545.76","450.19","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","3064.15","0.21","0.9","0.0","7.1","0.9","6.39","0.0","0.0","0.0","0.0","30.61","119.79","569.98","284.99","539.37","450.19","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","3064.15","0.21","0.9","0.0","4.9","0.9","4.41","0.0","0.0","0.0","0.0","35.02","119.79","569.98","284.99","534.96","450.19","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","3064.15","0.2","0.9","0.0","7.37","0.9","6.63","0.0","0.0","0.0","0.0","41.65","119.79","569.98","284.99","528.32","450.19","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","3064.15","0.2","0.9","0.0","6.75","0.9","6.08","0.0","0.0","0.0","0.0","47.73","119.79","569.98","284.99","522.25","450.19","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","3064.15","0.19","0.9","0.0","6.48","0.9","5.83","0.0","0.0","0.0","0.0","53.56","119.79","569.98","284.99","516.42","450.19","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","3064.15","0.19","0.9","0.0","6.22","0.9","5.6","0.0","0.0","0.0","0.0","59.16","119.79","569.98","284.99","510.82","450.19","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","3064.15","0.19","0.9","0.0","5.96","0.9","5.36","0.0","0.0","0.0","0.0","64.52","119.79","569.98","284.99","505.46","450.19","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","3064.15","0.18","0.9","0.0","6.41","0.9","5.77","0.0","0.0","0.0","0.0","70.29","119.79","569.98","284.99","499.69","450.19","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","3064.15","0.18","0.9","0.0","6.68","0.9","6.01","0.0","0.0","0.0","0.0","76.3","119.79","569.98","284.99","493.67","450.19","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","3064.15","0.18","0.9","0.0","6.62","0.9","5.96","0.0","0.0","0.0","0.0","82.26","119.79","569.98","284.99","487.72","450.19","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","3064.15","0.18","0.9","0.0","6.3","0.9","5.67","0.0","0.0","0.0","0.0","87.93","119.79","569.98","284.99","482.05","450.19","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","3064.15","0.17","0.9","0.0","6.24","0.9","5.62","0.0","0.0","0.0","0.0","93.55","119.79","569.98","284.99","476.43","450.19","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","3064.15","0.17","0.9","0.0","5.37","0.9","4.83","0.0","0.0","0.0","0.0","98.38","119.79","569.98","284.99","471.6","450.19","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","3064.15","0.17","0.9","0.0","5.25","0.9","4.73","0.0","0.0","0.0","0.0","103.1","119.79","569.98","284.99","466.87","450.19","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","3064.15","0.17","0.9","0.0","5.14","0.9","4.63","0.0","0.0","0.0","0.0","107.73","119.79","569.98","284.99","462.25","450.19","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","3064.15","0.16","0.9","0.0","6.17","0.9","5.55","0.0","0.0","0.0","0.0","113.28","119.79","569.98","284.99","456.69","450.19","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","3064.15","0.16","0.9","0.0","6.83","0.9","6.15","0.0","0.0","0.0","0.0","119.43","119.79","569.98","284.99","450.55","450.19","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","3064.15","0.16","0.9","0.0","7.19","0.9","6.47","0.0","0.0","0.0","0.0","0.0","119.79","569.98","284.99","569.98","450.19","125.9","","","","","","",""
"2016.0","6.0","21.0","173.0","3064.15","0.16","0.9","0.0","7.59","0.9","6.83","0.0","0.0","0.0","0.0","6.83","119.79","569.98","284.99","563.15","450.19","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","3064.15","0.16","0.9","0.0","7.42","0.9","6.68","0.0","0.0","0.0","0.0","13.51","119.79","569.98","284.99","556.47","450.19","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","3064.15","0.15","0.9","0.0","7.46","0.9","6.71","0.0","0.0","0.0","0.0","20.22","119.79","569.98","284.99","549.75","450.19","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","3064.15","0.15","0.9","0.0","6.79","0.9","6.11","0.0","0.0","0.0","0.0","26.33","119.79","569.98","284.99","543.64","450.19","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","3064.15","0.15","0.9","0.0","7.58","0.9","6.82","0.0","0.0","0.0","0.0","33.16","119.79","569.98","284.99","536.82","450.19","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","3064.15","0.15","0.9","0.0","7.44","0.9","6.7","0.0","0.0","0.0","0.0","39.85","119.79","569.98","284.99","530.12","450.19","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","3064.15","0.15","0.9","0.0","7.85","0.9","7.07","0.0","0.0","0.0","0.0","46.92","119.79","569.98","284.99","523.06","450.19","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","3064.15","0.14","0.9","0.0","7.77","0.9","6.99","0.0","0.0","0.0","0.0","53.91","119.79","569.98","284.99","516.07","450.19","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","3064.15","0.14","0.9","0.0","7.0","0.9","6.3","0.0","0.0","0.0","0.0","60.21","119.79","569.98","284.99","509.77","450.19","0.0","","","","","","",""
