" Daily soil water balance output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","2969.63","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","28.8","409.65","204.83","389.8","380.85","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","2969.63","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","28.8","409.65","204.83","388.56","380.85","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","2969.63","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","28.8","409.65","204.83","386.97","380.85","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","2969.63","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","23.94","28.8","409.65","204.83","385.71","380.85","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","2969.63","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","24.93","28.8","409.65","204.83","384.72","380.85","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","2969.63","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","26.09","28.8","409.65","204.83","383.56","380.85","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","2969.63","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","17.57","28.8","409.65","204.83","392.08","380.85","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","2969.63","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","15.86","28.8","409.65","204.83","393.79","380.85","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","2969.63","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","17.86","28.8","409.65","204.83","391.79","380.85","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","2969.63","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","20.1","28.8","409.65","204.83","389.55","380.85","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","2969.63","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","22.75","28.8","409.65","204.83","386.9","380.85","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","2969.63","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","24.81","28.8","409.65","204.83","384.84","380.85","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","2969.63","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","26.54","28.8","409.65","204.83","383.12","380.85","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","2969.63","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","28.2","28.8","409.65","204.83","381.45","380.85","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","2969.63","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","29.76","28.8","409.65","204.83","379.89","380.85","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","2969.63","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","2969.63","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","30.04","28.8","409.65","204.83","379.61","380.85","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","2969.63","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","2969.63","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","30.36","28.8","409.65","204.83","379.29","380.85","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","2969.63","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","2969.63","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","29.67","28.8","409.65","204.83","379.98","380.85","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","2969.63","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","2969.63","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","16.83","28.8","409.65","204.83","392.83","380.85","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","2969.63","1.13","0.0","0.0","2.19","1.13","2.48","48.26","19.31","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","2969.63","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","2969.63","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","28.8","409.65","204.83","409.13","380.85","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","2969.63","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","28.8","409.65","204.83","407.07","380.85","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","2969.63","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","28.8","409.65","204.83","405.61","380.85","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","2969.63","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","2969.63","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","2969.63","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","2969.63","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","2969.63","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","28.8","409.65","204.83","406.29","380.85","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","2969.63","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","28.8","409.65","204.83","403.42","380.85","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","2969.63","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","28.8","409.65","204.83","400.93","380.85","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","2969.63","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","28.8","409.65","204.83","398.73","380.85","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","2969.63","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","28.8","409.65","204.83","396.74","380.85","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","2969.63","0.61","0.0","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","28.8","409.65","204.83","395.44","380.85","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","2969.63","0.58","0.0","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","28.8","409.65","204.83","395.47","380.85","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","2969.63","0.54","0.0","0.0","2.94","0.54","1.6","0.94","0.94","0.0","0.0","14.84","28.8","409.65","204.83","394.81","380.85","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","2969.63","0.51","0.0","0.0","3.34","0.51","1.7","0.0","0.0","0.0","0.0","16.55","28.8","409.65","204.83","393.1","380.85","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","2969.63","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.09","28.8","409.65","204.83","391.56","380.85","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","2969.63","0.46","0.0","0.0","3.68","0.46","1.68","0.0","0.0","0.0","0.0","19.78","28.8","409.65","204.83","389.88","380.85","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","2969.63","0.43","0.0","0.0","4.39","0.43","1.89","0.0","0.0","0.0","0.0","21.67","28.8","409.65","204.83","387.98","380.85","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","2969.63","0.41","0.0","0.0","3.47","0.41","1.43","0.0","0.0","0.0","0.0","23.1","28.8","409.65","204.83","386.55","380.85","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","2969.63","0.4","0.0","0.0","3.49","0.4","1.39","0.0","0.0","0.0","0.0","24.49","28.8","409.65","204.83","385.16","380.85","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","2969.63","0.38","0.0","0.0","3.77","0.38","1.44","0.0","0.0","0.0","0.0","25.93","28.8","409.65","204.83","383.73","380.85","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","2969.63","0.37","0.0","0.0","3.58","0.37","1.32","0.0","0.0","0.0","0.0","27.25","28.8","409.65","204.83","382.4","380.85","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","2969.63","0.36","0.0","0.0","3.76","0.36","1.34","0.0","0.0","0.0","0.0","28.59","28.8","409.65","204.83","381.06","380.85","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","2969.63","0.35","0.0","0.0","3.65","0.35","1.26","0.0","0.0","0.0","0.0","29.85","28.8","409.65","204.83","379.8","380.85","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","2969.63","0.34","0.0","0.0","3.74","0.34","1.25","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","2969.63","0.33","0.0","0.0","4.02","0.33","1.31","0.0","0.0","0.0","0.0","30.11","28.8","409.65","204.83","379.54","380.85","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","2969.63","0.32","0.0","0.0","4.17","0.32","1.32","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","2969.63","0.3","0.0","0.0","5.61","0.3","1.7","0.0","0.0","0.0","0.0","30.5","28.8","409.65","204.83","379.15","380.85","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","2969.63","0.29","0.0","0.0","4.91","0.29","1.45","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","2969.63","0.29","0.0","0.0","4.31","0.29","1.24","0.0","0.0","0.0","0.0","30.04","28.8","409.65","204.83","379.61","380.85","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","2969.63","0.28","0.0","0.0","3.47","0.28","0.98","0.01","0.01","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","2969.63","0.28","0.0","0.0","1.5","0.28","0.42","2.32","2.32","0.0","0.0","26.9","28.8","409.65","204.83","382.75","380.85","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","2969.63","1.13","0.0","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","20.45","28.8","409.65","204.83","389.2","380.85","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","2969.63","1.11","0.0","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","23.61","28.8","409.65","204.83","386.04","380.85","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","2969.63","0.91","0.0","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","26.78","28.8","409.65","204.83","382.87","380.85","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","2969.63","0.75","0.0","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","29.95","28.8","409.65","204.83","379.7","380.85","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","2969.63","0.65","0.0","0.0","4.05","0.65","2.64","0.48","0.48","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","2969.63","0.57","0.0","0.0","5.4","0.57","3.05","0.0","0.0","0.0","0.0","31.85","28.8","409.65","204.83","377.8","380.85","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","2969.63","0.51","0.0","0.0","5.38","0.51","2.72","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","2969.63","0.47","0.0","0.0","4.72","0.47","2.2","0.0","0.0","0.0","0.0","31.0","28.8","409.65","204.83","378.65","380.85","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","2969.63","0.43","0.0","0.0","5.09","0.43","2.21","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","2969.63","0.41","0.0","0.0","4.97","0.41","2.02","0.0","0.0","0.0","0.0","30.82","28.8","409.65","204.83","378.83","380.85","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","2969.63","0.38","0.0","0.0","5.11","0.38","1.96","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","2969.63","0.37","0.0","0.0","3.83","0.37","1.42","0.0","0.0","0.0","0.0","30.22","28.8","409.65","204.83","379.43","380.85","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","2969.63","0.36","0.0","0.0","2.88","0.36","1.04","0.12","0.12","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","2969.63","0.35","0.0","0.0","3.96","0.35","1.38","2.58","2.58","0.0","0.0","27.6","28.8","409.65","204.83","382.05","380.85","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","2969.63","0.34","0.0","0.0","4.41","0.34","1.48","0.0","0.0","0.0","0.0","29.08","28.8","409.65","204.83","380.57","380.85","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","2969.63","0.32","0.0","0.0","5.39","0.32","1.74","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","2969.63","0.31","0.0","0.0","4.64","0.31","1.45","0.0","0.0","0.0","0.0","30.25","28.8","409.65","204.83","379.41","380.85","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","2969.63","0.3","0.0","0.0","3.84","0.3","1.17","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","2969.63","0.29","0.0","0.0","5.73","0.29","1.68","3.95","3.95","0.0","0.0","26.53","28.8","409.65","204.83","383.12","380.85","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","2969.63","0.28","0.0","0.0","5.1","0.28","1.45","0.0","0.0","0.0","0.0","27.97","28.8","409.65","204.83","381.68","380.85","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","2969.63","0.27","0.0","0.0","7.38","0.27","2.01","0.0","0.0","0.0","0.0","29.98","28.8","409.65","204.83","379.67","380.85","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","2969.63","0.26","0.2","0.0","5.87","0.26","1.55","0.0","0.0","0.0","0.0","31.53","80.41","409.65","204.83","378.12","329.24","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","2969.63","0.26","0.2","0.0","5.3","0.26","1.36","0.0","0.0","0.0","0.0","32.89","80.41","409.65","204.83","376.76","329.24","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","2969.63","0.25","0.2","0.0","4.33","0.25","1.09","0.0","0.0","0.0","0.0","33.98","80.41","409.65","204.83","375.67","329.24","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","2969.63","0.25","0.2","0.0","4.83","0.25","1.19","0.0","0.0","0.0","0.0","35.17","80.41","409.65","204.83","374.48","329.24","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","2969.63","0.24","0.2","0.0","2.3","0.24","0.56","0.02","0.02","0.0","0.0","35.71","80.41","409.65","204.83","373.94","329.24","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","2969.63","0.24","0.2","0.0","2.1","0.24","0.51","0.13","0.13","0.0","0.0","36.09","80.41","409.65","204.83","373.56","329.24","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","2969.63","0.24","0.2","0.0","2.06","0.24","0.5","1.36","1.36","0.0","0.0","35.22","80.41","409.65","204.83","374.43","329.24","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","2969.63","0.24","0.2","0.0","3.2","0.24","0.76","2.24","2.24","0.0","0.0","33.75","80.41","409.65","204.83","375.91","329.24","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","2969.63","0.23","0.2","0.0","4.63","0.23","1.08","0.0","0.0","0.0","0.0","34.83","80.41","409.65","204.83","374.82","329.24","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","2969.63","0.23","0.2","0.0","5.64","0.23","1.29","0.0","0.0","0.0","0.0","36.12","80.41","409.65","204.83","373.54","329.24","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","2969.63","0.22","0.2","0.0","5.95","0.22","1.33","0.0","0.0","0.0","0.0","37.45","80.41","409.65","204.83","372.21","329.24","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","2969.63","0.22","0.2","0.0","5.92","0.22","1.29","0.0","0.0","0.0","0.0","38.74","80.41","409.65","204.83","370.91","329.24","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","2969.63","0.21","0.2","0.0","5.56","0.21","1.19","0.0","0.0","0.0","0.0","39.93","80.41","409.65","204.83","369.72","329.24","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","2969.63","0.21","0.2","0.0","5.05","0.21","1.07","0.0","0.0","0.0","0.0","41.0","80.41","409.65","204.83","368.65","329.24","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","2969.63","0.21","0.2","0.0","5.51","0.21","1.14","0.0","0.0","0.0","0.0","42.14","80.41","409.65","204.83","367.51","329.24","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","2969.63","0.2","0.2","0.0","6.55","0.2","1.33","0.0","0.0","0.0","0.0","43.47","80.41","409.65","204.83","366.18","329.24","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","2969.63","0.2","0.2","0.0","7.65","0.2","1.53","0.0","0.0","0.0","0.0","45.0","80.41","409.65","204.83","364.65","329.24","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","2969.63","0.19","0.2","0.0","7.01","0.2","1.4","0.0","0.0","0.0","0.0","46.4","80.41","409.65","204.83","363.25","329.24","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","2969.63","0.19","0.2","0.0","6.2","0.2","1.24","0.0","0.0","0.0","0.0","47.64","80.41","409.65","204.83","362.01","329.24","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","2969.63","0.19","0.2","0.0","4.88","0.2","0.98","0.0","0.0","0.0","0.0","48.62","80.41","409.65","204.83","361.03","329.24","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","2969.63","0.19","0.2","0.0","4.07","0.2","0.81","0.51","0.51","0.0","0.0","48.92","80.41","409.65","204.83","360.73","329.24","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","2969.63","0.18","0.2","0.0","4.31","0.2","0.86","0.2","0.2","0.0","0.0","49.59","80.41","409.65","204.83","360.07","329.24","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","2969.63","0.18","0.2","0.0","4.77","0.2","0.95","0.0","0.0","0.0","0.0","50.54","80.41","409.65","204.83","359.11","329.24","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","2969.63","0.18","0.2","0.0","4.82","0.2","0.96","0.0","0.0","0.0","0.0","51.5","80.41","409.65","204.83","358.15","329.24","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","2969.63","0.18","0.2","0.0","5.25","0.2","1.05","0.0","0.0","0.0","0.0","52.55","80.41","409.65","204.83","357.1","329.24","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","2969.63","0.18","0.2","0.0","5.68","0.2","1.14","0.0","0.0","0.0","0.0","53.69","80.41","409.65","204.83","355.96","329.24","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","2969.63","0.17","0.23","0.0","5.98","0.23","1.37","0.0","0.0","0.0","0.0","55.05","80.41","409.65","204.83","354.6","329.24","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","2969.63","0.17","0.26","0.0","6.9","0.26","1.77","0.0","0.0","0.0","0.0","56.83","80.41","409.65","204.83","352.83","329.24","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","2969.63","0.17","0.29","0.0","6.43","0.29","1.83","0.0","0.0","0.0","0.0","58.66","80.41","409.65","204.83","350.99","329.24","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","2969.63","0.17","0.31","0.0","6.72","0.31","2.11","0.0","0.0","0.0","0.0","60.76","80.41","409.65","204.83","348.89","329.24","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","2969.63","0.16","0.34","0.0","7.04","0.34","2.41","0.0","0.0","0.0","0.0","63.17","80.41","409.65","204.83","346.48","329.24","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","2969.63","0.16","0.37","0.0","7.1","0.37","2.63","0.0","0.0","0.0","0.0","65.8","80.41","409.65","204.83","343.85","329.24","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","2969.63","0.16","0.4","0.0","6.77","0.4","2.7","0.0","0.0","0.0","0.0","68.49","80.41","409.65","204.83","341.16","329.24","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","2969.63","0.16","0.43","0.0","7.21","0.43","3.08","0.0","0.0","0.0","0.0","71.57","80.41","409.65","204.83","338.08","329.24","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","2969.63","0.16","0.46","0.0","4.79","0.46","2.18","0.0","0.0","0.0","0.0","73.75","80.41","409.65","204.83","335.9","329.24","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","2969.63","0.15","0.48","0.0","7.5","0.48","3.63","0.0","0.0","0.0","0.0","77.37","80.41","409.65","204.83","332.28","329.24","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","2969.63","0.15","0.51","0.0","7.01","0.51","3.59","0.0","0.0","0.0","0.0","0.0","80.41","409.65","204.83","409.65","329.24","80.96","","","","","","",""
"2016.0","6.0","7.0","159.0","2969.63","0.15","0.54","0.0","6.63","0.54","3.58","0.0","0.0","0.0","0.0","3.58","80.41","409.65","204.83","406.07","329.24","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","2969.63","0.15","0.57","0.0","6.37","0.57","3.62","0.0","0.0","0.0","0.0","7.2","80.41","409.65","204.83","402.45","329.24","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","2969.63","0.15","0.6","0.0","6.1","0.6","3.64","0.0","0.0","0.0","0.0","10.84","80.41","409.65","204.83","398.81","329.24","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","2969.63","0.15","0.63","0.0","6.5","0.63","4.06","0.0","0.0","0.0","0.0","14.9","80.41","409.65","204.83","394.75","329.24","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","2969.63","0.14","0.65","0.0","6.86","0.65","4.48","0.0","0.0","0.0","0.0","19.38","80.41","409.65","204.83","390.27","329.24","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","2969.63","0.14","0.68","0.0","6.89","0.68","4.7","0.0","0.0","0.0","0.0","24.08","80.41","409.65","204.83","385.57","329.24","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","2969.63","0.14","0.71","0.0","6.55","0.71","4.65","0.0","0.0","0.0","0.0","28.73","80.41","409.65","204.83","380.92","329.24","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","2969.63","0.14","0.74","0.0","6.15","0.74","4.54","0.0","0.0","0.0","0.0","33.27","80.41","409.65","204.83","376.38","329.24","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","2969.63","0.14","0.77","0.0","5.14","0.77","3.94","0.0","0.0","0.0","0.0","37.21","80.41","409.65","204.83","372.44","329.24","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","2969.63","0.14","0.8","0.0","5.15","0.8","4.09","0.0","0.0","0.0","0.0","41.31","80.41","409.65","204.83","368.34","329.24","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","2969.63","0.14","0.82","0.0","4.72","0.82","3.89","0.0","0.0","0.0","0.0","45.19","80.41","409.65","204.83","364.46","329.24","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","2969.63","0.14","0.85","0.0","6.09","0.85","5.19","0.0","0.0","0.0","0.0","50.38","80.41","409.65","204.83","359.27","329.24","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","2969.63","0.13","0.88","0.0","6.76","0.88","5.95","0.0","0.0","0.0","0.0","56.33","80.41","409.65","204.83","353.32","329.24","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","2969.63","0.13","0.91","0.0","7.29","0.91","6.62","0.0","0.0","0.0","0.0","62.95","80.41","409.65","204.83","346.7","329.24","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","2969.63","0.13","0.94","0.0","7.6","0.94","7.12","0.0","0.0","0.0","0.0","70.07","80.41","409.65","204.83","339.58","329.24","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","2969.63","0.13","0.97","0.0","7.59","0.97","7.32","0.0","0.0","0.0","0.0","77.39","80.41","409.65","204.83","332.26","329.24","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","2969.63","0.13","0.99","0.0","7.55","0.99","7.5","0.0","0.0","0.0","0.0","0.0","80.41","409.65","204.83","409.65","329.24","84.89","","","","","","",""
"2016.0","6.0","24.0","176.0","2969.63","0.13","1.02","0.0","6.9","1.02","7.05","0.0","0.0","0.0","0.0","7.05","80.41","409.65","204.83","402.6","329.24","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","2969.63","0.13","1.05","0.0","7.71","1.05","8.1","0.0","0.0","0.0","0.0","15.15","80.41","409.65","204.83","394.51","329.24","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","2969.63","0.13","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","23.07","80.41","409.65","204.83","386.58","329.24","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","2969.63","0.12","1.05","0.0","7.98","1.05","8.38","0.0","0.0","0.0","0.0","31.45","80.41","409.65","204.83","378.2","329.24","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","2969.63","0.12","1.05","0.0","7.97","1.05","8.37","0.0","0.0","0.0","0.0","39.82","80.41","409.65","204.83","369.83","329.24","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","2969.63","0.12","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","47.44","80.41","409.65","204.83","362.21","329.24","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","2969.63","0.12","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","55.07","80.41","409.65","204.83","354.59","329.24","0.0","","","","","","",""
