" Daily soil water balance output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","3663.5","0.56","0.0","0.0","1.83","0.56","1.03","0.0","0.0","0.0","0.0","19.28","22.5","182.88","91.44","163.6","160.38","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","3663.5","0.54","0.0","0.0","2.35","0.54","1.26","0.0","0.0","0.0","0.0","20.54","22.5","182.88","91.44","162.34","160.38","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","3663.5","0.51","0.0","0.0","3.22","0.51","1.63","0.0","0.0","0.0","0.0","22.16","22.5","182.88","91.44","160.72","160.38","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","3663.5","0.48","0.0","0.0","2.64","0.48","1.28","0.0","0.0","0.0","0.0","23.44","22.5","182.88","91.44","159.44","160.38","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","3663.5","0.47","0.0","0.0","2.1","0.47","0.99","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","3663.5","0.45","0.0","0.0","2.65","0.45","1.2","0.0","0.0","0.0","0.0","23.7","22.5","182.88","91.44","159.18","160.38","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","3663.5","1.15","0.0","0.0","1.85","1.15","2.12","13.67","13.67","0.0","0.0","10.03","22.5","182.88","91.44","172.85","160.38","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","3663.5","1.16","0.0","0.0","1.55","1.16","1.79","3.73","3.73","0.0","0.0","8.09","22.5","182.88","91.44","174.79","160.38","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","3663.5","1.15","0.0","0.0","1.81","1.15","2.09","0.24","0.24","0.0","0.0","9.94","22.5","182.88","91.44","172.94","160.38","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","3663.5","1.15","0.0","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","12.19","22.5","182.88","91.44","170.69","160.38","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","3663.5","0.98","0.0","0.0","2.76","0.98","2.69","0.0","0.0","0.0","0.0","14.89","22.5","182.88","91.44","167.99","160.38","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","3663.5","0.86","0.0","0.0","2.38","0.86","2.04","0.0","0.0","0.0","0.0","16.93","22.5","182.88","91.44","165.95","160.38","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","3663.5","0.78","0.0","0.0","2.23","0.78","1.73","0.0","0.0","0.0","0.0","18.66","22.5","182.88","91.44","164.22","160.38","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","3663.5","0.71","0.0","0.0","2.35","0.71","1.68","0.0","0.0","0.0","0.0","20.34","22.5","182.88","91.44","162.54","160.38","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","3663.5","0.66","0.0","0.0","2.38","0.66","1.58","0.0","0.0","0.0","0.0","21.92","22.5","182.88","91.44","160.96","160.38","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","3663.5","0.63","0.0","0.0","2.08","0.63","1.3","0.0","0.0","0.0","0.0","23.22","22.5","182.88","91.44","159.66","160.38","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","3663.5","0.6","0.0","0.0","2.1","0.6","1.25","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","3663.5","0.56","0.0","0.0","2.69","0.56","1.51","0.0","0.0","0.0","0.0","24.01","22.5","182.88","91.44","158.87","160.38","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","3663.5","0.53","0.0","0.0","3.02","0.53","1.6","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","3663.5","0.5","0.0","0.0","2.66","0.5","1.34","0.0","0.0","0.0","0.0","23.84","22.5","182.88","91.44","159.04","160.38","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","3663.5","0.49","0.0","0.0","1.77","0.49","0.87","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","3663.5","0.48","0.0","0.0","1.55","0.48","0.74","0.14","0.14","0.0","0.0","23.1","22.5","182.88","91.44","159.78","160.38","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","3663.5","1.17","0.0","0.0","1.23","1.17","1.44","16.2","16.2","0.0","0.0","6.9","22.5","182.88","91.44","175.98","160.38","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","3663.5","1.13","0.0","0.0","2.17","1.13","2.46","38.99","9.36","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","3663.5","1.16","0.0","0.0","1.57","1.16","1.82","13.12","1.82","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","3663.5","1.15","0.0","0.0","1.76","1.15","2.02","2.77","2.02","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","3663.5","1.15","0.0","0.0","1.86","1.15","2.13","0.0","0.0","0.0","0.0","2.13","22.5","182.88","91.44","180.75","160.38","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","3663.5","1.15","0.0","0.0","1.4","1.15","1.61","0.02","0.02","0.0","0.0","3.73","22.5","182.88","91.44","179.15","160.38","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","3663.5","1.16","0.0","0.0","1.47","1.16","1.71","14.58","5.44","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","3663.5","1.16","0.0","0.0","1.54","1.16","1.78","12.59","1.78","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","3663.5","1.17","0.0","0.0","1.15","1.17","1.35","14.06","1.35","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","3663.5","1.12","0.0","0.0","2.55","1.12","2.85","12.93","2.85","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","3663.5","1.11","0.0","0.0","3.07","1.11","3.4","0.0","0.0","0.0","0.0","3.4","22.5","182.88","91.44","179.48","160.38","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","3663.5","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.28","22.5","182.88","91.44","176.6","160.38","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","3663.5","0.79","0.0","0.0","3.16","0.79","2.5","0.0","0.0","0.0","0.0","8.78","22.5","182.88","91.44","174.1","160.38","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","3663.5","0.7","0.0","0.0","3.19","0.7","2.24","0.0","0.0","0.0","0.0","11.02","22.5","182.88","91.44","171.86","160.38","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","3663.5","0.64","0.0","0.0","3.17","0.64","2.02","0.0","0.0","0.0","0.0","13.04","22.5","182.88","91.44","169.84","160.38","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","3663.5","0.6","0.0","0.0","2.2","0.6","1.33","0.0","0.0","0.0","0.0","14.37","22.5","182.88","91.44","168.51","160.38","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","3663.5","0.57","0.0","0.0","2.32","0.57","1.33","1.54","1.54","0.0","0.0","14.16","22.5","182.88","91.44","168.72","160.38","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","3663.5","0.54","0.0","0.0","2.92","0.54","1.57","1.83","1.83","0.0","0.0","13.9","22.5","182.88","91.44","168.98","160.38","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","3663.5","0.51","0.0","0.0","3.36","0.51","1.7","0.0","0.0","0.0","0.0","15.61","22.5","182.88","91.44","167.27","160.38","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","3663.5","0.48","0.0","0.0","3.2","0.48","1.54","0.0","0.0","0.0","0.0","17.14","22.5","182.88","91.44","165.74","160.38","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","3663.5","0.45","0.0","0.0","3.71","0.45","1.69","0.0","0.0","0.0","0.0","18.83","22.5","182.88","91.44","164.05","160.38","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","3663.5","0.43","0.0","0.0","4.47","0.43","1.91","0.0","0.0","0.0","0.0","20.74","22.5","182.88","91.44","162.14","160.38","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","3663.5","0.41","0.0","0.0","3.43","0.41","1.41","0.0","0.0","0.0","0.0","22.15","22.5","182.88","91.44","160.73","160.38","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","3663.5","0.39","0.0","0.0","3.53","0.39","1.39","0.0","0.0","0.0","0.0","23.55","22.5","182.88","91.44","159.33","160.38","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","3663.5","0.38","0.0","0.0","3.82","0.38","1.45","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","3663.5","0.37","0.0","0.0","3.64","0.37","1.33","0.0","0.0","0.0","0.0","23.83","22.5","182.88","91.44","159.05","160.38","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","3663.5","0.35","0.0","0.0","3.78","0.35","1.34","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","3663.5","0.34","0.0","0.0","3.67","0.34","1.26","0.0","0.0","0.0","0.0","23.76","22.5","182.88","91.44","159.12","160.38","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","3663.5","0.33","0.0","0.0","3.74","0.33","1.25","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","3663.5","0.32","0.0","0.0","4.08","0.32","1.32","0.0","0.0","0.0","0.0","23.82","22.5","182.88","91.44","159.06","160.38","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","3663.5","0.31","0.0","0.0","4.22","0.31","1.33","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","3663.5","0.3","0.0","0.0","5.72","0.3","1.73","0.0","0.0","0.0","0.0","24.23","22.5","182.88","91.44","158.65","160.38","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","3663.5","0.29","0.0","0.0","4.95","0.29","1.45","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","3663.5","0.29","0.0","0.0","4.34","0.29","1.24","0.0","0.0","0.0","0.0","23.74","22.5","182.88","91.44","159.14","160.38","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","3663.5","0.28","0.0","0.0","3.63","0.28","1.02","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","3663.5","0.28","0.0","0.0","1.42","0.28","0.39","1.32","1.32","0.0","0.0","21.57","22.5","182.88","91.44","161.31","160.38","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","3663.5","1.13","0.0","0.0","2.26","1.13","2.55","9.35","9.35","0.0","0.0","14.78","22.5","182.88","91.44","168.1","160.38","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","3663.5","1.11","0.0","0.0","3.33","1.11","3.69","0.43","0.43","0.0","0.0","18.04","22.5","182.88","91.44","164.84","160.38","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","3663.5","0.9","0.0","0.0","3.61","0.9","3.24","0.0","0.0","0.0","0.0","21.28","22.5","182.88","91.44","161.6","160.38","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","3663.5","0.74","0.0","0.0","4.28","0.74","3.16","0.0","0.0","0.0","0.0","24.44","22.5","182.88","91.44","158.44","160.38","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","3663.5","0.65","0.0","0.0","4.01","0.65","2.59","0.67","0.67","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","3663.5","0.56","0.0","0.0","5.41","0.56","3.04","0.0","0.0","0.0","0.0","25.54","22.5","182.88","91.44","157.34","160.38","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","3663.5","0.5","0.0","0.0","5.5","0.5","2.76","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","3663.5","0.46","0.0","0.0","4.75","0.46","2.2","0.0","0.0","0.0","0.0","24.7","22.5","182.88","91.44","158.18","160.38","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","3663.5","0.43","0.0","0.0","5.12","0.43","2.2","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","3663.5","0.4","0.0","0.0","5.07","0.4","2.05","0.0","0.0","0.0","0.0","24.55","22.5","182.88","91.44","158.33","160.38","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","3663.5","0.38","0.0","0.0","5.26","0.38","2.0","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","3663.5","0.37","0.0","0.0","3.95","0.37","1.45","0.0","0.0","0.0","0.0","23.95","22.5","182.88","91.44","158.93","160.38","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","3663.5","0.36","0.0","0.0","2.78","0.36","1.0","0.28","0.28","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","3663.5","1.06","0.0","0.0","3.98","1.06","4.22","6.11","6.11","0.0","0.0","20.61","22.5","182.88","91.44","162.27","160.38","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","3663.5","0.92","0.0","0.0","4.44","0.92","4.08","0.0","0.0","0.0","0.0","24.69","22.5","182.88","91.44","158.19","160.38","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","3663.5","0.71","0.0","0.0","5.39","0.71","3.84","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","3663.5","0.62","0.0","0.0","4.58","0.62","2.83","0.0","0.0","0.0","0.0","25.33","22.5","182.88","91.44","157.55","160.38","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","3663.5","0.57","0.0","0.0","3.62","0.57","2.05","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","3663.5","0.5","0.0","0.0","5.82","0.5","2.92","4.55","4.55","0.0","0.0","20.87","22.5","182.88","91.44","162.01","160.38","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","3663.5","0.46","0.0","0.0","5.17","0.46","2.38","0.0","0.0","0.0","0.0","23.24","22.5","182.88","91.44","159.64","160.38","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","3663.5","0.41","0.0","0.0","7.43","0.41","3.07","0.03","0.03","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","3663.5","0.38","1.1","0.0","5.97","1.1","6.57","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","29.07","","","","","","",""
"2016.0","5.0","2.0","123.0","3663.5","0.36","1.1","0.0","5.45","1.1","6.0","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.0","","","","","","",""
"2016.0","5.0","3.0","124.0","3663.5","0.35","1.1","0.0","4.6","1.1","5.06","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.06","","","","","","",""
"2016.0","5.0","4.0","125.0","3663.5","0.33","1.1","0.0","4.92","1.1","5.41","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.41","","","","","","",""
"2016.0","5.0","5.0","126.0","3663.5","0.33","1.1","0.0","2.31","1.1","2.54","0.16","0.16","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","2.38","","","","","","",""
"2016.0","5.0","6.0","127.0","3663.5","0.33","1.1","0.0","2.18","1.1","2.4","1.17","1.17","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","1.23","","","","","","",""
"2016.0","5.0","7.0","128.0","3663.5","0.32","1.1","0.0","2.15","1.1","2.37","1.04","1.04","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","1.33","","","","","","",""
"2016.0","5.0","8.0","129.0","3663.5","0.31","1.1","0.0","3.26","1.1","3.59","1.91","1.91","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","1.68","","","","","","",""
"2016.0","5.0","9.0","130.0","3663.5","0.3","1.1","0.0","4.71","1.1","5.18","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.18","","","","","","",""
"2016.0","5.0","10.0","131.0","3663.5","0.29","1.1","0.0","5.78","1.1","6.36","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.36","","","","","","",""
"2016.0","5.0","11.0","132.0","3663.5","0.28","1.1","0.0","6.12","1.1","6.73","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.73","","","","","","",""
"2016.0","5.0","12.0","133.0","3663.5","0.27","1.1","0.0","6.17","1.1","6.79","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.79","","","","","","",""
"2016.0","5.0","13.0","134.0","3663.5","0.26","1.1","0.0","5.78","1.1","6.36","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.36","","","","","","",""
"2016.0","5.0","14.0","135.0","3663.5","0.26","1.1","0.0","5.15","1.1","5.67","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.67","","","","","","",""
"2016.0","5.0","15.0","136.0","3663.5","0.25","1.1","0.0","5.59","1.1","6.15","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.15","","","","","","",""
"2016.0","5.0","16.0","137.0","3663.5","0.24","1.1","0.0","6.64","1.1","7.3","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.3","","","","","","",""
"2016.0","5.0","17.0","138.0","3663.5","0.23","1.1","0.0","7.82","1.1","8.6","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","8.6","","","","","","",""
"2016.0","5.0","18.0","139.0","3663.5","0.23","1.1","0.0","7.09","1.1","7.8","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.8","","","","","","",""
"2016.0","5.0","19.0","140.0","3663.5","0.22","1.1","0.0","6.34","1.1","6.97","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.97","","","","","","",""
"2016.0","5.0","20.0","141.0","3663.5","0.22","1.1","0.0","4.71","1.1","5.18","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.18","","","","","","",""
"2016.0","5.0","21.0","142.0","3663.5","0.22","1.1","0.0","4.08","1.1","4.49","3.3","3.3","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","1.19","","","","","","",""
"2016.0","5.0","22.0","143.0","3663.5","0.21","1.1","0.0","4.38","1.1","4.82","0.7","0.7","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.12","","","","","","",""
"2016.0","5.0","23.0","144.0","3663.5","0.21","1.1","0.0","4.66","1.1","5.13","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.13","","","","","","",""
"2016.0","5.0","24.0","145.0","3663.5","0.21","1.1","0.0","4.86","1.1","5.35","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.35","","","","","","",""
"2016.0","5.0","25.0","146.0","3663.5","0.2","1.1","0.0","5.33","1.1","5.86","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.86","","","","","","",""
"2016.0","5.0","26.0","147.0","3663.5","0.2","1.1","0.0","5.8","1.1","6.38","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.38","","","","","","",""
"2016.0","5.0","27.0","148.0","3663.5","0.2","1.1","0.0","6.09","1.1","6.7","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.7","","","","","","",""
"2016.0","5.0","28.0","149.0","3663.5","0.19","1.09","0.0","7.02","1.09","7.64","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.64","","","","","","",""
"2016.0","5.0","29.0","150.0","3663.5","0.19","1.08","0.0","6.61","1.08","7.12","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.12","","","","","","",""
"2016.0","5.0","30.0","151.0","3663.5","0.19","1.07","0.0","6.86","1.07","7.32","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.32","","","","","","",""
"2016.0","5.0","31.0","152.0","3663.5","0.18","1.06","0.0","7.19","1.06","7.59","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.59","","","","","","",""
"2016.0","6.0","1.0","153.0","3663.5","0.18","1.04","0.0","7.38","1.04","7.71","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.71","","","","","","",""
"2016.0","6.0","2.0","154.0","3663.5","0.18","1.03","0.0","6.92","1.03","7.15","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.15","","","","","","",""
"2016.0","6.0","3.0","155.0","3663.5","0.17","1.02","0.0","7.41","1.02","7.57","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.57","","","","","","",""
"2016.0","6.0","4.0","156.0","3663.5","0.17","1.01","0.0","4.7","1.01","4.75","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.75","","","","","","",""
"2016.0","6.0","5.0","157.0","3663.5","0.17","1.0","0.0","7.65","1.0","7.65","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.65","","","","","","",""
"2016.0","6.0","6.0","158.0","3663.5","0.17","1.0","0.0","7.32","1.0","7.32","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.32","","","","","","",""
"2016.0","6.0","7.0","159.0","3663.5","0.16","1.0","0.0","6.88","1.0","6.88","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.88","","","","","","",""
"2016.0","6.0","8.0","160.0","3663.5","0.16","1.0","0.0","6.66","1.0","6.66","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.66","","","","","","",""
"2016.0","6.0","9.0","161.0","3663.5","0.16","1.0","0.0","6.33","1.0","6.33","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.33","","","","","","",""
"2016.0","6.0","10.0","162.0","3663.5","0.16","1.0","0.0","6.63","1.0","6.63","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.63","","","","","","",""
"2016.0","6.0","11.0","163.0","3663.5","0.15","1.0","0.0","6.93","1.0","6.93","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.93","","","","","","",""
"2016.0","6.0","12.0","164.0","3663.5","0.15","1.0","0.0","7.07","1.0","7.07","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.07","","","","","","",""
"2016.0","6.0","13.0","165.0","3663.5","0.15","1.0","0.0","6.74","1.0","6.74","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.74","","","","","","",""
"2016.0","6.0","14.0","166.0","3663.5","0.15","1.0","0.0","6.25","1.0","6.25","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.25","","","","","","",""
"2016.0","6.0","15.0","167.0","3663.5","0.15","1.0","0.0","5.13","1.0","5.13","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.13","","","","","","",""
"2016.0","6.0","16.0","168.0","3663.5","0.15","1.0","0.0","5.19","1.0","5.19","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","5.19","","","","","","",""
"2016.0","6.0","17.0","169.0","3663.5","0.15","1.0","0.0","4.72","1.0","4.72","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","4.72","","","","","","",""
"2016.0","6.0","18.0","170.0","3663.5","0.14","1.0","0.0","6.09","1.0","6.09","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.09","","","","","","",""
"2016.0","6.0","19.0","171.0","3663.5","0.14","1.0","0.0","6.77","1.0","6.77","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","6.77","","","","","","",""
"2016.0","6.0","20.0","172.0","3663.5","0.14","1.0","0.0","7.37","1.0","7.37","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.37","","","","","","",""
"2016.0","6.0","21.0","173.0","3663.5","0.14","1.0","0.0","7.68","1.0","7.68","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.68","","","","","","",""
"2016.0","6.0","22.0","174.0","3663.5","0.14","1.0","0.0","7.83","1.0","7.83","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.83","","","","","","",""
"2016.0","6.0","23.0","175.0","3663.5","0.14","1.0","0.0","7.67","1.0","7.67","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.67","","","","","","",""
"2016.0","6.0","24.0","176.0","3663.5","0.13","1.0","0.0","7.0","1.0","7.0","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.0","","","","","","",""
"2016.0","6.0","25.0","177.0","3663.5","0.13","1.0","0.0","7.78","1.0","7.78","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.78","","","","","","",""
"2016.0","6.0","26.0","178.0","3663.5","0.13","1.0","0.0","7.64","1.0","7.64","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.64","","","","","","",""
"2016.0","6.0","27.0","179.0","3663.5","0.13","1.0","0.0","8.07","1.0","8.07","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","8.07","","","","","","",""
"2016.0","6.0","28.0","180.0","3663.5","0.13","1.0","0.0","8.11","1.0","8.11","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","8.11","","","","","","",""
"2016.0","6.0","29.0","181.0","3663.5","0.13","1.0","0.0","7.53","1.0","7.53","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.53","","","","","","",""
"2016.0","6.0","30.0","182.0","3663.5","0.13","1.0","0.0","7.46","1.0","7.46","0.0","0.0","0.0","0.0","0.0","22.5","182.88","91.44","182.88","160.38","7.46","","","","","","",""
