" Daily soil water balance output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","594.68","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","25.65","208.48","104.24","189.02","182.83","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","594.68","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","25.65","208.48","104.24","187.44","182.83","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","594.68","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","25.65","208.48","104.24","186.2","182.83","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","594.68","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","25.65","208.48","104.24","185.21","182.83","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","594.68","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","25.65","208.48","104.24","184.4","182.83","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","594.68","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","25.65","208.48","104.24","194.98","182.83","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","594.68","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","25.65","208.48","104.24","197.35","182.83","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","594.68","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","25.65","208.48","104.24","195.29","182.83","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","594.68","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","25.65","208.48","104.24","193.0","182.83","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","594.68","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","25.65","208.48","104.24","190.37","182.83","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","594.68","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","25.65","208.48","104.24","188.31","182.83","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","594.68","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","25.65","208.48","104.24","186.58","182.83","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","594.68","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","25.65","208.48","104.24","184.9","182.83","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","594.68","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","25.65","208.48","104.24","183.33","182.83","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","594.68","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","25.65","208.48","104.24","181.93","182.83","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","594.68","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","594.68","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","27.15","25.65","208.48","104.24","181.34","182.83","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","594.68","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","594.68","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","26.97","25.65","208.48","104.24","181.52","182.83","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","594.68","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","594.68","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","26.1","25.65","208.48","104.24","182.38","182.83","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","594.68","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","12.62","25.65","208.48","104.24","195.86","182.83","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","594.68","1.13","0.0","0.0","2.16","1.13","2.45","33.53","15.07","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","594.68","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","594.68","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","594.68","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","25.65","208.48","104.24","206.41","182.83","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","594.68","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","25.65","208.48","104.24","205.14","182.83","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","594.68","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","594.68","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","594.68","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","594.68","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","25.65","208.48","104.24","208.48","182.83","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","594.68","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","25.65","208.48","104.24","205.1","182.83","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","594.68","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","25.65","208.48","104.24","202.22","182.83","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","594.68","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","25.65","208.48","104.24","199.73","182.83","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","594.68","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","25.65","208.48","104.24","197.51","182.83","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","594.68","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","25.65","208.48","104.24","195.49","182.83","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","594.68","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","25.65","208.48","104.24","194.11","182.83","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","594.68","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","25.65","208.48","104.24","194.89","182.83","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","594.68","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","25.65","208.48","104.24","194.05","182.83","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","594.68","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","25.65","208.48","104.24","192.34","182.83","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","594.68","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","25.65","208.48","104.24","190.8","182.83","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","594.68","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","25.65","208.48","104.24","189.13","182.83","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","594.68","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","25.65","208.48","104.24","187.25","182.83","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","594.68","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","25.65","208.48","104.24","185.81","182.83","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","594.68","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","25.65","208.48","104.24","184.44","182.83","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","594.68","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","25.48","25.65","208.48","104.24","183.01","182.83","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","594.68","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","26.8","25.65","208.48","104.24","181.69","182.83","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","594.68","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","594.68","0.34","0.0","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","26.92","25.65","208.48","104.24","181.57","182.83","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","594.68","0.33","0.0","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","594.68","0.32","0.0","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","26.97","25.65","208.48","104.24","181.52","182.83","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","594.68","0.31","0.0","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","594.68","0.3","0.0","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","27.34","25.65","208.48","104.24","181.14","182.83","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","594.68","0.29","0.0","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","594.68","0.29","0.0","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","26.89","25.65","208.48","104.24","181.59","182.83","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","594.68","0.28","0.0","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","25.65","25.65","208.48","104.24","182.83","182.83","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","594.68","1.16","0.0","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","23.69","25.65","208.48","104.24","184.8","182.83","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","594.68","1.13","0.0","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","12.02","25.65","208.48","104.24","196.47","182.83","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","594.68","1.11","0.0","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","14.77","25.65","208.48","104.24","193.71","182.83","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","594.68","0.91","0.0","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","17.99","25.65","208.48","104.24","190.49","182.83","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","594.68","0.75","0.0","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","21.16","25.65","208.48","104.24","187.32","182.83","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","594.68","0.65","0.0","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","22.79","25.65","208.48","104.24","185.69","182.83","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","594.68","0.56","0.8","0.0","5.43","0.8","4.34","0.0","0.0","0.0","0.0","27.14","49.5","208.48","104.24","181.34","158.98","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","594.68","0.5","0.8","0.0","5.34","0.8","4.27","0.0","0.0","0.0","0.0","31.41","49.5","208.48","104.24","177.07","158.98","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","594.68","0.47","0.8","0.0","4.76","0.8","3.81","0.0","0.0","0.0","0.0","35.22","49.5","208.48","104.24","173.26","158.98","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","594.68","0.43","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","39.31","49.5","208.48","104.24","169.17","158.98","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","594.68","0.41","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","43.3","49.5","208.48","104.24","165.18","158.98","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","594.68","0.38","0.8","0.0","5.18","0.8","4.14","0.0","0.0","0.0","0.0","47.44","49.5","208.48","104.24","161.04","158.98","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","594.68","0.37","0.8","0.0","3.85","0.8","3.08","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","50.52","","","","","","",""
"2016.0","4.0","22.0","113.0","594.68","0.36","0.8","0.0","2.79","0.8","2.23","0.11","0.11","0.0","0.0","2.12","49.5","208.48","104.24","206.36","158.98","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","594.68","1.06","0.8","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","1.22","49.5","208.48","104.24","207.26","158.98","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","594.68","0.91","0.8","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","5.36","49.5","208.48","104.24","203.12","158.98","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","594.68","0.71","0.8","0.0","5.38","0.8","4.3","0.0","0.0","0.0","0.0","9.66","49.5","208.48","104.24","198.82","158.98","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","594.68","0.61","0.8","0.0","4.67","0.8","3.74","0.0","0.0","0.0","0.0","13.4","49.5","208.48","104.24","195.08","158.98","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","594.68","0.56","0.8","0.0","3.74","0.8","2.99","0.0","0.0","0.0","0.0","16.39","49.5","208.48","104.24","192.09","158.98","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","594.68","0.99","0.8","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","17.29","49.5","208.48","104.24","191.2","158.98","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","594.68","0.79","0.8","0.0","5.1","0.8","4.08","0.0","0.0","0.0","0.0","21.37","49.5","208.48","104.24","187.12","158.98","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","594.68","0.6","0.8","0.0","7.38","0.8","5.9","0.0","0.0","0.0","0.0","27.27","49.5","208.48","104.24","181.21","158.98","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","594.68","0.52","0.8","0.0","5.86","0.8","4.69","0.0","0.0","0.0","0.0","31.96","49.5","208.48","104.24","176.53","158.98","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","594.68","0.48","0.8","0.0","5.39","0.8","4.31","0.0","0.0","0.0","0.0","36.27","49.5","208.48","104.24","172.21","158.98","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","594.68","0.44","0.8","0.0","4.49","0.8","3.59","0.0","0.0","0.0","0.0","39.86","49.5","208.48","104.24","168.62","158.98","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","594.68","0.42","0.8","0.0","4.86","0.8","3.89","0.0","0.0","0.0","0.0","43.75","49.5","208.48","104.24","164.73","158.98","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","594.68","0.41","0.8","0.0","2.44","0.8","1.95","0.08","0.08","0.0","0.0","45.62","49.5","208.48","104.24","162.86","158.98","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","594.68","0.4","0.8","0.0","2.03","0.8","1.62","0.13","0.13","0.0","0.0","47.12","49.5","208.48","104.24","161.37","158.98","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","594.68","0.39","0.8","0.0","2.18","0.8","1.74","3.39","3.39","0.0","0.0","45.47","49.5","208.48","104.24","163.01","158.98","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","594.68","0.38","0.8","0.0","3.23","0.8","2.58","1.22","1.22","0.0","0.0","46.83","49.5","208.48","104.24","161.65","158.98","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","594.68","0.36","0.8","0.0","4.65","0.8","3.72","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","50.55","","","","","","",""
"2016.0","5.0","10.0","131.0","594.68","0.34","0.8","0.0","5.68","0.8","4.54","0.0","0.0","0.0","0.0","4.54","49.5","208.48","104.24","203.94","158.98","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","594.68","0.33","0.8","0.0","6.03","0.8","4.82","0.0","0.0","0.0","0.0","9.37","49.5","208.48","104.24","199.12","158.98","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","594.68","0.31","0.8","0.0","6.07","0.8","4.86","0.0","0.0","0.0","0.0","14.22","49.5","208.48","104.24","194.26","158.98","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","594.68","0.3","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","18.73","49.5","208.48","104.24","189.76","158.98","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","594.68","0.29","0.81","0.0","5.14","0.81","4.16","0.0","0.0","0.0","0.0","22.89","49.5","208.48","104.24","185.6","158.98","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","594.68","0.28","0.82","0.0","5.57","0.82","4.55","0.0","0.0","0.0","0.0","27.44","49.5","208.48","104.24","181.04","158.98","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","594.68","0.27","0.83","0.0","6.62","0.83","5.47","0.0","0.0","0.0","0.0","32.91","49.5","208.48","104.24","175.57","158.98","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","594.68","0.26","0.84","0.0","7.71","0.84","6.44","0.0","0.0","0.0","0.0","39.35","49.5","208.48","104.24","169.13","158.98","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","594.68","0.25","0.84","0.0","7.08","0.84","5.98","0.0","0.0","0.0","0.0","45.33","49.5","208.48","104.24","163.16","158.98","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","594.68","0.24","0.85","0.0","6.3","0.85","5.37","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","50.7","","","","","","",""
"2016.0","5.0","20.0","141.0","594.68","0.24","0.86","0.0","4.85","0.86","4.18","0.0","0.0","0.0","0.0","4.18","49.5","208.48","104.24","204.3","158.98","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","594.68","0.24","0.87","0.0","3.73","0.87","3.25","0.32","0.32","0.0","0.0","7.11","49.5","208.48","104.24","201.38","158.98","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","594.68","0.23","0.88","0.0","4.28","0.88","3.76","0.26","0.26","0.0","0.0","10.61","49.5","208.48","104.24","197.87","158.98","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","594.68","0.23","0.89","0.0","4.84","0.89","4.3","0.0","0.0","0.0","0.0","14.91","49.5","208.48","104.24","193.57","158.98","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","594.68","0.22","0.9","0.0","4.85","0.9","4.35","0.0","0.0","0.0","0.0","19.26","49.5","208.48","104.24","189.22","158.98","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","594.68","0.22","0.91","0.0","5.31","0.91","4.81","0.0","0.0","0.0","0.0","24.07","49.5","208.48","104.24","184.41","158.98","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","594.68","0.21","0.91","0.0","5.74","0.91","5.25","0.0","0.0","0.0","0.0","29.32","49.5","208.48","104.24","179.16","158.98","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","594.68","0.21","0.92","0.0","6.05","0.92","5.59","0.0","0.0","0.0","0.0","34.91","49.5","208.48","104.24","173.57","158.98","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","594.68","0.21","0.93","0.0","6.96","0.93","6.49","0.0","0.0","0.0","0.0","41.4","49.5","208.48","104.24","167.09","158.98","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","594.68","0.2","0.94","0.0","6.57","0.94","6.18","0.0","0.0","0.0","0.0","47.58","49.5","208.48","104.24","160.9","158.98","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","594.68","0.2","0.95","0.0","6.83","0.95","6.49","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","54.07","","","","","","",""
"2016.0","5.0","31.0","152.0","594.68","0.19","0.96","0.0","7.15","0.96","6.86","0.0","0.0","0.0","0.0","6.86","49.5","208.48","104.24","201.63","158.98","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","594.68","0.19","0.97","0.0","7.23","0.97","7.0","0.0","0.0","0.0","0.0","13.85","49.5","208.48","104.24","194.63","158.98","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","594.68","0.19","0.98","0.0","6.91","0.98","6.75","0.0","0.0","0.0","0.0","20.6","49.5","208.48","104.24","187.88","158.98","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","594.68","0.18","0.99","0.0","7.35","0.99","7.24","0.0","0.0","0.0","0.0","27.84","49.5","208.48","104.24","180.64","158.98","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","594.68","0.18","0.99","0.0","4.89","0.99","4.86","0.0","0.0","0.0","0.0","32.7","49.5","208.48","104.24","175.78","158.98","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","594.68","0.18","1.0","0.0","7.68","1.0","7.7","0.0","0.0","0.0","0.0","40.4","49.5","208.48","104.24","168.08","158.98","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","594.68","0.17","1.01","0.0","7.2","1.01","7.28","0.0","0.0","0.0","0.0","47.69","49.5","208.48","104.24","160.79","158.98","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","594.68","0.17","1.02","0.0","6.83","1.02","6.97","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","54.66","","","","","","",""
"2016.0","6.0","8.0","160.0","594.68","0.17","1.03","0.0","6.55","1.03","6.74","0.0","0.0","0.0","0.0","6.74","49.5","208.48","104.24","201.74","158.98","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","594.68","0.17","1.04","0.0","6.26","1.04","6.5","0.0","0.0","0.0","0.0","13.24","49.5","208.48","104.24","195.24","158.98","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","594.68","0.16","1.05","0.0","6.64","1.05","6.95","0.0","0.0","0.0","0.0","20.19","49.5","208.48","104.24","188.29","158.98","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","594.68","0.16","1.06","0.0","6.87","1.06","7.25","0.0","0.0","0.0","0.0","27.45","49.5","208.48","104.24","181.03","158.98","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","594.68","0.16","1.06","0.0","6.96","1.06","7.41","0.0","0.0","0.0","0.0","34.86","49.5","208.48","104.24","173.62","158.98","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","594.68","0.16","1.07","0.0","6.65","1.07","7.14","0.0","0.0","0.0","0.0","42.0","49.5","208.48","104.24","166.49","158.98","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","594.68","0.16","1.08","0.0","6.35","1.08","6.87","0.0","0.0","0.0","0.0","48.87","49.5","208.48","104.24","159.61","158.98","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","594.68","0.15","1.09","0.0","5.38","1.09","5.87","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","54.74","","","","","","",""
"2016.0","6.0","16.0","168.0","594.68","0.15","1.1","0.0","5.31","1.1","5.84","0.0","0.0","0.0","0.0","5.84","49.5","208.48","104.24","202.64","158.98","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","594.68","0.15","1.1","0.0","5.14","1.1","5.65","0.0","0.0","0.0","0.0","11.5","49.5","208.48","104.24","196.99","158.98","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","594.68","0.15","1.1","0.0","6.18","1.1","6.8","0.0","0.0","0.0","0.0","18.29","49.5","208.48","104.24","190.19","158.98","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","594.68","0.15","1.1","0.0","6.9","1.1","7.59","0.0","0.0","0.0","0.0","25.88","49.5","208.48","104.24","182.6","158.98","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","594.68","0.15","1.1","0.0","7.46","1.1","8.21","0.0","0.0","0.0","0.0","34.09","49.5","208.48","104.24","174.39","158.98","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","594.68","0.14","1.1","0.0","7.77","1.1","8.55","0.0","0.0","0.0","0.0","42.64","49.5","208.48","104.24","165.85","158.98","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","594.68","0.14","1.1","0.0","7.82","1.1","8.6","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","51.24","","","","","","",""
"2016.0","6.0","23.0","175.0","594.68","0.14","1.1","0.0","7.73","1.1","8.5","0.0","0.0","0.0","0.0","8.5","49.5","208.48","104.24","199.98","158.98","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","594.68","0.14","1.1","0.0","7.01","1.1","7.71","0.0","0.0","0.0","0.0","16.21","49.5","208.48","104.24","192.27","158.98","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","594.68","0.14","1.1","0.0","7.8","1.1","8.58","0.0","0.0","0.0","0.0","24.79","49.5","208.48","104.24","183.69","158.98","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","594.68","0.14","1.1","0.0","7.67","1.1","8.44","0.0","0.0","0.0","0.0","33.23","49.5","208.48","104.24","175.25","158.98","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","594.68","0.13","1.1","0.0","8.11","1.1","8.92","0.0","0.0","0.0","0.0","42.15","49.5","208.48","104.24","166.33","158.98","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","594.68","0.13","1.1","0.0","8.1","1.1","8.91","0.0","0.0","0.0","0.0","0.0","49.5","208.48","104.24","208.48","158.98","51.06","","","","","","",""
"2016.0","6.0","29.0","181.0","594.68","0.13","1.1","0.0","7.45","1.1","8.19","0.0","0.0","0.0","0.0","8.19","49.5","208.48","104.24","200.29","158.98","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","594.68","0.13","1.1","0.0","7.39","1.1","8.13","0.0","0.0","0.0","0.0","16.32","49.5","208.48","104.24","192.16","158.98","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","594.68","0.13","1.1","0.0","7.26","1.1","7.99","0.0","0.0","0.0","0.0","24.31","49.5","208.48","104.24","184.17","158.98","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","594.68","0.13","1.1","0.0","7.24","1.1","7.96","0.0","0.0","0.0","0.0","32.27","49.5","208.48","104.24","176.21","158.98","0.0","","","","","","",""
