" Daily soil water balance output for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","393.64","0.54","0.0","0.0","2.35","0.54","1.26","0.0","0.0","0.0","0.0","19.26","18.0","256.03","128.02","236.77","238.03","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","393.64","0.51","0.0","0.0","3.22","0.51","1.63","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","393.64","0.48","0.0","0.0","2.64","0.48","1.28","0.0","0.0","0.0","0.0","19.28","18.0","256.03","128.02","236.75","238.03","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","393.64","0.47","0.0","0.0","2.1","0.47","0.99","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","393.64","0.45","0.0","0.0","2.65","0.45","1.2","0.0","0.0","0.0","0.0","19.2","18.0","256.03","128.02","236.83","238.03","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","393.64","1.15","0.0","0.0","1.85","1.15","2.12","13.67","13.67","0.0","0.0","5.53","18.0","256.03","128.02","250.5","238.03","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","393.64","1.16","0.0","0.0","1.55","1.16","1.79","3.73","3.73","0.0","0.0","3.59","18.0","256.03","128.02","252.44","238.03","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","393.64","1.15","0.0","0.0","1.81","1.15","2.09","0.24","0.24","0.0","0.0","5.44","18.0","256.03","128.02","250.59","238.03","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","393.64","1.15","0.0","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","7.69","18.0","256.03","128.02","248.34","238.03","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","393.64","0.98","0.0","0.0","2.76","0.98","2.69","0.0","0.0","0.0","0.0","10.39","18.0","256.03","128.02","245.64","238.03","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","393.64","0.86","0.0","0.0","2.38","0.86","2.04","0.0","0.0","0.0","0.0","12.43","18.0","256.03","128.02","243.6","238.03","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","393.64","0.78","0.0","0.0","2.23","0.78","1.73","0.0","0.0","0.0","0.0","14.16","18.0","256.03","128.02","241.87","238.03","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","393.64","0.71","0.0","0.0","2.35","0.71","1.68","0.0","0.0","0.0","0.0","15.84","18.0","256.03","128.02","240.19","238.03","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","393.64","0.66","0.0","0.0","2.38","0.66","1.58","0.0","0.0","0.0","0.0","17.42","18.0","256.03","128.02","238.61","238.03","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","393.64","0.63","0.0","0.0","2.08","0.63","1.3","0.0","0.0","0.0","0.0","18.72","18.0","256.03","128.02","237.31","238.03","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","393.64","0.6","0.0","0.0","2.1","0.6","1.25","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","393.64","0.56","0.0","0.0","2.69","0.56","1.51","0.0","0.0","0.0","0.0","19.51","18.0","256.03","128.02","236.52","238.03","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","393.64","0.53","0.0","0.0","3.02","0.53","1.6","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","393.64","0.5","0.0","0.0","2.66","0.5","1.34","0.0","0.0","0.0","0.0","19.34","18.0","256.03","128.02","236.69","238.03","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","393.64","0.49","0.0","0.0","1.77","0.49","0.87","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","393.64","0.48","0.0","0.0","1.55","0.48","0.74","0.14","0.14","0.0","0.0","18.6","18.0","256.03","128.02","237.43","238.03","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","393.64","1.17","0.0","0.0","1.23","1.17","1.44","16.2","16.2","0.0","0.0","2.4","18.0","256.03","128.02","253.63","238.03","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","393.64","1.13","0.0","0.0","2.17","1.13","2.46","38.99","4.86","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","393.64","1.16","0.0","0.0","1.57","1.16","1.82","13.12","1.82","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","393.64","1.15","0.0","0.0","1.76","1.15","2.02","2.77","2.02","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","393.64","1.15","0.0","0.0","1.86","1.15","2.13","0.0","0.0","0.0","0.0","2.13","18.0","256.03","128.02","253.9","238.03","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","393.64","1.15","0.0","0.0","1.4","1.15","1.61","0.02","0.02","0.0","0.0","3.73","18.0","256.03","128.02","252.3","238.03","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","393.64","1.16","0.0","0.0","1.47","1.16","1.71","14.58","5.44","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","393.64","1.16","0.0","0.0","1.54","1.16","1.78","12.59","1.78","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","393.64","1.17","0.0","0.0","1.15","1.17","1.35","14.06","1.35","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","393.64","1.12","0.0","0.0","2.55","1.12","2.85","12.93","2.85","0.0","0.0","0.0","18.0","256.03","128.02","256.03","238.03","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","393.64","1.11","0.0","0.0","3.07","1.11","3.4","0.0","0.0","0.0","0.0","3.4","18.0","256.03","128.02","252.63","238.03","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","393.64","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.28","18.0","256.03","128.02","249.75","238.03","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","393.64","0.79","0.0","0.0","3.16","0.79","2.5","0.0","0.0","0.0","0.0","8.78","18.0","256.03","128.02","247.25","238.03","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","393.64","0.7","0.0","0.0","3.19","0.7","2.24","0.0","0.0","0.0","0.0","11.02","18.0","256.03","128.02","245.01","238.03","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","393.64","0.64","0.0","0.0","3.17","0.64","2.02","0.0","0.0","0.0","0.0","13.04","18.0","256.03","128.02","242.99","238.03","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","393.64","0.6","0.0","0.0","2.2","0.6","1.33","0.0","0.0","0.0","0.0","14.37","18.0","256.03","128.02","241.66","238.03","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","393.64","0.57","0.0","0.0","2.32","0.57","1.33","1.54","1.54","0.0","0.0","14.16","18.0","256.03","128.02","241.87","238.03","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","393.64","0.54","0.0","0.0","2.92","0.54","1.57","1.83","1.83","0.0","0.0","13.9","18.0","256.03","128.02","242.13","238.03","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","393.64","0.51","0.0","0.0","3.36","0.51","1.7","0.0","0.0","0.0","0.0","15.61","18.0","256.03","128.02","240.43","238.03","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","393.64","0.48","0.0","0.0","3.2","0.48","1.54","0.0","0.0","0.0","0.0","17.14","18.0","256.03","128.02","238.89","238.03","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","393.64","0.45","0.0","0.0","3.71","0.45","1.69","0.0","0.0","0.0","0.0","18.83","18.0","256.03","128.02","237.2","238.03","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","393.64","0.43","0.0","0.0","4.47","0.43","1.91","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","393.64","0.41","0.0","0.0","3.43","0.41","1.41","0.0","0.0","0.0","0.0","19.41","18.0","256.03","128.02","236.62","238.03","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","393.64","0.39","0.0","0.0","3.53","0.39","1.39","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","393.64","0.38","0.0","0.0","3.82","0.38","1.45","0.0","0.0","0.0","0.0","19.45","18.0","256.03","128.02","236.58","238.03","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","393.64","0.37","0.0","0.0","3.64","0.37","1.33","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","393.64","0.35","0.0","0.0","3.78","0.35","1.34","0.0","0.0","0.0","0.0","19.34","18.0","256.03","128.02","236.69","238.03","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","393.64","0.34","0.0","0.0","3.67","0.34","1.26","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","393.64","0.33","0.0","0.0","3.74","0.33","1.25","0.0","0.0","0.0","0.0","19.25","18.0","256.03","128.02","236.78","238.03","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","393.64","0.32","0.0","0.0","4.08","0.32","1.32","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","393.64","0.31","0.0","0.0","4.22","0.31","1.33","0.0","0.0","0.0","0.0","19.33","18.0","256.03","128.02","236.71","238.03","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","393.64","0.3","0.0","0.0","5.72","0.3","1.73","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","393.64","0.29","0.0","0.0","4.95","0.29","1.45","0.0","0.0","0.0","0.0","19.45","18.0","256.03","128.02","236.58","238.03","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","393.64","0.29","0.0","0.0","4.34","0.29","1.24","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","393.64","0.28","0.0","0.0","3.63","0.28","1.02","0.0","0.0","0.0","0.0","19.02","18.0","256.03","128.02","237.02","238.03","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","393.64","0.28","0.0","0.0","1.42","0.28","0.39","1.32","1.32","0.0","0.0","17.7","18.0","256.03","128.02","238.34","238.03","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","393.64","1.13","0.0","0.0","2.26","1.13","2.55","9.35","9.35","0.0","0.0","10.9","18.0","256.03","128.02","245.13","238.03","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","393.64","1.11","0.0","0.0","3.33","1.11","3.69","0.43","0.43","0.0","0.0","14.16","18.0","256.03","128.02","241.87","238.03","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","393.64","0.9","0.0","0.0","3.61","0.9","3.24","0.0","0.0","0.0","0.0","17.4","18.0","256.03","128.02","238.63","238.03","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","393.64","0.74","0.0","0.0","4.28","0.74","3.16","0.0","0.0","0.0","0.0","20.56","18.0","256.03","128.02","235.47","238.03","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","393.64","0.65","0.0","0.0","4.01","0.65","2.59","0.67","0.67","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","393.64","0.56","0.0","0.0","5.41","0.56","3.04","0.0","0.0","0.0","0.0","21.04","18.0","256.03","128.02","235.0","238.03","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","393.64","0.5","0.0","0.0","5.5","0.5","2.76","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","393.64","0.46","0.0","0.0","4.75","0.46","2.2","0.0","0.0","0.0","0.0","20.2","18.0","256.03","128.02","235.83","238.03","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","393.64","0.43","0.0","0.0","5.12","0.43","2.2","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","393.64","0.4","0.0","0.0","5.07","0.4","2.05","0.0","0.0","0.0","0.0","20.05","18.0","256.03","128.02","235.98","238.03","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","393.64","0.38","0.0","0.0","5.26","0.38","2.0","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","393.64","0.37","0.0","0.0","3.95","0.37","1.45","0.0","0.0","0.0","0.0","19.45","18.0","256.03","128.02","236.58","238.03","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","393.64","0.36","0.0","0.0","2.78","0.36","1.0","0.28","0.28","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","393.64","1.06","0.0","0.0","3.98","1.06","4.22","6.11","6.11","0.0","0.0","16.11","18.0","256.03","128.02","239.92","238.03","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","393.64","0.92","0.0","0.0","4.44","0.92","4.08","0.0","0.0","0.0","0.0","20.19","18.0","256.03","128.02","235.84","238.03","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","393.64","0.71","0.0","0.0","5.39","0.71","3.84","0.0","0.0","0.0","0.0","18.0","18.0","256.03","128.02","238.03","238.03","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","393.64","0.62","0.55","0.0","4.58","0.62","2.83","0.0","0.0","0.0","0.0","20.83","57.43","256.03","128.02","235.21","198.61","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","393.64","0.57","0.55","0.0","3.62","0.57","2.05","0.0","0.0","0.0","0.0","22.88","57.43","256.03","128.02","233.16","198.61","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","393.64","0.5","0.55","0.0","5.82","0.55","3.2","4.55","4.55","0.0","0.0","21.53","57.43","256.03","128.02","234.5","198.61","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","393.64","0.46","0.55","0.0","5.17","0.55","2.84","0.0","0.0","0.0","0.0","24.37","57.43","256.03","128.02","231.66","198.61","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","393.64","0.41","0.55","0.0","7.43","0.55","4.09","0.03","0.03","0.0","0.0","28.43","57.43","256.03","128.02","227.6","198.61","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","393.64","0.38","0.55","0.0","5.97","0.55","3.28","0.0","0.0","0.0","0.0","31.71","57.43","256.03","128.02","224.32","198.61","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","393.64","0.36","0.55","0.0","5.45","0.55","3.0","0.0","0.0","0.0","0.0","34.71","57.43","256.03","128.02","221.32","198.61","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","393.64","0.35","0.55","0.0","4.6","0.55","2.53","0.0","0.0","0.0","0.0","37.24","57.43","256.03","128.02","218.79","198.61","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","393.64","0.33","0.55","0.0","4.92","0.55","2.71","0.0","0.0","0.0","0.0","39.94","57.43","256.03","128.02","216.09","198.61","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","393.64","0.33","0.55","0.0","2.31","0.55","1.27","0.16","0.16","0.0","0.0","41.05","57.43","256.03","128.02","214.98","198.61","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","393.64","0.33","0.55","0.0","2.18","0.55","1.2","1.17","1.17","0.0","0.0","41.08","57.43","256.03","128.02","214.95","198.61","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","393.64","0.32","0.55","0.0","2.15","0.55","1.18","1.04","1.04","0.0","0.0","41.23","57.43","256.03","128.02","214.81","198.61","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","393.64","0.31","0.55","0.0","3.26","0.55","1.79","1.91","1.91","0.0","0.0","41.11","57.43","256.03","128.02","214.92","198.61","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","393.64","0.3","0.55","0.0","4.71","0.55","2.59","0.0","0.0","0.0","0.0","43.7","57.43","256.03","128.02","212.33","198.61","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","393.64","0.29","0.55","0.0","5.78","0.55","3.18","0.0","0.0","0.0","0.0","46.88","57.43","256.03","128.02","209.15","198.61","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","393.64","0.28","0.55","0.0","6.12","0.55","3.37","0.0","0.0","0.0","0.0","50.24","57.43","256.03","128.02","205.79","198.61","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","393.64","0.27","0.55","0.0","6.17","0.55","3.39","0.0","0.0","0.0","0.0","53.64","57.43","256.03","128.02","202.39","198.61","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","393.64","0.26","0.55","0.0","5.78","0.55","3.18","0.0","0.0","0.0","0.0","56.82","57.43","256.03","128.02","199.21","198.61","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","393.64","0.26","0.55","0.0","5.15","0.55","2.83","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","59.65","","","","","","",""
"2016.0","5.0","15.0","136.0","393.64","0.25","0.55","0.0","5.59","0.55","3.07","0.0","0.0","0.0","0.0","3.07","57.43","256.03","128.02","252.96","198.61","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","393.64","0.24","0.55","0.0","6.64","0.55","3.65","0.0","0.0","0.0","0.0","6.73","57.43","256.03","128.02","249.31","198.61","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","393.64","0.23","0.55","0.0","7.82","0.55","4.3","0.0","0.0","0.0","0.0","11.03","57.43","256.03","128.02","245.0","198.61","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","393.64","0.23","0.55","0.0","7.09","0.55","3.9","0.0","0.0","0.0","0.0","14.93","57.43","256.03","128.02","241.11","198.61","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","393.64","0.22","0.55","0.0","6.34","0.55","3.49","0.0","0.0","0.0","0.0","18.41","57.43","256.03","128.02","237.62","198.61","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","393.64","0.22","0.55","0.0","4.71","0.55","2.59","0.0","0.0","0.0","0.0","21.0","57.43","256.03","128.02","235.03","198.61","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","393.64","0.22","0.55","0.0","4.08","0.55","2.24","3.3","3.3","0.0","0.0","19.95","57.43","256.03","128.02","236.08","198.61","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","393.64","0.21","0.55","0.0","4.38","0.55","2.41","0.7","0.7","0.0","0.0","21.66","57.43","256.03","128.02","234.37","198.61","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","393.64","0.21","0.55","0.0","4.66","0.55","2.56","0.0","0.0","0.0","0.0","24.22","57.43","256.03","128.02","231.81","198.61","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","393.64","0.21","0.55","0.0","4.86","0.55","2.67","0.0","0.0","0.0","0.0","26.89","57.43","256.03","128.02","229.14","198.61","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","393.64","0.2","0.55","0.0","5.33","0.55","2.93","0.0","0.0","0.0","0.0","29.83","57.43","256.03","128.02","226.21","198.61","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","393.64","0.2","0.55","0.0","5.8","0.55","3.19","0.0","0.0","0.0","0.0","33.02","57.43","256.03","128.02","223.02","198.61","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","393.64","0.2","0.55","0.0","6.09","0.55","3.35","0.0","0.0","0.0","0.0","36.36","57.43","256.03","128.02","219.67","198.61","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","393.64","0.19","0.56","0.0","7.02","0.56","3.92","0.0","0.0","0.0","0.0","40.29","57.43","256.03","128.02","215.75","198.61","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","393.64","0.19","0.57","0.0","6.61","0.57","3.75","0.0","0.0","0.0","0.0","44.04","57.43","256.03","128.02","212.0","198.61","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","393.64","0.19","0.58","0.0","6.86","0.58","3.95","0.0","0.0","0.0","0.0","47.99","57.43","256.03","128.02","208.04","198.61","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","393.64","0.18","0.58","0.0","7.19","0.58","4.2","0.0","0.0","0.0","0.0","52.19","57.43","256.03","128.02","203.84","198.61","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","393.64","0.18","0.59","0.0","7.38","0.59","4.38","0.0","0.0","0.0","0.0","56.57","57.43","256.03","128.02","199.46","198.61","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","393.64","0.18","0.6","0.0","6.92","0.6","4.17","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","60.74","","","","","","",""
"2016.0","6.0","3.0","155.0","393.64","0.17","0.61","0.0","7.41","0.61","4.53","0.0","0.0","0.0","0.0","4.53","57.43","256.03","128.02","251.51","198.61","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","393.64","0.17","0.62","0.0","4.7","0.62","2.91","0.0","0.0","0.0","0.0","7.44","57.43","256.03","128.02","248.59","198.61","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","393.64","0.17","0.63","0.0","7.65","0.63","4.81","0.0","0.0","0.0","0.0","12.24","57.43","256.03","128.02","243.79","198.61","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","393.64","0.17","0.64","0.0","7.32","0.64","4.66","0.0","0.0","0.0","0.0","16.91","57.43","256.03","128.02","239.12","198.61","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","393.64","0.16","0.65","0.0","6.88","0.65","4.44","0.0","0.0","0.0","0.0","21.35","57.43","256.03","128.02","234.68","198.61","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","393.64","0.16","0.65","0.0","6.66","0.65","4.36","0.0","0.0","0.0","0.0","25.71","57.43","256.03","128.02","230.32","198.61","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","393.64","0.16","0.66","0.0","6.33","0.66","4.2","0.0","0.0","0.0","0.0","29.9","57.43","256.03","128.02","226.13","198.61","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","393.64","0.16","0.67","0.0","6.63","0.67","4.45","0.0","0.0","0.0","0.0","34.36","57.43","256.03","128.02","221.67","198.61","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","393.64","0.15","0.68","0.0","6.93","0.68","4.72","0.0","0.0","0.0","0.0","39.07","57.43","256.03","128.02","216.96","198.61","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","393.64","0.15","0.69","0.0","7.07","0.69","4.87","0.0","0.0","0.0","0.0","43.95","57.43","256.03","128.02","212.09","198.61","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","393.64","0.15","0.7","0.0","6.74","0.7","4.7","0.0","0.0","0.0","0.0","48.65","57.43","256.03","128.02","207.38","198.61","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","393.64","0.15","0.71","0.0","6.25","0.71","4.42","0.0","0.0","0.0","0.0","53.06","57.43","256.03","128.02","202.97","198.61","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","393.64","0.15","0.72","0.0","5.13","0.72","3.67","0.0","0.0","0.0","0.0","56.73","57.43","256.03","128.02","199.3","198.61","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","393.64","0.15","0.72","0.0","5.19","0.72","3.76","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","60.49","","","","","","",""
"2016.0","6.0","17.0","169.0","393.64","0.15","0.73","0.0","4.72","0.73","3.46","0.0","0.0","0.0","0.0","3.46","57.43","256.03","128.02","252.57","198.61","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","393.64","0.14","0.74","0.0","6.09","0.74","4.51","0.0","0.0","0.0","0.0","7.97","57.43","256.03","128.02","248.06","198.61","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","393.64","0.14","0.75","0.0","6.77","0.75","5.08","0.0","0.0","0.0","0.0","13.05","57.43","256.03","128.02","242.98","198.61","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","393.64","0.14","0.76","0.0","7.37","0.76","5.59","0.0","0.0","0.0","0.0","18.64","57.43","256.03","128.02","237.39","198.61","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","393.64","0.14","0.77","0.0","7.68","0.77","5.89","0.0","0.0","0.0","0.0","24.54","57.43","256.03","128.02","231.5","198.61","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","393.64","0.14","0.78","0.0","7.83","0.78","6.08","0.0","0.0","0.0","0.0","30.61","57.43","256.03","128.02","225.42","198.61","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","393.64","0.14","0.78","0.0","7.67","0.78","6.02","0.0","0.0","0.0","0.0","36.63","57.43","256.03","128.02","219.4","198.61","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","393.64","0.13","0.79","0.0","7.0","0.79","5.55","0.0","0.0","0.0","0.0","42.19","57.43","256.03","128.02","213.85","198.61","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","393.64","0.13","0.8","0.0","7.78","0.8","6.24","0.0","0.0","0.0","0.0","48.43","57.43","256.03","128.02","207.61","198.61","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","393.64","0.13","0.81","0.0","7.64","0.81","6.2","0.0","0.0","0.0","0.0","54.62","57.43","256.03","128.02","201.41","198.61","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","393.64","0.13","0.82","0.0","8.07","0.82","6.61","0.0","0.0","0.0","0.0","0.0","57.43","256.03","128.02","256.03","198.61","61.24","","","","","","",""
"2016.0","6.0","28.0","180.0","393.64","0.13","0.83","0.0","8.11","0.83","6.72","0.0","0.0","0.0","0.0","6.72","57.43","256.03","128.02","249.31","198.61","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","393.64","0.13","0.84","0.0","7.53","0.84","6.3","0.0","0.0","0.0","0.0","13.02","57.43","256.03","128.02","243.01","198.61","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","393.64","0.13","0.85","0.0","7.46","0.85","6.31","0.0","0.0","0.0","0.0","19.33","57.43","256.03","128.02","236.7","198.61","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","393.64","0.13","0.85","0.0","7.37","0.85","6.3","0.0","0.0","0.0","0.0","25.62","57.43","256.03","128.02","230.41","198.61","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","393.64","0.12","0.86","0.0","7.33","0.86","6.33","0.0","0.0","0.0","0.0","31.95","57.43","256.03","128.02","224.08","198.61","0.0","","","","","","",""
