" Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","226.18","0.54","0.8","0.0","2.3","0.8","1.84","0.0","0.0","0.0","0.0","23.44","30.76","128.0","64.0","104.56","97.24","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","226.18","0.51","0.8","0.0","3.12","0.8","2.5","0.0","0.0","0.0","0.0","25.94","30.76","128.0","64.0","102.06","97.24","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","226.18","0.49","0.8","0.0","2.59","0.8","2.07","0.0","0.0","0.0","0.0","28.01","30.76","128.0","64.0","99.99","97.24","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","226.18","0.47","0.8","0.0","2.08","0.8","1.66","0.0","0.0","0.0","0.0","29.67","30.76","128.0","64.0","98.33","97.24","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","226.18","0.46","0.8","0.0","2.57","0.8","2.06","0.01","0.01","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.72","","","","","","",""
"2016.0","2.0","18.0","49.0","226.18","1.15","0.8","0.0","1.85","1.15","2.12","11.01","2.12","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","226.18","1.16","0.8","0.0","1.56","1.16","1.81","3.58","1.81","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","226.18","1.15","0.8","0.0","1.79","1.15","2.06","0.07","0.07","0.0","0.0","1.99","30.76","128.0","64.0","126.01","97.24","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","226.18","1.15","0.8","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","4.25","30.76","128.0","64.0","123.75","97.24","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","226.18","0.98","0.8","0.0","2.69","0.98","2.64","0.0","0.0","0.0","0.0","6.89","30.76","128.0","64.0","121.11","97.24","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","226.18","0.86","0.8","0.0","2.4","0.86","2.06","0.0","0.0","0.0","0.0","8.95","30.76","128.0","64.0","119.05","97.24","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","226.18","0.78","0.8","0.0","2.21","0.8","1.77","0.0","0.0","0.0","0.0","10.72","30.76","128.0","64.0","117.28","97.24","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","226.18","0.72","0.8","0.0","2.32","0.8","1.86","0.0","0.0","0.0","0.0","12.57","30.76","128.0","64.0","115.43","97.24","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","226.18","0.67","0.8","0.0","2.34","0.8","1.87","0.0","0.0","0.0","0.0","14.45","30.76","128.0","64.0","113.55","97.24","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","226.18","0.63","0.8","0.0","2.19","0.8","1.75","0.0","0.0","0.0","0.0","16.2","30.76","128.0","64.0","111.8","97.24","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","226.18","0.6","0.8","0.0","2.06","0.8","1.65","0.0","0.0","0.0","0.0","17.85","30.76","128.0","64.0","110.15","97.24","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","226.18","0.56","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","19.94","30.76","128.0","64.0","108.06","97.24","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","226.18","0.53","0.8","0.0","2.94","0.8","2.35","0.0","0.0","0.0","0.0","22.29","30.76","128.0","64.0","105.71","97.24","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","226.18","0.51","0.8","0.0","2.58","0.8","2.06","0.0","0.0","0.0","0.0","24.36","30.76","128.0","64.0","103.64","97.24","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","226.18","0.49","0.8","0.0","1.76","0.8","1.41","0.0","0.0","0.0","0.0","25.77","30.76","128.0","64.0","102.23","97.24","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","226.18","0.48","0.8","0.0","1.48","0.8","1.18","0.1","0.1","0.0","0.0","26.85","30.76","128.0","64.0","101.15","97.24","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","226.18","1.17","0.8","0.0","1.2","1.17","1.41","13.53","13.53","0.0","0.0","14.73","30.76","128.0","64.0","113.27","97.24","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","226.18","1.13","0.8","0.0","2.19","1.13","2.48","45.58","17.21","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","226.18","1.16","0.8","0.0","1.61","1.16","1.86","14.37","1.86","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","226.18","1.15","0.8","0.0","1.8","1.15","2.07","1.69","1.69","0.0","0.0","0.38","30.76","128.0","64.0","127.62","97.24","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","226.18","1.15","0.8","0.0","1.8","1.15","2.07","0.02","0.02","0.0","0.0","2.43","30.76","128.0","64.0","125.57","97.24","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","226.18","1.09","0.8","0.0","1.41","1.09","1.53","0.14","0.14","0.0","0.0","3.82","30.76","128.0","64.0","124.18","97.24","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","226.18","1.16","0.8","0.0","1.45","1.16","1.68","12.82","5.51","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","226.18","1.16","0.8","0.0","1.52","1.16","1.76","9.75","1.76","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","226.18","1.17","0.8","0.0","1.17","1.17","1.37","11.51","1.37","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","226.18","1.12","0.8","0.0","2.57","1.12","2.87","12.51","2.87","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","226.18","1.11","0.8","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","30.76","128.0","64.0","124.64","97.24","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","226.18","0.93","0.8","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","30.76","128.0","64.0","121.77","97.24","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","226.18","0.79","0.8","0.0","3.14","0.8","2.51","0.0","0.0","0.0","0.0","8.74","30.76","128.0","64.0","119.26","97.24","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","226.18","0.71","0.8","0.0","3.12","0.8","2.5","0.0","0.0","0.0","0.0","11.24","30.76","128.0","64.0","116.76","97.24","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","226.18","0.64","0.8","0.0","3.11","0.8","2.49","0.0","0.0","0.0","0.0","13.72","30.76","128.0","64.0","114.28","97.24","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","226.18","0.61","0.8","0.0","2.14","0.8","1.71","0.0","0.0","0.0","0.0","15.44","30.76","128.0","64.0","112.56","97.24","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","226.18","0.58","0.8","0.0","2.2","0.8","1.76","1.42","1.42","0.0","0.0","15.78","30.76","128.0","64.0","112.22","97.24","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","226.18","0.54","0.8","0.0","2.94","0.8","2.35","0.96","0.96","0.0","0.0","17.17","30.76","128.0","64.0","110.83","97.24","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","226.18","0.51","0.8","0.0","3.34","0.8","2.67","0.0","0.0","0.0","0.0","19.84","30.76","128.0","64.0","108.16","97.24","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","226.18","0.48","0.8","0.0","3.18","0.8","2.54","0.0","0.0","0.0","0.0","22.38","30.76","128.0","64.0","105.62","97.24","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","226.18","0.46","0.8","0.0","3.67","0.8","2.94","0.0","0.0","0.0","0.0","25.32","30.76","128.0","64.0","102.68","97.24","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","226.18","0.43","0.8","0.0","4.38","0.8","3.5","0.0","0.0","0.0","0.0","28.82","30.76","128.0","64.0","99.18","97.24","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","226.18","0.41","0.8","0.0","3.47","0.8","2.78","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.6","","","","","","",""
"2016.0","3.0","28.0","88.0","226.18","0.4","0.8","0.0","3.49","0.8","2.79","0.0","0.0","0.0","0.0","2.79","30.76","128.0","64.0","125.21","97.24","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","226.18","0.38","0.8","0.0","3.77","0.8","3.02","0.0","0.0","0.0","0.0","5.81","30.76","128.0","64.0","122.19","97.24","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","226.18","0.37","0.8","0.0","3.58","0.8","2.86","0.0","0.0","0.0","0.0","8.67","30.76","128.0","64.0","119.33","97.24","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","226.18","0.36","0.8","0.0","3.76","0.8","3.01","0.0","0.0","0.0","0.0","11.68","30.76","128.0","64.0","116.32","97.24","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","226.18","0.35","0.8","0.0","3.65","0.8","2.92","0.0","0.0","0.0","0.0","14.6","30.76","128.0","64.0","113.4","97.24","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","226.18","0.34","0.8","0.0","3.74","0.8","2.99","0.0","0.0","0.0","0.0","17.59","30.76","128.0","64.0","110.41","97.24","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","226.18","0.33","0.8","0.0","4.02","0.8","3.22","0.0","0.0","0.0","0.0","20.81","30.76","128.0","64.0","107.19","97.24","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","226.18","0.32","0.8","0.0","4.17","0.8","3.34","0.0","0.0","0.0","0.0","24.14","30.76","128.0","64.0","103.86","97.24","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","226.18","0.3","0.8","0.0","5.6","0.8","4.48","0.0","0.0","0.0","0.0","28.62","30.76","128.0","64.0","99.38","97.24","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","226.18","0.29","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","32.54","","","","","","",""
"2016.0","4.0","7.0","98.0","226.18","0.29","0.8","0.0","4.31","0.8","3.45","0.0","0.0","0.0","0.0","3.45","30.76","128.0","64.0","124.55","97.24","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","226.18","0.28","0.8","0.0","3.44","0.8","2.75","0.0","0.0","0.0","0.0","6.2","30.76","128.0","64.0","121.8","97.24","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","226.18","0.28","0.8","0.0","1.5","0.8","1.2","2.64","2.64","0.0","0.0","4.76","30.76","128.0","64.0","123.24","97.24","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","226.18","1.13","0.8","0.0","2.19","1.13","2.48","9.8","7.24","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","226.18","1.11","0.8","0.0","3.27","1.11","3.63","0.5","0.5","0.0","0.0","3.13","30.76","128.0","64.0","124.87","97.24","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","226.18","0.91","0.8","0.0","3.46","0.91","3.16","0.0","0.0","0.0","0.0","6.29","30.76","128.0","64.0","121.71","97.24","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","226.18","0.75","0.8","0.0","4.24","0.8","3.39","0.0","0.0","0.0","0.0","9.68","30.76","128.0","64.0","118.32","97.24","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","226.18","0.65","0.8","0.0","4.05","0.8","3.24","0.56","0.56","0.0","0.0","12.36","30.76","128.0","64.0","115.64","97.24","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","226.18","0.57","0.8","0.0","5.4","0.8","4.32","0.0","0.0","0.0","0.0","16.68","30.76","128.0","64.0","111.32","97.24","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","226.18","0.51","0.8","0.0","5.37","0.8","4.3","0.0","0.0","0.0","0.0","20.98","30.76","128.0","64.0","107.02","97.24","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","226.18","0.47","0.8","0.0","4.72","0.8","3.78","0.0","0.0","0.0","0.0","24.76","30.76","128.0","64.0","103.24","97.24","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","226.18","0.43","0.8","0.0","5.09","0.8","4.07","0.0","0.0","0.0","0.0","28.83","30.76","128.0","64.0","99.17","97.24","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","226.18","0.41","0.8","0.0","4.96","0.8","3.97","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","32.8","","","","","","",""
"2016.0","4.0","20.0","111.0","226.18","0.38","0.8","0.0","5.11","0.8","4.09","0.0","0.0","0.0","0.0","4.09","30.76","128.0","64.0","123.91","97.24","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","226.18","0.37","0.8","0.0","3.84","0.8","3.07","0.0","0.0","0.0","0.0","7.16","30.76","128.0","64.0","120.84","97.24","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","226.18","0.36","0.8","0.0","2.89","0.8","2.31","0.14","0.14","0.0","0.0","9.33","30.76","128.0","64.0","118.67","97.24","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","226.18","0.35","0.8","0.0","3.97","0.8","3.18","2.94","2.94","0.0","0.0","9.57","30.76","128.0","64.0","118.43","97.24","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","226.18","0.34","0.8","0.0","4.43","0.8","3.54","0.0","0.0","0.0","0.0","13.11","30.76","128.0","64.0","114.89","97.24","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","226.18","0.32","0.8","0.0","5.38","0.8","4.3","0.0","0.0","0.0","0.0","17.42","30.76","128.0","64.0","110.58","97.24","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","226.18","0.31","0.8","0.0","4.64","0.8","3.71","0.0","0.0","0.0","0.0","21.13","30.76","128.0","64.0","106.87","97.24","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","226.18","0.3","0.8","0.0","3.84","0.8","3.07","0.0","0.0","0.0","0.0","24.2","30.76","128.0","64.0","103.8","97.24","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","226.18","0.29","0.8","0.0","5.73","0.8","4.58","4.07","4.07","0.0","0.0","24.71","30.76","128.0","64.0","103.29","97.24","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","226.18","0.28","0.8","0.0","5.09","0.8","4.07","0.0","0.0","0.0","0.0","28.79","30.76","128.0","64.0","99.21","97.24","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","226.18","0.27","0.8","0.0","7.37","0.8","5.9","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","34.68","","","","","","",""
"2016.0","5.0","1.0","122.0","226.18","0.26","0.8","0.0","5.87","0.8","4.7","0.0","0.0","0.0","0.0","4.7","30.76","128.0","64.0","123.3","97.24","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","226.18","0.26","0.8","0.0","5.3","0.8","4.24","0.0","0.0","0.0","0.0","8.94","30.76","128.0","64.0","119.06","97.24","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","226.18","0.25","0.8","0.0","4.36","0.8","3.49","0.0","0.0","0.0","0.0","12.42","30.76","128.0","64.0","115.58","97.24","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","226.18","0.25","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","16.29","30.76","128.0","64.0","111.71","97.24","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","226.18","0.24","0.8","0.0","2.31","0.8","1.85","0.01","0.01","0.0","0.0","18.13","30.76","128.0","64.0","109.87","97.24","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","226.18","0.24","0.8","0.0","2.1","0.8","1.68","0.14","0.14","0.0","0.0","19.67","30.76","128.0","64.0","108.33","97.24","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","226.18","0.24","0.8","0.0","2.07","0.8","1.66","1.75","1.75","0.0","0.0","19.57","30.76","128.0","64.0","108.43","97.24","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","226.18","0.24","0.8","0.0","3.23","0.8","2.58","2.08","2.08","0.0","0.0","20.08","30.76","128.0","64.0","107.92","97.24","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","226.18","0.23","0.8","0.0","4.62","0.8","3.7","0.0","0.0","0.0","0.0","23.77","30.76","128.0","64.0","104.23","97.24","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","226.18","0.23","0.8","0.0","5.62","0.8","4.5","0.0","0.0","0.0","0.0","28.27","30.76","128.0","64.0","99.73","97.24","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","226.18","0.22","0.8","0.0","5.94","0.8","4.75","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","33.02","","","","","","",""
"2016.0","5.0","12.0","133.0","226.18","0.22","0.8","0.0","5.92","0.8","4.74","0.0","0.0","0.0","0.0","4.74","30.76","128.0","64.0","123.26","97.24","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","226.18","0.21","0.8","0.0","5.55","0.8","4.44","0.0","0.0","0.0","0.0","9.18","30.76","128.0","64.0","118.82","97.24","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","226.18","0.21","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","13.23","30.76","128.0","64.0","114.77","97.24","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","226.18","0.21","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","17.63","30.76","128.0","64.0","110.37","97.24","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","226.18","0.2","0.8","0.0","6.54","0.8","5.23","0.0","0.0","0.0","0.0","22.86","30.76","128.0","64.0","105.14","97.24","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","226.18","0.2","0.8","0.0","7.64","0.8","6.11","0.0","0.0","0.0","0.0","28.98","30.76","128.0","64.0","99.02","97.24","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","226.18","0.19","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","34.58","","","","","","",""
"2016.0","5.0","19.0","140.0","226.18","0.19","0.8","0.0","6.19","0.8","4.95","0.0","0.0","0.0","0.0","4.95","30.76","128.0","64.0","123.05","97.24","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","226.18","0.19","0.8","0.0","4.88","0.8","3.9","0.0","0.0","0.0","0.0","8.86","30.76","128.0","64.0","119.14","97.24","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","226.18","0.19","0.8","0.0","4.05","0.8","3.24","0.51","0.51","0.0","0.0","11.59","30.76","128.0","64.0","116.41","97.24","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","226.18","0.18","0.8","0.0","4.32","0.8","3.46","0.24","0.24","0.0","0.0","14.8","30.76","128.0","64.0","113.2","97.24","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","226.18","0.18","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","18.62","30.76","128.0","64.0","109.38","97.24","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","226.18","0.18","0.8","0.0","4.81","0.8","3.85","0.0","0.0","0.0","0.0","22.47","30.76","128.0","64.0","105.53","97.24","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","226.18","0.18","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","26.67","30.76","128.0","64.0","101.33","97.24","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","226.18","0.18","0.8","0.0","5.67","0.8","4.54","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.2","","","","","","",""
"2016.0","5.0","27.0","148.0","226.18","0.17","0.8","0.0","5.97","0.8","4.78","0.0","0.0","0.0","0.0","4.78","30.76","128.0","64.0","123.22","97.24","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","226.18","0.17","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","10.3","30.76","128.0","64.0","117.7","97.24","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","226.18","0.17","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","15.43","30.76","128.0","64.0","112.57","97.24","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","226.18","0.17","0.8","0.0","6.72","0.8","5.38","0.0","0.0","0.0","0.0","20.81","30.76","128.0","64.0","107.19","97.24","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","226.18","0.16","0.8","0.0","7.04","0.8","5.63","0.0","0.0","0.0","0.0","26.44","30.76","128.0","64.0","101.56","97.24","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","226.18","0.16","0.8","0.0","7.09","0.8","5.67","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","32.11","","","","","","",""
"2016.0","6.0","2.0","154.0","226.18","0.16","0.8","0.0","6.76","0.8","5.41","0.0","0.0","0.0","0.0","5.41","30.76","128.0","64.0","122.59","97.24","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","226.18","0.16","0.8","0.0","7.2","0.8","5.76","0.0","0.0","0.0","0.0","11.17","30.76","128.0","64.0","116.83","97.24","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","226.18","0.16","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","15.0","30.76","128.0","64.0","113.0","97.24","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","226.18","0.15","0.8","0.0","7.5","0.8","6.0","0.0","0.0","0.0","0.0","21.0","30.76","128.0","64.0","107.0","97.24","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","226.18","0.15","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","26.6","30.76","128.0","64.0","101.4","97.24","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","226.18","0.15","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.9","","","","","","",""
"2016.0","6.0","8.0","160.0","226.18","0.15","0.8","0.0","6.36","0.8","5.09","0.0","0.0","0.0","0.0","5.09","30.76","128.0","64.0","122.91","97.24","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","226.18","0.15","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","9.97","30.76","128.0","64.0","118.03","97.24","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","226.18","0.15","0.8","0.0","6.5","0.8","5.2","0.0","0.0","0.0","0.0","15.17","30.76","128.0","64.0","112.83","97.24","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","226.18","0.14","0.8","0.0","6.87","0.8","5.5","0.0","0.0","0.0","0.0","20.66","30.76","128.0","64.0","107.34","97.24","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","226.18","0.14","0.8","0.0","6.87","0.8","5.5","0.0","0.0","0.0","0.0","26.16","30.76","128.0","64.0","101.84","97.24","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","226.18","0.14","0.8","0.0","6.54","0.8","5.23","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","31.39","","","","","","",""
"2016.0","6.0","14.0","166.0","226.18","0.14","0.8","0.0","6.17","0.8","4.94","0.0","0.0","0.0","0.0","4.94","30.76","128.0","64.0","123.06","97.24","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","226.18","0.14","0.8","0.0","5.18","0.8","4.14","0.0","0.0","0.0","0.0","9.08","30.76","128.0","64.0","118.92","97.24","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","226.18","0.14","0.8","0.0","5.16","0.8","4.13","0.0","0.0","0.0","0.0","13.21","30.76","128.0","64.0","114.79","97.24","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","226.18","0.14","0.8","0.0","4.76","0.8","3.81","0.0","0.0","0.0","0.0","17.02","30.76","128.0","64.0","110.98","97.24","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","226.18","0.14","0.8","0.0","6.09","0.8","4.87","0.0","0.0","0.0","0.0","21.89","30.76","128.0","64.0","106.11","97.24","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","226.18","0.13","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","27.3","30.76","128.0","64.0","100.7","97.24","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","226.18","0.13","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","33.14","","","","","","",""
"2016.0","6.0","21.0","173.0","226.18","0.13","0.8","0.0","7.6","0.8","6.08","0.0","0.0","0.0","0.0","6.08","30.76","128.0","64.0","121.92","97.24","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","226.18","0.13","0.8","0.0","7.58","0.8","6.06","0.0","0.0","0.0","0.0","12.14","30.76","128.0","64.0","115.86","97.24","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","226.18","0.13","0.8","0.0","7.54","0.8","6.03","0.0","0.0","0.0","0.0","18.18","30.76","128.0","64.0","109.82","97.24","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","226.18","0.13","0.8","0.0","6.89","0.8","5.51","0.0","0.0","0.0","0.0","23.69","30.76","128.0","64.0","104.31","97.24","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","226.18","0.13","0.8","0.0","7.69","0.8","6.15","0.0","0.0","0.0","0.0","29.84","30.76","128.0","64.0","98.16","97.24","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","226.18","0.13","0.8","0.0","7.53","0.8","6.02","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","35.86","","","","","","",""
"2016.0","6.0","27.0","179.0","226.18","0.12","0.8","0.0","7.97","0.8","6.38","0.0","0.0","0.0","0.0","6.38","30.76","128.0","64.0","121.62","97.24","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","226.18","0.12","0.8","0.0","7.96","0.8","6.37","0.0","0.0","0.0","0.0","12.74","30.76","128.0","64.0","115.26","97.24","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","226.18","0.12","0.8","0.0","7.24","0.8","5.79","0.0","0.0","0.0","0.0","18.54","30.76","128.0","64.0","109.46","97.24","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","226.18","0.12","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","24.34","30.76","128.0","64.0","103.66","97.24","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","226.18","0.12","0.8","0.0","7.09","0.8","5.67","0.0","0.0","0.0","0.0","30.01","30.76","128.0","64.0","97.99","97.24","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","226.18","0.12","0.8","0.0","7.03","0.8","5.62","0.0","0.0","0.0","0.0","0.0","30.76","128.0","64.0","128.0","97.24","35.63","","","","","","",""
