" Daily soil water balance output for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","385.19","0.54","0.0","0.0","2.35","0.54","1.26","0.0","0.0","0.0","0.0","20.54","20.25","421.01","210.51","400.48","400.76","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","385.19","0.51","0.0","0.0","3.22","0.51","1.63","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","385.19","0.48","0.0","0.0","2.64","0.48","1.28","0.0","0.0","0.0","0.0","21.53","20.25","421.01","210.51","399.48","400.76","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","385.19","0.47","0.0","0.0","2.1","0.47","0.99","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","385.19","0.45","0.0","0.0","2.65","0.45","1.2","0.0","0.0","0.0","0.0","21.45","20.25","421.01","210.51","399.56","400.76","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","385.19","1.15","0.0","0.0","1.85","1.15","2.12","13.67","13.67","0.0","0.0","7.78","20.25","421.01","210.51","413.23","400.76","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","385.19","1.16","0.0","0.0","1.55","1.16","1.79","3.73","3.73","0.0","0.0","5.84","20.25","421.01","210.51","415.17","400.76","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","385.19","1.15","0.0","0.0","1.81","1.15","2.09","0.24","0.24","0.0","0.0","7.69","20.25","421.01","210.51","413.32","400.76","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","385.19","1.15","0.0","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","9.94","20.25","421.01","210.51","411.07","400.76","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","385.19","0.98","0.0","0.0","2.76","0.98","2.69","0.0","0.0","0.0","0.0","12.64","20.25","421.01","210.51","408.38","400.76","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","385.19","0.86","0.0","0.0","2.38","0.86","2.04","0.0","0.0","0.0","0.0","14.68","20.25","421.01","210.51","406.34","400.76","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","385.19","0.78","0.0","0.0","2.23","0.78","1.73","0.0","0.0","0.0","0.0","16.41","20.25","421.01","210.51","404.6","400.76","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","385.19","0.71","0.0","0.0","2.35","0.71","1.68","0.0","0.0","0.0","0.0","18.09","20.25","421.01","210.51","402.92","400.76","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","385.19","0.66","0.0","0.0","2.38","0.66","1.58","0.0","0.0","0.0","0.0","19.67","20.25","421.01","210.51","401.35","400.76","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","385.19","0.63","0.0","0.0","2.08","0.63","1.3","0.0","0.0","0.0","0.0","20.97","20.25","421.01","210.51","400.04","400.76","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","385.19","0.6","0.0","0.0","2.1","0.6","1.25","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","385.19","0.56","0.0","0.0","2.69","0.56","1.51","0.0","0.0","0.0","0.0","21.76","20.25","421.01","210.51","399.25","400.76","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","385.19","0.53","0.0","0.0","3.02","0.53","1.6","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","385.19","0.5","0.0","0.0","2.66","0.5","1.34","0.0","0.0","0.0","0.0","21.59","20.25","421.01","210.51","399.42","400.76","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","385.19","0.49","0.0","0.0","1.77","0.49","0.87","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","385.19","0.48","0.0","0.0","1.55","0.48","0.74","0.14","0.14","0.0","0.0","20.85","20.25","421.01","210.51","400.16","400.76","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","385.19","1.17","0.0","0.0","1.23","1.17","1.44","16.2","16.2","0.0","0.0","4.65","20.25","421.01","210.51","416.36","400.76","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","385.19","1.13","0.0","0.0","2.17","1.13","2.46","38.99","7.11","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","385.19","1.16","0.0","0.0","1.57","1.16","1.82","13.12","1.82","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","385.19","1.15","0.0","0.0","1.76","1.15","2.02","2.77","2.02","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","385.19","1.15","0.0","0.0","1.86","1.15","2.13","0.0","0.0","0.0","0.0","2.13","20.25","421.01","210.51","418.88","400.76","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","385.19","1.15","0.0","0.0","1.4","1.15","1.61","0.02","0.02","0.0","0.0","3.73","20.25","421.01","210.51","417.28","400.76","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","385.19","1.16","0.0","0.0","1.47","1.16","1.71","14.58","5.44","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","385.19","1.16","0.0","0.0","1.54","1.16","1.78","12.59","1.78","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","385.19","1.17","0.0","0.0","1.15","1.17","1.35","14.06","1.35","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","385.19","1.12","0.0","0.0","2.55","1.12","2.85","12.93","2.85","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","385.19","1.11","0.0","0.0","3.07","1.11","3.4","0.0","0.0","0.0","0.0","3.4","20.25","421.01","210.51","417.61","400.76","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","385.19","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.28","20.25","421.01","210.51","414.73","400.76","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","385.19","0.79","0.0","0.0","3.16","0.79","2.5","0.0","0.0","0.0","0.0","8.78","20.25","421.01","210.51","412.23","400.76","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","385.19","0.7","0.0","0.0","3.19","0.7","2.24","0.0","0.0","0.0","0.0","11.02","20.25","421.01","210.51","409.99","400.76","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","385.19","0.64","0.0","0.0","3.17","0.64","2.02","0.0","0.0","0.0","0.0","13.04","20.25","421.01","210.51","407.97","400.76","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","385.19","0.6","0.0","0.0","2.2","0.6","1.33","0.0","0.0","0.0","0.0","14.37","20.25","421.01","210.51","406.64","400.76","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","385.19","0.57","0.0","0.0","2.32","0.57","1.33","1.54","1.54","0.0","0.0","14.16","20.25","421.01","210.51","406.85","400.76","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","385.19","0.54","0.0","0.0","2.92","0.54","1.57","1.83","1.83","0.0","0.0","13.9","20.25","421.01","210.51","407.11","400.76","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","385.19","0.51","0.0","0.0","3.36","0.51","1.7","0.0","0.0","0.0","0.0","15.61","20.25","421.01","210.51","405.41","400.76","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","385.19","0.48","0.0","0.0","3.2","0.48","1.54","0.0","0.0","0.0","0.0","17.14","20.25","421.01","210.51","403.87","400.76","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","385.19","0.45","0.0","0.0","3.71","0.45","1.69","0.0","0.0","0.0","0.0","18.83","20.25","421.01","210.51","402.18","400.76","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","385.19","0.43","0.0","0.0","4.47","0.43","1.91","0.0","0.0","0.0","0.0","20.74","20.25","421.01","210.51","400.27","400.76","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","385.19","0.41","0.0","0.0","3.43","0.41","1.41","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","385.19","0.39","0.0","0.0","3.53","0.39","1.39","0.0","0.0","0.0","0.0","21.64","20.25","421.01","210.51","399.37","400.76","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","385.19","0.38","0.0","0.0","3.82","0.38","1.45","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","385.19","0.37","0.0","0.0","3.64","0.37","1.33","0.0","0.0","0.0","0.0","21.58","20.25","421.01","210.51","399.43","400.76","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","385.19","0.35","0.0","0.0","3.78","0.35","1.34","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","385.19","0.34","0.0","0.0","3.67","0.34","1.26","0.0","0.0","0.0","0.0","21.51","20.25","421.01","210.51","399.5","400.76","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","385.19","0.33","0.0","0.0","3.74","0.33","1.25","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","385.19","0.32","0.0","0.0","4.08","0.32","1.32","0.0","0.0","0.0","0.0","21.57","20.25","421.01","210.51","399.44","400.76","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","385.19","0.31","0.0","0.0","4.22","0.31","1.33","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","385.19","0.3","0.0","0.0","5.72","0.3","1.73","0.0","0.0","0.0","0.0","21.98","20.25","421.01","210.51","399.04","400.76","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","385.19","0.29","0.0","0.0","4.95","0.29","1.45","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","385.19","0.29","0.0","0.0","4.34","0.29","1.24","0.0","0.0","0.0","0.0","21.49","20.25","421.01","210.51","399.52","400.76","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","385.19","0.28","0.0","0.0","3.63","0.28","1.02","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","385.19","0.28","0.0","0.0","1.42","0.28","0.39","1.32","1.32","0.0","0.0","19.32","20.25","421.01","210.51","401.69","400.76","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","385.19","1.13","0.0","0.0","2.26","1.13","2.55","9.35","9.35","0.0","0.0","12.53","20.25","421.01","210.51","408.49","400.76","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","385.19","1.11","0.0","0.0","3.33","1.11","3.69","0.43","0.43","0.0","0.0","15.79","20.25","421.01","210.51","405.23","400.76","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","385.19","0.9","0.0","0.0","3.61","0.9","3.24","0.0","0.0","0.0","0.0","19.03","20.25","421.01","210.51","401.98","400.76","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","385.19","0.74","0.0","0.0","4.28","0.74","3.16","0.0","0.0","0.0","0.0","22.19","20.25","421.01","210.51","398.83","400.76","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","385.19","0.65","0.0","0.0","4.01","0.65","2.59","0.67","0.67","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","385.19","0.56","0.55","0.0","5.41","0.56","3.04","0.0","0.0","0.0","0.0","23.29","93.28","421.01","210.51","397.73","327.73","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","385.19","0.5","0.56","0.0","5.5","0.56","3.06","0.0","0.0","0.0","0.0","26.34","93.28","421.01","210.51","394.67","327.73","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","385.19","0.46","0.56","0.0","4.75","0.56","2.67","0.0","0.0","0.0","0.0","29.01","93.28","421.01","210.51","392.0","327.73","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","385.19","0.43","0.57","0.0","5.12","0.57","2.91","0.0","0.0","0.0","0.0","31.92","93.28","421.01","210.51","389.09","327.73","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","385.19","0.4","0.57","0.0","5.07","0.57","2.91","0.0","0.0","0.0","0.0","34.83","93.28","421.01","210.51","386.19","327.73","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","385.19","0.38","0.58","0.0","5.26","0.58","3.05","0.0","0.0","0.0","0.0","37.88","93.28","421.01","210.51","383.14","327.73","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","385.19","0.37","0.59","0.0","3.95","0.59","2.31","0.0","0.0","0.0","0.0","40.19","93.28","421.01","210.51","380.82","327.73","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","385.19","0.36","0.59","0.0","2.78","0.59","1.64","0.28","0.28","0.0","0.0","41.55","93.28","421.01","210.51","379.46","327.73","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","385.19","1.06","0.6","0.0","3.98","1.06","4.22","6.11","6.11","0.0","0.0","39.66","93.28","421.01","210.51","381.35","327.73","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","385.19","0.92","0.6","0.0","4.44","0.92","4.08","0.0","0.0","0.0","0.0","43.74","93.28","421.01","210.51","377.27","327.73","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","385.19","0.71","0.61","0.0","5.39","0.71","3.84","0.0","0.0","0.0","0.0","47.58","93.28","421.01","210.51","373.43","327.73","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","385.19","0.62","0.62","0.0","4.58","0.62","2.83","0.0","0.0","0.0","0.0","50.41","93.28","421.01","210.51","370.6","327.73","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","385.19","0.57","0.62","0.0","3.62","0.62","2.25","0.0","0.0","0.0","0.0","52.66","93.28","421.01","210.51","368.36","327.73","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","385.19","0.5","0.63","0.0","5.82","0.63","3.65","4.55","4.55","0.0","0.0","51.75","93.28","421.01","210.51","369.26","327.73","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","385.19","0.46","0.63","0.0","5.17","0.63","3.27","0.0","0.0","0.0","0.0","55.03","93.28","421.01","210.51","365.99","327.73","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","385.19","0.41","0.64","0.0","7.43","0.64","4.75","0.03","0.03","0.0","0.0","59.74","93.28","421.01","210.51","361.27","327.73","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","385.19","0.38","0.64","0.0","5.97","0.64","3.85","0.0","0.0","0.0","0.0","63.59","93.28","421.01","210.51","357.42","327.73","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","385.19","0.36","0.65","0.0","5.45","0.65","3.54","0.0","0.0","0.0","0.0","67.13","93.28","421.01","210.51","353.88","327.73","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","385.19","0.35","0.66","0.0","4.6","0.66","3.02","0.0","0.0","0.0","0.0","70.15","93.28","421.01","210.51","350.86","327.73","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","385.19","0.33","0.66","0.0","4.92","0.66","3.26","0.0","0.0","0.0","0.0","73.41","93.28","421.01","210.51","347.6","327.73","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","385.19","0.33","0.67","0.0","2.31","0.67","1.54","0.16","0.16","0.0","0.0","74.8","93.28","421.01","210.51","346.22","327.73","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","385.19","0.33","0.67","0.0","2.18","0.67","1.47","1.17","1.17","0.0","0.0","75.09","93.28","421.01","210.51","345.92","327.73","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","385.19","0.32","0.68","0.0","2.15","0.68","1.46","1.04","1.04","0.0","0.0","75.52","93.28","421.01","210.51","345.5","327.73","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","385.19","0.31","0.69","0.0","3.26","0.69","2.24","1.91","1.91","0.0","0.0","75.84","93.28","421.01","210.51","345.17","327.73","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","385.19","0.3","0.69","0.0","4.71","0.69","3.26","0.0","0.0","0.0","0.0","79.1","93.28","421.01","210.51","341.91","327.73","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","385.19","0.29","0.7","0.0","5.78","0.7","4.03","0.0","0.0","0.0","0.0","83.13","93.28","421.01","210.51","337.88","327.73","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","385.19","0.28","0.7","0.0","6.12","0.7","4.31","0.0","0.0","0.0","0.0","87.44","93.28","421.01","210.51","333.57","327.73","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","385.19","0.27","0.71","0.0","6.17","0.71","4.38","0.0","0.0","0.0","0.0","91.82","93.28","421.01","210.51","329.2","327.73","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","385.19","0.26","0.72","0.0","5.78","0.72","4.14","0.0","0.0","0.0","0.0","0.0","93.28","421.01","210.51","421.01","327.73","95.95","","","","","","",""
"2016.0","5.0","14.0","135.0","385.19","0.26","0.72","0.0","5.15","0.72","3.72","0.0","0.0","0.0","0.0","3.72","93.28","421.01","210.51","417.3","327.73","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","385.19","0.25","0.73","0.0","5.59","0.73","4.07","0.0","0.0","0.0","0.0","7.78","93.28","421.01","210.51","413.23","327.73","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","385.19","0.24","0.73","0.0","6.64","0.73","4.87","0.0","0.0","0.0","0.0","12.65","93.28","421.01","210.51","408.36","327.73","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","385.19","0.23","0.74","0.0","7.82","0.74","5.78","0.0","0.0","0.0","0.0","18.43","93.28","421.01","210.51","402.59","327.73","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","385.19","0.23","0.74","0.0","7.09","0.74","5.28","0.0","0.0","0.0","0.0","23.71","93.28","421.01","210.51","397.3","327.73","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","385.19","0.22","0.75","0.0","6.34","0.75","4.76","0.0","0.0","0.0","0.0","28.47","93.28","421.01","210.51","392.54","327.73","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","385.19","0.22","0.76","0.0","4.71","0.76","3.56","0.0","0.0","0.0","0.0","32.04","93.28","421.01","210.51","388.98","327.73","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","385.19","0.22","0.76","0.0","4.08","0.76","3.11","3.3","3.3","0.0","0.0","31.85","93.28","421.01","210.51","389.17","327.73","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","385.19","0.21","0.77","0.0","4.38","0.77","3.37","0.7","0.7","0.0","0.0","34.51","93.28","421.01","210.51","386.5","327.73","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","385.19","0.21","0.77","0.0","4.66","0.77","3.61","0.0","0.0","0.0","0.0","38.12","93.28","421.01","210.51","382.89","327.73","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","385.19","0.21","0.78","0.0","4.86","0.78","3.79","0.0","0.0","0.0","0.0","41.92","93.28","421.01","210.51","379.1","327.73","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","385.19","0.2","0.79","0.0","5.33","0.79","4.19","0.0","0.0","0.0","0.0","46.11","93.28","421.01","210.51","374.91","327.73","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","385.19","0.2","0.79","0.0","5.8","0.79","4.6","0.0","0.0","0.0","0.0","50.7","93.28","421.01","210.51","370.31","327.73","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","385.19","0.2","0.8","0.0","6.09","0.8","4.86","0.0","0.0","0.0","0.0","55.56","93.28","421.01","210.51","365.45","327.73","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","385.19","0.19","0.8","0.0","7.02","0.8","5.64","0.0","0.0","0.0","0.0","61.21","93.28","421.01","210.51","359.8","327.73","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","385.19","0.19","0.81","0.0","6.61","0.81","5.35","0.0","0.0","0.0","0.0","66.56","93.28","421.01","210.51","354.45","327.73","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","385.19","0.19","0.82","0.0","6.86","0.82","5.6","0.0","0.0","0.0","0.0","72.16","93.28","421.01","210.51","348.85","327.73","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","385.19","0.18","0.82","0.0","7.19","0.82","5.91","0.0","0.0","0.0","0.0","78.07","93.28","421.01","210.51","342.94","327.73","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","385.19","0.18","0.83","0.0","7.38","0.83","6.11","0.0","0.0","0.0","0.0","84.18","93.28","421.01","210.51","336.84","327.73","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","385.19","0.18","0.83","0.0","6.92","0.83","5.77","0.0","0.0","0.0","0.0","89.95","93.28","421.01","210.51","331.07","327.73","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","385.19","0.17","0.84","0.0","7.41","0.84","6.22","0.0","0.0","0.0","0.0","0.0","93.28","421.01","210.51","421.01","327.73","96.17","","","","","","",""
"2016.0","6.0","4.0","156.0","385.19","0.17","0.85","0.0","4.7","0.85","3.97","0.0","0.0","0.0","0.0","3.97","93.28","421.01","210.51","417.04","327.73","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","385.19","0.17","0.85","0.0","7.65","0.85","6.51","0.0","0.0","0.0","0.0","10.49","93.28","421.01","210.51","410.53","327.73","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","385.19","0.17","0.86","0.0","7.32","0.86","6.28","0.0","0.0","0.0","0.0","16.76","93.28","421.01","210.51","404.25","327.73","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","385.19","0.16","0.86","0.0","6.88","0.86","5.94","0.0","0.0","0.0","0.0","22.7","93.28","421.01","210.51","398.31","327.73","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","385.19","0.16","0.87","0.0","6.66","0.87","5.79","0.0","0.0","0.0","0.0","28.49","93.28","421.01","210.51","392.53","327.73","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","385.19","0.16","0.87","0.0","6.33","0.87","5.54","0.0","0.0","0.0","0.0","34.03","93.28","421.01","210.51","386.99","327.73","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","385.19","0.16","0.88","0.0","6.63","0.88","5.84","0.0","0.0","0.0","0.0","39.87","93.28","421.01","210.51","381.15","327.73","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","385.19","0.15","0.89","0.0","6.93","0.89","6.15","0.0","0.0","0.0","0.0","46.01","93.28","421.01","210.51","375.0","327.73","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","385.19","0.15","0.89","0.0","7.07","0.89","6.31","0.0","0.0","0.0","0.0","52.33","93.28","421.01","210.51","368.69","327.73","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","385.19","0.15","0.9","0.0","6.74","0.9","6.06","0.0","0.0","0.0","0.0","58.38","93.28","421.01","210.51","362.63","327.73","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","385.19","0.15","0.9","0.0","6.25","0.9","5.65","0.0","0.0","0.0","0.0","64.04","93.28","421.01","210.51","356.98","327.73","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","385.19","0.15","0.91","0.0","5.13","0.91","4.67","0.0","0.0","0.0","0.0","68.71","93.28","421.01","210.51","352.31","327.73","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","385.19","0.15","0.92","0.0","5.19","0.92","4.76","0.0","0.0","0.0","0.0","73.46","93.28","421.01","210.51","347.55","327.73","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","385.19","0.15","0.92","0.0","4.72","0.92","4.35","0.0","0.0","0.0","0.0","77.81","93.28","421.01","210.51","343.2","327.73","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","385.19","0.14","0.93","0.0","6.09","0.93","5.65","0.0","0.0","0.0","0.0","83.47","93.28","421.01","210.51","337.55","327.73","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","385.19","0.14","0.93","0.0","6.77","0.93","6.32","0.0","0.0","0.0","0.0","89.79","93.28","421.01","210.51","331.22","327.73","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","385.19","0.14","0.94","0.0","7.37","0.94","6.93","0.0","0.0","0.0","0.0","0.0","93.28","421.01","210.51","421.01","327.73","96.72","","","","","","",""
"2016.0","6.0","21.0","173.0","385.19","0.14","0.95","0.0","7.68","0.95","7.26","0.0","0.0","0.0","0.0","7.26","93.28","421.01","210.51","413.75","327.73","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","385.19","0.14","0.95","0.0","7.83","0.95","7.45","0.0","0.0","0.0","0.0","14.72","93.28","421.01","210.51","406.3","327.73","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","385.19","0.14","0.96","0.0","7.67","0.96","7.35","0.0","0.0","0.0","0.0","22.06","93.28","421.01","210.51","398.95","327.73","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","385.19","0.13","0.96","0.0","7.0","0.96","6.75","0.0","0.0","0.0","0.0","28.81","93.28","421.01","210.51","392.21","327.73","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","385.19","0.13","0.97","0.0","7.78","0.97","7.54","0.0","0.0","0.0","0.0","36.35","93.28","421.01","210.51","384.66","327.73","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","385.19","0.13","0.98","0.0","7.64","0.98","7.45","0.0","0.0","0.0","0.0","43.8","93.28","421.01","210.51","377.21","327.73","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","385.19","0.13","0.98","0.0","8.07","0.98","7.92","0.0","0.0","0.0","0.0","51.72","93.28","421.01","210.51","369.29","327.73","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","385.19","0.13","0.99","0.0","8.11","0.99","8.01","0.0","0.0","0.0","0.0","59.73","93.28","421.01","210.51","361.28","327.73","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","385.19","0.13","0.99","0.0","7.53","0.99","7.48","0.0","0.0","0.0","0.0","67.21","93.28","421.01","210.51","353.8","327.73","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","385.19","0.13","1.0","0.0","7.46","1.0","7.45","0.0","0.0","0.0","0.0","74.66","93.28","421.01","210.51","346.35","327.73","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","385.19","0.13","1.01","0.0","7.37","1.01","7.41","0.0","0.0","0.0","0.0","82.07","93.28","421.01","210.51","338.94","327.73","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","385.19","0.12","1.01","0.0","7.33","1.01","7.41","0.0","0.0","0.0","0.0","89.48","93.28","421.01","210.51","331.53","327.73","0.0","","","","","","",""
