" Daily soil water balance output for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","4478.58","0.58","0.0","0.0","1.8","0.58","1.04","0.0","0.0","0.0","0.0","18.62","24.3","491.66","245.83","473.04","467.36","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","4478.58","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","24.3","491.66","245.83","471.99","467.36","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","4478.58","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","24.3","491.66","245.83","470.75","467.36","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","4478.58","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","24.3","491.66","245.83","469.27","467.36","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","4478.58","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","24.3","491.66","245.83","468.1","467.36","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","4478.58","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","24.3","491.66","245.83","467.07","467.36","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","4478.58","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","4478.58","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","13.91","24.3","491.66","245.83","477.75","467.36","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","4478.58","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","14.28","24.3","491.66","245.83","477.38","467.36","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","4478.58","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","16.32","24.3","491.66","245.83","475.34","467.36","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","4478.58","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","18.38","24.3","491.66","245.83","473.29","467.36","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","4478.58","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","20.69","24.3","491.66","245.83","470.97","467.36","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","4478.58","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","22.63","24.3","491.66","245.83","469.03","467.36","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","4478.58","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","24.27","24.3","491.66","245.83","467.39","467.36","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","4478.58","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","25.86","24.3","491.66","245.83","465.8","467.36","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","4478.58","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","4478.58","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","25.74","24.3","491.66","245.83","465.93","467.36","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","4478.58","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","4478.58","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","25.73","24.3","491.66","245.83","465.93","467.36","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","4478.58","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","4478.58","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","25.58","24.3","491.66","245.83","466.08","467.36","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","4478.58","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","4478.58","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","25.05","24.3","491.66","245.83","466.61","467.36","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","4478.58","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","15.52","24.3","491.66","245.83","476.14","467.36","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","4478.58","1.13","0.0","0.0","2.24","1.13","2.53","23.66","18.05","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","4478.58","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","4478.58","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","24.3","491.66","245.83","491.63","467.36","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","4478.58","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","24.3","491.66","245.83","489.17","467.36","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","4478.58","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","24.3","491.66","245.83","487.56","467.36","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","4478.58","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","24.3","491.66","245.83","488.27","467.36","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","4478.58","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","4478.58","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","4478.58","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","4478.58","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","24.3","491.66","245.83","488.29","467.36","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","4478.58","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","24.3","491.66","245.83","485.39","467.36","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","4478.58","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","24.3","491.66","245.83","482.89","467.36","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","4478.58","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","24.3","491.66","245.83","480.7","467.36","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","4478.58","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","24.3","491.66","245.83","478.7","467.36","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","4478.58","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","24.3","491.66","245.83","477.15","467.36","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","4478.58","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","24.3","491.66","245.83","476.8","467.36","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","4478.58","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","24.3","491.66","245.83","476.01","467.36","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","4478.58","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","24.3","491.66","245.83","474.3","467.36","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","4478.58","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","24.3","491.66","245.83","472.74","467.36","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","4478.58","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","24.3","491.66","245.83","471.08","467.36","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","4478.58","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","24.3","491.66","245.83","469.25","467.36","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","4478.58","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","23.88","24.3","491.66","245.83","467.78","467.36","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","4478.58","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","25.24","24.3","491.66","245.83","466.42","467.36","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","4478.58","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","4478.58","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","25.61","24.3","491.66","245.83","466.05","467.36","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","4478.58","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","4478.58","0.34","0.0","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","25.58","24.3","491.66","245.83","466.08","467.36","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","4478.58","0.33","0.0","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","4478.58","0.32","0.0","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","25.63","24.3","491.66","245.83","466.03","467.36","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","4478.58","0.31","0.0","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","4478.58","0.3","0.0","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","25.96","24.3","491.66","245.83","465.7","467.36","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","4478.58","0.29","0.0","0.0","4.85","0.29","1.42","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","4478.58","0.28","0.0","0.0","4.26","0.28","1.21","0.0","0.0","0.0","0.0","25.51","24.3","491.66","245.83","466.15","467.36","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","4478.58","0.28","0.0","0.0","3.38","0.28","0.95","0.01","0.01","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","4478.58","1.16","0.0","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","17.94","24.3","491.66","245.83","473.72","467.36","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","4478.58","1.14","0.0","0.0","2.05","1.14","2.33","30.23","20.28","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","4478.58","1.12","0.0","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","24.3","491.66","245.83","489.0","467.36","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","4478.58","0.94","0.0","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","24.3","491.66","245.83","485.97","467.36","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","4478.58","0.76","0.0","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","24.3","491.66","245.83","482.75","467.36","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","4478.58","0.66","0.0","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","24.3","491.66","245.83","481.6","467.36","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","4478.58","0.57","0.55","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","100.52","491.66","245.83","478.48","391.14","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","4478.58","0.51","0.56","0.0","5.16","0.56","2.88","0.0","0.0","0.0","0.0","16.06","100.52","491.66","245.83","475.6","391.14","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","4478.58","0.47","0.57","0.0","4.85","0.57","2.74","0.0","0.0","0.0","0.0","18.8","100.52","491.66","245.83","472.86","391.14","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","4478.58","0.44","0.57","0.0","5.18","0.57","2.97","0.0","0.0","0.0","0.0","21.77","100.52","491.66","245.83","469.89","391.14","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","4478.58","0.41","0.58","0.0","4.94","0.58","2.87","0.0","0.0","0.0","0.0","24.65","100.52","491.66","245.83","467.01","391.14","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","4478.58","0.39","0.59","0.0","5.19","0.59","3.06","0.0","0.0","0.0","0.0","27.71","100.52","491.66","245.83","463.95","391.14","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","4478.58","0.37","0.6","0.0","3.95","0.6","2.36","0.0","0.0","0.0","0.0","30.07","100.52","491.66","245.83","461.59","391.14","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","4478.58","0.36","0.61","0.0","2.76","0.61","1.67","0.01","0.01","0.0","0.0","31.73","100.52","491.66","245.83","459.93","391.14","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","4478.58","1.06","0.61","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","30.12","100.52","491.66","245.83","461.54","391.14","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","4478.58","0.9","0.62","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","34.29","100.52","491.66","245.83","457.37","391.14","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","4478.58","0.7","0.63","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","38.09","100.52","491.66","245.83","453.57","391.14","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","4478.58","0.61","0.64","0.0","4.78","0.64","3.04","0.0","0.0","0.0","0.0","41.13","100.52","491.66","245.83","450.53","391.14","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","4478.58","0.56","0.64","0.0","3.73","0.64","2.4","0.04","0.04","0.0","0.0","43.5","100.52","491.66","245.83","448.16","391.14","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","4478.58","0.5","0.65","0.0","5.66","0.65","3.69","3.4","3.4","0.0","0.0","43.79","100.52","491.66","245.83","447.87","391.14","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","4478.58","0.46","0.66","0.0","5.01","0.66","3.31","0.0","0.0","0.0","0.0","47.1","100.52","491.66","245.83","444.56","391.14","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","4478.58","0.41","0.67","0.0","7.32","0.67","4.89","0.0","0.0","0.0","0.0","52.0","100.52","491.66","245.83","439.66","391.14","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","4478.58","0.38","0.68","0.0","5.79","0.68","3.92","0.0","0.0","0.0","0.0","55.91","100.52","491.66","245.83","435.75","391.14","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","4478.58","0.36","0.68","0.0","5.39","0.68","3.69","0.0","0.0","0.0","0.0","59.6","100.52","491.66","245.83","432.06","391.14","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","4478.58","0.35","0.69","0.0","4.47","0.69","3.09","0.0","0.0","0.0","0.0","62.69","100.52","491.66","245.83","428.97","391.14","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","4478.58","0.34","0.7","0.0","4.71","0.7","3.3","0.0","0.0","0.0","0.0","65.99","100.52","491.66","245.83","425.67","391.14","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","4478.58","0.33","0.71","0.0","2.67","0.71","1.89","0.0","0.0","0.0","0.0","67.88","100.52","491.66","245.83","423.78","391.14","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","4478.58","0.33","0.72","0.0","1.97","0.72","1.41","0.26","0.26","0.0","0.0","69.03","100.52","491.66","245.83","422.63","391.14","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","4478.58","1.13","0.72","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","64.35","100.52","491.66","245.83","427.31","391.14","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","4478.58","1.11","0.73","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","67.36","100.52","491.66","245.83","424.3","391.14","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","4478.58","0.84","0.74","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","71.32","100.52","491.66","245.83","420.34","391.14","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","4478.58","0.67","0.75","0.0","5.58","0.75","4.17","0.0","0.0","0.0","0.0","75.49","100.52","491.66","245.83","416.17","391.14","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","4478.58","0.57","0.76","0.0","5.92","0.76","4.47","0.0","0.0","0.0","0.0","79.96","100.52","491.66","245.83","411.7","391.14","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","4478.58","0.5","0.76","0.0","6.04","0.76","4.61","0.0","0.0","0.0","0.0","84.57","100.52","491.66","245.83","407.09","391.14","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","4478.58","0.46","0.77","0.0","5.58","0.77","4.3","0.0","0.0","0.0","0.0","88.87","100.52","491.66","245.83","402.79","391.14","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","4478.58","0.42","0.78","0.0","5.14","0.78","4.0","0.0","0.0","0.0","0.0","92.87","100.52","491.66","245.83","398.79","391.14","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","4478.58","0.4","0.79","0.0","5.58","0.79","4.39","0.0","0.0","0.0","0.0","97.27","100.52","491.66","245.83","394.39","391.14","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","4478.58","0.37","0.79","0.0","6.65","0.79","5.29","0.0","0.0","0.0","0.0","0.0","100.52","491.66","245.83","491.66","391.14","102.55","","","","","","",""
"2016.0","5.0","17.0","138.0","4478.58","0.34","0.8","0.0","7.63","0.8","6.12","0.0","0.0","0.0","0.0","6.12","100.52","491.66","245.83","485.54","391.14","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","4478.58","0.32","0.81","0.0","7.1","0.81","5.75","0.0","0.0","0.0","0.0","11.88","100.52","491.66","245.83","479.78","391.14","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","4478.58","0.31","0.82","0.0","6.31","0.82","5.16","0.0","0.0","0.0","0.0","17.04","100.52","491.66","245.83","474.62","391.14","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","4478.58","0.3","0.83","0.0","5.02","0.83","4.15","0.0","0.0","0.0","0.0","21.19","100.52","491.66","245.83","470.47","391.14","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","4478.58","0.29","0.83","0.0","3.47","0.83","2.89","0.0","0.0","0.0","0.0","24.09","100.52","491.66","245.83","467.57","391.14","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","4478.58","0.28","0.84","0.0","4.27","0.84","3.6","1.71","1.71","0.0","0.0","25.97","100.52","491.66","245.83","465.69","391.14","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","4478.58","0.28","0.85","0.0","4.87","0.85","4.14","0.0","0.0","0.0","0.0","30.11","100.52","491.66","245.83","461.55","391.14","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","4478.58","0.27","0.86","0.0","4.92","0.86","4.22","0.0","0.0","0.0","0.0","34.33","100.52","491.66","245.83","457.33","391.14","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","4478.58","0.26","0.87","0.0","5.35","0.87","4.63","0.0","0.0","0.0","0.0","38.96","100.52","491.66","245.83","452.7","391.14","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","4478.58","0.25","0.87","0.0","5.71","0.87","4.99","0.0","0.0","0.0","0.0","43.95","100.52","491.66","245.83","447.71","391.14","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","4478.58","0.25","0.88","0.0","6.09","0.88","5.37","0.0","0.0","0.0","0.0","49.32","100.52","491.66","245.83","442.34","391.14","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","4478.58","0.24","0.89","0.0","6.94","0.89","6.17","0.0","0.0","0.0","0.0","55.49","100.52","491.66","245.83","436.17","391.14","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","4478.58","0.23","0.9","0.0","6.63","0.9","5.95","0.0","0.0","0.0","0.0","61.44","100.52","491.66","245.83","430.22","391.14","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","4478.58","0.23","0.91","0.0","6.85","0.91","6.2","0.0","0.0","0.0","0.0","67.65","100.52","491.66","245.83","424.02","391.14","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","4478.58","0.22","0.91","0.0","7.16","0.91","6.54","0.0","0.0","0.0","0.0","74.18","100.52","491.66","245.83","417.48","391.14","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","4478.58","0.21","0.92","0.0","7.16","0.92","6.59","0.0","0.0","0.0","0.0","80.78","100.52","491.66","245.83","410.88","391.14","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","4478.58","0.21","0.93","0.0","7.01","0.93","6.51","0.0","0.0","0.0","0.0","87.29","100.52","491.66","245.83","404.37","391.14","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","4478.58","0.2","0.94","0.0","7.38","0.94","6.91","0.0","0.0","0.0","0.0","94.2","100.52","491.66","245.83","397.46","391.14","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","4478.58","0.2","0.94","0.0","5.17","0.94","4.88","0.0","0.0","0.0","0.0","99.09","100.52","491.66","245.83","392.57","391.14","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","4478.58","0.2","0.95","0.0","7.76","0.95","7.39","0.0","0.0","0.0","0.0","0.0","100.52","491.66","245.83","491.66","391.14","106.48","","","","","","",""
"2016.0","6.0","6.0","158.0","4478.58","0.19","0.96","0.0","7.24","0.96","6.95","0.0","0.0","0.0","0.0","6.95","100.52","491.66","245.83","484.71","391.14","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","4478.58","0.19","0.97","0.0","6.94","0.97","6.72","0.0","0.0","0.0","0.0","13.68","100.52","491.66","245.83","477.99","391.14","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","4478.58","0.19","0.98","0.0","6.51","0.98","6.36","0.0","0.0","0.0","0.0","20.03","100.52","491.66","245.83","471.63","391.14","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","4478.58","0.18","0.98","0.0","6.32","0.98","6.22","0.0","0.0","0.0","0.0","26.25","100.52","491.66","245.83","465.41","391.14","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","4478.58","0.18","0.99","0.0","6.71","0.99","6.66","0.0","0.0","0.0","0.0","32.91","100.52","491.66","245.83","458.75","391.14","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","4478.58","0.18","1.0","0.0","6.85","1.0","6.85","0.0","0.0","0.0","0.0","39.76","100.52","491.66","245.83","451.9","391.14","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","4478.58","0.17","1.01","0.0","6.87","1.01","6.92","0.0","0.0","0.0","0.0","46.68","100.52","491.66","245.83","444.98","391.14","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","4478.58","0.17","1.02","0.0","6.59","1.02","6.69","0.0","0.0","0.0","0.0","53.38","100.52","491.66","245.83","438.28","391.14","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","4478.58","0.17","1.02","0.0","6.48","1.02","6.63","0.0","0.0","0.0","0.0","60.01","100.52","491.66","245.83","431.65","391.14","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","4478.58","0.17","1.03","0.0","5.54","1.03","5.71","0.0","0.0","0.0","0.0","65.72","100.52","491.66","245.83","425.94","391.14","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","4478.58","0.16","1.04","0.0","5.48","1.04","5.7","0.0","0.0","0.0","0.0","71.42","100.52","491.66","245.83","420.24","391.14","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","4478.58","0.16","1.05","0.0","5.34","1.05","5.59","0.0","0.0","0.0","0.0","77.01","100.52","491.66","245.83","414.65","391.14","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","4478.58","0.16","1.06","0.0","6.31","1.06","6.66","0.0","0.0","0.0","0.0","83.67","100.52","491.66","245.83","407.99","391.14","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","4478.58","0.16","1.06","0.0","6.96","1.06","7.4","0.0","0.0","0.0","0.0","91.07","100.52","491.66","245.83","400.59","391.14","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","4478.58","0.16","1.07","0.0","7.57","1.07","8.11","0.0","0.0","0.0","0.0","99.18","100.52","491.66","245.83","392.48","391.14","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","4478.58","0.15","1.08","0.0","7.92","1.08","8.55","0.0","0.0","0.0","0.0","0.0","100.52","491.66","245.83","491.66","391.14","107.73","","","","","","",""
"2016.0","6.0","22.0","174.0","4478.58","0.15","1.09","0.0","7.86","1.09","8.54","0.0","0.0","0.0","0.0","8.54","100.52","491.66","245.83","483.12","391.14","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","4478.58","0.15","1.09","0.0","7.8","1.09","8.54","0.0","0.0","0.0","0.0","17.08","100.52","491.66","245.83","474.58","391.14","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","4478.58","0.15","1.1","0.0","7.05","1.1","7.77","0.0","0.0","0.0","0.0","24.86","100.52","491.66","245.83","466.81","391.14","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","4478.58","0.15","1.11","0.0","7.82","1.11","8.68","0.0","0.0","0.0","0.0","33.54","100.52","491.66","245.83","458.12","391.14","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","4478.58","0.14","1.12","0.0","7.71","1.12","8.62","0.0","0.0","0.0","0.0","42.16","100.52","491.66","245.83","449.5","391.14","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","4478.58","0.14","1.13","0.0","8.18","1.13","9.21","0.0","0.0","0.0","0.0","51.38","100.52","491.66","245.83","440.28","391.14","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","4478.58","0.14","1.13","0.0","8.09","1.13","9.18","0.0","0.0","0.0","0.0","60.55","100.52","491.66","245.83","431.11","391.14","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","4478.58","0.14","1.14","0.0","7.45","1.14","8.51","0.0","0.0","0.0","0.0","69.06","100.52","491.66","245.83","422.6","391.14","0.0","","","","","","",""
