" Daily soil water balance output for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","420.99","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","24.3","345.64","172.82","324.74","321.34","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","420.99","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","24.3","345.64","172.82","323.25","321.34","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","420.99","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","24.3","345.64","172.82","322.08","321.34","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","420.99","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","24.3","345.64","172.82","321.05","321.34","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","420.99","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","420.99","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","13.91","24.3","345.64","172.82","331.74","321.34","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","420.99","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","14.28","24.3","345.64","172.82","331.37","321.34","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","420.99","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","16.32","24.3","345.64","172.82","329.33","321.34","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","420.99","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","18.38","24.3","345.64","172.82","327.27","321.34","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","420.99","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","20.69","24.3","345.64","172.82","324.95","321.34","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","420.99","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","22.63","24.3","345.64","172.82","323.01","321.34","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","420.99","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","24.27","24.3","345.64","172.82","321.37","321.34","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","420.99","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","25.86","24.3","345.64","172.82","319.79","321.34","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","420.99","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","420.99","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","25.74","24.3","345.64","172.82","319.91","321.34","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","420.99","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","420.99","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","25.73","24.3","345.64","172.82","319.91","321.34","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","420.99","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","420.99","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","25.58","24.3","345.64","172.82","320.06","321.34","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","420.99","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","420.99","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","25.05","24.3","345.64","172.82","320.6","321.34","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","420.99","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","15.52","24.3","345.64","172.82","330.13","321.34","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","420.99","1.13","0.0","0.0","2.24","1.13","2.53","23.66","18.05","0.0","0.0","0.0","24.3","345.64","172.82","345.64","321.34","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","420.99","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","24.3","345.64","172.82","345.64","321.34","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","420.99","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","24.3","345.64","172.82","345.61","321.34","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","420.99","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","24.3","345.64","172.82","343.16","321.34","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","420.99","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","24.3","345.64","172.82","341.54","321.34","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","420.99","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","24.3","345.64","172.82","342.26","321.34","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","420.99","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","24.3","345.64","172.82","345.64","321.34","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","420.99","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","24.3","345.64","172.82","345.64","321.34","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","420.99","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","24.3","345.64","172.82","345.64","321.34","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","420.99","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","24.3","345.64","172.82","342.27","321.34","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","420.99","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","24.3","345.64","172.82","339.37","321.34","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","420.99","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","24.3","345.64","172.82","336.88","321.34","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","420.99","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","24.3","345.64","172.82","334.68","321.34","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","420.99","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","24.3","345.64","172.82","332.68","321.34","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","420.99","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","24.3","345.64","172.82","331.13","321.34","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","420.99","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","24.3","345.64","172.82","330.79","321.34","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","420.99","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","24.3","345.64","172.82","329.99","321.34","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","420.99","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","24.3","345.64","172.82","328.28","321.34","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","420.99","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","24.3","345.64","172.82","326.72","321.34","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","420.99","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","24.3","345.64","172.82","325.06","321.34","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","420.99","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","24.3","345.64","172.82","323.23","321.34","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","420.99","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","23.88","24.3","345.64","172.82","321.77","321.34","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","420.99","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","25.24","24.3","345.64","172.82","320.4","321.34","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","420.99","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","420.99","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","25.61","24.3","345.64","172.82","320.03","321.34","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","420.99","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","420.99","0.34","0.0","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","25.58","24.3","345.64","172.82","320.07","321.34","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","420.99","0.33","0.0","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","420.99","0.32","0.0","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","25.63","24.3","345.64","172.82","320.01","321.34","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","420.99","0.31","0.0","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","420.99","0.3","0.0","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","25.96","24.3","345.64","172.82","319.68","321.34","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","420.99","0.29","0.0","0.0","4.85","0.29","1.42","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","420.99","0.28","0.0","0.0","4.26","0.28","1.21","0.0","0.0","0.0","0.0","25.51","24.3","345.64","172.82","320.13","321.34","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","420.99","0.28","0.0","0.0","3.38","0.28","0.95","0.01","0.01","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","420.99","1.16","0.0","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","17.94","24.3","345.64","172.82","327.7","321.34","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","420.99","1.14","0.0","0.0","2.05","1.14","2.33","30.23","20.28","0.0","0.0","0.0","24.3","345.64","172.82","345.64","321.34","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","420.99","1.12","0.0","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","24.3","345.64","172.82","342.99","321.34","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","420.99","0.94","0.0","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","24.3","345.64","172.82","339.95","321.34","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","420.99","0.76","0.0","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","24.3","345.64","172.82","336.73","321.34","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","420.99","0.66","0.0","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","24.3","345.64","172.82","335.59","321.34","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","420.99","0.57","0.55","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","76.35","345.64","172.82","332.46","269.29","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","420.99","0.51","0.56","0.0","5.16","0.56","2.88","0.0","0.0","0.0","0.0","16.06","76.35","345.64","172.82","329.59","269.29","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","420.99","0.47","0.57","0.0","4.85","0.57","2.74","0.0","0.0","0.0","0.0","18.8","76.35","345.64","172.82","326.84","269.29","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","420.99","0.44","0.57","0.0","5.18","0.57","2.97","0.0","0.0","0.0","0.0","21.78","76.35","345.64","172.82","323.87","269.29","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","420.99","0.41","0.58","0.0","4.94","0.58","2.87","0.0","0.0","0.0","0.0","24.65","76.35","345.64","172.82","320.99","269.29","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","420.99","0.39","0.59","0.0","5.19","0.59","3.06","0.0","0.0","0.0","0.0","27.71","76.35","345.64","172.82","317.93","269.29","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","420.99","0.37","0.6","0.0","3.95","0.6","2.36","0.0","0.0","0.0","0.0","30.07","76.35","345.64","172.82","315.57","269.29","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","420.99","0.36","0.61","0.0","2.76","0.61","1.67","0.01","0.01","0.0","0.0","31.73","76.35","345.64","172.82","313.91","269.29","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","420.99","1.06","0.61","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","30.13","76.35","345.64","172.82","315.51","269.29","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","420.99","0.9","0.62","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","34.29","76.35","345.64","172.82","311.35","269.29","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","420.99","0.7","0.63","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","38.1","76.35","345.64","172.82","307.55","269.29","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","420.99","0.61","0.64","0.0","4.78","0.64","3.05","0.0","0.0","0.0","0.0","41.14","76.35","345.64","172.82","304.5","269.29","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","420.99","0.56","0.65","0.0","3.73","0.65","2.41","0.04","0.04","0.0","0.0","43.51","76.35","345.64","172.82","302.13","269.29","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","420.99","0.5","0.65","0.0","5.66","0.65","3.7","3.4","3.4","0.0","0.0","43.81","76.35","345.64","172.82","301.84","269.29","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","420.99","0.46","0.66","0.0","5.01","0.66","3.31","0.0","0.0","0.0","0.0","47.12","76.35","345.64","172.82","298.52","269.29","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","420.99","0.41","0.67","0.0","7.32","0.67","4.9","0.0","0.0","0.0","0.0","52.02","76.35","345.64","172.82","293.62","269.29","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","420.99","0.38","0.68","0.0","5.79","0.68","3.92","0.0","0.0","0.0","0.0","55.94","76.35","345.64","172.82","289.7","269.29","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","420.99","0.36","0.69","0.0","5.39","0.69","3.69","0.0","0.0","0.0","0.0","59.63","76.35","345.64","172.82","286.01","269.29","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","420.99","0.35","0.69","0.0","4.47","0.69","3.1","0.0","0.0","0.0","0.0","62.73","76.35","345.64","172.82","282.91","269.29","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","420.99","0.34","0.7","0.0","4.71","0.7","3.3","0.0","0.0","0.0","0.0","66.03","76.35","345.64","172.82","279.61","269.29","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","420.99","0.33","0.71","0.0","2.67","0.71","1.89","0.0","0.0","0.0","0.0","67.92","76.35","345.64","172.82","277.72","269.29","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","420.99","0.33","0.72","0.0","1.97","0.72","1.41","0.26","0.26","0.0","0.0","69.08","76.35","345.64","172.82","276.57","269.29","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","420.99","1.13","0.72","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","64.4","76.35","345.64","172.82","281.25","269.29","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","420.99","1.11","0.73","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","67.4","76.35","345.64","172.82","278.24","269.29","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","420.99","0.84","0.74","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","71.36","76.35","345.64","172.82","274.28","269.29","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","420.99","0.67","0.75","0.0","5.58","0.75","4.18","0.0","0.0","0.0","0.0","75.54","76.35","345.64","172.82","270.1","269.29","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","420.99","0.57","0.76","0.0","5.92","0.76","4.48","0.0","0.0","0.0","0.0","0.0","76.35","345.64","172.82","345.64","269.29","80.02","","","","","","",""
"2016.0","5.0","12.0","133.0","420.99","0.5","0.76","0.0","6.04","0.76","4.62","0.0","0.0","0.0","0.0","4.62","76.35","345.64","172.82","341.03","269.29","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","420.99","0.46","0.77","0.0","5.58","0.77","4.31","0.0","0.0","0.0","0.0","8.93","76.35","345.64","172.82","336.72","269.29","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","420.99","0.42","0.78","0.0","5.14","0.78","4.01","0.0","0.0","0.0","0.0","12.94","76.35","345.64","172.82","332.7","269.29","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","420.99","0.4","0.79","0.0","5.58","0.79","4.4","0.0","0.0","0.0","0.0","17.34","76.35","345.64","172.82","328.3","269.29","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","420.99","0.37","0.8","0.0","6.65","0.8","5.3","0.0","0.0","0.0","0.0","22.63","76.35","345.64","172.82","323.01","269.29","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","420.99","0.34","0.8","0.0","7.63","0.8","6.14","0.0","0.0","0.0","0.0","28.77","76.35","345.64","172.82","316.87","269.29","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","420.99","0.32","0.81","0.0","7.1","0.81","5.77","0.0","0.0","0.0","0.0","34.54","76.35","345.64","172.82","311.11","269.29","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","420.99","0.31","0.82","0.0","6.31","0.82","5.18","0.0","0.0","0.0","0.0","39.71","76.35","345.64","172.82","305.93","269.29","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","420.99","0.3","0.83","0.0","5.02","0.83","4.16","0.0","0.0","0.0","0.0","43.87","76.35","345.64","172.82","301.77","269.29","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","420.99","0.29","0.84","0.0","3.47","0.84","2.9","0.0","0.0","0.0","0.0","46.77","76.35","345.64","172.82","298.87","269.29","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","420.99","0.28","0.84","0.0","4.27","0.84","3.6","1.71","1.71","0.0","0.0","48.66","76.35","345.64","172.82","296.98","269.29","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","420.99","0.28","0.85","0.0","4.87","0.85","4.15","0.0","0.0","0.0","0.0","52.81","76.35","345.64","172.82","292.83","269.29","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","420.99","0.27","0.86","0.0","4.92","0.86","4.23","0.0","0.0","0.0","0.0","57.04","76.35","345.64","172.82","288.6","269.29","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","420.99","0.26","0.87","0.0","5.35","0.87","4.64","0.0","0.0","0.0","0.0","61.69","76.35","345.64","172.82","283.96","269.29","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","420.99","0.25","0.88","0.0","5.71","0.88","5.0","0.0","0.0","0.0","0.0","66.69","76.35","345.64","172.82","278.96","269.29","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","420.99","0.25","0.88","0.0","6.09","0.88","5.38","0.0","0.0","0.0","0.0","72.07","76.35","345.64","172.82","273.58","269.29","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","420.99","0.24","0.89","0.0","6.94","0.89","6.19","0.0","0.0","0.0","0.0","0.0","76.35","345.64","172.82","345.64","269.29","78.26","","","","","","",""
"2016.0","5.0","29.0","150.0","420.99","0.23","0.9","0.0","6.63","0.9","5.96","0.0","0.0","0.0","0.0","5.96","76.35","345.64","172.82","339.68","269.29","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","420.99","0.23","0.91","0.0","6.85","0.91","6.22","0.0","0.0","0.0","0.0","12.18","76.35","345.64","172.82","333.46","269.29","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","420.99","0.22","0.92","0.0","7.16","0.92","6.55","0.0","0.0","0.0","0.0","18.74","76.35","345.64","172.82","326.91","269.29","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","420.99","0.21","0.92","0.0","7.16","0.92","6.61","0.0","0.0","0.0","0.0","25.35","76.35","345.64","172.82","320.3","269.29","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","420.99","0.21","0.93","0.0","7.01","0.93","6.53","0.0","0.0","0.0","0.0","31.88","76.35","345.64","172.82","313.77","269.29","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","420.99","0.2","0.94","0.0","7.38","0.94","6.93","0.0","0.0","0.0","0.0","38.81","76.35","345.64","172.82","306.83","269.29","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","420.99","0.2","0.95","0.0","5.17","0.95","4.9","0.0","0.0","0.0","0.0","43.71","76.35","345.64","172.82","301.94","269.29","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","420.99","0.2","0.96","0.0","7.76","0.96","7.41","0.0","0.0","0.0","0.0","51.12","76.35","345.64","172.82","294.52","269.29","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","420.99","0.19","0.96","0.0","7.24","0.96","6.97","0.0","0.0","0.0","0.0","58.09","76.35","345.64","172.82","287.55","269.29","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","420.99","0.19","0.97","0.0","6.94","0.97","6.74","0.0","0.0","0.0","0.0","64.83","76.35","345.64","172.82","280.81","269.29","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","420.99","0.19","0.98","0.0","6.51","0.98","6.37","0.0","0.0","0.0","0.0","71.2","76.35","345.64","172.82","274.44","269.29","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","420.99","0.18","0.99","0.0","6.32","0.99","6.24","0.0","0.0","0.0","0.0","0.0","76.35","345.64","172.82","345.64","269.29","77.44","","","","","","",""
"2016.0","6.0","10.0","162.0","420.99","0.18","0.99","0.0","6.71","0.99","6.68","0.0","0.0","0.0","0.0","6.68","76.35","345.64","172.82","338.97","269.29","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","420.99","0.18","1.0","0.0","6.85","1.0","6.87","0.0","0.0","0.0","0.0","13.55","76.35","345.64","172.82","332.1","269.29","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","420.99","0.17","1.01","0.0","6.87","1.01","6.94","0.0","0.0","0.0","0.0","20.49","76.35","345.64","172.82","325.15","269.29","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","420.99","0.17","1.02","0.0","6.59","1.02","6.71","0.0","0.0","0.0","0.0","27.2","76.35","345.64","172.82","318.44","269.29","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","420.99","0.17","1.03","0.0","6.48","1.03","6.65","0.0","0.0","0.0","0.0","33.86","76.35","345.64","172.82","311.79","269.29","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","420.99","0.17","1.03","0.0","5.54","1.03","5.73","0.0","0.0","0.0","0.0","39.59","76.35","345.64","172.82","306.05","269.29","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","420.99","0.16","1.04","0.0","5.48","1.04","5.71","0.0","0.0","0.0","0.0","45.3","76.35","345.64","172.82","300.34","269.29","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","420.99","0.16","1.05","0.0","5.34","1.05","5.61","0.0","0.0","0.0","0.0","50.91","76.35","345.64","172.82","294.73","269.29","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","420.99","0.16","1.06","0.0","6.31","1.06","6.68","0.0","0.0","0.0","0.0","57.59","76.35","345.64","172.82","288.05","269.29","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","420.99","0.16","1.07","0.0","6.96","1.07","7.42","0.0","0.0","0.0","0.0","65.01","76.35","345.64","172.82","280.63","269.29","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","420.99","0.16","1.07","0.0","7.57","1.07","8.13","0.0","0.0","0.0","0.0","73.15","76.35","345.64","172.82","272.5","269.29","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","420.99","0.15","1.08","0.0","7.92","1.08","8.57","0.0","0.0","0.0","0.0","0.0","76.35","345.64","172.82","345.64","269.29","81.72","","","","","","",""
"2016.0","6.0","22.0","174.0","420.99","0.15","1.09","0.0","7.86","1.09","8.57","0.0","0.0","0.0","0.0","8.57","76.35","345.64","172.82","337.07","269.29","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","420.99","0.15","1.1","0.0","7.8","1.1","8.57","0.0","0.0","0.0","0.0","17.14","76.35","345.64","172.82","328.51","269.29","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","420.99","0.15","1.11","0.0","7.05","1.11","7.8","0.0","0.0","0.0","0.0","24.93","76.35","345.64","172.82","320.71","269.29","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","420.99","0.15","1.11","0.0","7.82","1.11","8.71","0.0","0.0","0.0","0.0","33.65","76.35","345.64","172.82","312.0","269.29","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","420.99","0.14","1.12","0.0","7.71","1.12","8.65","0.0","0.0","0.0","0.0","42.3","76.35","345.64","172.82","303.35","269.29","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","420.99","0.14","1.13","0.0","8.18","1.13","9.24","0.0","0.0","0.0","0.0","51.54","76.35","345.64","172.82","294.1","269.29","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","420.99","0.14","1.13","0.0","8.09","1.13","9.14","0.0","0.0","0.0","0.0","60.68","76.35","345.64","172.82","284.96","269.29","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","420.99","0.14","1.13","0.0","7.45","1.13","8.42","0.0","0.0","0.0","0.0","69.1","76.35","345.64","172.82","276.54","269.29","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","420.99","0.14","1.13","0.0","7.3","1.13","8.25","0.0","0.0","0.0","0.0","0.0","76.35","345.64","172.82","345.64","269.29","77.35","","","","","","",""
"2016.0","7.0","1.0","183.0","420.99","0.14","1.13","0.0","7.23","1.13","8.17","0.0","0.0","0.0","0.0","8.17","76.35","345.64","172.82","337.47","269.29","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","420.99","0.13","1.13","0.0","7.18","1.13","8.11","0.0","0.0","0.0","0.0","16.28","76.35","345.64","172.82","329.36","269.29","0.0","","","","","","",""
