" Daily soil water balance output for Olives in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Olives in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","1418.65","0.56","0.7","0.0","1.89","0.7","1.32","0.0","0.0","0.0","0.0","20.54","86.72","395.02","197.51","374.48","308.3","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1418.65","0.53","0.7","0.0","2.32","0.7","1.62","0.0","0.0","0.0","0.0","22.16","86.72","395.02","197.51","372.86","308.3","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1418.65","0.51","0.7","0.0","2.94","0.7","2.06","0.0","0.0","0.0","0.0","24.22","86.72","395.02","197.51","370.8","308.3","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1418.65","0.49","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","25.9","86.72","395.02","197.51","369.12","308.3","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1418.65","0.47","0.7","0.0","2.18","0.7","1.53","0.0","0.0","0.0","0.0","27.42","86.72","395.02","197.51","367.6","308.3","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1418.65","0.45","0.7","0.0","2.89","0.7","2.02","0.0","0.0","0.0","0.0","29.45","86.72","395.02","197.51","365.57","308.3","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1418.65","1.14","0.7","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","19.05","86.72","395.02","197.51","375.97","308.3","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1418.65","1.15","0.7","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","19.42","86.72","395.02","197.51","375.6","308.3","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1418.65","1.15","0.7","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","21.46","86.72","395.02","197.51","373.56","308.3","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1418.65","1.01","0.7","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","23.52","86.72","395.02","197.51","371.5","308.3","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1418.65","0.87","0.7","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","25.84","86.72","395.02","197.51","369.18","308.3","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1418.65","0.78","0.7","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","27.78","86.72","395.02","197.51","367.24","308.3","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1418.65","0.72","0.7","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","29.42","86.72","395.02","197.51","365.6","308.3","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1418.65","0.66","0.7","0.0","2.39","0.7","1.67","0.0","0.0","0.0","0.0","31.09","86.72","395.02","197.51","363.93","308.3","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1418.65","0.62","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","32.81","86.72","395.02","197.51","362.21","308.3","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1418.65","0.59","0.7","0.0","2.45","0.7","1.72","0.0","0.0","0.0","0.0","34.53","86.72","395.02","197.51","360.49","308.3","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1418.65","0.56","0.7","0.0","2.08","0.7","1.46","0.0","0.0","0.0","0.0","35.98","86.72","395.02","197.51","359.04","308.3","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1418.65","0.53","0.7","0.0","2.7","0.7","1.89","0.0","0.0","0.0","0.0","37.87","86.72","395.02","197.51","357.15","308.3","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1418.65","0.5","0.7","0.0","3.07","0.7","2.15","0.0","0.0","0.0","0.0","40.02","86.72","395.02","197.51","355.0","308.3","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1418.65","0.48","0.7","0.0","2.66","0.7","1.86","0.0","0.0","0.0","0.0","41.88","86.72","395.02","197.51","353.14","308.3","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1418.65","0.47","0.7","0.0","2.01","0.7","1.41","0.0","0.0","0.0","0.0","43.29","86.72","395.02","197.51","351.73","308.3","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1418.65","0.46","0.7","0.0","1.63","0.7","1.14","0.0","0.0","0.0","0.0","44.43","86.72","395.02","197.51","350.59","308.3","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1418.65","1.17","0.7","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","36.41","86.72","395.02","197.51","358.61","308.3","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1418.65","1.13","0.7","0.0","2.24","1.13","2.53","23.66","23.66","0.0","0.0","15.28","86.72","395.02","197.51","379.74","308.3","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1418.65","1.16","0.7","0.0","1.43","1.16","1.66","16.86","16.86","0.0","0.0","0.08","86.72","395.02","197.51","394.94","308.3","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1418.65","1.14","0.7","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.11","86.72","395.02","197.51","394.91","308.3","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1418.65","1.14","0.7","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.57","86.72","395.02","197.51","392.45","308.3","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1418.65","1.14","0.7","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.19","86.72","395.02","197.51","390.84","308.3","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1418.65","1.16","0.7","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.47","86.72","395.02","197.51","391.55","308.3","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1418.65","1.14","0.7","0.0","1.94","1.14","2.22","10.13","5.69","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1418.65","1.17","0.7","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1418.65","1.12","0.7","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1418.65","1.11","0.7","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","86.72","395.02","197.51","391.65","308.3","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1418.65","0.93","0.7","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","86.72","395.02","197.51","388.75","308.3","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1418.65","0.79","0.7","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","86.72","395.02","197.51","386.25","308.3","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1418.65","0.7","0.7","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","86.72","395.02","197.51","384.06","308.3","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1418.65","0.64","0.7","0.0","3.12","0.7","2.18","0.0","0.0","0.0","0.0","13.15","86.72","395.02","197.51","381.87","308.3","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1418.65","0.6","0.7","0.0","2.58","0.7","1.81","0.0","0.0","0.0","0.0","14.96","86.72","395.02","197.51","380.07","308.3","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1418.65","0.57","0.7","0.0","2.43","0.7","1.7","1.04","1.04","0.0","0.0","15.62","86.72","395.02","197.51","379.4","308.3","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1418.65","0.53","0.7","0.0","3.06","0.7","2.14","0.84","0.84","0.0","0.0","16.92","86.72","395.02","197.51","378.1","308.3","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1418.65","0.5","0.7","0.0","3.41","0.7","2.39","0.0","0.0","0.0","0.0","19.31","86.72","395.02","197.51","375.72","308.3","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1418.65","0.48","0.7","0.0","3.28","0.7","2.3","0.0","0.0","0.0","0.0","21.6","86.72","395.02","197.51","373.42","308.3","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1418.65","0.45","0.7","0.0","3.68","0.7","2.58","0.0","0.0","0.0","0.0","24.18","86.72","395.02","197.51","370.84","308.3","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1418.65","0.43","0.7","0.0","4.3","0.7","3.01","0.0","0.0","0.0","0.0","27.19","86.72","395.02","197.51","367.83","308.3","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1418.65","0.41","0.7","0.0","3.59","0.7","2.51","0.0","0.0","0.0","0.0","29.7","86.72","395.02","197.51","365.32","308.3","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1418.65","0.39","0.7","0.0","3.48","0.7","2.44","0.0","0.0","0.0","0.0","32.14","86.72","395.02","197.51","362.88","308.3","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1418.65","0.38","0.7","0.0","3.78","0.7","2.65","0.01","0.01","0.0","0.0","34.77","86.72","395.02","197.51","360.25","308.3","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1418.65","0.37","0.7","0.0","3.59","0.7","2.51","0.0","0.0","0.0","0.0","37.29","86.72","395.02","197.51","357.74","308.3","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1418.65","0.35","0.7","0.0","3.81","0.7","2.67","0.0","0.0","0.0","0.0","39.95","86.72","395.02","197.51","355.07","308.3","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1418.65","0.34","0.7","0.0","3.73","0.7","2.61","0.0","0.0","0.0","0.0","42.56","86.72","395.02","197.51","352.46","308.3","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1418.65","0.33","0.7","0.0","3.81","0.7","2.67","0.0","0.0","0.0","0.0","45.23","86.72","395.02","197.51","349.79","308.3","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1418.65","0.32","0.7","0.0","4.13","0.7","2.89","0.0","0.0","0.0","0.0","48.12","86.72","395.02","197.51","346.9","308.3","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1418.65","0.31","0.7","0.0","4.33","0.7","3.03","0.0","0.0","0.0","0.0","51.15","86.72","395.02","197.51","343.87","308.3","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1418.65","0.3","0.7","0.0","5.51","0.7","3.86","0.0","0.0","0.0","0.0","55.01","86.72","395.02","197.51","340.01","308.3","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1418.65","0.29","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","58.4","86.72","395.02","197.51","336.62","308.3","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1418.65","0.28","0.7","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","61.39","86.72","395.02","197.51","333.63","308.3","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1418.65","0.28","0.7","0.0","3.38","0.7","2.37","0.01","0.01","0.0","0.0","63.74","86.72","395.02","197.51","331.28","308.3","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1418.65","1.16","0.7","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","57.39","86.72","395.02","197.51","337.63","308.3","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1418.65","1.14","0.7","0.0","2.05","1.14","2.33","30.23","30.23","0.0","0.0","29.49","86.72","395.02","197.51","365.53","308.3","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1418.65","1.12","0.7","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","32.15","86.72","395.02","197.51","362.87","308.3","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1418.65","0.94","0.7","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","35.18","86.72","395.02","197.51","359.84","308.3","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1418.65","0.76","0.7","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","38.4","86.72","395.02","197.51","356.62","308.3","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1418.65","0.66","0.7","0.0","4.17","0.7","2.92","1.61","1.61","0.0","0.0","39.71","86.72","395.02","197.51","355.31","308.3","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1418.65","0.57","0.7","0.0","5.48","0.7","3.84","0.0","0.0","0.0","0.0","43.55","86.72","395.02","197.51","351.47","308.3","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1418.65","0.51","0.7","0.0","5.16","0.7","3.61","0.0","0.0","0.0","0.0","47.16","86.72","395.02","197.51","347.86","308.3","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1418.65","0.47","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","50.56","86.72","395.02","197.51","344.47","308.3","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1418.65","0.44","0.7","0.0","5.18","0.7","3.63","0.0","0.0","0.0","0.0","54.18","86.72","395.02","197.51","340.84","308.3","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1418.65","0.41","0.7","0.0","4.94","0.7","3.46","0.0","0.0","0.0","0.0","57.64","86.72","395.02","197.51","337.38","308.3","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1418.65","0.39","0.7","0.0","5.19","0.7","3.63","0.0","0.0","0.0","0.0","61.27","86.72","395.02","197.51","333.75","308.3","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1418.65","0.37","0.7","0.0","3.95","0.7","2.77","0.0","0.0","0.0","0.0","64.04","86.72","395.02","197.51","330.98","308.3","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1418.65","0.36","0.7","0.0","2.76","0.7","1.93","0.01","0.01","0.0","0.0","65.96","86.72","395.02","197.51","329.06","308.3","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1418.65","1.06","0.7","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","64.36","86.72","395.02","197.51","330.66","308.3","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1418.65","0.9","0.7","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","68.52","86.72","395.02","197.51","326.5","308.3","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1418.65","0.7","0.7","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","72.32","86.72","395.02","197.51","322.7","308.3","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1418.65","0.61","0.7","0.0","4.78","0.7","3.35","0.0","0.0","0.0","0.0","75.67","86.72","395.02","197.51","319.35","308.3","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1418.65","0.56","0.7","0.0","3.73","0.7","2.61","0.04","0.04","0.0","0.0","78.24","86.72","395.02","197.51","316.78","308.3","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1418.65","0.5","0.7","0.0","5.66","0.7","3.96","3.4","3.4","0.0","0.0","78.8","86.72","395.02","197.51","316.22","308.3","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1418.65","0.46","0.7","0.0","5.01","0.7","3.51","0.0","0.0","0.0","0.0","82.31","86.72","395.02","197.51","312.71","308.3","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1418.65","0.41","0.7","0.0","7.32","0.7","5.12","0.0","0.0","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","87.43","","","","","","",""
"2016.0","5.0","1.0","122.0","1418.65","0.38","0.7","0.0","5.79","0.7","4.05","0.0","0.0","0.0","0.0","4.05","86.72","395.02","197.51","390.97","308.3","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1418.65","0.36","0.7","0.0","5.39","0.7","3.77","0.0","0.0","0.0","0.0","7.83","86.72","395.02","197.51","387.19","308.3","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1418.65","0.35","0.7","0.0","4.47","0.7","3.13","0.0","0.0","0.0","0.0","10.96","86.72","395.02","197.51","384.07","308.3","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1418.65","0.34","0.7","0.0","4.71","0.7","3.3","0.0","0.0","0.0","0.0","14.25","86.72","395.02","197.51","380.77","308.3","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1418.65","0.33","0.7","0.0","2.67","0.7","1.87","0.0","0.0","0.0","0.0","16.12","86.72","395.02","197.51","378.9","308.3","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1418.65","0.33","0.7","0.0","1.97","0.7","1.38","0.26","0.26","0.0","0.0","17.24","86.72","395.02","197.51","377.78","308.3","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1418.65","1.13","0.7","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","12.56","86.72","395.02","197.51","382.46","308.3","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1418.65","1.11","0.7","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","15.57","86.72","395.02","197.51","379.45","308.3","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1418.65","0.84","0.7","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","19.53","86.72","395.02","197.51","375.49","308.3","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1418.65","0.67","0.7","0.0","5.58","0.7","3.91","0.0","0.0","0.0","0.0","23.43","86.72","395.02","197.51","371.59","308.3","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1418.65","0.57","0.7","0.0","5.92","0.7","4.14","0.0","0.0","0.0","0.0","27.58","86.72","395.02","197.51","367.44","308.3","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","1418.65","0.5","0.7","0.0","6.04","0.7","4.23","0.0","0.0","0.0","0.0","31.81","86.72","395.02","197.51","363.22","308.3","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1418.65","0.46","0.7","0.0","5.58","0.7","3.91","0.0","0.0","0.0","0.0","35.71","86.72","395.02","197.51","359.31","308.3","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1418.65","0.42","0.7","0.0","5.14","0.7","3.6","0.0","0.0","0.0","0.0","39.31","86.72","395.02","197.51","355.71","308.3","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","1418.65","0.4","0.7","0.0","5.58","0.7","3.91","0.0","0.0","0.0","0.0","43.22","86.72","395.02","197.51","351.81","308.3","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1418.65","0.37","0.7","0.0","6.65","0.7","4.66","0.0","0.0","0.0","0.0","47.87","86.72","395.02","197.51","347.15","308.3","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1418.65","0.34","0.7","0.0","7.63","0.7","5.34","0.0","0.0","0.0","0.0","53.21","86.72","395.02","197.51","341.81","308.3","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1418.65","0.32","0.7","0.0","7.1","0.7","4.97","0.0","0.0","0.0","0.0","58.18","86.72","395.02","197.51","336.84","308.3","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1418.65","0.31","0.7","0.0","6.31","0.7","4.42","0.0","0.0","0.0","0.0","62.6","86.72","395.02","197.51","332.42","308.3","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1418.65","0.3","0.7","0.0","5.02","0.7","3.51","0.0","0.0","0.0","0.0","66.11","86.72","395.02","197.51","328.91","308.3","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1418.65","0.29","0.7","0.0","3.47","0.7","2.43","0.0","0.0","0.0","0.0","68.54","86.72","395.02","197.51","326.48","308.3","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1418.65","0.28","0.7","0.0","4.27","0.7","2.99","1.71","1.71","0.0","0.0","69.82","86.72","395.02","197.51","325.2","308.3","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1418.65","0.28","0.7","0.0","4.87","0.7","3.41","0.0","0.0","0.0","0.0","73.23","86.72","395.02","197.51","321.79","308.3","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1418.65","0.27","0.7","0.0","4.92","0.7","3.44","0.0","0.0","0.0","0.0","76.67","86.72","395.02","197.51","318.35","308.3","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1418.65","0.26","0.7","0.0","5.35","0.7","3.75","0.0","0.0","0.0","0.0","80.42","86.72","395.02","197.51","314.6","308.3","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1418.65","0.25","0.7","0.0","5.71","0.7","4.0","0.0","0.0","0.0","0.0","84.42","86.72","395.02","197.51","310.61","308.3","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1418.65","0.25","0.7","0.0","6.09","0.7","4.26","0.0","0.0","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","88.68","","","","","","",""
"2016.0","5.0","28.0","149.0","1418.65","0.24","0.7","0.0","6.94","0.7","4.86","0.0","0.0","0.0","0.0","4.86","86.72","395.02","197.51","390.16","308.3","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1418.65","0.23","0.7","0.0","6.63","0.7","4.64","0.0","0.0","0.0","0.0","9.5","86.72","395.02","197.51","385.52","308.3","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1418.65","0.23","0.7","0.0","6.85","0.7","4.8","0.0","0.0","0.0","0.0","14.29","86.72","395.02","197.51","380.73","308.3","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1418.65","0.22","0.7","0.0","7.16","0.7","5.01","0.0","0.0","0.0","0.0","19.31","86.72","395.02","197.51","375.71","308.3","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1418.65","0.21","0.7","0.0","7.16","0.7","5.01","0.0","0.0","0.0","0.0","24.32","86.72","395.02","197.51","370.7","308.3","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1418.65","0.21","0.7","0.0","7.01","0.7","4.91","0.0","0.0","0.0","0.0","29.23","86.72","395.02","197.51","365.8","308.3","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","1418.65","0.2","0.7","0.0","7.38","0.7","5.17","0.0","0.0","0.0","0.0","34.39","86.72","395.02","197.51","360.63","308.3","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1418.65","0.2","0.7","0.0","5.17","0.7","3.62","0.0","0.0","0.0","0.0","38.01","86.72","395.02","197.51","357.01","308.3","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1418.65","0.2","0.7","0.0","7.76","0.7","5.43","0.0","0.0","0.0","0.0","43.44","86.72","395.02","197.51","351.58","308.3","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","1418.65","0.19","0.7","0.0","7.24","0.7","5.07","0.0","0.0","0.0","0.0","48.51","86.72","395.02","197.51","346.51","308.3","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1418.65","0.19","0.7","0.0","6.94","0.7","4.86","0.0","0.0","0.0","0.0","53.37","86.72","395.02","197.51","341.65","308.3","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1418.65","0.19","0.7","0.0","6.51","0.7","4.56","0.0","0.0","0.0","0.0","57.93","86.72","395.02","197.51","337.1","308.3","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1418.65","0.18","0.7","0.0","6.32","0.7","4.42","0.0","0.0","0.0","0.0","62.35","86.72","395.02","197.51","332.67","308.3","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1418.65","0.18","0.7","0.0","6.71","0.7","4.7","0.0","0.0","0.0","0.0","67.05","86.72","395.02","197.51","327.97","308.3","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1418.65","0.18","0.7","0.0","6.85","0.7","4.8","0.0","0.0","0.0","0.0","71.84","86.72","395.02","197.51","323.18","308.3","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1418.65","0.17","0.7","0.0","6.87","0.7","4.81","0.0","0.0","0.0","0.0","76.65","86.72","395.02","197.51","318.37","308.3","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1418.65","0.17","0.7","0.0","6.59","0.7","4.61","0.0","0.0","0.0","0.0","81.26","86.72","395.02","197.51","313.76","308.3","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1418.65","0.17","0.7","0.0","6.48","0.7","4.54","0.0","0.0","0.0","0.0","85.8","86.72","395.02","197.51","309.22","308.3","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","1418.65","0.17","0.7","0.0","5.54","0.7","3.88","0.0","0.0","0.0","0.0","0.0","86.72","395.02","197.51","395.02","308.3","89.68","","","","","","",""
"2016.0","6.0","16.0","168.0","1418.65","0.16","0.7","0.0","5.48","0.7","3.84","0.0","0.0","0.0","0.0","3.84","86.72","395.02","197.51","391.18","308.3","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1418.65","0.16","0.7","0.0","5.34","0.7","3.74","0.0","0.0","0.0","0.0","7.57","86.72","395.02","197.51","387.45","308.3","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1418.65","0.16","0.7","0.0","6.31","0.7","4.42","0.0","0.0","0.0","0.0","11.99","86.72","395.02","197.51","383.03","308.3","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1418.65","0.16","0.7","0.0","6.96","0.7","4.87","0.0","0.0","0.0","0.0","16.86","86.72","395.02","197.51","378.16","308.3","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1418.65","0.16","0.7","0.0","7.57","0.7","5.3","0.0","0.0","0.0","0.0","22.16","86.72","395.02","197.51","372.86","308.3","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1418.65","0.15","0.7","0.0","7.92","0.7","5.54","0.0","0.0","0.0","0.0","27.71","86.72","395.02","197.51","367.31","308.3","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1418.65","0.15","0.7","0.0","7.86","0.7","5.5","0.0","0.0","0.0","0.0","33.21","86.72","395.02","197.51","361.81","308.3","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1418.65","0.15","0.7","0.0","7.8","0.7","5.46","0.0","0.0","0.0","0.0","38.67","86.72","395.02","197.51","356.35","308.3","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1418.65","0.15","0.7","0.0","7.05","0.7","4.94","0.0","0.0","0.0","0.0","43.6","86.72","395.02","197.51","351.42","308.3","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","1418.65","0.15","0.7","0.0","7.82","0.7","5.47","0.0","0.0","0.0","0.0","49.08","86.72","395.02","197.51","345.94","308.3","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","1418.65","0.14","0.7","0.0","7.71","0.7","5.4","0.0","0.0","0.0","0.0","54.47","86.72","395.02","197.51","340.55","308.3","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1418.65","0.14","0.7","0.0","8.18","0.7","5.73","0.0","0.0","0.0","0.0","60.2","86.72","395.02","197.51","334.82","308.3","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1418.65","0.14","0.7","0.0","8.09","0.7","5.66","0.0","0.0","0.0","0.0","65.86","86.72","395.02","197.51","329.16","308.3","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1418.65","0.14","0.7","0.0","7.45","0.7","5.22","0.0","0.0","0.0","0.0","71.08","86.72","395.02","197.51","323.94","308.3","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","1418.65","0.14","0.7","0.0","7.3","0.7","5.11","0.0","0.0","0.0","0.0","76.19","86.72","395.02","197.51","318.83","308.3","0.0","","","","","","",""
