" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","201.49","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","24.0","316.99","158.5","295.9","292.99","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","201.49","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","24.0","316.99","158.5","294.31","292.99","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","201.49","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","23.94","24.0","316.99","158.5","293.05","292.99","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","201.49","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","24.93","24.0","316.99","158.5","292.06","292.99","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","201.49","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","201.49","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","15.48","24.0","316.99","158.5","301.51","292.99","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","201.49","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","13.76","24.0","316.99","158.5","303.23","292.99","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","201.49","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","15.77","24.0","316.99","158.5","301.22","292.99","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","201.49","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","18.01","24.0","316.99","158.5","298.98","292.99","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","201.49","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","20.66","24.0","316.99","158.5","296.34","292.99","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","201.49","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","22.72","24.0","316.99","158.5","294.28","292.99","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","201.49","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","24.44","24.0","316.99","158.5","292.55","292.99","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","201.49","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","201.49","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","25.56","24.0","316.99","158.5","291.43","292.99","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","201.49","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","201.49","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","25.24","24.0","316.99","158.5","291.76","292.99","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","201.49","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","201.49","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","25.56","24.0","316.99","158.5","291.43","292.99","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","201.49","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","201.49","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","24.87","24.0","316.99","158.5","292.12","292.99","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","201.49","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","201.49","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","12.03","24.0","316.99","158.5","304.97","292.99","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","201.49","1.13","0.0","0.0","2.19","1.13","2.48","48.26","14.51","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","201.49","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","201.49","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","24.0","316.99","158.5","316.47","292.99","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","201.49","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","24.0","316.99","158.5","314.41","292.99","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","201.49","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","24.0","316.99","158.5","312.95","292.99","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","201.49","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","201.49","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","201.49","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","201.49","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","201.49","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","24.0","316.99","158.5","313.63","292.99","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","201.49","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","24.0","316.99","158.5","310.76","292.99","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","201.49","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","24.0","316.99","158.5","308.27","292.99","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","201.49","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","24.0","316.99","158.5","306.07","292.99","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","201.49","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","24.0","316.99","158.5","304.08","292.99","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","201.49","0.61","0.0","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","24.0","316.99","158.5","302.78","292.99","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","201.49","0.58","0.0","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","24.0","316.99","158.5","302.81","292.99","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","201.49","0.54","0.0","0.0","2.94","0.54","1.6","0.94","0.94","0.0","0.0","14.84","24.0","316.99","158.5","302.15","292.99","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","201.49","0.51","0.0","0.0","3.34","0.51","1.7","0.0","0.0","0.0","0.0","16.55","24.0","316.99","158.5","300.44","292.99","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","201.49","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.09","24.0","316.99","158.5","298.9","292.99","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","201.49","0.46","0.0","0.0","3.68","0.46","1.68","0.0","0.0","0.0","0.0","19.78","24.0","316.99","158.5","297.22","292.99","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","201.49","0.43","0.0","0.0","4.39","0.43","1.89","0.0","0.0","0.0","0.0","21.67","24.0","316.99","158.5","295.33","292.99","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","201.49","0.41","0.0","0.0","3.47","0.41","1.43","0.0","0.0","0.0","0.0","23.1","24.0","316.99","158.5","293.89","292.99","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","201.49","0.4","0.0","0.0","3.49","0.4","1.39","0.0","0.0","0.0","0.0","24.49","24.0","316.99","158.5","292.51","292.99","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","201.49","0.38","0.0","0.0","3.77","0.38","1.44","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","201.49","0.37","0.0","0.0","3.58","0.37","1.32","0.0","0.0","0.0","0.0","25.32","24.0","316.99","158.5","291.67","292.99","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","201.49","0.36","0.0","0.0","3.76","0.36","1.34","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","201.49","0.35","0.0","0.0","3.65","0.35","1.26","0.0","0.0","0.0","0.0","25.26","24.0","316.99","158.5","291.73","292.99","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","201.49","0.34","0.0","0.0","3.74","0.34","1.25","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","201.49","0.33","0.0","0.0","4.02","0.33","1.31","0.0","0.0","0.0","0.0","25.31","24.0","316.99","158.5","291.68","292.99","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","201.49","0.32","0.0","0.0","4.17","0.32","1.32","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","201.49","0.3","0.0","0.0","5.61","0.3","1.7","0.0","0.0","0.0","0.0","25.7","24.0","316.99","158.5","291.29","292.99","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","201.49","0.29","0.0","0.0","4.91","0.29","1.45","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","201.49","0.29","0.0","0.0","4.31","0.29","1.24","0.0","0.0","0.0","0.0","25.24","24.0","316.99","158.5","291.75","292.99","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","201.49","0.28","0.0","0.0","3.47","0.28","0.98","0.01","0.01","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","201.49","0.28","0.0","0.0","1.5","0.28","0.42","2.32","2.32","0.0","0.0","22.1","24.0","316.99","158.5","294.89","292.99","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","201.49","1.13","0.0","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","15.65","24.0","316.99","158.5","301.34","292.99","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","201.49","1.11","0.0","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","18.81","24.0","316.99","158.5","298.18","292.99","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","201.49","0.91","0.0","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","21.98","24.0","316.99","158.5","295.01","292.99","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","201.49","0.75","0.0","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","25.15","24.0","316.99","158.5","291.84","292.99","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","201.49","0.65","0.0","0.0","4.05","0.65","2.64","0.48","0.48","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","201.49","0.57","0.0","0.0","5.4","0.57","3.05","0.0","0.0","0.0","0.0","27.05","24.0","316.99","158.5","289.94","292.99","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","201.49","0.51","0.0","0.0","5.38","0.51","2.72","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","201.49","0.47","0.0","0.0","4.72","0.47","2.2","0.0","0.0","0.0","0.0","26.2","24.0","316.99","158.5","290.79","292.99","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","201.49","0.43","0.0","0.0","5.09","0.43","2.21","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","201.49","0.41","0.0","0.0","4.97","0.41","2.02","0.0","0.0","0.0","0.0","26.02","24.0","316.99","158.5","290.97","292.99","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","201.49","0.38","0.0","0.0","5.11","0.38","1.96","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","201.49","0.37","0.0","0.0","3.83","0.37","1.42","0.0","0.0","0.0","0.0","25.42","24.0","316.99","158.5","291.57","292.99","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","201.49","0.36","0.0","0.0","2.88","0.36","1.04","0.12","0.12","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","201.49","0.35","0.0","0.0","3.96","0.35","1.38","2.58","2.58","0.0","0.0","22.8","24.0","316.99","158.5","294.19","292.99","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","201.49","0.34","0.0","0.0","4.41","0.34","1.48","0.0","0.0","0.0","0.0","24.28","24.0","316.99","158.5","292.71","292.99","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","201.49","0.32","0.0","0.0","5.39","0.32","1.74","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","201.49","0.31","0.0","0.0","4.64","0.31","1.45","0.0","0.0","0.0","0.0","25.45","24.0","316.99","158.5","291.55","292.99","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","201.49","0.3","0.0","0.0","3.84","0.3","1.17","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","201.49","0.29","0.0","0.0","5.73","0.29","1.68","3.95","3.95","0.0","0.0","21.73","24.0","316.99","158.5","295.27","292.99","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","201.49","0.28","0.0","0.0","5.1","0.28","1.45","0.0","0.0","0.0","0.0","23.17","24.0","316.99","158.5","293.82","292.99","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","201.49","0.27","0.0","0.0","7.38","0.27","2.01","0.0","0.0","0.0","0.0","25.18","24.0","316.99","158.5","291.81","292.99","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","201.49","0.26","0.0","0.0","5.87","0.26","1.55","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","201.49","0.26","0.0","0.0","5.3","0.26","1.36","0.0","0.0","0.0","0.0","25.36","24.0","316.99","158.5","291.63","292.99","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","201.49","0.25","0.0","0.0","4.33","0.25","1.09","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","201.49","0.25","0.0","0.0","4.83","0.25","1.19","0.0","0.0","0.0","0.0","25.19","24.0","316.99","158.5","291.8","292.99","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","201.49","0.24","0.0","0.0","2.3","0.24","0.56","0.02","0.02","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","201.49","0.24","0.0","0.0","2.1","0.24","0.51","0.13","0.13","0.0","0.0","24.38","24.0","316.99","158.5","292.61","292.99","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","201.49","0.24","0.0","0.0","2.06","0.24","0.5","1.36","1.36","0.0","0.0","23.02","24.0","316.99","158.5","293.97","292.99","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","201.49","0.24","0.0","0.0","3.2","0.24","0.76","2.24","2.24","0.0","0.0","21.54","24.0","316.99","158.5","295.45","292.99","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","201.49","0.23","0.0","0.0","4.63","0.23","1.08","0.0","0.0","0.0","0.0","22.62","24.0","316.99","158.5","294.37","292.99","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","201.49","0.23","0.0","0.0","5.64","0.23","1.29","0.0","0.0","0.0","0.0","23.91","24.0","316.99","158.5","293.08","292.99","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","201.49","0.22","0.0","0.0","5.95","0.22","1.33","0.0","0.0","0.0","0.0","25.24","24.0","316.99","158.5","291.75","292.99","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","201.49","0.22","0.0","0.0","5.92","0.22","1.29","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","201.49","0.21","0.0","0.0","5.56","0.21","1.19","0.0","0.0","0.0","0.0","25.19","24.0","316.99","158.5","291.8","292.99","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","201.49","0.21","0.0","0.0","5.05","0.21","1.07","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","201.49","0.21","0.0","0.0","5.51","0.21","1.14","0.0","0.0","0.0","0.0","25.14","24.0","316.99","158.5","291.85","292.99","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","201.49","0.2","0.0","0.0","6.55","0.2","1.33","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","201.49","0.2","0.0","0.0","7.65","0.2","1.52","0.0","0.0","0.0","0.0","25.52","24.0","316.99","158.5","291.47","292.99","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","201.49","0.19","0.0","0.0","7.01","0.19","1.36","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","201.49","0.19","0.0","0.0","6.2","0.19","1.18","0.0","0.0","0.0","0.0","25.18","24.0","316.99","158.5","291.81","292.99","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","201.49","0.19","0.0","0.0","4.88","0.19","0.92","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","201.49","0.19","0.0","0.0","4.07","0.19","0.76","0.51","0.51","0.0","0.0","24.25","24.0","316.99","158.5","292.74","292.99","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","201.49","0.18","0.0","0.0","4.31","0.18","0.8","0.2","0.2","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","201.49","0.18","0.0","0.0","4.77","0.18","0.87","0.0","0.0","0.0","0.0","24.87","24.0","316.99","158.5","292.12","292.99","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","201.49","0.18","0.0","0.0","4.82","0.18","0.87","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","201.49","0.18","0.0","0.0","5.25","0.18","0.94","0.0","0.0","0.0","0.0","24.94","24.0","316.99","158.5","292.06","292.99","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","201.49","0.18","0.0","0.0","5.68","0.18","1.0","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","201.49","0.17","0.0","0.0","5.98","0.17","1.04","0.0","0.0","0.0","0.0","25.04","24.0","316.99","158.5","291.95","292.99","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","201.49","0.17","0.0","0.0","6.9","0.17","1.18","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","201.49","0.17","0.0","0.0","6.43","0.17","1.08","0.0","0.0","0.0","0.0","25.08","24.0","316.99","158.5","291.91","292.99","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","201.49","0.17","0.0","0.0","6.72","0.17","1.12","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","201.49","0.16","0.0","0.0","7.04","0.16","1.15","0.0","0.0","0.0","0.0","25.15","24.0","316.99","158.5","291.84","292.99","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","201.49","0.16","0.69","0.0","7.1","0.69","4.9","0.0","0.0","0.0","0.0","30.05","69.53","316.99","158.5","286.94","247.46","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","201.49","0.16","0.69","0.0","6.77","0.69","4.67","0.0","0.0","0.0","0.0","34.72","69.53","316.99","158.5","282.27","247.46","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","201.49","0.16","0.69","0.0","7.21","0.69","4.97","0.0","0.0","0.0","0.0","39.7","69.53","316.99","158.5","277.29","247.46","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","201.49","0.16","0.69","0.0","4.79","0.69","3.31","0.0","0.0","0.0","0.0","43.0","69.53","316.99","158.5","273.99","247.46","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","201.49","0.15","0.69","0.0","7.5","0.69","5.18","0.0","0.0","0.0","0.0","48.18","69.53","316.99","158.5","268.81","247.46","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","201.49","0.15","0.69","0.0","7.01","0.69","4.84","0.0","0.0","0.0","0.0","53.02","69.53","316.99","158.5","263.98","247.46","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","201.49","0.15","0.69","0.0","6.63","0.69","4.57","0.0","0.0","0.0","0.0","57.59","69.53","316.99","158.5","259.4","247.46","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","201.49","0.15","0.69","0.0","6.37","0.69","4.4","0.0","0.0","0.0","0.0","61.99","69.53","316.99","158.5","255.01","247.46","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","201.49","0.15","0.69","0.0","6.1","0.69","4.21","0.0","0.0","0.0","0.0","66.19","69.53","316.99","158.5","250.8","247.46","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","201.49","0.15","0.69","0.0","6.5","0.69","4.49","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","70.68","","","","","","",""
"2016.0","6.0","11.0","163.0","201.49","0.14","0.69","0.0","6.86","0.69","4.73","0.0","0.0","0.0","0.0","4.73","69.53","316.99","158.5","312.26","247.46","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","201.49","0.14","0.69","0.0","6.89","0.69","4.75","0.0","0.0","0.0","0.0","9.49","69.53","316.99","158.5","307.5","247.46","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","201.49","0.14","0.69","0.0","6.55","0.69","4.52","0.0","0.0","0.0","0.0","14.01","69.53","316.99","158.5","302.99","247.46","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","201.49","0.14","0.69","0.0","6.15","0.69","4.24","0.0","0.0","0.0","0.0","18.25","69.53","316.99","158.5","298.74","247.46","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","201.49","0.14","0.69","0.0","5.14","0.69","3.55","0.0","0.0","0.0","0.0","21.8","69.53","316.99","158.5","295.19","247.46","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","201.49","0.14","0.69","0.0","5.15","0.69","3.55","0.0","0.0","0.0","0.0","25.35","69.53","316.99","158.5","291.64","247.46","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","201.49","0.14","0.69","0.0","4.72","0.69","3.26","0.0","0.0","0.0","0.0","28.61","69.53","316.99","158.5","288.38","247.46","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","201.49","0.14","0.69","0.0","6.09","0.69","4.2","0.0","0.0","0.0","0.0","32.81","69.53","316.99","158.5","284.18","247.46","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","201.49","0.13","0.69","0.0","6.76","0.69","4.66","0.0","0.0","0.0","0.0","37.47","69.53","316.99","158.5","279.52","247.46","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","201.49","0.13","0.69","0.0","7.29","0.69","5.03","0.0","0.0","0.0","0.0","42.5","69.53","316.99","158.5","274.49","247.46","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","201.49","0.13","0.69","0.0","7.6","0.69","5.24","0.0","0.0","0.0","0.0","47.75","69.53","316.99","158.5","269.24","247.46","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","201.49","0.13","0.69","0.0","7.59","0.69","5.24","0.0","0.0","0.0","0.0","52.99","69.53","316.99","158.5","264.01","247.46","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","201.49","0.13","0.69","0.0","7.55","0.69","5.21","0.0","0.0","0.0","0.0","58.19","69.53","316.99","158.5","258.8","247.46","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","201.49","0.13","0.69","0.0","6.9","0.69","4.76","0.0","0.0","0.0","0.0","62.96","69.53","316.99","158.5","254.04","247.46","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","201.49","0.13","0.69","0.0","7.71","0.69","5.32","0.0","0.0","0.0","0.0","68.28","69.53","316.99","158.5","248.72","247.46","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","201.49","0.13","0.7","0.0","7.55","0.7","5.27","0.0","0.0","0.0","0.0","0.0","69.53","316.99","158.5","316.99","247.46","73.54","","","","","","",""
"2016.0","6.0","27.0","179.0","201.49","0.12","0.71","0.0","7.98","0.71","5.63","0.0","0.0","0.0","0.0","5.63","69.53","316.99","158.5","311.36","247.46","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","201.49","0.12","0.71","0.0","7.97","0.71","5.68","0.0","0.0","0.0","0.0","11.31","69.53","316.99","158.5","305.68","247.46","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","201.49","0.12","0.72","0.0","7.26","0.72","5.23","0.0","0.0","0.0","0.0","16.54","69.53","316.99","158.5","300.45","247.46","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","201.49","0.12","0.73","0.0","7.26","0.73","5.29","0.0","0.0","0.0","0.0","21.83","69.53","316.99","158.5","295.16","247.46","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","201.49","0.12","0.74","0.0","7.09","0.74","5.22","0.0","0.0","0.0","0.0","27.05","69.53","316.99","158.5","289.95","247.46","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","201.49","0.12","0.74","0.0","7.02","0.74","5.22","0.0","0.0","0.0","0.0","32.27","69.53","316.99","158.5","284.73","247.46","0.0","","","","","","",""
