" Daily soil water balance output for Tomato in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","3432.44","0.61","0.0","0.0","1.75","0.61","1.06","0.0","0.0","0.0","0.0","17.69","25.5","336.8","168.4","319.12","311.3","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","3432.44","0.58","0.0","0.0","1.85","0.58","1.07","0.0","0.0","0.0","0.0","18.76","25.5","336.8","168.4","318.04","311.3","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","3432.44","0.55","0.0","0.0","2.25","0.55","1.25","0.0","0.0","0.0","0.0","20.01","25.5","336.8","168.4","316.8","311.3","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","3432.44","0.52","0.0","0.0","2.94","0.52","1.54","0.0","0.0","0.0","0.0","21.54","25.5","336.8","168.4","315.26","311.3","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","3432.44","0.5","0.0","0.0","2.45","0.5","1.23","0.0","0.0","0.0","0.0","22.77","25.5","336.8","168.4","314.03","311.3","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","3432.44","0.49","0.0","0.0","2.13","0.49","1.03","0.0","0.0","0.0","0.0","23.81","25.5","336.8","168.4","313.0","311.3","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","3432.44","1.11","0.0","0.0","2.73","1.11","3.03","2.71","2.71","0.0","0.0","24.13","25.5","336.8","168.4","312.67","311.3","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","3432.44","1.14","0.0","0.0","1.95","1.14","2.23","9.85","9.85","0.0","0.0","16.51","25.5","336.8","168.4","320.3","311.3","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","3432.44","1.15","0.0","0.0","1.71","1.15","1.96","1.24","1.24","0.0","0.0","17.23","25.5","336.8","168.4","319.58","311.3","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","3432.44","1.15","0.0","0.0","1.78","1.15","2.04","0.01","0.01","0.0","0.0","19.26","25.5","336.8","168.4","317.54","311.3","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","3432.44","1.02","0.0","0.0","1.99","1.02","2.03","0.0","0.0","0.0","0.0","21.29","25.5","336.8","168.4","315.51","311.3","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","3432.44","0.88","0.0","0.0","2.61","0.88","2.29","0.0","0.0","0.0","0.0","23.58","25.5","336.8","168.4","313.23","311.3","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","3432.44","0.78","0.0","0.0","2.48","0.78","1.94","0.0","0.0","0.0","0.0","25.52","25.5","336.8","168.4","311.28","311.3","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","3432.44","0.72","0.0","0.0","2.24","0.72","1.62","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","3432.44","0.67","0.0","0.0","2.36","0.67","1.58","0.0","0.0","0.0","0.0","27.08","25.5","336.8","168.4","309.72","311.3","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","3432.44","0.63","0.0","0.0","2.33","0.63","1.46","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","3432.44","0.59","0.0","0.0","2.37","0.59","1.4","0.0","0.0","0.0","0.0","26.9","25.5","336.8","168.4","309.9","311.3","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","3432.44","0.57","0.0","0.0","2.04","0.57","1.16","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","3432.44","0.54","0.0","0.0","2.61","0.54","1.4","0.0","0.0","0.0","0.0","26.9","25.5","336.8","168.4","309.9","311.3","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","3432.44","0.51","0.0","0.0","2.95","0.51","1.5","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","3432.44","0.49","0.0","0.0","2.56","0.49","1.25","0.0","0.0","0.0","0.0","26.75","25.5","336.8","168.4","310.05","311.3","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","3432.44","0.47","0.0","0.0","1.87","0.47","0.89","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","3432.44","0.47","0.0","0.0","1.5","0.47","0.7","1.71","1.71","0.0","0.0","24.49","25.5","336.8","168.4","312.32","311.3","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","3432.44","1.17","0.0","0.0","1.33","1.17","1.55","14.14","14.14","0.0","0.0","11.9","25.5","336.8","168.4","324.9","311.3","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","3432.44","1.13","0.0","0.0","2.26","1.13","2.55","20.66","14.45","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","3432.44","1.16","0.0","0.0","1.53","1.16","1.77","13.1","1.77","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","3432.44","1.15","0.0","0.0","1.93","1.15","2.22","1.46","1.46","0.0","0.0","0.76","25.5","336.8","168.4","336.04","311.3","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","3432.44","1.15","0.0","0.0","1.98","1.15","2.27","0.57","0.57","0.0","0.0","2.46","25.5","336.8","168.4","334.34","311.3","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","3432.44","1.16","0.0","0.0","1.59","1.16","1.84","2.01","2.01","0.0","0.0","2.29","25.5","336.8","168.4","334.51","311.3","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","3432.44","1.16","0.0","0.0","1.54","1.16","1.78","5.1","4.08","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","3432.44","1.15","0.0","0.0","1.8","1.15","2.07","7.19","2.07","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","3432.44","1.17","0.0","0.0","1.19","1.17","1.4","12.32","1.4","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","3432.44","1.12","0.0","0.0","2.52","1.12","2.82","10.8","2.82","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","3432.44","1.11","0.3","0.0","2.99","1.11","3.32","0.0","0.0","0.0","0.0","3.32","72.12","336.8","168.4","333.49","264.68","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","3432.44","0.93","0.3","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.21","72.12","336.8","168.4","330.6","264.68","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","3432.44","0.8","0.3","0.0","3.14","0.8","2.5","0.0","0.0","0.0","0.0","8.71","72.12","336.8","168.4","328.1","264.68","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","3432.44","0.71","0.3","0.0","3.04","0.71","2.16","0.0","0.0","0.0","0.0","10.86","72.12","336.8","168.4","325.94","264.68","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","3432.44","0.65","0.3","0.0","2.97","0.65","1.92","0.0","0.0","0.0","0.0","12.79","72.12","336.8","168.4","324.02","264.68","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","3432.44","0.61","0.3","0.0","2.33","0.61","1.42","0.03","0.03","0.0","0.0","14.18","72.12","336.8","168.4","322.63","264.68","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","3432.44","0.58","0.3","0.0","2.37","0.58","1.37","1.23","1.23","0.0","0.0","14.32","72.12","336.8","168.4","322.49","264.68","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","3432.44","0.54","0.3","0.0","3.0","0.54","1.63","0.94","0.94","0.0","0.0","15.0","72.12","336.8","168.4","321.8","264.68","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","3432.44","0.51","0.3","0.0","3.33","0.51","1.7","0.0","0.0","0.0","0.0","16.7","72.12","336.8","168.4","320.11","264.68","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","3432.44","0.48","0.3","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.24","72.12","336.8","168.4","318.56","264.68","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","3432.44","0.46","0.3","0.0","3.61","0.46","1.65","0.0","0.0","0.0","0.0","19.89","72.12","336.8","168.4","316.91","264.68","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","3432.44","0.43","0.3","0.0","4.2","0.43","1.81","0.0","0.0","0.0","0.0","21.7","72.12","336.8","168.4","315.1","264.68","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","3432.44","0.41","0.3","0.0","3.51","0.41","1.45","0.0","0.0","0.0","0.0","23.16","72.12","336.8","168.4","313.65","264.68","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","3432.44","0.4","0.3","0.0","3.52","0.4","1.4","0.0","0.0","0.0","0.0","24.56","72.12","336.8","168.4","312.25","264.68","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","3432.44","0.38","0.3","0.0","3.71","0.38","1.42","0.0","0.0","0.0","0.0","25.98","72.12","336.8","168.4","310.83","264.68","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","3432.44","0.37","0.3","0.0","3.49","0.37","1.29","0.0","0.0","0.0","0.0","27.27","72.12","336.8","168.4","309.54","264.68","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","3432.44","0.36","0.3","0.0","3.72","0.36","1.33","0.0","0.0","0.0","0.0","28.6","72.12","336.8","168.4","308.21","264.68","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","3432.44","0.35","0.3","0.0","3.62","0.35","1.25","0.0","0.0","0.0","0.0","29.85","72.12","336.8","168.4","306.95","264.68","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","3432.44","0.34","0.3","0.0","3.72","0.34","1.25","0.0","0.0","0.0","0.0","31.1","72.12","336.8","168.4","305.7","264.68","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","3432.44","0.33","0.3","0.0","3.94","0.33","1.29","0.0","0.0","0.0","0.0","32.39","72.12","336.8","168.4","304.41","264.68","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","3432.44","0.32","0.3","0.0","4.14","0.32","1.31","0.0","0.0","0.0","0.0","33.7","72.12","336.8","168.4","303.1","264.68","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","3432.44","0.31","0.3","0.0","5.39","0.31","1.65","0.0","0.0","0.0","0.0","35.35","72.12","336.8","168.4","301.46","264.68","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","3432.44","0.3","0.3","0.0","4.84","0.3","1.45","0.0","0.0","0.0","0.0","36.8","72.12","336.8","168.4","300.01","264.68","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","3432.44","0.29","0.3","0.0","4.19","0.3","1.26","0.0","0.0","0.0","0.0","38.06","72.12","336.8","168.4","298.75","264.68","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","3432.44","0.28","0.3","0.0","3.25","0.3","0.98","1.44","1.44","0.0","0.0","37.59","72.12","336.8","168.4","299.21","264.68","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","3432.44","1.16","0.3","0.0","1.59","1.16","1.84","12.65","12.65","0.0","0.0","26.78","72.12","336.8","168.4","310.02","264.68","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","3432.44","1.15","0.3","0.0","1.84","1.15","2.11","20.51","20.51","0.0","0.0","8.38","72.12","336.8","168.4","328.43","264.68","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","3432.44","1.12","0.3","0.0","3.06","1.12","3.43","0.4","0.4","0.0","0.0","11.41","72.12","336.8","168.4","325.39","264.68","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","3432.44","0.95","0.3","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","14.66","72.12","336.8","168.4","322.15","264.68","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","3432.44","0.77","0.3","0.0","4.11","0.77","3.17","0.0","0.0","0.0","0.0","17.83","72.12","336.8","168.4","318.97","264.68","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","3432.44","0.67","0.3","0.0","4.1","0.67","2.73","0.78","0.78","0.0","0.0","19.79","72.12","336.8","168.4","317.02","264.68","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","3432.44","0.58","0.3","0.0","5.34","0.58","3.08","0.0","0.0","0.0","0.0","22.86","72.12","336.8","168.4","313.94","264.68","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","3432.44","0.52","0.3","0.0","5.13","0.52","2.65","0.0","0.0","0.0","0.0","25.51","72.12","336.8","168.4","311.29","264.68","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","3432.44","0.48","0.3","0.0","4.75","0.48","2.26","0.0","0.0","0.0","0.0","27.77","72.12","336.8","168.4","309.03","264.68","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","3432.44","0.44","0.3","0.0","5.08","0.44","2.24","0.0","0.0","0.0","0.0","30.01","72.12","336.8","168.4","306.8","264.68","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","3432.44","0.41","0.3","0.0","4.82","0.41","1.99","0.0","0.0","0.0","0.0","32.0","72.12","336.8","168.4","304.8","264.68","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","3432.44","0.39","0.32","0.0","5.01","0.39","1.95","0.0","0.0","0.0","0.0","33.96","72.12","336.8","168.4","302.85","264.68","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","3432.44","0.38","0.35","0.0","3.61","0.38","1.36","0.0","0.0","0.0","0.0","35.31","72.12","336.8","168.4","301.49","264.68","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","3432.44","0.37","0.37","0.0","2.88","0.37","1.06","0.68","0.68","0.0","0.0","35.69","72.12","336.8","168.4","301.11","264.68","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","3432.44","0.35","0.39","0.0","4.01","0.39","1.57","3.64","3.64","0.0","0.0","33.62","72.12","336.8","168.4","303.18","264.68","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","3432.44","0.34","0.41","0.0","4.5","0.41","1.86","0.0","0.0","0.0","0.0","35.49","72.12","336.8","168.4","301.32","264.68","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","3432.44","0.33","0.44","0.0","5.34","0.44","2.33","0.0","0.0","0.0","0.0","37.82","72.12","336.8","168.4","298.98","264.68","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","3432.44","0.32","0.46","0.0","4.63","0.46","2.13","0.0","0.0","0.0","0.0","39.95","72.12","336.8","168.4","296.85","264.68","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","3432.44","0.31","0.48","0.0","3.59","0.48","1.73","0.1","0.1","0.0","0.0","41.59","72.12","336.8","168.4","295.22","264.68","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","3432.44","0.3","0.51","0.0","5.55","0.51","2.81","1.66","1.66","0.0","0.0","42.73","72.12","336.8","168.4","294.07","264.68","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","3432.44","0.29","0.53","0.0","4.91","0.53","2.6","0.0","0.0","0.0","0.0","45.33","72.12","336.8","168.4","291.48","264.68","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","3432.44","0.28","0.55","0.0","7.15","0.55","3.94","0.0","0.0","0.0","0.0","49.27","72.12","336.8","168.4","287.53","264.68","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","3432.44","0.27","0.57","0.0","5.68","0.57","3.26","0.0","0.0","0.0","0.0","52.53","72.12","336.8","168.4","284.27","264.68","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","3432.44","0.26","0.6","0.0","5.14","0.6","3.07","0.0","0.0","0.0","0.0","55.6","72.12","336.8","168.4","281.2","264.68","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","3432.44","0.26","0.62","0.0","4.27","0.62","2.65","0.0","0.0","0.0","0.0","58.25","72.12","336.8","168.4","278.55","264.68","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","3432.44","0.25","0.64","0.0","4.54","0.64","2.92","0.0","0.0","0.0","0.0","61.17","72.12","336.8","168.4","275.64","264.68","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","3432.44","0.25","0.67","0.0","2.55","0.67","1.7","0.46","0.46","0.0","0.0","62.41","72.12","336.8","168.4","274.4","264.68","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","3432.44","0.25","0.69","0.0","1.88","0.69","1.29","0.47","0.47","0.0","0.0","63.23","72.12","336.8","168.4","273.57","264.68","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","3432.44","1.14","0.71","0.0","2.03","1.14","2.31","4.81","4.81","0.0","0.0","60.73","72.12","336.8","168.4","276.07","264.68","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","3432.44","1.11","0.73","0.0","3.27","1.11","3.64","0.69","0.69","0.0","0.0","63.68","72.12","336.8","168.4","273.12","264.68","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","3432.44","0.87","0.76","0.0","4.52","0.87","3.91","0.0","0.0","0.0","0.0","67.6","72.12","336.8","168.4","269.21","264.68","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","3432.44","0.69","0.78","0.0","5.37","0.78","4.19","0.0","0.0","0.0","0.0","71.79","72.12","336.8","168.4","265.02","264.68","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","3432.44","0.58","0.8","0.0","5.67","0.8","4.55","0.0","0.0","0.0","0.0","0.0","72.12","336.8","168.4","336.8","264.68","76.34","","","","","","",""
"2016.0","5.0","12.0","133.0","3432.44","0.52","0.83","0.0","5.67","0.83","4.68","0.0","0.0","0.0","0.0","4.68","72.12","336.8","168.4","332.12","264.68","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","3432.44","0.47","0.85","0.0","5.3","0.85","4.5","0.0","0.0","0.0","0.0","9.18","72.12","336.8","168.4","327.62","264.68","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","3432.44","0.44","0.87","0.0","4.83","0.87","4.21","0.0","0.0","0.0","0.0","13.39","72.12","336.8","168.4","323.42","264.68","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","3432.44","0.41","0.89","0.0","5.41","0.89","4.84","0.0","0.0","0.0","0.0","18.23","72.12","336.8","168.4","318.58","264.68","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","3432.44","0.38","0.92","0.0","6.4","0.92","5.87","0.0","0.0","0.0","0.0","24.1","72.12","336.8","168.4","312.71","264.68","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","3432.44","0.35","0.94","0.0","7.38","0.94","6.94","0.0","0.0","0.0","0.0","31.03","72.12","336.8","168.4","305.77","264.68","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","3432.44","0.33","0.96","0.0","6.85","0.96","6.6","0.0","0.0","0.0","0.0","37.63","72.12","336.8","168.4","299.18","264.68","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","3432.44","0.31","0.99","0.0","6.05","0.99","5.96","0.0","0.0","0.0","0.0","43.59","72.12","336.8","168.4","293.21","264.68","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","3432.44","0.3","1.01","0.0","4.86","1.01","4.9","0.0","0.0","0.0","0.0","48.49","72.12","336.8","168.4","288.31","264.68","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","3432.44","0.3","1.03","0.0","3.64","1.03","3.75","0.0","0.0","0.0","0.0","52.25","72.12","336.8","168.4","284.56","264.68","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","3432.44","0.29","1.05","0.0","4.01","1.05","4.23","0.8","0.8","0.0","0.0","55.68","72.12","336.8","168.4","281.13","264.68","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","3432.44","0.28","1.08","0.0","4.59","1.08","4.94","0.0","0.0","0.0","0.0","60.62","72.12","336.8","168.4","276.18","264.68","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","3432.44","0.28","1.1","0.0","4.79","1.1","5.27","0.0","0.0","0.0","0.0","65.89","72.12","336.8","168.4","270.91","264.68","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","3432.44","0.27","1.1","0.0","5.18","1.1","5.7","0.0","0.0","0.0","0.0","71.59","72.12","336.8","168.4","265.22","264.68","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","3432.44","0.26","1.1","0.0","5.52","1.1","6.07","0.0","0.0","0.0","0.0","0.0","72.12","336.8","168.4","336.8","264.68","77.66","","","","","","",""
"2016.0","5.0","27.0","148.0","3432.44","0.25","1.1","0.0","5.89","1.1","6.48","0.0","0.0","0.0","0.0","6.48","72.12","336.8","168.4","330.33","264.68","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","3432.44","0.25","1.1","0.0","6.73","1.1","7.4","0.0","0.0","0.0","0.0","13.88","72.12","336.8","168.4","322.92","264.68","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","3432.44","0.24","1.1","0.0","6.28","1.1","6.91","0.0","0.0","0.0","0.0","20.79","72.12","336.8","168.4","316.01","264.68","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","3432.44","0.23","1.1","0.0","6.56","1.1","7.22","0.0","0.0","0.0","0.0","28.01","72.12","336.8","168.4","308.8","264.68","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","3432.44","0.23","1.1","0.0","6.88","1.1","7.57","0.0","0.0","0.0","0.0","35.57","72.12","336.8","168.4","301.23","264.68","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","3432.44","0.22","1.1","0.0","6.81","1.1","7.49","0.0","0.0","0.0","0.0","43.07","72.12","336.8","168.4","293.74","264.68","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","3432.44","0.21","1.1","0.0","6.66","1.1","7.33","0.0","0.0","0.0","0.0","50.39","72.12","336.8","168.4","286.41","264.68","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","3432.44","0.21","1.1","0.0","7.1","1.1","7.81","0.0","0.0","0.0","0.0","58.2","72.12","336.8","168.4","278.6","264.68","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","3432.44","0.21","1.1","0.0","4.9","1.1","5.39","0.0","0.0","0.0","0.0","63.59","72.12","336.8","168.4","273.21","264.68","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","3432.44","0.2","1.1","0.0","7.37","1.1","8.11","0.0","0.0","0.0","0.0","71.7","72.12","336.8","168.4","265.11","264.68","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","3432.44","0.2","1.1","0.0","6.75","1.1","7.43","0.0","0.0","0.0","0.0","0.0","72.12","336.8","168.4","336.8","264.68","79.12","","","","","","",""
"2016.0","6.0","7.0","159.0","3432.44","0.19","1.1","0.0","6.48","1.1","7.13","0.0","0.0","0.0","0.0","7.13","72.12","336.8","168.4","329.68","264.68","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","3432.44","0.19","1.1","0.0","6.22","1.1","6.84","0.0","0.0","0.0","0.0","13.97","72.12","336.8","168.4","322.83","264.68","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","3432.44","0.19","1.1","0.0","5.96","1.1","6.56","0.0","0.0","0.0","0.0","20.53","72.12","336.8","168.4","316.28","264.68","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","3432.44","0.18","1.1","0.0","6.41","1.1","7.05","0.0","0.0","0.0","0.0","27.58","72.12","336.8","168.4","309.23","264.68","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","3432.44","0.18","1.1","0.0","6.68","1.1","7.35","0.0","0.0","0.0","0.0","34.93","72.12","336.8","168.4","301.88","264.68","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","3432.44","0.18","1.1","0.0","6.62","1.1","7.28","0.0","0.0","0.0","0.0","42.21","72.12","336.8","168.4","294.6","264.68","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","3432.44","0.18","1.1","0.0","6.3","1.1","6.93","0.0","0.0","0.0","0.0","49.14","72.12","336.8","168.4","287.67","264.68","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","3432.44","0.17","1.1","0.0","6.24","1.1","6.86","0.0","0.0","0.0","0.0","56.0","72.12","336.8","168.4","280.8","264.68","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","3432.44","0.17","1.1","0.0","5.37","1.1","5.91","0.0","0.0","0.0","0.0","61.91","72.12","336.8","168.4","274.9","264.68","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","3432.44","0.17","1.1","0.0","5.25","1.1","5.78","0.0","0.0","0.0","0.0","67.68","72.12","336.8","168.4","269.12","264.68","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","3432.44","0.17","1.1","0.0","5.14","1.1","5.65","0.0","0.0","0.0","0.0","0.0","72.12","336.8","168.4","336.8","264.68","73.34","","","","","","",""
"2016.0","6.0","18.0","170.0","3432.44","0.16","1.1","0.0","6.17","1.1","6.79","0.0","0.0","0.0","0.0","6.79","72.12","336.8","168.4","330.02","264.68","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","3432.44","0.16","1.1","0.0","6.83","1.1","7.51","0.0","0.0","0.0","0.0","14.3","72.12","336.8","168.4","322.5","264.68","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","3432.44","0.16","1.1","0.0","7.19","1.1","7.91","0.0","0.0","0.0","0.0","22.21","72.12","336.8","168.4","314.6","264.68","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","3432.44","0.16","1.1","0.0","7.59","1.1","8.35","0.0","0.0","0.0","0.0","30.56","72.12","336.8","168.4","306.25","264.68","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","3432.44","0.16","1.1","0.0","7.42","1.1","8.16","0.0","0.0","0.0","0.0","38.72","72.12","336.8","168.4","298.08","264.68","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","3432.44","0.15","1.1","0.0","7.46","1.1","8.21","0.0","0.0","0.0","0.0","46.93","72.12","336.8","168.4","289.88","264.68","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","3432.44","0.15","1.1","0.0","6.79","1.1","7.47","0.0","0.0","0.0","0.0","54.4","72.12","336.8","168.4","282.41","264.68","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","3432.44","0.15","1.1","0.0","7.58","1.1","8.34","0.0","0.0","0.0","0.0","62.73","72.12","336.8","168.4","274.07","264.68","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","3432.44","0.15","1.1","0.0","7.44","1.1","8.18","0.0","0.0","0.0","0.0","70.92","72.12","336.8","168.4","265.89","264.68","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","3432.44","0.15","1.1","0.0","7.85","1.1","8.64","0.0","0.0","0.0","0.0","0.0","72.12","336.8","168.4","336.8","264.68","79.55","","","","","","",""
"2016.0","6.0","28.0","180.0","3432.44","0.14","1.1","0.0","7.77","1.1","8.55","0.0","0.0","0.0","0.0","8.55","72.12","336.8","168.4","328.26","264.68","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","3432.44","0.14","1.1","0.0","7.0","1.1","7.7","0.0","0.0","0.0","0.0","16.25","72.12","336.8","168.4","320.56","264.68","0.0","","","","","","",""
