" Daily soil water balance output for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","1693.98","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","26.4","536.45","268.22","516.6","510.05","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1693.98","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","26.4","536.45","268.22","515.36","510.05","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1693.98","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","26.4","536.45","268.22","513.77","510.05","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1693.98","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","23.94","26.4","536.45","268.22","512.5","510.05","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1693.98","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","24.93","26.4","536.45","268.22","511.52","510.05","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1693.98","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","26.09","26.4","536.45","268.22","510.36","510.05","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1693.98","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","17.57","26.4","536.45","268.22","518.87","510.05","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1693.98","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","15.86","26.4","536.45","268.22","520.59","510.05","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1693.98","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","17.86","26.4","536.45","268.22","518.59","510.05","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1693.98","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","20.1","26.4","536.45","268.22","516.34","510.05","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1693.98","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","22.75","26.4","536.45","268.22","513.7","510.05","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1693.98","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","24.81","26.4","536.45","268.22","511.64","510.05","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1693.98","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","26.54","26.4","536.45","268.22","509.91","510.05","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1693.98","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1693.98","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","27.96","26.4","536.45","268.22","508.49","510.05","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1693.98","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1693.98","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","27.64","26.4","536.45","268.22","508.81","510.05","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1693.98","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1693.98","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","27.96","26.4","536.45","268.22","508.49","510.05","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1693.98","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1693.98","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","27.27","26.4","536.45","268.22","509.18","510.05","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1693.98","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1693.98","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","14.43","26.4","536.45","268.22","522.02","510.05","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1693.98","1.13","0.0","0.0","2.19","1.13","2.48","48.26","16.91","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1693.98","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1693.98","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","26.4","536.45","268.22","535.93","510.05","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1693.98","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","26.4","536.45","268.22","533.86","510.05","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1693.98","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","26.4","536.45","268.22","532.4","510.05","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1693.98","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1693.98","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1693.98","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1693.98","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1693.98","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","26.4","536.45","268.22","533.09","510.05","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1693.98","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","26.4","536.45","268.22","530.22","510.05","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1693.98","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","26.4","536.45","268.22","527.73","510.05","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1693.98","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","26.4","536.45","268.22","525.53","510.05","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1693.98","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","26.4","536.45","268.22","523.53","510.05","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1693.98","0.61","0.0","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","26.4","536.45","268.22","522.23","510.05","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1693.98","0.58","0.0","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","26.4","536.45","268.22","522.26","510.05","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1693.98","0.54","0.0","0.0","2.94","0.54","1.6","0.94","0.94","0.0","0.0","14.84","26.4","536.45","268.22","521.6","510.05","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1693.98","0.51","0.0","0.0","3.34","0.51","1.7","0.0","0.0","0.0","0.0","16.55","26.4","536.45","268.22","519.9","510.05","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1693.98","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.09","26.4","536.45","268.22","518.36","510.05","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1693.98","0.46","0.0","0.0","3.68","0.46","1.68","0.0","0.0","0.0","0.0","19.78","26.4","536.45","268.22","516.67","510.05","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1693.98","0.43","0.0","0.0","4.39","0.43","1.89","0.0","0.0","0.0","0.0","21.67","26.4","536.45","268.22","514.78","510.05","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1693.98","0.41","0.0","0.0","3.47","0.41","1.43","0.0","0.0","0.0","0.0","23.1","26.4","536.45","268.22","513.35","510.05","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1693.98","0.4","0.0","0.0","3.49","0.4","1.39","0.0","0.0","0.0","0.0","24.49","26.4","536.45","268.22","511.96","510.05","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1693.98","0.38","0.0","0.0","3.77","0.38","1.44","0.0","0.0","0.0","0.0","25.93","26.4","536.45","268.22","510.52","510.05","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1693.98","0.37","0.0","0.0","3.58","0.37","1.32","0.0","0.0","0.0","0.0","27.25","26.4","536.45","268.22","509.2","510.05","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1693.98","0.36","0.0","0.0","3.76","0.36","1.34","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1693.98","0.35","0.45","0.0","3.65","0.45","1.64","0.0","0.0","0.0","0.0","28.04","106.63","536.45","268.22","508.41","429.82","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1693.98","0.34","0.46","0.0","3.74","0.46","1.71","0.0","0.0","0.0","0.0","29.75","106.63","536.45","268.22","506.7","429.82","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1693.98","0.33","0.46","0.0","4.02","0.46","1.86","0.0","0.0","0.0","0.0","31.61","106.63","536.45","268.22","504.84","429.82","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1693.98","0.32","0.47","0.0","4.17","0.47","1.95","0.0","0.0","0.0","0.0","33.56","106.63","536.45","268.22","502.89","429.82","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1693.98","0.3","0.47","0.0","5.61","0.47","2.66","0.0","0.0","0.0","0.0","36.22","106.63","536.45","268.22","500.23","429.82","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1693.98","0.29","0.48","0.0","4.91","0.48","2.36","0.0","0.0","0.0","0.0","38.58","106.63","536.45","268.22","497.87","429.82","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1693.98","0.29","0.49","0.0","4.31","0.49","2.1","0.0","0.0","0.0","0.0","40.68","106.63","536.45","268.22","495.77","429.82","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1693.98","0.28","0.49","0.0","3.47","0.49","1.71","0.01","0.01","0.0","0.0","42.38","106.63","536.45","268.22","494.07","429.82","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1693.98","0.28","0.5","0.0","1.5","0.5","0.75","2.32","2.32","0.0","0.0","40.81","106.63","536.45","268.22","495.64","429.82","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1693.98","1.13","0.51","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","34.36","106.63","536.45","268.22","502.09","429.82","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1693.98","1.11","0.51","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","37.52","106.63","536.45","268.22","498.93","429.82","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1693.98","0.91","0.52","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","40.69","106.63","536.45","268.22","495.76","429.82","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1693.98","0.75","0.52","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","43.86","106.63","536.45","268.22","492.58","429.82","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1693.98","0.65","0.53","0.0","4.05","0.65","2.64","0.48","0.48","0.0","0.0","46.02","106.63","536.45","268.22","490.42","429.82","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1693.98","0.57","0.54","0.0","5.4","0.57","3.05","0.0","0.0","0.0","0.0","49.07","106.63","536.45","268.22","487.37","429.82","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1693.98","0.51","0.54","0.0","5.38","0.54","2.92","0.0","0.0","0.0","0.0","51.99","106.63","536.45","268.22","484.46","429.82","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1693.98","0.47","0.55","0.0","4.72","0.55","2.59","0.0","0.0","0.0","0.0","54.58","106.63","536.45","268.22","481.87","429.82","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1693.98","0.43","0.55","0.0","5.09","0.55","2.82","0.0","0.0","0.0","0.0","57.4","106.63","536.45","268.22","479.05","429.82","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1693.98","0.41","0.56","0.0","4.97","0.56","2.79","0.0","0.0","0.0","0.0","60.19","106.63","536.45","268.22","476.26","429.82","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1693.98","0.38","0.57","0.0","5.11","0.57","2.9","0.0","0.0","0.0","0.0","63.08","106.63","536.45","268.22","473.37","429.82","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1693.98","0.37","0.57","0.0","3.83","0.57","2.19","0.0","0.0","0.0","0.0","65.28","106.63","536.45","268.22","471.17","429.82","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1693.98","0.36","0.58","0.0","2.88","0.58","1.67","0.12","0.12","0.0","0.0","66.82","106.63","536.45","268.22","469.62","429.82","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1693.98","0.35","0.59","0.0","3.96","0.59","2.32","2.58","2.58","0.0","0.0","66.56","106.63","536.45","268.22","469.89","429.82","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1693.98","0.34","0.59","0.0","4.41","0.59","2.61","0.0","0.0","0.0","0.0","69.17","106.63","536.45","268.22","467.28","429.82","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1693.98","0.32","0.6","0.0","5.39","0.6","3.22","0.0","0.0","0.0","0.0","72.39","106.63","536.45","268.22","464.06","429.82","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1693.98","0.31","0.6","0.0","4.64","0.6","2.8","0.0","0.0","0.0","0.0","75.19","106.63","536.45","268.22","461.26","429.82","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1693.98","0.3","0.61","0.0","3.84","0.61","2.34","0.0","0.0","0.0","0.0","77.53","106.63","536.45","268.22","458.92","429.82","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1693.98","0.29","0.62","0.0","5.73","0.62","3.53","3.95","3.95","0.0","0.0","77.11","106.63","536.45","268.22","459.34","429.82","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1693.98","0.28","0.62","0.0","5.1","0.62","3.17","0.0","0.0","0.0","0.0","80.28","106.63","536.45","268.22","456.17","429.82","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1693.98","0.27","0.63","0.0","7.38","0.63","4.64","0.0","0.0","0.0","0.0","84.91","106.63","536.45","268.22","451.53","429.82","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1693.98","0.26","0.63","0.0","5.87","0.63","3.72","0.0","0.0","0.0","0.0","88.64","106.63","536.45","268.22","447.81","429.82","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1693.98","0.26","0.64","0.0","5.3","0.64","3.39","0.0","0.0","0.0","0.0","92.03","106.63","536.45","268.22","444.42","429.82","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1693.98","0.25","0.65","0.0","4.33","0.65","2.8","0.0","0.0","0.0","0.0","94.83","106.63","536.45","268.22","441.62","429.82","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1693.98","0.25","0.65","0.0","4.83","0.65","3.15","0.0","0.0","0.0","0.0","97.98","106.63","536.45","268.22","438.47","429.82","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1693.98","0.24","0.66","0.0","2.3","0.66","1.52","0.02","0.02","0.0","0.0","99.48","106.63","536.45","268.22","436.97","429.82","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1693.98","0.24","0.66","0.0","2.1","0.66","1.4","0.13","0.13","0.0","0.0","100.74","106.63","536.45","268.22","435.7","429.82","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1693.98","0.24","0.67","0.0","2.06","0.67","1.38","1.36","1.36","0.0","0.0","100.77","106.63","536.45","268.22","435.68","429.82","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1693.98","0.24","0.68","0.0","3.2","0.68","2.17","2.24","2.24","0.0","0.0","100.69","106.63","536.45","268.22","435.75","429.82","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1693.98","0.23","0.68","0.0","4.63","0.68","3.16","0.0","0.0","0.0","0.0","103.86","106.63","536.45","268.22","432.59","429.82","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1693.98","0.23","0.69","0.0","5.64","0.69","3.89","0.0","0.0","0.0","0.0","0.0","106.63","536.45","268.22","536.45","429.82","107.75","","","","","","",""
"2016.0","5.0","11.0","132.0","1693.98","0.22","0.7","0.0","5.95","0.7","4.14","0.0","0.0","0.0","0.0","4.14","106.63","536.45","268.22","532.31","429.82","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","1693.98","0.22","0.7","0.0","5.92","0.7","4.15","0.0","0.0","0.0","0.0","8.29","106.63","536.45","268.22","528.15","429.82","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1693.98","0.21","0.71","0.0","5.56","0.71","3.94","0.0","0.0","0.0","0.0","12.23","106.63","536.45","268.22","524.22","429.82","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1693.98","0.21","0.71","0.0","5.05","0.71","3.61","0.0","0.0","0.0","0.0","15.84","106.63","536.45","268.22","520.61","429.82","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","1693.98","0.21","0.72","0.0","5.51","0.72","3.97","0.0","0.0","0.0","0.0","19.8","106.63","536.45","268.22","516.64","429.82","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1693.98","0.2","0.73","0.0","6.55","0.73","4.76","0.0","0.0","0.0","0.0","24.56","106.63","536.45","268.22","511.89","429.82","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1693.98","0.2","0.73","0.0","7.65","0.73","5.6","0.0","0.0","0.0","0.0","30.16","106.63","536.45","268.22","506.28","429.82","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1693.98","0.19","0.74","0.0","7.01","0.74","5.18","0.0","0.0","0.0","0.0","35.34","106.63","536.45","268.22","501.11","429.82","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1693.98","0.19","0.74","0.0","6.2","0.74","4.62","0.0","0.0","0.0","0.0","39.96","106.63","536.45","268.22","496.49","429.82","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1693.98","0.19","0.75","0.0","4.88","0.75","3.66","0.0","0.0","0.0","0.0","43.62","106.63","536.45","268.22","492.82","429.82","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1693.98","0.19","0.76","0.0","4.07","0.76","3.08","0.51","0.51","0.0","0.0","46.19","106.63","536.45","268.22","490.25","429.82","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1693.98","0.18","0.76","0.0","4.31","0.76","3.29","0.2","0.2","0.0","0.0","49.28","106.63","536.45","268.22","487.16","429.82","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1693.98","0.18","0.77","0.0","4.77","0.77","3.67","0.0","0.0","0.0","0.0","52.95","106.63","536.45","268.22","483.5","429.82","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1693.98","0.18","0.78","0.0","4.82","0.78","3.74","0.0","0.0","0.0","0.0","56.69","106.63","536.45","268.22","479.76","429.82","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1693.98","0.18","0.78","0.0","5.25","0.78","4.1","0.0","0.0","0.0","0.0","60.79","106.63","536.45","268.22","475.65","429.82","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1693.98","0.18","0.79","0.0","5.68","0.79","4.47","0.0","0.0","0.0","0.0","65.27","106.63","536.45","268.22","471.18","429.82","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1693.98","0.17","0.79","0.0","5.98","0.79","4.75","0.0","0.0","0.0","0.0","70.02","106.63","536.45","268.22","466.43","429.82","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","1693.98","0.17","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","75.54","106.63","536.45","268.22","460.91","429.82","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1693.98","0.17","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","80.68","106.63","536.45","268.22","455.77","429.82","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1693.98","0.17","0.8","0.0","6.72","0.8","5.38","0.0","0.0","0.0","0.0","86.06","106.63","536.45","268.22","450.39","429.82","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1693.98","0.16","0.8","0.0","7.04","0.8","5.63","0.0","0.0","0.0","0.0","91.69","106.63","536.45","268.22","444.76","429.82","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1693.98","0.16","0.8","0.0","7.1","0.8","5.68","0.0","0.0","0.0","0.0","97.37","106.63","536.45","268.22","439.08","429.82","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1693.98","0.16","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","102.78","106.63","536.45","268.22","433.66","429.82","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","1693.98","0.16","0.8","0.0","7.21","0.8","5.77","0.0","0.0","0.0","0.0","0.0","106.63","536.45","268.22","536.45","429.82","108.55","","","","","","",""
"2016.0","6.0","4.0","156.0","1693.98","0.16","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","3.83","106.63","536.45","268.22","532.62","429.82","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1693.98","0.15","0.8","0.0","7.5","0.8","6.0","0.0","0.0","0.0","0.0","9.83","106.63","536.45","268.22","526.62","429.82","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","1693.98","0.15","0.8","0.0","7.01","0.8","5.61","0.0","0.0","0.0","0.0","15.44","106.63","536.45","268.22","521.01","429.82","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1693.98","0.15","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","20.74","106.63","536.45","268.22","515.7","429.82","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1693.98","0.15","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","25.84","106.63","536.45","268.22","510.61","429.82","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1693.98","0.15","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","30.72","106.63","536.45","268.22","505.73","429.82","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1693.98","0.15","0.8","0.0","6.5","0.8","5.2","0.0","0.0","0.0","0.0","35.92","106.63","536.45","268.22","500.53","429.82","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1693.98","0.14","0.8","0.0","6.86","0.8","5.49","0.0","0.0","0.0","0.0","41.41","106.63","536.45","268.22","495.04","429.82","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1693.98","0.14","0.8","0.0","6.89","0.8","5.51","0.0","0.0","0.0","0.0","46.92","106.63","536.45","268.22","489.53","429.82","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1693.98","0.14","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","52.16","106.63","536.45","268.22","484.29","429.82","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1693.98","0.14","0.8","0.0","6.15","0.8","4.92","0.0","0.0","0.0","0.0","57.08","106.63","536.45","268.22","479.37","429.82","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","1693.98","0.14","0.8","0.0","5.14","0.8","4.11","0.0","0.0","0.0","0.0","61.19","106.63","536.45","268.22","475.26","429.82","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1693.98","0.14","0.8","0.0","5.15","0.8","4.12","0.0","0.0","0.0","0.0","65.31","106.63","536.45","268.22","471.14","429.82","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1693.98","0.14","0.8","0.0","4.72","0.8","3.78","0.0","0.0","0.0","0.0","69.09","106.63","536.45","268.22","467.36","429.82","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1693.98","0.14","0.8","0.0","6.09","0.8","4.87","0.0","0.0","0.0","0.0","73.96","106.63","536.45","268.22","462.49","429.82","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1693.98","0.13","0.8","0.0","6.76","0.8","5.41","0.0","0.0","0.0","0.0","79.37","106.63","536.45","268.22","457.08","429.82","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1693.98","0.13","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","85.2","106.63","536.45","268.22","451.25","429.82","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1693.98","0.13","0.8","0.0","7.6","0.8","6.08","0.0","0.0","0.0","0.0","91.28","106.63","536.45","268.22","445.17","429.82","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1693.98","0.13","0.8","0.0","7.59","0.8","6.07","0.0","0.0","0.0","0.0","97.35","106.63","536.45","268.22","439.1","429.82","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1693.98","0.13","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","103.39","106.63","536.45","268.22","433.06","429.82","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1693.98","0.13","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","0.0","106.63","536.45","268.22","536.45","429.82","108.91","","","","","","",""
"2016.0","6.0","25.0","177.0","1693.98","0.13","0.8","0.0","7.71","0.8","6.17","0.0","0.0","0.0","0.0","6.17","106.63","536.45","268.22","530.28","429.82","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","1693.98","0.13","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","12.21","106.63","536.45","268.22","524.24","429.82","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1693.98","0.12","0.8","0.0","7.98","0.8","6.38","0.0","0.0","0.0","0.0","18.59","106.63","536.45","268.22","517.86","429.82","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1693.98","0.12","0.8","0.0","7.97","0.8","6.38","0.0","0.0","0.0","0.0","24.97","106.63","536.45","268.22","511.48","429.82","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1693.98","0.12","0.8","0.0","7.26","0.8","5.81","0.0","0.0","0.0","0.0","30.78","106.63","536.45","268.22","505.67","429.82","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","1693.98","0.12","0.8","0.0","7.26","0.8","5.81","0.0","0.0","0.0","0.0","36.58","106.63","536.45","268.22","499.86","429.82","0.0","","","","","","",""
