" Daily soil water balance output for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","149.0","0.54","0.0","0.0","2.35","0.54","1.26","0.0","0.0","0.0","0.0","20.54","22.5","320.04","160.02","299.5","297.54","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","149.0","0.51","0.0","0.0","3.22","0.51","1.63","0.0","0.0","0.0","0.0","22.16","22.5","320.04","160.02","297.88","297.54","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","149.0","0.48","0.0","0.0","2.64","0.48","1.28","0.0","0.0","0.0","0.0","23.44","22.5","320.04","160.02","296.6","297.54","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","149.0","0.47","0.0","0.0","2.1","0.47","0.99","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","149.0","0.45","0.0","0.0","2.65","0.45","1.2","0.0","0.0","0.0","0.0","23.7","22.5","320.04","160.02","296.34","297.54","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","149.0","1.15","0.0","0.0","1.85","1.15","2.12","13.67","13.67","0.0","0.0","10.03","22.5","320.04","160.02","310.01","297.54","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","149.0","1.16","0.0","0.0","1.55","1.16","1.79","3.73","3.73","0.0","0.0","8.09","22.5","320.04","160.02","311.95","297.54","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","149.0","1.15","0.0","0.0","1.81","1.15","2.09","0.24","0.24","0.0","0.0","9.94","22.5","320.04","160.02","310.1","297.54","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","149.0","1.15","0.0","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","12.19","22.5","320.04","160.02","307.85","297.54","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","149.0","0.98","0.0","0.0","2.76","0.98","2.69","0.0","0.0","0.0","0.0","14.89","22.5","320.04","160.02","305.15","297.54","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","149.0","0.86","0.0","0.0","2.38","0.86","2.04","0.0","0.0","0.0","0.0","16.93","22.5","320.04","160.02","303.11","297.54","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","149.0","0.78","0.0","0.0","2.23","0.78","1.73","0.0","0.0","0.0","0.0","18.66","22.5","320.04","160.02","301.38","297.54","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","149.0","0.71","0.0","0.0","2.35","0.71","1.68","0.0","0.0","0.0","0.0","20.34","22.5","320.04","160.02","299.7","297.54","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","149.0","0.66","0.0","0.0","2.38","0.66","1.58","0.0","0.0","0.0","0.0","21.92","22.5","320.04","160.02","298.12","297.54","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","149.0","0.63","0.0","0.0","2.08","0.63","1.3","0.0","0.0","0.0","0.0","23.22","22.5","320.04","160.02","296.82","297.54","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","149.0","0.6","0.0","0.0","2.1","0.6","1.25","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","149.0","0.56","0.0","0.0","2.69","0.56","1.51","0.0","0.0","0.0","0.0","24.01","22.5","320.04","160.02","296.03","297.54","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","149.0","0.53","0.0","0.0","3.02","0.53","1.6","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","149.0","0.5","0.0","0.0","2.66","0.5","1.34","0.0","0.0","0.0","0.0","23.84","22.5","320.04","160.02","296.2","297.54","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","149.0","0.49","0.0","0.0","1.77","0.49","0.87","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","149.0","0.48","0.0","0.0","1.55","0.48","0.74","0.14","0.14","0.0","0.0","23.1","22.5","320.04","160.02","296.94","297.54","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","149.0","1.17","0.0","0.0","1.23","1.17","1.44","16.2","16.2","0.0","0.0","6.9","22.5","320.04","160.02","313.14","297.54","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","149.0","1.13","0.0","0.0","2.17","1.13","2.46","38.99","9.36","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","149.0","1.16","0.0","0.0","1.57","1.16","1.82","13.12","1.82","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","149.0","1.15","0.0","0.0","1.76","1.15","2.02","2.77","2.02","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","149.0","1.15","0.0","0.0","1.86","1.15","2.13","0.0","0.0","0.0","0.0","2.13","22.5","320.04","160.02","317.91","297.54","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","149.0","1.15","0.0","0.0","1.4","1.15","1.61","0.02","0.02","0.0","0.0","3.73","22.5","320.04","160.02","316.31","297.54","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","149.0","1.16","0.0","0.0","1.47","1.16","1.71","14.58","5.44","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","149.0","1.16","0.0","0.0","1.54","1.16","1.78","12.59","1.78","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","149.0","1.17","0.0","0.0","1.15","1.17","1.35","14.06","1.35","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","149.0","1.12","0.0","0.0","2.55","1.12","2.85","12.93","2.85","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","149.0","1.11","0.0","0.0","3.07","1.11","3.4","0.0","0.0","0.0","0.0","3.4","22.5","320.04","160.02","316.64","297.54","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","149.0","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.28","22.5","320.04","160.02","313.76","297.54","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","149.0","0.79","0.0","0.0","3.16","0.79","2.5","0.0","0.0","0.0","0.0","8.78","22.5","320.04","160.02","311.26","297.54","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","149.0","0.7","0.0","0.0","3.19","0.7","2.24","0.0","0.0","0.0","0.0","11.02","22.5","320.04","160.02","309.02","297.54","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","149.0","0.64","0.0","0.0","3.17","0.64","2.02","0.0","0.0","0.0","0.0","13.04","22.5","320.04","160.02","307.0","297.54","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","149.0","0.6","0.0","0.0","2.2","0.6","1.33","0.0","0.0","0.0","0.0","14.37","22.5","320.04","160.02","305.67","297.54","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","149.0","0.57","0.0","0.0","2.32","0.57","1.33","1.54","1.54","0.0","0.0","14.16","22.5","320.04","160.02","305.88","297.54","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","149.0","0.54","0.0","0.0","2.92","0.54","1.57","1.83","1.83","0.0","0.0","13.9","22.5","320.04","160.02","306.14","297.54","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","149.0","0.51","0.0","0.0","3.36","0.51","1.7","0.0","0.0","0.0","0.0","15.61","22.5","320.04","160.02","304.43","297.54","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","149.0","0.48","0.0","0.0","3.2","0.48","1.54","0.0","0.0","0.0","0.0","17.14","22.5","320.04","160.02","302.9","297.54","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","149.0","0.45","0.0","0.0","3.71","0.45","1.69","0.0","0.0","0.0","0.0","18.83","22.5","320.04","160.02","301.21","297.54","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","149.0","0.43","0.0","0.0","4.47","0.43","1.91","0.0","0.0","0.0","0.0","20.74","22.5","320.04","160.02","299.3","297.54","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","149.0","0.41","0.0","0.0","3.43","0.41","1.41","0.0","0.0","0.0","0.0","22.15","22.5","320.04","160.02","297.89","297.54","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","149.0","0.39","0.0","0.0","3.53","0.39","1.39","0.0","0.0","0.0","0.0","23.55","22.5","320.04","160.02","296.49","297.54","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","149.0","0.38","0.0","0.0","3.82","0.38","1.45","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","149.0","0.37","0.0","0.0","3.64","0.37","1.33","0.0","0.0","0.0","0.0","23.83","22.5","320.04","160.02","296.21","297.54","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","149.0","0.35","0.0","0.0","3.78","0.35","1.34","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","149.0","0.34","0.0","0.0","3.67","0.34","1.26","0.0","0.0","0.0","0.0","23.76","22.5","320.04","160.02","296.28","297.54","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","149.0","0.33","0.0","0.0","3.74","0.33","1.25","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","149.0","0.32","0.0","0.0","4.08","0.32","1.32","0.0","0.0","0.0","0.0","23.82","22.5","320.04","160.02","296.22","297.54","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","149.0","0.31","0.0","0.0","4.22","0.31","1.33","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","149.0","0.3","0.0","0.0","5.72","0.3","1.73","0.0","0.0","0.0","0.0","24.23","22.5","320.04","160.02","295.81","297.54","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","149.0","0.29","0.0","0.0","4.95","0.29","1.45","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","149.0","0.29","0.0","0.0","4.34","0.29","1.24","0.0","0.0","0.0","0.0","23.74","22.5","320.04","160.02","296.3","297.54","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","149.0","0.28","0.0","0.0","3.63","0.28","1.02","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","149.0","0.28","0.0","0.0","1.42","0.28","0.39","1.32","1.32","0.0","0.0","21.57","22.5","320.04","160.02","298.47","297.54","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","149.0","1.13","0.0","0.0","2.26","1.13","2.55","9.35","9.35","0.0","0.0","14.78","22.5","320.04","160.02","305.26","297.54","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","149.0","1.11","0.0","0.0","3.33","1.11","3.69","0.43","0.43","0.0","0.0","18.04","22.5","320.04","160.02","302.0","297.54","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","149.0","0.9","0.0","0.0","3.61","0.9","3.24","0.0","0.0","0.0","0.0","21.28","22.5","320.04","160.02","298.76","297.54","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","149.0","0.74","0.0","0.0","4.28","0.74","3.16","0.0","0.0","0.0","0.0","24.44","22.5","320.04","160.02","295.6","297.54","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","149.0","0.65","0.0","0.0","4.01","0.65","2.59","0.67","0.67","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","149.0","0.56","0.0","0.0","5.41","0.56","3.04","0.0","0.0","0.0","0.0","25.54","22.5","320.04","160.02","294.5","297.54","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","149.0","0.5","0.0","0.0","5.5","0.5","2.76","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","149.0","0.46","0.0","0.0","4.75","0.46","2.2","0.0","0.0","0.0","0.0","24.7","22.5","320.04","160.02","295.34","297.54","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","149.0","0.43","0.0","0.0","5.12","0.43","2.2","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","149.0","0.4","0.0","0.0","5.07","0.4","2.05","0.0","0.0","0.0","0.0","24.55","22.5","320.04","160.02","295.49","297.54","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","149.0","0.38","0.0","0.0","5.26","0.38","2.0","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","149.0","0.37","0.0","0.0","3.95","0.37","1.45","0.0","0.0","0.0","0.0","23.95","22.5","320.04","160.02","296.09","297.54","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","149.0","0.36","0.0","0.0","2.78","0.36","1.0","0.28","0.28","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","149.0","1.06","0.0","0.0","3.98","1.06","4.22","6.11","6.11","0.0","0.0","20.61","22.5","320.04","160.02","299.43","297.54","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","149.0","0.92","0.0","0.0","4.44","0.92","4.08","0.0","0.0","0.0","0.0","24.69","22.5","320.04","160.02","295.35","297.54","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","149.0","0.71","0.2","0.0","5.39","0.71","3.84","0.0","0.0","0.0","0.0","28.53","72.8","320.04","160.02","291.51","247.24","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","149.0","0.62","0.2","0.0","4.58","0.62","2.83","0.0","0.0","0.0","0.0","31.36","72.8","320.04","160.02","288.68","247.24","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","149.0","0.57","0.2","0.0","3.62","0.57","2.05","0.0","0.0","0.0","0.0","33.41","72.8","320.04","160.02","286.63","247.24","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","149.0","0.5","0.2","0.0","5.82","0.5","2.92","4.55","4.55","0.0","0.0","31.77","72.8","320.04","160.02","288.27","247.24","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","149.0","0.46","0.2","0.0","5.17","0.46","2.38","0.0","0.0","0.0","0.0","34.15","72.8","320.04","160.02","285.89","247.24","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","149.0","0.41","0.2","0.0","7.43","0.41","3.07","0.03","0.03","0.0","0.0","37.19","72.8","320.04","160.02","282.85","247.24","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","149.0","0.38","0.2","0.0","5.97","0.38","2.29","0.0","0.0","0.0","0.0","39.48","72.8","320.04","160.02","280.56","247.24","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","149.0","0.36","0.2","0.0","5.45","0.36","1.98","0.0","0.0","0.0","0.0","41.46","72.8","320.04","160.02","278.58","247.24","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","149.0","0.35","0.2","0.0","4.6","0.35","1.6","0.0","0.0","0.0","0.0","43.06","72.8","320.04","160.02","276.98","247.24","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","149.0","0.33","0.2","0.0","4.92","0.33","1.65","0.0","0.0","0.0","0.0","44.71","72.8","320.04","160.02","275.33","247.24","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","149.0","0.33","0.2","0.0","2.31","0.33","0.76","0.16","0.16","0.0","0.0","45.31","72.8","320.04","160.02","274.73","247.24","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","149.0","0.33","0.2","0.0","2.18","0.33","0.71","1.17","1.17","0.0","0.0","44.85","72.8","320.04","160.02","275.19","247.24","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","149.0","0.32","0.2","0.0","2.15","0.32","0.69","1.04","1.04","0.0","0.0","44.5","72.8","320.04","160.02","275.54","247.24","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","149.0","0.31","0.2","0.0","3.26","0.31","1.02","1.91","1.91","0.0","0.0","43.62","72.8","320.04","160.02","276.42","247.24","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","149.0","0.3","0.2","0.0","4.71","0.3","1.43","0.0","0.0","0.0","0.0","45.05","72.8","320.04","160.02","274.99","247.24","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","149.0","0.29","0.2","0.0","5.78","0.29","1.69","0.0","0.0","0.0","0.0","46.74","72.8","320.04","160.02","273.3","247.24","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","149.0","0.28","0.2","0.0","6.12","0.28","1.73","0.0","0.0","0.0","0.0","48.47","72.8","320.04","160.02","271.57","247.24","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","149.0","0.27","0.2","0.0","6.17","0.27","1.68","0.0","0.0","0.0","0.0","50.15","72.8","320.04","160.02","269.89","247.24","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","149.0","0.26","0.2","0.0","5.78","0.26","1.53","0.0","0.0","0.0","0.0","51.68","72.8","320.04","160.02","268.36","247.24","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","149.0","0.26","0.2","0.0","5.15","0.26","1.33","0.0","0.0","0.0","0.0","53.0","72.8","320.04","160.02","267.04","247.24","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","149.0","0.25","0.2","0.0","5.59","0.25","1.4","0.0","0.0","0.0","0.0","54.4","72.8","320.04","160.02","265.64","247.24","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","149.0","0.24","0.2","0.0","6.64","0.24","1.61","0.0","0.0","0.0","0.0","56.02","72.8","320.04","160.02","264.02","247.24","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","149.0","0.23","0.2","0.0","7.82","0.23","1.84","0.0","0.0","0.0","0.0","57.85","72.8","320.04","160.02","262.19","247.24","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","149.0","0.23","0.2","0.0","7.09","0.23","1.62","0.0","0.0","0.0","0.0","59.47","72.8","320.04","160.02","260.57","247.24","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","149.0","0.22","0.2","0.0","6.34","0.22","1.41","0.0","0.0","0.0","0.0","60.88","72.8","320.04","160.02","259.16","247.24","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","149.0","0.22","0.2","0.0","4.71","0.22","1.03","0.0","0.0","0.0","0.0","61.91","72.8","320.04","160.02","258.13","247.24","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","149.0","0.22","0.2","0.0","4.08","0.22","0.88","3.3","3.3","0.0","0.0","59.49","72.8","320.04","160.02","260.55","247.24","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","149.0","0.21","0.23","0.0","4.38","0.23","1.0","0.7","0.7","0.0","0.0","59.79","72.8","320.04","160.02","260.25","247.24","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","149.0","0.21","0.26","0.0","4.66","0.26","1.19","0.0","0.0","0.0","0.0","60.99","72.8","320.04","160.02","259.05","247.24","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","149.0","0.21","0.28","0.0","4.86","0.28","1.38","0.0","0.0","0.0","0.0","62.37","72.8","320.04","160.02","257.67","247.24","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","149.0","0.2","0.31","0.0","5.33","0.31","1.67","0.0","0.0","0.0","0.0","64.04","72.8","320.04","160.02","256.0","247.24","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","149.0","0.2","0.34","0.0","5.8","0.34","1.98","0.0","0.0","0.0","0.0","66.01","72.8","320.04","160.02","254.03","247.24","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","149.0","0.2","0.37","0.0","6.09","0.37","2.25","0.0","0.0","0.0","0.0","68.26","72.8","320.04","160.02","251.78","247.24","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","149.0","0.19","0.4","0.0","7.02","0.4","2.79","0.0","0.0","0.0","0.0","71.04","72.8","320.04","160.02","249.0","247.24","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","149.0","0.19","0.43","0.0","6.61","0.43","2.81","0.0","0.0","0.0","0.0","0.0","72.8","320.04","160.02","320.04","247.24","73.85","","","","","","",""
"2016.0","5.0","30.0","151.0","149.0","0.19","0.45","0.0","6.86","0.45","3.11","0.0","0.0","0.0","0.0","3.11","72.8","320.04","160.02","316.93","247.24","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","149.0","0.18","0.48","0.0","7.19","0.48","3.46","0.0","0.0","0.0","0.0","6.57","72.8","320.04","160.02","313.47","247.24","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","149.0","0.18","0.51","0.0","7.38","0.51","3.76","0.0","0.0","0.0","0.0","10.33","72.8","320.04","160.02","309.71","247.24","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","149.0","0.18","0.54","0.0","6.92","0.54","3.72","0.0","0.0","0.0","0.0","14.05","72.8","320.04","160.02","305.99","247.24","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","149.0","0.17","0.57","0.0","7.41","0.57","4.19","0.0","0.0","0.0","0.0","18.24","72.8","320.04","160.02","301.8","247.24","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","149.0","0.17","0.59","0.0","4.7","0.59","2.79","0.0","0.0","0.0","0.0","21.03","72.8","320.04","160.02","299.01","247.24","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","149.0","0.17","0.62","0.0","7.65","0.62","4.76","0.0","0.0","0.0","0.0","25.79","72.8","320.04","160.02","294.25","247.24","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","149.0","0.17","0.65","0.0","7.32","0.65","4.76","0.0","0.0","0.0","0.0","30.54","72.8","320.04","160.02","289.5","247.24","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","149.0","0.16","0.68","0.0","6.88","0.68","4.67","0.0","0.0","0.0","0.0","35.21","72.8","320.04","160.02","284.83","247.24","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","149.0","0.16","0.71","0.0","6.66","0.71","4.7","0.0","0.0","0.0","0.0","39.91","72.8","320.04","160.02","280.13","247.24","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","149.0","0.16","0.73","0.0","6.33","0.73","4.65","0.0","0.0","0.0","0.0","44.56","72.8","320.04","160.02","275.48","247.24","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","149.0","0.16","0.76","0.0","6.63","0.76","5.06","0.0","0.0","0.0","0.0","49.62","72.8","320.04","160.02","270.42","247.24","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","149.0","0.15","0.79","0.0","6.93","0.79","5.48","0.0","0.0","0.0","0.0","55.1","72.8","320.04","160.02","264.94","247.24","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","149.0","0.15","0.82","0.0","7.07","0.82","5.79","0.0","0.0","0.0","0.0","60.89","72.8","320.04","160.02","259.15","247.24","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","149.0","0.15","0.85","0.0","6.74","0.85","5.71","0.0","0.0","0.0","0.0","66.59","72.8","320.04","160.02","253.45","247.24","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","149.0","0.15","0.88","0.0","6.25","0.88","5.47","0.0","0.0","0.0","0.0","72.06","72.8","320.04","160.02","247.98","247.24","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","149.0","0.15","0.9","0.0","5.13","0.9","4.63","0.0","0.0","0.0","0.0","0.0","72.8","320.04","160.02","320.04","247.24","76.69","","","","","","",""
"2016.0","6.0","16.0","168.0","149.0","0.15","0.93","0.0","5.19","0.93","4.83","0.0","0.0","0.0","0.0","4.83","72.8","320.04","160.02","315.21","247.24","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","149.0","0.15","0.96","0.0","4.72","0.96","4.53","0.0","0.0","0.0","0.0","9.36","72.8","320.04","160.02","310.68","247.24","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","149.0","0.14","0.99","0.0","6.09","0.99","6.01","0.0","0.0","0.0","0.0","15.38","72.8","320.04","160.02","304.66","247.24","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","149.0","0.14","1.02","0.0","6.77","1.02","6.88","0.0","0.0","0.0","0.0","22.25","72.8","320.04","160.02","297.79","247.24","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","149.0","0.14","1.04","0.0","7.37","1.04","7.69","0.0","0.0","0.0","0.0","29.94","72.8","320.04","160.02","290.1","247.24","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","149.0","0.14","1.07","0.0","7.68","1.07","8.23","0.0","0.0","0.0","0.0","38.18","72.8","320.04","160.02","281.86","247.24","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","149.0","0.14","1.1","0.0","7.83","1.1","8.61","0.0","0.0","0.0","0.0","46.79","72.8","320.04","160.02","273.25","247.24","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","149.0","0.14","1.1","0.0","7.67","1.1","8.44","0.0","0.0","0.0","0.0","55.23","72.8","320.04","160.02","264.81","247.24","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","149.0","0.13","1.1","0.0","7.0","1.1","7.7","0.0","0.0","0.0","0.0","62.93","72.8","320.04","160.02","257.11","247.24","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","149.0","0.13","1.1","0.0","7.78","1.1","8.56","0.0","0.0","0.0","0.0","71.48","72.8","320.04","160.02","248.56","247.24","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","149.0","0.13","1.1","0.0","7.64","1.1","8.4","0.0","0.0","0.0","0.0","0.0","72.8","320.04","160.02","320.04","247.24","79.89","","","","","","",""
"2016.0","6.0","27.0","179.0","149.0","0.13","1.1","0.0","8.07","1.1","8.88","0.0","0.0","0.0","0.0","8.88","72.8","320.04","160.02","311.16","247.24","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","149.0","0.13","1.1","0.0","8.11","1.1","8.92","0.0","0.0","0.0","0.0","17.8","72.8","320.04","160.02","302.24","247.24","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","149.0","0.13","1.1","0.0","7.53","1.1","8.28","0.0","0.0","0.0","0.0","26.08","72.8","320.04","160.02","293.96","247.24","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","149.0","0.13","1.1","0.0","7.46","1.1","8.21","0.0","0.0","0.0","0.0","34.29","72.8","320.04","160.02","285.75","247.24","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","149.0","0.13","1.1","0.0","7.37","1.1","8.11","0.0","0.0","0.0","0.0","42.39","72.8","320.04","160.02","277.65","247.24","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","149.0","0.12","1.1","0.0","7.33","1.1","8.06","0.0","0.0","0.0","0.0","50.46","72.8","320.04","160.02","269.58","247.24","0.0","","","","","","",""
