" Daily soil water balance output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","26.91","0.55","0.0","0.0","2.25","0.55","1.25","0.0","0.0","0.0","0.0","20.01","28.05","560.48","280.24","540.47","532.43","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","26.91","0.52","0.0","0.0","2.94","0.52","1.54","0.0","0.0","0.0","0.0","21.54","28.05","560.48","280.24","538.93","532.43","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","26.91","0.5","0.0","0.0","2.45","0.5","1.23","0.0","0.0","0.0","0.0","22.77","28.05","560.48","280.24","537.7","532.43","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","26.91","0.49","0.0","0.0","2.13","0.49","1.03","0.0","0.0","0.0","0.0","23.81","28.05","560.48","280.24","536.67","532.43","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","26.91","1.11","0.0","0.0","2.73","1.11","3.03","2.71","2.71","0.0","0.0","24.13","28.05","560.48","280.24","536.35","532.43","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","26.91","1.14","0.0","0.0","1.95","1.14","2.23","9.85","9.85","0.0","0.0","16.51","28.05","560.48","280.24","543.97","532.43","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","26.91","1.15","0.0","0.0","1.71","1.15","1.96","1.24","1.24","0.0","0.0","17.23","28.05","560.48","280.24","543.25","532.43","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","26.91","1.15","0.0","0.0","1.78","1.15","2.04","0.01","0.01","0.0","0.0","19.26","28.05","560.48","280.24","541.22","532.43","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","26.91","1.02","0.0","0.0","1.99","1.02","2.03","0.0","0.0","0.0","0.0","21.29","28.05","560.48","280.24","539.18","532.43","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","26.91","0.88","0.0","0.0","2.61","0.88","2.29","0.0","0.0","0.0","0.0","23.58","28.05","560.48","280.24","536.9","532.43","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","26.91","0.78","0.0","0.0","2.48","0.78","1.94","0.0","0.0","0.0","0.0","25.52","28.05","560.48","280.24","534.96","532.43","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","26.91","0.72","0.0","0.0","2.24","0.72","1.62","0.0","0.0","0.0","0.0","27.14","28.05","560.48","280.24","533.34","532.43","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","26.91","0.67","0.0","0.0","2.36","0.67","1.58","0.0","0.0","0.0","0.0","28.72","28.05","560.48","280.24","531.76","532.43","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","26.91","0.63","0.0","0.0","2.33","0.63","1.46","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","26.91","0.59","0.0","0.0","2.37","0.59","1.4","0.0","0.0","0.0","0.0","29.45","28.05","560.48","280.24","531.02","532.43","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","26.91","0.57","0.0","0.0","2.04","0.57","1.16","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","26.91","0.54","0.0","0.0","2.61","0.54","1.4","0.0","0.0","0.0","0.0","29.45","28.05","560.48","280.24","531.02","532.43","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","26.91","0.51","0.0","0.0","2.95","0.51","1.5","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","26.91","0.49","0.0","0.0","2.56","0.49","1.25","0.0","0.0","0.0","0.0","29.3","28.05","560.48","280.24","531.18","532.43","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","26.91","0.47","0.0","0.0","1.87","0.47","0.89","0.0","0.0","0.0","0.0","28.05","28.05","560.48","280.24","532.43","532.43","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","26.91","0.47","0.0","0.0","1.5","0.47","0.7","1.71","1.71","0.0","0.0","27.04","28.05","560.48","280.24","533.44","532.43","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","26.91","1.17","0.0","0.0","1.33","1.17","1.55","14.14","14.14","0.0","0.0","14.45","28.05","560.48","280.24","546.03","532.43","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","26.91","1.13","0.0","0.0","2.26","1.13","2.55","20.66","17.0","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","26.91","1.16","0.0","0.0","1.53","1.16","1.77","13.1","1.77","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","26.91","1.15","0.0","0.0","1.93","1.15","2.22","1.46","1.46","0.0","0.0","0.76","28.05","560.48","280.24","559.72","532.43","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","26.91","1.15","0.0","0.0","1.98","1.15","2.27","0.57","0.57","0.0","0.0","2.46","28.05","560.48","280.24","558.01","532.43","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","26.91","1.16","0.0","0.0","1.59","1.16","1.84","2.01","2.01","0.0","0.0","2.29","28.05","560.48","280.24","558.18","532.43","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","26.91","1.16","0.0","0.0","1.54","1.16","1.78","5.1","4.08","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","26.91","1.15","0.0","0.0","1.8","1.15","2.07","7.19","2.07","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","26.91","1.17","0.0","0.0","1.19","1.17","1.4","12.32","1.4","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","26.91","1.12","0.0","0.0","2.52","1.12","2.82","10.8","2.82","0.0","0.0","0.0","28.05","560.48","280.24","560.48","532.43","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","26.91","1.11","0.0","0.0","2.99","1.11","3.32","0.0","0.0","0.0","0.0","3.32","28.05","560.48","280.24","557.16","532.43","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","26.91","0.93","0.0","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.21","28.05","560.48","280.24","554.27","532.43","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","26.91","0.8","0.0","0.0","3.14","0.8","2.5","0.0","0.0","0.0","0.0","8.71","28.05","560.48","280.24","551.77","532.43","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","26.91","0.71","0.0","0.0","3.04","0.71","2.16","0.0","0.0","0.0","0.0","10.86","28.05","560.48","280.24","549.61","532.43","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","26.91","0.65","0.0","0.0","2.97","0.65","1.92","0.0","0.0","0.0","0.0","12.79","28.05","560.48","280.24","547.69","532.43","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","26.91","0.61","0.55","0.0","2.33","0.61","1.42","0.03","0.03","0.0","0.0","14.18","127.67","560.48","280.24","546.3","432.81","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","26.91","0.58","0.56","0.0","2.37","0.58","1.37","1.23","1.23","0.0","0.0","14.32","127.67","560.48","280.24","546.16","432.81","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","26.91","0.54","0.56","0.0","3.0","0.56","1.68","0.94","0.94","0.0","0.0","15.06","127.67","560.48","280.24","545.42","432.81","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","26.91","0.51","0.57","0.0","3.33","0.57","1.89","0.0","0.0","0.0","0.0","16.94","127.67","560.48","280.24","543.53","432.81","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","26.91","0.48","0.57","0.0","3.19","0.57","1.82","0.0","0.0","0.0","0.0","18.77","127.67","560.48","280.24","541.71","432.81","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","26.91","0.46","0.58","0.0","3.61","0.58","2.08","0.0","0.0","0.0","0.0","20.85","127.67","560.48","280.24","539.63","432.81","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","26.91","0.43","0.58","0.0","4.2","0.58","2.45","0.0","0.0","0.0","0.0","23.29","127.67","560.48","280.24","537.18","432.81","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","26.91","0.41","0.59","0.0","3.51","0.59","2.06","0.0","0.0","0.0","0.0","25.36","127.67","560.48","280.24","535.12","432.81","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","26.91","0.4","0.59","0.0","3.52","0.59","2.09","0.0","0.0","0.0","0.0","27.44","127.67","560.48","280.24","533.03","432.81","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","26.91","0.38","0.6","0.0","3.71","0.6","2.22","0.0","0.0","0.0","0.0","29.66","127.67","560.48","280.24","530.81","432.81","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","26.91","0.37","0.6","0.0","3.49","0.6","2.11","0.0","0.0","0.0","0.0","31.77","127.67","560.48","280.24","528.71","432.81","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","26.91","0.36","0.61","0.0","3.72","0.61","2.27","0.0","0.0","0.0","0.0","34.03","127.67","560.48","280.24","526.44","432.81","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","26.91","0.35","0.61","0.0","3.62","0.61","2.22","0.0","0.0","0.0","0.0","36.26","127.67","560.48","280.24","524.22","432.81","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","26.91","0.34","0.62","0.0","3.72","0.62","2.31","0.0","0.0","0.0","0.0","38.56","127.67","560.48","280.24","521.91","432.81","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","26.91","0.33","0.63","0.0","3.94","0.63","2.46","0.0","0.0","0.0","0.0","41.03","127.67","560.48","280.24","519.45","432.81","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","26.91","0.32","0.63","0.0","4.14","0.63","2.61","0.0","0.0","0.0","0.0","43.63","127.67","560.48","280.24","516.84","432.81","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","26.91","0.31","0.64","0.0","5.39","0.64","3.43","0.0","0.0","0.0","0.0","47.06","127.67","560.48","280.24","513.42","432.81","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","26.91","0.3","0.64","0.0","4.84","0.64","3.1","0.0","0.0","0.0","0.0","50.16","127.67","560.48","280.24","510.31","432.81","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","26.91","0.29","0.65","0.0","4.19","0.65","2.71","0.0","0.0","0.0","0.0","52.87","127.67","560.48","280.24","507.6","432.81","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","26.91","0.28","0.65","0.0","3.25","0.65","2.12","1.44","1.44","0.0","0.0","53.55","127.67","560.48","280.24","506.93","432.81","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","26.91","1.16","0.66","0.0","1.59","1.16","1.84","12.65","12.65","0.0","0.0","42.74","127.67","560.48","280.24","517.74","432.81","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","26.91","1.15","0.66","0.0","1.84","1.15","2.11","20.51","20.51","0.0","0.0","24.34","127.67","560.48","280.24","536.14","432.81","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","26.91","1.12","0.67","0.0","3.06","1.12","3.43","0.4","0.4","0.0","0.0","27.37","127.67","560.48","280.24","533.1","432.81","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","26.91","0.95","0.67","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","30.62","127.67","560.48","280.24","529.86","432.81","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","26.91","0.77","0.68","0.0","4.11","0.77","3.17","0.0","0.0","0.0","0.0","33.79","127.67","560.48","280.24","526.69","432.81","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","26.91","0.67","0.68","0.0","4.1","0.68","2.8","0.78","0.78","0.0","0.0","35.82","127.67","560.48","280.24","524.66","432.81","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","26.91","0.58","0.69","0.0","5.34","0.69","3.68","0.0","0.0","0.0","0.0","39.5","127.67","560.48","280.24","520.98","432.81","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","26.91","0.52","0.69","0.0","5.13","0.69","3.56","0.0","0.0","0.0","0.0","43.06","127.67","560.48","280.24","517.42","432.81","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","26.91","0.48","0.7","0.0","4.75","0.7","3.33","0.0","0.0","0.0","0.0","46.38","127.67","560.48","280.24","514.09","432.81","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","26.91","0.44","0.71","0.0","5.08","0.71","3.58","0.0","0.0","0.0","0.0","49.97","127.67","560.48","280.24","510.51","432.81","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","26.91","0.41","0.71","0.0","4.82","0.71","3.43","0.0","0.0","0.0","0.0","53.39","127.67","560.48","280.24","507.08","432.81","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","26.91","0.39","0.72","0.0","5.01","0.72","3.59","0.0","0.0","0.0","0.0","56.98","127.67","560.48","280.24","503.5","432.81","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","26.91","0.38","0.72","0.0","3.61","0.72","2.6","0.0","0.0","0.0","0.0","59.59","127.67","560.48","280.24","500.89","432.81","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","26.91","0.37","0.73","0.0","2.88","0.73","2.09","0.68","0.68","0.0","0.0","61.0","127.67","560.48","280.24","499.48","432.81","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","26.91","0.35","0.73","0.0","4.01","0.73","2.94","3.64","3.64","0.0","0.0","60.29","127.67","560.48","280.24","500.18","432.81","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","26.91","0.34","0.74","0.0","4.5","0.74","3.32","0.0","0.0","0.0","0.0","63.61","127.67","560.48","280.24","496.86","432.81","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","26.91","0.33","0.74","0.0","5.34","0.74","3.97","0.0","0.0","0.0","0.0","67.58","127.67","560.48","280.24","492.9","432.81","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","26.91","0.32","0.75","0.0","4.63","0.75","3.46","0.0","0.0","0.0","0.0","71.04","127.67","560.48","280.24","489.43","432.81","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","26.91","0.31","0.75","0.0","3.59","0.75","2.71","0.1","0.1","0.0","0.0","73.65","127.67","560.48","280.24","486.83","432.81","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","26.91","0.3","0.76","0.0","5.55","0.76","4.21","1.66","1.66","0.0","0.0","76.2","127.67","560.48","280.24","484.27","432.81","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","26.91","0.29","0.76","0.0","4.91","0.76","3.75","0.0","0.0","0.0","0.0","79.95","127.67","560.48","280.24","480.52","432.81","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","26.91","0.28","0.77","0.0","7.15","0.77","5.5","0.0","0.0","0.0","0.0","85.46","127.67","560.48","280.24","475.02","432.81","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","26.91","0.27","0.77","0.0","5.68","0.77","4.4","0.0","0.0","0.0","0.0","89.86","127.67","560.48","280.24","470.62","432.81","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","26.91","0.26","0.78","0.0","5.14","0.78","4.01","0.0","0.0","0.0","0.0","93.87","127.67","560.48","280.24","466.61","432.81","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","26.91","0.26","0.79","0.0","4.27","0.79","3.36","0.0","0.0","0.0","0.0","97.23","127.67","560.48","280.24","463.25","432.81","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","26.91","0.25","0.79","0.0","4.54","0.79","3.59","0.0","0.0","0.0","0.0","100.82","127.67","560.48","280.24","459.66","432.81","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","26.91","0.25","0.8","0.0","2.55","0.8","2.03","0.46","0.46","0.0","0.0","102.39","127.67","560.48","280.24","458.09","432.81","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","26.91","0.25","0.8","0.0","1.88","0.8","1.51","0.47","0.47","0.0","0.0","103.43","127.67","560.48","280.24","457.05","432.81","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","26.91","1.14","0.81","0.0","2.03","1.14","2.31","4.81","4.81","0.0","0.0","100.93","127.67","560.48","280.24","459.55","432.81","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","26.91","1.11","0.81","0.0","3.27","1.11","3.64","0.69","0.69","0.0","0.0","103.88","127.67","560.48","280.24","456.6","432.81","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","26.91","0.87","0.82","0.0","4.52","0.87","3.91","0.0","0.0","0.0","0.0","107.79","127.67","560.48","280.24","452.68","432.81","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","26.91","0.69","0.82","0.0","5.37","0.82","4.42","0.0","0.0","0.0","0.0","112.21","127.67","560.48","280.24","448.26","432.81","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","26.91","0.58","0.83","0.0","5.67","0.83","4.7","0.0","0.0","0.0","0.0","116.91","127.67","560.48","280.24","443.56","432.81","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","26.91","0.52","0.83","0.0","5.67","0.83","4.73","0.0","0.0","0.0","0.0","121.64","127.67","560.48","280.24","438.84","432.81","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","26.91","0.47","0.84","0.0","5.3","0.84","4.45","0.0","0.0","0.0","0.0","126.09","127.67","560.48","280.24","434.39","432.81","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","26.91","0.44","0.84","0.0","4.83","0.84","4.08","0.0","0.0","0.0","0.0","0.0","127.67","560.48","280.24","560.48","432.81","130.17","","","","","","",""
"2016.0","5.0","15.0","136.0","26.91","0.41","0.85","0.0","5.41","0.85","4.6","0.0","0.0","0.0","0.0","4.6","127.67","560.48","280.24","555.88","432.81","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","26.91","0.38","0.86","0.0","6.4","0.86","5.47","0.0","0.0","0.0","0.0","10.07","127.67","560.48","280.24","550.4","432.81","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","26.91","0.35","0.86","0.0","7.38","0.86","6.35","0.0","0.0","0.0","0.0","16.42","127.67","560.48","280.24","544.05","432.81","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","26.91","0.33","0.87","0.0","6.85","0.87","5.93","0.0","0.0","0.0","0.0","22.36","127.67","560.48","280.24","538.12","432.81","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","26.91","0.31","0.87","0.0","6.05","0.87","5.27","0.0","0.0","0.0","0.0","27.63","127.67","560.48","280.24","532.85","432.81","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","26.91","0.3","0.88","0.0","4.86","0.88","4.26","0.0","0.0","0.0","0.0","31.89","127.67","560.48","280.24","528.59","432.81","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","26.91","0.3","0.88","0.0","3.64","0.88","3.21","0.0","0.0","0.0","0.0","35.1","127.67","560.48","280.24","525.37","432.81","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","26.91","0.29","0.89","0.0","4.01","0.89","3.56","0.8","0.8","0.0","0.0","37.86","127.67","560.48","280.24","522.62","432.81","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","26.91","0.28","0.89","0.0","4.59","0.89","4.1","0.0","0.0","0.0","0.0","41.96","127.67","560.48","280.24","518.52","432.81","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","26.91","0.28","0.9","0.0","4.79","0.9","4.3","0.0","0.0","0.0","0.0","46.26","127.67","560.48","280.24","514.22","432.81","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","26.91","0.27","0.9","0.0","5.18","0.9","4.68","0.0","0.0","0.0","0.0","50.94","127.67","560.48","280.24","509.53","432.81","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","26.91","0.26","0.91","0.0","5.52","0.91","5.02","0.0","0.0","0.0","0.0","55.96","127.67","560.48","280.24","504.52","432.81","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","26.91","0.25","0.91","0.0","5.89","0.91","5.39","0.0","0.0","0.0","0.0","61.34","127.67","560.48","280.24","499.13","432.81","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","26.91","0.25","0.92","0.0","6.73","0.92","6.19","0.0","0.0","0.0","0.0","67.53","127.67","560.48","280.24","492.94","432.81","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","26.91","0.24","0.92","0.0","6.28","0.92","5.81","0.0","0.0","0.0","0.0","73.34","127.67","560.48","280.24","487.13","432.81","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","26.91","0.23","0.93","0.0","6.56","0.93","6.1","0.0","0.0","0.0","0.0","79.45","127.67","560.48","280.24","481.03","432.81","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","26.91","0.23","0.94","0.0","6.88","0.94","6.44","0.0","0.0","0.0","0.0","85.88","127.67","560.48","280.24","474.59","432.81","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","26.91","0.22","0.94","0.0","6.81","0.94","6.41","0.0","0.0","0.0","0.0","92.29","127.67","560.48","280.24","468.18","432.81","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","26.91","0.21","0.95","0.0","6.66","0.95","6.3","0.0","0.0","0.0","0.0","98.6","127.67","560.48","280.24","461.88","432.81","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","26.91","0.21","0.95","0.0","7.1","0.95","6.76","0.0","0.0","0.0","0.0","105.35","127.67","560.48","280.24","455.12","432.81","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","26.91","0.21","0.96","0.0","4.9","0.96","4.69","0.0","0.0","0.0","0.0","110.04","127.67","560.48","280.24","450.43","432.81","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","26.91","0.2","0.96","0.0","7.37","0.96","7.09","0.0","0.0","0.0","0.0","117.14","127.67","560.48","280.24","443.34","432.81","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","26.91","0.2","0.97","0.0","6.75","0.97","6.53","0.0","0.0","0.0","0.0","123.67","127.67","560.48","280.24","436.81","432.81","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","26.91","0.19","0.97","0.0","6.48","0.97","6.31","0.0","0.0","0.0","0.0","0.0","127.67","560.48","280.24","560.48","432.81","129.98","","","","","","",""
"2016.0","6.0","8.0","160.0","26.91","0.19","0.98","0.0","6.22","0.98","6.09","0.0","0.0","0.0","0.0","6.09","127.67","560.48","280.24","554.39","432.81","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","26.91","0.19","0.98","0.0","5.96","0.98","5.86","0.0","0.0","0.0","0.0","11.95","127.67","560.48","280.24","548.53","432.81","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","26.91","0.18","0.99","0.0","6.41","0.99","6.34","0.0","0.0","0.0","0.0","18.29","127.67","560.48","280.24","542.18","432.81","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","26.91","0.18","0.99","0.0","6.68","0.99","6.64","0.0","0.0","0.0","0.0","24.94","127.67","560.48","280.24","535.54","432.81","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","26.91","0.18","1.0","0.0","6.62","1.0","6.62","0.0","0.0","0.0","0.0","31.56","127.67","560.48","280.24","528.92","432.81","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","26.91","0.18","1.01","0.0","6.3","1.01","6.33","0.0","0.0","0.0","0.0","37.89","127.67","560.48","280.24","522.59","432.81","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","26.91","0.17","1.01","0.0","6.24","1.01","6.31","0.0","0.0","0.0","0.0","44.2","127.67","560.48","280.24","516.28","432.81","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","26.91","0.17","1.02","0.0","5.37","1.02","5.46","0.0","0.0","0.0","0.0","49.65","127.67","560.48","280.24","510.82","432.81","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","26.91","0.17","1.02","0.0","5.25","1.02","5.36","0.0","0.0","0.0","0.0","55.02","127.67","560.48","280.24","505.46","432.81","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","26.91","0.17","1.03","0.0","5.14","1.03","5.28","0.0","0.0","0.0","0.0","60.29","127.67","560.48","280.24","500.18","432.81","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","26.91","0.16","1.03","0.0","6.17","1.03","6.37","0.0","0.0","0.0","0.0","66.66","127.67","560.48","280.24","493.81","432.81","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","26.91","0.16","1.04","0.0","6.83","1.04","7.09","0.0","0.0","0.0","0.0","73.75","127.67","560.48","280.24","486.73","432.81","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","26.91","0.16","1.04","0.0","7.19","1.04","7.5","0.0","0.0","0.0","0.0","81.25","127.67","560.48","280.24","479.23","432.81","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","26.91","0.16","1.05","0.0","7.59","1.05","7.96","0.0","0.0","0.0","0.0","89.2","127.67","560.48","280.24","471.27","432.81","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","26.91","0.16","1.05","0.0","7.42","1.05","7.82","0.0","0.0","0.0","0.0","97.02","127.67","560.48","280.24","463.46","432.81","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","26.91","0.15","1.06","0.0","7.46","1.06","7.9","0.0","0.0","0.0","0.0","104.92","127.67","560.48","280.24","455.56","432.81","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","26.91","0.15","1.06","0.0","6.79","1.06","7.23","0.0","0.0","0.0","0.0","112.15","127.67","560.48","280.24","448.33","432.81","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","26.91","0.15","1.07","0.0","7.58","1.07","8.11","0.0","0.0","0.0","0.0","120.25","127.67","560.48","280.24","440.22","432.81","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","26.91","0.15","1.08","0.0","7.44","1.08","8.0","0.0","0.0","0.0","0.0","0.0","127.67","560.48","280.24","560.48","432.81","128.25","","","","","","",""
"2016.0","6.0","27.0","179.0","26.91","0.15","1.08","0.0","7.85","1.08","8.48","0.0","0.0","0.0","0.0","8.48","127.67","560.48","280.24","552.0","432.81","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","26.91","0.14","1.09","0.0","7.77","1.09","8.44","0.0","0.0","0.0","0.0","16.92","127.67","560.48","280.24","543.56","432.81","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","26.91","0.14","1.09","0.0","7.0","1.09","7.64","0.0","0.0","0.0","0.0","24.55","127.67","560.48","280.24","535.92","432.81","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","26.91","0.14","1.1","0.0","6.96","1.1","7.63","0.0","0.0","0.0","0.0","32.19","127.67","560.48","280.24","528.29","432.81","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","26.91","0.14","1.1","0.0","6.82","1.1","7.51","0.0","0.0","0.0","0.0","39.7","127.67","560.48","280.24","520.78","432.81","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","26.91","0.14","1.11","0.0","6.74","1.11","7.46","0.0","0.0","0.0","0.0","47.16","127.67","560.48","280.24","513.31","432.81","0.0","","","","","","",""
