" Daily soil water balance output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","2229.73","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","31.35","601.67","300.83","583.45","570.32","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","2229.73","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","31.35","601.67","300.83","582.2","570.32","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","2229.73","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","31.35","601.67","300.83","580.62","570.32","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","2229.73","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","31.35","601.67","300.83","579.39","570.32","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","2229.73","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","31.35","601.67","300.83","578.39","570.32","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","2229.73","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","31.35","601.67","300.83","577.58","570.32","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","2229.73","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","31.35","601.67","300.83","588.17","570.32","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","2229.73","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","31.35","601.67","300.83","590.54","570.32","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","2229.73","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","31.35","601.67","300.83","588.47","570.32","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","2229.73","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","31.35","601.67","300.83","586.19","570.32","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","2229.73","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","31.35","601.67","300.83","583.55","570.32","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","2229.73","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","31.35","601.67","300.83","581.49","570.32","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","2229.73","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","31.35","601.67","300.83","579.76","570.32","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","2229.73","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","31.35","601.67","300.83","578.09","570.32","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","2229.73","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","31.35","601.67","300.83","576.52","570.32","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","2229.73","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","31.35","601.67","300.83","575.12","570.32","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","2229.73","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","27.79","31.35","601.67","300.83","573.88","570.32","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","2229.73","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","29.28","31.35","601.67","300.83","572.39","570.32","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","2229.73","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","30.87","31.35","601.67","300.83","570.8","570.32","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","2229.73","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","32.19","31.35","601.67","300.83","569.48","570.32","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","2229.73","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","2229.73","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","31.8","31.35","601.67","300.83","569.87","570.32","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","2229.73","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","18.32","31.35","601.67","300.83","583.35","570.32","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","2229.73","1.13","0.0","0.0","2.16","1.13","2.45","33.53","20.77","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","2229.73","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","2229.73","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","2229.73","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","31.35","601.67","300.83","599.59","570.32","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","2229.73","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","31.35","601.67","300.83","598.33","570.32","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","2229.73","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","2229.73","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","2229.73","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","2229.73","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","2229.73","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","31.35","601.67","300.83","598.29","570.32","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","2229.73","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","31.35","601.67","300.83","595.41","570.32","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","2229.73","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","31.35","601.67","300.83","592.91","570.32","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","2229.73","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","31.35","601.67","300.83","590.69","570.32","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","2229.73","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","31.35","601.67","300.83","588.68","570.32","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","2229.73","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","31.35","601.67","300.83","587.3","570.32","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","2229.73","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","31.35","601.67","300.83","588.08","570.32","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","2229.73","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","31.35","601.67","300.83","587.23","570.32","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","2229.73","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","31.35","601.67","300.83","585.53","570.32","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","2229.73","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","31.35","601.67","300.83","583.98","570.32","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","2229.73","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","31.35","601.67","300.83","582.31","570.32","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","2229.73","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","31.35","601.67","300.83","580.43","570.32","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","2229.73","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","31.35","601.67","300.83","579.0","570.32","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","2229.73","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","31.35","601.67","300.83","577.63","570.32","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","2229.73","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","25.48","31.35","601.67","300.83","576.19","570.32","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","2229.73","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","26.8","31.35","601.67","300.83","574.87","570.32","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","2229.73","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","28.14","31.35","601.67","300.83","573.53","570.32","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","2229.73","0.34","0.0","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","29.41","31.35","601.67","300.83","572.26","570.32","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","2229.73","0.33","0.0","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","30.66","31.35","601.67","300.83","571.01","570.32","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","2229.73","0.32","0.0","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","31.98","31.35","601.67","300.83","569.69","570.32","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","2229.73","0.31","0.0","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","2229.73","0.3","0.0","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","33.04","31.35","601.67","300.83","568.63","570.32","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","2229.73","0.29","0.0","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","2229.73","0.29","0.0","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","32.59","31.35","601.67","300.83","569.08","570.32","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","2229.73","0.28","0.0","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","2229.73","1.16","0.0","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","29.39","31.35","601.67","300.83","572.28","570.32","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","2229.73","1.13","0.0","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","17.72","31.35","601.67","300.83","583.95","570.32","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","2229.73","1.11","0.0","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","20.47","31.35","601.67","300.83","581.2","570.32","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","2229.73","0.91","0.0","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","23.69","31.35","601.67","300.83","577.98","570.32","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","2229.73","0.75","0.0","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","26.86","31.35","601.67","300.83","574.81","570.32","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","2229.73","0.65","0.0","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","28.49","31.35","601.67","300.83","573.17","570.32","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","2229.73","0.56","0.0","0.0","5.43","0.56","3.06","0.0","0.0","0.0","0.0","31.55","31.35","601.67","300.83","570.12","570.32","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","2229.73","0.5","0.0","0.0","5.34","0.5","2.7","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","2229.73","0.47","0.0","0.0","4.76","0.47","2.22","0.0","0.0","0.0","0.0","33.57","31.35","601.67","300.83","568.1","570.32","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","2229.73","0.43","0.0","0.0","5.12","0.43","2.21","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","2229.73","0.41","0.0","0.0","4.98","0.41","2.02","0.0","0.0","0.0","0.0","33.37","31.35","601.67","300.83","568.3","570.32","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","2229.73","0.38","0.0","0.0","5.18","0.38","1.98","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","2229.73","0.37","0.0","0.0","3.85","0.37","1.42","0.0","0.0","0.0","0.0","32.77","31.35","601.67","300.83","568.9","570.32","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","2229.73","0.36","0.0","0.0","2.79","0.36","1.0","0.11","0.11","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","2229.73","1.06","0.0","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","30.45","31.35","601.67","300.83","571.22","570.32","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","2229.73","0.91","0.0","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","34.59","31.35","601.67","300.83","567.08","570.32","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","2229.73","0.71","0.0","0.0","5.38","0.71","3.81","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","2229.73","0.61","0.0","0.0","4.67","0.61","2.86","0.0","0.0","0.0","0.0","34.21","31.35","601.67","300.83","567.46","570.32","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","2229.73","0.56","0.0","0.0","3.74","0.56","2.1","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","2229.73","0.99","0.0","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","32.24","31.35","601.67","300.83","569.43","570.32","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","2229.73","0.79","0.0","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","2229.73","0.6","0.0","0.0","7.38","0.6","4.44","0.0","0.0","0.0","0.0","35.79","31.35","601.67","300.83","565.88","570.32","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","2229.73","0.52","0.2","0.0","5.86","0.52","3.07","0.0","0.0","0.0","0.0","38.86","107.06","601.67","300.83","562.81","494.61","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","2229.73","0.48","0.2","0.0","5.39","0.48","2.56","0.0","0.0","0.0","0.0","41.42","107.06","601.67","300.83","560.25","494.61","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","2229.73","0.44","0.2","0.0","4.49","0.44","2.0","0.0","0.0","0.0","0.0","43.42","107.06","601.67","300.83","558.25","494.61","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","2229.73","0.42","0.2","0.0","4.86","0.42","2.03","0.0","0.0","0.0","0.0","45.45","107.06","601.67","300.83","556.22","494.61","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","2229.73","0.41","0.2","0.0","2.44","0.41","0.99","0.08","0.08","0.0","0.0","46.36","107.06","601.67","300.83","555.31","494.61","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","2229.73","0.4","0.2","0.0","2.03","0.4","0.81","0.13","0.13","0.0","0.0","47.04","107.06","601.67","300.83","554.63","494.61","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","2229.73","0.39","0.2","0.0","2.18","0.39","0.86","3.39","3.39","0.0","0.0","44.51","107.06","601.67","300.83","557.16","494.61","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","2229.73","0.38","0.2","0.0","3.23","0.38","1.23","1.22","1.22","0.0","0.0","44.52","107.06","601.67","300.83","557.15","494.61","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","2229.73","0.36","0.2","0.0","4.65","0.36","1.69","0.0","0.0","0.0","0.0","46.21","107.06","601.67","300.83","555.46","494.61","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","2229.73","0.34","0.2","0.0","5.68","0.34","1.96","0.0","0.0","0.0","0.0","48.17","107.06","601.67","300.83","553.5","494.61","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","2229.73","0.33","0.2","0.0","6.03","0.33","1.98","0.0","0.0","0.0","0.0","50.14","107.06","601.67","300.83","551.53","494.61","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","2229.73","0.31","0.2","0.0","6.07","0.31","1.9","0.0","0.0","0.0","0.0","52.04","107.06","601.67","300.83","549.63","494.61","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","2229.73","0.3","0.2","0.0","5.63","0.3","1.69","0.0","0.0","0.0","0.0","53.74","107.06","601.67","300.83","547.93","494.61","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","2229.73","0.29","0.2","0.0","5.14","0.29","1.5","0.0","0.0","0.0","0.0","55.23","107.06","601.67","300.83","546.44","494.61","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","2229.73","0.28","0.24","0.0","5.57","0.28","1.57","0.0","0.0","0.0","0.0","56.8","107.06","601.67","300.83","544.87","494.61","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","2229.73","0.27","0.28","0.0","6.62","0.28","1.86","0.0","0.0","0.0","0.0","58.66","107.06","601.67","300.83","543.01","494.61","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","2229.73","0.26","0.32","0.0","7.71","0.32","2.48","0.0","0.0","0.0","0.0","61.14","107.06","601.67","300.83","540.53","494.61","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","2229.73","0.25","0.36","0.0","7.08","0.36","2.56","0.0","0.0","0.0","0.0","63.7","107.06","601.67","300.83","537.97","494.61","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","2229.73","0.24","0.4","0.0","6.3","0.4","2.54","0.0","0.0","0.0","0.0","66.24","107.06","601.67","300.83","535.43","494.61","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","2229.73","0.24","0.44","0.0","4.85","0.44","2.15","0.0","0.0","0.0","0.0","68.38","107.06","601.67","300.83","533.28","494.61","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","2229.73","0.24","0.48","0.0","3.73","0.48","1.8","0.32","0.32","0.0","0.0","69.87","107.06","601.67","300.83","531.8","494.61","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","2229.73","0.23","0.52","0.0","4.28","0.52","2.24","0.26","0.26","0.0","0.0","71.85","107.06","601.67","300.83","529.82","494.61","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","2229.73","0.23","0.56","0.0","4.84","0.56","2.73","0.0","0.0","0.0","0.0","74.58","107.06","601.67","300.83","527.09","494.61","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","2229.73","0.22","0.6","0.0","4.85","0.6","2.93","0.0","0.0","0.0","0.0","77.51","107.06","601.67","300.83","524.16","494.61","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","2229.73","0.22","0.65","0.0","5.31","0.65","3.43","0.0","0.0","0.0","0.0","80.94","107.06","601.67","300.83","520.73","494.61","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","2229.73","0.21","0.69","0.0","5.74","0.69","3.94","0.0","0.0","0.0","0.0","84.88","107.06","601.67","300.83","516.79","494.61","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","2229.73","0.21","0.73","0.0","6.05","0.73","4.39","0.0","0.0","0.0","0.0","89.27","107.06","601.67","300.83","512.4","494.61","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","2229.73","0.21","0.77","0.0","6.96","0.77","5.34","0.0","0.0","0.0","0.0","94.61","107.06","601.67","300.83","507.06","494.61","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","2229.73","0.2","0.81","0.0","6.57","0.81","5.3","0.0","0.0","0.0","0.0","99.91","107.06","601.67","300.83","501.76","494.61","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","2229.73","0.2","0.85","0.0","6.83","0.85","5.79","0.0","0.0","0.0","0.0","105.7","107.06","601.67","300.83","495.97","494.61","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","2229.73","0.19","0.89","0.0","7.15","0.89","6.35","0.0","0.0","0.0","0.0","0.0","107.06","601.67","300.83","601.67","494.61","112.05","","","","","","",""
"2016.0","6.0","1.0","153.0","2229.73","0.19","0.93","0.0","7.23","0.93","6.71","0.0","0.0","0.0","0.0","6.71","107.06","601.67","300.83","594.96","494.61","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","2229.73","0.19","0.97","0.0","6.91","0.97","6.7","0.0","0.0","0.0","0.0","13.41","107.06","601.67","300.83","588.26","494.61","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","2229.73","0.18","1.01","0.0","7.35","1.01","7.42","0.0","0.0","0.0","0.0","20.83","107.06","601.67","300.83","580.84","494.61","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","2229.73","0.18","1.05","0.0","4.89","1.05","5.13","0.0","0.0","0.0","0.0","25.96","107.06","601.67","300.83","575.71","494.61","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","2229.73","0.18","1.05","0.0","7.68","1.05","8.06","0.0","0.0","0.0","0.0","34.03","107.06","601.67","300.83","567.64","494.61","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","2229.73","0.17","1.05","0.0","7.2","1.05","7.56","0.0","0.0","0.0","0.0","41.59","107.06","601.67","300.83","560.08","494.61","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","2229.73","0.17","1.05","0.0","6.83","1.05","7.17","0.0","0.0","0.0","0.0","48.76","107.06","601.67","300.83","552.91","494.61","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","2229.73","0.17","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","55.64","107.06","601.67","300.83","546.03","494.61","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","2229.73","0.17","1.05","0.0","6.26","1.05","6.57","0.0","0.0","0.0","0.0","62.21","107.06","601.67","300.83","539.46","494.61","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","2229.73","0.16","1.05","0.0","6.64","1.05","6.97","0.0","0.0","0.0","0.0","69.18","107.06","601.67","300.83","532.49","494.61","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","2229.73","0.16","1.05","0.0","6.87","1.05","7.21","0.0","0.0","0.0","0.0","76.4","107.06","601.67","300.83","525.27","494.61","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","2229.73","0.16","1.05","0.0","6.96","1.05","7.31","0.0","0.0","0.0","0.0","83.7","107.06","601.67","300.83","517.97","494.61","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","2229.73","0.16","1.05","0.0","6.65","1.05","6.98","0.0","0.0","0.0","0.0","90.69","107.06","601.67","300.83","510.98","494.61","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","2229.73","0.16","1.05","0.0","6.35","1.05","6.67","0.0","0.0","0.0","0.0","97.35","107.06","601.67","300.83","504.32","494.61","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","2229.73","0.15","1.05","0.0","5.38","1.05","5.65","0.0","0.0","0.0","0.0","103.0","107.06","601.67","300.83","498.67","494.61","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","2229.73","0.15","1.05","0.0","5.31","1.05","5.58","0.0","0.0","0.0","0.0","0.0","107.06","601.67","300.83","601.67","494.61","108.58","","","","","","",""
"2016.0","6.0","17.0","169.0","2229.73","0.15","1.05","0.0","5.14","1.05","5.4","0.0","0.0","0.0","0.0","5.4","107.06","601.67","300.83","596.27","494.61","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","2229.73","0.15","1.05","0.0","6.18","1.05","6.49","0.0","0.0","0.0","0.0","11.89","107.06","601.67","300.83","589.78","494.61","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","2229.73","0.15","1.05","0.0","6.9","1.05","7.25","0.0","0.0","0.0","0.0","19.13","107.06","601.67","300.83","582.54","494.61","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","2229.73","0.15","1.05","0.0","7.46","1.05","7.83","0.0","0.0","0.0","0.0","26.96","107.06","601.67","300.83","574.71","494.61","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","2229.73","0.14","1.05","0.0","7.77","1.05","8.16","0.0","0.0","0.0","0.0","35.12","150.42","601.67","300.83","566.55","451.25","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","2229.73","0.14","1.05","0.0","7.82","1.05","8.21","0.0","0.0","0.0","0.0","43.33","150.42","601.67","300.83","558.34","451.25","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","2229.73","0.14","1.05","0.0","7.73","1.05","8.12","0.0","0.0","0.0","0.0","51.45","150.42","601.67","300.83","550.22","451.25","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","2229.73","0.14","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","58.81","150.42","601.67","300.83","542.86","451.25","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","2229.73","0.14","1.05","0.0","7.8","1.05","8.19","0.0","0.0","0.0","0.0","67.0","150.42","601.67","300.83","534.67","451.25","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","2229.73","0.14","1.05","0.0","7.67","1.05","8.05","0.0","0.0","0.0","0.0","75.05","150.42","601.67","300.83","526.62","451.25","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","2229.73","0.13","1.05","0.0","8.11","1.05","8.52","0.0","0.0","0.0","0.0","83.57","150.42","601.67","300.83","518.1","451.25","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","2229.73","0.13","1.05","0.0","8.1","1.05","8.51","0.0","0.0","0.0","0.0","92.07","150.42","601.67","300.83","509.59","451.25","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","2229.73","0.13","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","99.9","150.42","601.67","300.83","501.77","451.25","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","2229.73","0.13","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","107.66","150.42","601.67","300.83","494.01","451.25","0.0","","","","","","",""
