" Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","7218.93","0.56","0.9","0.0","1.78","0.9","1.6","0.0","0.0","0.0","0.0","23.18","123.17","536.45","268.22","513.26","413.28","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","7218.93","0.54","0.9","0.0","2.3","0.9","2.07","0.0","0.0","0.0","0.0","25.25","123.17","536.45","268.22","511.19","413.28","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","7218.93","0.51","0.9","0.0","3.12","0.9","2.81","0.0","0.0","0.0","0.0","28.06","123.17","536.45","268.22","508.39","413.28","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","7218.93","0.49","0.9","0.0","2.59","0.9","2.33","0.0","0.0","0.0","0.0","30.39","123.17","536.45","268.22","506.06","413.28","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","7218.93","0.47","0.9","0.0","2.08","0.9","1.87","0.0","0.0","0.0","0.0","32.26","123.17","536.45","268.22","504.18","413.28","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","7218.93","0.46","0.9","0.0","2.57","0.9","2.31","0.01","0.01","0.0","0.0","34.57","123.17","536.45","268.22","501.88","413.28","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","7218.93","1.15","0.9","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","26.05","123.17","536.45","268.22","510.4","413.28","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","7218.93","1.16","0.9","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","24.33","123.17","536.45","268.22","512.12","413.28","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","7218.93","1.15","0.9","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","26.34","123.17","536.45","268.22","510.11","413.28","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","7218.93","1.15","0.9","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","28.58","123.17","536.45","268.22","507.87","413.28","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","7218.93","0.98","0.9","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","31.22","123.17","536.45","268.22","505.22","413.28","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","7218.93","0.86","0.9","0.0","2.39","0.9","2.15","0.0","0.0","0.0","0.0","33.38","123.17","536.45","268.22","503.07","413.28","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","7218.93","0.78","0.9","0.0","2.21","0.9","1.99","0.0","0.0","0.0","0.0","35.36","123.17","536.45","268.22","501.08","413.28","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","7218.93","0.72","0.9","0.0","2.32","0.9","2.09","0.0","0.0","0.0","0.0","37.45","123.17","536.45","268.22","499.0","413.28","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","7218.93","0.67","0.9","0.0","2.34","0.9","2.11","0.0","0.0","0.0","0.0","39.56","123.17","536.45","268.22","496.89","413.28","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","7218.93","0.63","0.9","0.0","2.18","0.9","1.96","0.0","0.0","0.0","0.0","41.52","123.17","536.45","268.22","494.93","413.28","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","7218.93","0.6","0.9","0.0","2.07","0.9","1.86","0.0","0.0","0.0","0.0","43.38","123.17","536.45","268.22","493.06","413.28","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","7218.93","0.56","0.9","0.0","2.62","0.9","2.36","0.0","0.0","0.0","0.0","45.74","123.17","536.45","268.22","490.71","413.28","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","7218.93","0.53","0.9","0.0","2.94","0.9","2.65","0.0","0.0","0.0","0.0","48.39","123.17","536.45","268.22","488.06","413.28","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","7218.93","0.51","0.9","0.0","2.57","0.9","2.31","0.0","0.0","0.0","0.0","50.7","123.17","536.45","268.22","485.75","413.28","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","7218.93","0.49","0.9","0.0","1.76","0.9","1.58","0.0","0.0","0.0","0.0","52.28","123.17","536.45","268.22","484.16","413.28","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","7218.93","0.48","0.9","0.0","1.47","0.9","1.32","0.08","0.08","0.0","0.0","53.53","123.17","536.45","268.22","482.92","413.28","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","7218.93","1.17","0.9","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","41.55","123.17","536.45","268.22","494.9","413.28","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","7218.93","1.13","0.9","0.0","2.19","1.13","2.48","48.26","44.03","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","7218.93","1.16","0.9","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","7218.93","1.15","0.9","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","123.17","536.45","268.22","535.93","413.28","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","7218.93","1.15","0.9","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","123.17","536.45","268.22","533.86","413.28","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","7218.93","1.09","0.9","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","123.17","536.45","268.22","532.4","413.28","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","7218.93","1.16","0.9","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","7218.93","1.16","0.9","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","7218.93","1.17","0.9","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","7218.93","1.12","0.9","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","7218.93","1.11","0.9","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","123.17","536.45","268.22","533.09","413.28","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","7218.93","0.93","0.9","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","123.17","536.45","268.22","530.22","413.28","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","7218.93","0.79","0.9","0.0","3.14","0.9","2.83","0.0","0.0","0.0","0.0","9.05","123.17","536.45","268.22","527.39","413.28","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","7218.93","0.71","0.9","0.0","3.12","0.9","2.81","0.0","0.0","0.0","0.0","11.86","123.17","536.45","268.22","524.59","413.28","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","7218.93","0.64","0.9","0.0","3.11","0.9","2.8","0.0","0.0","0.0","0.0","14.66","123.17","536.45","268.22","521.79","413.28","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","7218.93","0.61","0.9","0.0","2.14","0.9","1.93","0.0","0.0","0.0","0.0","16.59","123.17","536.45","268.22","519.86","413.28","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","7218.93","0.58","0.9","0.0","2.2","0.9","1.98","1.3","1.3","0.0","0.0","17.27","123.17","536.45","268.22","519.18","413.28","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","7218.93","0.54","0.9","0.0","2.94","0.9","2.65","0.94","0.94","0.0","0.0","18.97","123.17","536.45","268.22","517.47","413.28","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","7218.93","0.51","0.9","0.0","3.34","0.9","3.01","0.0","0.0","0.0","0.0","21.98","123.17","536.45","268.22","514.47","413.28","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","7218.93","0.48","0.9","0.0","3.19","0.9","2.87","0.0","0.0","0.0","0.0","24.85","123.17","536.45","268.22","511.6","413.28","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","7218.93","0.46","0.9","0.0","3.68","0.9","3.31","0.0","0.0","0.0","0.0","28.16","123.17","536.45","268.22","508.29","413.28","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","7218.93","0.43","0.9","0.0","4.39","0.9","3.95","0.0","0.0","0.0","0.0","32.11","123.17","536.45","268.22","504.33","413.28","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","7218.93","0.41","0.9","0.0","3.47","0.9","3.12","0.0","0.0","0.0","0.0","35.24","123.17","536.45","268.22","501.21","413.28","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","7218.93","0.4","0.9","0.0","3.49","0.9","3.14","0.0","0.0","0.0","0.0","38.38","123.17","536.45","268.22","498.07","413.28","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","7218.93","0.38","0.9","0.0","3.77","0.9","3.39","0.0","0.0","0.0","0.0","41.77","123.17","536.45","268.22","494.68","413.28","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","7218.93","0.37","0.9","0.0","3.58","0.9","3.22","0.0","0.0","0.0","0.0","44.99","123.17","536.45","268.22","491.46","413.28","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","7218.93","0.36","0.9","0.0","3.76","0.9","3.38","0.0","0.0","0.0","0.0","48.38","123.17","536.45","268.22","488.07","413.28","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","7218.93","0.35","0.9","0.0","3.65","0.9","3.29","0.0","0.0","0.0","0.0","51.66","123.17","536.45","268.22","484.79","413.28","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","7218.93","0.34","0.9","0.0","3.74","0.9","3.37","0.0","0.0","0.0","0.0","55.03","123.17","536.45","268.22","481.42","413.28","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","7218.93","0.33","0.9","0.0","4.02","0.9","3.62","0.0","0.0","0.0","0.0","58.65","123.17","536.45","268.22","477.8","413.28","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","7218.93","0.32","0.9","0.0","4.17","0.9","3.75","0.0","0.0","0.0","0.0","62.4","123.17","536.45","268.22","474.05","413.28","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","7218.93","0.3","0.9","0.0","5.61","0.9","5.05","0.0","0.0","0.0","0.0","67.45","123.17","536.45","268.22","469.0","413.28","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","7218.93","0.29","0.9","0.0","4.91","0.9","4.42","0.0","0.0","0.0","0.0","71.87","123.17","536.45","268.22","464.58","413.28","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","7218.93","0.29","0.9","0.0","4.31","0.9","3.88","0.0","0.0","0.0","0.0","75.75","123.17","536.45","268.22","460.7","413.28","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","7218.93","0.28","0.9","0.0","3.47","0.9","3.12","0.01","0.01","0.0","0.0","78.86","123.17","536.45","268.22","457.59","413.28","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","7218.93","0.28","0.9","0.0","1.5","0.9","1.35","2.32","2.32","0.0","0.0","77.89","123.17","536.45","268.22","458.56","413.28","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","7218.93","1.13","0.9","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","71.44","123.17","536.45","268.22","465.01","413.28","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","7218.93","1.11","0.9","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","74.6","123.17","536.45","268.22","461.85","413.28","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","7218.93","0.91","0.9","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","77.77","123.17","536.45","268.22","458.68","413.28","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","7218.93","0.75","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","81.59","123.17","536.45","268.22","454.86","413.28","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","7218.93","0.65","0.9","0.0","4.05","0.9","3.65","0.48","0.48","0.0","0.0","84.76","123.17","536.45","268.22","451.69","413.28","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","7218.93","0.57","0.9","0.0","5.4","0.9","4.86","0.0","0.0","0.0","0.0","89.62","123.17","536.45","268.22","446.83","413.28","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","7218.93","0.51","0.9","0.0","5.38","0.9","4.84","0.0","0.0","0.0","0.0","94.46","123.17","536.45","268.22","441.99","413.28","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","7218.93","0.47","0.9","0.0","4.72","0.9","4.25","0.0","0.0","0.0","0.0","98.71","123.17","536.45","268.22","437.74","413.28","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","7218.93","0.43","0.9","0.0","5.09","0.9","4.58","0.0","0.0","0.0","0.0","103.29","123.17","536.45","268.22","433.16","413.28","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","7218.93","0.41","0.9","0.0","4.97","0.9","4.47","0.0","0.0","0.0","0.0","107.76","123.17","536.45","268.22","428.69","413.28","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","7218.93","0.38","0.9","0.0","5.11","0.9","4.6","0.0","0.0","0.0","0.0","112.36","123.17","536.45","268.22","424.09","413.28","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","7218.93","0.37","0.9","0.0","3.83","0.9","3.45","0.0","0.0","0.0","0.0","115.81","123.17","536.45","268.22","420.64","413.28","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","7218.93","0.36","0.9","0.0","2.88","0.9","2.59","0.12","0.12","0.0","0.0","118.28","123.17","536.45","268.22","418.17","413.28","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","7218.93","0.35","0.9","0.0","3.96","0.9","3.56","2.58","2.58","0.0","0.0","119.26","123.17","536.45","268.22","417.18","413.28","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","7218.93","0.34","0.9","0.0","4.41","0.9","3.97","0.0","0.0","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","123.23","","","","","","",""
"2016.0","4.0","25.0","116.0","7218.93","0.32","0.9","0.0","5.39","0.9","4.85","0.0","0.0","0.0","0.0","4.85","123.17","536.45","268.22","531.6","413.28","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","7218.93","0.31","0.9","0.0","4.64","0.9","4.18","0.0","0.0","0.0","0.0","9.03","123.17","536.45","268.22","527.42","413.28","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","7218.93","0.3","0.9","0.0","3.84","0.9","3.46","0.0","0.0","0.0","0.0","12.48","123.17","536.45","268.22","523.97","413.28","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","7218.93","0.29","0.9","0.0","5.73","0.9","5.16","3.95","3.95","0.0","0.0","13.69","123.17","536.45","268.22","522.76","413.28","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","7218.93","0.28","0.9","0.0","5.1","0.9","4.59","0.0","0.0","0.0","0.0","18.28","123.17","536.45","268.22","518.17","413.28","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","7218.93","0.27","0.9","0.0","7.38","0.9","6.64","0.0","0.0","0.0","0.0","24.92","123.17","536.45","268.22","511.53","413.28","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","7218.93","0.26","0.9","0.0","5.87","0.9","5.28","0.0","0.0","0.0","0.0","30.21","123.17","536.45","268.22","506.24","413.28","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","7218.93","0.26","0.9","0.0","5.3","0.9","4.77","0.0","0.0","0.0","0.0","34.98","123.17","536.45","268.22","501.47","413.28","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","7218.93","0.25","0.9","0.0","4.33","0.9","3.9","0.0","0.0","0.0","0.0","38.87","123.17","536.45","268.22","497.58","413.28","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","7218.93","0.25","0.9","0.0","4.83","0.9","4.35","0.0","0.0","0.0","0.0","43.22","123.17","536.45","268.22","493.23","413.28","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","7218.93","0.24","0.9","0.0","2.3","0.9","2.07","0.02","0.02","0.0","0.0","45.27","123.17","536.45","268.22","491.18","413.28","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","7218.93","0.24","0.9","0.0","2.1","0.9","1.89","0.13","0.13","0.0","0.0","47.03","123.17","536.45","268.22","489.42","413.28","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","7218.93","0.24","0.9","0.0","2.06","0.9","1.85","1.36","1.36","0.0","0.0","47.52","123.17","536.45","268.22","488.93","413.28","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","7218.93","0.24","0.9","0.0","3.2","0.9","2.88","2.24","2.24","0.0","0.0","48.16","123.17","536.45","268.22","488.29","413.28","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","7218.93","0.23","0.9","0.0","4.63","0.9","4.17","0.0","0.0","0.0","0.0","52.33","123.17","536.45","268.22","484.12","413.28","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","7218.93","0.23","0.9","0.0","5.64","0.9","5.08","0.0","0.0","0.0","0.0","57.41","123.17","536.45","268.22","479.04","413.28","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","7218.93","0.22","0.9","0.0","5.95","0.9","5.36","0.0","0.0","0.0","0.0","62.76","123.17","536.45","268.22","473.69","413.28","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","7218.93","0.22","0.9","0.0","5.92","0.9","5.33","0.0","0.0","0.0","0.0","68.09","123.17","536.45","268.22","468.36","413.28","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","7218.93","0.21","0.9","0.0","5.56","0.9","5.0","0.0","0.0","0.0","0.0","73.09","123.17","536.45","268.22","463.36","413.28","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","7218.93","0.21","0.9","0.0","5.05","0.9","4.55","0.0","0.0","0.0","0.0","77.64","123.17","536.45","268.22","458.81","413.28","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","7218.93","0.21","0.9","0.0","5.51","0.9","4.96","0.0","0.0","0.0","0.0","82.6","123.17","536.45","268.22","453.85","413.28","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","7218.93","0.2","0.9","0.0","6.55","0.9","5.9","0.0","0.0","0.0","0.0","88.49","123.17","536.45","268.22","447.96","413.28","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","7218.93","0.2","0.9","0.0","7.65","0.9","6.89","0.0","0.0","0.0","0.0","95.38","123.17","536.45","268.22","441.07","413.28","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","7218.93","0.19","0.9","0.0","7.01","0.9","6.31","0.0","0.0","0.0","0.0","101.69","123.17","536.45","268.22","434.76","413.28","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","7218.93","0.19","0.9","0.0","6.2","0.9","5.58","0.0","0.0","0.0","0.0","107.27","123.17","536.45","268.22","429.18","413.28","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","7218.93","0.19","0.9","0.0","4.88","0.9","4.39","0.0","0.0","0.0","0.0","111.66","123.17","536.45","268.22","424.79","413.28","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","7218.93","0.19","0.9","0.0","4.07","0.9","3.66","0.51","0.51","0.0","0.0","114.81","123.17","536.45","268.22","421.64","413.28","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","7218.93","0.18","0.9","0.0","4.31","0.9","3.88","0.2","0.2","0.0","0.0","118.49","123.17","536.45","268.22","417.96","413.28","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","7218.93","0.18","0.9","0.0","4.77","0.9","4.29","0.0","0.0","0.0","0.0","122.78","123.17","536.45","268.22","413.67","413.28","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","7218.93","0.18","0.9","0.0","4.82","0.9","4.34","0.0","0.0","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","127.12","","","","","","",""
"2016.0","5.0","25.0","146.0","7218.93","0.18","0.9","0.0","5.25","0.9","4.73","0.0","0.0","0.0","0.0","4.73","123.17","536.45","268.22","531.72","413.28","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","7218.93","0.18","0.9","0.0","5.68","0.9","5.11","0.0","0.0","0.0","0.0","9.84","123.17","536.45","268.22","526.61","413.28","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","7218.93","0.17","0.9","0.0","5.98","0.9","5.38","0.0","0.0","0.0","0.0","15.22","123.17","536.45","268.22","521.23","413.28","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","7218.93","0.17","0.9","0.0","6.9","0.9","6.21","0.0","0.0","0.0","0.0","21.43","123.17","536.45","268.22","515.02","413.28","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","7218.93","0.17","0.9","0.0","6.43","0.9","5.79","0.0","0.0","0.0","0.0","27.22","123.17","536.45","268.22","509.23","413.28","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","7218.93","0.17","0.9","0.0","6.72","0.9","6.05","0.0","0.0","0.0","0.0","33.26","123.17","536.45","268.22","503.18","413.28","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","7218.93","0.16","0.9","0.0","7.04","0.9","6.34","0.0","0.0","0.0","0.0","39.6","123.17","536.45","268.22","496.85","413.28","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","7218.93","0.16","0.9","0.0","7.1","0.9","6.39","0.0","0.0","0.0","0.0","45.99","123.17","536.45","268.22","490.46","413.28","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","7218.93","0.16","0.9","0.0","6.77","0.9","6.09","0.0","0.0","0.0","0.0","52.08","123.17","536.45","268.22","484.37","413.28","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","7218.93","0.16","0.9","0.0","7.21","0.9","6.49","0.0","0.0","0.0","0.0","58.57","123.17","536.45","268.22","477.88","413.28","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","7218.93","0.16","0.9","0.0","4.79","0.9","4.31","0.0","0.0","0.0","0.0","62.88","123.17","536.45","268.22","473.57","413.28","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","7218.93","0.15","0.9","0.0","7.5","0.9","6.75","0.0","0.0","0.0","0.0","69.63","123.17","536.45","268.22","466.82","413.28","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","7218.93","0.15","0.9","0.0","7.01","0.9","6.31","0.0","0.0","0.0","0.0","75.94","123.17","536.45","268.22","460.51","413.28","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","7218.93","0.15","0.9","0.0","6.63","0.9","5.97","0.0","0.0","0.0","0.0","81.91","123.17","536.45","268.22","454.54","413.28","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","7218.93","0.15","0.9","0.0","6.37","0.9","5.73","0.0","0.0","0.0","0.0","87.64","123.17","536.45","268.22","448.81","413.28","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","7218.93","0.15","0.9","0.0","6.1","0.9","5.49","0.0","0.0","0.0","0.0","93.13","123.17","536.45","268.22","443.32","413.28","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","7218.93","0.15","0.9","0.0","6.5","0.9","5.85","0.0","0.0","0.0","0.0","98.98","123.17","536.45","268.22","437.47","413.28","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","7218.93","0.14","0.9","0.0","6.86","0.9","6.17","0.0","0.0","0.0","0.0","105.16","123.17","536.45","268.22","431.29","413.28","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","7218.93","0.14","0.9","0.0","6.89","0.9","6.2","0.0","0.0","0.0","0.0","111.36","123.17","536.45","268.22","425.09","413.28","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","7218.93","0.14","0.9","0.0","6.55","0.9","5.9","0.0","0.0","0.0","0.0","117.25","123.17","536.45","268.22","419.2","413.28","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","7218.93","0.14","0.9","0.0","6.15","0.9","5.54","0.0","0.0","0.0","0.0","122.79","123.17","536.45","268.22","413.66","413.28","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","7218.93","0.14","0.9","0.0","5.14","0.9","4.63","0.0","0.0","0.0","0.0","0.0","123.17","536.45","268.22","536.45","413.28","127.41","","","","","","",""
"2016.0","6.0","16.0","168.0","7218.93","0.14","0.9","0.0","5.15","0.9","4.64","0.0","0.0","0.0","0.0","4.64","123.17","536.45","268.22","531.81","413.28","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","7218.93","0.14","0.9","0.0","4.72","0.9","4.25","0.0","0.0","0.0","0.0","8.88","123.17","536.45","268.22","527.57","413.28","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","7218.93","0.14","0.9","0.0","6.09","0.9","5.48","0.0","0.0","0.0","0.0","14.36","123.17","536.45","268.22","522.08","413.28","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","7218.93","0.13","0.9","0.0","6.76","0.9","6.08","0.0","0.0","0.0","0.0","20.45","123.17","536.45","268.22","516.0","413.28","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","7218.93","0.13","0.9","0.0","7.29","0.9","6.56","0.0","0.0","0.0","0.0","27.01","123.17","536.45","268.22","509.44","413.28","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","7218.93","0.13","0.9","0.0","7.6","0.9","6.84","0.0","0.0","0.0","0.0","33.85","123.17","536.45","268.22","502.6","413.28","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","7218.93","0.13","0.9","0.0","7.59","0.9","6.83","0.0","0.0","0.0","0.0","40.68","123.17","536.45","268.22","495.77","413.28","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","7218.93","0.13","0.9","0.0","7.55","0.9","6.8","0.0","0.0","0.0","0.0","47.48","123.17","536.45","268.22","488.97","413.28","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","7218.93","0.13","0.9","0.0","6.9","0.9","6.21","0.0","0.0","0.0","0.0","53.69","123.17","536.45","268.22","482.76","413.28","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","7218.93","0.13","0.9","0.0","7.71","0.9","6.94","0.0","0.0","0.0","0.0","60.62","123.17","536.45","268.22","475.82","413.28","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","7218.93","0.13","0.9","0.0","7.55","0.9","6.8","0.0","0.0","0.0","0.0","67.42","123.17","536.45","268.22","469.03","413.28","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","7218.93","0.12","0.9","0.0","7.98","0.9","7.18","0.0","0.0","0.0","0.0","74.6","123.17","536.45","268.22","461.85","413.28","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","7218.93","0.12","0.9","0.0","7.97","0.9","7.17","0.0","0.0","0.0","0.0","81.77","123.17","536.45","268.22","454.67","413.28","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","7218.93","0.12","0.9","0.0","7.26","0.9","6.53","0.0","0.0","0.0","0.0","88.31","123.17","536.45","268.22","448.14","413.28","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","7218.93","0.12","0.9","0.0","7.26","0.9","6.53","0.0","0.0","0.0","0.0","94.84","123.17","536.45","268.22","441.61","413.28","0.0","","","","","","",""
