" Daily soil water balance output for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","483.26","0.55","0.0","0.0","2.25","0.55","1.25","0.0","0.0","0.0","0.0","20.01","22.95","474.62","237.31","454.61","451.67","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","483.26","0.52","0.0","0.0","2.94","0.52","1.54","0.0","0.0","0.0","0.0","21.54","22.95","474.62","237.31","453.07","451.67","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","483.26","0.5","0.0","0.0","2.45","0.5","1.23","0.0","0.0","0.0","0.0","22.77","22.95","474.62","237.31","451.84","451.67","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","483.26","0.49","0.0","0.0","2.13","0.49","1.03","0.0","0.0","0.0","0.0","23.81","22.95","474.62","237.31","450.81","451.67","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","483.26","1.11","0.0","0.0","2.73","1.11","3.03","2.71","2.71","0.0","0.0","21.1","22.95","474.62","237.31","453.52","451.67","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","483.26","1.14","0.0","0.0","1.95","1.14","2.23","9.85","9.85","0.0","0.0","13.47","22.95","474.62","237.31","461.14","451.67","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","483.26","1.15","0.0","0.0","1.71","1.15","1.96","1.24","1.24","0.0","0.0","14.19","22.95","474.62","237.31","460.42","451.67","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","483.26","1.15","0.0","0.0","1.78","1.15","2.04","0.01","0.01","0.0","0.0","16.23","22.95","474.62","237.31","458.39","451.67","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","483.26","1.02","0.0","0.0","1.99","1.02","2.03","0.0","0.0","0.0","0.0","18.26","22.95","474.62","237.31","456.36","451.67","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","483.26","0.88","0.0","0.0","2.61","0.88","2.29","0.0","0.0","0.0","0.0","20.55","22.95","474.62","237.31","454.07","451.67","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","483.26","0.78","0.0","0.0","2.48","0.78","1.94","0.0","0.0","0.0","0.0","22.49","22.95","474.62","237.31","452.13","451.67","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","483.26","0.72","0.0","0.0","2.24","0.72","1.62","0.0","0.0","0.0","0.0","24.1","22.95","474.62","237.31","450.51","451.67","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","483.26","0.67","0.0","0.0","2.36","0.67","1.58","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","483.26","0.63","0.0","0.0","2.33","0.63","1.46","0.0","0.0","0.0","0.0","24.41","22.95","474.62","237.31","450.21","451.67","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","483.26","0.59","0.0","0.0","2.37","0.59","1.4","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","483.26","0.57","0.0","0.0","2.04","0.57","1.16","0.0","0.0","0.0","0.0","24.11","22.95","474.62","237.31","450.51","451.67","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","483.26","0.54","0.0","0.0","2.61","0.54","1.4","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","483.26","0.51","0.0","0.0","2.95","0.51","1.5","0.0","0.0","0.0","0.0","24.45","22.95","474.62","237.31","450.17","451.67","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","483.26","0.49","0.0","0.0","2.56","0.49","1.25","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","483.26","0.47","0.0","0.0","1.87","0.47","0.89","0.0","0.0","0.0","0.0","23.84","22.95","474.62","237.31","450.78","451.67","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","483.26","0.47","0.0","0.0","1.5","0.47","0.7","1.71","1.71","0.0","0.0","22.13","22.95","474.62","237.31","452.49","451.67","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","483.26","1.17","0.0","0.0","1.33","1.17","1.55","14.14","14.14","0.0","0.0","9.54","22.95","474.62","237.31","465.08","451.67","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","483.26","1.13","0.0","0.0","2.26","1.13","2.55","20.66","12.09","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","483.26","1.16","0.0","0.0","1.53","1.16","1.77","13.1","1.77","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","483.26","1.15","0.0","0.0","1.93","1.15","2.22","1.46","1.46","0.0","0.0","0.76","22.95","474.62","237.31","473.86","451.67","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","483.26","1.15","0.0","0.0","1.98","1.15","2.27","0.57","0.57","0.0","0.0","2.46","22.95","474.62","237.31","472.16","451.67","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","483.26","1.16","0.0","0.0","1.59","1.16","1.84","2.01","2.01","0.0","0.0","2.29","22.95","474.62","237.31","472.33","451.67","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","483.26","1.16","0.0","0.0","1.54","1.16","1.78","5.1","4.08","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","483.26","1.15","0.0","0.0","1.8","1.15","2.07","7.19","2.07","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","483.26","1.17","0.0","0.0","1.19","1.17","1.4","12.32","1.4","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","483.26","1.12","0.0","0.0","2.52","1.12","2.82","10.8","2.82","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","483.26","1.11","0.0","0.0","2.99","1.11","3.32","0.0","0.0","0.0","0.0","3.32","22.95","474.62","237.31","471.3","451.67","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","483.26","0.93","0.0","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.21","22.95","474.62","237.31","468.41","451.67","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","483.26","0.8","0.0","0.0","3.14","0.8","2.5","0.0","0.0","0.0","0.0","8.71","22.95","474.62","237.31","465.91","451.67","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","483.26","0.71","0.0","0.0","3.04","0.71","2.16","0.0","0.0","0.0","0.0","10.86","22.95","474.62","237.31","463.75","451.67","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","483.26","0.65","0.0","0.0","2.97","0.65","1.92","0.0","0.0","0.0","0.0","12.79","22.95","474.62","237.31","461.83","451.67","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","483.26","0.61","0.0","0.0","2.33","0.61","1.42","0.03","0.03","0.0","0.0","14.18","22.95","474.62","237.31","460.44","451.67","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","483.26","0.58","0.0","0.0","2.37","0.58","1.37","1.23","1.23","0.0","0.0","14.32","22.95","474.62","237.31","460.3","451.67","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","483.26","0.54","0.0","0.0","3.0","0.54","1.63","0.94","0.94","0.0","0.0","15.0","22.95","474.62","237.31","459.62","451.67","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","483.26","0.51","0.0","0.0","3.33","0.51","1.7","0.0","0.0","0.0","0.0","16.7","22.95","474.62","237.31","457.92","451.67","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","483.26","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.24","22.95","474.62","237.31","456.38","451.67","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","483.26","0.46","0.0","0.0","3.61","0.46","1.65","0.0","0.0","0.0","0.0","19.89","22.95","474.62","237.31","454.73","451.67","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","483.26","0.43","0.0","0.0","4.2","0.43","1.81","0.0","0.0","0.0","0.0","21.7","22.95","474.62","237.31","452.91","451.67","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","483.26","0.41","0.0","0.0","3.51","0.41","1.45","0.0","0.0","0.0","0.0","23.16","22.95","474.62","237.31","451.46","451.67","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","483.26","0.4","0.0","0.0","3.52","0.4","1.4","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","483.26","0.38","0.0","0.0","3.71","0.38","1.42","0.0","0.0","0.0","0.0","24.37","22.95","474.62","237.31","450.25","451.67","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","483.26","0.37","0.0","0.0","3.49","0.37","1.29","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","483.26","0.36","0.0","0.0","3.72","0.36","1.33","0.0","0.0","0.0","0.0","24.28","22.95","474.62","237.31","450.34","451.67","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","483.26","0.35","0.0","0.0","3.62","0.35","1.25","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","483.26","0.34","0.0","0.0","3.72","0.34","1.25","0.0","0.0","0.0","0.0","24.2","22.95","474.62","237.31","450.42","451.67","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","483.26","0.33","0.0","0.0","3.94","0.33","1.29","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","483.26","0.32","0.0","0.0","4.14","0.32","1.31","0.0","0.0","0.0","0.0","24.26","22.95","474.62","237.31","450.36","451.67","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","483.26","0.31","0.0","0.0","5.39","0.31","1.65","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","483.26","0.3","0.0","0.0","4.84","0.3","1.43","0.0","0.0","0.0","0.0","24.38","22.95","474.62","237.31","450.24","451.67","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","483.26","0.29","0.0","0.0","4.19","0.29","1.21","0.0","0.0","0.0","0.0","22.95","22.95","474.62","237.31","451.67","451.67","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","483.26","0.28","0.0","0.0","3.25","0.28","0.92","1.44","1.44","0.0","0.0","22.43","22.95","474.62","237.31","452.19","451.67","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","483.26","1.16","0.0","0.0","1.59","1.16","1.84","12.65","12.65","0.0","0.0","11.62","22.95","474.62","237.31","463.0","451.67","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","483.26","1.15","0.0","0.0","1.84","1.15","2.11","20.51","13.73","0.0","0.0","0.0","22.95","474.62","237.31","474.62","451.67","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","483.26","1.12","0.0","0.0","3.06","1.12","3.43","0.4","0.4","0.0","0.0","3.03","22.95","474.62","237.31","471.58","451.67","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","483.26","0.95","0.0","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","6.28","22.95","474.62","237.31","468.34","451.67","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","483.26","0.77","0.0","0.0","4.11","0.77","3.17","0.0","0.0","0.0","0.0","9.45","22.95","474.62","237.31","465.17","451.67","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","483.26","0.67","0.0","0.0","4.1","0.67","2.73","0.78","0.78","0.0","0.0","11.41","22.95","474.62","237.31","463.21","451.67","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","483.26","0.58","0.55","0.0","5.34","0.58","3.08","0.0","0.0","0.0","0.0","14.48","101.2","474.62","237.31","460.13","373.41","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","483.26","0.52","0.56","0.0","5.13","0.56","2.85","0.0","0.0","0.0","0.0","17.34","101.2","474.62","237.31","457.28","373.41","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","483.26","0.48","0.56","0.0","4.75","0.56","2.67","0.0","0.0","0.0","0.0","20.01","101.2","474.62","237.31","454.61","373.41","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","483.26","0.44","0.57","0.0","5.08","0.57","2.89","0.0","0.0","0.0","0.0","22.89","101.2","474.62","237.31","451.73","373.41","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","483.26","0.41","0.57","0.0","4.82","0.57","2.77","0.0","0.0","0.0","0.0","25.66","101.2","474.62","237.31","448.96","373.41","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","483.26","0.39","0.58","0.0","5.01","0.58","2.91","0.0","0.0","0.0","0.0","28.56","101.2","474.62","237.31","446.05","373.41","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","483.26","0.38","0.59","0.0","3.61","0.59","2.12","0.0","0.0","0.0","0.0","30.68","101.2","474.62","237.31","443.94","373.41","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","483.26","0.37","0.59","0.0","2.88","0.59","1.7","0.68","0.68","0.0","0.0","31.7","101.2","474.62","237.31","442.91","373.41","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","483.26","0.35","0.6","0.0","4.01","0.6","2.4","3.64","3.64","0.0","0.0","30.46","101.2","474.62","237.31","444.16","373.41","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","483.26","0.34","0.6","0.0","4.5","0.6","2.72","0.0","0.0","0.0","0.0","33.18","101.2","474.62","237.31","441.44","373.41","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","483.26","0.33","0.61","0.0","5.34","0.61","3.26","0.0","0.0","0.0","0.0","36.44","101.2","474.62","237.31","438.18","373.41","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","483.26","0.32","0.62","0.0","4.63","0.62","2.85","0.0","0.0","0.0","0.0","39.29","101.2","474.62","237.31","435.33","373.41","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","483.26","0.31","0.62","0.0","3.59","0.62","2.23","0.1","0.1","0.0","0.0","41.42","101.2","474.62","237.31","433.2","373.41","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","483.26","0.3","0.63","0.0","5.55","0.63","3.49","1.66","1.66","0.0","0.0","43.25","101.2","474.62","237.31","431.37","373.41","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","483.26","0.29","0.63","0.0","4.91","0.63","3.11","0.0","0.0","0.0","0.0","46.36","101.2","474.62","237.31","428.26","373.41","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","483.26","0.28","0.64","0.0","7.15","0.64","4.58","0.0","0.0","0.0","0.0","50.94","101.2","474.62","237.31","423.68","373.41","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","483.26","0.27","0.65","0.0","5.68","0.65","3.67","0.0","0.0","0.0","0.0","54.61","101.2","474.62","237.31","420.01","373.41","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","483.26","0.26","0.65","0.0","5.14","0.65","3.35","0.0","0.0","0.0","0.0","57.96","101.2","474.62","237.31","416.66","373.41","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","483.26","0.26","0.66","0.0","4.27","0.66","2.81","0.0","0.0","0.0","0.0","60.77","101.2","474.62","237.31","413.85","373.41","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","483.26","0.25","0.66","0.0","4.54","0.66","3.01","0.0","0.0","0.0","0.0","63.78","101.2","474.62","237.31","410.84","373.41","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","483.26","0.25","0.67","0.0","2.55","0.67","1.71","0.46","0.46","0.0","0.0","65.03","101.2","474.62","237.31","409.59","373.41","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","483.26","0.25","0.68","0.0","1.88","0.68","1.27","0.47","0.47","0.0","0.0","65.83","101.2","474.62","237.31","408.79","373.41","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","483.26","1.14","0.68","0.0","2.03","1.14","2.31","4.81","4.81","0.0","0.0","63.33","101.2","474.62","237.31","411.29","373.41","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","483.26","1.11","0.69","0.0","3.27","1.11","3.64","0.69","0.69","0.0","0.0","66.29","101.2","474.62","237.31","408.33","373.41","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","483.26","0.87","0.69","0.0","4.52","0.87","3.91","0.0","0.0","0.0","0.0","70.2","101.2","474.62","237.31","404.42","373.41","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","483.26","0.69","0.7","0.0","5.37","0.7","3.76","0.0","0.0","0.0","0.0","73.96","101.2","474.62","237.31","400.66","373.41","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","483.26","0.58","0.71","0.0","5.67","0.71","4.0","0.0","0.0","0.0","0.0","77.96","101.2","474.62","237.31","396.66","373.41","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","483.26","0.52","0.71","0.0","5.67","0.71","4.04","0.0","0.0","0.0","0.0","82.0","101.2","474.62","237.31","392.62","373.41","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","483.26","0.47","0.72","0.0","5.3","0.72","3.81","0.0","0.0","0.0","0.0","85.8","101.2","474.62","237.31","388.81","373.41","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","483.26","0.44","0.72","0.0","4.83","0.72","3.5","0.0","0.0","0.0","0.0","89.3","101.2","474.62","237.31","385.32","373.41","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","483.26","0.41","0.73","0.0","5.41","0.73","3.95","0.0","0.0","0.0","0.0","93.25","101.2","474.62","237.31","381.37","373.41","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","483.26","0.38","0.74","0.0","6.4","0.74","4.71","0.0","0.0","0.0","0.0","97.96","101.2","474.62","237.31","376.66","373.41","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","483.26","0.35","0.74","0.0","7.38","0.74","5.48","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","103.44","","","","","","",""
"2016.0","5.0","18.0","139.0","483.26","0.33","0.75","0.0","6.85","0.75","5.12","0.0","0.0","0.0","0.0","5.12","101.2","474.62","237.31","469.49","373.41","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","483.26","0.31","0.75","0.0","6.05","0.75","4.56","0.0","0.0","0.0","0.0","9.69","101.2","474.62","237.31","464.93","373.41","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","483.26","0.3","0.76","0.0","4.86","0.76","3.69","0.0","0.0","0.0","0.0","13.38","101.2","474.62","237.31","461.24","373.41","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","483.26","0.3","0.77","0.0","3.64","0.77","2.79","0.0","0.0","0.0","0.0","16.17","101.2","474.62","237.31","458.45","373.41","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","483.26","0.29","0.77","0.0","4.01","0.77","3.1","0.8","0.8","0.0","0.0","18.46","101.2","474.62","237.31","456.16","373.41","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","483.26","0.28","0.78","0.0","4.59","0.78","3.57","0.0","0.0","0.0","0.0","22.03","101.2","474.62","237.31","452.58","373.41","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","483.26","0.28","0.78","0.0","4.79","0.78","3.76","0.0","0.0","0.0","0.0","25.79","101.2","474.62","237.31","448.83","373.41","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","483.26","0.27","0.79","0.0","5.18","0.79","4.09","0.0","0.0","0.0","0.0","29.88","101.2","474.62","237.31","444.74","373.41","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","483.26","0.26","0.8","0.0","5.52","0.8","4.39","0.0","0.0","0.0","0.0","34.28","101.2","474.62","237.31","440.34","373.41","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","483.26","0.25","0.8","0.0","5.89","0.8","4.72","0.0","0.0","0.0","0.0","39.0","101.2","474.62","237.31","435.62","373.41","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","483.26","0.25","0.81","0.0","6.73","0.81","5.44","0.0","0.0","0.0","0.0","44.44","101.2","474.62","237.31","430.18","373.41","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","483.26","0.24","0.81","0.0","6.28","0.81","5.11","0.0","0.0","0.0","0.0","49.55","101.2","474.62","237.31","425.07","373.41","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","483.26","0.23","0.82","0.0","6.56","0.82","5.38","0.0","0.0","0.0","0.0","54.93","101.2","474.62","237.31","419.69","373.41","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","483.26","0.23","0.83","0.0","6.88","0.83","5.68","0.0","0.0","0.0","0.0","60.61","101.2","474.62","237.31","414.01","373.41","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","483.26","0.22","0.83","0.0","6.81","0.83","5.67","0.0","0.0","0.0","0.0","66.28","101.2","474.62","237.31","408.34","373.41","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","483.26","0.21","0.84","0.0","6.66","0.84","5.58","0.0","0.0","0.0","0.0","71.86","101.2","474.62","237.31","402.76","373.41","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","483.26","0.21","0.84","0.0","7.1","0.84","5.99","0.0","0.0","0.0","0.0","77.85","101.2","474.62","237.31","396.77","373.41","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","483.26","0.21","0.85","0.0","4.9","0.85","4.17","0.0","0.0","0.0","0.0","82.02","101.2","474.62","237.31","392.6","373.41","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","483.26","0.2","0.86","0.0","7.37","0.86","6.31","0.0","0.0","0.0","0.0","88.32","101.2","474.62","237.31","386.29","373.41","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","483.26","0.2","0.86","0.0","6.75","0.86","5.82","0.0","0.0","0.0","0.0","94.14","101.2","474.62","237.31","380.48","373.41","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","483.26","0.19","0.87","0.0","6.48","0.87","5.62","0.0","0.0","0.0","0.0","99.77","101.2","474.62","237.31","374.85","373.41","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","483.26","0.19","0.87","0.0","6.22","0.87","5.44","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","105.2","","","","","","",""
"2016.0","6.0","9.0","161.0","483.26","0.19","0.88","0.0","5.96","0.88","5.24","0.0","0.0","0.0","0.0","5.24","101.2","474.62","237.31","469.37","373.41","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","483.26","0.18","0.89","0.0","6.41","0.89","5.68","0.0","0.0","0.0","0.0","10.92","101.2","474.62","237.31","463.69","373.41","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","483.26","0.18","0.89","0.0","6.68","0.89","5.96","0.0","0.0","0.0","0.0","16.88","101.2","474.62","237.31","457.74","373.41","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","483.26","0.18","0.9","0.0","6.62","0.9","5.94","0.0","0.0","0.0","0.0","22.83","101.2","474.62","237.31","451.79","373.41","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","483.26","0.18","0.9","0.0","6.3","0.9","5.7","0.0","0.0","0.0","0.0","28.52","101.2","474.62","237.31","446.1","373.41","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","483.26","0.17","0.91","0.0","6.24","0.91","5.68","0.0","0.0","0.0","0.0","34.2","101.2","474.62","237.31","440.42","373.41","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","483.26","0.17","0.92","0.0","5.37","0.92","4.92","0.0","0.0","0.0","0.0","39.12","101.2","474.62","237.31","435.5","373.41","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","483.26","0.17","0.92","0.0","5.25","0.92","4.84","0.0","0.0","0.0","0.0","43.96","101.2","474.62","237.31","430.66","373.41","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","483.26","0.17","0.93","0.0","5.14","0.93","4.77","0.0","0.0","0.0","0.0","48.73","101.2","474.62","237.31","425.89","373.41","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","483.26","0.16","0.93","0.0","6.17","0.93","5.76","0.0","0.0","0.0","0.0","54.49","101.2","474.62","237.31","420.13","373.41","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","483.26","0.16","0.94","0.0","6.83","0.94","6.42","0.0","0.0","0.0","0.0","60.91","101.2","474.62","237.31","413.7","373.41","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","483.26","0.16","0.95","0.0","7.19","0.95","6.8","0.0","0.0","0.0","0.0","67.72","101.2","474.62","237.31","406.9","373.41","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","483.26","0.16","0.95","0.0","7.59","0.95","7.23","0.0","0.0","0.0","0.0","74.94","101.2","474.62","237.31","399.68","373.41","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","483.26","0.16","0.96","0.0","7.42","0.96","7.11","0.0","0.0","0.0","0.0","82.05","101.2","474.62","237.31","392.57","373.41","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","483.26","0.15","0.96","0.0","7.46","0.96","7.19","0.0","0.0","0.0","0.0","89.24","101.2","474.62","237.31","385.38","373.41","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","483.26","0.15","0.97","0.0","6.79","0.97","6.59","0.0","0.0","0.0","0.0","95.83","101.2","474.62","237.31","378.79","373.41","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","483.26","0.15","0.98","0.0","7.58","0.98","7.4","0.0","0.0","0.0","0.0","0.0","101.2","474.62","237.31","474.62","373.41","103.22","","","","","","",""
"2016.0","6.0","26.0","178.0","483.26","0.15","0.98","0.0","7.44","0.98","7.31","0.0","0.0","0.0","0.0","7.31","101.2","474.62","237.31","467.31","373.41","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","483.26","0.15","0.99","0.0","7.85","0.99","7.76","0.0","0.0","0.0","0.0","15.06","101.2","474.62","237.31","459.56","373.41","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","483.26","0.14","0.99","0.0","7.77","0.99","7.72","0.0","0.0","0.0","0.0","22.79","101.2","474.62","237.31","451.83","373.41","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","483.26","0.14","1.0","0.0","7.0","1.0","7.0","0.0","0.0","0.0","0.0","29.79","101.2","474.62","237.31","444.83","373.41","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","483.26","0.14","1.01","0.0","6.96","1.01","7.0","0.0","0.0","0.0","0.0","36.79","101.2","474.62","237.31","437.83","373.41","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","483.26","0.14","1.01","0.0","6.82","1.01","6.9","0.0","0.0","0.0","0.0","43.69","101.2","474.62","237.31","430.93","373.41","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","483.26","0.14","1.02","0.0","6.74","1.02","6.86","0.0","0.0","0.0","0.0","50.55","101.2","474.62","237.31","424.07","373.41","0.0","","","","","","",""
