" Daily soil water balance output for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","28.02","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","21.6","454.45","227.22","433.36","432.85","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","28.02","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","21.6","454.45","227.22","431.77","432.85","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","28.02","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","28.02","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","22.58","21.6","454.45","227.22","431.86","432.85","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","28.02","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","28.02","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","13.08","21.6","454.45","227.22","441.37","432.85","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","28.02","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","11.36","21.6","454.45","227.22","443.08","432.85","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","28.02","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","13.37","21.6","454.45","227.22","441.08","432.85","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","28.02","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","15.61","21.6","454.45","227.22","438.84","432.85","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","28.02","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","18.26","21.6","454.45","227.22","436.19","432.85","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","28.02","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","20.32","21.6","454.45","227.22","434.13","432.85","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","28.02","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","22.04","21.6","454.45","227.22","432.41","432.85","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","28.02","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","28.02","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","23.16","21.6","454.45","227.22","431.29","432.85","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","28.02","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","28.02","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","22.84","21.6","454.45","227.22","431.61","432.85","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","28.02","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","28.02","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","23.16","21.6","454.45","227.22","431.29","432.85","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","28.02","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","28.02","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","22.47","21.6","454.45","227.22","431.98","432.85","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","28.02","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","28.02","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","9.63","21.6","454.45","227.22","444.82","432.85","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","28.02","1.13","0.0","0.0","2.19","1.13","2.48","48.26","12.11","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","28.02","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","28.02","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","21.6","454.45","227.22","453.93","432.85","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","28.02","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","21.6","454.45","227.22","451.87","432.85","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","28.02","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","21.6","454.45","227.22","450.4","432.85","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","28.02","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","28.02","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","28.02","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","28.02","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","28.02","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","21.6","454.45","227.22","451.09","432.85","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","28.02","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","21.6","454.45","227.22","448.22","432.85","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","28.02","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","21.6","454.45","227.22","445.73","432.85","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","28.02","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","21.6","454.45","227.22","443.53","432.85","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","28.02","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","21.6","454.45","227.22","441.54","432.85","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","28.02","0.61","0.0","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","21.6","454.45","227.22","440.24","432.85","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","28.02","0.58","0.0","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","21.6","454.45","227.22","440.26","432.85","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","28.02","0.54","0.0","0.0","2.94","0.54","1.6","0.94","0.94","0.0","0.0","14.84","21.6","454.45","227.22","439.61","432.85","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","28.02","0.51","0.0","0.0","3.34","0.51","1.7","0.0","0.0","0.0","0.0","16.55","21.6","454.45","227.22","437.9","432.85","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","28.02","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.09","21.6","454.45","227.22","436.36","432.85","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","28.02","0.46","0.0","0.0","3.68","0.46","1.68","0.0","0.0","0.0","0.0","19.78","21.6","454.45","227.22","434.67","432.85","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","28.02","0.43","0.0","0.0","4.39","0.43","1.89","0.0","0.0","0.0","0.0","21.67","21.6","454.45","227.22","432.78","432.85","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","28.02","0.41","0.0","0.0","3.47","0.41","1.43","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","28.02","0.4","0.0","0.0","3.49","0.4","1.39","0.0","0.0","0.0","0.0","22.99","21.6","454.45","227.22","431.46","432.85","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","28.02","0.38","0.0","0.0","3.77","0.38","1.44","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","28.02","0.37","0.0","0.0","3.58","0.37","1.32","0.0","0.0","0.0","0.0","22.92","21.6","454.45","227.22","431.53","432.85","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","28.02","0.36","0.0","0.0","3.76","0.36","1.34","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","28.02","0.35","0.0","0.0","3.65","0.35","1.26","0.0","0.0","0.0","0.0","22.86","21.6","454.45","227.22","431.59","432.85","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","28.02","0.34","0.0","0.0","3.74","0.34","1.25","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","28.02","0.33","0.0","0.0","4.02","0.33","1.31","0.0","0.0","0.0","0.0","22.91","21.6","454.45","227.22","431.54","432.85","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","28.02","0.32","0.0","0.0","4.17","0.32","1.32","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","28.02","0.3","0.0","0.0","5.61","0.3","1.7","0.0","0.0","0.0","0.0","23.3","21.6","454.45","227.22","431.14","432.85","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","28.02","0.29","0.0","0.0","4.91","0.29","1.45","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","28.02","0.29","0.0","0.0","4.31","0.29","1.24","0.0","0.0","0.0","0.0","22.84","21.6","454.45","227.22","431.61","432.85","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","28.02","0.28","0.0","0.0","3.47","0.28","0.98","0.01","0.01","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","28.02","0.28","0.0","0.0","1.5","0.28","0.42","2.32","2.32","0.0","0.0","19.7","21.6","454.45","227.22","434.75","432.85","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","28.02","1.13","0.0","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","13.25","21.6","454.45","227.22","441.2","432.85","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","28.02","1.11","0.0","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","16.41","21.6","454.45","227.22","438.04","432.85","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","28.02","0.91","0.0","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","19.58","21.6","454.45","227.22","434.87","432.85","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","28.02","0.75","0.0","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","22.75","21.6","454.45","227.22","431.7","432.85","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","28.02","0.65","0.0","0.0","4.05","0.65","2.64","0.48","0.48","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","28.02","0.57","0.55","0.0","5.4","0.57","3.05","0.0","0.0","0.0","0.0","24.65","101.63","454.45","227.22","429.8","352.82","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","28.02","0.51","0.56","0.0","5.38","0.56","2.99","0.0","0.0","0.0","0.0","27.65","101.63","454.45","227.22","426.8","352.82","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","28.02","0.47","0.56","0.0","4.72","0.56","2.66","0.0","0.0","0.0","0.0","30.3","101.63","454.45","227.22","424.15","352.82","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","28.02","0.43","0.57","0.0","5.09","0.57","2.9","0.0","0.0","0.0","0.0","33.2","101.63","454.45","227.22","421.25","352.82","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","28.02","0.41","0.58","0.0","4.97","0.58","2.86","0.0","0.0","0.0","0.0","36.07","101.63","454.45","227.22","418.38","352.82","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","28.02","0.38","0.58","0.0","5.11","0.58","2.98","0.0","0.0","0.0","0.0","39.05","101.63","454.45","227.22","415.4","352.82","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","28.02","0.37","0.59","0.0","3.83","0.59","2.26","0.0","0.0","0.0","0.0","41.3","101.63","454.45","227.22","413.14","352.82","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","28.02","0.36","0.6","0.0","2.88","0.6","1.72","0.12","0.12","0.0","0.0","42.9","101.63","454.45","227.22","411.55","352.82","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","28.02","0.35","0.6","0.0","3.96","0.6","2.39","2.58","2.58","0.0","0.0","42.71","101.63","454.45","227.22","411.74","352.82","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","28.02","0.34","0.61","0.0","4.41","0.61","2.69","0.0","0.0","0.0","0.0","45.39","101.63","454.45","227.22","409.06","352.82","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","28.02","0.32","0.62","0.0","5.39","0.62","3.32","0.0","0.0","0.0","0.0","48.71","101.63","454.45","227.22","405.74","352.82","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","28.02","0.31","0.62","0.0","4.64","0.62","2.89","0.0","0.0","0.0","0.0","51.6","101.63","454.45","227.22","402.85","352.82","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","28.02","0.3","0.63","0.0","3.84","0.63","2.42","0.0","0.0","0.0","0.0","54.02","101.63","454.45","227.22","400.43","352.82","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","28.02","0.29","0.64","0.0","5.73","0.64","3.64","3.95","3.95","0.0","0.0","53.71","101.63","454.45","227.22","400.74","352.82","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","28.02","0.28","0.64","0.0","5.1","0.64","3.27","0.0","0.0","0.0","0.0","56.98","101.63","454.45","227.22","397.47","352.82","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","28.02","0.27","0.65","0.0","7.38","0.65","4.79","0.0","0.0","0.0","0.0","61.77","101.63","454.45","227.22","392.68","352.82","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","28.02","0.26","0.66","0.0","5.87","0.66","3.85","0.0","0.0","0.0","0.0","65.62","101.63","454.45","227.22","388.83","352.82","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","28.02","0.26","0.66","0.0","5.3","0.66","3.51","0.0","0.0","0.0","0.0","69.12","101.63","454.45","227.22","385.33","352.82","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","28.02","0.25","0.67","0.0","4.33","0.67","2.89","0.0","0.0","0.0","0.0","72.02","101.63","454.45","227.22","382.43","352.82","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","28.02","0.25","0.67","0.0","4.83","0.67","3.26","0.0","0.0","0.0","0.0","75.28","101.63","454.45","227.22","379.17","352.82","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","28.02","0.24","0.68","0.0","2.3","0.68","1.57","0.02","0.02","0.0","0.0","76.83","101.63","454.45","227.22","377.62","352.82","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","28.02","0.24","0.69","0.0","2.1","0.69","1.45","0.13","0.13","0.0","0.0","78.14","101.63","454.45","227.22","376.31","352.82","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","28.02","0.24","0.69","0.0","2.06","0.69","1.43","1.36","1.36","0.0","0.0","78.21","101.63","454.45","227.22","376.24","352.82","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","28.02","0.24","0.7","0.0","3.2","0.7","2.24","2.24","2.24","0.0","0.0","78.22","101.63","454.45","227.22","376.23","352.82","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","28.02","0.23","0.71","0.0","4.63","0.71","3.28","0.0","0.0","0.0","0.0","81.49","101.63","454.45","227.22","372.96","352.82","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","28.02","0.23","0.71","0.0","5.64","0.71","4.03","0.0","0.0","0.0","0.0","85.52","101.63","454.45","227.22","368.93","352.82","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","28.02","0.22","0.72","0.0","5.95","0.72","4.29","0.0","0.0","0.0","0.0","89.81","101.63","454.45","227.22","364.64","352.82","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","28.02","0.22","0.73","0.0","5.92","0.73","4.31","0.0","0.0","0.0","0.0","94.12","101.63","454.45","227.22","360.33","352.82","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","28.02","0.21","0.73","0.0","5.56","0.73","4.08","0.0","0.0","0.0","0.0","98.2","101.63","454.45","227.22","356.25","352.82","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","28.02","0.21","0.74","0.0","5.05","0.74","3.74","0.0","0.0","0.0","0.0","0.0","101.63","454.45","227.22","454.45","352.82","101.95","","","","","","",""
"2016.0","5.0","15.0","136.0","28.02","0.21","0.75","0.0","5.51","0.75","4.12","0.0","0.0","0.0","0.0","4.12","101.63","454.45","227.22","450.33","352.82","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","28.02","0.2","0.75","0.0","6.55","0.75","4.94","0.0","0.0","0.0","0.0","9.06","101.63","454.45","227.22","445.39","352.82","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","28.02","0.2","0.76","0.0","7.65","0.76","5.82","0.0","0.0","0.0","0.0","14.87","101.63","454.45","227.22","439.58","352.82","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","28.02","0.19","0.77","0.0","7.01","0.77","5.38","0.0","0.0","0.0","0.0","20.25","101.63","454.45","227.22","434.2","352.82","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","28.02","0.19","0.77","0.0","6.2","0.77","4.8","0.0","0.0","0.0","0.0","25.05","101.63","454.45","227.22","429.4","352.82","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","28.02","0.19","0.78","0.0","4.88","0.78","3.81","0.0","0.0","0.0","0.0","28.86","101.63","454.45","227.22","425.59","352.82","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","28.02","0.19","0.79","0.0","4.07","0.79","3.2","0.51","0.51","0.0","0.0","31.55","101.63","454.45","227.22","422.9","352.82","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","28.02","0.18","0.79","0.0","4.31","0.79","3.42","0.2","0.2","0.0","0.0","34.77","101.63","454.45","227.22","419.68","352.82","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","28.02","0.18","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","38.58","101.63","454.45","227.22","415.87","352.82","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","28.02","0.18","0.81","0.0","4.82","0.81","3.89","0.0","0.0","0.0","0.0","42.47","101.63","454.45","227.22","411.98","352.82","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","28.02","0.18","0.81","0.0","5.25","0.81","4.27","0.0","0.0","0.0","0.0","46.74","101.63","454.45","227.22","407.71","352.82","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","28.02","0.18","0.82","0.0","5.68","0.82","4.66","0.0","0.0","0.0","0.0","51.4","101.63","454.45","227.22","403.05","352.82","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","28.02","0.17","0.83","0.0","5.98","0.83","4.94","0.0","0.0","0.0","0.0","56.34","101.63","454.45","227.22","398.11","352.82","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","28.02","0.17","0.83","0.0","6.9","0.83","5.75","0.0","0.0","0.0","0.0","62.09","101.63","454.45","227.22","392.36","352.82","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","28.02","0.17","0.84","0.0","6.43","0.84","5.4","0.0","0.0","0.0","0.0","67.48","101.63","454.45","227.22","386.97","352.82","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","28.02","0.17","0.85","0.0","6.72","0.85","5.69","0.0","0.0","0.0","0.0","73.17","101.63","454.45","227.22","381.28","352.82","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","28.02","0.16","0.85","0.0","7.04","0.85","6.0","0.0","0.0","0.0","0.0","79.17","101.63","454.45","227.22","375.28","352.82","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","28.02","0.16","0.86","0.0","7.1","0.86","6.1","0.0","0.0","0.0","0.0","85.27","101.63","454.45","227.22","369.18","352.82","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","28.02","0.16","0.87","0.0","6.77","0.87","5.86","0.0","0.0","0.0","0.0","91.13","101.63","454.45","227.22","363.32","352.82","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","28.02","0.16","0.87","0.0","7.21","0.87","6.29","0.0","0.0","0.0","0.0","97.42","101.63","454.45","227.22","357.03","352.82","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","28.02","0.16","0.88","0.0","4.79","0.88","4.21","0.0","0.0","0.0","0.0","0.0","101.63","454.45","227.22","454.45","352.82","101.63","","","","","","",""
"2016.0","6.0","5.0","157.0","28.02","0.15","0.89","0.0","7.5","0.89","6.64","0.0","0.0","0.0","0.0","6.64","101.63","454.45","227.22","447.81","352.82","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","28.02","0.15","0.89","0.0","7.01","0.89","6.25","0.0","0.0","0.0","0.0","12.9","101.63","454.45","227.22","441.55","352.82","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","28.02","0.15","0.9","0.0","6.63","0.9","5.96","0.0","0.0","0.0","0.0","18.85","101.63","454.45","227.22","435.6","352.82","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","28.02","0.15","0.91","0.0","6.37","0.91","5.77","0.0","0.0","0.0","0.0","24.62","101.63","454.45","227.22","429.83","352.82","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","28.02","0.15","0.91","0.0","6.1","0.91","5.56","0.0","0.0","0.0","0.0","30.18","101.63","454.45","227.22","424.27","352.82","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","28.02","0.15","0.92","0.0","6.5","0.92","5.97","0.0","0.0","0.0","0.0","36.15","101.63","454.45","227.22","418.3","352.82","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","28.02","0.14","0.92","0.0","6.86","0.92","6.35","0.0","0.0","0.0","0.0","42.5","101.63","454.45","227.22","411.95","352.82","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","28.02","0.14","0.93","0.0","6.89","0.93","6.42","0.0","0.0","0.0","0.0","48.92","101.63","454.45","227.22","405.53","352.82","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","28.02","0.14","0.94","0.0","6.55","0.94","6.14","0.0","0.0","0.0","0.0","55.06","101.63","454.45","227.22","399.39","352.82","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","28.02","0.14","0.94","0.0","6.15","0.94","5.81","0.0","0.0","0.0","0.0","60.87","101.63","454.45","227.22","393.58","352.82","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","28.02","0.14","0.95","0.0","5.14","0.95","4.89","0.0","0.0","0.0","0.0","65.76","101.63","454.45","227.22","388.69","352.82","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","28.02","0.14","0.96","0.0","5.15","0.96","4.93","0.0","0.0","0.0","0.0","70.69","101.63","454.45","227.22","383.76","352.82","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","28.02","0.14","0.96","0.0","4.72","0.96","4.55","0.0","0.0","0.0","0.0","75.25","101.63","454.45","227.22","379.2","352.82","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","28.02","0.14","0.97","0.0","6.09","0.97","5.91","0.0","0.0","0.0","0.0","81.16","101.63","454.45","227.22","373.29","352.82","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","28.02","0.13","0.98","0.0","6.76","0.98","6.61","0.0","0.0","0.0","0.0","87.77","101.63","454.45","227.22","366.68","352.82","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","28.02","0.13","0.98","0.0","7.29","0.98","7.17","0.0","0.0","0.0","0.0","94.94","101.63","454.45","227.22","359.51","352.82","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","28.02","0.13","0.99","0.0","7.6","0.99","7.53","0.0","0.0","0.0","0.0","0.0","101.63","454.45","227.22","454.45","352.82","102.47","","","","","","",""
"2016.0","6.0","22.0","174.0","28.02","0.13","1.0","0.0","7.59","1.0","7.57","0.0","0.0","0.0","0.0","7.57","101.63","454.45","227.22","446.88","352.82","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","28.02","0.13","1.0","0.0","7.55","1.0","7.58","0.0","0.0","0.0","0.0","15.15","101.63","454.45","227.22","439.3","352.82","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","28.02","0.13","1.01","0.0","6.9","1.01","6.97","0.0","0.0","0.0","0.0","22.12","101.63","454.45","227.22","432.33","352.82","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","28.02","0.13","1.02","0.0","7.71","1.02","7.84","0.0","0.0","0.0","0.0","29.96","101.63","454.45","227.22","424.49","352.82","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","28.02","0.13","1.02","0.0","7.55","1.02","7.73","0.0","0.0","0.0","0.0","37.69","101.63","454.45","227.22","416.76","352.82","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","28.02","0.12","1.03","0.0","7.98","1.03","8.22","0.0","0.0","0.0","0.0","45.91","101.63","454.45","227.22","408.53","352.82","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","28.02","0.12","1.04","0.0","7.97","1.04","8.26","0.0","0.0","0.0","0.0","54.18","101.63","454.45","227.22","400.27","352.82","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","28.02","0.12","1.04","0.0","7.26","1.04","7.58","0.0","0.0","0.0","0.0","61.75","101.63","454.45","227.22","392.7","352.82","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","28.02","0.12","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","69.38","101.63","454.45","227.22","385.07","352.82","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","28.02","0.12","1.05","0.0","7.09","1.05","7.44","0.0","0.0","0.0","0.0","76.82","101.63","454.45","227.22","377.63","352.82","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","28.02","0.12","1.05","0.0","7.02","1.05","7.37","0.0","0.0","0.0","0.0","84.19","101.63","454.45","227.22","370.26","352.82","0.0","","","","","","",""
