" Daily soil water balance output for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","257.76","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","21.6","454.45","227.22","433.36","432.85","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","257.76","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","21.6","454.45","227.22","431.77","432.85","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","257.76","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","257.76","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","22.58","21.6","454.45","227.22","431.86","432.85","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","257.76","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","257.76","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","13.08","21.6","454.45","227.22","441.37","432.85","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","257.76","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","11.36","21.6","454.45","227.22","443.08","432.85","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","257.76","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","13.37","21.6","454.45","227.22","441.08","432.85","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","257.76","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","15.61","21.6","454.45","227.22","438.84","432.85","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","257.76","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","18.26","21.6","454.45","227.22","436.19","432.85","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","257.76","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","20.32","21.6","454.45","227.22","434.13","432.85","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","257.76","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","22.04","21.6","454.45","227.22","432.41","432.85","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","257.76","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","257.76","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","23.16","21.6","454.45","227.22","431.29","432.85","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","257.76","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","257.76","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","22.84","21.6","454.45","227.22","431.61","432.85","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","257.76","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","257.76","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","23.16","21.6","454.45","227.22","431.29","432.85","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","257.76","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","257.76","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","22.47","21.6","454.45","227.22","431.98","432.85","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","257.76","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","257.76","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","9.63","21.6","454.45","227.22","444.82","432.85","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","257.76","1.13","0.0","0.0","2.19","1.13","2.48","48.26","12.11","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","257.76","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","257.76","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","21.6","454.45","227.22","453.93","432.85","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","257.76","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","21.6","454.45","227.22","451.87","432.85","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","257.76","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","21.6","454.45","227.22","450.4","432.85","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","257.76","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","257.76","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","257.76","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","257.76","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","21.6","454.45","227.22","454.45","432.85","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","257.76","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","21.6","454.45","227.22","451.09","432.85","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","257.76","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","21.6","454.45","227.22","448.22","432.85","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","257.76","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","21.6","454.45","227.22","445.73","432.85","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","257.76","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","21.6","454.45","227.22","443.53","432.85","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","257.76","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","21.6","454.45","227.22","441.54","432.85","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","257.76","0.61","0.0","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","21.6","454.45","227.22","440.24","432.85","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","257.76","0.58","0.0","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","21.6","454.45","227.22","440.26","432.85","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","257.76","0.54","0.0","0.0","2.94","0.54","1.6","0.94","0.94","0.0","0.0","14.84","21.6","454.45","227.22","439.61","432.85","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","257.76","0.51","0.0","0.0","3.34","0.51","1.7","0.0","0.0","0.0","0.0","16.55","21.6","454.45","227.22","437.9","432.85","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","257.76","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.09","21.6","454.45","227.22","436.36","432.85","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","257.76","0.46","0.0","0.0","3.68","0.46","1.68","0.0","0.0","0.0","0.0","19.78","21.6","454.45","227.22","434.67","432.85","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","257.76","0.43","0.0","0.0","4.39","0.43","1.89","0.0","0.0","0.0","0.0","21.67","21.6","454.45","227.22","432.78","432.85","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","257.76","0.41","0.0","0.0","3.47","0.41","1.43","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","257.76","0.4","0.0","0.0","3.49","0.4","1.39","0.0","0.0","0.0","0.0","22.99","21.6","454.45","227.22","431.46","432.85","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","257.76","0.38","0.0","0.0","3.77","0.38","1.44","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","257.76","0.37","0.0","0.0","3.58","0.37","1.32","0.0","0.0","0.0","0.0","22.92","21.6","454.45","227.22","431.53","432.85","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","257.76","0.36","0.0","0.0","3.76","0.36","1.34","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","257.76","0.35","0.0","0.0","3.65","0.35","1.26","0.0","0.0","0.0","0.0","22.86","21.6","454.45","227.22","431.59","432.85","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","257.76","0.34","0.0","0.0","3.74","0.34","1.25","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","257.76","0.33","0.0","0.0","4.02","0.33","1.31","0.0","0.0","0.0","0.0","22.91","21.6","454.45","227.22","431.54","432.85","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","257.76","0.32","0.0","0.0","4.17","0.32","1.32","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","257.76","0.3","0.0","0.0","5.61","0.3","1.7","0.0","0.0","0.0","0.0","23.3","21.6","454.45","227.22","431.14","432.85","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","257.76","0.29","0.0","0.0","4.91","0.29","1.45","0.0","0.0","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","257.76","0.29","0.0","0.0","4.31","0.29","1.24","0.0","0.0","0.0","0.0","22.84","21.6","454.45","227.22","431.61","432.85","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","257.76","0.28","0.0","0.0","3.47","0.28","0.98","0.01","0.01","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","257.76","0.28","0.0","0.0","1.5","0.28","0.42","2.32","2.32","0.0","0.0","19.7","21.6","454.45","227.22","434.75","432.85","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","257.76","1.13","0.0","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","13.25","21.6","454.45","227.22","441.2","432.85","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","257.76","1.11","0.0","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","16.41","21.6","454.45","227.22","438.04","432.85","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","257.76","0.91","0.0","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","19.58","21.6","454.45","227.22","434.87","432.85","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","257.76","0.75","0.0","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","22.75","21.6","454.45","227.22","431.7","432.85","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","257.76","0.65","0.0","0.0","4.05","0.65","2.64","0.48","0.48","0.0","0.0","21.6","21.6","454.45","227.22","432.85","432.85","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","257.76","0.57","0.55","0.0","5.4","0.57","3.05","0.0","0.0","0.0","0.0","24.65","101.81","454.45","227.22","429.8","352.64","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","257.76","0.51","0.56","0.0","5.38","0.56","3.0","0.0","0.0","0.0","0.0","27.65","101.81","454.45","227.22","426.8","352.64","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","257.76","0.47","0.57","0.0","4.72","0.57","2.67","0.0","0.0","0.0","0.0","30.33","101.81","454.45","227.22","424.12","352.64","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","257.76","0.43","0.57","0.0","5.09","0.57","2.92","0.0","0.0","0.0","0.0","33.25","101.81","454.45","227.22","421.2","352.64","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","257.76","0.41","0.58","0.0","4.97","0.58","2.89","0.0","0.0","0.0","0.0","36.14","101.81","454.45","227.22","418.31","352.64","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","257.76","0.38","0.59","0.0","5.11","0.59","3.02","0.0","0.0","0.0","0.0","39.16","101.81","454.45","227.22","415.29","352.64","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","257.76","0.37","0.6","0.0","3.83","0.6","2.29","0.0","0.0","0.0","0.0","41.45","101.81","454.45","227.22","413.0","352.64","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","257.76","0.36","0.61","0.0","2.88","0.61","1.75","0.12","0.12","0.0","0.0","43.08","101.81","454.45","227.22","411.37","352.64","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","257.76","0.35","0.61","0.0","3.96","0.61","2.43","2.58","2.58","0.0","0.0","42.93","101.81","454.45","227.22","411.52","352.64","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","257.76","0.34","0.62","0.0","4.41","0.62","2.75","0.0","0.0","0.0","0.0","45.68","101.81","454.45","227.22","408.77","352.64","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","257.76","0.32","0.63","0.0","5.39","0.63","3.4","0.0","0.0","0.0","0.0","49.08","101.81","454.45","227.22","405.37","352.64","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","257.76","0.31","0.64","0.0","4.64","0.64","2.96","0.0","0.0","0.0","0.0","52.04","101.81","454.45","227.22","402.41","352.64","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","257.76","0.3","0.65","0.0","3.84","0.65","2.48","0.0","0.0","0.0","0.0","54.52","101.81","454.45","227.22","399.93","352.64","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","257.76","0.29","0.65","0.0","5.73","0.65","3.75","3.95","3.95","0.0","0.0","54.33","101.81","454.45","227.22","400.12","352.64","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","257.76","0.28","0.66","0.0","5.1","0.66","3.38","0.0","0.0","0.0","0.0","57.71","101.81","454.45","227.22","396.74","352.64","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","257.76","0.27","0.67","0.0","7.38","0.67","4.95","0.0","0.0","0.0","0.0","62.66","101.81","454.45","227.22","391.79","352.64","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","257.76","0.26","0.68","0.0","5.87","0.68","3.99","0.0","0.0","0.0","0.0","66.64","101.81","454.45","227.22","387.81","352.64","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","257.76","0.26","0.69","0.0","5.3","0.69","3.64","0.0","0.0","0.0","0.0","70.29","101.81","454.45","227.22","384.16","352.64","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","257.76","0.25","0.7","0.0","4.33","0.7","3.01","0.0","0.0","0.0","0.0","73.3","101.81","454.45","227.22","381.15","352.64","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","257.76","0.25","0.7","0.0","4.83","0.7","3.4","0.0","0.0","0.0","0.0","76.69","101.81","454.45","227.22","377.76","352.64","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","257.76","0.24","0.71","0.0","2.3","0.71","1.64","0.02","0.02","0.0","0.0","78.31","101.81","454.45","227.22","376.14","352.64","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","257.76","0.24","0.72","0.0","2.1","0.72","1.51","0.13","0.13","0.0","0.0","79.69","101.81","454.45","227.22","374.76","352.64","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","257.76","0.24","0.73","0.0","2.06","0.73","1.5","1.36","1.36","0.0","0.0","79.83","101.81","454.45","227.22","374.62","352.64","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","257.76","0.24","0.74","0.0","3.2","0.74","2.35","2.24","2.24","0.0","0.0","79.94","101.81","454.45","227.22","374.51","352.64","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","257.76","0.23","0.74","0.0","4.63","0.74","3.44","0.0","0.0","0.0","0.0","83.38","101.81","454.45","227.22","371.07","352.64","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","257.76","0.23","0.75","0.0","5.64","0.75","4.24","0.0","0.0","0.0","0.0","87.62","101.81","454.45","227.22","366.83","352.64","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","257.76","0.22","0.76","0.0","5.95","0.76","4.52","0.0","0.0","0.0","0.0","92.14","101.81","454.45","227.22","362.31","352.64","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","257.76","0.22","0.77","0.0","5.92","0.77","4.55","0.0","0.0","0.0","0.0","96.69","101.81","454.45","227.22","357.76","352.64","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","257.76","0.21","0.78","0.0","5.56","0.78","4.31","0.0","0.0","0.0","0.0","101.0","101.81","454.45","227.22","353.45","352.64","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","257.76","0.21","0.78","0.0","5.05","0.78","3.96","0.0","0.0","0.0","0.0","0.0","101.81","454.45","227.22","454.45","352.64","104.96","","","","","","",""
"2016.0","5.0","15.0","136.0","257.76","0.21","0.79","0.0","5.51","0.79","4.36","0.0","0.0","0.0","0.0","4.36","101.81","454.45","227.22","450.09","352.64","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","257.76","0.2","0.8","0.0","6.55","0.8","5.24","0.0","0.0","0.0","0.0","9.6","101.81","454.45","227.22","444.85","352.64","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","257.76","0.2","0.81","0.0","7.65","0.81","6.18","0.0","0.0","0.0","0.0","15.79","101.81","454.45","227.22","438.66","352.64","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","257.76","0.19","0.82","0.0","7.01","0.82","5.72","0.0","0.0","0.0","0.0","21.51","101.81","454.45","227.22","432.94","352.64","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","257.76","0.19","0.82","0.0","6.2","0.82","5.11","0.0","0.0","0.0","0.0","26.62","101.81","454.45","227.22","427.83","352.64","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","257.76","0.19","0.83","0.0","4.88","0.83","4.06","0.0","0.0","0.0","0.0","30.68","101.81","454.45","227.22","423.77","352.64","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","257.76","0.19","0.84","0.0","4.07","0.84","3.42","0.51","0.51","0.0","0.0","33.59","101.81","454.45","227.22","420.86","352.64","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","257.76","0.18","0.85","0.0","4.31","0.85","3.66","0.2","0.2","0.0","0.0","37.04","101.81","454.45","227.22","417.41","352.64","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","257.76","0.18","0.86","0.0","4.77","0.86","4.09","0.0","0.0","0.0","0.0","41.13","101.81","454.45","227.22","413.32","352.64","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","257.76","0.18","0.86","0.0","4.82","0.86","4.17","0.0","0.0","0.0","0.0","45.3","101.81","454.45","227.22","409.15","352.64","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","257.76","0.18","0.87","0.0","5.25","0.87","4.58","0.0","0.0","0.0","0.0","49.88","101.81","454.45","227.22","404.57","352.64","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","257.76","0.18","0.88","0.0","5.68","0.88","5.0","0.0","0.0","0.0","0.0","54.88","101.81","454.45","227.22","399.57","352.64","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","257.76","0.17","0.89","0.0","5.98","0.89","5.31","0.0","0.0","0.0","0.0","60.19","101.81","454.45","227.22","394.26","352.64","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","257.76","0.17","0.9","0.0","6.9","0.9","6.19","0.0","0.0","0.0","0.0","66.38","101.81","454.45","227.22","388.07","352.64","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","257.76","0.17","0.9","0.0","6.43","0.9","5.82","0.0","0.0","0.0","0.0","72.2","101.81","454.45","227.22","382.25","352.64","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","257.76","0.17","0.91","0.0","6.72","0.91","6.13","0.0","0.0","0.0","0.0","78.33","101.81","454.45","227.22","376.11","352.64","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","257.76","0.16","0.92","0.0","7.04","0.92","6.48","0.0","0.0","0.0","0.0","84.82","101.81","454.45","227.22","369.63","352.64","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","257.76","0.16","0.93","0.0","7.1","0.93","6.6","0.0","0.0","0.0","0.0","91.41","101.81","454.45","227.22","363.04","352.64","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","257.76","0.16","0.94","0.0","6.77","0.94","6.34","0.0","0.0","0.0","0.0","97.76","101.81","454.45","227.22","356.69","352.64","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","257.76","0.16","0.95","0.0","7.21","0.95","6.81","0.0","0.0","0.0","0.0","0.0","101.81","454.45","227.22","454.45","352.64","104.57","","","","","","",""
"2016.0","6.0","4.0","156.0","257.76","0.16","0.95","0.0","4.79","0.95","4.57","0.0","0.0","0.0","0.0","4.57","101.81","454.45","227.22","449.88","352.64","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","257.76","0.15","0.96","0.0","7.5","0.96","7.21","0.0","0.0","0.0","0.0","11.78","101.81","454.45","227.22","442.67","352.64","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","257.76","0.15","0.97","0.0","7.01","0.97","6.8","0.0","0.0","0.0","0.0","18.57","101.81","454.45","227.22","435.88","352.64","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","257.76","0.15","0.98","0.0","6.63","0.98","6.48","0.0","0.0","0.0","0.0","25.05","101.81","454.45","227.22","429.4","352.64","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","257.76","0.15","0.99","0.0","6.37","0.99","6.28","0.0","0.0","0.0","0.0","31.33","101.81","454.45","227.22","423.12","352.64","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","257.76","0.15","0.99","0.0","6.1","0.99","6.06","0.0","0.0","0.0","0.0","37.39","101.81","454.45","227.22","417.06","352.64","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","257.76","0.15","1.0","0.0","6.5","1.0","6.51","0.0","0.0","0.0","0.0","43.9","101.81","454.45","227.22","410.55","352.64","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","257.76","0.14","1.01","0.0","6.86","1.01","6.93","0.0","0.0","0.0","0.0","50.83","101.81","454.45","227.22","403.62","352.64","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","257.76","0.14","1.02","0.0","6.89","1.02","7.01","0.0","0.0","0.0","0.0","57.84","101.81","454.45","227.22","396.61","352.64","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","257.76","0.14","1.03","0.0","6.55","1.03","6.72","0.0","0.0","0.0","0.0","64.56","101.81","454.45","227.22","389.89","352.64","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","257.76","0.14","1.03","0.0","6.15","1.03","6.36","0.0","0.0","0.0","0.0","70.92","101.81","454.45","227.22","383.53","352.64","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","257.76","0.14","1.04","0.0","5.14","1.04","5.36","0.0","0.0","0.0","0.0","76.27","101.81","454.45","227.22","378.18","352.64","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","257.76","0.14","1.05","0.0","5.15","1.05","5.41","0.0","0.0","0.0","0.0","81.68","101.81","454.45","227.22","372.77","352.64","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","257.76","0.14","1.05","0.0","4.72","1.05","4.96","0.0","0.0","0.0","0.0","86.63","101.81","454.45","227.22","367.81","352.64","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","257.76","0.14","1.05","0.0","6.09","1.05","6.39","0.0","0.0","0.0","0.0","93.03","101.81","454.45","227.22","361.42","352.64","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","257.76","0.13","1.05","0.0","6.76","1.05","7.1","0.0","0.0","0.0","0.0","100.13","101.81","454.45","227.22","354.32","352.64","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","257.76","0.13","1.05","0.0","7.29","1.05","7.65","0.0","0.0","0.0","0.0","0.0","101.81","454.45","227.22","454.45","352.64","107.78","","","","","","",""
"2016.0","6.0","21.0","173.0","257.76","0.13","1.05","0.0","7.6","1.05","7.98","0.0","0.0","0.0","0.0","7.98","101.81","454.45","227.22","446.47","352.64","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","257.76","0.13","1.05","0.0","7.59","1.05","7.97","0.0","0.0","0.0","0.0","15.95","101.81","454.45","227.22","438.5","352.64","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","257.76","0.13","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","23.88","101.81","454.45","227.22","430.57","352.64","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","257.76","0.13","1.05","0.0","6.9","1.05","7.25","0.0","0.0","0.0","0.0","31.12","101.81","454.45","227.22","423.33","352.64","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","257.76","0.13","1.05","0.0","7.71","1.05","8.1","0.0","0.0","0.0","0.0","39.22","101.81","454.45","227.22","415.23","352.64","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","257.76","0.13","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","47.15","101.81","454.45","227.22","407.3","352.64","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","257.76","0.12","1.05","0.0","7.98","1.05","8.38","0.0","0.0","0.0","0.0","55.52","101.81","454.45","227.22","398.93","352.64","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","257.76","0.12","1.05","0.0","7.97","1.05","8.37","0.0","0.0","0.0","0.0","63.89","101.81","454.45","227.22","390.56","352.64","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","257.76","0.12","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","71.52","101.81","454.45","227.22","382.93","352.64","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","257.76","0.12","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","79.14","101.81","454.45","227.22","375.31","352.64","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","257.76","0.12","1.05","0.0","7.09","1.05","7.44","0.0","0.0","0.0","0.0","86.58","101.81","454.45","227.22","367.87","352.64","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","257.76","0.12","1.05","0.0","7.02","1.05","7.37","0.0","0.0","0.0","0.0","93.95","101.81","454.45","227.22","360.5","352.64","0.0","","","","","","",""
