" Daily soil water balance output for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","13.12","0.54","0.7","0.0","2.3","0.7","1.61","0.0","0.0","0.0","0.0","22.23","78.07","351.13","175.56","328.9","273.06","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","13.12","0.51","0.7","0.0","3.12","0.7","2.18","0.0","0.0","0.0","0.0","24.41","78.07","351.13","175.56","326.71","273.06","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","13.12","0.49","0.7","0.0","2.59","0.7","1.81","0.0","0.0","0.0","0.0","26.23","78.07","351.13","175.56","324.9","273.06","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","13.12","0.47","0.7","0.0","2.08","0.7","1.46","0.0","0.0","0.0","0.0","27.68","78.07","351.13","175.56","323.45","273.06","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","13.12","0.46","0.7","0.0","2.57","0.7","1.8","0.01","0.01","0.0","0.0","29.47","78.07","351.13","175.56","321.66","273.06","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","13.12","1.15","0.7","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","20.95","78.07","351.13","175.56","330.18","273.06","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","13.12","1.16","0.7","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","19.24","78.07","351.13","175.56","331.89","273.06","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","13.12","1.15","0.7","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","21.24","78.07","351.13","175.56","329.89","273.06","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","13.12","1.15","0.7","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","23.48","78.07","351.13","175.56","327.65","273.06","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","13.12","0.98","0.7","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","26.13","78.07","351.13","175.56","325.0","273.06","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","13.12","0.86","0.7","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","28.19","78.07","351.13","175.56","322.94","273.06","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","13.12","0.78","0.7","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","29.92","78.07","351.13","175.56","321.21","273.06","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","13.12","0.72","0.7","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","31.58","78.07","351.13","175.56","319.55","273.06","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","13.12","0.67","0.7","0.0","2.34","0.7","1.64","0.0","0.0","0.0","0.0","33.22","78.07","351.13","175.56","317.91","273.06","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","13.12","0.63","0.7","0.0","2.18","0.7","1.53","0.0","0.0","0.0","0.0","34.74","78.07","351.13","175.56","316.38","273.06","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","13.12","0.6","0.7","0.0","2.07","0.7","1.45","0.0","0.0","0.0","0.0","36.19","78.07","351.13","175.56","314.94","273.06","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","13.12","0.56","0.7","0.0","2.62","0.7","1.83","0.0","0.0","0.0","0.0","38.03","78.07","351.13","175.56","313.1","273.06","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","13.12","0.53","0.7","0.0","2.94","0.7","2.06","0.0","0.0","0.0","0.0","40.09","78.07","351.13","175.56","311.04","273.06","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","13.12","0.51","0.7","0.0","2.57","0.7","1.8","0.0","0.0","0.0","0.0","41.88","78.07","351.13","175.56","309.24","273.06","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","13.12","0.49","0.7","0.0","1.76","0.7","1.23","0.0","0.0","0.0","0.0","43.12","78.07","351.13","175.56","308.01","273.06","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","13.12","0.48","0.7","0.0","1.47","0.7","1.03","0.08","0.08","0.0","0.0","44.07","78.07","351.13","175.56","307.06","273.06","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","13.12","1.17","0.7","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","32.09","78.07","351.13","175.56","319.04","273.06","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","13.12","1.13","0.7","0.0","2.19","1.13","2.48","48.26","34.57","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","13.12","1.16","0.7","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","13.12","1.15","0.7","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","78.07","351.13","175.56","350.61","273.06","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","13.12","1.15","0.7","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","78.07","351.13","175.56","348.55","273.06","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","13.12","1.09","0.7","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","78.07","351.13","175.56","347.08","273.06","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","13.12","1.16","0.7","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","13.12","1.16","0.7","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","13.12","1.17","0.7","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","13.12","1.12","0.7","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","13.12","1.11","0.7","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","78.07","351.13","175.56","347.77","273.06","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","13.12","0.93","0.7","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","78.07","351.13","175.56","344.9","273.06","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","13.12","0.79","0.7","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","78.07","351.13","175.56","342.41","273.06","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","13.12","0.71","0.7","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","78.07","351.13","175.56","340.21","273.06","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","13.12","0.64","0.7","0.0","3.11","0.7","2.18","0.0","0.0","0.0","0.0","13.1","78.07","351.13","175.56","338.03","273.06","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","13.12","0.61","0.7","0.0","2.14","0.7","1.5","0.0","0.0","0.0","0.0","14.59","78.07","351.13","175.56","336.54","273.06","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","13.12","0.58","0.7","0.0","2.2","0.7","1.54","1.3","1.3","0.0","0.0","14.83","78.07","351.13","175.56","336.3","273.06","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","13.12","0.54","0.7","0.0","2.94","0.7","2.06","0.94","0.94","0.0","0.0","15.95","78.07","351.13","175.56","335.18","273.06","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","13.12","0.51","0.7","0.0","3.34","0.7","2.34","0.0","0.0","0.0","0.0","18.29","78.07","351.13","175.56","332.84","273.06","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","13.12","0.48","0.7","0.0","3.19","0.7","2.23","0.0","0.0","0.0","0.0","20.52","78.07","351.13","175.56","330.61","273.06","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","13.12","0.46","0.7","0.0","3.68","0.7","2.58","0.0","0.0","0.0","0.0","23.1","78.07","351.13","175.56","328.03","273.06","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","13.12","0.43","0.7","0.0","4.39","0.7","3.07","0.0","0.0","0.0","0.0","26.17","78.07","351.13","175.56","324.96","273.06","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","13.12","0.41","0.7","0.0","3.47","0.7","2.43","0.0","0.0","0.0","0.0","28.6","78.07","351.13","175.56","322.53","273.06","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","13.12","0.4","0.7","0.0","3.49","0.7","2.44","0.0","0.0","0.0","0.0","31.04","78.07","351.13","175.56","320.09","273.06","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","13.12","0.38","0.7","0.0","3.77","0.7","2.64","0.0","0.0","0.0","0.0","33.68","78.07","351.13","175.56","317.45","273.06","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","13.12","0.37","0.7","0.0","3.58","0.7","2.51","0.0","0.0","0.0","0.0","36.19","78.07","351.13","175.56","314.94","273.06","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","13.12","0.36","0.7","0.0","3.76","0.7","2.63","0.0","0.0","0.0","0.0","38.82","78.07","351.13","175.56","312.31","273.06","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","13.12","0.35","0.7","0.0","3.65","0.7","2.56","0.0","0.0","0.0","0.0","41.38","78.07","351.13","175.56","309.75","273.06","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","13.12","0.34","0.7","0.0","3.74","0.7","2.62","0.0","0.0","0.0","0.0","43.99","78.07","351.13","175.56","307.14","273.06","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","13.12","0.33","0.7","0.0","4.02","0.7","2.81","0.0","0.0","0.0","0.0","46.81","78.07","351.13","175.56","304.32","273.06","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","13.12","0.32","0.7","0.0","4.17","0.7","2.92","0.0","0.0","0.0","0.0","49.73","78.07","351.13","175.56","301.4","273.06","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","13.12","0.3","0.7","0.0","5.61","0.7","3.93","0.0","0.0","0.0","0.0","53.65","78.07","351.13","175.56","297.48","273.06","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","13.12","0.29","0.7","0.0","4.91","0.7","3.44","0.0","0.0","0.0","0.0","57.09","78.07","351.13","175.56","294.04","273.06","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","13.12","0.29","0.7","0.0","4.31","0.7","3.02","0.0","0.0","0.0","0.0","60.11","78.07","351.13","175.56","291.02","273.06","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","13.12","0.28","0.7","0.0","3.47","0.7","2.43","0.01","0.01","0.0","0.0","62.53","78.07","351.13","175.56","288.6","273.06","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","13.12","0.28","0.7","0.0","1.5","0.7","1.05","2.32","2.32","0.0","0.0","61.26","78.07","351.13","175.56","289.87","273.06","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","13.12","1.13","0.7","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","54.81","78.07","351.13","175.56","296.32","273.06","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","13.12","1.11","0.7","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","57.97","78.07","351.13","175.56","293.16","273.06","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","13.12","0.91","0.7","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","61.14","78.07","351.13","175.56","289.99","273.06","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","13.12","0.75","0.7","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","64.31","78.07","351.13","175.56","286.82","273.06","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","13.12","0.65","0.7","0.0","4.05","0.7","2.84","0.48","0.48","0.0","0.0","66.67","78.07","351.13","175.56","284.46","273.06","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","13.12","0.57","0.7","0.0","5.4","0.7","3.78","0.0","0.0","0.0","0.0","70.45","78.07","351.13","175.56","280.68","273.06","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","13.12","0.51","0.7","0.0","5.38","0.7","3.77","0.0","0.0","0.0","0.0","74.21","78.07","351.13","175.56","276.92","273.06","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","13.12","0.47","0.7","0.0","4.72","0.7","3.3","0.0","0.0","0.0","0.0","77.52","78.07","351.13","175.56","273.61","273.06","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","13.12","0.43","0.7","0.0","5.09","0.7","3.56","0.0","0.0","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","81.08","","","","","","",""
"2016.0","4.0","19.0","110.0","13.12","0.41","0.7","0.0","4.97","0.7","3.48","0.0","0.0","0.0","0.0","3.48","78.07","351.13","175.56","347.65","273.06","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","13.12","0.38","0.7","0.0","5.11","0.7","3.58","0.0","0.0","0.0","0.0","7.06","78.07","351.13","175.56","344.07","273.06","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","13.12","0.37","0.7","0.0","3.83","0.7","2.68","0.0","0.0","0.0","0.0","9.74","78.07","351.13","175.56","341.39","273.06","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","13.12","0.36","0.7","0.0","2.88","0.7","2.02","0.12","0.12","0.0","0.0","11.63","78.07","351.13","175.56","339.5","273.06","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","13.12","0.35","0.7","0.0","3.96","0.7","2.77","2.58","2.58","0.0","0.0","11.83","78.07","351.13","175.56","339.3","273.06","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","13.12","0.34","0.7","0.0","4.41","0.7","3.09","0.0","0.0","0.0","0.0","14.91","78.07","351.13","175.56","336.22","273.06","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","13.12","0.32","0.7","0.0","5.39","0.7","3.77","0.0","0.0","0.0","0.0","18.69","78.07","351.13","175.56","332.44","273.06","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","13.12","0.31","0.7","0.0","4.64","0.7","3.25","0.0","0.0","0.0","0.0","21.93","78.07","351.13","175.56","329.2","273.06","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","13.12","0.3","0.7","0.0","3.84","0.7","2.69","0.0","0.0","0.0","0.0","24.62","78.07","351.13","175.56","326.51","273.06","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","13.12","0.29","0.7","0.0","5.73","0.7","4.01","3.95","3.95","0.0","0.0","24.68","78.07","351.13","175.56","326.45","273.06","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","13.12","0.28","0.7","0.0","5.1","0.7","3.57","0.0","0.0","0.0","0.0","28.25","78.07","351.13","175.56","322.88","273.06","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","13.12","0.27","0.7","0.0","7.38","0.7","5.17","0.0","0.0","0.0","0.0","33.42","78.07","351.13","175.56","317.71","273.06","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","13.12","0.26","0.7","0.0","5.87","0.7","4.11","0.0","0.0","0.0","0.0","37.53","78.07","351.13","175.56","313.6","273.06","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","13.12","0.26","0.7","0.0","5.3","0.7","3.71","0.0","0.0","0.0","0.0","41.24","78.07","351.13","175.56","309.89","273.06","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","13.12","0.25","0.7","0.0","4.33","0.7","3.03","0.0","0.0","0.0","0.0","44.27","78.07","351.13","175.56","306.86","273.06","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","13.12","0.25","0.7","0.0","4.83","0.7","3.38","0.0","0.0","0.0","0.0","47.65","78.07","351.13","175.56","303.48","273.06","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","13.12","0.24","0.7","0.0","2.3","0.7","1.61","0.02","0.02","0.0","0.0","49.24","78.07","351.13","175.56","301.89","273.06","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","13.12","0.24","0.7","0.0","2.1","0.7","1.47","0.13","0.13","0.0","0.0","50.58","78.07","351.13","175.56","300.55","273.06","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","13.12","0.24","0.7","0.0","2.06","0.7","1.44","1.36","1.36","0.0","0.0","50.66","78.07","351.13","175.56","300.47","273.06","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","13.12","0.24","0.7","0.0","3.2","0.7","2.24","2.24","2.24","0.0","0.0","50.66","78.07","351.13","175.56","300.47","273.06","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","13.12","0.23","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","53.9","78.07","351.13","175.56","297.23","273.06","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","13.12","0.23","0.7","0.0","5.64","0.7","3.95","0.0","0.0","0.0","0.0","57.85","78.07","351.13","175.56","293.28","273.06","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","13.12","0.22","0.7","0.0","5.95","0.7","4.17","0.0","0.0","0.0","0.0","62.02","78.07","351.13","175.56","289.11","273.06","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","13.12","0.22","0.7","0.0","5.92","0.7","4.14","0.0","0.0","0.0","0.0","66.16","78.07","351.13","175.56","284.97","273.06","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","13.12","0.21","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","70.05","78.07","351.13","175.56","281.08","273.06","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","13.12","0.21","0.7","0.0","5.05","0.7","3.54","0.0","0.0","0.0","0.0","73.59","78.07","351.13","175.56","277.54","273.06","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","13.12","0.21","0.7","0.0","5.51","0.7","3.86","0.0","0.0","0.0","0.0","77.44","78.07","351.13","175.56","273.69","273.06","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","13.12","0.2","0.7","0.0","6.55","0.7","4.59","0.0","0.0","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","82.03","","","","","","",""
"2016.0","5.0","17.0","138.0","13.12","0.2","0.7","0.0","7.65","0.7","5.36","0.0","0.0","0.0","0.0","5.36","78.07","351.13","175.56","345.77","273.06","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","13.12","0.19","0.7","0.0","7.01","0.7","4.91","0.0","0.0","0.0","0.0","10.26","78.07","351.13","175.56","340.87","273.06","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","13.12","0.19","0.7","0.0","6.2","0.7","4.34","0.0","0.0","0.0","0.0","14.6","78.07","351.13","175.56","336.53","273.06","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","13.12","0.19","0.7","0.0","4.88","0.7","3.42","0.0","0.0","0.0","0.0","18.02","78.07","351.13","175.56","333.11","273.06","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","13.12","0.19","0.7","0.0","4.07","0.7","2.85","0.51","0.51","0.0","0.0","20.36","78.07","351.13","175.56","330.77","273.06","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","13.12","0.18","0.7","0.0","4.31","0.7","3.02","0.2","0.2","0.0","0.0","23.17","78.07","351.13","175.56","327.96","273.06","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","13.12","0.18","0.7","0.0","4.77","0.7","3.34","0.0","0.0","0.0","0.0","26.51","78.07","351.13","175.56","324.62","273.06","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","13.12","0.18","0.7","0.0","4.82","0.7","3.37","0.0","0.0","0.0","0.0","29.89","78.07","351.13","175.56","321.24","273.06","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","13.12","0.18","0.7","0.0","5.25","0.7","3.68","0.0","0.0","0.0","0.0","33.56","78.07","351.13","175.56","317.57","273.06","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","13.12","0.18","0.7","0.0","5.68","0.7","3.98","0.0","0.0","0.0","0.0","37.54","78.07","351.13","175.56","313.59","273.06","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","13.12","0.17","0.7","0.0","5.98","0.7","4.19","0.0","0.0","0.0","0.0","41.72","78.07","351.13","175.56","309.41","273.06","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","13.12","0.17","0.7","0.0","6.9","0.7","4.83","0.0","0.0","0.0","0.0","46.55","78.07","351.13","175.56","304.58","273.06","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","13.12","0.17","0.7","0.0","6.43","0.7","4.5","0.0","0.0","0.0","0.0","51.06","78.07","351.13","175.56","300.07","273.06","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","13.12","0.17","0.7","0.0","6.72","0.7","4.7","0.0","0.0","0.0","0.0","55.76","78.07","351.13","175.56","295.37","273.06","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","13.12","0.16","0.7","0.0","7.04","0.7","4.93","0.0","0.0","0.0","0.0","60.69","78.07","351.13","175.56","290.44","273.06","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","13.12","0.16","0.7","0.0","7.1","0.7","4.97","0.0","0.0","0.0","0.0","65.66","78.07","351.13","175.56","285.47","273.06","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","13.12","0.16","0.7","0.0","6.77","0.7","4.74","0.0","0.0","0.0","0.0","70.4","78.07","351.13","175.56","280.73","273.06","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","13.12","0.16","0.7","0.0","7.21","0.7","5.05","0.0","0.0","0.0","0.0","75.44","78.07","351.13","175.56","275.69","273.06","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","13.12","0.16","0.7","0.0","4.79","0.7","3.35","0.0","0.0","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","78.8","","","","","","",""
"2016.0","6.0","5.0","157.0","13.12","0.15","0.7","0.0","7.5","0.7","5.25","0.0","0.0","0.0","0.0","5.25","78.07","351.13","175.56","345.88","273.06","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","13.12","0.15","0.7","0.0","7.01","0.7","4.91","0.0","0.0","0.0","0.0","10.16","78.07","351.13","175.56","340.97","273.06","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","13.12","0.15","0.7","0.0","6.63","0.7","4.64","0.0","0.0","0.0","0.0","14.8","78.07","351.13","175.56","336.33","273.06","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","13.12","0.15","0.7","0.0","6.37","0.7","4.46","0.0","0.0","0.0","0.0","19.26","78.07","351.13","175.56","331.87","273.06","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","13.12","0.15","0.7","0.0","6.1","0.7","4.27","0.0","0.0","0.0","0.0","23.53","78.07","351.13","175.56","327.6","273.06","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","13.12","0.15","0.7","0.0","6.5","0.7","4.55","0.0","0.0","0.0","0.0","28.08","78.07","351.13","175.56","323.05","273.06","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","13.12","0.14","0.7","0.0","6.86","0.7","4.8","0.0","0.0","0.0","0.0","32.88","78.07","351.13","175.56","318.25","273.06","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","13.12","0.14","0.7","0.0","6.89","0.7","4.82","0.0","0.0","0.0","0.0","37.7","78.07","351.13","175.56","313.43","273.06","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","13.12","0.14","0.7","0.0","6.55","0.7","4.59","0.0","0.0","0.0","0.0","42.29","78.07","351.13","175.56","308.84","273.06","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","13.12","0.14","0.7","0.0","6.15","0.7","4.31","0.0","0.0","0.0","0.0","46.59","78.07","351.13","175.56","304.54","273.06","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","13.12","0.14","0.7","0.0","5.14","0.7","3.6","0.0","0.0","0.0","0.0","50.19","78.07","351.13","175.56","300.94","273.06","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","13.12","0.14","0.7","0.0","5.15","0.7","3.61","0.0","0.0","0.0","0.0","53.8","78.07","351.13","175.56","297.33","273.06","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","13.12","0.14","0.7","0.0","4.72","0.7","3.3","0.0","0.0","0.0","0.0","57.1","78.07","351.13","175.56","294.03","273.06","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","13.12","0.14","0.7","0.0","6.09","0.7","4.26","0.0","0.0","0.0","0.0","61.36","78.07","351.13","175.56","289.77","273.06","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","13.12","0.13","0.7","0.0","6.76","0.7","4.73","0.0","0.0","0.0","0.0","66.09","78.07","351.13","175.56","285.04","273.06","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","13.12","0.13","0.7","0.0","7.29","0.7","5.1","0.0","0.0","0.0","0.0","71.2","78.07","351.13","175.56","279.93","273.06","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","13.12","0.13","0.7","0.0","7.6","0.7","5.32","0.0","0.0","0.0","0.0","76.52","78.07","351.13","175.56","274.61","273.06","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","13.12","0.13","0.7","0.0","7.59","0.7","5.31","0.0","0.0","0.0","0.0","0.0","78.07","351.13","175.56","351.13","273.06","81.83","","","","","","",""
"2016.0","6.0","23.0","175.0","13.12","0.13","0.7","0.0","7.55","0.7","5.29","0.0","0.0","0.0","0.0","5.29","78.07","351.13","175.56","345.84","273.06","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","13.12","0.13","0.7","0.0","6.9","0.7","4.83","0.0","0.0","0.0","0.0","10.12","78.07","351.13","175.56","341.01","273.06","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","13.12","0.13","0.7","0.0","7.71","0.7","5.4","0.0","0.0","0.0","0.0","15.51","78.07","351.13","175.56","335.62","273.06","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","13.12","0.13","0.7","0.0","7.55","0.7","5.29","0.0","0.0","0.0","0.0","20.8","78.07","351.13","175.56","330.33","273.06","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","13.12","0.12","0.7","0.0","7.98","0.7","5.59","0.0","0.0","0.0","0.0","26.38","78.07","351.13","175.56","324.75","273.06","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","13.12","0.12","0.7","0.0","7.97","0.7","5.58","0.0","0.0","0.0","0.0","31.96","78.07","351.13","175.56","319.17","273.06","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","13.12","0.12","0.7","0.0","7.26","0.7","5.08","0.0","0.0","0.0","0.0","37.04","78.07","351.13","175.56","314.09","273.06","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","13.12","0.12","0.7","0.0","7.26","0.7","5.08","0.0","0.0","0.0","0.0","42.13","78.07","351.13","175.56","309.0","273.06","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","13.12","0.12","0.7","0.0","7.09","0.7","4.96","0.0","0.0","0.0","0.0","47.09","78.07","351.13","175.56","304.04","273.06","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","13.12","0.12","0.7","0.0","7.02","0.7","4.91","0.0","0.0","0.0","0.0","52.0","78.07","351.13","175.56","299.13","273.06","0.0","","","","","","",""
