" Daily soil water balance output for Tomato in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","1807.62","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","28.5","347.32","173.66","329.11","318.82","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1807.62","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","28.5","347.32","173.66","327.85","318.82","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1807.62","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","28.5","347.32","173.66","326.27","318.82","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1807.62","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","28.5","347.32","173.66","325.04","318.82","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1807.62","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","28.5","347.32","173.66","324.04","318.82","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1807.62","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","28.5","347.32","173.66","323.23","318.82","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1807.62","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","28.5","347.32","173.66","333.82","318.82","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1807.62","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","28.5","347.32","173.66","336.19","318.82","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1807.62","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","28.5","347.32","173.66","334.12","318.82","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1807.62","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","28.5","347.32","173.66","331.84","318.82","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1807.62","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","28.5","347.32","173.66","329.21","318.82","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1807.62","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","28.5","347.32","173.66","327.14","318.82","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1807.62","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","28.5","347.32","173.66","325.41","318.82","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1807.62","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","28.5","347.32","173.66","323.74","318.82","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1807.62","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","28.5","347.32","173.66","322.17","318.82","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1807.62","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","28.5","347.32","173.66","320.77","318.82","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1807.62","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","27.79","28.5","347.32","173.66","319.53","318.82","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1807.62","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","29.28","28.5","347.32","173.66","318.04","318.82","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1807.62","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1807.62","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","29.82","28.5","347.32","173.66","317.5","318.82","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1807.62","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1807.62","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","28.95","28.5","347.32","173.66","318.37","318.82","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1807.62","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","15.47","28.5","347.32","173.66","331.85","318.82","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1807.62","1.13","0.0","0.0","2.16","1.13","2.45","33.53","17.92","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1807.62","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1807.62","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1807.62","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","28.5","347.32","173.66","345.24","318.82","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1807.62","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","28.5","347.32","173.66","343.98","318.82","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1807.62","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1807.62","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1807.62","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1807.62","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","28.5","347.32","173.66","347.32","318.82","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1807.62","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","28.5","347.32","173.66","343.94","318.82","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1807.62","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","28.5","347.32","173.66","341.06","318.82","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1807.62","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","28.5","347.32","173.66","338.56","318.82","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1807.62","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","28.5","347.32","173.66","336.34","318.82","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1807.62","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","28.5","347.32","173.66","334.33","318.82","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1807.62","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","28.5","347.32","173.66","332.95","318.82","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1807.62","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","28.5","347.32","173.66","333.73","318.82","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1807.62","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","28.5","347.32","173.66","332.88","318.82","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1807.62","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","28.5","347.32","173.66","331.18","318.82","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1807.62","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","28.5","347.32","173.66","329.63","318.82","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1807.62","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","28.5","347.32","173.66","327.96","318.82","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1807.62","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","28.5","347.32","173.66","326.09","318.82","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1807.62","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","28.5","347.32","173.66","324.65","318.82","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1807.62","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","28.5","347.32","173.66","323.28","318.82","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1807.62","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","25.48","28.5","347.32","173.66","321.84","318.82","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1807.62","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","26.8","28.5","347.32","173.66","320.52","318.82","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1807.62","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","28.14","28.5","347.32","173.66","319.18","318.82","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1807.62","0.34","0.2","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","29.41","74.85","347.32","173.66","317.91","272.47","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1807.62","0.33","0.2","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","30.66","74.85","347.32","173.66","316.66","272.47","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1807.62","0.32","0.2","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","31.98","74.85","347.32","173.66","315.34","272.47","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1807.62","0.31","0.2","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","33.31","74.85","347.32","173.66","314.01","272.47","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1807.62","0.3","0.2","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","35.0","74.85","347.32","173.66","312.32","272.47","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1807.62","0.29","0.2","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","36.43","74.85","347.32","173.66","310.89","272.47","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1807.62","0.29","0.2","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","37.68","74.85","347.32","173.66","309.64","272.47","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1807.62","0.28","0.2","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","38.43","74.85","347.32","173.66","308.89","272.47","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1807.62","1.16","0.2","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","36.47","74.85","347.32","173.66","310.85","272.47","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1807.62","1.13","0.2","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","24.8","74.85","347.32","173.66","322.52","272.47","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1807.62","1.11","0.2","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","27.56","74.85","347.32","173.66","319.76","272.47","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1807.62","0.91","0.2","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","30.78","74.85","347.32","173.66","316.54","272.47","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1807.62","0.75","0.2","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","33.94","74.85","347.32","173.66","313.38","272.47","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1807.62","0.65","0.2","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","35.58","74.85","347.32","173.66","311.74","272.47","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1807.62","0.56","0.2","0.0","5.43","0.56","3.06","0.0","0.0","0.0","0.0","38.64","74.85","347.32","173.66","308.68","272.47","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1807.62","0.5","0.2","0.0","5.34","0.5","2.7","0.0","0.0","0.0","0.0","41.33","74.85","347.32","173.66","305.99","272.47","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1807.62","0.47","0.2","0.0","4.76","0.47","2.22","0.0","0.0","0.0","0.0","43.55","74.85","347.32","173.66","303.77","272.47","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1807.62","0.43","0.2","0.0","5.12","0.43","2.21","0.0","0.0","0.0","0.0","45.77","74.85","347.32","173.66","301.55","272.47","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1807.62","0.41","0.2","0.0","4.98","0.41","2.02","0.0","0.0","0.0","0.0","47.79","74.85","347.32","173.66","299.53","272.47","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1807.62","0.38","0.2","0.0","5.18","0.38","1.98","0.0","0.0","0.0","0.0","49.77","74.85","347.32","173.66","297.55","272.47","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1807.62","0.37","0.2","0.0","3.85","0.37","1.42","0.0","0.0","0.0","0.0","51.19","74.85","347.32","173.66","296.13","272.47","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1807.62","0.36","0.2","0.0","2.79","0.36","1.0","0.11","0.11","0.0","0.0","52.09","74.85","347.32","173.66","295.23","272.47","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1807.62","1.06","0.2","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","51.19","74.85","347.32","173.66","296.13","272.47","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1807.62","0.91","0.2","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","55.33","74.85","347.32","173.66","291.99","272.47","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1807.62","0.71","0.2","0.0","5.38","0.71","3.81","0.0","0.0","0.0","0.0","59.13","74.85","347.32","173.66","288.19","272.47","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1807.62","0.61","0.2","0.0","4.67","0.61","2.86","0.0","0.0","0.0","0.0","61.99","74.85","347.32","173.66","285.33","272.47","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1807.62","0.56","0.2","0.0","3.74","0.56","2.1","0.0","0.0","0.0","0.0","64.09","74.85","347.32","173.66","283.23","272.47","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1807.62","0.99","0.2","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","64.98","74.85","347.32","173.66","282.34","272.47","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1807.62","0.79","0.2","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","69.01","74.85","347.32","173.66","278.31","272.47","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1807.62","0.6","0.2","0.0","7.38","0.6","4.44","0.0","0.0","0.0","0.0","73.45","74.85","347.32","173.66","273.87","272.47","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1807.62","0.52","0.2","0.0","5.86","0.52","3.07","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","76.53","","","","","","",""
"2016.0","5.0","2.0","123.0","1807.62","0.48","0.2","0.0","5.39","0.48","2.56","0.0","0.0","0.0","0.0","2.56","74.85","347.32","173.66","344.76","272.47","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1807.62","0.44","0.2","0.0","4.49","0.44","2.0","0.0","0.0","0.0","0.0","4.56","74.85","347.32","173.66","342.76","272.47","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1807.62","0.42","0.2","0.0","4.86","0.42","2.03","0.0","0.0","0.0","0.0","6.58","74.85","347.32","173.66","340.74","272.47","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1807.62","0.41","0.2","0.0","2.44","0.41","0.99","0.08","0.08","0.0","0.0","7.5","74.85","347.32","173.66","339.82","272.47","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1807.62","0.4","0.2","0.0","2.03","0.4","0.81","0.13","0.13","0.0","0.0","8.18","74.85","347.32","173.66","339.14","272.47","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1807.62","0.39","0.2","0.0","2.18","0.39","0.86","3.39","3.39","0.0","0.0","5.65","74.85","347.32","173.66","341.67","272.47","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1807.62","0.38","0.2","0.0","3.23","0.38","1.23","1.22","1.22","0.0","0.0","5.66","74.85","347.32","173.66","341.66","272.47","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1807.62","0.36","0.2","0.0","4.65","0.36","1.69","0.0","0.0","0.0","0.0","7.34","74.85","347.32","173.66","339.98","272.47","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1807.62","0.34","0.22","0.0","5.68","0.34","1.96","0.0","0.0","0.0","0.0","9.3","74.85","347.32","173.66","338.02","272.47","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1807.62","0.33","0.25","0.0","6.03","0.33","1.98","0.0","0.0","0.0","0.0","11.28","74.85","347.32","173.66","336.04","272.47","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","1807.62","0.31","0.27","0.0","6.07","0.31","1.9","0.0","0.0","0.0","0.0","13.18","74.85","347.32","173.66","334.14","272.47","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1807.62","0.3","0.29","0.0","5.63","0.3","1.69","0.0","0.0","0.0","0.0","14.87","74.85","347.32","173.66","332.45","272.47","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1807.62","0.29","0.32","0.0","5.14","0.32","1.64","0.0","0.0","0.0","0.0","16.51","74.85","347.32","173.66","330.81","272.47","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","1807.62","0.28","0.34","0.0","5.57","0.34","1.91","0.0","0.0","0.0","0.0","18.42","74.85","347.32","173.66","328.9","272.47","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1807.62","0.27","0.37","0.0","6.62","0.37","2.42","0.0","0.0","0.0","0.0","20.84","74.85","347.32","173.66","326.48","272.47","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1807.62","0.26","0.39","0.0","7.71","0.39","3.0","0.0","0.0","0.0","0.0","23.84","74.85","347.32","173.66","323.48","272.47","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1807.62","0.25","0.41","0.0","7.08","0.41","2.93","0.0","0.0","0.0","0.0","26.76","74.85","347.32","173.66","320.56","272.47","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1807.62","0.24","0.44","0.0","6.3","0.44","2.75","0.0","0.0","0.0","0.0","29.52","74.85","347.32","173.66","317.8","272.47","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1807.62","0.24","0.46","0.0","4.85","0.46","2.23","0.0","0.0","0.0","0.0","31.75","74.85","347.32","173.66","315.57","272.47","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1807.62","0.24","0.48","0.0","3.73","0.48","1.81","0.32","0.32","0.0","0.0","33.24","74.85","347.32","173.66","314.08","272.47","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1807.62","0.23","0.51","0.0","4.28","0.51","2.17","0.26","0.26","0.0","0.0","35.15","74.85","347.32","173.66","312.17","272.47","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1807.62","0.23","0.53","0.0","4.84","0.53","2.57","0.0","0.0","0.0","0.0","37.72","74.85","347.32","173.66","309.6","272.47","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1807.62","0.22","0.56","0.0","4.85","0.56","2.69","0.0","0.0","0.0","0.0","40.42","74.85","347.32","173.66","306.9","272.47","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1807.62","0.22","0.58","0.0","5.31","0.58","3.07","0.0","0.0","0.0","0.0","43.49","74.85","347.32","173.66","303.83","272.47","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1807.62","0.21","0.6","0.0","5.74","0.6","3.46","0.0","0.0","0.0","0.0","46.95","74.85","347.32","173.66","300.37","272.47","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1807.62","0.21","0.63","0.0","6.05","0.63","3.79","0.0","0.0","0.0","0.0","50.74","74.85","347.32","173.66","296.58","272.47","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","1807.62","0.21","0.65","0.0","6.96","0.65","4.52","0.0","0.0","0.0","0.0","55.26","74.85","347.32","173.66","292.06","272.47","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1807.62","0.2","0.67","0.0","6.57","0.67","4.43","0.0","0.0","0.0","0.0","59.69","74.85","347.32","173.66","287.63","272.47","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1807.62","0.2","0.7","0.0","6.83","0.7","4.76","0.0","0.0","0.0","0.0","64.45","74.85","347.32","173.66","282.87","272.47","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1807.62","0.19","0.72","0.0","7.15","0.72","5.16","0.0","0.0","0.0","0.0","69.61","74.85","347.32","173.66","277.71","272.47","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1807.62","0.19","0.74","0.0","7.23","0.74","5.38","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","74.99","","","","","","",""
"2016.0","6.0","2.0","154.0","1807.62","0.19","0.77","0.0","6.91","0.77","5.31","0.0","0.0","0.0","0.0","5.31","74.85","347.32","173.66","342.01","272.47","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","1807.62","0.18","0.79","0.0","7.35","0.79","5.82","0.0","0.0","0.0","0.0","11.13","74.85","347.32","173.66","336.19","272.47","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1807.62","0.18","0.82","0.0","4.89","0.82","3.99","0.0","0.0","0.0","0.0","15.12","74.85","347.32","173.66","332.2","272.47","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1807.62","0.18","0.84","0.0","7.68","0.84","6.45","0.0","0.0","0.0","0.0","21.57","74.85","347.32","173.66","325.75","272.47","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","1807.62","0.17","0.86","0.0","7.2","0.86","6.21","0.0","0.0","0.0","0.0","27.78","74.85","347.32","173.66","319.54","272.47","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1807.62","0.17","0.89","0.0","6.83","0.89","6.06","0.0","0.0","0.0","0.0","33.84","74.85","347.32","173.66","313.48","272.47","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1807.62","0.17","0.91","0.0","6.55","0.91","5.96","0.0","0.0","0.0","0.0","39.8","74.85","347.32","173.66","307.52","272.47","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1807.62","0.17","0.93","0.0","6.26","0.93","5.85","0.0","0.0","0.0","0.0","45.65","74.85","347.32","173.66","301.67","272.47","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1807.62","0.16","0.96","0.0","6.64","0.96","6.36","0.0","0.0","0.0","0.0","52.01","74.85","347.32","173.66","295.31","272.47","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1807.62","0.16","0.98","0.0","6.87","0.98","6.74","0.0","0.0","0.0","0.0","58.76","74.85","347.32","173.66","288.56","272.47","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1807.62","0.16","1.01","0.0","6.96","1.01","7.0","0.0","0.0","0.0","0.0","65.75","74.85","347.32","173.66","281.57","272.47","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1807.62","0.16","1.03","0.0","6.65","1.03","6.84","0.0","0.0","0.0","0.0","72.6","74.85","347.32","173.66","274.72","272.47","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1807.62","0.16","1.05","0.0","6.35","1.05","6.68","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","79.28","","","","","","",""
"2016.0","6.0","15.0","167.0","1807.62","0.15","1.08","0.0","5.38","1.08","5.79","0.0","0.0","0.0","0.0","5.79","74.85","347.32","173.66","341.53","272.47","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1807.62","0.15","1.1","0.0","5.31","1.1","5.84","0.0","0.0","0.0","0.0","11.63","74.85","347.32","173.66","335.69","272.47","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1807.62","0.15","1.1","0.0","5.14","1.1","5.65","0.0","0.0","0.0","0.0","17.29","74.85","347.32","173.66","330.03","272.47","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1807.62","0.15","1.1","0.0","6.18","1.1","6.8","0.0","0.0","0.0","0.0","24.08","74.85","347.32","173.66","323.24","272.47","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1807.62","0.15","1.1","0.0","6.9","1.1","7.59","0.0","0.0","0.0","0.0","31.67","74.85","347.32","173.66","315.65","272.47","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1807.62","0.15","1.1","0.0","7.46","1.1","8.21","0.0","0.0","0.0","0.0","39.88","74.85","347.32","173.66","307.44","272.47","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1807.62","0.14","1.1","0.0","7.77","1.1","8.55","0.0","0.0","0.0","0.0","48.43","74.85","347.32","173.66","298.89","272.47","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1807.62","0.14","1.1","0.0","7.82","1.1","8.6","0.0","0.0","0.0","0.0","57.03","74.85","347.32","173.66","290.29","272.47","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1807.62","0.14","1.1","0.0","7.73","1.1","8.5","0.0","0.0","0.0","0.0","65.53","74.85","347.32","173.66","281.79","272.47","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1807.62","0.14","1.1","0.0","7.01","1.1","7.71","0.0","0.0","0.0","0.0","73.24","74.85","347.32","173.66","274.08","272.47","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","1807.62","0.14","1.1","0.0","7.8","1.1","8.58","0.0","0.0","0.0","0.0","0.0","74.85","347.32","173.66","347.32","272.47","81.82","","","","","","",""
"2016.0","6.0","26.0","178.0","1807.62","0.14","1.1","0.0","7.67","1.1","8.44","0.0","0.0","0.0","0.0","8.44","74.85","347.32","173.66","338.88","272.47","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1807.62","0.13","1.1","0.0","8.11","1.1","8.92","0.0","0.0","0.0","0.0","17.36","74.85","347.32","173.66","329.96","272.47","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1807.62","0.13","1.1","0.0","8.1","1.1","8.91","0.0","0.0","0.0","0.0","26.27","74.85","347.32","173.66","321.05","272.47","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1807.62","0.13","1.1","0.0","7.45","1.1","8.2","0.0","0.0","0.0","0.0","34.46","74.85","347.32","173.66","312.86","272.47","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","1807.62","0.13","1.1","0.0","7.39","1.1","8.13","0.0","0.0","0.0","0.0","42.59","74.85","347.32","173.66","304.73","272.47","0.0","","","","","","",""
