" Daily soil water balance output for Urban Landscape in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","189.26","0.54","0.8","0.0","2.23","0.8","1.78","0.0","0.0","0.0","0.0","24.44","30.87","128.0","64.0","103.56","97.13","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","189.26","0.51","0.8","0.0","2.77","0.8","2.22","0.0","0.0","0.0","0.0","26.66","30.87","128.0","64.0","101.34","97.13","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","189.26","0.49","0.8","0.0","2.41","0.8","1.93","0.0","0.0","0.0","0.0","28.59","30.87","128.0","64.0","99.41","97.13","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","189.26","0.47","0.8","0.0","2.19","0.8","1.75","0.0","0.0","0.0","0.0","30.34","30.87","128.0","64.0","97.66","97.13","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","189.26","0.46","0.8","0.0","2.8","0.8","2.24","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","32.58","","","","","","",""
"2016.0","2.0","18.0","49.0","189.26","1.14","0.8","0.0","1.99","1.14","2.27","11.53","2.27","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","189.26","1.14","0.8","0.0","1.8","1.14","2.06","0.62","0.62","0.0","0.0","1.44","30.87","128.0","64.0","126.56","97.13","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","189.26","1.15","0.8","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","3.49","30.87","128.0","64.0","124.51","97.13","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","189.26","1.01","0.8","0.0","2.02","1.01","2.04","0.0","0.0","0.0","0.0","5.53","30.87","128.0","64.0","122.47","97.13","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","189.26","0.87","0.8","0.0","2.59","0.87","2.25","0.0","0.0","0.0","0.0","7.78","30.87","128.0","64.0","120.22","97.13","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","189.26","0.78","0.8","0.0","2.54","0.8","2.03","0.0","0.0","0.0","0.0","9.81","30.87","128.0","64.0","118.19","97.13","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","189.26","0.71","0.8","0.0","2.3","0.8","1.84","0.0","0.0","0.0","0.0","11.65","30.87","128.0","64.0","116.35","97.13","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","189.26","0.66","0.8","0.0","2.39","0.8","1.91","0.0","0.0","0.0","0.0","13.56","30.87","128.0","64.0","114.44","97.13","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","189.26","0.62","0.8","0.0","2.38","0.8","1.9","0.0","0.0","0.0","0.0","15.47","30.87","128.0","64.0","112.53","97.13","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","189.26","0.59","0.8","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","17.44","30.87","128.0","64.0","110.56","97.13","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","189.26","0.56","0.8","0.0","1.98","0.8","1.58","0.0","0.0","0.0","0.0","19.03","30.87","128.0","64.0","108.97","97.13","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","189.26","0.53","0.8","0.0","2.65","0.8","2.12","0.0","0.0","0.0","0.0","21.15","30.87","128.0","64.0","106.85","97.13","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","189.26","0.51","0.8","0.0","2.98","0.8","2.38","0.0","0.0","0.0","0.0","23.53","30.87","128.0","64.0","104.47","97.13","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","189.26","0.48","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","25.59","30.87","128.0","64.0","102.41","97.13","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","189.26","0.47","0.8","0.0","1.99","0.8","1.59","0.0","0.0","0.0","0.0","27.18","30.87","128.0","64.0","100.82","97.13","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","189.26","0.46","0.8","0.0","1.56","0.8","1.25","0.0","0.0","0.0","0.0","28.43","30.87","128.0","64.0","99.57","97.13","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","189.26","1.17","0.8","0.0","1.33","1.17","1.55","9.07","9.07","0.0","0.0","20.91","30.87","128.0","64.0","107.09","97.13","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","189.26","1.13","0.8","0.0","2.35","1.13","2.65","15.79","15.79","0.0","0.0","7.76","30.87","128.0","64.0","120.24","97.13","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","189.26","1.16","0.8","0.0","1.46","1.16","1.7","11.31","9.46","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","189.26","1.14","0.8","0.0","1.96","1.14","2.24","2.4","2.24","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","189.26","1.14","0.8","0.0","2.13","1.14","2.42","0.02","0.02","0.0","0.0","2.4","30.87","128.0","64.0","125.6","97.13","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","189.26","1.14","0.8","0.0","1.68","1.14","1.92","0.7","0.7","0.0","0.0","3.62","30.87","128.0","64.0","124.38","97.13","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","189.26","1.15","0.8","0.0","1.73","1.15","1.99","2.09","2.09","0.0","0.0","3.53","30.87","128.0","64.0","124.47","97.13","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","189.26","1.15","0.8","0.0","1.87","1.15","2.14","4.55","4.55","0.0","0.0","1.12","30.87","128.0","64.0","126.88","97.13","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","189.26","1.17","0.8","0.0","1.2","1.17","1.41","6.42","2.52","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","189.26","1.12","0.8","0.0","2.5","1.12","2.8","12.71","2.8","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","189.26","1.11","0.8","0.0","2.97","1.11","3.3","0.0","0.0","0.0","0.0","3.3","30.87","128.0","64.0","124.7","97.13","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","189.26","0.93","0.8","0.0","3.12","0.93","2.91","0.0","0.0","0.0","0.0","6.21","30.87","128.0","64.0","121.79","97.13","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","189.26","0.8","0.8","0.0","3.16","0.8","2.53","0.0","0.0","0.0","0.0","8.74","30.87","128.0","64.0","119.26","97.13","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","189.26","0.71","0.8","0.0","3.01","0.8","2.41","0.0","0.0","0.0","0.0","11.14","30.87","128.0","64.0","116.86","97.13","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","189.26","0.65","0.8","0.0","2.89","0.8","2.31","0.0","0.0","0.0","0.0","13.46","30.87","128.0","64.0","114.54","97.13","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","189.26","0.61","0.8","0.0","2.46","0.8","1.97","0.0","0.0","0.0","0.0","15.42","30.87","128.0","64.0","112.58","97.13","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","189.26","0.58","0.8","0.0","2.49","0.8","1.99","0.83","0.83","0.0","0.0","16.59","30.87","128.0","64.0","111.41","97.13","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","189.26","0.54","0.8","0.0","3.03","0.8","2.42","1.99","1.99","0.0","0.0","17.02","30.87","128.0","64.0","110.98","97.13","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","189.26","0.51","0.8","0.0","3.33","0.8","2.66","0.0","0.0","0.0","0.0","19.68","30.87","128.0","64.0","108.32","97.13","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","189.26","0.48","0.8","0.0","3.2","0.8","2.56","0.0","0.0","0.0","0.0","22.24","30.87","128.0","64.0","105.76","97.13","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","189.26","0.46","0.8","0.0","3.57","0.8","2.86","0.0","0.0","0.0","0.0","25.1","30.87","128.0","64.0","102.9","97.13","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","189.26","0.43","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","28.4","30.87","128.0","64.0","99.6","97.13","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","189.26","0.41","0.8","0.0","3.53","0.8","2.82","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","31.22","","","","","","",""
"2016.0","3.0","28.0","88.0","189.26","0.4","0.8","0.0","3.47","0.8","2.78","0.0","0.0","0.0","0.0","2.78","30.87","128.0","64.0","125.22","97.13","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","189.26","0.38","0.8","0.0","3.67","0.8","2.94","0.0","0.0","0.0","0.0","5.71","30.87","128.0","64.0","122.29","97.13","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","189.26","0.37","0.8","0.0","3.44","0.8","2.75","0.0","0.0","0.0","0.0","8.46","30.87","128.0","64.0","119.54","97.13","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","189.26","0.36","0.8","0.0","3.71","0.8","2.97","0.0","0.0","0.0","0.0","11.43","30.87","128.0","64.0","116.57","97.13","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","189.26","0.35","0.8","0.0","3.62","0.8","2.9","0.0","0.0","0.0","0.0","14.33","30.87","128.0","64.0","113.67","97.13","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","189.26","0.34","0.8","0.0","3.76","0.8","3.01","0.0","0.0","0.0","0.0","17.34","30.87","128.0","64.0","110.66","97.13","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","189.26","0.33","0.8","0.0","3.91","0.8","3.13","0.0","0.0","0.0","0.0","20.46","30.87","128.0","64.0","107.54","97.13","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","189.26","0.32","0.8","0.0","4.15","0.8","3.32","0.0","0.0","0.0","0.0","23.78","30.87","128.0","64.0","104.22","97.13","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","189.26","0.31","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","28.03","30.87","128.0","64.0","99.97","97.13","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","189.26","0.3","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","31.9","","","","","","",""
"2016.0","4.0","7.0","98.0","189.26","0.29","0.8","0.0","4.09","0.8","3.27","0.0","0.0","0.0","0.0","3.27","30.87","128.0","64.0","124.73","97.13","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","189.26","0.28","0.8","0.0","3.18","0.8","2.54","0.0","0.0","0.0","0.0","5.82","30.87","128.0","64.0","122.18","97.13","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","189.26","1.15","0.8","0.0","1.69","1.15","1.95","10.23","7.76","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","189.26","1.15","0.8","0.0","1.79","1.15","2.06","22.49","2.06","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","189.26","1.13","0.8","0.0","2.63","1.13","2.98","0.51","0.51","0.0","0.0","2.47","30.87","128.0","64.0","125.53","97.13","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","189.26","0.98","0.8","0.0","3.41","0.98","3.35","0.0","0.0","0.0","0.0","5.81","30.87","128.0","64.0","122.19","97.13","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","189.26","0.79","0.8","0.0","4.1","0.8","3.28","0.0","0.0","0.0","0.0","9.09","30.87","128.0","64.0","118.91","97.13","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","189.26","0.68","0.8","0.0","4.09","0.8","3.27","0.62","0.62","0.0","0.0","11.74","30.87","128.0","64.0","116.26","97.13","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","189.26","0.58","0.8","0.0","5.3","0.8","4.24","0.0","0.0","0.0","0.0","15.98","30.87","128.0","64.0","112.02","97.13","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","189.26","0.52","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","20.01","30.87","128.0","64.0","107.99","97.13","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","189.26","0.48","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","23.87","30.87","128.0","64.0","104.13","97.13","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","189.26","0.44","0.8","0.0","5.14","0.8","4.11","0.0","0.0","0.0","0.0","27.98","30.87","128.0","64.0","100.02","97.13","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","189.26","0.42","0.8","0.0","4.84","0.8","3.87","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","31.86","","","","","","",""
"2016.0","4.0","20.0","111.0","189.26","0.39","0.8","0.0","4.99","0.8","3.99","0.0","0.0","0.0","0.0","3.99","30.87","128.0","64.0","124.01","97.13","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","189.26","0.38","0.8","0.0","3.59","0.8","2.87","0.0","0.0","0.0","0.0","6.86","30.87","128.0","64.0","121.14","97.13","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","189.26","0.37","0.8","0.0","2.94","0.8","2.35","0.0","0.0","0.0","0.0","9.22","30.87","128.0","64.0","118.78","97.13","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","189.26","1.07","0.8","0.0","3.81","1.07","4.07","4.48","4.48","0.0","0.0","8.8","30.87","128.0","64.0","119.2","97.13","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","189.26","0.93","0.8","0.0","4.43","0.93","4.12","0.0","0.0","0.0","0.0","12.93","30.87","128.0","64.0","115.07","97.13","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","189.26","0.72","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","17.17","30.87","128.0","64.0","110.83","97.13","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","189.26","0.62","0.8","0.0","4.63","0.8","3.7","0.0","0.0","0.0","0.0","20.88","30.87","128.0","64.0","107.12","97.13","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","189.26","0.57","0.8","0.0","3.72","0.8","2.98","0.97","0.97","0.0","0.0","22.88","30.87","128.0","64.0","105.12","97.13","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","189.26","0.51","0.8","0.0","5.42","0.8","4.34","0.1","0.1","0.0","0.0","27.12","30.87","128.0","64.0","100.88","97.13","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","189.26","0.47","0.8","0.0","4.81","0.8","3.85","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","30.97","","","","","","",""
"2016.0","4.0","30.0","121.0","189.26","0.42","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","5.6","30.87","128.0","64.0","122.4","97.13","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","189.26","0.39","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","10.05","30.87","128.0","64.0","117.95","97.13","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","189.26","0.37","0.8","0.0","5.06","0.8","4.05","0.0","0.0","0.0","0.0","14.1","30.87","128.0","64.0","113.9","97.13","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","189.26","0.36","0.8","0.0","4.25","0.8","3.4","0.0","0.0","0.0","0.0","17.5","30.87","128.0","64.0","110.5","97.13","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","189.26","0.34","0.8","0.0","4.46","0.8","3.57","0.0","0.0","0.0","0.0","21.06","30.87","128.0","64.0","106.94","97.13","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","189.26","0.34","0.8","0.0","2.52","0.8","2.02","0.0","0.0","0.0","0.0","23.08","30.87","128.0","64.0","104.92","97.13","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","189.26","0.33","0.8","0.0","1.87","0.8","1.5","0.33","0.33","0.0","0.0","24.25","30.87","128.0","64.0","103.75","97.13","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","189.26","1.14","0.8","0.0","2.02","1.14","2.3","5.65","5.65","0.0","0.0","20.9","30.87","128.0","64.0","107.1","97.13","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","189.26","1.12","0.8","0.0","3.23","1.12","3.6","0.89","0.89","0.0","0.0","23.61","30.87","128.0","64.0","104.39","97.13","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","189.26","0.87","0.8","0.0","4.56","0.87","3.95","0.0","0.0","0.0","0.0","27.56","30.87","128.0","64.0","100.44","97.13","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","189.26","0.69","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","31.76","","","","","","",""
"2016.0","5.0","11.0","132.0","189.26","0.59","0.8","0.0","5.51","0.8","4.41","0.0","0.0","0.0","0.0","4.41","30.87","128.0","64.0","123.59","97.13","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","189.26","0.52","0.8","0.0","5.55","0.8","4.44","0.0","0.0","0.0","0.0","8.85","30.87","128.0","64.0","119.15","97.13","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","189.26","0.47","0.8","0.0","5.19","0.8","4.15","0.0","0.0","0.0","0.0","13.0","30.87","128.0","64.0","115.0","97.13","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","189.26","0.44","0.8","0.0","4.92","0.8","3.94","0.0","0.0","0.0","0.0","16.94","30.87","128.0","64.0","111.06","97.13","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","189.26","0.41","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","21.22","30.87","128.0","64.0","106.78","97.13","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","189.26","0.38","0.8","0.0","6.3","0.8","5.04","0.0","0.0","0.0","0.0","26.26","30.87","128.0","64.0","101.74","97.13","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","189.26","0.35","0.8","0.0","7.22","0.8","5.78","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","32.03","","","","","","",""
"2016.0","5.0","18.0","139.0","189.26","0.33","0.8","0.0","6.74","0.8","5.39","0.0","0.0","0.0","0.0","5.39","30.87","128.0","64.0","122.61","97.13","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","189.26","0.32","0.8","0.0","6.06","0.8","4.85","0.0","0.0","0.0","0.0","10.24","30.87","128.0","64.0","117.76","97.13","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","189.26","0.31","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","14.2","30.87","128.0","64.0","113.8","97.13","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","189.26","0.3","0.8","0.0","3.93","0.8","3.14","0.0","0.0","0.0","0.0","17.34","30.87","128.0","64.0","110.66","97.13","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","189.26","0.29","0.8","0.0","4.26","0.8","3.41","0.01","0.01","0.0","0.0","20.74","30.87","128.0","64.0","107.26","97.13","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","189.26","0.28","0.8","0.0","4.88","0.8","3.9","0.0","0.0","0.0","0.0","24.65","30.87","128.0","64.0","103.35","97.13","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","189.26","0.28","0.8","0.0","4.86","0.8","3.89","0.0","0.0","0.0","0.0","28.53","30.87","128.0","64.0","99.47","97.13","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","189.26","0.27","0.8","0.0","5.14","0.8","4.11","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","32.65","","","","","","",""
"2016.0","5.0","26.0","147.0","189.26","0.26","0.8","0.0","5.43","0.8","4.34","0.0","0.0","0.0","0.0","4.34","30.87","128.0","64.0","123.66","97.13","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","189.26","0.25","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","9.01","30.87","128.0","64.0","118.99","97.13","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","189.26","0.25","0.8","0.0","6.69","0.8","5.35","0.0","0.0","0.0","0.0","14.36","30.87","128.0","64.0","113.64","97.13","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","189.26","0.24","0.8","0.0","6.21","0.8","4.97","0.0","0.0","0.0","0.0","19.33","30.87","128.0","64.0","108.67","97.13","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","189.26","0.23","0.8","0.0","6.45","0.8","5.16","0.0","0.0","0.0","0.0","24.49","30.87","128.0","64.0","103.51","97.13","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","189.26","0.23","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","29.9","30.87","128.0","64.0","98.1","97.13","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","189.26","0.22","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","35.2","","","","","","",""
"2016.0","6.0","2.0","154.0","189.26","0.22","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","5.3","30.87","128.0","64.0","122.7","97.13","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","189.26","0.21","0.8","0.0","7.04","0.8","5.63","0.0","0.0","0.0","0.0","10.93","30.87","128.0","64.0","117.07","97.13","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","189.26","0.21","0.8","0.0","5.1","0.8","4.08","0.0","0.0","0.0","0.0","15.01","30.87","128.0","64.0","112.99","97.13","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","189.26","0.2","0.8","0.0","7.22","0.8","5.78","0.0","0.0","0.0","0.0","20.78","30.87","128.0","64.0","107.22","97.13","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","189.26","0.2","0.8","0.0","6.61","0.8","5.29","0.0","0.0","0.0","0.0","26.07","30.87","128.0","64.0","101.93","97.13","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","189.26","0.19","0.8","0.0","6.36","0.8","5.09","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","31.16","","","","","","",""
"2016.0","6.0","8.0","160.0","189.26","0.19","0.8","0.0","6.07","0.8","4.86","0.0","0.0","0.0","0.0","4.86","30.87","128.0","64.0","123.14","97.13","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","189.26","0.19","0.8","0.0","5.88","0.8","4.7","0.0","0.0","0.0","0.0","9.56","30.87","128.0","64.0","118.44","97.13","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","189.26","0.18","0.8","0.0","6.3","0.8","5.04","0.0","0.0","0.0","0.0","14.6","30.87","128.0","64.0","113.4","97.13","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","189.26","0.18","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","19.9","30.87","128.0","64.0","108.1","97.13","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","189.26","0.18","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","25.06","30.87","128.0","64.0","102.94","97.13","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","189.26","0.18","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","29.98","30.87","128.0","64.0","98.02","97.13","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","189.26","0.17","0.8","0.0","6.15","0.8","4.92","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","34.9","","","","","","",""
"2016.0","6.0","15.0","167.0","189.26","0.17","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","4.25","30.87","128.0","64.0","123.75","97.13","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","189.26","0.17","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","8.48","30.87","128.0","64.0","119.52","97.13","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","189.26","0.17","0.8","0.0","5.06","0.8","4.05","0.0","0.0","0.0","0.0","12.53","30.87","128.0","64.0","115.47","97.13","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","189.26","0.17","0.8","0.0","6.18","0.8","4.94","0.0","0.0","0.0","0.0","17.47","30.87","128.0","64.0","110.53","97.13","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","189.26","0.16","0.8","0.0","6.85","0.8","5.48","0.0","0.0","0.0","0.0","22.95","30.87","128.0","64.0","105.05","97.13","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","189.26","0.16","0.8","0.0","7.14","0.8","5.71","0.0","0.0","0.0","0.0","28.66","30.87","128.0","64.0","99.34","97.13","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","189.26","0.16","0.8","0.0","7.56","0.8","6.05","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","34.71","","","","","","",""
"2016.0","6.0","22.0","174.0","189.26","0.16","0.8","0.0","7.28","0.8","5.82","0.0","0.0","0.0","0.0","5.82","30.87","128.0","64.0","122.18","97.13","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","189.26","0.15","0.8","0.0","7.34","0.8","5.87","0.0","0.0","0.0","0.0","11.7","30.87","128.0","64.0","116.3","97.13","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","189.26","0.15","0.8","0.0","6.7","0.8","5.36","0.0","0.0","0.0","0.0","17.06","30.87","128.0","64.0","110.94","97.13","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","189.26","0.15","0.8","0.0","7.46","0.8","5.97","0.0","0.0","0.0","0.0","23.02","30.87","128.0","64.0","104.98","97.13","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","189.26","0.15","0.8","0.0","7.33","0.8","5.86","0.0","0.0","0.0","0.0","28.89","30.87","128.0","64.0","99.11","97.13","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","189.26","0.15","0.8","0.0","7.69","0.8","6.15","0.0","0.0","0.0","0.0","0.0","30.87","128.0","64.0","128.0","97.13","35.04","","","","","","",""
"2016.0","6.0","28.0","180.0","189.26","0.14","0.8","0.0","7.59","0.8","6.07","0.0","0.0","0.0","0.0","6.07","30.87","128.0","64.0","121.93","97.13","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","189.26","0.14","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","11.54","30.87","128.0","64.0","116.46","97.13","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","189.26","0.14","0.8","0.0","6.68","0.8","5.34","0.0","0.0","0.0","0.0","16.89","30.87","128.0","64.0","111.11","97.13","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","189.26","0.14","0.8","0.0","6.64","0.8","5.31","0.0","0.0","0.0","0.0","22.2","30.87","128.0","64.0","105.8","97.13","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","189.26","0.14","0.8","0.0","6.59","0.8","5.27","0.0","0.0","0.0","0.0","27.47","30.87","128.0","64.0","100.53","97.13","0.0","","","","","","",""
