" Daily soil water balance output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","12794.36","0.61","0.8","0.0","1.74","0.8","1.39","0.0","0.0","0.0","0.0","17.64","28.9","120.0","60.0","102.36","91.1","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","12794.36","0.58","0.8","0.0","1.84","0.8","1.47","0.0","0.0","0.0","0.0","19.11","28.9","120.0","60.0","100.89","91.1","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","12794.36","0.56","0.8","0.0","2.22","0.8","1.78","0.0","0.0","0.0","0.0","20.89","28.9","120.0","60.0","99.11","91.1","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","12794.36","0.52","0.8","0.0","2.9","0.8","2.32","0.0","0.0","0.0","0.0","23.21","28.9","120.0","60.0","96.79","91.1","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","12794.36","0.5","0.8","0.0","2.45","0.8","1.96","0.0","0.0","0.0","0.0","25.17","28.9","120.0","60.0","94.83","91.1","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","12794.36","0.49","0.8","0.0","2.13","0.8","1.7","0.0","0.0","0.0","0.0","26.87","28.9","120.0","60.0","93.13","91.1","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","12794.36","1.11","0.8","0.0","2.7","1.11","3.0","4.93","4.93","0.0","0.0","24.94","28.9","120.0","60.0","95.06","91.1","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","12794.36","1.14","0.8","0.0","1.95","1.14","2.23","7.68","7.68","0.0","0.0","19.49","28.9","120.0","60.0","100.51","91.1","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","12794.36","1.15","0.8","0.0","1.7","1.15","1.95","0.57","0.57","0.0","0.0","20.87","28.9","120.0","60.0","99.13","91.1","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","12794.36","1.15","0.8","0.0","1.78","1.15","2.04","0.06","0.06","0.0","0.0","22.85","28.9","120.0","60.0","97.15","91.1","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","12794.36","1.02","0.8","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","24.88","28.9","120.0","60.0","95.12","91.1","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","12794.36","0.88","0.8","0.0","2.58","0.88","2.27","0.0","0.0","0.0","0.0","27.14","28.9","120.0","60.0","92.86","91.1","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","12794.36","0.78","0.8","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","29.14","","","","","","",""
"2016.0","2.0","24.0","55.0","12794.36","0.72","0.8","0.0","2.24","0.8","1.79","0.0","0.0","0.0","0.0","1.79","28.9","120.0","60.0","118.21","91.1","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","12794.36","0.67","0.8","0.0","2.36","0.8","1.89","0.0","0.0","0.0","0.0","3.68","28.9","120.0","60.0","116.32","91.1","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","12794.36","0.63","0.8","0.0","2.29","0.8","1.83","0.0","0.0","0.0","0.0","5.51","28.9","120.0","60.0","114.49","91.1","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","12794.36","0.59","0.8","0.0","2.38","0.8","1.9","0.0","0.0","0.0","0.0","7.42","28.9","120.0","60.0","112.58","91.1","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","12794.36","0.57","0.8","0.0","2.03","0.8","1.62","0.0","0.0","0.0","0.0","9.04","28.9","120.0","60.0","110.96","91.1","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","12794.36","0.54","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","11.12","28.9","120.0","60.0","108.88","91.1","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","12794.36","0.51","0.8","0.0","2.92","0.8","2.34","0.0","0.0","0.0","0.0","13.46","28.9","120.0","60.0","106.54","91.1","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","12794.36","0.49","0.8","0.0","2.53","0.8","2.02","0.0","0.0","0.0","0.0","15.48","28.9","120.0","60.0","104.52","91.1","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","12794.36","0.48","0.8","0.0","1.83","0.8","1.46","0.03","0.03","0.0","0.0","16.91","28.9","120.0","60.0","103.09","91.1","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","12794.36","1.16","0.8","0.0","1.44","1.16","1.67","3.06","3.06","0.0","0.0","15.53","28.9","120.0","60.0","104.47","91.1","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","12794.36","1.17","0.8","0.0","1.33","1.17","1.55","16.79","16.79","0.0","0.0","0.29","28.9","120.0","60.0","119.71","91.1","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","12794.36","1.13","0.8","0.0","2.3","1.13","2.59","16.44","2.88","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","12794.36","1.16","0.8","0.0","1.54","1.16","1.78","10.51","1.78","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","12794.36","1.15","0.8","0.0","1.91","1.15","2.2","1.11","1.11","0.0","0.0","1.09","28.9","120.0","60.0","118.91","91.1","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","12794.36","1.15","0.8","0.0","1.93","1.15","2.22","0.89","0.89","0.0","0.0","2.41","28.9","120.0","60.0","117.59","91.1","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","12794.36","1.15","0.8","0.0","1.71","1.15","1.97","3.13","3.13","0.0","0.0","1.25","28.9","120.0","60.0","118.75","91.1","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","12794.36","1.16","0.8","0.0","1.61","1.16","1.86","5.69","3.11","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","12794.36","1.15","0.8","0.0","1.81","1.15","2.08","4.79","2.08","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","12794.36","1.17","0.8","0.0","1.19","1.17","1.4","15.61","1.4","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","12794.36","1.12","0.8","0.0","2.51","1.12","2.81","7.14","2.81","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","12794.36","1.11","0.8","0.0","2.97","1.11","3.3","0.0","0.0","0.0","0.0","3.3","28.9","120.0","60.0","116.7","91.1","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","12794.36","0.93","0.8","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.19","28.9","120.0","60.0","113.81","91.1","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","12794.36","0.8","0.8","0.0","3.14","0.8","2.51","0.0","0.0","0.0","0.0","8.7","28.9","120.0","60.0","111.3","91.1","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","12794.36","0.71","0.8","0.0","3.02","0.8","2.42","0.0","0.0","0.0","0.0","11.12","28.9","120.0","60.0","108.88","91.1","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","12794.36","0.65","0.8","0.0","2.93","0.8","2.34","0.0","0.0","0.0","0.0","13.46","28.9","120.0","60.0","106.54","91.1","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","12794.36","0.61","0.8","0.0","2.31","0.8","1.85","0.03","0.03","0.0","0.0","15.28","28.9","120.0","60.0","104.72","91.1","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","12794.36","0.58","0.8","0.0","2.32","0.8","1.86","1.19","1.19","0.0","0.0","15.95","28.9","120.0","60.0","104.05","91.1","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","12794.36","0.54","0.8","0.0","2.95","0.8","2.36","0.98","0.98","0.0","0.0","17.33","28.9","120.0","60.0","102.67","91.1","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","12794.36","0.51","0.8","0.0","3.29","0.8","2.63","0.0","0.0","0.0","0.0","19.96","28.9","120.0","60.0","100.04","91.1","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","12794.36","0.49","0.8","0.0","3.15","0.8","2.52","0.0","0.0","0.0","0.0","22.48","28.9","120.0","60.0","97.52","91.1","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","12794.36","0.46","0.8","0.0","3.56","0.8","2.85","0.0","0.0","0.0","0.0","25.33","28.9","120.0","60.0","94.67","91.1","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","12794.36","0.43","0.8","0.0","4.13","0.8","3.3","0.0","0.0","0.0","0.0","28.63","28.9","120.0","60.0","91.37","91.1","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","12794.36","0.42","0.8","0.0","3.47","0.8","2.78","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","31.41","","","","","","",""
"2016.0","3.0","28.0","88.0","12794.36","0.4","0.8","0.0","3.52","0.8","2.82","0.0","0.0","0.0","0.0","2.82","28.9","120.0","60.0","117.18","91.1","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","12794.36","0.38","0.8","0.0","3.64","0.8","2.91","0.0","0.0","0.0","0.0","5.73","28.9","120.0","60.0","114.27","91.1","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","12794.36","0.37","0.8","0.0","3.43","0.8","2.74","0.0","0.0","0.0","0.0","8.47","28.9","120.0","60.0","111.53","91.1","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","12794.36","0.36","0.8","0.0","3.68","0.8","2.94","0.0","0.0","0.0","0.0","11.42","28.9","120.0","60.0","108.58","91.1","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","12794.36","0.35","0.8","0.0","3.57","0.8","2.86","0.0","0.0","0.0","0.0","14.27","28.9","120.0","60.0","105.73","91.1","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","12794.36","0.34","0.8","0.0","3.7","0.8","2.96","0.0","0.0","0.0","0.0","17.23","28.9","120.0","60.0","102.77","91.1","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","12794.36","0.33","0.8","0.0","3.87","0.8","3.1","0.0","0.0","0.0","0.0","20.33","28.9","120.0","60.0","99.67","91.1","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","12794.36","0.32","0.8","0.0","4.08","0.8","3.26","0.0","0.0","0.0","0.0","23.59","28.9","120.0","60.0","96.41","91.1","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","12794.36","0.31","0.8","0.0","5.31","0.8","4.25","0.0","0.0","0.0","0.0","27.84","28.9","120.0","60.0","92.16","91.1","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","12794.36","0.3","0.8","0.0","4.84","0.8","3.87","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","31.71","","","","","","",""
"2016.0","4.0","7.0","98.0","12794.36","0.29","0.8","0.0","4.13","0.8","3.3","0.0","0.0","0.0","0.0","3.3","28.9","120.0","60.0","116.7","91.1","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","12794.36","0.29","0.8","0.0","3.17","0.8","2.54","2.51","2.51","0.0","0.0","3.33","28.9","120.0","60.0","116.67","91.1","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","12794.36","1.16","0.8","0.0","1.59","1.16","1.84","16.12","5.17","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","12794.36","1.15","0.8","0.0","1.83","1.15","2.1","17.54","2.1","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","12794.36","1.12","0.8","0.0","2.93","1.12","3.3","0.14","0.14","0.0","0.0","3.16","28.9","120.0","60.0","116.84","91.1","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","12794.36","0.96","0.8","0.0","3.42","0.96","3.28","0.0","0.0","0.0","0.0","6.43","28.9","120.0","60.0","113.57","91.1","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","12794.36","0.78","0.8","0.0","4.09","0.8","3.27","0.0","0.0","0.0","0.0","9.7","28.9","120.0","60.0","110.3","91.1","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","12794.36","0.67","0.8","0.0","4.08","0.8","3.26","0.35","0.35","0.0","0.0","12.62","28.9","120.0","60.0","107.38","91.1","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","12794.36","0.58","0.8","0.0","5.28","0.8","4.22","0.0","0.0","0.0","0.0","16.84","28.9","120.0","60.0","103.16","91.1","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","12794.36","0.52","0.8","0.0","5.09","0.8","4.07","0.0","0.0","0.0","0.0","20.91","28.9","120.0","60.0","99.09","91.1","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","12794.36","0.48","0.8","0.0","4.73","0.8","3.78","0.0","0.0","0.0","0.0","24.7","28.9","120.0","60.0","95.3","91.1","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","12794.36","0.44","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","28.75","28.9","120.0","60.0","91.25","91.1","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","12794.36","0.42","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","32.63","","","","","","",""
"2016.0","4.0","20.0","111.0","12794.36","0.39","0.8","0.0","4.94","0.8","3.95","0.0","0.0","0.0","0.0","3.95","28.9","120.0","60.0","116.05","91.1","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","12794.36","0.38","0.8","0.0","3.62","0.8","2.9","0.0","0.0","0.0","0.0","6.85","28.9","120.0","60.0","113.15","91.1","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","12794.36","0.37","0.8","0.0","2.95","0.8","2.36","1.16","1.16","0.0","0.0","8.05","28.9","120.0","60.0","111.95","91.1","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","12794.36","0.35","0.8","0.0","3.99","0.8","3.19","2.23","2.23","0.0","0.0","9.01","28.9","120.0","60.0","110.99","91.1","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","12794.36","0.34","0.8","0.0","4.47","0.8","3.58","0.0","0.0","0.0","0.0","12.59","28.9","120.0","60.0","107.41","91.1","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","12794.36","0.33","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","16.82","28.9","120.0","60.0","103.18","91.1","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","12794.36","0.32","0.8","0.0","4.6","0.8","3.68","0.0","0.0","0.0","0.0","20.5","28.9","120.0","60.0","99.5","91.1","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","12794.36","0.31","0.8","0.0","3.57","0.8","2.86","0.07","0.07","0.0","0.0","23.28","28.9","120.0","60.0","96.72","91.1","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","12794.36","0.3","0.8","0.0","5.48","0.8","4.38","0.46","0.46","0.0","0.0","27.21","28.9","120.0","60.0","92.79","91.1","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","12794.36","0.29","0.8","0.0","4.87","0.8","3.9","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","31.1","","","","","","",""
"2016.0","4.0","30.0","121.0","12794.36","0.28","0.8","0.0","7.06","0.8","5.65","0.0","0.0","0.0","0.0","5.65","28.9","120.0","60.0","114.35","91.1","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","12794.36","0.27","0.8","0.0","5.64","0.8","4.51","0.0","0.0","0.0","0.0","10.16","28.9","120.0","60.0","109.84","91.1","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","12794.36","0.26","0.8","0.0","5.07","0.8","4.06","0.0","0.0","0.0","0.0","14.22","28.9","120.0","60.0","105.78","91.1","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","12794.36","0.26","0.8","0.0","4.28","0.8","3.42","0.0","0.0","0.0","0.0","17.64","28.9","120.0","60.0","102.36","91.1","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","12794.36","0.25","0.8","0.0","4.47","0.8","3.58","0.0","0.0","0.0","0.0","21.22","28.9","120.0","60.0","98.78","91.1","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","12794.36","0.25","0.8","0.0","2.67","0.8","2.14","0.83","0.83","0.0","0.0","22.52","28.9","120.0","60.0","97.48","91.1","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","12794.36","0.25","0.8","0.0","1.81","0.8","1.45","0.64","0.64","0.0","0.0","23.33","28.9","120.0","60.0","96.67","91.1","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","12794.36","0.25","0.8","0.0","1.99","0.8","1.59","3.72","3.72","0.0","0.0","21.2","28.9","120.0","60.0","98.8","91.1","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","12794.36","0.24","0.8","0.0","3.16","0.8","2.53","0.52","0.52","0.0","0.0","23.21","28.9","120.0","60.0","96.79","91.1","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","12794.36","0.24","0.8","0.0","4.44","0.8","3.55","0.0","0.0","0.0","0.0","26.76","28.9","120.0","60.0","93.24","91.1","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","12794.36","0.23","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","30.99","","","","","","",""
"2016.0","5.0","11.0","132.0","12794.36","0.23","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","4.45","28.9","120.0","60.0","115.55","91.1","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","12794.36","0.22","0.8","0.0","5.55","0.8","4.44","0.0","0.0","0.0","0.0","8.89","28.9","120.0","60.0","111.11","91.1","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","12794.36","0.22","0.8","0.0","5.21","0.8","4.17","0.0","0.0","0.0","0.0","13.06","28.9","120.0","60.0","106.94","91.1","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","12794.36","0.22","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","16.89","28.9","120.0","60.0","103.11","91.1","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","12794.36","0.21","0.8","0.0","5.37","0.8","4.3","0.0","0.0","0.0","0.0","21.18","28.9","120.0","60.0","98.82","91.1","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","12794.36","0.21","0.8","0.0","6.31","0.8","5.05","0.0","0.0","0.0","0.0","26.23","28.9","120.0","60.0","93.77","91.1","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","12794.36","0.2","0.8","0.0","7.27","0.8","5.82","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","32.05","","","","","","",""
"2016.0","5.0","18.0","139.0","12794.36","0.2","0.8","0.0","6.75","0.8","5.4","0.0","0.0","0.0","0.0","5.4","28.9","120.0","60.0","114.6","91.1","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","12794.36","0.2","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","10.17","28.9","120.0","60.0","109.83","91.1","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","12794.36","0.19","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","14.03","28.9","120.0","60.0","105.97","91.1","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","12794.36","0.19","0.8","0.0","3.73","0.8","2.98","0.0","0.0","0.0","0.0","17.02","28.9","120.0","60.0","102.98","91.1","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","12794.36","0.19","0.8","0.0","4.0","0.8","3.2","0.32","0.32","0.0","0.0","19.9","28.9","120.0","60.0","100.1","91.1","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","12794.36","0.19","0.8","0.0","4.49","0.8","3.59","0.0","0.0","0.0","0.0","23.49","28.9","120.0","60.0","96.51","91.1","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","12794.36","0.18","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","27.32","28.9","120.0","60.0","92.68","91.1","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","12794.36","0.18","0.8","0.0","5.14","0.8","4.11","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","31.43","","","","","","",""
"2016.0","5.0","26.0","147.0","12794.36","0.18","0.8","0.0","5.45","0.8","4.36","0.0","0.0","0.0","0.0","4.36","28.9","120.0","60.0","115.64","91.1","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","12794.36","0.18","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","9.02","28.9","120.0","60.0","110.98","91.1","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","12794.36","0.17","0.8","0.0","6.68","0.8","5.34","0.0","0.0","0.0","0.0","14.37","28.9","120.0","60.0","105.63","91.1","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","12794.36","0.17","0.8","0.0","6.18","0.8","4.94","0.0","0.0","0.0","0.0","19.31","28.9","120.0","60.0","100.69","91.1","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","12794.36","0.17","0.8","0.0","6.47","0.8","5.18","0.0","0.0","0.0","0.0","24.49","28.9","120.0","60.0","95.51","91.1","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","12794.36","0.17","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","29.91","","","","","","",""
"2016.0","6.0","1.0","153.0","12794.36","0.17","0.8","0.0","6.68","0.8","5.34","0.0","0.0","0.0","0.0","5.34","28.9","120.0","60.0","114.66","91.1","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","12794.36","0.16","0.8","0.0","6.56","0.8","5.25","0.0","0.0","0.0","0.0","10.59","28.9","120.0","60.0","109.41","91.1","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","12794.36","0.16","0.8","0.0","7.04","0.8","5.63","0.0","0.0","0.0","0.0","16.22","28.9","120.0","60.0","103.78","91.1","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","12794.36","0.16","0.8","0.0","4.94","0.8","3.95","0.0","0.0","0.0","0.0","20.18","28.9","120.0","60.0","99.82","91.1","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","12794.36","0.16","0.8","0.0","7.25","0.8","5.8","0.0","0.0","0.0","0.0","25.98","28.9","120.0","60.0","94.02","91.1","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","12794.36","0.16","0.8","0.0","6.58","0.8","5.26","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","31.24","","","","","","",""
"2016.0","6.0","7.0","159.0","12794.36","0.15","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","5.07","28.9","120.0","60.0","114.93","91.1","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","12794.36","0.15","0.8","0.0","6.13","0.8","4.9","0.0","0.0","0.0","0.0","9.98","28.9","120.0","60.0","110.02","91.1","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","12794.36","0.15","0.8","0.0","5.85","0.8","4.68","0.0","0.0","0.0","0.0","14.66","28.9","120.0","60.0","105.34","91.1","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","12794.36","0.15","0.8","0.0","6.32","0.8","5.06","0.0","0.0","0.0","0.0","19.71","28.9","120.0","60.0","100.29","91.1","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","12794.36","0.15","0.8","0.0","6.64","0.8","5.31","0.0","0.0","0.0","0.0","25.02","28.9","120.0","60.0","94.98","91.1","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","12794.36","0.15","0.8","0.0","6.53","0.8","5.22","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","30.25","","","","","","",""
"2016.0","6.0","13.0","165.0","12794.36","0.14","0.8","0.0","6.2","0.8","4.96","0.0","0.0","0.0","0.0","4.96","28.9","120.0","60.0","115.04","91.1","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","12794.36","0.14","0.8","0.0","6.18","0.8","4.94","0.0","0.0","0.0","0.0","9.9","28.9","120.0","60.0","110.1","91.1","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","12794.36","0.14","0.8","0.0","5.33","0.8","4.26","0.0","0.0","0.0","0.0","14.17","28.9","120.0","60.0","105.83","91.1","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","12794.36","0.14","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","18.36","28.9","120.0","60.0","101.64","91.1","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","12794.36","0.14","0.8","0.0","4.97","0.8","3.98","0.0","0.0","0.0","0.0","22.34","28.9","120.0","60.0","97.66","91.1","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","12794.36","0.14","0.8","0.0","6.14","0.8","4.91","0.0","0.0","0.0","0.0","27.25","28.9","120.0","60.0","92.75","91.1","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","12794.36","0.14","0.8","0.0","6.82","0.8","5.46","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","32.7","","","","","","",""
"2016.0","6.0","20.0","172.0","12794.36","0.14","0.8","0.0","7.11","0.8","5.69","0.0","0.0","0.0","0.0","5.69","28.9","120.0","60.0","114.31","91.1","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","12794.36","0.13","0.8","0.0","7.51","0.8","6.01","0.0","0.0","0.0","0.0","11.7","28.9","120.0","60.0","108.3","91.1","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","12794.36","0.13","0.8","0.0","7.27","0.8","5.82","0.0","0.0","0.0","0.0","17.51","28.9","120.0","60.0","102.49","91.1","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","12794.36","0.13","0.8","0.0","7.34","0.8","5.87","0.0","0.0","0.0","0.0","23.38","28.9","120.0","60.0","96.62","91.1","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","12794.36","0.13","0.8","0.0","6.72","0.8","5.38","0.0","0.0","0.0","0.0","28.76","28.9","120.0","60.0","91.24","91.1","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","12794.36","0.13","0.8","0.0","7.5","0.8","6.0","0.0","0.0","0.0","0.0","0.0","28.9","120.0","60.0","120.0","91.1","34.76","","","","","","",""
"2016.0","6.0","26.0","178.0","12794.36","0.13","0.8","0.0","7.37","0.8","5.9","0.0","0.0","0.0","0.0","5.9","28.9","120.0","60.0","114.1","91.1","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","12794.36","0.13","0.8","0.0","7.75","0.8","6.2","0.0","0.0","0.0","0.0","12.1","28.9","120.0","60.0","107.9","91.1","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","12794.36","0.13","0.8","0.0","7.66","0.8","6.13","0.0","0.0","0.0","0.0","18.22","28.9","120.0","60.0","101.78","91.1","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","12794.36","0.12","0.8","0.0","6.84","0.8","5.47","0.0","0.0","0.0","0.0","23.7","28.9","120.0","60.0","96.3","91.1","0.0","","","","","","",""
