" Daily soil water balance output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","1200.49","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","24.0","292.48","146.24","272.63","268.48","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1200.49","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","24.0","292.48","146.24","271.39","268.48","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1200.49","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","24.0","292.48","146.24","269.8","268.48","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1200.49","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","23.94","24.0","292.48","146.24","268.54","268.48","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1200.49","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","24.93","24.0","292.48","146.24","267.55","268.48","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1200.49","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1200.49","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","15.48","24.0","292.48","146.24","277.0","268.48","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1200.49","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","13.76","24.0","292.48","146.24","278.72","268.48","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1200.49","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","15.77","24.0","292.48","146.24","276.71","268.48","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1200.49","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","18.01","24.0","292.48","146.24","274.47","268.48","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1200.49","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","20.66","24.0","292.48","146.24","271.82","268.48","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1200.49","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","22.72","24.0","292.48","146.24","269.76","268.48","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1200.49","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","24.44","24.0","292.48","146.24","268.04","268.48","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1200.49","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1200.49","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","25.56","24.0","292.48","146.24","266.92","268.48","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1200.49","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1200.49","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","25.24","24.0","292.48","146.24","267.24","268.48","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1200.49","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1200.49","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","25.56","24.0","292.48","146.24","266.92","268.48","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1200.49","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1200.49","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","24.87","24.0","292.48","146.24","267.61","268.48","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1200.49","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1200.49","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","12.03","24.0","292.48","146.24","280.45","268.48","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1200.49","1.13","0.0","0.0","2.19","1.13","2.48","48.26","14.51","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1200.49","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1200.49","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","24.0","292.48","146.24","291.96","268.48","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1200.49","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","24.0","292.48","146.24","289.9","268.48","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1200.49","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","24.0","292.48","146.24","288.44","268.48","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1200.49","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1200.49","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1200.49","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1200.49","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","24.0","292.48","146.24","292.48","268.48","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1200.49","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","24.0","292.48","146.24","289.12","268.48","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1200.49","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","24.0","292.48","146.24","286.25","268.48","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1200.49","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","24.0","292.48","146.24","283.76","268.48","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1200.49","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","24.0","292.48","146.24","281.56","268.48","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1200.49","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","24.0","292.48","146.24","279.57","268.48","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1200.49","0.61","0.0","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","24.0","292.48","146.24","278.27","268.48","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1200.49","0.58","0.0","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","24.0","292.48","146.24","278.29","268.48","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1200.49","0.54","0.0","0.0","2.94","0.54","1.6","0.94","0.94","0.0","0.0","14.84","24.0","292.48","146.24","277.64","268.48","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1200.49","0.51","0.0","0.0","3.34","0.51","1.7","0.0","0.0","0.0","0.0","16.55","24.0","292.48","146.24","275.93","268.48","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1200.49","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.09","24.0","292.48","146.24","274.39","268.48","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1200.49","0.46","0.0","0.0","3.68","0.46","1.68","0.0","0.0","0.0","0.0","19.78","24.0","292.48","146.24","272.7","268.48","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1200.49","0.43","0.0","0.0","4.39","0.43","1.89","0.0","0.0","0.0","0.0","21.67","24.0","292.48","146.24","270.81","268.48","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1200.49","0.41","0.0","0.0","3.47","0.41","1.43","0.0","0.0","0.0","0.0","23.1","24.0","292.48","146.24","269.38","268.48","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1200.49","0.4","0.0","0.0","3.49","0.4","1.39","0.0","0.0","0.0","0.0","24.49","24.0","292.48","146.24","267.99","268.48","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1200.49","0.38","0.0","0.0","3.77","0.38","1.44","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1200.49","0.37","0.0","0.0","3.58","0.37","1.32","0.0","0.0","0.0","0.0","25.32","24.0","292.48","146.24","267.16","268.48","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1200.49","0.36","0.0","0.0","3.76","0.36","1.34","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1200.49","0.35","0.2","0.0","3.65","0.35","1.26","0.0","0.0","0.0","0.0","25.26","66.37","292.48","146.24","267.22","226.11","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1200.49","0.34","0.2","0.0","3.74","0.34","1.25","0.0","0.0","0.0","0.0","26.52","66.37","292.48","146.24","265.96","226.11","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1200.49","0.33","0.2","0.0","4.02","0.33","1.31","0.0","0.0","0.0","0.0","27.82","66.37","292.48","146.24","264.66","226.11","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1200.49","0.32","0.2","0.0","4.17","0.32","1.32","0.0","0.0","0.0","0.0","29.14","66.37","292.48","146.24","263.34","226.11","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1200.49","0.3","0.2","0.0","5.61","0.3","1.7","0.0","0.0","0.0","0.0","30.85","66.37","292.48","146.24","261.63","226.11","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1200.49","0.29","0.2","0.0","4.91","0.29","1.45","0.0","0.0","0.0","0.0","32.29","66.37","292.48","146.24","260.19","226.11","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1200.49","0.29","0.2","0.0","4.31","0.29","1.24","0.0","0.0","0.0","0.0","33.53","66.37","292.48","146.24","258.95","226.11","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1200.49","0.28","0.2","0.0","3.47","0.28","0.98","0.01","0.01","0.0","0.0","34.5","66.37","292.48","146.24","257.98","226.11","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1200.49","0.28","0.2","0.0","1.5","0.28","0.42","2.32","2.32","0.0","0.0","32.6","66.37","292.48","146.24","259.88","226.11","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1200.49","1.13","0.2","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","26.15","66.37","292.48","146.24","266.33","226.11","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1200.49","1.11","0.2","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","29.31","66.37","292.48","146.24","263.17","226.11","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1200.49","0.91","0.2","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","32.48","66.37","292.48","146.24","260.0","226.11","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1200.49","0.75","0.2","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","35.65","66.37","292.48","146.24","256.83","226.11","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1200.49","0.65","0.2","0.0","4.05","0.65","2.64","0.48","0.48","0.0","0.0","37.81","66.37","292.48","146.24","254.67","226.11","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1200.49","0.57","0.2","0.0","5.4","0.57","3.05","0.0","0.0","0.0","0.0","40.86","66.37","292.48","146.24","251.62","226.11","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1200.49","0.51","0.2","0.0","5.38","0.51","2.72","0.0","0.0","0.0","0.0","43.58","66.37","292.48","146.24","248.9","226.11","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1200.49","0.47","0.2","0.0","4.72","0.47","2.2","0.0","0.0","0.0","0.0","45.79","66.37","292.48","146.24","246.69","226.11","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1200.49","0.43","0.2","0.0","5.09","0.43","2.21","0.0","0.0","0.0","0.0","48.0","66.37","292.48","146.24","244.48","226.11","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1200.49","0.41","0.2","0.0","4.97","0.41","2.02","0.0","0.0","0.0","0.0","50.02","66.37","292.48","146.24","242.46","226.11","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1200.49","0.38","0.2","0.0","5.11","0.38","1.96","0.0","0.0","0.0","0.0","51.98","66.37","292.48","146.24","240.5","226.11","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1200.49","0.37","0.2","0.0","3.83","0.37","1.42","0.0","0.0","0.0","0.0","53.4","66.37","292.48","146.24","239.08","226.11","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1200.49","0.36","0.2","0.0","2.88","0.36","1.04","0.12","0.12","0.0","0.0","54.32","66.37","292.48","146.24","238.16","226.11","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1200.49","0.35","0.2","0.0","3.96","0.35","1.38","2.58","2.58","0.0","0.0","53.12","66.37","292.48","146.24","239.36","226.11","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1200.49","0.34","0.2","0.0","4.41","0.34","1.48","0.0","0.0","0.0","0.0","54.6","66.37","292.48","146.24","237.88","226.11","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1200.49","0.32","0.2","0.0","5.39","0.32","1.74","0.0","0.0","0.0","0.0","56.34","66.37","292.48","146.24","236.14","226.11","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1200.49","0.31","0.2","0.0","4.64","0.31","1.45","0.0","0.0","0.0","0.0","57.78","66.37","292.48","146.24","234.7","226.11","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1200.49","0.3","0.2","0.0","3.84","0.3","1.17","0.0","0.0","0.0","0.0","58.95","66.37","292.48","146.24","233.53","226.11","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1200.49","0.29","0.2","0.0","5.73","0.29","1.68","3.95","3.95","0.0","0.0","56.67","66.37","292.48","146.24","235.81","226.11","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1200.49","0.28","0.2","0.0","5.1","0.28","1.45","0.0","0.0","0.0","0.0","58.12","66.37","292.48","146.24","234.36","226.11","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1200.49","0.27","0.2","0.0","7.38","0.27","2.01","0.0","0.0","0.0","0.0","60.13","66.37","292.48","146.24","232.35","226.11","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1200.49","0.26","0.2","0.0","5.87","0.26","1.55","0.0","0.0","0.0","0.0","61.67","66.37","292.48","146.24","230.81","226.11","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1200.49","0.26","0.2","0.0","5.3","0.26","1.36","0.0","0.0","0.0","0.0","63.04","66.37","292.48","146.24","229.44","226.11","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1200.49","0.25","0.2","0.0","4.33","0.25","1.09","0.0","0.0","0.0","0.0","64.12","66.37","292.48","146.24","228.36","226.11","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1200.49","0.25","0.2","0.0","4.83","0.25","1.19","0.0","0.0","0.0","0.0","65.31","66.37","292.48","146.24","227.17","226.11","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1200.49","0.24","0.2","0.0","2.3","0.24","0.56","0.02","0.02","0.0","0.0","65.86","66.37","292.48","146.24","226.62","226.11","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1200.49","0.24","0.2","0.0","2.1","0.24","0.51","0.13","0.13","0.0","0.0","66.24","66.37","292.48","146.24","226.24","226.11","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1200.49","0.24","0.2","0.0","2.06","0.24","0.5","1.36","1.36","0.0","0.0","65.37","66.37","292.48","146.24","227.11","226.11","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1200.49","0.24","0.2","0.0","3.2","0.24","0.76","2.24","2.24","0.0","0.0","63.89","66.37","292.48","146.24","228.59","226.11","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1200.49","0.23","0.2","0.0","4.63","0.23","1.08","0.0","0.0","0.0","0.0","64.98","66.37","292.48","146.24","227.5","226.11","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1200.49","0.23","0.22","0.0","5.64","0.23","1.29","0.0","0.0","0.0","0.0","66.26","66.37","292.48","146.24","226.22","226.11","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1200.49","0.22","0.25","0.0","5.95","0.25","1.47","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","67.74","","","","","","",""
"2016.0","5.0","12.0","133.0","1200.49","0.22","0.27","0.0","5.92","0.27","1.6","0.0","0.0","0.0","0.0","1.6","66.37","292.48","146.24","290.88","226.11","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1200.49","0.21","0.29","0.0","5.56","0.29","1.64","0.0","0.0","0.0","0.0","3.24","66.37","292.48","146.24","289.24","226.11","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1200.49","0.21","0.32","0.0","5.05","0.32","1.61","0.0","0.0","0.0","0.0","4.85","66.37","292.48","146.24","287.63","226.11","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","1200.49","0.21","0.34","0.0","5.51","0.34","1.89","0.0","0.0","0.0","0.0","6.74","66.37","292.48","146.24","285.74","226.11","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1200.49","0.2","0.37","0.0","6.55","0.37","2.4","0.0","0.0","0.0","0.0","9.13","66.37","292.48","146.24","283.35","226.11","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1200.49","0.2","0.39","0.0","7.65","0.39","2.98","0.0","0.0","0.0","0.0","12.11","66.37","292.48","146.24","280.37","226.11","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1200.49","0.19","0.41","0.0","7.01","0.41","2.9","0.0","0.0","0.0","0.0","15.01","66.37","292.48","146.24","277.47","226.11","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1200.49","0.19","0.44","0.0","6.2","0.44","2.71","0.0","0.0","0.0","0.0","17.72","66.37","292.48","146.24","274.76","226.11","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1200.49","0.19","0.46","0.0","4.88","0.46","2.25","0.0","0.0","0.0","0.0","19.96","66.37","292.48","146.24","272.52","226.11","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1200.49","0.19","0.48","0.0","4.07","0.48","1.97","0.51","0.51","0.0","0.0","21.42","66.37","292.48","146.24","271.06","226.11","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1200.49","0.18","0.51","0.0","4.31","0.51","2.19","0.2","0.2","0.0","0.0","23.41","66.37","292.48","146.24","269.07","226.11","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1200.49","0.18","0.53","0.0","4.77","0.53","2.54","0.0","0.0","0.0","0.0","25.95","66.37","292.48","146.24","266.53","226.11","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1200.49","0.18","0.56","0.0","4.82","0.56","2.68","0.0","0.0","0.0","0.0","28.63","66.37","292.48","146.24","263.85","226.11","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1200.49","0.18","0.58","0.0","5.25","0.58","3.04","0.0","0.0","0.0","0.0","31.67","66.37","292.48","146.24","260.81","226.11","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1200.49","0.18","0.6","0.0","5.68","0.6","3.42","0.0","0.0","0.0","0.0","35.09","66.37","292.48","146.24","257.39","226.11","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1200.49","0.17","0.63","0.0","5.98","0.63","3.75","0.0","0.0","0.0","0.0","38.83","66.37","292.48","146.24","253.65","226.11","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","1200.49","0.17","0.65","0.0","6.9","0.65","4.49","0.0","0.0","0.0","0.0","43.32","66.37","292.48","146.24","249.16","226.11","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1200.49","0.17","0.67","0.0","6.43","0.67","4.33","0.0","0.0","0.0","0.0","47.65","66.37","292.48","146.24","244.83","226.11","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1200.49","0.17","0.7","0.0","6.72","0.7","4.69","0.0","0.0","0.0","0.0","52.34","66.37","292.48","146.24","240.14","226.11","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1200.49","0.16","0.72","0.0","7.04","0.72","5.08","0.0","0.0","0.0","0.0","57.41","66.37","292.48","146.24","235.07","226.11","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1200.49","0.16","0.74","0.0","7.1","0.74","5.29","0.0","0.0","0.0","0.0","62.7","66.37","292.48","146.24","229.78","226.11","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1200.49","0.16","0.77","0.0","6.77","0.77","5.2","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","67.9","","","","","","",""
"2016.0","6.0","3.0","155.0","1200.49","0.16","0.79","0.0","7.21","0.79","5.71","0.0","0.0","0.0","0.0","5.71","66.37","292.48","146.24","286.77","226.11","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1200.49","0.16","0.82","0.0","4.79","0.82","3.91","0.0","0.0","0.0","0.0","9.62","66.37","292.48","146.24","282.86","226.11","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1200.49","0.15","0.84","0.0","7.5","0.84","6.3","0.0","0.0","0.0","0.0","15.91","66.37","292.48","146.24","276.57","226.11","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","1200.49","0.15","0.86","0.0","7.01","0.86","6.05","0.0","0.0","0.0","0.0","21.97","66.37","292.48","146.24","270.51","226.11","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1200.49","0.15","0.89","0.0","6.63","0.89","5.88","0.0","0.0","0.0","0.0","27.85","66.37","292.48","146.24","264.63","226.11","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1200.49","0.15","0.91","0.0","6.37","0.91","5.8","0.0","0.0","0.0","0.0","33.65","66.37","292.48","146.24","258.83","226.11","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1200.49","0.15","0.93","0.0","6.1","0.93","5.7","0.0","0.0","0.0","0.0","39.34","66.37","292.48","146.24","253.14","226.11","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1200.49","0.15","0.96","0.0","6.5","0.96","6.23","0.0","0.0","0.0","0.0","45.57","66.37","292.48","146.24","246.91","226.11","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1200.49","0.14","0.98","0.0","6.86","0.98","6.73","0.0","0.0","0.0","0.0","52.3","66.37","292.48","146.24","240.18","226.11","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1200.49","0.14","1.01","0.0","6.89","1.01","6.93","0.0","0.0","0.0","0.0","59.23","66.37","292.48","146.24","233.25","226.11","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1200.49","0.14","1.03","0.0","6.55","1.03","6.74","0.0","0.0","0.0","0.0","65.97","66.37","292.48","146.24","226.51","226.11","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1200.49","0.14","1.05","0.0","6.15","1.05","6.47","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","72.44","","","","","","",""
"2016.0","6.0","15.0","167.0","1200.49","0.14","1.08","0.0","5.14","1.08","5.53","0.0","0.0","0.0","0.0","5.53","66.37","292.48","146.24","286.95","226.11","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1200.49","0.14","1.1","0.0","5.15","1.1","5.67","0.0","0.0","0.0","0.0","11.2","66.37","292.48","146.24","281.28","226.11","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1200.49","0.14","1.1","0.0","4.72","1.1","5.19","0.0","0.0","0.0","0.0","16.39","66.37","292.48","146.24","276.09","226.11","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1200.49","0.14","1.1","0.0","6.09","1.1","6.7","0.0","0.0","0.0","0.0","23.09","66.37","292.48","146.24","269.39","226.11","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1200.49","0.13","1.1","0.0","6.76","1.1","7.44","0.0","0.0","0.0","0.0","30.52","66.37","292.48","146.24","261.96","226.11","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1200.49","0.13","1.1","0.0","7.29","1.1","8.02","0.0","0.0","0.0","0.0","38.54","66.37","292.48","146.24","253.94","226.11","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1200.49","0.13","1.1","0.0","7.6","1.1","8.36","0.0","0.0","0.0","0.0","46.9","66.37","292.48","146.24","245.58","226.11","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1200.49","0.13","1.1","0.0","7.59","1.1","8.35","0.0","0.0","0.0","0.0","55.25","66.37","292.48","146.24","237.23","226.11","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1200.49","0.13","1.1","0.0","7.55","1.1","8.31","0.0","0.0","0.0","0.0","63.56","66.37","292.48","146.24","228.92","226.11","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1200.49","0.13","1.1","0.0","6.9","1.1","7.59","0.0","0.0","0.0","0.0","0.0","66.37","292.48","146.24","292.48","226.11","71.15","","","","","","",""
"2016.0","6.0","25.0","177.0","1200.49","0.13","1.1","0.0","7.71","1.1","8.48","0.0","0.0","0.0","0.0","8.48","66.37","292.48","146.24","284.0","226.11","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","1200.49","0.13","1.1","0.0","7.55","1.1","8.31","0.0","0.0","0.0","0.0","16.79","66.37","292.48","146.24","275.69","226.11","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1200.49","0.12","1.1","0.0","7.98","1.1","8.78","0.0","0.0","0.0","0.0","25.56","66.37","292.48","146.24","266.92","226.11","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1200.49","0.12","1.1","0.0","7.97","1.1","8.77","0.0","0.0","0.0","0.0","34.33","66.37","292.48","146.24","258.15","226.11","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1200.49","0.12","1.1","0.0","7.26","1.1","7.99","0.0","0.0","0.0","0.0","42.32","66.37","292.48","146.24","250.16","226.11","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","1200.49","0.12","1.1","0.0","7.26","1.1","7.99","0.0","0.0","0.0","0.0","50.3","66.37","292.48","146.24","242.18","226.11","0.0","","","","","","",""
