" Daily soil water balance output for Tomato in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","16019.97","0.58","0.0","0.0","1.8","0.58","1.04","0.0","0.0","0.0","0.0","18.62","27.0","546.29","273.14","527.67","519.29","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","16019.97","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","27.0","546.29","273.14","526.62","519.29","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","16019.97","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","27.0","546.29","273.14","525.38","519.29","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","16019.97","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","27.0","546.29","273.14","523.89","519.29","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","16019.97","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","27.0","546.29","273.14","522.73","519.29","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","16019.97","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","27.0","546.29","273.14","521.7","519.29","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","16019.97","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","25.9","27.0","546.29","273.14","520.39","519.29","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","16019.97","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","15.5","27.0","546.29","273.14","530.79","519.29","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","16019.97","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","15.87","27.0","546.29","273.14","530.42","519.29","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","16019.97","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","17.91","27.0","546.29","273.14","528.38","519.29","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","16019.97","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","19.97","27.0","546.29","273.14","526.32","519.29","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","16019.97","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","22.29","27.0","546.29","273.14","524.0","519.29","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","16019.97","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","24.23","27.0","546.29","273.14","522.06","519.29","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","16019.97","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","25.87","27.0","546.29","273.14","520.42","519.29","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","16019.97","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","27.45","27.0","546.29","273.14","518.84","519.29","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","16019.97","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","16019.97","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","28.44","27.0","546.29","273.14","517.85","519.29","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","16019.97","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","16019.97","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","28.43","27.0","546.29","273.14","517.85","519.29","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","16019.97","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","16019.97","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","28.28","27.0","546.29","273.14","518.01","519.29","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","16019.97","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","16019.97","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","27.75","27.0","546.29","273.14","518.54","519.29","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","16019.97","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","18.22","27.0","546.29","273.14","528.07","519.29","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","16019.97","1.13","0.0","0.0","2.24","1.13","2.53","23.66","20.75","0.0","0.0","0.0","27.0","546.29","273.14","546.29","519.29","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","16019.97","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","27.0","546.29","273.14","546.29","519.29","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","16019.97","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","27.0","546.29","273.14","546.26","519.29","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","16019.97","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","27.0","546.29","273.14","543.8","519.29","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","16019.97","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","27.0","546.29","273.14","542.19","519.29","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","16019.97","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","27.0","546.29","273.14","542.9","519.29","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","16019.97","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","27.0","546.29","273.14","546.29","519.29","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","16019.97","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","27.0","546.29","273.14","546.29","519.29","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","16019.97","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","27.0","546.29","273.14","546.29","519.29","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","16019.97","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","27.0","546.29","273.14","542.92","519.29","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","16019.97","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","27.0","546.29","273.14","540.02","519.29","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","16019.97","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","27.0","546.29","273.14","537.52","519.29","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","16019.97","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","27.0","546.29","273.14","535.32","519.29","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","16019.97","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","27.0","546.29","273.14","533.32","519.29","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","16019.97","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","27.0","546.29","273.14","531.78","519.29","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","16019.97","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","27.0","546.29","273.14","531.43","519.29","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","16019.97","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","27.0","546.29","273.14","530.64","519.29","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","16019.97","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","27.0","546.29","273.14","528.93","519.29","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","16019.97","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","27.0","546.29","273.14","527.37","519.29","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","16019.97","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","27.0","546.29","273.14","525.71","519.29","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","16019.97","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","27.0","546.29","273.14","523.88","519.29","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","16019.97","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","23.88","27.0","546.29","273.14","522.41","519.29","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","16019.97","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","25.24","27.0","546.29","273.14","521.05","519.29","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","16019.97","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","26.66","27.0","546.29","273.14","519.63","519.29","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","16019.97","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","27.97","27.0","546.29","273.14","518.32","519.29","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","16019.97","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","16019.97","0.34","0.0","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","28.28","27.0","546.29","273.14","518.01","519.29","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","16019.97","0.33","0.0","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","16019.97","0.32","0.0","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","28.33","27.0","546.29","273.14","517.96","519.29","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","16019.97","0.31","0.0","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","16019.97","0.3","0.0","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","28.66","27.0","546.29","273.14","517.63","519.29","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","16019.97","0.29","0.0","0.0","4.85","0.29","1.42","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","16019.97","0.28","0.0","0.0","4.26","0.28","1.21","0.0","0.0","0.0","0.0","28.21","27.0","546.29","273.14","518.08","519.29","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","16019.97","0.28","0.0","0.0","3.38","0.28","0.95","0.01","0.01","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","16019.97","1.16","0.0","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","20.64","27.0","546.29","273.14","525.64","519.29","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","16019.97","1.14","0.0","0.0","2.05","1.14","2.33","30.23","22.98","0.0","0.0","0.0","27.0","546.29","273.14","546.29","519.29","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","16019.97","1.12","0.0","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","27.0","546.29","273.14","543.63","519.29","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","16019.97","0.94","0.0","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","27.0","546.29","273.14","540.6","519.29","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","16019.97","0.76","0.0","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","27.0","546.29","273.14","537.38","519.29","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","16019.97","0.66","0.0","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","27.0","546.29","273.14","536.23","519.29","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","16019.97","0.57","0.0","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","27.0","546.29","273.14","533.11","519.29","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","16019.97","0.51","0.0","0.0","5.16","0.51","2.64","0.0","0.0","0.0","0.0","15.82","27.0","546.29","273.14","530.47","519.29","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","16019.97","0.47","0.0","0.0","4.85","0.47","2.28","0.0","0.0","0.0","0.0","18.1","27.0","546.29","273.14","528.19","519.29","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","16019.97","0.44","0.0","0.0","5.18","0.44","2.26","0.0","0.0","0.0","0.0","20.36","27.0","546.29","273.14","525.93","519.29","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","16019.97","0.41","0.0","0.0","4.94","0.41","2.02","0.0","0.0","0.0","0.0","22.38","27.0","546.29","273.14","523.91","519.29","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","16019.97","0.39","0.0","0.0","5.19","0.39","2.0","0.0","0.0","0.0","0.0","24.38","27.0","546.29","273.14","521.91","519.29","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","16019.97","0.37","0.0","0.0","3.95","0.37","1.46","0.0","0.0","0.0","0.0","25.84","27.0","546.29","273.14","520.45","519.29","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","16019.97","0.36","0.0","0.0","2.76","0.36","1.0","0.01","0.01","0.0","0.0","26.83","27.0","546.29","273.14","519.46","519.29","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","16019.97","1.06","0.0","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","25.23","27.0","546.29","273.14","521.06","519.29","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","16019.97","0.9","0.0","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","29.39","27.0","546.29","273.14","516.9","519.29","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","16019.97","0.7","0.0","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","16019.97","0.61","0.0","0.0","4.78","0.61","2.9","0.0","0.0","0.0","0.0","29.9","27.0","546.29","273.14","516.39","519.29","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","16019.97","0.56","0.0","0.0","3.73","0.56","2.08","0.04","0.04","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","16019.97","0.5","0.0","0.0","5.66","0.5","2.81","3.4","3.4","0.0","0.0","26.41","27.0","546.29","273.14","519.88","519.29","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","16019.97","0.46","0.0","0.0","5.01","0.46","2.29","0.0","0.0","0.0","0.0","28.7","27.0","546.29","273.14","517.59","519.29","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","16019.97","0.41","0.0","0.0","7.32","0.41","3.01","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","16019.97","0.38","0.2","0.0","5.79","0.38","2.22","0.0","0.0","0.0","0.0","29.22","86.8","546.29","273.14","517.07","459.49","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","16019.97","0.36","0.2","0.0","5.39","0.36","1.96","0.0","0.0","0.0","0.0","31.18","86.8","546.29","273.14","515.11","459.49","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","16019.97","0.35","0.2","0.0","4.47","0.35","1.56","0.0","0.0","0.0","0.0","32.74","86.8","546.29","273.14","513.55","459.49","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","16019.97","0.34","0.2","0.0","4.71","0.34","1.58","0.0","0.0","0.0","0.0","34.32","86.8","546.29","273.14","511.97","459.49","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","16019.97","0.33","0.2","0.0","2.67","0.33","0.88","0.0","0.0","0.0","0.0","35.2","86.8","546.29","273.14","511.09","459.49","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","16019.97","0.33","0.2","0.0","1.97","0.33","0.64","0.26","0.26","0.0","0.0","35.59","86.8","546.29","273.14","510.7","459.49","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","16019.97","1.13","0.2","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","30.91","86.8","546.29","273.14","515.38","459.49","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","16019.97","1.11","0.2","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","33.91","86.8","546.29","273.14","512.38","459.49","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","16019.97","0.84","0.2","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","37.87","86.8","546.29","273.14","508.42","459.49","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","16019.97","0.67","0.2","0.0","5.58","0.67","3.75","0.0","0.0","0.0","0.0","41.62","86.8","546.29","273.14","504.67","459.49","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","16019.97","0.57","0.2","0.0","5.92","0.57","3.37","0.0","0.0","0.0","0.0","44.99","86.8","546.29","273.14","501.3","459.49","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","16019.97","0.5","0.2","0.0","6.04","0.5","3.03","0.0","0.0","0.0","0.0","48.02","86.8","546.29","273.14","498.27","459.49","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","16019.97","0.46","0.2","0.0","5.58","0.46","2.55","0.0","0.0","0.0","0.0","50.56","86.8","546.29","273.14","495.72","459.49","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","16019.97","0.42","0.2","0.0","5.14","0.42","2.18","0.0","0.0","0.0","0.0","52.75","86.8","546.29","273.14","493.54","459.49","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","16019.97","0.4","0.2","0.0","5.58","0.4","2.21","0.0","0.0","0.0","0.0","54.95","86.8","546.29","273.14","491.33","459.49","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","16019.97","0.37","0.2","0.0","6.65","0.37","2.45","0.0","0.0","0.0","0.0","57.4","86.8","546.29","273.14","488.89","459.49","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","16019.97","0.34","0.2","0.0","7.63","0.34","2.61","0.0","0.0","0.0","0.0","60.01","86.8","546.29","273.14","486.28","459.49","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","16019.97","0.32","0.2","0.0","7.1","0.32","2.28","0.0","0.0","0.0","0.0","62.29","86.8","546.29","273.14","484.0","459.49","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","16019.97","0.31","0.2","0.0","6.31","0.31","1.93","0.0","0.0","0.0","0.0","64.22","86.8","546.29","273.14","482.07","459.49","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","16019.97","0.3","0.2","0.0","5.02","0.3","1.49","0.0","0.0","0.0","0.0","65.71","86.8","546.29","273.14","480.58","459.49","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","16019.97","0.29","0.2","0.0","3.47","0.29","1.01","0.0","0.0","0.0","0.0","66.72","86.8","546.29","273.14","479.57","459.49","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","16019.97","0.28","0.2","0.0","4.27","0.28","1.21","1.71","1.71","0.0","0.0","66.22","86.8","546.29","273.14","480.07","459.49","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","16019.97","0.28","0.2","0.0","4.87","0.28","1.34","0.0","0.0","0.0","0.0","67.57","86.8","546.29","273.14","478.72","459.49","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","16019.97","0.27","0.2","0.0","4.92","0.27","1.32","0.0","0.0","0.0","0.0","68.89","86.8","546.29","273.14","477.4","459.49","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","16019.97","0.26","0.24","0.0","5.35","0.26","1.4","0.0","0.0","0.0","0.0","70.29","86.8","546.29","273.14","476.0","459.49","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","16019.97","0.25","0.28","0.0","5.71","0.28","1.59","0.0","0.0","0.0","0.0","71.88","86.8","546.29","273.14","474.41","459.49","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","16019.97","0.25","0.32","0.0","6.09","0.32","1.93","0.0","0.0","0.0","0.0","73.81","86.8","546.29","273.14","472.48","459.49","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","16019.97","0.24","0.36","0.0","6.94","0.36","2.47","0.0","0.0","0.0","0.0","76.29","86.8","546.29","273.14","470.0","459.49","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","16019.97","0.23","0.4","0.0","6.63","0.4","2.62","0.0","0.0","0.0","0.0","78.91","86.8","546.29","273.14","467.38","459.49","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","16019.97","0.23","0.43","0.0","6.85","0.43","2.98","0.0","0.0","0.0","0.0","81.89","86.8","546.29","273.14","464.4","459.49","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","16019.97","0.22","0.47","0.0","7.16","0.47","3.39","0.0","0.0","0.0","0.0","85.28","86.8","546.29","273.14","461.01","459.49","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","16019.97","0.21","0.51","0.0","7.16","0.51","3.67","0.0","0.0","0.0","0.0","0.0","86.8","546.29","273.14","546.29","459.49","88.96","","","","","","",""
"2016.0","6.0","2.0","154.0","16019.97","0.21","0.55","0.0","7.01","0.55","3.87","0.0","0.0","0.0","0.0","3.87","86.8","546.29","273.14","542.42","459.49","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","16019.97","0.2","0.59","0.0","7.38","0.59","4.36","0.0","0.0","0.0","0.0","8.23","86.8","546.29","273.14","538.05","459.49","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","16019.97","0.2","0.63","0.0","5.17","0.63","3.26","0.0","0.0","0.0","0.0","11.49","86.8","546.29","273.14","534.8","459.49","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","16019.97","0.2","0.67","0.0","7.76","0.67","5.2","0.0","0.0","0.0","0.0","16.69","86.8","546.29","273.14","529.6","459.49","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","16019.97","0.19","0.71","0.0","7.24","0.71","5.13","0.0","0.0","0.0","0.0","21.82","86.8","546.29","273.14","524.47","459.49","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","16019.97","0.19","0.75","0.0","6.94","0.75","5.19","0.0","0.0","0.0","0.0","27.01","86.8","546.29","273.14","519.28","459.49","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","16019.97","0.19","0.79","0.0","6.51","0.79","5.12","0.0","0.0","0.0","0.0","32.13","86.8","546.29","273.14","514.16","459.49","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","16019.97","0.18","0.83","0.0","6.32","0.83","5.22","0.0","0.0","0.0","0.0","37.35","86.8","546.29","273.14","508.93","459.49","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","16019.97","0.18","0.87","0.0","6.71","0.87","5.81","0.0","0.0","0.0","0.0","43.16","86.8","546.29","273.14","503.13","459.49","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","16019.97","0.18","0.9","0.0","6.85","0.9","6.19","0.0","0.0","0.0","0.0","49.35","86.8","546.29","273.14","496.93","459.49","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","16019.97","0.17","0.94","0.0","6.87","0.94","6.48","0.0","0.0","0.0","0.0","55.84","86.8","546.29","273.14","490.45","459.49","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","16019.97","0.17","0.98","0.0","6.59","0.98","6.48","0.0","0.0","0.0","0.0","62.31","86.8","546.29","273.14","483.98","459.49","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","16019.97","0.17","1.02","0.0","6.48","1.02","6.62","0.0","0.0","0.0","0.0","68.93","86.8","546.29","273.14","477.36","459.49","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","16019.97","0.17","1.06","0.0","5.54","1.06","5.88","0.0","0.0","0.0","0.0","74.81","86.8","546.29","273.14","471.48","459.49","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","16019.97","0.16","1.1","0.0","5.48","1.1","6.03","0.0","0.0","0.0","0.0","80.84","86.8","546.29","273.14","465.45","459.49","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","16019.97","0.16","1.1","0.0","5.34","1.1","5.87","0.0","0.0","0.0","0.0","86.71","86.8","546.29","273.14","459.58","459.49","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","16019.97","0.16","1.1","0.0","6.31","1.1","6.94","0.0","0.0","0.0","0.0","0.0","86.8","546.29","273.14","546.29","459.49","93.65","","","","","","",""
"2016.0","6.0","19.0","171.0","16019.97","0.16","1.1","0.0","6.96","1.1","7.66","0.0","0.0","0.0","0.0","7.66","86.8","546.29","273.14","538.63","459.49","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","16019.97","0.16","1.1","0.0","7.57","1.1","8.33","0.0","0.0","0.0","0.0","15.98","86.8","546.29","273.14","530.31","459.49","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","16019.97","0.15","1.1","0.0","7.92","1.1","8.71","0.0","0.0","0.0","0.0","24.7","86.8","546.29","273.14","521.59","459.49","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","16019.97","0.15","1.1","0.0","7.86","1.1","8.65","0.0","0.0","0.0","0.0","33.34","86.8","546.29","273.14","512.95","459.49","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","16019.97","0.15","1.1","0.0","7.8","1.1","8.58","0.0","0.0","0.0","0.0","41.92","86.8","546.29","273.14","504.37","459.49","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","16019.97","0.15","1.1","0.0","7.05","1.1","7.76","0.0","0.0","0.0","0.0","49.68","86.8","546.29","273.14","496.61","459.49","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","16019.97","0.15","1.1","0.0","7.82","1.1","8.6","0.0","0.0","0.0","0.0","58.28","86.8","546.29","273.14","488.01","459.49","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","16019.97","0.14","1.1","0.0","7.71","1.1","8.48","0.0","0.0","0.0","0.0","66.76","86.8","546.29","273.14","479.53","459.49","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","16019.97","0.14","1.1","0.0","8.18","1.1","9.0","0.0","0.0","0.0","0.0","75.76","86.8","546.29","273.14","470.53","459.49","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","16019.97","0.14","1.1","0.0","8.09","1.1","8.9","0.0","0.0","0.0","0.0","84.66","86.8","546.29","273.14","461.63","459.49","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","16019.97","0.14","1.1","0.0","7.45","1.1","8.2","0.0","0.0","0.0","0.0","0.0","86.8","546.29","273.14","546.29","459.49","92.85","","","","","","",""
