" Daily soil water balance output for Almonds in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almond in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","104.75","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","31.35","601.67","300.83","582.2","570.32","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","104.75","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","31.35","601.67","300.83","580.62","570.32","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","104.75","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","31.35","601.67","300.83","579.39","570.32","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","104.75","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","31.35","601.67","300.83","578.39","570.32","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","104.75","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","31.35","601.67","300.83","577.58","570.32","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","104.75","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","31.35","601.67","300.83","588.17","570.32","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","104.75","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","31.35","601.67","300.83","590.54","570.32","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","104.75","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","31.35","601.67","300.83","588.47","570.32","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","104.75","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","31.35","601.67","300.83","586.19","570.32","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","104.75","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","31.35","601.67","300.83","583.55","570.32","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","104.75","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","31.35","601.67","300.83","581.49","570.32","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","104.75","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","31.35","601.67","300.83","579.76","570.32","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","104.75","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","31.35","601.67","300.83","578.09","570.32","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","104.75","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","31.35","601.67","300.83","576.52","570.32","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","104.75","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","31.35","601.67","300.83","575.12","570.32","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","104.75","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","27.79","31.35","601.67","300.83","573.88","570.32","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","104.75","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","29.28","31.35","601.67","300.83","572.39","570.32","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","104.75","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","30.87","31.35","601.67","300.83","570.8","570.32","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","104.75","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","32.19","31.35","601.67","300.83","569.48","570.32","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","104.75","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","104.75","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","31.8","31.35","601.67","300.83","569.87","570.32","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","104.75","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","18.32","31.35","601.67","300.83","583.35","570.32","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","104.75","1.13","0.0","0.0","2.16","1.13","2.45","33.53","20.77","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","104.75","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","104.75","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","104.75","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","31.35","601.67","300.83","599.59","570.32","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","104.75","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","31.35","601.67","300.83","598.33","570.32","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","104.75","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","104.75","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","104.75","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","104.75","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","104.75","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","31.35","601.67","300.83","598.29","570.32","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","104.75","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","31.35","601.67","300.83","595.41","570.32","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","104.75","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","31.35","601.67","300.83","592.91","570.32","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","104.75","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","31.35","601.67","300.83","590.69","570.32","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","104.75","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","31.35","601.67","300.83","588.68","570.32","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","104.75","0.6","0.55","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","132.72","601.67","300.83","587.3","468.95","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","104.75","0.57","0.56","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","132.72","601.67","300.83","588.08","468.95","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","104.75","0.54","0.56","0.0","2.98","0.56","1.67","0.76","0.76","0.0","0.0","14.5","132.72","601.67","300.83","587.17","468.95","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","104.75","0.51","0.57","0.0","3.38","0.57","1.91","0.0","0.0","0.0","0.0","16.42","132.72","601.67","300.83","585.25","468.95","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","104.75","0.48","0.57","0.0","3.22","0.57","1.84","0.0","0.0","0.0","0.0","18.26","132.72","601.67","300.83","583.41","468.95","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","104.75","0.45","0.58","0.0","3.68","0.58","2.12","0.0","0.0","0.0","0.0","20.38","132.72","601.67","300.83","581.29","468.95","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","104.75","0.43","0.58","0.0","4.39","0.58","2.56","0.0","0.0","0.0","0.0","22.94","132.72","601.67","300.83","578.73","468.95","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","104.75","0.41","0.59","0.0","3.5","0.59","2.06","0.0","0.0","0.0","0.0","24.99","132.72","601.67","300.83","576.68","468.95","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","104.75","0.39","0.59","0.0","3.48","0.59","2.06","0.0","0.0","0.0","0.0","27.05","132.72","601.67","300.83","574.61","468.95","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","104.75","0.38","0.6","0.0","3.78","0.6","2.26","0.0","0.0","0.0","0.0","29.32","132.72","601.67","300.83","572.35","468.95","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","104.75","0.37","0.6","0.0","3.6","0.6","2.17","0.0","0.0","0.0","0.0","31.49","132.72","601.67","300.83","570.18","468.95","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","104.75","0.35","0.61","0.0","3.79","0.61","2.31","0.0","0.0","0.0","0.0","33.8","132.72","601.67","300.83","567.87","468.95","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","104.75","0.34","0.61","0.0","3.69","0.61","2.27","0.0","0.0","0.0","0.0","36.06","132.72","601.67","300.83","565.61","468.95","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","104.75","0.33","0.62","0.0","3.75","0.62","2.32","0.0","0.0","0.0","0.0","38.39","132.72","601.67","300.83","563.28","468.95","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","104.75","0.32","0.63","0.0","4.07","0.63","2.54","0.0","0.0","0.0","0.0","40.93","132.72","601.67","300.83","560.74","468.95","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","104.75","0.31","0.63","0.0","4.24","0.63","2.67","0.0","0.0","0.0","0.0","43.6","132.72","601.67","300.83","558.07","468.95","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","104.75","0.3","0.64","0.0","5.59","0.64","3.55","0.0","0.0","0.0","0.0","47.16","132.72","601.67","300.83","554.51","468.95","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","104.75","0.29","0.64","0.0","4.9","0.64","3.14","0.0","0.0","0.0","0.0","50.3","132.72","601.67","300.83","551.37","468.95","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","104.75","0.29","0.65","0.0","4.35","0.65","2.81","0.0","0.0","0.0","0.0","53.11","132.72","601.67","300.83","548.56","468.95","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","104.75","0.28","0.65","0.0","3.49","0.65","2.27","0.22","0.22","0.0","0.0","55.16","132.72","601.67","300.83","546.5","468.95","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","104.75","1.16","0.66","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","53.2","132.72","601.67","300.83","548.47","468.95","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","104.75","1.13","0.66","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","41.53","132.72","601.67","300.83","560.14","468.95","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","104.75","1.11","0.67","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","44.29","132.72","601.67","300.83","557.38","468.95","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","104.75","0.91","0.67","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","47.51","132.72","601.67","300.83","554.16","468.95","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","104.75","0.75","0.68","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","50.67","132.72","601.67","300.83","551.0","468.95","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","104.75","0.65","0.68","0.0","4.09","0.68","2.8","1.02","1.02","0.0","0.0","52.45","132.72","601.67","300.83","549.22","468.95","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","104.75","0.56","0.69","0.0","5.43","0.69","3.74","0.0","0.0","0.0","0.0","56.19","132.72","601.67","300.83","545.48","468.95","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","104.75","0.5","0.69","0.0","5.34","0.69","3.71","0.0","0.0","0.0","0.0","59.9","132.72","601.67","300.83","541.77","468.95","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","104.75","0.47","0.7","0.0","4.76","0.7","3.33","0.0","0.0","0.0","0.0","63.23","132.72","601.67","300.83","538.43","468.95","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","104.75","0.43","0.71","0.0","5.12","0.71","3.61","0.0","0.0","0.0","0.0","66.85","132.72","601.67","300.83","534.82","468.95","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","104.75","0.41","0.71","0.0","4.98","0.71","3.54","0.0","0.0","0.0","0.0","70.39","132.72","601.67","300.83","531.28","468.95","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","104.75","0.38","0.72","0.0","5.18","0.72","3.71","0.0","0.0","0.0","0.0","74.09","132.72","601.67","300.83","527.57","468.95","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","104.75","0.37","0.72","0.0","3.85","0.72","2.78","0.0","0.0","0.0","0.0","76.87","132.72","601.67","300.83","524.8","468.95","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","104.75","0.36","0.73","0.0","2.79","0.73","2.03","0.11","0.11","0.0","0.0","78.79","132.72","601.67","300.83","522.88","468.95","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","104.75","1.06","0.73","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","77.89","132.72","601.67","300.83","523.78","468.95","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","104.75","0.91","0.74","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","82.03","132.72","601.67","300.83","519.64","468.95","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","104.75","0.71","0.74","0.0","5.38","0.74","4.0","0.0","0.0","0.0","0.0","86.03","132.72","601.67","300.83","515.64","468.95","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","104.75","0.61","0.75","0.0","4.67","0.75","3.49","0.0","0.0","0.0","0.0","89.52","132.72","601.67","300.83","512.15","468.95","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","104.75","0.56","0.75","0.0","3.74","0.75","2.82","0.0","0.0","0.0","0.0","92.34","132.72","601.67","300.83","509.33","468.95","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","104.75","0.99","0.76","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","93.23","132.72","601.67","300.83","508.44","468.95","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","104.75","0.79","0.76","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","97.26","132.72","601.67","300.83","504.41","468.95","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","104.75","0.6","0.77","0.0","7.38","0.77","5.68","0.0","0.0","0.0","0.0","102.94","132.72","601.67","300.83","498.73","468.95","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","104.75","0.52","0.77","0.0","5.86","0.77","4.54","0.0","0.0","0.0","0.0","107.48","132.72","601.67","300.83","494.19","468.95","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","104.75","0.48","0.78","0.0","5.39","0.78","4.21","0.0","0.0","0.0","0.0","111.69","132.72","601.67","300.83","489.98","468.95","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","104.75","0.44","0.79","0.0","4.49","0.79","3.53","0.0","0.0","0.0","0.0","115.22","132.72","601.67","300.83","486.45","468.95","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","104.75","0.42","0.79","0.0","4.86","0.79","3.84","0.0","0.0","0.0","0.0","119.06","132.72","601.67","300.83","482.61","468.95","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","104.75","0.41","0.8","0.0","2.44","0.8","1.94","0.08","0.08","0.0","0.0","120.93","132.72","601.67","300.83","480.74","468.95","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","104.75","0.4","0.8","0.0","2.03","0.8","1.63","0.13","0.13","0.0","0.0","122.42","132.72","601.67","300.83","479.25","468.95","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","104.75","0.39","0.81","0.0","2.18","0.81","1.76","3.39","3.39","0.0","0.0","120.79","132.72","601.67","300.83","480.88","468.95","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","104.75","0.38","0.81","0.0","3.23","0.81","2.62","1.22","1.22","0.0","0.0","122.2","132.72","601.67","300.83","479.47","468.95","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","104.75","0.36","0.82","0.0","4.65","0.82","3.8","0.0","0.0","0.0","0.0","126.0","132.72","601.67","300.83","475.67","468.95","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","104.75","0.34","0.82","0.0","5.68","0.82","4.68","0.0","0.0","0.0","0.0","130.68","132.72","601.67","300.83","470.99","468.95","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","104.75","0.33","0.83","0.0","6.03","0.83","5.0","0.0","0.0","0.0","0.0","0.0","132.72","601.67","300.83","601.67","468.95","135.67","","","","","","",""
"2016.0","5.0","12.0","133.0","104.75","0.31","0.83","0.0","6.07","0.83","5.06","0.0","0.0","0.0","0.0","5.06","132.72","601.67","300.83","596.61","468.95","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","104.75","0.3","0.84","0.0","5.63","0.84","4.73","0.0","0.0","0.0","0.0","9.79","132.72","601.67","300.83","591.88","468.95","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","104.75","0.29","0.84","0.0","5.14","0.84","4.34","0.0","0.0","0.0","0.0","14.13","132.72","601.67","300.83","587.54","468.95","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","104.75","0.28","0.85","0.0","5.57","0.85","4.73","0.0","0.0","0.0","0.0","18.86","132.72","601.67","300.83","582.81","468.95","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","104.75","0.27","0.86","0.0","6.62","0.86","5.66","0.0","0.0","0.0","0.0","24.53","132.72","601.67","300.83","577.14","468.95","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","104.75","0.26","0.86","0.0","7.71","0.86","6.64","0.0","0.0","0.0","0.0","31.16","132.72","601.67","300.83","570.51","468.95","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","104.75","0.25","0.87","0.0","7.08","0.87","6.13","0.0","0.0","0.0","0.0","37.29","132.72","601.67","300.83","564.38","468.95","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","104.75","0.24","0.87","0.0","6.3","0.87","5.49","0.0","0.0","0.0","0.0","42.78","132.72","601.67","300.83","558.89","468.95","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","104.75","0.24","0.88","0.0","4.85","0.88","4.25","0.0","0.0","0.0","0.0","47.04","132.72","601.67","300.83","554.63","468.95","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","104.75","0.24","0.88","0.0","3.73","0.88","3.29","0.32","0.32","0.0","0.0","50.01","132.72","601.67","300.83","551.66","468.95","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","104.75","0.23","0.89","0.0","4.28","0.89","3.8","0.26","0.26","0.0","0.0","53.54","132.72","601.67","300.83","548.12","468.95","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","104.75","0.23","0.89","0.0","4.84","0.89","4.32","0.0","0.0","0.0","0.0","57.87","132.72","601.67","300.83","543.8","468.95","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","104.75","0.22","0.9","0.0","4.85","0.9","4.36","0.0","0.0","0.0","0.0","62.22","132.72","601.67","300.83","539.45","468.95","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","104.75","0.22","0.9","0.0","5.31","0.9","4.8","0.0","0.0","0.0","0.0","67.02","132.72","601.67","300.83","534.65","468.95","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","104.75","0.21","0.91","0.0","5.74","0.91","5.22","0.0","0.0","0.0","0.0","72.24","132.72","601.67","300.83","529.43","468.95","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","104.75","0.21","0.91","0.0","6.05","0.91","5.53","0.0","0.0","0.0","0.0","77.77","132.72","601.67","300.83","523.9","468.95","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","104.75","0.21","0.92","0.0","6.96","0.92","6.4","0.0","0.0","0.0","0.0","84.17","132.72","601.67","300.83","517.5","468.95","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","104.75","0.2","0.92","0.0","6.57","0.92","6.08","0.0","0.0","0.0","0.0","90.25","132.72","601.67","300.83","511.42","468.95","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","104.75","0.2","0.93","0.0","6.83","0.93","6.35","0.0","0.0","0.0","0.0","96.6","132.72","601.67","300.83","505.07","468.95","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","104.75","0.19","0.94","0.0","7.15","0.94","6.69","0.0","0.0","0.0","0.0","103.29","132.72","601.67","300.83","498.38","468.95","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","104.75","0.19","0.94","0.0","7.23","0.94","6.8","0.0","0.0","0.0","0.0","110.1","132.72","601.67","300.83","491.57","468.95","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","104.75","0.19","0.95","0.0","6.91","0.95","6.54","0.0","0.0","0.0","0.0","116.64","132.72","601.67","300.83","485.03","468.95","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","104.75","0.18","0.95","0.0","7.35","0.95","7.0","0.0","0.0","0.0","0.0","123.63","132.72","601.67","300.83","478.04","468.95","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","104.75","0.18","0.96","0.0","4.89","0.96","4.68","0.0","0.0","0.0","0.0","128.31","132.72","601.67","300.83","473.36","468.95","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","104.75","0.18","0.96","0.0","7.68","0.96","7.39","0.0","0.0","0.0","0.0","0.0","132.72","601.67","300.83","601.67","468.95","135.7","","","","","","",""
"2016.0","6.0","6.0","158.0","104.75","0.17","0.97","0.0","7.2","0.97","6.97","0.0","0.0","0.0","0.0","6.97","132.72","601.67","300.83","594.7","468.95","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","104.75","0.17","0.97","0.0","6.83","0.97","6.65","0.0","0.0","0.0","0.0","13.62","132.72","601.67","300.83","588.05","468.95","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","104.75","0.17","0.98","0.0","6.55","0.98","6.41","0.0","0.0","0.0","0.0","20.03","132.72","601.67","300.83","581.64","468.95","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","104.75","0.17","0.98","0.0","6.26","0.98","6.16","0.0","0.0","0.0","0.0","26.18","132.72","601.67","300.83","575.48","468.95","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","104.75","0.16","0.99","0.0","6.64","0.99","6.57","0.0","0.0","0.0","0.0","32.75","132.72","601.67","300.83","568.92","468.95","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","104.75","0.16","0.99","0.0","6.87","0.99","6.83","0.0","0.0","0.0","0.0","39.59","132.72","601.67","300.83","562.08","468.95","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","104.75","0.16","1.0","0.0","6.96","1.0","6.96","0.0","0.0","0.0","0.0","46.55","132.72","601.67","300.83","555.12","468.95","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","104.75","0.16","1.01","0.0","6.65","1.01","6.69","0.0","0.0","0.0","0.0","53.23","132.72","601.67","300.83","548.44","468.95","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","104.75","0.16","1.01","0.0","6.35","1.01","6.42","0.0","0.0","0.0","0.0","59.65","132.72","601.67","300.83","542.02","468.95","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","104.75","0.15","1.02","0.0","5.38","1.02","5.47","0.0","0.0","0.0","0.0","65.12","132.72","601.67","300.83","536.55","468.95","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","104.75","0.15","1.02","0.0","5.31","1.02","5.42","0.0","0.0","0.0","0.0","70.54","132.72","601.67","300.83","531.13","468.95","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","104.75","0.15","1.03","0.0","5.14","1.03","5.28","0.0","0.0","0.0","0.0","75.82","132.72","601.67","300.83","525.85","468.95","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","104.75","0.15","1.03","0.0","6.18","1.03","6.38","0.0","0.0","0.0","0.0","82.2","132.72","601.67","300.83","519.47","468.95","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","104.75","0.15","1.04","0.0","6.9","1.04","7.16","0.0","0.0","0.0","0.0","89.36","132.72","601.67","300.83","512.31","468.95","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","104.75","0.15","1.04","0.0","7.46","1.04","7.78","0.0","0.0","0.0","0.0","97.14","132.72","601.67","300.83","504.53","468.95","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","104.75","0.14","1.05","0.0","7.77","1.05","8.14","0.0","0.0","0.0","0.0","105.28","132.72","601.67","300.83","496.39","468.95","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","104.75","0.14","1.05","0.0","7.82","1.05","8.24","0.0","0.0","0.0","0.0","113.52","132.72","601.67","300.83","488.15","468.95","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","104.75","0.14","1.06","0.0","7.73","1.06","8.19","0.0","0.0","0.0","0.0","121.7","132.72","601.67","300.83","479.96","468.95","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","104.75","0.14","1.06","0.0","7.01","1.06","7.46","0.0","0.0","0.0","0.0","129.17","132.72","601.67","300.83","472.5","468.95","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","104.75","0.14","1.07","0.0","7.8","1.07","8.34","0.0","0.0","0.0","0.0","0.0","132.72","601.67","300.83","601.67","468.95","137.51","","","","","","",""
"2016.0","6.0","26.0","178.0","104.75","0.14","1.08","0.0","7.67","1.08","8.25","0.0","0.0","0.0","0.0","8.25","132.72","601.67","300.83","593.42","468.95","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","104.75","0.13","1.08","0.0","8.11","1.08","8.76","0.0","0.0","0.0","0.0","17.01","132.72","601.67","300.83","584.66","468.95","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","104.75","0.13","1.09","0.0","8.1","1.09","8.79","0.0","0.0","0.0","0.0","25.8","132.72","601.67","300.83","575.87","468.95","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","104.75","0.13","1.09","0.0","7.45","1.09","8.13","0.0","0.0","0.0","0.0","33.93","132.72","601.67","300.83","567.74","468.95","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","104.75","0.13","1.1","0.0","7.39","1.1","8.1","0.0","0.0","0.0","0.0","42.03","132.72","601.67","300.83","559.64","468.95","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","104.75","0.13","1.1","0.0","7.26","1.1","8.0","0.0","0.0","0.0","0.0","50.03","132.72","601.67","300.83","551.64","468.95","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","104.75","0.13","1.11","0.0","7.24","1.11","8.02","0.0","0.0","0.0","0.0","58.05","132.72","601.67","300.83","543.62","468.95","0.0","","","","","","",""
