" Daily soil water balance output for Corn in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","41211.48","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","32.4","460.86","230.43","441.19","428.46","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","41211.48","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","32.4","460.86","230.43","439.95","428.46","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","41211.48","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","32.4","460.86","230.43","438.46","428.46","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","41211.48","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","32.4","460.86","230.43","437.29","428.46","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","41211.48","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","32.4","460.86","230.43","436.27","428.46","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","41211.48","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","25.9","32.4","460.86","230.43","434.96","428.46","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","41211.48","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","15.5","32.4","460.86","230.43","445.36","428.46","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","41211.48","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","15.87","32.4","460.86","230.43","444.99","428.46","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","41211.48","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","17.91","32.4","460.86","230.43","442.94","428.46","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","41211.48","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","19.97","32.4","460.86","230.43","440.89","428.46","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","41211.48","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","22.29","32.4","460.86","230.43","438.57","428.46","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","41211.48","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","24.23","32.4","460.86","230.43","436.63","428.46","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","41211.48","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","25.87","32.4","460.86","230.43","434.99","428.46","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","41211.48","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","27.45","32.4","460.86","230.43","433.4","428.46","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","41211.48","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","28.98","32.4","460.86","230.43","431.88","428.46","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","41211.48","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","30.42","32.4","460.86","230.43","430.44","428.46","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","41211.48","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","31.58","32.4","460.86","230.43","429.28","428.46","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","41211.48","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","33.02","32.4","460.86","230.43","427.84","428.46","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","41211.48","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","41211.48","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","33.68","32.4","460.86","230.43","427.18","428.46","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","41211.48","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","41211.48","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","33.15","32.4","460.86","230.43","427.71","428.46","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","41211.48","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","23.62","32.4","460.86","230.43","437.24","428.46","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","41211.48","1.13","0.0","0.0","2.24","1.13","2.53","23.66","23.66","0.0","0.0","2.49","32.4","460.86","230.43","458.37","428.46","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","41211.48","1.16","0.0","0.0","1.43","1.16","1.66","16.86","4.15","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","41211.48","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","32.4","460.86","230.43","460.83","428.46","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","41211.48","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","32.4","460.86","230.43","458.37","428.46","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","41211.48","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","32.4","460.86","230.43","456.76","428.46","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","41211.48","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","32.4","460.86","230.43","457.47","428.46","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","41211.48","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","41211.48","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","41211.48","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","41211.48","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","32.4","460.86","230.43","457.49","428.46","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","41211.48","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","32.4","460.86","230.43","454.59","428.46","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","41211.48","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","32.4","460.86","230.43","452.09","428.46","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","41211.48","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","32.4","460.86","230.43","449.89","428.46","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","41211.48","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","32.4","460.86","230.43","447.89","428.46","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","41211.48","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","32.4","460.86","230.43","446.34","428.46","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","41211.48","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","32.4","460.86","230.43","446.0","428.46","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","41211.48","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","32.4","460.86","230.43","445.21","428.46","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","41211.48","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","32.4","460.86","230.43","443.5","428.46","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","41211.48","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","32.4","460.86","230.43","441.94","428.46","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","41211.48","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","32.4","460.86","230.43","440.28","428.46","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","41211.48","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","32.4","460.86","230.43","438.45","428.46","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","41211.48","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","23.88","32.4","460.86","230.43","436.98","428.46","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","41211.48","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","25.24","32.4","460.86","230.43","435.62","428.46","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","41211.48","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","26.66","32.4","460.86","230.43","434.2","428.46","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","41211.48","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","27.97","32.4","460.86","230.43","432.89","428.46","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","41211.48","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","29.32","32.4","460.86","230.43","431.54","428.46","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","41211.48","0.34","0.0","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","30.59","32.4","460.86","230.43","430.27","428.46","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","41211.48","0.33","0.0","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","31.86","32.4","460.86","230.43","429.0","428.46","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","41211.48","0.32","0.0","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","33.19","32.4","460.86","230.43","427.67","428.46","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","41211.48","0.31","0.0","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","41211.48","0.3","0.0","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","34.06","32.4","460.86","230.43","426.8","428.46","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","41211.48","0.29","0.0","0.0","4.85","0.29","1.42","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","41211.48","0.28","0.0","0.0","4.26","0.28","1.21","0.0","0.0","0.0","0.0","33.61","32.4","460.86","230.43","427.24","428.46","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","41211.48","0.28","0.0","0.0","3.38","0.28","0.95","0.01","0.01","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","41211.48","1.16","0.0","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","26.04","32.4","460.86","230.43","434.81","428.46","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","41211.48","1.14","0.0","0.0","2.05","1.14","2.33","30.23","28.38","0.0","0.0","0.0","32.4","460.86","230.43","460.86","428.46","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","41211.48","1.12","0.0","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","32.4","460.86","230.43","458.2","428.46","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","41211.48","0.94","0.0","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","32.4","460.86","230.43","455.17","428.46","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","41211.48","0.76","0.0","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","32.4","460.86","230.43","451.94","428.46","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","41211.48","0.66","0.0","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","32.4","460.86","230.43","450.8","428.46","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","41211.48","0.57","0.0","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","32.4","460.86","230.43","447.68","428.46","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","41211.48","0.51","0.0","0.0","5.16","0.51","2.64","0.0","0.0","0.0","0.0","15.82","32.4","460.86","230.43","445.04","428.46","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","41211.48","0.47","0.0","0.0","4.85","0.47","2.28","0.0","0.0","0.0","0.0","18.1","32.4","460.86","230.43","442.76","428.46","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","41211.48","0.44","0.0","0.0","5.18","0.44","2.26","0.0","0.0","0.0","0.0","20.36","32.4","460.86","230.43","440.5","428.46","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","41211.48","0.41","0.0","0.0","4.94","0.41","2.02","0.0","0.0","0.0","0.0","22.38","32.4","460.86","230.43","438.48","428.46","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","41211.48","0.39","0.0","0.0","5.19","0.39","2.0","0.0","0.0","0.0","0.0","24.38","32.4","460.86","230.43","436.48","428.46","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","41211.48","0.37","0.0","0.0","3.95","0.37","1.46","0.0","0.0","0.0","0.0","25.84","32.4","460.86","230.43","435.02","428.46","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","41211.48","0.36","0.0","0.0","2.76","0.36","1.0","0.01","0.01","0.0","0.0","26.83","32.4","460.86","230.43","434.03","428.46","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","41211.48","1.06","0.0","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","25.23","32.4","460.86","230.43","435.63","428.46","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","41211.48","0.9","0.0","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","29.39","32.4","460.86","230.43","431.47","428.46","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","41211.48","0.7","0.0","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","33.2","32.4","460.86","230.43","427.66","428.46","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","41211.48","0.61","0.0","0.0","4.78","0.61","2.9","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","41211.48","0.56","0.0","0.0","3.73","0.56","2.08","0.04","0.04","0.0","0.0","34.44","32.4","460.86","230.43","426.42","428.46","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","41211.48","0.5","0.0","0.0","5.66","0.5","2.81","3.4","3.4","0.0","0.0","31.04","32.4","460.86","230.43","429.82","428.46","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","41211.48","0.46","0.0","0.0","5.01","0.46","2.29","0.0","0.0","0.0","0.0","33.32","32.4","460.86","230.43","427.53","428.46","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","41211.48","0.41","0.0","0.0","7.32","0.41","3.01","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","41211.48","0.38","0.0","0.0","5.79","0.38","2.22","0.0","0.0","0.0","0.0","34.62","32.4","460.86","230.43","426.23","428.46","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","41211.48","0.36","0.0","0.0","5.39","0.36","1.96","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","41211.48","0.35","0.0","0.0","4.47","0.35","1.56","0.0","0.0","0.0","0.0","33.96","32.4","460.86","230.43","426.9","428.46","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","41211.48","0.34","0.0","0.0","4.71","0.34","1.58","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","41211.48","0.33","0.0","0.0","2.67","0.33","0.88","0.0","0.0","0.0","0.0","33.28","32.4","460.86","230.43","427.58","428.46","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","41211.48","0.33","0.0","0.0","1.97","0.33","0.64","0.26","0.26","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","41211.48","1.13","0.0","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","27.72","32.4","460.86","230.43","433.14","428.46","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","41211.48","1.11","0.0","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","30.73","32.4","460.86","230.43","430.13","428.46","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","41211.48","0.84","0.0","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","34.69","32.4","460.86","230.43","426.17","428.46","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","41211.48","0.67","0.0","0.0","5.58","0.67","3.75","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","41211.48","0.57","0.0","0.0","5.92","0.57","3.37","0.0","0.0","0.0","0.0","35.77","32.4","460.86","230.43","425.09","428.46","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","41211.48","0.5","0.0","0.0","6.04","0.5","3.03","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","41211.48","0.46","0.0","0.0","5.58","0.46","2.55","0.0","0.0","0.0","0.0","34.95","32.4","460.86","230.43","425.91","428.46","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","41211.48","0.42","0.0","0.0","5.14","0.42","2.18","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","41211.48","0.4","0.2","0.0","5.58","0.4","2.21","0.0","0.0","0.0","0.0","34.61","83.21","460.86","230.43","426.25","377.65","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","41211.48","0.37","0.2","0.0","6.65","0.37","2.45","0.0","0.0","0.0","0.0","37.06","83.21","460.86","230.43","423.8","377.65","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","41211.48","0.34","0.2","0.0","7.63","0.34","2.61","0.0","0.0","0.0","0.0","39.66","83.21","460.86","230.43","421.2","377.65","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","41211.48","0.32","0.2","0.0","7.1","0.32","2.28","0.0","0.0","0.0","0.0","41.94","83.21","460.86","230.43","418.92","377.65","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","41211.48","0.31","0.2","0.0","6.31","0.31","1.93","0.0","0.0","0.0","0.0","43.88","83.21","460.86","230.43","416.98","377.65","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","41211.48","0.3","0.2","0.0","5.02","0.3","1.49","0.0","0.0","0.0","0.0","45.37","83.21","460.86","230.43","415.49","377.65","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","41211.48","0.29","0.2","0.0","3.47","0.29","1.01","0.0","0.0","0.0","0.0","46.38","83.21","460.86","230.43","414.48","377.65","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","41211.48","0.28","0.2","0.0","4.27","0.28","1.21","1.71","1.71","0.0","0.0","45.88","83.21","460.86","230.43","414.98","377.65","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","41211.48","0.28","0.2","0.0","4.87","0.28","1.34","0.0","0.0","0.0","0.0","47.22","83.21","460.86","230.43","413.63","377.65","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","41211.48","0.27","0.2","0.0","4.92","0.27","1.32","0.0","0.0","0.0","0.0","48.55","83.21","460.86","230.43","412.31","377.65","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","41211.48","0.26","0.2","0.0","5.35","0.26","1.4","0.0","0.0","0.0","0.0","49.95","83.21","460.86","230.43","410.91","377.65","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","41211.48","0.25","0.2","0.0","5.71","0.25","1.45","0.0","0.0","0.0","0.0","51.4","83.21","460.86","230.43","409.46","377.65","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","41211.48","0.25","0.2","0.0","6.09","0.25","1.5","0.0","0.0","0.0","0.0","52.9","83.21","460.86","230.43","407.95","377.65","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","41211.48","0.24","0.2","0.0","6.94","0.24","1.66","0.0","0.0","0.0","0.0","54.56","83.21","460.86","230.43","406.29","377.65","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","41211.48","0.23","0.2","0.0","6.63","0.23","1.54","0.0","0.0","0.0","0.0","56.11","83.21","460.86","230.43","404.75","377.65","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","41211.48","0.23","0.2","0.0","6.85","0.23","1.55","0.0","0.0","0.0","0.0","57.66","83.21","460.86","230.43","403.2","377.65","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","41211.48","0.22","0.2","0.0","7.16","0.22","1.58","0.0","0.0","0.0","0.0","59.23","83.21","460.86","230.43","401.62","377.65","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","41211.48","0.21","0.2","0.0","7.16","0.21","1.54","0.0","0.0","0.0","0.0","60.77","83.21","460.86","230.43","400.09","377.65","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","41211.48","0.21","0.24","0.0","7.01","0.24","1.67","0.0","0.0","0.0","0.0","62.44","83.21","460.86","230.43","398.41","377.65","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","41211.48","0.2","0.28","0.0","7.38","0.28","2.05","0.0","0.0","0.0","0.0","64.49","83.21","460.86","230.43","396.37","377.65","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","41211.48","0.2","0.32","0.0","5.17","0.32","1.63","0.0","0.0","0.0","0.0","66.12","83.21","460.86","230.43","394.74","377.65","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","41211.48","0.2","0.35","0.0","7.76","0.35","2.75","0.0","0.0","0.0","0.0","68.87","83.21","460.86","230.43","391.98","377.65","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","41211.48","0.19","0.39","0.0","7.24","0.39","2.85","0.0","0.0","0.0","0.0","71.72","83.21","460.86","230.43","389.14","377.65","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","41211.48","0.19","0.43","0.0","6.94","0.43","3.0","0.0","0.0","0.0","0.0","74.72","83.21","460.86","230.43","386.14","377.65","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","41211.48","0.19","0.47","0.0","6.51","0.47","3.06","0.0","0.0","0.0","0.0","77.78","83.21","460.86","230.43","383.08","377.65","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","41211.48","0.18","0.51","0.0","6.32","0.51","3.22","0.0","0.0","0.0","0.0","81.0","83.21","460.86","230.43","379.86","377.65","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","41211.48","0.18","0.55","0.0","6.71","0.55","3.68","0.0","0.0","0.0","0.0","0.0","83.21","460.86","230.43","460.86","377.65","84.67","","","","","","",""
"2016.0","6.0","11.0","163.0","41211.48","0.18","0.59","0.0","6.85","0.59","4.02","0.0","0.0","0.0","0.0","4.02","83.21","460.86","230.43","456.84","377.65","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","41211.48","0.17","0.63","0.0","6.87","0.63","4.29","0.0","0.0","0.0","0.0","8.31","83.21","460.86","230.43","452.55","377.65","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","41211.48","0.17","0.66","0.0","6.59","0.66","4.37","0.0","0.0","0.0","0.0","12.68","83.21","460.86","230.43","448.17","377.65","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","41211.48","0.17","0.7","0.0","6.48","0.7","4.55","0.0","0.0","0.0","0.0","17.23","83.21","460.86","230.43","443.62","377.65","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","41211.48","0.17","0.74","0.0","5.54","0.74","4.1","0.0","0.0","0.0","0.0","21.34","83.21","460.86","230.43","439.52","377.65","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","41211.48","0.16","0.78","0.0","5.48","0.78","4.27","0.0","0.0","0.0","0.0","25.61","83.21","460.86","230.43","435.25","377.65","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","41211.48","0.16","0.82","0.0","5.34","0.82","4.37","0.0","0.0","0.0","0.0","29.98","83.21","460.86","230.43","430.88","377.65","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","41211.48","0.16","0.86","0.0","6.31","0.86","5.41","0.0","0.0","0.0","0.0","35.39","83.21","460.86","230.43","425.47","377.65","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","41211.48","0.16","0.9","0.0","6.96","0.9","6.23","0.0","0.0","0.0","0.0","41.62","83.21","460.86","230.43","419.24","377.65","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","41211.48","0.16","0.93","0.0","7.57","0.93","7.07","0.0","0.0","0.0","0.0","48.69","83.21","460.86","230.43","412.17","377.65","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","41211.48","0.15","0.97","0.0","7.92","0.97","7.7","0.0","0.0","0.0","0.0","56.39","83.21","460.86","230.43","404.46","377.65","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","41211.48","0.15","1.01","0.0","7.86","1.01","7.95","0.0","0.0","0.0","0.0","64.34","83.21","460.86","230.43","396.51","377.65","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","41211.48","0.15","1.05","0.0","7.8","1.05","8.19","0.0","0.0","0.0","0.0","72.53","83.21","460.86","230.43","388.32","377.65","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","41211.48","0.15","1.05","0.0","7.05","1.05","7.4","0.0","0.0","0.0","0.0","79.94","83.21","460.86","230.43","380.92","377.65","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","41211.48","0.15","1.05","0.0","7.82","1.05","8.21","0.0","0.0","0.0","0.0","0.0","83.21","460.86","230.43","460.86","377.65","88.15","","","","","","",""
"2016.0","6.0","26.0","178.0","41211.48","0.14","1.05","0.0","7.71","1.05","8.1","0.0","0.0","0.0","0.0","8.1","83.21","460.86","230.43","452.76","377.65","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","41211.48","0.14","1.05","0.0","8.18","1.05","8.59","0.0","0.0","0.0","0.0","16.68","83.21","460.86","230.43","444.17","377.65","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","41211.48","0.14","1.05","0.0","8.09","1.05","8.49","0.0","0.0","0.0","0.0","25.18","83.21","460.86","230.43","435.68","377.65","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","41211.48","0.14","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","33.0","83.21","460.86","230.43","427.86","377.65","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","41211.48","0.14","1.05","0.0","7.3","1.05","7.67","0.0","0.0","0.0","0.0","40.67","83.21","460.86","230.43","420.19","377.65","0.0","","","","","","",""
