" Daily soil water balance output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","113.42","0.55","0.0","0.0","2.25","0.55","1.25","0.0","0.0","0.0","0.0","20.01","28.05","569.98","284.99","549.97","541.93","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","113.42","0.52","0.0","0.0","2.94","0.52","1.54","0.0","0.0","0.0","0.0","21.54","28.05","569.98","284.99","548.43","541.93","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","113.42","0.5","0.0","0.0","2.45","0.5","1.23","0.0","0.0","0.0","0.0","22.77","28.05","569.98","284.99","547.2","541.93","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","113.42","0.49","0.0","0.0","2.13","0.49","1.03","0.0","0.0","0.0","0.0","23.81","28.05","569.98","284.99","546.17","541.93","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","113.42","1.11","0.0","0.0","2.73","1.11","3.03","2.71","2.71","0.0","0.0","24.13","28.05","569.98","284.99","545.85","541.93","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","113.42","1.14","0.0","0.0","1.95","1.14","2.23","9.85","9.85","0.0","0.0","16.51","28.05","569.98","284.99","553.47","541.93","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","113.42","1.15","0.0","0.0","1.71","1.15","1.96","1.24","1.24","0.0","0.0","17.23","28.05","569.98","284.99","552.75","541.93","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","113.42","1.15","0.0","0.0","1.78","1.15","2.04","0.01","0.01","0.0","0.0","19.26","28.05","569.98","284.99","550.72","541.93","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","113.42","1.02","0.0","0.0","1.99","1.02","2.03","0.0","0.0","0.0","0.0","21.29","28.05","569.98","284.99","548.68","541.93","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","113.42","0.88","0.0","0.0","2.61","0.88","2.29","0.0","0.0","0.0","0.0","23.58","28.05","569.98","284.99","546.4","541.93","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","113.42","0.78","0.0","0.0","2.48","0.78","1.94","0.0","0.0","0.0","0.0","25.52","28.05","569.98","284.99","544.46","541.93","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","113.42","0.72","0.0","0.0","2.24","0.72","1.62","0.0","0.0","0.0","0.0","27.14","28.05","569.98","284.99","542.84","541.93","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","113.42","0.67","0.0","0.0","2.36","0.67","1.58","0.0","0.0","0.0","0.0","28.72","28.05","569.98","284.99","541.26","541.93","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","113.42","0.63","0.0","0.0","2.33","0.63","1.46","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","113.42","0.59","0.0","0.0","2.37","0.59","1.4","0.0","0.0","0.0","0.0","29.45","28.05","569.98","284.99","540.52","541.93","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","113.42","0.57","0.0","0.0","2.04","0.57","1.16","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","113.42","0.54","0.0","0.0","2.61","0.54","1.4","0.0","0.0","0.0","0.0","29.45","28.05","569.98","284.99","540.52","541.93","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","113.42","0.51","0.0","0.0","2.95","0.51","1.5","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","113.42","0.49","0.0","0.0","2.56","0.49","1.25","0.0","0.0","0.0","0.0","29.3","28.05","569.98","284.99","540.68","541.93","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","113.42","0.47","0.0","0.0","1.87","0.47","0.89","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","113.42","0.47","0.0","0.0","1.5","0.47","0.7","1.71","1.71","0.0","0.0","27.04","28.05","569.98","284.99","542.94","541.93","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","113.42","1.17","0.0","0.0","1.33","1.17","1.55","14.14","14.14","0.0","0.0","14.45","28.05","569.98","284.99","555.53","541.93","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","113.42","1.13","0.0","0.0","2.26","1.13","2.55","20.66","17.0","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","113.42","1.16","0.0","0.0","1.53","1.16","1.77","13.1","1.77","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","113.42","1.15","0.0","0.0","1.93","1.15","2.22","1.46","1.46","0.0","0.0","0.76","28.05","569.98","284.99","569.21","541.93","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","113.42","1.15","0.0","0.0","1.98","1.15","2.27","0.57","0.57","0.0","0.0","2.46","28.05","569.98","284.99","567.51","541.93","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","113.42","1.16","0.0","0.0","1.59","1.16","1.84","2.01","2.01","0.0","0.0","2.29","28.05","569.98","284.99","567.68","541.93","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","113.42","1.16","0.0","0.0","1.54","1.16","1.78","5.1","4.08","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","113.42","1.15","0.0","0.0","1.8","1.15","2.07","7.19","2.07","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","113.42","1.17","0.0","0.0","1.19","1.17","1.4","12.32","1.4","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","113.42","1.12","0.0","0.0","2.52","1.12","2.82","10.8","2.82","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","113.42","1.11","0.0","0.0","2.99","1.11","3.32","0.0","0.0","0.0","0.0","3.32","28.05","569.98","284.99","566.66","541.93","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","113.42","0.93","0.0","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.21","28.05","569.98","284.99","563.77","541.93","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","113.42","0.8","0.0","0.0","3.14","0.8","2.5","0.0","0.0","0.0","0.0","8.71","28.05","569.98","284.99","561.27","541.93","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","113.42","0.71","0.0","0.0","3.04","0.71","2.16","0.0","0.0","0.0","0.0","10.86","28.05","569.98","284.99","559.11","541.93","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","113.42","0.65","0.0","0.0","2.97","0.65","1.92","0.0","0.0","0.0","0.0","12.79","28.05","569.98","284.99","557.19","541.93","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","113.42","0.61","0.0","0.0","2.33","0.61","1.42","0.03","0.03","0.0","0.0","14.18","28.05","569.98","284.99","555.8","541.93","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","113.42","0.58","0.0","0.0","2.37","0.58","1.37","1.23","1.23","0.0","0.0","14.32","28.05","569.98","284.99","555.66","541.93","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","113.42","0.54","0.0","0.0","3.0","0.54","1.63","0.94","0.94","0.0","0.0","15.0","28.05","569.98","284.99","554.97","541.93","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","113.42","0.51","0.0","0.0","3.33","0.51","1.7","0.0","0.0","0.0","0.0","16.7","28.05","569.98","284.99","553.28","541.93","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","113.42","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.24","28.05","569.98","284.99","551.74","541.93","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","113.42","0.46","0.0","0.0","3.61","0.46","1.65","0.0","0.0","0.0","0.0","19.89","28.05","569.98","284.99","550.09","541.93","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","113.42","0.43","0.0","0.0","4.2","0.43","1.81","0.0","0.0","0.0","0.0","21.7","28.05","569.98","284.99","548.27","541.93","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","113.42","0.41","0.0","0.0","3.51","0.41","1.45","0.0","0.0","0.0","0.0","23.16","28.05","569.98","284.99","546.82","541.93","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","113.42","0.4","0.0","0.0","3.52","0.4","1.4","0.0","0.0","0.0","0.0","24.56","28.05","569.98","284.99","545.42","541.93","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","113.42","0.38","0.0","0.0","3.71","0.38","1.42","0.0","0.0","0.0","0.0","25.98","28.05","569.98","284.99","544.0","541.93","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","113.42","0.37","0.0","0.0","3.49","0.37","1.29","0.0","0.0","0.0","0.0","27.27","28.05","569.98","284.99","542.71","541.93","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","113.42","0.36","0.0","0.0","3.72","0.36","1.33","0.0","0.0","0.0","0.0","28.6","28.05","569.98","284.99","541.38","541.93","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","113.42","0.35","0.0","0.0","3.62","0.35","1.25","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","113.42","0.34","0.0","0.0","3.72","0.34","1.25","0.0","0.0","0.0","0.0","29.3","28.05","569.98","284.99","540.67","541.93","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","113.42","0.33","0.0","0.0","3.94","0.33","1.29","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","113.42","0.32","0.0","0.0","4.14","0.32","1.31","0.0","0.0","0.0","0.0","29.36","28.05","569.98","284.99","540.61","541.93","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","113.42","0.31","0.0","0.0","5.39","0.31","1.65","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","113.42","0.3","0.0","0.0","4.84","0.3","1.43","0.0","0.0","0.0","0.0","29.48","28.05","569.98","284.99","540.49","541.93","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","113.42","0.29","0.0","0.0","4.19","0.29","1.21","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","113.42","0.28","0.0","0.0","3.25","0.28","0.92","1.44","1.44","0.0","0.0","27.53","28.05","569.98","284.99","542.44","541.93","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","113.42","1.16","0.0","0.0","1.59","1.16","1.84","12.65","12.65","0.0","0.0","16.72","28.05","569.98","284.99","553.26","541.93","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","113.42","1.15","0.0","0.0","1.84","1.15","2.11","20.51","18.83","0.0","0.0","0.0","28.05","569.98","284.99","569.98","541.93","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","113.42","1.12","0.0","0.0","3.06","1.12","3.43","0.4","0.4","0.0","0.0","3.03","28.05","569.98","284.99","566.94","541.93","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","113.42","0.95","0.0","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","6.28","28.05","569.98","284.99","563.7","541.93","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","113.42","0.77","0.0","0.0","4.11","0.77","3.17","0.0","0.0","0.0","0.0","9.45","28.05","569.98","284.99","560.52","541.93","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","113.42","0.67","0.0","0.0","4.1","0.67","2.73","0.78","0.78","0.0","0.0","11.41","28.05","569.98","284.99","558.57","541.93","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","113.42","0.58","0.0","0.0","5.34","0.58","3.08","0.0","0.0","0.0","0.0","14.48","28.05","569.98","284.99","555.49","541.93","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","113.42","0.52","0.0","0.0","5.13","0.52","2.65","0.0","0.0","0.0","0.0","17.13","28.05","569.98","284.99","552.84","541.93","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","113.42","0.48","0.0","0.0","4.75","0.48","2.26","0.0","0.0","0.0","0.0","19.39","28.05","569.98","284.99","550.58","541.93","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","113.42","0.44","0.0","0.0","5.08","0.44","2.24","0.0","0.0","0.0","0.0","21.63","28.05","569.98","284.99","548.35","541.93","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","113.42","0.41","0.0","0.0","4.82","0.41","1.99","0.0","0.0","0.0","0.0","23.62","28.05","569.98","284.99","546.35","541.93","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","113.42","0.39","0.0","0.0","5.01","0.39","1.95","0.0","0.0","0.0","0.0","25.58","28.05","569.98","284.99","544.4","541.93","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","113.42","0.38","0.0","0.0","3.61","0.38","1.36","0.0","0.0","0.0","0.0","26.93","28.05","569.98","284.99","543.04","541.93","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","113.42","0.37","0.0","0.0","2.88","0.37","1.06","0.68","0.68","0.0","0.0","27.31","28.05","569.98","284.99","542.67","541.93","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","113.42","0.35","0.0","0.0","4.01","0.35","1.42","3.64","3.64","0.0","0.0","25.09","28.05","569.98","284.99","544.89","541.93","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","113.42","0.34","0.0","0.0","4.5","0.34","1.53","0.0","0.0","0.0","0.0","26.62","28.05","569.98","284.99","543.36","541.93","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","113.42","0.33","0.0","0.0","5.34","0.33","1.74","0.0","0.0","0.0","0.0","28.36","28.05","569.98","284.99","541.62","541.93","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","113.42","0.32","0.0","0.0","4.63","0.32","1.46","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","113.42","0.31","0.0","0.0","3.59","0.31","1.1","0.1","0.1","0.0","0.0","29.05","28.05","569.98","284.99","540.92","541.93","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","113.42","0.3","0.0","0.0","5.55","0.3","1.65","1.66","1.66","0.0","0.0","27.39","28.05","569.98","284.99","542.58","541.93","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","113.42","0.29","0.0","0.0","4.91","0.29","1.41","0.0","0.0","0.0","0.0","28.81","28.05","569.98","284.99","541.17","541.93","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","113.42","0.28","0.0","0.0","7.15","0.28","1.97","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","113.42","0.27","0.2","0.0","5.68","0.27","1.52","0.0","0.0","0.0","0.0","29.57","110.95","569.98","284.99","540.41","459.03","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","113.42","0.26","0.2","0.0","5.14","0.26","1.34","0.0","0.0","0.0","0.0","30.91","110.95","569.98","284.99","539.07","459.03","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","113.42","0.26","0.2","0.0","4.27","0.26","1.09","0.0","0.0","0.0","0.0","32.0","110.95","569.98","284.99","537.98","459.03","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","113.42","0.25","0.2","0.0","4.54","0.25","1.14","0.0","0.0","0.0","0.0","33.13","110.95","569.98","284.99","536.84","459.03","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","113.42","0.25","0.2","0.0","2.55","0.25","0.63","0.46","0.46","0.0","0.0","33.3","110.95","569.98","284.99","536.67","459.03","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","113.42","0.25","0.2","0.0","1.88","0.25","0.46","0.47","0.47","0.0","0.0","33.3","110.95","569.98","284.99","536.68","459.03","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","113.42","1.14","0.2","0.0","2.03","1.14","2.31","4.81","4.81","0.0","0.0","30.8","110.95","569.98","284.99","539.18","459.03","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","113.42","1.11","0.2","0.0","3.27","1.11","3.64","0.69","0.69","0.0","0.0","33.75","110.95","569.98","284.99","536.23","459.03","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","113.42","0.87","0.2","0.0","4.52","0.87","3.91","0.0","0.0","0.0","0.0","37.66","110.95","569.98","284.99","532.31","459.03","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","113.42","0.69","0.2","0.0","5.37","0.69","3.7","0.0","0.0","0.0","0.0","41.37","110.95","569.98","284.99","528.61","459.03","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","113.42","0.58","0.2","0.0","5.67","0.58","3.31","0.0","0.0","0.0","0.0","44.68","110.95","569.98","284.99","525.3","459.03","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","113.42","0.52","0.2","0.0","5.67","0.52","2.92","0.0","0.0","0.0","0.0","47.6","110.95","569.98","284.99","522.37","459.03","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","113.42","0.47","0.2","0.0","5.3","0.47","2.49","0.0","0.0","0.0","0.0","50.09","110.95","569.98","284.99","519.89","459.03","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","113.42","0.44","0.2","0.0","4.83","0.44","2.11","0.0","0.0","0.0","0.0","52.2","110.95","569.98","284.99","517.77","459.03","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","113.42","0.41","0.2","0.0","5.41","0.41","2.2","0.0","0.0","0.0","0.0","54.41","110.95","569.98","284.99","515.57","459.03","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","113.42","0.38","0.2","0.0","6.4","0.38","2.42","0.0","0.0","0.0","0.0","56.83","110.95","569.98","284.99","513.15","459.03","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","113.42","0.35","0.2","0.0","7.38","0.35","2.59","0.0","0.0","0.0","0.0","59.42","110.95","569.98","284.99","510.56","459.03","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","113.42","0.33","0.2","0.0","6.85","0.33","2.26","0.0","0.0","0.0","0.0","61.68","110.95","569.98","284.99","508.3","459.03","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","113.42","0.31","0.2","0.0","6.05","0.31","1.91","0.0","0.0","0.0","0.0","63.58","110.95","569.98","284.99","506.39","459.03","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","113.42","0.3","0.2","0.0","4.86","0.3","1.48","0.0","0.0","0.0","0.0","65.06","110.95","569.98","284.99","504.91","459.03","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","113.42","0.3","0.2","0.0","3.64","0.3","1.08","0.0","0.0","0.0","0.0","66.15","110.95","569.98","284.99","503.83","459.03","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","113.42","0.29","0.2","0.0","4.01","0.29","1.17","0.8","0.8","0.0","0.0","66.51","110.95","569.98","284.99","503.46","459.03","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","113.42","0.28","0.23","0.0","4.59","0.28","1.3","0.0","0.0","0.0","0.0","67.81","110.95","569.98","284.99","502.16","459.03","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","113.42","0.28","0.25","0.0","4.79","0.28","1.32","0.0","0.0","0.0","0.0","69.13","110.95","569.98","284.99","500.84","459.03","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","113.42","0.27","0.28","0.0","5.18","0.28","1.42","0.0","0.0","0.0","0.0","70.56","110.95","569.98","284.99","499.42","459.03","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","113.42","0.26","0.3","0.0","5.52","0.3","1.66","0.0","0.0","0.0","0.0","72.21","110.95","569.98","284.99","497.76","459.03","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","113.42","0.25","0.33","0.0","5.89","0.33","1.91","0.0","0.0","0.0","0.0","74.13","110.95","569.98","284.99","495.85","459.03","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","113.42","0.25","0.35","0.0","6.73","0.35","2.36","0.0","0.0","0.0","0.0","76.48","110.95","569.98","284.99","493.49","459.03","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","113.42","0.24","0.38","0.0","6.28","0.38","2.36","0.0","0.0","0.0","0.0","78.84","110.95","569.98","284.99","491.14","459.03","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","113.42","0.23","0.4","0.0","6.56","0.4","2.62","0.0","0.0","0.0","0.0","81.46","110.95","569.98","284.99","488.51","459.03","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","113.42","0.23","0.43","0.0","6.88","0.43","2.92","0.0","0.0","0.0","0.0","84.39","110.95","569.98","284.99","485.59","459.03","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","113.42","0.22","0.45","0.0","6.81","0.45","3.06","0.0","0.0","0.0","0.0","87.45","110.95","569.98","284.99","482.52","459.03","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","113.42","0.21","0.48","0.0","6.66","0.48","3.16","0.0","0.0","0.0","0.0","90.61","110.95","569.98","284.99","479.36","459.03","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","113.42","0.21","0.5","0.0","7.1","0.5","3.55","0.0","0.0","0.0","0.0","94.16","110.95","569.98","284.99","475.81","459.03","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","113.42","0.21","0.53","0.0","4.9","0.53","2.57","0.0","0.0","0.0","0.0","96.74","110.95","569.98","284.99","473.24","459.03","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","113.42","0.2","0.55","0.0","7.37","0.55","4.05","0.0","0.0","0.0","0.0","100.79","110.95","569.98","284.99","469.19","459.03","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","113.42","0.2","0.58","0.0","6.75","0.58","3.88","0.0","0.0","0.0","0.0","104.67","110.95","569.98","284.99","465.3","459.03","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","113.42","0.19","0.6","0.0","6.48","0.6","3.89","0.0","0.0","0.0","0.0","108.56","110.95","569.98","284.99","461.42","459.03","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","113.42","0.19","0.63","0.0","6.22","0.63","3.89","0.0","0.0","0.0","0.0","0.0","110.95","569.98","284.99","569.98","459.03","112.45","","","","","","",""
"2016.0","6.0","9.0","161.0","113.42","0.19","0.65","0.0","5.96","0.65","3.87","0.0","0.0","0.0","0.0","3.87","110.95","569.98","284.99","566.1","459.03","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","113.42","0.18","0.68","0.0","6.41","0.68","4.33","0.0","0.0","0.0","0.0","8.2","110.95","569.98","284.99","561.78","459.03","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","113.42","0.18","0.7","0.0","6.68","0.7","4.68","0.0","0.0","0.0","0.0","12.88","110.95","569.98","284.99","557.1","459.03","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","113.42","0.18","0.73","0.0","6.62","0.73","4.8","0.0","0.0","0.0","0.0","17.68","110.95","569.98","284.99","552.3","459.03","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","113.42","0.18","0.75","0.0","6.3","0.75","4.73","0.0","0.0","0.0","0.0","22.4","110.95","569.98","284.99","547.57","459.03","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","113.42","0.17","0.78","0.0","6.24","0.78","4.84","0.0","0.0","0.0","0.0","27.24","110.95","569.98","284.99","542.74","459.03","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","113.42","0.17","0.8","0.0","5.37","0.8","4.3","0.0","0.0","0.0","0.0","31.53","110.95","569.98","284.99","538.44","459.03","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","113.42","0.17","0.83","0.0","5.25","0.83","4.33","0.0","0.0","0.0","0.0","35.86","110.95","569.98","284.99","534.11","459.03","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","113.42","0.17","0.85","0.0","5.14","0.85","4.37","0.0","0.0","0.0","0.0","40.23","110.95","569.98","284.99","529.74","459.03","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","113.42","0.16","0.88","0.0","6.17","0.88","5.4","0.0","0.0","0.0","0.0","45.63","110.95","569.98","284.99","524.34","459.03","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","113.42","0.16","0.9","0.0","6.83","0.9","6.15","0.0","0.0","0.0","0.0","51.78","110.95","569.98","284.99","518.2","459.03","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","113.42","0.16","0.93","0.0","7.19","0.93","6.65","0.0","0.0","0.0","0.0","58.43","110.95","569.98","284.99","511.55","459.03","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","113.42","0.16","0.95","0.0","7.59","0.95","7.21","0.0","0.0","0.0","0.0","65.64","110.95","569.98","284.99","504.34","459.03","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","113.42","0.16","0.98","0.0","7.42","0.98","7.23","0.0","0.0","0.0","0.0","72.88","110.95","569.98","284.99","497.1","459.03","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","113.42","0.15","1.0","0.0","7.46","1.0","7.46","0.0","0.0","0.0","0.0","80.34","110.95","569.98","284.99","489.64","459.03","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","113.42","0.15","1.03","0.0","6.79","1.03","6.96","0.0","0.0","0.0","0.0","87.29","110.95","569.98","284.99","482.68","459.03","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","113.42","0.15","1.05","0.0","7.58","1.05","7.96","0.0","0.0","0.0","0.0","95.25","110.95","569.98","284.99","474.72","459.03","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","113.42","0.15","1.05","0.0","7.44","1.05","7.81","0.0","0.0","0.0","0.0","103.07","110.95","569.98","284.99","466.91","459.03","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","113.42","0.15","1.05","0.0","7.85","1.05","8.24","0.0","0.0","0.0","0.0","0.0","110.95","569.98","284.99","569.98","459.03","111.31","","","","","","",""
"2016.0","6.0","28.0","180.0","113.42","0.14","1.05","0.0","7.77","1.05","8.16","0.0","0.0","0.0","0.0","8.16","110.95","569.98","284.99","561.82","459.03","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","113.42","0.14","1.05","0.0","7.0","1.05","7.35","0.0","0.0","0.0","0.0","15.51","110.95","569.98","284.99","554.47","459.03","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","113.42","0.14","1.05","0.0","6.96","1.05","7.31","0.0","0.0","0.0","0.0","22.82","110.95","569.98","284.99","547.16","459.03","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","113.42","0.14","1.05","0.0","6.82","1.05","7.16","0.0","0.0","0.0","0.0","29.98","110.95","569.98","284.99","540.0","459.03","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","113.42","0.14","1.05","0.0","6.74","1.05","7.08","0.0","0.0","0.0","0.0","37.05","110.95","569.98","284.99","532.92","459.03","0.0","","","","","","",""
