" Daily soil water balance output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","5695.75","0.58","0.95","0.0","1.8","0.95","1.71","0.0","0.0","0.0","0.0","22.25","57.09","241.4","120.7","219.15","184.31","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","5695.75","0.56","0.95","0.0","1.89","0.95","1.8","0.0","0.0","0.0","0.0","24.05","57.09","241.4","120.7","217.36","184.31","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","5695.75","0.53","0.95","0.0","2.32","0.95","2.2","0.0","0.0","0.0","0.0","26.25","57.09","241.4","120.7","215.15","184.31","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","5695.75","0.51","0.95","0.0","2.94","0.95","2.79","0.0","0.0","0.0","0.0","29.04","57.09","241.4","120.7","212.36","184.31","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","5695.75","0.49","0.95","0.0","2.4","0.95","2.28","0.0","0.0","0.0","0.0","31.32","57.09","241.4","120.7","210.08","184.31","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","5695.75","0.47","0.95","0.0","2.18","0.95","2.07","0.0","0.0","0.0","0.0","33.39","57.09","241.4","120.7","208.01","184.31","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","5695.75","0.45","0.95","0.0","2.89","0.95","2.75","0.0","0.0","0.0","0.0","36.14","57.09","241.4","120.7","205.26","184.31","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","5695.75","1.14","0.95","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","25.74","57.09","241.4","120.7","215.66","184.31","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","5695.75","1.15","0.95","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","26.11","57.09","241.4","120.7","215.29","184.31","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","5695.75","1.15","0.95","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","28.16","57.09","241.4","120.7","213.25","184.31","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","5695.75","1.01","0.95","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","30.21","57.09","241.4","120.7","211.19","184.31","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","5695.75","0.87","0.95","0.0","2.67","0.95","2.54","0.0","0.0","0.0","0.0","32.75","57.09","241.4","120.7","208.65","184.31","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","5695.75","0.78","0.95","0.0","2.49","0.95","2.37","0.0","0.0","0.0","0.0","35.12","57.09","241.4","120.7","206.29","184.31","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","5695.75","0.72","0.95","0.0","2.29","0.95","2.18","0.0","0.0","0.0","0.0","37.29","57.09","241.4","120.7","204.11","184.31","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","5695.75","0.66","0.95","0.0","2.39","0.95","2.27","0.0","0.0","0.0","0.0","39.56","57.09","241.4","120.7","201.84","184.31","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","5695.75","0.62","0.95","0.0","2.46","0.95","2.34","0.0","0.0","0.0","0.0","41.9","57.09","241.4","120.7","199.5","184.31","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","5695.75","0.59","0.95","0.0","2.45","0.95","2.33","0.0","0.0","0.0","0.0","44.23","57.09","241.4","120.7","197.18","184.31","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","5695.75","0.56","0.95","0.0","2.08","0.95","1.98","0.0","0.0","0.0","0.0","46.2","57.09","241.4","120.7","195.2","184.31","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","5695.75","0.53","0.95","0.0","2.7","0.95","2.57","0.0","0.0","0.0","0.0","48.77","57.09","241.4","120.7","192.63","184.31","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","5695.75","0.5","0.95","0.0","3.07","0.95","2.92","0.0","0.0","0.0","0.0","51.68","57.09","241.4","120.7","189.72","184.31","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","5695.75","0.48","0.95","0.0","2.66","0.95","2.53","0.0","0.0","0.0","0.0","54.21","57.09","241.4","120.7","187.19","184.31","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","5695.75","0.47","0.95","0.0","2.01","0.95","1.91","0.0","0.0","0.0","0.0","56.12","57.09","241.4","120.7","185.28","184.31","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","5695.75","0.46","0.95","0.0","1.63","0.95","1.55","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","57.67","","","","","","",""
"2016.0","3.0","5.0","65.0","5695.75","1.17","0.95","0.0","1.29","1.17","1.51","9.53","1.51","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","5695.75","1.13","0.95","0.0","2.24","1.13","2.53","23.66","2.53","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","5695.75","1.16","0.95","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","5695.75","1.14","0.95","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","57.09","241.4","120.7","241.37","184.31","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","5695.75","1.14","0.95","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","57.09","241.4","120.7","238.92","184.31","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","5695.75","1.14","0.95","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","57.09","241.4","120.7","237.3","184.31","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","5695.75","1.16","0.95","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","57.09","241.4","120.7","238.01","184.31","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","5695.75","1.14","0.95","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","5695.75","1.17","0.95","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","5695.75","1.12","0.95","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","5695.75","1.11","0.95","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","57.09","241.4","120.7","238.03","184.31","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","5695.75","0.93","0.95","0.0","3.13","0.95","2.97","0.0","0.0","0.0","0.0","6.34","57.09","241.4","120.7","235.06","184.31","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","5695.75","0.79","0.95","0.0","3.15","0.95","2.99","0.0","0.0","0.0","0.0","9.34","57.09","241.4","120.7","232.07","184.31","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","5695.75","0.7","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","12.3","57.09","241.4","120.7","229.1","184.31","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","5695.75","0.64","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","15.26","57.09","241.4","120.7","226.14","184.31","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","5695.75","0.6","0.95","0.0","2.58","0.95","2.45","0.0","0.0","0.0","0.0","17.72","57.09","241.4","120.7","223.69","184.31","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","5695.75","0.57","0.95","0.0","2.43","0.95","2.31","1.04","1.04","0.0","0.0","18.98","57.09","241.4","120.7","222.42","184.31","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","5695.75","0.53","0.95","0.0","3.06","0.95","2.91","0.84","0.84","0.0","0.0","21.05","57.09","241.4","120.7","220.35","184.31","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","5695.75","0.5","0.95","0.0","3.41","0.95","3.24","0.0","0.0","0.0","0.0","24.29","57.09","241.4","120.7","217.11","184.31","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","5695.75","0.48","0.95","0.0","3.28","0.95","3.12","0.0","0.0","0.0","0.0","27.41","57.09","241.4","120.7","214.0","184.31","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","5695.75","0.45","0.95","0.0","3.68","0.95","3.5","0.0","0.0","0.0","0.0","30.9","57.09","241.4","120.7","210.5","184.31","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","5695.75","0.43","0.95","0.0","4.3","0.95","4.09","0.0","0.0","0.0","0.0","34.99","57.09","241.4","120.7","206.41","184.31","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","5695.75","0.41","0.95","0.0","3.59","0.95","3.41","0.0","0.0","0.0","0.0","38.4","57.09","241.4","120.7","203.0","184.31","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","5695.75","0.39","0.95","0.0","3.48","0.95","3.31","0.0","0.0","0.0","0.0","41.7","57.09","241.4","120.7","199.7","184.31","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","5695.75","0.38","0.95","0.0","3.78","0.95","3.59","0.01","0.01","0.0","0.0","45.28","57.09","241.4","120.7","196.12","184.31","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","5695.75","0.37","0.95","0.0","3.59","0.95","3.41","0.0","0.0","0.0","0.0","48.7","57.09","241.4","120.7","192.71","184.31","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","5695.75","0.35","0.95","0.0","3.81","0.95","3.62","0.0","0.0","0.0","0.0","52.31","57.09","241.4","120.7","189.09","184.31","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","5695.75","0.34","0.95","0.0","3.73","0.95","3.54","0.0","0.0","0.0","0.0","55.86","57.09","241.4","120.7","185.54","184.31","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","5695.75","0.33","0.95","0.0","3.81","0.95","3.62","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","59.48","","","","","","",""
"2016.0","4.0","3.0","94.0","5695.75","0.32","0.95","0.0","4.13","0.95","3.92","0.0","0.0","0.0","0.0","3.92","57.09","241.4","120.7","237.48","184.31","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","5695.75","0.31","0.95","0.0","4.33","0.95","4.11","0.0","0.0","0.0","0.0","8.04","57.09","241.4","120.7","233.36","184.31","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","5695.75","0.3","0.95","0.0","5.51","0.95","5.23","0.0","0.0","0.0","0.0","13.27","57.09","241.4","120.7","228.13","184.31","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","5695.75","0.29","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","17.88","57.09","241.4","120.7","223.52","184.31","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","5695.75","0.28","0.95","0.0","4.26","0.95","4.05","0.0","0.0","0.0","0.0","21.93","57.09","241.4","120.7","219.48","184.31","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","5695.75","0.28","0.95","0.0","3.38","0.95","3.21","0.01","0.01","0.0","0.0","25.13","57.09","241.4","120.7","216.27","184.31","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","5695.75","1.16","0.95","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","18.77","57.09","241.4","120.7","222.63","184.31","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","5695.75","1.14","0.95","0.0","2.05","1.14","2.33","30.23","21.1","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","5695.75","1.12","0.95","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","57.09","241.4","120.7","238.75","184.31","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","5695.75","0.94","0.95","0.0","3.22","0.95","3.06","0.0","0.0","0.0","0.0","5.72","57.09","241.4","120.7","235.69","184.31","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","5695.75","0.76","0.95","0.0","4.22","0.95","4.01","0.0","0.0","0.0","0.0","9.72","57.09","241.4","120.7","231.68","184.31","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","5695.75","0.66","0.95","0.0","4.17","0.95","3.96","1.61","1.61","0.0","0.0","12.08","57.09","241.4","120.7","229.33","184.31","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","5695.75","0.57","0.95","0.0","5.48","0.95","5.21","0.0","0.0","0.0","0.0","17.28","57.09","241.4","120.7","224.12","184.31","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","5695.75","0.51","0.95","0.0","5.16","0.95","4.9","0.0","0.0","0.0","0.0","22.18","57.09","241.4","120.7","219.22","184.31","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","5695.75","0.47","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","26.79","57.09","241.4","120.7","214.61","184.31","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","5695.75","0.44","0.95","0.0","5.18","0.95","4.92","0.0","0.0","0.0","0.0","31.71","57.09","241.4","120.7","209.69","184.31","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","5695.75","0.41","0.95","0.0","4.94","0.95","4.69","0.0","0.0","0.0","0.0","36.41","57.09","241.4","120.7","205.0","184.31","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","5695.75","0.39","0.95","0.0","5.19","0.95","4.93","0.0","0.0","0.0","0.0","41.34","57.09","241.4","120.7","200.07","184.31","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","5695.75","0.37","0.95","0.0","3.95","0.95","3.75","0.0","0.0","0.0","0.0","45.09","57.09","241.4","120.7","196.31","184.31","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","5695.75","0.36","0.95","0.0","2.76","0.95","2.62","0.01","0.01","0.0","0.0","47.7","57.09","241.4","120.7","193.7","184.31","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","5695.75","1.06","0.95","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","46.1","57.09","241.4","120.7","195.3","184.31","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","5695.75","0.9","0.95","0.0","4.63","0.95","4.4","0.0","0.0","0.0","0.0","50.5","57.09","241.4","120.7","190.9","184.31","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","5695.75","0.7","0.95","0.0","5.42","0.95","5.15","0.0","0.0","0.0","0.0","55.65","57.09","241.4","120.7","185.76","184.31","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","5695.75","0.61","0.95","0.0","4.78","0.95","4.54","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","60.19","","","","","","",""
"2016.0","4.0","27.0","118.0","5695.75","0.56","0.95","0.0","3.73","0.95","3.54","0.04","0.04","0.0","0.0","3.5","57.09","241.4","120.7","237.9","184.31","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","5695.75","0.5","0.95","0.0","5.66","0.95","5.38","3.4","3.4","0.0","0.0","5.48","57.09","241.4","120.7","235.92","184.31","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","5695.75","0.46","0.95","0.0","5.01","0.95","4.76","0.0","0.0","0.0","0.0","10.24","57.09","241.4","120.7","231.16","184.31","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","5695.75","0.41","0.95","0.0","7.32","0.95","6.95","0.0","0.0","0.0","0.0","17.19","57.09","241.4","120.7","224.21","184.31","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","5695.75","0.38","0.95","0.0","5.79","0.95","5.5","0.0","0.0","0.0","0.0","22.69","57.09","241.4","120.7","218.71","184.31","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","5695.75","0.36","0.95","0.0","5.39","0.95","5.12","0.0","0.0","0.0","0.0","27.82","57.09","241.4","120.7","213.59","184.31","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","5695.75","0.35","0.95","0.0","4.47","0.95","4.25","0.0","0.0","0.0","0.0","32.06","57.09","241.4","120.7","209.34","184.31","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","5695.75","0.34","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","36.54","57.09","241.4","120.7","204.87","184.31","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","5695.75","0.33","0.95","0.0","2.67","0.95","2.54","0.0","0.0","0.0","0.0","39.07","57.09","241.4","120.7","202.33","184.31","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","5695.75","0.33","0.95","0.0","1.97","0.95","1.87","0.26","0.26","0.0","0.0","40.68","57.09","241.4","120.7","200.72","184.31","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","5695.75","1.13","0.95","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","36.0","57.09","241.4","120.7","205.4","184.31","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","5695.75","1.11","0.95","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","39.01","57.09","241.4","120.7","202.39","184.31","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","5695.75","0.84","0.95","0.0","4.7","0.95","4.47","0.0","0.0","0.0","0.0","43.48","57.09","241.4","120.7","197.92","184.31","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","5695.75","0.67","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","48.78","57.09","241.4","120.7","192.62","184.31","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","5695.75","0.57","0.95","0.0","5.92","0.95","5.62","0.0","0.0","0.0","0.0","54.4","57.09","241.4","120.7","187.0","184.31","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","5695.75","0.5","0.95","0.0","6.04","0.95","5.74","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","60.14","","","","","","",""
"2016.0","5.0","13.0","134.0","5695.75","0.46","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","5.3","57.09","241.4","120.7","236.1","184.31","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","5695.75","0.42","0.95","0.0","5.14","0.95","4.88","0.0","0.0","0.0","0.0","10.18","57.09","241.4","120.7","231.22","184.31","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","5695.75","0.4","0.95","0.0","5.58","0.95","5.3","0.0","0.0","0.0","0.0","15.49","57.09","241.4","120.7","225.92","184.31","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","5695.75","0.37","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","21.8","57.09","241.4","120.7","219.6","184.31","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","5695.75","0.34","0.95","0.0","7.63","0.95","7.25","0.0","0.0","0.0","0.0","29.05","57.09","241.4","120.7","212.35","184.31","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","5695.75","0.32","0.95","0.0","7.1","0.95","6.75","0.0","0.0","0.0","0.0","35.8","57.09","241.4","120.7","205.61","184.31","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","5695.75","0.31","0.95","0.0","6.31","0.95","5.99","0.0","0.0","0.0","0.0","41.79","57.09","241.4","120.7","199.61","184.31","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","5695.75","0.3","0.95","0.0","5.02","0.95","4.77","0.0","0.0","0.0","0.0","46.56","57.09","241.4","120.7","194.84","184.31","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","5695.75","0.29","0.95","0.0","3.47","0.95","3.3","0.0","0.0","0.0","0.0","49.86","57.09","241.4","120.7","191.55","184.31","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","5695.75","0.28","0.95","0.0","4.27","0.95","4.06","1.71","1.71","0.0","0.0","52.2","57.09","241.4","120.7","189.2","184.31","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","5695.75","0.28","0.95","0.0","4.87","0.95","4.63","0.0","0.0","0.0","0.0","56.83","57.09","241.4","120.7","184.57","184.31","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","5695.75","0.27","0.95","0.0","4.92","0.95","4.67","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","61.5","","","","","","",""
"2016.0","5.0","25.0","146.0","5695.75","0.26","0.95","0.0","5.35","0.95","5.08","0.0","0.0","0.0","0.0","5.08","57.09","241.4","120.7","236.32","184.31","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","5695.75","0.25","0.95","0.0","5.71","0.95","5.42","0.0","0.0","0.0","0.0","10.51","57.09","241.4","120.7","230.89","184.31","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","5695.75","0.25","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","16.29","57.09","241.4","120.7","225.11","184.31","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","5695.75","0.24","0.95","0.0","6.94","0.95","6.59","0.0","0.0","0.0","0.0","22.89","57.09","241.4","120.7","218.52","184.31","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","5695.75","0.23","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","29.18","57.09","241.4","120.7","212.22","184.31","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","5695.75","0.23","0.95","0.0","6.85","0.95","6.51","0.0","0.0","0.0","0.0","35.69","57.09","241.4","120.7","205.71","184.31","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","5695.75","0.22","0.95","0.0","7.16","0.95","6.8","0.0","0.0","0.0","0.0","42.49","57.09","241.4","120.7","198.91","184.31","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","5695.75","0.21","0.95","0.0","7.16","0.95","6.8","0.0","0.0","0.0","0.0","49.3","57.09","241.4","120.7","192.11","184.31","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","5695.75","0.21","0.95","0.0","7.01","0.95","6.66","0.0","0.0","0.0","0.0","55.96","57.09","241.4","120.7","185.45","184.31","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","5695.75","0.2","0.95","0.0","7.38","0.95","7.01","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","62.97","","","","","","",""
"2016.0","6.0","4.0","156.0","5695.75","0.2","0.95","0.0","5.17","0.95","4.91","0.0","0.0","0.0","0.0","4.91","57.09","241.4","120.7","236.49","184.31","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","5695.75","0.2","0.95","0.0","7.76","0.95","7.37","0.0","0.0","0.0","0.0","12.28","57.09","241.4","120.7","229.12","184.31","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","5695.75","0.19","0.95","0.0","7.24","0.95","6.88","0.0","0.0","0.0","0.0","19.16","57.09","241.4","120.7","222.24","184.31","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","5695.75","0.19","0.95","0.0","6.94","0.95","6.59","0.0","0.0","0.0","0.0","25.75","57.09","241.4","120.7","215.65","184.31","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","5695.75","0.19","0.95","0.0","6.51","0.95","6.18","0.0","0.0","0.0","0.0","31.94","57.09","241.4","120.7","209.46","184.31","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","5695.75","0.18","0.95","0.0","6.32","0.95","6.0","0.0","0.0","0.0","0.0","37.94","57.09","241.4","120.7","203.46","184.31","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","5695.75","0.18","0.95","0.0","6.71","0.95","6.37","0.0","0.0","0.0","0.0","44.32","57.09","241.4","120.7","197.08","184.31","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","5695.75","0.18","0.95","0.0","6.85","0.95","6.51","0.0","0.0","0.0","0.0","50.83","57.09","241.4","120.7","190.58","184.31","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","5695.75","0.17","0.95","0.0","6.87","0.95","6.53","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","57.35","","","","","","",""
"2016.0","6.0","13.0","165.0","5695.75","0.17","0.95","0.0","6.59","0.95","6.26","0.0","0.0","0.0","0.0","6.26","57.09","241.4","120.7","235.14","184.31","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","5695.75","0.17","0.95","0.0","6.48","0.95","6.16","0.0","0.0","0.0","0.0","12.42","57.09","241.4","120.7","228.99","184.31","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","5695.75","0.17","0.95","0.0","5.54","0.95","5.26","0.0","0.0","0.0","0.0","17.68","57.09","241.4","120.7","223.72","184.31","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","5695.75","0.16","0.95","0.0","5.48","0.95","5.21","0.0","0.0","0.0","0.0","22.89","57.09","241.4","120.7","218.52","184.31","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","5695.75","0.16","0.95","0.0","5.34","0.95","5.07","0.0","0.0","0.0","0.0","27.96","57.09","241.4","120.7","213.44","184.31","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","5695.75","0.16","0.95","0.0","6.31","0.95","5.99","0.0","0.0","0.0","0.0","33.95","57.09","241.4","120.7","207.45","184.31","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","5695.75","0.16","0.95","0.0","6.96","0.95","6.61","0.0","0.0","0.0","0.0","40.57","57.09","241.4","120.7","200.84","184.31","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","5695.75","0.16","0.95","0.0","7.57","0.95","7.19","0.0","0.0","0.0","0.0","47.76","57.09","241.4","120.7","193.65","184.31","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","5695.75","0.15","0.95","0.0","7.92","0.95","7.52","0.0","0.0","0.0","0.0","55.28","57.09","241.4","120.7","186.12","184.31","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","5695.75","0.15","0.95","0.0","7.86","0.95","7.47","0.0","0.0","0.0","0.0","0.0","57.09","241.4","120.7","241.4","184.31","62.75","","","","","","",""
"2016.0","6.0","23.0","175.0","5695.75","0.15","0.95","0.0","7.8","0.95","7.41","0.0","0.0","0.0","0.0","7.41","57.09","241.4","120.7","233.99","184.31","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","5695.75","0.15","0.95","0.0","7.05","0.95","6.7","0.0","0.0","0.0","0.0","14.11","57.09","241.4","120.7","227.29","184.31","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","5695.75","0.15","0.95","0.0","7.82","0.95","7.43","0.0","0.0","0.0","0.0","21.54","57.09","241.4","120.7","219.87","184.31","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","5695.75","0.14","0.95","0.0","7.71","0.95","7.32","0.0","0.0","0.0","0.0","28.86","57.09","241.4","120.7","212.54","184.31","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","5695.75","0.14","0.95","0.0","8.18","0.95","7.77","0.0","0.0","0.0","0.0","36.63","57.09","241.4","120.7","204.77","184.31","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","5695.75","0.14","0.95","0.0","8.09","0.95","7.69","0.0","0.0","0.0","0.0","44.32","57.09","241.4","120.7","197.08","184.31","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","5695.75","0.14","0.95","0.0","7.45","0.95","7.08","0.0","0.0","0.0","0.0","51.4","57.09","241.4","120.7","190.01","184.31","0.0","","","","","","",""
