" Daily soil water balance output for Native Vegetation in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Native Vegetation at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","",""
"2016.0","2.0","5.0","36.0","1510.503444","0.82","1.0","0.0","1.43","1.0","1.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","6.0","37.0","1510.503444","0.77","1.0","0.0","1.6","1.0","1.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","7.0","38.0","1510.503444","0.72","1.0","0.0","1.89","1.0","1.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","8.0","39.0","1510.503444","0.67","1.0","0.0","2.05","1.0","2.05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","9.0","40.0","1510.503444","0.64","1.0","0.0","2.01","1.0","2.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","10.0","41.0","1510.503444","0.61","1.0","0.0","1.97","1.0","1.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","11.0","42.0","1510.503444","0.58","1.0","0.0","1.79","1.0","1.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","12.0","43.0","1510.503444","0.56","1.0","0.0","1.82","1.0","1.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","13.0","44.0","1510.503444","0.54","1.0","0.0","2.22","1.0","2.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","14.0","45.0","1510.503444","0.51","1.0","0.0","2.75","1.0","2.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","15.0","46.0","1510.503444","0.49","1.0","0.0","2.42","1.0","2.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","16.0","47.0","1510.503444","0.47","1.0","0.0","2.19","1.0","2.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","17.0","48.0","1510.503444","0.46","1.0","0.0","2.78","1.0","2.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","18.0","49.0","1510.503444","1.14","1.0","0.0","2.0","1.14","2.28","11.72","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","19.0","50.0","1510.503444","1.14","1.0","0.0","1.8","1.14","2.052","0.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","20.0","51.0","1510.503444","1.15","1.0","0.0","1.79","1.15","2.0585","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","21.0","52.0","1510.503444","1.01","1.0","0.0","2.02","1.01","2.0402","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","22.0","53.0","1510.503444","0.87","1.0","0.0","2.58","1.0","2.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","23.0","54.0","1510.503444","0.78","1.0","0.0","2.54","1.0","2.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","24.0","55.0","1510.503444","0.71","1.0","0.0","2.3","1.0","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","25.0","56.0","1510.503444","0.66","1.0","0.0","2.39","1.0","2.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","26.0","57.0","1510.503444","0.62","1.0","0.0","2.37","1.0","2.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","27.0","58.0","1510.503444","0.59","1.0","0.0","2.47","1.0","2.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","28.0","59.0","1510.503444","0.56","1.0","0.0","1.99","1.0","1.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","2.0","29.0","60.0","1510.503444","0.53","1.0","0.0","2.64","1.0","2.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","1.0","61.0","1510.503444","0.51","1.0","0.0","2.97","1.0","2.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","2.0","62.0","1510.503444","0.48","1.0","0.0","2.57","1.0","2.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","3.0","63.0","1510.503444","0.47","1.0","0.0","1.94","1.0","1.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","4.0","64.0","1510.503444","0.46","1.0","0.0","1.53","1.0","1.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","5.0","65.0","1510.503444","1.17","1.0","0.0","1.33","1.17","1.5561","9.29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","6.0","66.0","1510.503444","1.13","1.0","0.0","2.36","1.13","2.6668","16.66","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","7.0","67.0","1510.503444","1.16","1.0","0.0","1.48","1.16","1.7168","11.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","8.0","68.0","1510.503444","1.14","1.0","0.0","1.98","1.14","2.2572","2.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","9.0","69.0","1510.503444","1.14","1.0","0.0","2.12","1.14","2.4168","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","10.0","70.0","1510.503444","1.14","1.0","0.0","1.68","1.14","1.9152","0.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","11.0","71.0","1510.503444","1.15","1.0","0.0","1.72","1.15","1.978","2.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","12.0","72.0","1510.503444","1.15","1.0","0.0","1.9","1.15","2.185","4.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","13.0","73.0","1510.503444","1.17","1.0","0.0","1.19","1.17","1.3923","6.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","14.0","74.0","1510.503444","1.12","1.0","0.0","2.51","1.12","2.8112","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","15.0","75.0","1510.503444","1.11","1.0","0.0","2.97","1.11","3.2967","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","16.0","76.0","1510.503444","0.93","1.0","0.0","3.13","1.0","3.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","17.0","77.0","1510.503444","0.8","1.0","0.0","3.17","1.0","3.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","18.0","78.0","1510.503444","0.71","1.0","0.0","3.01","1.0","3.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","19.0","79.0","1510.503444","0.65","1.0","0.0","2.92","1.0","2.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","20.0","80.0","1510.503444","0.61","1.0","0.0","2.47","1.0","2.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","21.0","81.0","1510.503444","0.58","1.0","0.0","2.53","1.0","2.53","0.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","22.0","82.0","1510.503444","0.54","1.0","0.0","3.04","1.0","3.04","2.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","23.0","83.0","1510.503444","0.51","1.0","0.0","3.34","1.0","3.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","24.0","84.0","1510.503444","0.48","1.0","0.0","3.2","1.0","3.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","25.0","85.0","1510.503444","0.46","1.0","0.0","3.57","1.0","3.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","26.0","86.0","1510.503444","0.43","1.0","0.0","4.11","1.0","4.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","27.0","87.0","1510.503444","0.41","1.0","0.0","3.53","1.0","3.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","28.0","88.0","1510.503444","0.4","1.0","0.0","3.52","1.0","3.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","29.0","89.0","1510.503444","0.38","1.0","0.0","3.66","1.0","3.66","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","30.0","90.0","1510.503444","0.37","1.0","0.0","3.43","1.0","3.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","3.0","31.0","91.0","1510.503444","0.36","1.0","0.0","3.71","1.0","3.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","1.0","92.0","1510.503444","0.35","1.0","0.0","3.61","1.0","3.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","2.0","93.0","1510.503444","0.34","0.99","0.0","3.76","0.99","3.7224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","3.0","94.0","1510.503444","0.33","0.99","0.0","3.9","0.99","3.861","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","4.0","95.0","1510.503444","0.32","0.98","0.0","4.14","0.98","4.0572","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","5.0","96.0","1510.503444","0.31","0.97","0.0","5.29","0.97","5.1313","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","6.0","97.0","1510.503444","0.3","0.97","0.0","4.86","0.97","4.7142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","7.0","98.0","1510.503444","0.29","0.96","0.0","4.1","0.96","3.936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","8.0","99.0","1510.503444","0.28","0.95","0.0","3.19","0.95","3.0305","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","9.0","100.0","1510.503444","1.15","0.95","0.0","1.73","1.15","1.9895","10.68","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","10.0","101.0","1510.503444","1.15","0.94","0.0","1.79","1.15","2.0585","22.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","11.0","102.0","1510.503444","1.13","0.93","0.0","2.61","1.13","2.9493","0.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","12.0","103.0","1510.503444","0.98","0.93","0.0","3.45","0.98","3.381","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","13.0","104.0","1510.503444","0.79","0.92","0.0","4.09","0.92","3.7628","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","14.0","105.0","1510.503444","0.68","0.91","0.0","4.08","0.91","3.7128","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","15.0","106.0","1510.503444","0.58","0.91","0.0","5.28","0.91","4.8048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","16.0","107.0","1510.503444","0.52","0.9","0.0","5.03","0.9","4.527","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","17.0","108.0","1510.503444","0.48","0.89","0.0","4.82","0.89","4.2898","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","18.0","109.0","1510.503444","0.44","0.89","0.0","5.14","0.89","4.5746","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","19.0","110.0","1510.503444","0.42","0.88","0.0","4.79","0.88","4.2152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","20.0","111.0","1510.503444","0.39","0.87","0.0","4.96","0.87","4.3152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","21.0","112.0","1510.503444","0.38","0.87","0.0","3.57","0.87","3.1059","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","22.0","113.0","1510.503444","0.37","0.86","0.0","3.0","0.86","2.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","23.0","114.0","1510.503444","1.07","0.85","0.0","3.83","1.07","4.0981","4.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","24.0","115.0","1510.503444","0.93","0.85","0.0","4.48","0.93","4.1664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","25.0","116.0","1510.503444","0.72","0.84","0.0","5.28","0.84","4.4352","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","26.0","117.0","1510.503444","0.62","0.84","0.0","4.6","0.84","3.864","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","27.0","118.0","1510.503444","0.57","0.83","0.0","3.67","0.83","3.0461","0.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","28.0","119.0","1510.503444","0.51","0.82","0.0","5.37","0.82","4.4034","0.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","29.0","120.0","1510.503444","0.47","0.82","0.0","4.78","0.82","3.9196","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","4.0","30.0","121.0","1510.503444","0.42","0.81","0.0","6.95","0.81","5.6295","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","1.0","122.0","1510.503444","0.39","0.8","0.0","5.57","0.8","4.456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","2.0","123.0","1510.503444","0.37","0.8","0.0","5.01","0.8","4.008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","3.0","124.0","1510.503444","0.36","0.79","0.0","4.22","0.79","3.3338","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","4.0","125.0","1510.503444","0.34","0.78","0.0","4.46","0.78","3.4788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","5.0","126.0","1510.503444","0.34","0.78","0.0","2.55","0.78","1.989","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","6.0","127.0","1510.503444","0.33","0.77","0.0","1.85","0.77","1.4245","0.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","7.0","128.0","1510.503444","1.14","0.76","0.0","2.02","1.14","2.3028","5.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","8.0","129.0","1510.503444","1.12","0.76","0.0","3.29","1.12","3.6848","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","9.0","130.0","1510.503444","0.87","0.75","0.0","4.53","0.87","3.9411","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","10.0","131.0","1510.503444","0.69","0.74","0.0","5.22","0.74","3.8628","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","11.0","132.0","1510.503444","0.59","0.74","0.0","5.48","0.74","4.0552","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","12.0","133.0","1510.503444","0.52","0.73","0.0","5.51","0.73","4.0223","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","13.0","134.0","1510.503444","0.47","0.72","0.0","5.16","0.72","3.7152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","14.0","135.0","1510.503444","0.44","0.72","0.0","4.92","0.72","3.5424","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","15.0","136.0","1510.503444","0.41","0.71","0.0","5.35","0.71","3.7985","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","16.0","137.0","1510.503444","0.38","0.7","0.0","6.27","0.7","4.389","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","17.0","138.0","1510.503444","0.35","0.7","0.0","7.18","0.7","5.026","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","18.0","139.0","1510.503444","0.33","0.69","0.0","6.7","0.69","4.623","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","19.0","140.0","1510.503444","0.32","0.68","0.0","6.01","0.68","4.0868","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","20.0","141.0","1510.503444","0.31","0.68","0.0","4.97","0.68","3.3796","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","21.0","142.0","1510.503444","0.3","0.67","0.0","3.95","0.67","2.6465","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","22.0","143.0","1510.503444","0.29","0.66","0.0","4.23","0.66","2.7918","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","23.0","144.0","1510.503444","0.28","0.66","0.0","4.85","0.66","3.201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","24.0","145.0","1510.503444","0.28","0.65","0.0","4.82","0.65","3.133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","25.0","146.0","1510.503444","0.27","0.64","0.0","5.11","0.64","3.2704","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","26.0","147.0","1510.503444","0.26","0.64","0.0","5.37","0.64","3.4368","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","27.0","148.0","1510.503444","0.25","0.63","0.0","5.77","0.63","3.6351","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","28.0","149.0","1510.503444","0.25","0.62","0.0","6.64","0.62","4.1168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","29.0","150.0","1510.503444","0.24","0.62","0.0","6.14","0.62","3.8068","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","30.0","151.0","1510.503444","0.23","0.61","0.0","6.39","0.61","3.8979","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","5.0","31.0","152.0","1510.503444","0.23","0.6","0.0","6.71","0.6","4.026","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","1.0","153.0","1510.503444","0.22","0.6","0.0","6.54","0.6","3.924","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","2.0","154.0","1510.503444","0.22","0.59","0.0","6.54","0.59","3.8586","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","3.0","155.0","1510.503444","0.21","0.58","0.0","7.02","0.58","4.0716","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","4.0","156.0","1510.503444","0.21","0.58","0.0","5.11","0.58","2.9638","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","5.0","157.0","1510.503444","0.2","0.57","0.0","7.15","0.57","4.0755","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","6.0","158.0","1510.503444","0.2","0.56","0.0","6.51","0.56","3.6456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","7.0","159.0","1510.503444","0.19","0.56","0.0","6.27","0.56","3.5112","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","8.0","160.0","1510.503444","0.19","0.55","0.0","6.01","0.55","3.3055","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","9.0","161.0","1510.503444","0.19","0.55","0.0","5.82","0.55","3.201","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","10.0","162.0","1510.503444","0.18","0.54","0.0","6.24","0.54","3.3696","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","11.0","163.0","1510.503444","0.18","0.53","0.0","6.59","0.53","3.4927","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","12.0","164.0","1510.503444","0.18","0.53","0.0","6.4","0.53","3.392","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","13.0","165.0","1510.503444","0.18","0.52","0.0","6.08","0.52","3.1616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","14.0","166.0","1510.503444","0.17","0.51","0.0","6.11","0.51","3.1161","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","15.0","167.0","1510.503444","0.17","0.51","0.0","5.27","0.51","2.6877","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","16.0","168.0","1510.503444","0.17","0.5","0.0","5.19","0.5","2.595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","17.0","169.0","1510.503444","0.17","0.49","0.0","5.13","0.49","2.5137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2016.0","6.0","18.0","170.0","1510.503444","0.17","0.49","0.0","6.15","0.49","3.0135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
