" Daily soil water balance output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","1904.36","0.58","0.0","0.0","1.8","0.58","1.04","0.0","0.0","0.0","0.0","18.62","27.0","356.62","178.31","338.0","329.62","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","1904.36","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","27.0","356.62","178.31","336.94","329.62","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1904.36","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","27.0","356.62","178.31","335.71","329.62","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1904.36","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","27.0","356.62","178.31","334.22","329.62","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1904.36","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","27.0","356.62","178.31","333.05","329.62","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1904.36","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","27.0","356.62","178.31","332.03","329.62","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1904.36","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","25.9","27.0","356.62","178.31","330.72","329.62","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1904.36","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","15.5","27.0","356.62","178.31","341.11","329.62","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1904.36","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","15.87","27.0","356.62","178.31","340.74","329.62","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1904.36","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","17.91","27.0","356.62","178.31","338.7","329.62","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1904.36","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","19.97","27.0","356.62","178.31","336.64","329.62","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1904.36","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","22.29","27.0","356.62","178.31","334.33","329.62","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1904.36","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","24.23","27.0","356.62","178.31","332.39","329.62","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1904.36","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","25.87","27.0","356.62","178.31","330.75","329.62","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1904.36","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","27.45","27.0","356.62","178.31","329.16","329.62","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1904.36","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1904.36","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","28.44","27.0","356.62","178.31","328.18","329.62","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1904.36","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1904.36","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","28.43","27.0","356.62","178.31","328.18","329.62","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1904.36","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1904.36","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","28.28","27.0","356.62","178.31","328.33","329.62","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1904.36","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1904.36","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","27.75","27.0","356.62","178.31","328.87","329.62","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1904.36","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","18.22","27.0","356.62","178.31","338.4","329.62","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1904.36","1.13","0.0","0.0","2.24","1.13","2.53","23.66","20.75","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1904.36","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1904.36","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","27.0","356.62","178.31","356.59","329.62","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1904.36","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","27.0","356.62","178.31","354.13","329.62","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1904.36","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","27.0","356.62","178.31","352.51","329.62","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1904.36","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","27.0","356.62","178.31","353.23","329.62","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1904.36","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1904.36","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1904.36","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1904.36","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","27.0","356.62","178.31","353.25","329.62","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1904.36","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","27.0","356.62","178.31","350.35","329.62","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1904.36","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","27.0","356.62","178.31","347.85","329.62","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1904.36","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","27.0","356.62","178.31","345.65","329.62","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1904.36","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","27.0","356.62","178.31","343.65","329.62","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1904.36","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","27.0","356.62","178.31","342.1","329.62","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1904.36","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","27.0","356.62","178.31","341.76","329.62","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1904.36","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","27.0","356.62","178.31","340.97","329.62","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1904.36","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","27.0","356.62","178.31","339.26","329.62","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1904.36","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","27.0","356.62","178.31","337.69","329.62","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1904.36","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","27.0","356.62","178.31","336.04","329.62","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1904.36","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","27.0","356.62","178.31","334.2","329.62","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1904.36","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","23.88","27.0","356.62","178.31","332.74","329.62","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1904.36","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","25.24","27.0","356.62","178.31","331.37","329.62","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1904.36","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","26.66","27.0","356.62","178.31","329.96","329.62","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1904.36","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","27.97","27.0","356.62","178.31","328.65","329.62","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1904.36","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1904.36","0.34","0.0","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","28.28","27.0","356.62","178.31","328.34","329.62","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1904.36","0.33","0.0","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1904.36","0.32","0.0","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","28.33","27.0","356.62","178.31","328.29","329.62","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1904.36","0.31","0.0","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1904.36","0.3","0.0","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","28.66","27.0","356.62","178.31","327.96","329.62","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1904.36","0.29","0.0","0.0","4.85","0.29","1.42","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1904.36","0.28","0.0","0.0","4.26","0.28","1.21","0.0","0.0","0.0","0.0","28.21","27.0","356.62","178.31","328.4","329.62","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1904.36","0.28","0.0","0.0","3.38","0.28","0.95","0.01","0.01","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1904.36","1.16","0.0","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","20.64","27.0","356.62","178.31","335.97","329.62","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1904.36","1.14","0.0","0.0","2.05","1.14","2.33","30.23","22.98","0.0","0.0","0.0","27.0","356.62","178.31","356.62","329.62","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1904.36","1.12","0.0","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","27.0","356.62","178.31","353.96","329.62","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1904.36","0.94","0.0","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","27.0","356.62","178.31","350.93","329.62","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1904.36","0.76","0.0","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","27.0","356.62","178.31","347.7","329.62","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1904.36","0.66","0.0","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","27.0","356.62","178.31","346.56","329.62","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1904.36","0.57","0.0","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","27.0","356.62","178.31","343.44","329.62","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1904.36","0.51","0.0","0.0","5.16","0.51","2.64","0.0","0.0","0.0","0.0","15.82","27.0","356.62","178.31","340.8","329.62","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1904.36","0.47","0.0","0.0","4.85","0.47","2.28","0.0","0.0","0.0","0.0","18.1","27.0","356.62","178.31","338.52","329.62","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1904.36","0.44","0.0","0.0","5.18","0.44","2.26","0.0","0.0","0.0","0.0","20.36","27.0","356.62","178.31","336.26","329.62","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1904.36","0.41","0.0","0.0","4.94","0.41","2.02","0.0","0.0","0.0","0.0","22.38","27.0","356.62","178.31","334.24","329.62","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1904.36","0.39","0.0","0.0","5.19","0.39","2.0","0.0","0.0","0.0","0.0","24.38","27.0","356.62","178.31","332.24","329.62","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1904.36","0.37","0.0","0.0","3.95","0.37","1.46","0.0","0.0","0.0","0.0","25.84","27.0","356.62","178.31","330.77","329.62","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1904.36","0.36","0.0","0.0","2.76","0.36","1.0","0.01","0.01","0.0","0.0","26.83","27.0","356.62","178.31","329.78","329.62","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1904.36","1.06","0.0","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","25.23","27.0","356.62","178.31","331.39","329.62","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1904.36","0.9","0.0","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","29.39","27.0","356.62","178.31","327.22","329.62","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1904.36","0.7","0.0","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1904.36","0.61","0.0","0.0","4.78","0.61","2.9","0.0","0.0","0.0","0.0","29.9","27.0","356.62","178.31","326.72","329.62","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1904.36","0.56","0.0","0.0","3.73","0.56","2.08","0.04","0.04","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1904.36","0.5","0.0","0.0","5.66","0.5","2.81","3.4","3.4","0.0","0.0","26.41","27.0","356.62","178.31","330.21","329.62","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1904.36","0.46","0.0","0.0","5.01","0.46","2.29","0.0","0.0","0.0","0.0","28.7","27.0","356.62","178.31","327.92","329.62","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1904.36","0.41","0.0","0.0","7.32","0.41","3.01","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1904.36","0.38","0.69","0.0","5.79","0.69","4.0","0.0","0.0","0.0","0.0","31.0","71.28","356.62","178.31","325.62","285.34","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1904.36","0.36","0.69","0.0","5.39","0.69","3.72","0.0","0.0","0.0","0.0","34.71","71.28","356.62","178.31","321.9","285.34","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1904.36","0.35","0.69","0.0","4.47","0.69","3.08","0.0","0.0","0.0","0.0","37.8","71.28","356.62","178.31","318.82","285.34","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1904.36","0.34","0.69","0.0","4.71","0.69","3.25","0.0","0.0","0.0","0.0","41.05","71.28","356.62","178.31","315.57","285.34","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1904.36","0.33","0.69","0.0","2.67","0.69","1.84","0.0","0.0","0.0","0.0","42.89","71.28","356.62","178.31","313.73","285.34","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1904.36","0.33","0.69","0.0","1.97","0.69","1.36","0.26","0.26","0.0","0.0","43.99","71.28","356.62","178.31","312.63","285.34","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1904.36","1.13","0.69","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","39.31","71.28","356.62","178.31","317.31","285.34","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1904.36","1.11","0.69","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","42.32","71.28","356.62","178.31","314.3","285.34","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1904.36","0.84","0.69","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","46.28","71.28","356.62","178.31","310.34","285.34","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1904.36","0.67","0.69","0.0","5.58","0.69","3.85","0.0","0.0","0.0","0.0","50.13","71.28","356.62","178.31","306.49","285.34","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1904.36","0.57","0.69","0.0","5.92","0.69","4.08","0.0","0.0","0.0","0.0","54.21","71.28","356.62","178.31","302.4","285.34","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","1904.36","0.5","0.69","0.0","6.04","0.69","4.17","0.0","0.0","0.0","0.0","58.38","71.28","356.62","178.31","298.24","285.34","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1904.36","0.46","0.69","0.0","5.58","0.69","3.85","0.0","0.0","0.0","0.0","62.23","71.28","356.62","178.31","294.39","285.34","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1904.36","0.42","0.69","0.0","5.14","0.69","3.55","0.0","0.0","0.0","0.0","65.78","71.28","356.62","178.31","290.84","285.34","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","1904.36","0.4","0.69","0.0","5.58","0.69","3.85","0.0","0.0","0.0","0.0","69.63","71.28","356.62","178.31","286.99","285.34","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1904.36","0.37","0.69","0.0","6.65","0.69","4.59","0.0","0.0","0.0","0.0","0.0","71.28","356.62","178.31","356.62","285.34","74.22","","","","","","",""
"2016.0","5.0","17.0","138.0","1904.36","0.34","0.69","0.0","7.63","0.69","5.26","0.0","0.0","0.0","0.0","5.26","71.28","356.62","178.31","351.35","285.34","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1904.36","0.32","0.69","0.0","7.1","0.69","4.9","0.0","0.0","0.0","0.0","10.16","71.28","356.62","178.31","346.45","285.34","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1904.36","0.31","0.69","0.0","6.31","0.69","4.35","0.0","0.0","0.0","0.0","14.52","71.28","356.62","178.31","342.1","285.34","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1904.36","0.3","0.7","0.0","5.02","0.7","3.51","0.0","0.0","0.0","0.0","18.03","71.28","356.62","178.31","338.58","285.34","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1904.36","0.29","0.71","0.0","3.47","0.71","2.46","0.0","0.0","0.0","0.0","20.5","71.28","356.62","178.31","336.12","285.34","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1904.36","0.28","0.72","0.0","4.27","0.72","3.07","1.71","1.71","0.0","0.0","21.86","71.28","356.62","178.31","334.76","285.34","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1904.36","0.28","0.73","0.0","4.87","0.73","3.56","0.0","0.0","0.0","0.0","25.41","71.28","356.62","178.31","331.2","285.34","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1904.36","0.27","0.74","0.0","4.92","0.74","3.64","0.0","0.0","0.0","0.0","29.06","71.28","356.62","178.31","327.56","285.34","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1904.36","0.26","0.75","0.0","5.35","0.75","4.01","0.0","0.0","0.0","0.0","33.07","71.28","356.62","178.31","323.55","285.34","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1904.36","0.25","0.76","0.0","5.71","0.76","4.34","0.0","0.0","0.0","0.0","37.41","71.28","356.62","178.31","319.21","285.34","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1904.36","0.25","0.77","0.0","6.09","0.77","4.69","0.0","0.0","0.0","0.0","42.1","71.28","356.62","178.31","314.52","285.34","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","1904.36","0.24","0.78","0.0","6.94","0.78","5.41","0.0","0.0","0.0","0.0","47.51","71.28","356.62","178.31","309.11","285.34","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1904.36","0.23","0.79","0.0","6.63","0.79","5.24","0.0","0.0","0.0","0.0","52.75","71.28","356.62","178.31","303.87","285.34","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1904.36","0.23","0.8","0.0","6.85","0.8","5.48","0.0","0.0","0.0","0.0","58.23","71.28","356.62","178.31","298.39","285.34","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1904.36","0.22","0.81","0.0","7.16","0.81","5.8","0.0","0.0","0.0","0.0","64.03","71.28","356.62","178.31","292.59","285.34","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1904.36","0.21","0.82","0.0","7.16","0.82","5.87","0.0","0.0","0.0","0.0","69.9","71.28","356.62","178.31","286.72","285.34","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1904.36","0.21","0.83","0.0","7.01","0.83","5.82","0.0","0.0","0.0","0.0","0.0","71.28","356.62","178.31","356.62","285.34","75.72","","","","","","",""
"2016.0","6.0","3.0","155.0","1904.36","0.2","0.84","0.0","7.38","0.84","6.2","0.0","0.0","0.0","0.0","6.2","71.28","356.62","178.31","350.42","285.34","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1904.36","0.2","0.85","0.0","5.17","0.85","4.39","0.0","0.0","0.0","0.0","10.59","71.28","356.62","178.31","346.02","285.34","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1904.36","0.2","0.86","0.0","7.76","0.86","6.67","0.0","0.0","0.0","0.0","17.27","71.28","356.62","178.31","339.35","285.34","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","1904.36","0.19","0.87","0.0","7.24","0.87","6.3","0.0","0.0","0.0","0.0","23.57","71.28","356.62","178.31","333.05","285.34","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1904.36","0.19","0.88","0.0","6.94","0.88","6.11","0.0","0.0","0.0","0.0","29.67","71.28","356.62","178.31","326.94","285.34","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1904.36","0.19","0.89","0.0","6.51","0.89","5.79","0.0","0.0","0.0","0.0","35.47","71.28","356.62","178.31","321.15","285.34","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1904.36","0.18","0.9","0.0","6.32","0.9","5.69","0.0","0.0","0.0","0.0","41.16","71.28","356.62","178.31","315.46","285.34","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1904.36","0.18","0.91","0.0","6.71","0.91","6.11","0.0","0.0","0.0","0.0","47.26","71.28","356.62","178.31","309.35","285.34","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1904.36","0.18","0.92","0.0","6.85","0.92","6.3","0.0","0.0","0.0","0.0","53.56","71.28","356.62","178.31","303.05","285.34","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1904.36","0.17","0.93","0.0","6.87","0.93","6.39","0.0","0.0","0.0","0.0","59.95","71.28","356.62","178.31","296.66","285.34","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1904.36","0.17","0.94","0.0","6.59","0.94","6.19","0.0","0.0","0.0","0.0","66.15","71.28","356.62","178.31","290.47","285.34","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1904.36","0.17","0.95","0.0","6.48","0.95","6.16","0.0","0.0","0.0","0.0","0.0","71.28","356.62","178.31","356.62","285.34","72.3","","","","","","",""
"2016.0","6.0","15.0","167.0","1904.36","0.17","0.95","0.0","5.54","0.95","5.26","0.0","0.0","0.0","0.0","5.26","71.28","356.62","178.31","351.35","285.34","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1904.36","0.16","0.95","0.0","5.48","0.95","5.21","0.0","0.0","0.0","0.0","10.47","71.28","356.62","178.31","346.15","285.34","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1904.36","0.16","0.95","0.0","5.34","0.95","5.07","0.0","0.0","0.0","0.0","15.54","71.28","356.62","178.31","341.07","285.34","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1904.36","0.16","0.95","0.0","6.31","0.95","5.99","0.0","0.0","0.0","0.0","21.54","71.28","356.62","178.31","335.08","285.34","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1904.36","0.16","0.95","0.0","6.96","0.95","6.61","0.0","0.0","0.0","0.0","28.15","71.28","356.62","178.31","328.47","285.34","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1904.36","0.16","0.95","0.0","7.57","0.95","7.19","0.0","0.0","0.0","0.0","35.34","71.28","356.62","178.31","321.28","285.34","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1904.36","0.15","0.95","0.0","7.92","0.95","7.52","0.0","0.0","0.0","0.0","42.86","71.28","356.62","178.31","313.75","285.34","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1904.36","0.15","0.95","0.0","7.86","0.95","7.47","0.0","0.0","0.0","0.0","50.33","71.28","356.62","178.31","306.29","285.34","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1904.36","0.15","0.95","0.0","7.8","0.95","7.41","0.0","0.0","0.0","0.0","57.74","71.28","356.62","178.31","298.88","285.34","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1904.36","0.15","0.95","0.0","7.05","0.95","6.7","0.0","0.0","0.0","0.0","64.44","71.28","356.62","178.31","292.18","285.34","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","1904.36","0.15","0.95","0.0","7.82","0.95","7.43","0.0","0.0","0.0","0.0","0.0","71.28","356.62","178.31","356.62","285.34","71.87","","","","","","",""
"2016.0","6.0","26.0","178.0","1904.36","0.14","0.95","0.0","7.71","0.95","7.32","0.0","0.0","0.0","0.0","7.32","71.28","356.62","178.31","349.29","285.34","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1904.36","0.14","0.95","0.0","8.18","0.95","7.77","0.0","0.0","0.0","0.0","15.1","71.28","356.62","178.31","341.52","285.34","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1904.36","0.14","0.95","0.0","8.09","0.95","7.69","0.0","0.0","0.0","0.0","22.78","71.28","356.62","178.31","333.84","285.34","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1904.36","0.14","0.95","0.0","7.45","0.95","7.08","0.0","0.0","0.0","0.0","29.86","71.28","356.62","178.31","326.76","285.34","0.0","","","","","","",""
