" Daily soil water balance output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","2613.8","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","26.4","536.45","268.22","516.6","510.05","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","2613.8","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","26.4","536.45","268.22","515.36","510.05","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","2613.8","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","26.4","536.45","268.22","513.77","510.05","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","2613.8","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","23.94","26.4","536.45","268.22","512.5","510.05","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","2613.8","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","24.93","26.4","536.45","268.22","511.52","510.05","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","2613.8","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","26.09","26.4","536.45","268.22","510.36","510.05","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","2613.8","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","17.57","26.4","536.45","268.22","518.87","510.05","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","2613.8","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","15.86","26.4","536.45","268.22","520.59","510.05","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","2613.8","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","17.86","26.4","536.45","268.22","518.59","510.05","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","2613.8","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","20.1","26.4","536.45","268.22","516.34","510.05","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","2613.8","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","22.75","26.4","536.45","268.22","513.7","510.05","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","2613.8","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","24.81","26.4","536.45","268.22","511.64","510.05","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","2613.8","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","26.54","26.4","536.45","268.22","509.91","510.05","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","2613.8","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","2613.8","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","27.96","26.4","536.45","268.22","508.49","510.05","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","2613.8","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","2613.8","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","27.64","26.4","536.45","268.22","508.81","510.05","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","2613.8","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","2613.8","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","27.96","26.4","536.45","268.22","508.49","510.05","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","2613.8","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","2613.8","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","27.27","26.4","536.45","268.22","509.18","510.05","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","2613.8","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","2613.8","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","14.43","26.4","536.45","268.22","522.02","510.05","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","2613.8","1.13","0.0","0.0","2.19","1.13","2.48","48.26","16.91","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","2613.8","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","2613.8","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","26.4","536.45","268.22","535.93","510.05","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","2613.8","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","26.4","536.45","268.22","533.86","510.05","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","2613.8","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","26.4","536.45","268.22","532.4","510.05","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","2613.8","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","2613.8","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","2613.8","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","2613.8","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","2613.8","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","26.4","536.45","268.22","533.09","510.05","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","2613.8","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","26.4","536.45","268.22","530.22","510.05","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","2613.8","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","26.4","536.45","268.22","527.73","510.05","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","2613.8","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","26.4","536.45","268.22","525.53","510.05","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","2613.8","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","26.4","536.45","268.22","523.53","510.05","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","2613.8","0.61","0.0","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","26.4","536.45","268.22","522.23","510.05","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","2613.8","0.58","0.0","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","26.4","536.45","268.22","522.26","510.05","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","2613.8","0.54","0.0","0.0","2.94","0.54","1.6","0.94","0.94","0.0","0.0","14.84","26.4","536.45","268.22","521.6","510.05","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","2613.8","0.51","0.0","0.0","3.34","0.51","1.7","0.0","0.0","0.0","0.0","16.55","26.4","536.45","268.22","519.9","510.05","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","2613.8","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.09","26.4","536.45","268.22","518.36","510.05","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","2613.8","0.46","0.0","0.0","3.68","0.46","1.68","0.0","0.0","0.0","0.0","19.78","26.4","536.45","268.22","516.67","510.05","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","2613.8","0.43","0.0","0.0","4.39","0.43","1.89","0.0","0.0","0.0","0.0","21.67","26.4","536.45","268.22","514.78","510.05","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","2613.8","0.41","0.0","0.0","3.47","0.41","1.43","0.0","0.0","0.0","0.0","23.1","26.4","536.45","268.22","513.35","510.05","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","2613.8","0.4","0.0","0.0","3.49","0.4","1.39","0.0","0.0","0.0","0.0","24.49","26.4","536.45","268.22","511.96","510.05","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","2613.8","0.38","0.0","0.0","3.77","0.38","1.44","0.0","0.0","0.0","0.0","25.93","26.4","536.45","268.22","510.52","510.05","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","2613.8","0.37","0.0","0.0","3.58","0.37","1.32","0.0","0.0","0.0","0.0","27.25","26.4","536.45","268.22","509.2","510.05","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","2613.8","0.36","0.0","0.0","3.76","0.36","1.34","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","2613.8","0.35","0.0","0.0","3.65","0.35","1.26","0.0","0.0","0.0","0.0","27.66","26.4","536.45","268.22","508.79","510.05","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","2613.8","0.34","0.0","0.0","3.74","0.34","1.25","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","2613.8","0.33","0.0","0.0","4.02","0.33","1.31","0.0","0.0","0.0","0.0","27.71","26.4","536.45","268.22","508.74","510.05","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","2613.8","0.32","0.0","0.0","4.17","0.32","1.32","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","2613.8","0.3","0.0","0.0","5.61","0.3","1.7","0.0","0.0","0.0","0.0","28.1","26.4","536.45","268.22","508.34","510.05","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","2613.8","0.29","0.0","0.0","4.91","0.29","1.45","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","2613.8","0.29","0.0","0.0","4.31","0.29","1.24","0.0","0.0","0.0","0.0","27.64","26.4","536.45","268.22","508.81","510.05","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","2613.8","0.28","0.0","0.0","3.47","0.28","0.98","0.01","0.01","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","2613.8","0.28","0.0","0.0","1.5","0.28","0.42","2.32","2.32","0.0","0.0","24.5","26.4","536.45","268.22","511.95","510.05","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","2613.8","1.13","0.0","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","18.05","26.4","536.45","268.22","518.4","510.05","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","2613.8","1.11","0.0","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","21.21","26.4","536.45","268.22","515.24","510.05","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","2613.8","0.91","0.0","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","24.38","26.4","536.45","268.22","512.07","510.05","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","2613.8","0.75","0.0","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","27.55","26.4","536.45","268.22","508.89","510.05","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","2613.8","0.65","0.0","0.0","4.05","0.65","2.64","0.48","0.48","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","2613.8","0.57","0.0","0.0","5.4","0.57","3.05","0.0","0.0","0.0","0.0","29.45","26.4","536.45","268.22","507.0","510.05","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","2613.8","0.51","0.0","0.0","5.38","0.51","2.72","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","2613.8","0.47","0.0","0.0","4.72","0.47","2.2","0.0","0.0","0.0","0.0","28.6","26.4","536.45","268.22","507.84","510.05","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","2613.8","0.43","0.0","0.0","5.09","0.43","2.21","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","2613.8","0.41","0.0","0.0","4.97","0.41","2.02","0.0","0.0","0.0","0.0","28.42","26.4","536.45","268.22","508.02","510.05","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","2613.8","0.38","0.0","0.0","5.11","0.38","1.96","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","2613.8","0.37","0.0","0.0","3.83","0.37","1.42","0.0","0.0","0.0","0.0","27.82","26.4","536.45","268.22","508.63","510.05","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","2613.8","0.36","0.0","0.0","2.88","0.36","1.04","0.12","0.12","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","2613.8","0.35","0.0","0.0","3.96","0.35","1.38","2.58","2.58","0.0","0.0","25.2","26.4","536.45","268.22","511.25","510.05","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","2613.8","0.34","0.0","0.0","4.41","0.34","1.48","0.0","0.0","0.0","0.0","26.68","26.4","536.45","268.22","509.77","510.05","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","2613.8","0.32","0.0","0.0","5.39","0.32","1.74","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","2613.8","0.31","0.0","0.0","4.64","0.31","1.45","0.0","0.0","0.0","0.0","27.85","26.4","536.45","268.22","508.6","510.05","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","2613.8","0.3","0.0","0.0","3.84","0.3","1.17","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","2613.8","0.29","0.0","0.0","5.73","0.29","1.68","3.95","3.95","0.0","0.0","24.13","26.4","536.45","268.22","512.32","510.05","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","2613.8","0.28","0.0","0.0","5.1","0.28","1.45","0.0","0.0","0.0","0.0","25.57","26.4","536.45","268.22","510.87","510.05","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","2613.8","0.27","0.0","0.0","7.38","0.27","2.01","0.0","0.0","0.0","0.0","27.58","26.4","536.45","268.22","508.87","510.05","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","2613.8","0.26","0.2","0.0","5.87","0.26","1.55","0.0","0.0","0.0","0.0","29.13","72.71","536.45","268.22","507.32","463.74","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","2613.8","0.26","0.2","0.0","5.3","0.26","1.36","0.0","0.0","0.0","0.0","30.49","72.71","536.45","268.22","505.96","463.74","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","2613.8","0.25","0.2","0.0","4.33","0.25","1.09","0.0","0.0","0.0","0.0","31.58","72.71","536.45","268.22","504.87","463.74","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","2613.8","0.25","0.2","0.0","4.83","0.25","1.19","0.0","0.0","0.0","0.0","32.77","72.71","536.45","268.22","503.68","463.74","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","2613.8","0.24","0.2","0.0","2.3","0.24","0.56","0.02","0.02","0.0","0.0","33.31","72.71","536.45","268.22","503.14","463.74","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","2613.8","0.24","0.2","0.0","2.1","0.24","0.51","0.13","0.13","0.0","0.0","33.69","72.71","536.45","268.22","502.76","463.74","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","2613.8","0.24","0.2","0.0","2.06","0.24","0.5","1.36","1.36","0.0","0.0","32.82","72.71","536.45","268.22","503.62","463.74","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","2613.8","0.24","0.2","0.0","3.2","0.24","0.76","2.24","2.24","0.0","0.0","31.35","72.71","536.45","268.22","505.1","463.74","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","2613.8","0.23","0.2","0.0","4.63","0.23","1.08","0.0","0.0","0.0","0.0","32.43","72.71","536.45","268.22","504.02","463.74","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","2613.8","0.23","0.2","0.0","5.64","0.23","1.29","0.0","0.0","0.0","0.0","33.72","72.71","536.45","268.22","502.73","463.74","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","2613.8","0.22","0.2","0.0","5.95","0.22","1.33","0.0","0.0","0.0","0.0","35.05","72.71","536.45","268.22","501.4","463.74","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","2613.8","0.22","0.2","0.0","5.92","0.22","1.29","0.0","0.0","0.0","0.0","36.34","72.71","536.45","268.22","500.11","463.74","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","2613.8","0.21","0.2","0.0","5.56","0.21","1.19","0.0","0.0","0.0","0.0","37.53","72.71","536.45","268.22","498.91","463.74","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","2613.8","0.21","0.2","0.0","5.05","0.21","1.07","0.0","0.0","0.0","0.0","38.6","72.71","536.45","268.22","497.85","463.74","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","2613.8","0.21","0.24","0.0","5.51","0.24","1.33","0.0","0.0","0.0","0.0","39.92","72.71","536.45","268.22","496.52","463.74","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","2613.8","0.2","0.28","0.0","6.55","0.28","1.84","0.0","0.0","0.0","0.0","41.76","72.71","536.45","268.22","494.68","463.74","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","2613.8","0.2","0.32","0.0","7.65","0.32","2.46","0.0","0.0","0.0","0.0","44.22","72.71","536.45","268.22","492.22","463.74","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","2613.8","0.19","0.36","0.0","7.01","0.36","2.54","0.0","0.0","0.0","0.0","46.76","72.71","536.45","268.22","489.69","463.74","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","2613.8","0.19","0.4","0.0","6.2","0.4","2.49","0.0","0.0","0.0","0.0","49.25","72.71","536.45","268.22","487.19","463.74","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","2613.8","0.19","0.44","0.0","4.88","0.44","2.16","0.0","0.0","0.0","0.0","51.42","72.71","536.45","268.22","485.03","463.74","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","2613.8","0.19","0.48","0.0","4.07","0.48","1.97","0.51","0.51","0.0","0.0","52.87","72.71","536.45","268.22","483.57","463.74","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","2613.8","0.18","0.52","0.0","4.31","0.52","2.26","0.2","0.2","0.0","0.0","54.93","72.71","536.45","268.22","481.52","463.74","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","2613.8","0.18","0.56","0.0","4.77","0.56","2.69","0.0","0.0","0.0","0.0","57.62","72.71","536.45","268.22","478.83","463.74","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","2613.8","0.18","0.6","0.0","4.82","0.6","2.91","0.0","0.0","0.0","0.0","60.54","72.71","536.45","268.22","475.91","463.74","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","2613.8","0.18","0.65","0.0","5.25","0.65","3.39","0.0","0.0","0.0","0.0","63.92","72.71","536.45","268.22","472.52","463.74","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","2613.8","0.18","0.69","0.0","5.68","0.69","3.89","0.0","0.0","0.0","0.0","67.82","72.71","536.45","268.22","468.63","463.74","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","2613.8","0.17","0.73","0.0","5.98","0.73","4.34","0.0","0.0","0.0","0.0","72.16","72.71","536.45","268.22","464.29","463.74","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","2613.8","0.17","0.77","0.0","6.9","0.77","5.29","0.0","0.0","0.0","0.0","0.0","72.71","536.45","268.22","536.45","463.74","77.45","","","","","","",""
"2016.0","5.0","29.0","150.0","2613.8","0.17","0.81","0.0","6.43","0.81","5.19","0.0","0.0","0.0","0.0","5.19","72.71","536.45","268.22","531.26","463.74","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","2613.8","0.17","0.85","0.0","6.72","0.85","5.7","0.0","0.0","0.0","0.0","10.89","72.71","536.45","268.22","525.56","463.74","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","2613.8","0.16","0.89","0.0","7.04","0.89","6.25","0.0","0.0","0.0","0.0","17.14","72.71","536.45","268.22","519.31","463.74","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","2613.8","0.16","0.93","0.0","7.1","0.93","6.59","0.0","0.0","0.0","0.0","23.73","72.71","536.45","268.22","512.72","463.74","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","2613.8","0.16","0.97","0.0","6.77","0.97","6.56","0.0","0.0","0.0","0.0","30.29","72.71","536.45","268.22","506.16","463.74","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","2613.8","0.16","1.01","0.0","7.21","1.01","7.28","0.0","0.0","0.0","0.0","37.57","72.71","536.45","268.22","498.88","463.74","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","2613.8","0.16","1.05","0.0","4.79","1.05","5.03","0.0","0.0","0.0","0.0","42.6","72.71","536.45","268.22","493.85","463.74","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","2613.8","0.15","1.05","0.0","7.5","1.05","7.88","0.0","0.0","0.0","0.0","50.47","72.71","536.45","268.22","485.97","463.74","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","2613.8","0.15","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","57.84","72.71","536.45","268.22","478.61","463.74","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","2613.8","0.15","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","64.8","72.71","536.45","268.22","471.65","463.74","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","2613.8","0.15","1.05","0.0","6.37","1.05","6.69","0.0","0.0","0.0","0.0","71.49","72.71","536.45","268.22","464.96","463.74","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","2613.8","0.15","1.05","0.0","6.1","1.05","6.41","0.0","0.0","0.0","0.0","0.0","72.71","536.45","268.22","536.45","463.74","77.89","","","","","","",""
"2016.0","6.0","10.0","162.0","2613.8","0.15","1.05","0.0","6.5","1.05","6.83","0.0","0.0","0.0","0.0","6.83","72.71","536.45","268.22","529.62","463.74","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","2613.8","0.14","1.05","0.0","6.86","1.05","7.2","0.0","0.0","0.0","0.0","14.03","72.71","536.45","268.22","522.42","463.74","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","2613.8","0.14","1.05","0.0","6.89","1.05","7.23","0.0","0.0","0.0","0.0","21.26","72.71","536.45","268.22","515.19","463.74","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","2613.8","0.14","1.05","0.0","6.55","1.05","6.88","0.0","0.0","0.0","0.0","28.14","72.71","536.45","268.22","508.31","463.74","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","2613.8","0.14","1.05","0.0","6.15","1.05","6.46","0.0","0.0","0.0","0.0","34.6","72.71","536.45","268.22","501.85","463.74","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","2613.8","0.14","1.05","0.0","5.14","1.05","5.4","0.0","0.0","0.0","0.0","39.99","72.71","536.45","268.22","496.45","463.74","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","2613.8","0.14","1.05","0.0","5.15","1.05","5.41","0.0","0.0","0.0","0.0","45.4","72.71","536.45","268.22","491.05","463.74","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","2613.8","0.14","1.05","0.0","4.72","1.05","4.96","0.0","0.0","0.0","0.0","50.36","72.71","536.45","268.22","486.09","463.74","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","2613.8","0.14","1.05","0.0","6.09","1.05","6.39","0.0","0.0","0.0","0.0","56.75","72.71","536.45","268.22","479.7","463.74","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","2613.8","0.13","1.05","0.0","6.76","1.05","7.1","0.0","0.0","0.0","0.0","63.85","72.71","536.45","268.22","472.6","463.74","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","2613.8","0.13","1.05","0.0","7.29","1.05","7.65","0.0","0.0","0.0","0.0","71.51","72.71","536.45","268.22","464.94","463.74","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","2613.8","0.13","1.05","0.0","7.6","1.05","7.98","0.0","0.0","0.0","0.0","0.0","72.71","536.45","268.22","536.45","463.74","79.49","","","","","","",""
"2016.0","6.0","22.0","174.0","2613.8","0.13","1.05","0.0","7.59","1.05","7.97","0.0","0.0","0.0","0.0","7.97","72.71","536.45","268.22","528.48","463.74","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","2613.8","0.13","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","15.9","134.11","536.45","268.22","520.55","402.34","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","2613.8","0.13","1.05","0.0","6.9","1.05","7.25","0.0","0.0","0.0","0.0","23.14","134.11","536.45","268.22","513.31","402.34","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","2613.8","0.13","1.05","0.0","7.71","1.05","8.1","0.0","0.0","0.0","0.0","31.24","134.11","536.45","268.22","505.21","402.34","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","2613.8","0.13","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","39.17","134.11","536.45","268.22","497.28","402.34","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","2613.8","0.12","1.05","0.0","7.98","1.05","8.38","0.0","0.0","0.0","0.0","47.54","134.11","536.45","268.22","488.9","402.34","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","2613.8","0.12","1.05","0.0","7.97","1.05","8.37","0.0","0.0","0.0","0.0","55.91","134.11","536.45","268.22","480.54","402.34","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","2613.8","0.12","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","63.54","134.11","536.45","268.22","472.91","402.34","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","2613.8","0.12","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","71.16","134.11","536.45","268.22","465.29","402.34","0.0","","","","","","",""
