" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","21.35","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","22.8","324.37","162.18","304.9","301.57","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","21.35","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","22.8","324.37","162.18","303.32","301.57","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","21.35","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","22.8","324.37","162.18","302.09","301.57","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","21.35","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","22.8","324.37","162.18","301.09","301.57","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","21.35","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","21.35","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","12.21","22.8","324.37","162.18","312.15","301.57","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","21.35","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","9.85","22.8","324.37","162.18","314.52","301.57","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","21.35","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","11.91","22.8","324.37","162.18","312.46","301.57","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","21.35","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","14.19","22.8","324.37","162.18","310.17","301.57","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","21.35","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","16.83","22.8","324.37","162.18","307.54","301.57","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","21.35","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","18.89","22.8","324.37","162.18","305.48","301.57","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","21.35","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","20.62","22.8","324.37","162.18","303.75","301.57","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","21.35","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","22.3","22.8","324.37","162.18","302.07","301.57","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","21.35","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","23.86","22.8","324.37","162.18","300.5","301.57","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","21.35","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","21.35","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","24.04","22.8","324.37","162.18","300.33","301.57","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","21.35","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","21.35","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","24.39","22.8","324.37","162.18","299.98","301.57","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","21.35","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","21.35","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","23.7","22.8","324.37","162.18","300.67","301.57","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","21.35","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","21.35","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","10.77","22.8","324.37","162.18","313.6","301.57","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","21.35","1.13","0.0","0.0","2.16","1.13","2.45","33.53","13.22","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","21.35","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","21.35","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","21.35","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","22.8","324.37","162.18","322.29","301.57","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","21.35","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","22.8","324.37","162.18","321.03","301.57","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","21.35","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","21.35","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","21.35","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","21.35","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","22.8","324.37","162.18","324.37","301.57","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","21.35","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","22.8","324.37","162.18","320.99","301.57","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","21.35","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","22.8","324.37","162.18","318.11","301.57","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","21.35","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","22.8","324.37","162.18","315.61","301.57","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","21.35","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","22.8","324.37","162.18","313.39","301.57","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","21.35","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","22.8","324.37","162.18","311.38","301.57","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","21.35","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","22.8","324.37","162.18","310.0","301.57","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","21.35","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","22.8","324.37","162.18","310.78","301.57","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","21.35","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","22.8","324.37","162.18","309.93","301.57","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","21.35","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","22.8","324.37","162.18","308.22","301.57","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","21.35","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","22.8","324.37","162.18","306.68","301.57","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","21.35","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","22.8","324.37","162.18","305.01","301.57","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","21.35","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","22.8","324.37","162.18","303.13","301.57","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","21.35","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","22.8","324.37","162.18","301.7","301.57","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","21.35","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","22.8","324.37","162.18","300.32","301.57","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","21.35","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","21.35","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","24.12","22.8","324.37","162.18","300.25","301.57","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","21.35","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","21.35","0.34","0.0","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","24.07","22.8","324.37","162.18","300.3","301.57","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","21.35","0.33","0.0","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","21.35","0.32","0.0","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","24.12","22.8","324.37","162.18","300.25","301.57","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","21.35","0.31","0.0","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","21.35","0.3","0.0","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","24.49","22.8","324.37","162.18","299.88","301.57","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","21.35","0.29","0.0","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","21.35","0.29","0.0","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","24.04","22.8","324.37","162.18","300.33","301.57","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","21.35","0.28","0.0","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","21.35","1.16","0.0","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","20.84","22.8","324.37","162.18","303.53","301.57","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","21.35","1.13","0.0","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","9.17","22.8","324.37","162.18","315.2","301.57","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","21.35","1.11","0.0","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","11.92","22.8","324.37","162.18","312.45","301.57","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","21.35","0.91","0.0","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","15.14","22.8","324.37","162.18","309.23","301.57","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","21.35","0.75","0.0","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","18.31","22.8","324.37","162.18","306.06","301.57","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","21.35","0.65","0.0","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","19.94","22.8","324.37","162.18","304.42","301.57","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","21.35","0.56","0.0","0.0","5.43","0.56","3.06","0.0","0.0","0.0","0.0","23.0","22.8","324.37","162.18","301.36","301.57","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","21.35","0.5","0.0","0.0","5.34","0.5","2.7","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","21.35","0.47","0.0","0.0","4.76","0.47","2.22","0.0","0.0","0.0","0.0","25.02","22.8","324.37","162.18","299.35","301.57","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","21.35","0.43","0.0","0.0","5.12","0.43","2.21","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","21.35","0.41","0.0","0.0","4.98","0.41","2.02","0.0","0.0","0.0","0.0","24.82","22.8","324.37","162.18","299.55","301.57","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","21.35","0.38","0.0","0.0","5.18","0.38","1.98","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","21.35","0.37","0.0","0.0","3.85","0.37","1.42","0.0","0.0","0.0","0.0","24.22","22.8","324.37","162.18","300.15","301.57","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","21.35","0.36","0.0","0.0","2.79","0.36","1.0","0.11","0.11","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","21.35","1.06","0.0","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","21.9","22.8","324.37","162.18","302.47","301.57","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","21.35","0.91","0.0","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","26.04","22.8","324.37","162.18","298.33","301.57","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","21.35","0.71","0.0","0.0","5.38","0.71","3.81","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","21.35","0.61","0.0","0.0","4.67","0.61","2.86","0.0","0.0","0.0","0.0","25.66","22.8","324.37","162.18","298.71","301.57","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","21.35","0.56","0.0","0.0","3.74","0.56","2.1","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","21.35","0.99","0.0","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","23.69","22.8","324.37","162.18","300.68","301.57","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","21.35","0.79","0.0","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","21.35","0.6","0.0","0.0","7.38","0.6","4.44","0.0","0.0","0.0","0.0","27.24","22.8","324.37","162.18","297.13","301.57","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","21.35","0.52","0.0","0.0","5.86","0.52","3.07","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","21.35","0.48","0.0","0.0","5.39","0.48","2.56","0.0","0.0","0.0","0.0","25.36","22.8","324.37","162.18","299.01","301.57","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","21.35","0.44","0.0","0.0","4.49","0.44","2.0","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","21.35","0.42","0.0","0.0","4.86","0.42","2.03","0.0","0.0","0.0","0.0","24.83","22.8","324.37","162.18","299.54","301.57","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","21.35","0.41","0.0","0.0","2.44","0.41","0.99","0.08","0.08","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","21.35","0.4","0.0","0.0","2.03","0.4","0.81","0.13","0.13","0.0","0.0","23.48","22.8","324.37","162.18","300.88","301.57","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","21.35","0.39","0.0","0.0","2.18","0.39","0.86","3.39","3.39","0.0","0.0","20.09","22.8","324.37","162.18","304.27","301.57","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","21.35","0.38","0.0","0.0","3.23","0.38","1.23","1.22","1.22","0.0","0.0","20.1","22.8","324.37","162.18","304.27","301.57","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","21.35","0.36","0.0","0.0","4.65","0.36","1.69","0.0","0.0","0.0","0.0","21.79","22.8","324.37","162.18","302.58","301.57","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","21.35","0.34","0.0","0.0","5.68","0.34","1.96","0.0","0.0","0.0","0.0","23.75","22.8","324.37","162.18","300.62","301.57","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","21.35","0.33","0.0","0.0","6.03","0.33","1.98","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","21.35","0.31","0.0","0.0","6.07","0.31","1.9","0.0","0.0","0.0","0.0","24.7","22.8","324.37","162.18","299.67","301.57","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","21.35","0.3","0.0","0.0","5.63","0.3","1.69","0.0","0.0","0.0","0.0","22.8","22.8","324.37","162.18","301.57","301.57","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","21.35","0.29","0.0","0.0","5.14","0.29","1.5","0.0","0.0","0.0","0.0","24.3","22.8","324.37","162.18","300.07","301.57","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","21.35","0.28","0.3","0.0","5.57","0.3","1.67","0.0","0.0","0.0","0.0","25.97","70.31","324.37","162.18","298.4","254.06","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","21.35","0.27","0.3","0.0","6.62","0.3","1.99","0.0","0.0","0.0","0.0","27.95","70.31","324.37","162.18","296.41","254.06","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","21.35","0.26","0.3","0.0","7.71","0.3","2.31","0.0","0.0","0.0","0.0","30.27","70.31","324.37","162.18","294.1","254.06","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","21.35","0.25","0.3","0.0","7.08","0.3","2.12","0.0","0.0","0.0","0.0","32.39","70.31","324.37","162.18","291.98","254.06","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","21.35","0.24","0.3","0.0","6.3","0.3","1.89","0.0","0.0","0.0","0.0","34.28","70.31","324.37","162.18","290.09","254.06","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","21.35","0.24","0.3","0.0","4.85","0.3","1.46","0.0","0.0","0.0","0.0","35.74","70.31","324.37","162.18","288.63","254.06","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","21.35","0.24","0.3","0.0","3.73","0.3","1.12","0.32","0.32","0.0","0.0","36.53","70.31","324.37","162.18","287.83","254.06","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","21.35","0.23","0.3","0.0","4.28","0.3","1.28","0.26","0.26","0.0","0.0","37.56","70.31","324.37","162.18","286.81","254.06","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","21.35","0.23","0.3","0.0","4.84","0.3","1.45","0.0","0.0","0.0","0.0","39.01","70.31","324.37","162.18","285.36","254.06","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","21.35","0.22","0.3","0.0","4.85","0.3","1.46","0.0","0.0","0.0","0.0","40.47","70.31","324.37","162.18","283.9","254.06","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","21.35","0.22","0.3","0.0","5.31","0.3","1.59","0.0","0.0","0.0","0.0","42.06","70.31","324.37","162.18","282.31","254.06","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","21.35","0.21","0.3","0.0","5.74","0.3","1.72","0.0","0.0","0.0","0.0","43.78","70.31","324.37","162.18","280.59","254.06","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","21.35","0.21","0.3","0.0","6.05","0.3","1.82","0.0","0.0","0.0","0.0","45.6","70.31","324.37","162.18","278.77","254.06","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","21.35","0.21","0.3","0.0","6.96","0.3","2.09","0.0","0.0","0.0","0.0","47.68","70.31","324.37","162.18","276.68","254.06","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","21.35","0.2","0.3","0.0","6.57","0.3","1.97","0.0","0.0","0.0","0.0","49.65","70.31","324.37","162.18","274.71","254.06","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","21.35","0.2","0.32","0.0","6.83","0.32","2.21","0.0","0.0","0.0","0.0","51.86","70.31","324.37","162.18","272.5","254.06","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","21.35","0.19","0.35","0.0","7.15","0.35","2.48","0.0","0.0","0.0","0.0","54.34","70.31","324.37","162.18","270.02","254.06","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","21.35","0.19","0.37","0.0","7.23","0.37","2.68","0.0","0.0","0.0","0.0","57.02","70.31","324.37","162.18","267.35","254.06","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","21.35","0.19","0.39","0.0","6.91","0.39","2.72","0.0","0.0","0.0","0.0","59.74","70.31","324.37","162.18","264.63","254.06","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","21.35","0.18","0.42","0.0","7.35","0.42","3.07","0.0","0.0","0.0","0.0","62.81","70.31","324.37","162.18","261.56","254.06","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","21.35","0.18","0.44","0.0","4.89","0.44","2.15","0.0","0.0","0.0","0.0","64.96","70.31","324.37","162.18","259.4","254.06","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","21.35","0.18","0.46","0.0","7.68","0.46","3.56","0.0","0.0","0.0","0.0","68.53","70.31","324.37","162.18","255.84","254.06","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","21.35","0.17","0.49","0.0","7.2","0.49","3.51","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","72.04","","","","","","",""
"2016.0","6.0","7.0","159.0","21.35","0.17","0.51","0.0","6.83","0.51","3.49","0.0","0.0","0.0","0.0","3.49","70.31","324.37","162.18","320.88","254.06","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","21.35","0.17","0.53","0.0","6.55","0.53","3.5","0.0","0.0","0.0","0.0","6.99","70.31","324.37","162.18","317.38","254.06","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","21.35","0.17","0.56","0.0","6.26","0.56","3.49","0.0","0.0","0.0","0.0","10.48","70.31","324.37","162.18","313.89","254.06","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","21.35","0.16","0.58","0.0","6.64","0.58","3.86","0.0","0.0","0.0","0.0","14.34","70.31","324.37","162.18","310.03","254.06","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","21.35","0.16","0.6","0.0","6.87","0.6","4.15","0.0","0.0","0.0","0.0","18.5","70.31","324.37","162.18","305.87","254.06","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","21.35","0.16","0.63","0.0","6.96","0.63","4.37","0.0","0.0","0.0","0.0","22.87","70.31","324.37","162.18","301.5","254.06","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","21.35","0.16","0.65","0.0","6.65","0.65","4.33","0.0","0.0","0.0","0.0","27.2","70.31","324.37","162.18","297.17","254.06","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","21.35","0.16","0.68","0.0","6.35","0.68","4.29","0.0","0.0","0.0","0.0","31.49","70.31","324.37","162.18","292.88","254.06","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","21.35","0.15","0.7","0.0","5.38","0.7","3.76","0.0","0.0","0.0","0.0","35.24","70.31","324.37","162.18","289.12","254.06","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","21.35","0.15","0.72","0.0","5.31","0.72","3.83","0.0","0.0","0.0","0.0","39.08","70.31","324.37","162.18","285.29","254.06","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","21.35","0.15","0.75","0.0","5.14","0.75","3.83","0.0","0.0","0.0","0.0","42.91","70.31","324.37","162.18","281.46","254.06","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","21.35","0.15","0.77","0.0","6.18","0.77","4.75","0.0","0.0","0.0","0.0","47.66","70.31","324.37","162.18","276.71","254.06","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","21.35","0.15","0.79","0.0","6.9","0.79","5.47","0.0","0.0","0.0","0.0","53.12","70.31","324.37","162.18","271.24","254.06","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","21.35","0.15","0.82","0.0","7.46","0.82","6.08","0.0","0.0","0.0","0.0","59.21","70.31","324.37","162.18","265.16","254.06","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","21.35","0.14","0.84","0.0","7.77","0.84","6.52","0.0","0.0","0.0","0.0","65.73","70.31","324.37","162.18","258.64","254.06","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","21.35","0.14","0.86","0.0","7.82","0.86","6.74","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","72.47","","","","","","",""
"2016.0","6.0","23.0","175.0","21.35","0.14","0.89","0.0","7.73","0.89","6.85","0.0","0.0","0.0","0.0","6.85","70.31","324.37","162.18","317.52","254.06","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","21.35","0.14","0.91","0.0","7.01","0.91","6.37","0.0","0.0","0.0","0.0","13.22","70.31","324.37","162.18","311.14","254.06","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","21.35","0.14","0.93","0.0","7.8","0.93","7.28","0.0","0.0","0.0","0.0","20.5","70.31","324.37","162.18","303.87","254.06","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","21.35","0.14","0.96","0.0","7.67","0.96","7.33","0.0","0.0","0.0","0.0","27.83","70.31","324.37","162.18","296.53","254.06","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","21.35","0.13","0.98","0.0","8.11","0.98","7.95","0.0","0.0","0.0","0.0","35.78","70.31","324.37","162.18","288.59","254.06","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","21.35","0.13","1.0","0.0","8.1","1.0","8.13","0.0","0.0","0.0","0.0","43.9","70.31","324.37","162.18","280.46","254.06","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","21.35","0.13","1.03","0.0","7.45","1.03","7.65","0.0","0.0","0.0","0.0","51.55","70.31","324.37","162.18","272.82","254.06","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","21.35","0.13","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","59.31","70.31","324.37","162.18","265.06","254.06","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","21.35","0.13","1.05","0.0","7.26","1.05","7.62","0.0","0.0","0.0","0.0","66.93","70.31","324.37","162.18","257.43","254.06","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","21.35","0.13","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","0.0","70.31","324.37","162.18","324.37","254.06","74.54","","","","","","",""
