" Daily soil water balance output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","8087.82","0.56","0.95","0.0","1.83","0.95","1.74","0.0","0.0","0.0","0.0","23.51","48.22","201.17","100.58","177.65","152.95","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","8087.82","0.54","0.95","0.0","2.35","0.95","2.23","0.0","0.0","0.0","0.0","25.75","48.22","201.17","100.58","175.42","152.95","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","8087.82","0.51","0.95","0.0","3.22","0.95","3.06","0.0","0.0","0.0","0.0","28.81","48.22","201.17","100.58","172.36","152.95","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","8087.82","0.48","0.95","0.0","2.64","0.95","2.51","0.0","0.0","0.0","0.0","31.31","48.22","201.17","100.58","169.85","152.95","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","8087.82","0.47","0.95","0.0","2.1","0.95","2.0","0.0","0.0","0.0","0.0","33.31","48.22","201.17","100.58","167.86","152.95","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","8087.82","0.45","0.95","0.0","2.65","0.95","2.52","0.0","0.0","0.0","0.0","35.83","48.22","201.17","100.58","165.34","152.95","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","8087.82","1.15","0.95","0.0","1.85","1.15","2.12","13.67","13.67","0.0","0.0","24.28","48.22","201.17","100.58","176.89","152.95","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","8087.82","1.16","0.95","0.0","1.55","1.16","1.79","3.73","3.73","0.0","0.0","22.34","48.22","201.17","100.58","178.83","152.95","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","8087.82","1.15","0.95","0.0","1.81","1.15","2.09","0.24","0.24","0.0","0.0","24.19","48.22","201.17","100.58","176.98","152.95","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","8087.82","1.15","0.95","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","26.44","48.22","201.17","100.58","174.73","152.95","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","8087.82","0.98","0.95","0.0","2.76","0.98","2.69","0.0","0.0","0.0","0.0","29.14","48.22","201.17","100.58","172.03","152.95","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","8087.82","0.86","0.95","0.0","2.38","0.95","2.26","0.0","0.0","0.0","0.0","31.4","48.22","201.17","100.58","169.77","152.95","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","8087.82","0.78","0.95","0.0","2.23","0.95","2.12","0.0","0.0","0.0","0.0","33.51","48.22","201.17","100.58","167.65","152.95","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","8087.82","0.71","0.95","0.0","2.35","0.95","2.23","0.0","0.0","0.0","0.0","35.75","48.22","201.17","100.58","165.42","152.95","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","8087.82","0.66","0.95","0.0","2.38","0.95","2.26","0.0","0.0","0.0","0.0","38.01","48.22","201.17","100.58","163.16","152.95","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","8087.82","0.63","0.95","0.0","2.08","0.95","1.98","0.0","0.0","0.0","0.0","39.98","48.22","201.17","100.58","161.18","152.95","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","8087.82","0.6","0.95","0.0","2.1","0.95","2.0","0.0","0.0","0.0","0.0","41.98","48.22","201.17","100.58","159.19","152.95","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","8087.82","0.56","0.95","0.0","2.69","0.95","2.56","0.0","0.0","0.0","0.0","44.53","48.22","201.17","100.58","156.63","152.95","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","8087.82","0.53","0.95","0.0","3.02","0.95","2.87","0.0","0.0","0.0","0.0","47.4","48.22","201.17","100.58","153.76","152.95","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","8087.82","0.5","0.95","0.0","2.66","0.95","2.53","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","49.93","","","","","","",""
"2016.0","3.0","3.0","63.0","8087.82","0.49","0.95","0.0","1.77","0.95","1.68","0.0","0.0","0.0","0.0","1.68","48.22","201.17","100.58","199.49","152.95","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","8087.82","0.48","0.95","0.0","1.55","0.95","1.47","0.14","0.14","0.0","0.0","3.01","48.22","201.17","100.58","198.15","152.95","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","8087.82","1.17","0.95","0.0","1.23","1.17","1.44","16.2","4.45","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","8087.82","1.13","0.95","0.0","2.17","1.13","2.46","38.99","2.46","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","8087.82","1.16","0.95","0.0","1.57","1.16","1.82","13.12","1.82","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","8087.82","1.15","0.95","0.0","1.76","1.15","2.02","2.77","2.02","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","8087.82","1.15","0.95","0.0","1.86","1.15","2.13","0.0","0.0","0.0","0.0","2.13","48.22","201.17","100.58","199.03","152.95","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","8087.82","1.15","0.95","0.0","1.4","1.15","1.61","0.02","0.02","0.0","0.0","3.73","48.22","201.17","100.58","197.44","152.95","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","8087.82","1.16","0.95","0.0","1.47","1.16","1.71","14.58","5.44","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","8087.82","1.16","0.95","0.0","1.54","1.16","1.78","12.59","1.78","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","8087.82","1.17","0.95","0.0","1.15","1.17","1.35","14.06","1.35","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","8087.82","1.12","0.95","0.0","2.55","1.12","2.85","12.93","2.85","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","8087.82","1.11","0.95","0.0","3.07","1.11","3.4","0.0","0.0","0.0","0.0","3.4","48.22","201.17","100.58","197.77","152.95","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","8087.82","0.92","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","6.36","48.22","201.17","100.58","194.8","152.95","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","8087.82","0.79","0.95","0.0","3.16","0.95","3.0","0.0","0.0","0.0","0.0","9.37","48.22","201.17","100.58","191.8","152.95","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","8087.82","0.7","0.95","0.0","3.19","0.95","3.03","0.0","0.0","0.0","0.0","12.4","48.22","201.17","100.58","188.77","152.95","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","8087.82","0.64","0.95","0.0","3.17","0.95","3.01","0.0","0.0","0.0","0.0","15.41","48.22","201.17","100.58","185.76","152.95","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","8087.82","0.6","0.95","0.0","2.2","0.95","2.09","0.0","0.0","0.0","0.0","17.5","48.22","201.17","100.58","183.67","152.95","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","8087.82","0.57","0.95","0.0","2.32","0.95","2.2","1.54","1.54","0.0","0.0","18.16","48.22","201.17","100.58","183.01","152.95","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","8087.82","0.54","0.95","0.0","2.92","0.95","2.77","1.83","1.83","0.0","0.0","19.11","48.22","201.17","100.58","182.06","152.95","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","8087.82","0.51","0.95","0.0","3.36","0.95","3.19","0.0","0.0","0.0","0.0","22.3","48.22","201.17","100.58","178.87","152.95","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","8087.82","0.48","0.95","0.0","3.2","0.95","3.04","0.0","0.0","0.0","0.0","25.34","48.22","201.17","100.58","175.83","152.95","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","8087.82","0.45","0.95","0.0","3.71","0.95","3.52","0.0","0.0","0.0","0.0","28.86","48.22","201.17","100.58","172.31","152.95","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","8087.82","0.43","0.95","0.0","4.47","0.95","4.25","0.0","0.0","0.0","0.0","33.11","48.22","201.17","100.58","168.06","152.95","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","8087.82","0.41","0.95","0.0","3.43","0.95","3.26","0.0","0.0","0.0","0.0","36.37","48.22","201.17","100.58","164.8","152.95","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","8087.82","0.39","0.95","0.0","3.53","0.95","3.35","0.0","0.0","0.0","0.0","39.72","48.22","201.17","100.58","161.45","152.95","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","8087.82","0.38","0.95","0.0","3.82","0.95","3.63","0.0","0.0","0.0","0.0","43.35","48.22","201.17","100.58","157.82","152.95","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","8087.82","0.37","0.95","0.0","3.64","0.95","3.46","0.0","0.0","0.0","0.0","46.81","48.22","201.17","100.58","154.36","152.95","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","8087.82","0.35","0.95","0.0","3.78","0.95","3.59","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","50.4","","","","","","",""
"2016.0","4.0","1.0","92.0","8087.82","0.34","0.95","0.0","3.67","0.95","3.49","0.0","0.0","0.0","0.0","3.49","48.22","201.17","100.58","197.68","152.95","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","8087.82","0.33","0.95","0.0","3.74","0.95","3.55","0.0","0.0","0.0","0.0","7.04","48.22","201.17","100.58","194.13","152.95","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","8087.82","0.32","0.95","0.0","4.08","0.95","3.88","0.0","0.0","0.0","0.0","10.92","48.22","201.17","100.58","190.25","152.95","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","8087.82","0.31","0.95","0.0","4.22","0.95","4.01","0.0","0.0","0.0","0.0","14.92","48.22","201.17","100.58","186.24","152.95","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","8087.82","0.3","0.95","0.0","5.72","0.95","5.43","0.0","0.0","0.0","0.0","20.36","48.22","201.17","100.58","180.81","152.95","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","8087.82","0.29","0.95","0.0","4.95","0.95","4.7","0.0","0.0","0.0","0.0","25.06","48.22","201.17","100.58","176.11","152.95","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","8087.82","0.29","0.95","0.0","4.34","0.95","4.12","0.0","0.0","0.0","0.0","29.18","48.22","201.17","100.58","171.98","152.95","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","8087.82","0.28","0.95","0.0","3.63","0.95","3.45","0.0","0.0","0.0","0.0","32.63","48.22","201.17","100.58","168.54","152.95","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","8087.82","0.28","0.95","0.0","1.42","0.95","1.35","1.32","1.32","0.0","0.0","32.66","48.22","201.17","100.58","168.51","152.95","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","8087.82","1.13","0.95","0.0","2.26","1.13","2.55","9.35","9.35","0.0","0.0","25.86","48.22","201.17","100.58","175.3","152.95","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","8087.82","1.11","0.95","0.0","3.33","1.11","3.69","0.43","0.43","0.0","0.0","29.12","48.22","201.17","100.58","172.04","152.95","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","8087.82","0.9","0.95","0.0","3.61","0.95","3.43","0.0","0.0","0.0","0.0","32.55","48.22","201.17","100.58","168.61","152.95","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","8087.82","0.74","0.95","0.0","4.28","0.95","4.07","0.0","0.0","0.0","0.0","36.62","48.22","201.17","100.58","164.55","152.95","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","8087.82","0.65","0.95","0.0","4.01","0.95","3.81","0.67","0.67","0.0","0.0","39.76","48.22","201.17","100.58","161.41","152.95","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","8087.82","0.56","0.95","0.0","5.41","0.95","5.14","0.0","0.0","0.0","0.0","44.9","48.22","201.17","100.58","156.27","152.95","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","8087.82","0.5","0.95","0.0","5.5","0.95","5.23","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","50.12","","","","","","",""
"2016.0","4.0","17.0","108.0","8087.82","0.46","0.95","0.0","4.75","0.95","4.51","0.0","0.0","0.0","0.0","4.51","48.22","201.17","100.58","196.66","152.95","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","8087.82","0.43","0.95","0.0","5.12","0.95","4.86","0.0","0.0","0.0","0.0","9.38","48.22","201.17","100.58","191.79","152.95","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","8087.82","0.4","0.95","0.0","5.07","0.95","4.82","0.0","0.0","0.0","0.0","14.19","48.22","201.17","100.58","186.98","152.95","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","8087.82","0.38","0.95","0.0","5.26","0.95","5.0","0.0","0.0","0.0","0.0","19.19","48.22","201.17","100.58","181.98","152.95","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","8087.82","0.37","0.95","0.0","3.95","0.95","3.75","0.0","0.0","0.0","0.0","22.94","48.22","201.17","100.58","178.23","152.95","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","8087.82","0.36","0.95","0.0","2.78","0.95","2.64","0.28","0.28","0.0","0.0","25.3","48.22","201.17","100.58","175.86","152.95","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","8087.82","1.06","0.95","0.0","3.98","1.06","4.22","6.11","6.11","0.0","0.0","23.42","48.22","201.17","100.58","177.75","152.95","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","8087.82","0.92","0.95","0.0","4.44","0.95","4.22","0.0","0.0","0.0","0.0","27.63","48.22","201.17","100.58","173.53","152.95","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","8087.82","0.71","0.95","0.0","5.39","0.95","5.12","0.0","0.0","0.0","0.0","32.75","48.22","201.17","100.58","168.41","152.95","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","8087.82","0.62","0.95","0.0","4.58","0.95","4.35","0.0","0.0","0.0","0.0","37.1","48.22","201.17","100.58","164.06","152.95","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","8087.82","0.57","0.95","0.0","3.62","0.95","3.44","0.0","0.0","0.0","0.0","40.54","48.22","201.17","100.58","160.62","152.95","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","8087.82","0.5","0.95","0.0","5.82","0.95","5.53","4.55","4.55","0.0","0.0","41.52","48.22","201.17","100.58","159.65","152.95","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","8087.82","0.46","0.95","0.0","5.17","0.95","4.91","0.0","0.0","0.0","0.0","46.43","48.22","201.17","100.58","154.73","152.95","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","8087.82","0.41","0.95","0.0","7.43","0.95","7.06","0.03","0.03","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","53.46","","","","","","",""
"2016.0","5.0","1.0","122.0","8087.82","0.38","0.95","0.0","5.97","0.95","5.67","0.0","0.0","0.0","0.0","5.67","48.22","201.17","100.58","195.5","152.95","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","8087.82","0.36","0.95","0.0","5.45","0.95","5.18","0.0","0.0","0.0","0.0","10.85","48.22","201.17","100.58","190.32","152.95","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","8087.82","0.35","0.95","0.0","4.6","0.95","4.37","0.0","0.0","0.0","0.0","15.22","48.22","201.17","100.58","185.95","152.95","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","8087.82","0.33","0.95","0.0","4.92","0.95","4.67","0.0","0.0","0.0","0.0","19.89","48.22","201.17","100.58","181.28","152.95","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","8087.82","0.33","0.95","0.0","2.31","0.95","2.19","0.16","0.16","0.0","0.0","21.93","48.22","201.17","100.58","179.24","152.95","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","8087.82","0.33","0.95","0.0","2.18","0.95","2.07","1.17","1.17","0.0","0.0","22.83","48.22","201.17","100.58","178.34","152.95","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","8087.82","0.32","0.95","0.0","2.15","0.95","2.04","1.04","1.04","0.0","0.0","23.83","48.22","201.17","100.58","177.34","152.95","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","8087.82","0.31","0.95","0.0","3.26","0.95","3.1","1.91","1.91","0.0","0.0","25.02","48.22","201.17","100.58","176.15","152.95","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","8087.82","0.3","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","29.49","48.22","201.17","100.58","171.68","152.95","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","8087.82","0.29","0.95","0.0","5.78","0.95","5.49","0.0","0.0","0.0","0.0","34.98","48.22","201.17","100.58","166.18","152.95","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","8087.82","0.28","0.95","0.0","6.12","0.95","5.81","0.0","0.0","0.0","0.0","40.8","48.22","201.17","100.58","160.37","152.95","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","8087.82","0.27","0.95","0.0","6.17","0.95","5.86","0.0","0.0","0.0","0.0","46.66","48.22","201.17","100.58","154.51","152.95","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","8087.82","0.26","0.95","0.0","5.78","0.95","5.49","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","52.15","","","","","","",""
"2016.0","5.0","14.0","135.0","8087.82","0.26","0.95","0.0","5.15","0.95","4.89","0.0","0.0","0.0","0.0","4.89","48.22","201.17","100.58","196.28","152.95","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","8087.82","0.25","0.95","0.0","5.59","0.95","5.31","0.0","0.0","0.0","0.0","10.2","48.22","201.17","100.58","190.97","152.95","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","8087.82","0.24","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","16.51","48.22","201.17","100.58","184.66","152.95","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","8087.82","0.23","0.95","0.0","7.82","0.95","7.43","0.0","0.0","0.0","0.0","23.94","48.22","201.17","100.58","177.23","152.95","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","8087.82","0.23","0.95","0.0","7.09","0.95","6.74","0.0","0.0","0.0","0.0","30.68","48.22","201.17","100.58","170.49","152.95","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","8087.82","0.22","0.95","0.0","6.34","0.95","6.02","0.0","0.0","0.0","0.0","36.7","48.22","201.17","100.58","164.47","152.95","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","8087.82","0.22","0.95","0.0","4.71","0.95","4.47","0.0","0.0","0.0","0.0","41.17","48.22","201.17","100.58","160.0","152.95","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","8087.82","0.22","0.95","0.0","4.08","0.95","3.88","3.3","3.3","0.0","0.0","41.75","48.22","201.17","100.58","159.42","152.95","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","8087.82","0.21","0.95","0.0","4.38","0.95","4.16","0.7","0.7","0.0","0.0","45.21","48.22","201.17","100.58","155.96","152.95","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","8087.82","0.21","0.95","0.0","4.66","0.95","4.43","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","49.64","","","","","","",""
"2016.0","5.0","24.0","145.0","8087.82","0.21","0.95","0.0","4.86","0.95","4.62","0.0","0.0","0.0","0.0","4.62","48.22","201.17","100.58","196.55","152.95","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","8087.82","0.2","0.95","0.0","5.33","0.95","5.06","0.0","0.0","0.0","0.0","9.68","48.22","201.17","100.58","191.49","152.95","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","8087.82","0.2","0.95","0.0","5.8","0.95","5.51","0.0","0.0","0.0","0.0","15.19","48.22","201.17","100.58","185.98","152.95","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","8087.82","0.2","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","20.98","48.22","201.17","100.58","180.19","152.95","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","8087.82","0.19","0.95","0.0","7.02","0.95","6.67","0.0","0.0","0.0","0.0","27.65","48.22","201.17","100.58","173.52","152.95","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","8087.82","0.19","0.95","0.0","6.61","0.95","6.28","0.0","0.0","0.0","0.0","33.92","48.22","201.17","100.58","167.24","152.95","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","8087.82","0.19","0.95","0.0","6.86","0.95","6.52","0.0","0.0","0.0","0.0","40.44","48.22","201.17","100.58","160.73","152.95","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","8087.82","0.18","0.95","0.0","7.19","0.95","6.83","0.0","0.0","0.0","0.0","47.27","48.22","201.17","100.58","153.9","152.95","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","8087.82","0.18","0.95","0.0","7.38","0.95","7.01","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","54.28","","","","","","",""
"2016.0","6.0","2.0","154.0","8087.82","0.18","0.95","0.0","6.92","0.95","6.57","0.0","0.0","0.0","0.0","6.57","48.22","201.17","100.58","194.59","152.95","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","8087.82","0.17","0.95","0.0","7.41","0.95","7.04","0.0","0.0","0.0","0.0","13.61","48.22","201.17","100.58","187.55","152.95","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","8087.82","0.17","0.95","0.0","4.7","0.95","4.47","0.0","0.0","0.0","0.0","18.08","48.22","201.17","100.58","183.09","152.95","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","8087.82","0.17","0.95","0.0","7.65","0.95","7.27","0.0","0.0","0.0","0.0","25.35","48.22","201.17","100.58","175.82","152.95","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","8087.82","0.17","0.95","0.0","7.32","0.95","6.95","0.0","0.0","0.0","0.0","32.3","48.22","201.17","100.58","168.87","152.95","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","8087.82","0.16","0.95","0.0","6.88","0.95","6.54","0.0","0.0","0.0","0.0","38.84","48.22","201.17","100.58","162.33","152.95","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","8087.82","0.16","0.95","0.0","6.66","0.95","6.33","0.0","0.0","0.0","0.0","45.16","48.22","201.17","100.58","156.01","152.95","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","8087.82","0.16","0.95","0.0","6.33","0.95","6.01","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","51.18","","","","","","",""
"2016.0","6.0","10.0","162.0","8087.82","0.16","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","6.3","48.22","201.17","100.58","194.87","152.95","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","8087.82","0.15","0.95","0.0","6.93","0.95","6.58","0.0","0.0","0.0","0.0","12.88","48.22","201.17","100.58","188.29","152.95","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","8087.82","0.15","0.95","0.0","7.07","0.95","6.72","0.0","0.0","0.0","0.0","19.6","48.22","201.17","100.58","181.57","152.95","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","8087.82","0.15","0.95","0.0","6.74","0.95","6.4","0.0","0.0","0.0","0.0","26.0","48.22","201.17","100.58","175.17","152.95","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","8087.82","0.15","0.95","0.0","6.25","0.95","5.94","0.0","0.0","0.0","0.0","31.94","48.22","201.17","100.58","169.23","152.95","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","8087.82","0.15","0.95","0.0","5.13","0.95","4.87","0.0","0.0","0.0","0.0","36.81","48.22","201.17","100.58","164.36","152.95","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","8087.82","0.15","0.95","0.0","5.19","0.95","4.93","0.0","0.0","0.0","0.0","41.74","48.22","201.17","100.58","159.43","152.95","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","8087.82","0.15","0.95","0.0","4.72","0.95","4.48","0.0","0.0","0.0","0.0","46.23","48.22","201.17","100.58","154.94","152.95","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","8087.82","0.14","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","52.01","","","","","","",""
"2016.0","6.0","19.0","171.0","8087.82","0.14","0.95","0.0","6.77","0.95","6.43","0.0","0.0","0.0","0.0","6.43","48.22","201.17","100.58","194.74","152.95","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","8087.82","0.14","0.95","0.0","7.37","0.95","7.0","0.0","0.0","0.0","0.0","13.43","48.22","201.17","100.58","187.74","152.95","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","8087.82","0.14","0.95","0.0","7.68","0.95","7.3","0.0","0.0","0.0","0.0","20.73","48.22","201.17","100.58","180.44","152.95","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","8087.82","0.14","0.95","0.0","7.83","0.95","7.44","0.0","0.0","0.0","0.0","28.17","48.22","201.17","100.58","173.0","152.95","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","8087.82","0.14","0.95","0.0","7.67","0.95","7.29","0.0","0.0","0.0","0.0","35.45","48.22","201.17","100.58","165.71","152.95","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","8087.82","0.13","0.95","0.0","7.0","0.95","6.65","0.0","0.0","0.0","0.0","42.1","48.22","201.17","100.58","159.06","152.95","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","8087.82","0.13","0.95","0.0","7.78","0.95","7.39","0.0","0.0","0.0","0.0","0.0","48.22","201.17","100.58","201.17","152.95","49.5","","","","","","",""
"2016.0","6.0","26.0","178.0","8087.82","0.13","0.95","0.0","7.64","0.95","7.26","0.0","0.0","0.0","0.0","7.26","48.22","201.17","100.58","193.91","152.95","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","8087.82","0.13","0.95","0.0","8.07","0.95","7.67","0.0","0.0","0.0","0.0","14.92","48.22","201.17","100.58","186.24","152.95","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","8087.82","0.13","0.95","0.0","8.11","0.95","7.7","0.0","0.0","0.0","0.0","22.63","48.22","201.17","100.58","178.54","152.95","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","8087.82","0.13","0.95","0.0","7.53","0.95","7.15","0.0","0.0","0.0","0.0","29.78","48.22","201.17","100.58","171.39","152.95","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","8087.82","0.13","0.95","0.0","7.46","0.95","7.09","0.0","0.0","0.0","0.0","36.87","48.22","201.17","100.58","164.3","152.95","0.0","","","","","","",""
