" Daily soil water balance output for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Cherries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","1267.65","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","25.65","492.27","246.14","474.06","466.62","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1267.65","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","25.65","492.27","246.14","472.81","466.62","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1267.65","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","25.65","492.27","246.14","471.23","466.62","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1267.65","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","25.65","492.27","246.14","470.0","466.62","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1267.65","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","25.65","492.27","246.14","469.0","466.62","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1267.65","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","25.65","492.27","246.14","468.19","466.62","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1267.65","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","25.65","492.27","246.14","478.77","466.62","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1267.65","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","25.65","492.27","246.14","481.14","466.62","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1267.65","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","25.65","492.27","246.14","479.08","466.62","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1267.65","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","25.65","492.27","246.14","476.8","466.62","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1267.65","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","25.65","492.27","246.14","474.16","466.62","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1267.65","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","25.65","492.27","246.14","472.1","466.62","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1267.65","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","25.65","492.27","246.14","470.37","466.62","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1267.65","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","25.65","492.27","246.14","468.69","466.62","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1267.65","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","25.65","492.27","246.14","467.12","466.62","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1267.65","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","25.65","492.27","246.14","465.72","466.62","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1267.65","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1267.65","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","27.15","25.65","492.27","246.14","465.13","466.62","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1267.65","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1267.65","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","26.97","25.65","492.27","246.14","465.31","466.62","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1267.65","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1267.65","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","26.1","25.65","492.27","246.14","466.18","466.62","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1267.65","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","12.62","25.65","492.27","246.14","479.66","466.62","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1267.65","1.13","0.0","0.0","2.16","1.13","2.45","33.53","15.07","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1267.65","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1267.65","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1267.65","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","25.65","492.27","246.14","490.2","466.62","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1267.65","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","25.65","492.27","246.14","488.93","466.62","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1267.65","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1267.65","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1267.65","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1267.65","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1267.65","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","25.65","492.27","246.14","488.9","466.62","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1267.65","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","25.65","492.27","246.14","486.01","466.62","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1267.65","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","25.65","492.27","246.14","483.52","466.62","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1267.65","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","25.65","492.27","246.14","481.3","466.62","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1267.65","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","25.65","492.27","246.14","479.28","466.62","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1267.65","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","25.65","492.27","246.14","477.91","466.62","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1267.65","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","25.65","492.27","246.14","478.68","466.62","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1267.65","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","25.65","492.27","246.14","477.84","466.62","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1267.65","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","25.65","492.27","246.14","476.13","466.62","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1267.65","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","25.65","492.27","246.14","474.59","466.62","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1267.65","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","25.65","492.27","246.14","472.92","466.62","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1267.65","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","25.65","492.27","246.14","471.04","466.62","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1267.65","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","25.65","492.27","246.14","469.6","466.62","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1267.65","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","25.65","492.27","246.14","468.23","466.62","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1267.65","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","25.48","25.65","492.27","246.14","466.8","466.62","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1267.65","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","26.8","25.65","492.27","246.14","465.48","466.62","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1267.65","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1267.65","0.34","0.0","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","26.92","25.65","492.27","246.14","465.36","466.62","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1267.65","0.33","0.0","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1267.65","0.32","0.0","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","26.97","25.65","492.27","246.14","465.31","466.62","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1267.65","0.31","0.0","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1267.65","0.3","0.0","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","27.34","25.65","492.27","246.14","464.94","466.62","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1267.65","0.29","0.0","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1267.65","0.29","0.0","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","26.89","25.65","492.27","246.14","465.38","466.62","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1267.65","0.28","0.0","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1267.65","1.16","0.0","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","23.69","25.65","492.27","246.14","468.59","466.62","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1267.65","1.13","0.0","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","12.02","25.65","492.27","246.14","480.26","466.62","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1267.65","1.11","0.0","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","14.77","25.65","492.27","246.14","477.5","466.62","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1267.65","0.91","0.0","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","17.99","25.65","492.27","246.14","474.28","466.62","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1267.65","0.75","0.0","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","21.16","25.65","492.27","246.14","471.12","466.62","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1267.65","0.65","0.0","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","22.79","25.65","492.27","246.14","469.48","466.62","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1267.65","0.56","0.0","0.0","5.43","0.56","3.06","0.0","0.0","0.0","0.0","25.85","25.65","492.27","246.14","466.42","466.62","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1267.65","0.5","0.55","0.0","5.34","0.55","2.94","0.0","0.0","0.0","0.0","28.79","102.69","492.27","246.14","463.48","389.59","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1267.65","0.47","0.56","0.0","4.76","0.56","2.65","0.0","0.0","0.0","0.0","31.44","102.69","492.27","246.14","460.83","389.59","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1267.65","0.43","0.56","0.0","5.12","0.56","2.88","0.0","0.0","0.0","0.0","34.32","102.69","492.27","246.14","457.95","389.59","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1267.65","0.41","0.57","0.0","4.98","0.57","2.84","0.0","0.0","0.0","0.0","37.16","102.69","492.27","246.14","455.11","389.59","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1267.65","0.38","0.58","0.0","5.18","0.58","2.99","0.0","0.0","0.0","0.0","40.15","102.69","492.27","246.14","452.12","389.59","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1267.65","0.37","0.58","0.0","3.85","0.58","2.25","0.0","0.0","0.0","0.0","42.4","102.69","492.27","246.14","449.88","389.59","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1267.65","0.36","0.59","0.0","2.79","0.59","1.65","0.11","0.11","0.0","0.0","43.93","102.69","492.27","246.14","448.34","389.59","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1267.65","1.06","0.6","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","43.03","102.69","492.27","246.14","449.25","389.59","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1267.65","0.91","0.6","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","47.17","102.69","492.27","246.14","445.1","389.59","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1267.65","0.71","0.61","0.0","5.38","0.71","3.81","0.0","0.0","0.0","0.0","50.98","102.69","492.27","246.14","441.3","389.59","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1267.65","0.61","0.62","0.0","4.67","0.62","2.88","0.0","0.0","0.0","0.0","53.86","102.69","492.27","246.14","438.42","389.59","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1267.65","0.56","0.62","0.0","3.74","0.62","2.33","0.0","0.0","0.0","0.0","56.19","102.69","492.27","246.14","436.09","389.59","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1267.65","0.99","0.63","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","57.08","102.69","492.27","246.14","435.2","389.59","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1267.65","0.79","0.64","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","61.11","102.69","492.27","246.14","431.16","389.59","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1267.65","0.6","0.64","0.0","7.38","0.64","4.75","0.0","0.0","0.0","0.0","65.86","102.69","492.27","246.14","426.42","389.59","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1267.65","0.52","0.65","0.0","5.86","0.65","3.81","0.0","0.0","0.0","0.0","69.67","102.69","492.27","246.14","422.61","389.59","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1267.65","0.48","0.66","0.0","5.39","0.66","3.54","0.0","0.0","0.0","0.0","73.21","102.69","492.27","246.14","419.07","389.59","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1267.65","0.44","0.66","0.0","4.49","0.66","2.98","0.0","0.0","0.0","0.0","76.19","102.69","492.27","246.14","416.09","389.59","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1267.65","0.42","0.67","0.0","4.86","0.67","3.26","0.0","0.0","0.0","0.0","79.44","102.69","492.27","246.14","412.83","389.59","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1267.65","0.41","0.68","0.0","2.44","0.68","1.65","0.08","0.08","0.0","0.0","81.01","102.69","492.27","246.14","411.26","389.59","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1267.65","0.4","0.68","0.0","2.03","0.68","1.39","0.13","0.13","0.0","0.0","82.27","102.69","492.27","246.14","410.0","389.59","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1267.65","0.39","0.69","0.0","2.18","0.69","1.5","3.39","3.39","0.0","0.0","80.38","102.69","492.27","246.14","411.89","389.59","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1267.65","0.38","0.7","0.0","3.23","0.7","2.25","1.22","1.22","0.0","0.0","81.41","102.69","492.27","246.14","410.86","389.59","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1267.65","0.36","0.7","0.0","4.65","0.7","3.27","0.0","0.0","0.0","0.0","84.68","102.69","492.27","246.14","407.59","389.59","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1267.65","0.34","0.71","0.0","5.68","0.71","4.03","0.0","0.0","0.0","0.0","88.72","102.69","492.27","246.14","403.56","389.59","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1267.65","0.33","0.72","0.0","6.03","0.72","4.32","0.0","0.0","0.0","0.0","93.04","102.69","492.27","246.14","399.24","389.59","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","1267.65","0.31","0.72","0.0","6.07","0.72","4.39","0.0","0.0","0.0","0.0","97.43","102.69","492.27","246.14","394.84","389.59","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1267.65","0.3","0.73","0.0","5.63","0.73","4.11","0.0","0.0","0.0","0.0","101.54","102.69","492.27","246.14","390.74","389.59","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1267.65","0.29","0.74","0.0","5.14","0.74","3.79","0.0","0.0","0.0","0.0","0.0","102.69","492.27","246.14","492.27","389.59","105.33","","","","","","",""
"2016.0","5.0","15.0","136.0","1267.65","0.28","0.74","0.0","5.57","0.74","4.14","0.0","0.0","0.0","0.0","4.14","102.69","492.27","246.14","488.13","389.59","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1267.65","0.27","0.75","0.0","6.62","0.75","4.97","0.0","0.0","0.0","0.0","9.11","102.69","492.27","246.14","483.17","389.59","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1267.65","0.26","0.76","0.0","7.71","0.76","5.83","0.0","0.0","0.0","0.0","14.94","102.69","492.27","246.14","477.34","389.59","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1267.65","0.25","0.76","0.0","7.08","0.76","5.4","0.0","0.0","0.0","0.0","20.34","102.69","492.27","246.14","471.93","389.59","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1267.65","0.24","0.77","0.0","6.3","0.77","4.85","0.0","0.0","0.0","0.0","25.19","102.69","492.27","246.14","467.08","389.59","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1267.65","0.24","0.78","0.0","4.85","0.78","3.77","0.0","0.0","0.0","0.0","28.96","102.69","492.27","246.14","463.31","389.59","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1267.65","0.24","0.78","0.0","3.73","0.78","2.92","0.32","0.32","0.0","0.0","31.56","102.69","492.27","246.14","460.71","389.59","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1267.65","0.23","0.79","0.0","4.28","0.79","3.38","0.26","0.26","0.0","0.0","34.68","102.69","492.27","246.14","457.59","389.59","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1267.65","0.23","0.8","0.0","4.84","0.8","3.86","0.0","0.0","0.0","0.0","38.54","102.69","492.27","246.14","453.73","389.59","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1267.65","0.22","0.8","0.0","4.85","0.8","3.9","0.0","0.0","0.0","0.0","42.44","102.69","492.27","246.14","449.84","389.59","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1267.65","0.22","0.81","0.0","5.31","0.81","4.3","0.0","0.0","0.0","0.0","46.74","102.69","492.27","246.14","445.54","389.59","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1267.65","0.21","0.82","0.0","5.74","0.82","4.69","0.0","0.0","0.0","0.0","51.43","102.69","492.27","246.14","440.85","389.59","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1267.65","0.21","0.82","0.0","6.05","0.82","4.98","0.0","0.0","0.0","0.0","56.41","102.69","492.27","246.14","435.87","389.59","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","1267.65","0.21","0.83","0.0","6.96","0.83","5.78","0.0","0.0","0.0","0.0","62.18","102.69","492.27","246.14","430.09","389.59","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1267.65","0.2","0.84","0.0","6.57","0.84","5.5","0.0","0.0","0.0","0.0","67.68","102.69","492.27","246.14","424.59","389.59","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1267.65","0.2","0.84","0.0","6.83","0.84","5.76","0.0","0.0","0.0","0.0","73.44","102.69","492.27","246.14","418.83","389.59","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1267.65","0.19","0.85","0.0","7.15","0.85","6.08","0.0","0.0","0.0","0.0","79.52","102.69","492.27","246.14","412.76","389.59","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1267.65","0.19","0.86","0.0","7.23","0.86","6.19","0.0","0.0","0.0","0.0","85.71","102.69","492.27","246.14","406.56","389.59","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1267.65","0.19","0.86","0.0","6.91","0.86","5.97","0.0","0.0","0.0","0.0","91.68","102.69","492.27","246.14","400.6","389.59","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","1267.65","0.18","0.87","0.0","7.35","0.87","6.39","0.0","0.0","0.0","0.0","98.07","102.69","492.27","246.14","394.2","389.59","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1267.65","0.18","0.88","0.0","4.89","0.88","4.29","0.0","0.0","0.0","0.0","102.36","102.69","492.27","246.14","389.92","389.59","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1267.65","0.18","0.88","0.0","7.68","0.88","6.78","0.0","0.0","0.0","0.0","0.0","102.69","492.27","246.14","492.27","389.59","109.14","","","","","","",""
"2016.0","6.0","6.0","158.0","1267.65","0.17","0.89","0.0","7.2","0.89","6.41","0.0","0.0","0.0","0.0","6.41","102.69","492.27","246.14","485.87","389.59","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1267.65","0.17","0.9","0.0","6.83","0.9","6.12","0.0","0.0","0.0","0.0","12.53","102.69","492.27","246.14","479.74","389.59","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1267.65","0.17","0.9","0.0","6.55","0.9","5.92","0.0","0.0","0.0","0.0","18.45","102.69","492.27","246.14","473.83","389.59","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1267.65","0.17","0.91","0.0","6.26","0.91","5.7","0.0","0.0","0.0","0.0","24.15","102.69","492.27","246.14","468.13","389.59","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1267.65","0.16","0.92","0.0","6.64","0.92","6.09","0.0","0.0","0.0","0.0","30.23","102.69","492.27","246.14","462.04","389.59","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1267.65","0.16","0.92","0.0","6.87","0.92","6.34","0.0","0.0","0.0","0.0","36.58","102.69","492.27","246.14","455.7","389.59","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1267.65","0.16","0.93","0.0","6.96","0.93","6.47","0.0","0.0","0.0","0.0","43.05","102.69","492.27","246.14","449.23","389.59","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1267.65","0.16","0.94","0.0","6.65","0.94","6.23","0.0","0.0","0.0","0.0","49.28","102.69","492.27","246.14","443.0","389.59","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1267.65","0.16","0.94","0.0","6.35","0.94","5.99","0.0","0.0","0.0","0.0","55.27","102.69","492.27","246.14","437.01","389.59","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","1267.65","0.15","0.95","0.0","5.38","0.95","5.11","0.0","0.0","0.0","0.0","60.38","102.69","492.27","246.14","431.9","389.59","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1267.65","0.15","0.96","0.0","5.31","0.96","5.08","0.0","0.0","0.0","0.0","65.46","102.69","492.27","246.14","426.82","389.59","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1267.65","0.15","0.96","0.0","5.14","0.96","4.95","0.0","0.0","0.0","0.0","70.41","102.69","492.27","246.14","421.86","389.59","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1267.65","0.15","0.97","0.0","6.18","0.97","5.99","0.0","0.0","0.0","0.0","76.4","102.69","492.27","246.14","415.87","389.59","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1267.65","0.15","0.98","0.0","6.9","0.98","6.74","0.0","0.0","0.0","0.0","83.14","102.69","492.27","246.14","409.13","389.59","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1267.65","0.15","0.98","0.0","7.46","0.98","7.34","0.0","0.0","0.0","0.0","90.48","102.69","492.27","246.14","401.8","389.59","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1267.65","0.14","0.99","0.0","7.77","0.99","7.69","0.0","0.0","0.0","0.0","98.17","102.69","492.27","246.14","394.1","389.59","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1267.65","0.14","1.0","0.0","7.82","1.0","7.79","0.0","0.0","0.0","0.0","0.0","102.69","492.27","246.14","492.27","389.59","105.97","","","","","","",""
"2016.0","6.0","23.0","175.0","1267.65","0.14","1.0","0.0","7.73","1.0","7.76","0.0","0.0","0.0","0.0","7.76","102.69","492.27","246.14","484.52","389.59","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1267.65","0.14","1.01","0.0","7.01","1.01","7.08","0.0","0.0","0.0","0.0","14.84","102.69","492.27","246.14","477.44","389.59","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","1267.65","0.14","1.02","0.0","7.8","1.02","7.93","0.0","0.0","0.0","0.0","22.77","102.69","492.27","246.14","469.51","389.59","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","1267.65","0.14","1.02","0.0","7.67","1.02","7.85","0.0","0.0","0.0","0.0","30.61","102.69","492.27","246.14","461.66","389.59","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1267.65","0.13","1.03","0.0","8.11","1.03","8.35","0.0","0.0","0.0","0.0","38.97","102.69","492.27","246.14","453.31","389.59","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1267.65","0.13","1.04","0.0","8.1","1.04","8.4","0.0","0.0","0.0","0.0","47.37","102.69","492.27","246.14","444.91","389.59","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1267.65","0.13","1.04","0.0","7.45","1.04","7.77","0.0","0.0","0.0","0.0","55.14","102.69","492.27","246.14","437.14","389.59","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","1267.65","0.13","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","62.9","102.69","492.27","246.14","429.38","389.59","0.0","","","","","","",""
