" Daily soil water balance output for Almonds in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almond in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","1169.57","0.56","0.0","0.0","1.78","0.56","1.01","0.0","0.0","0.0","0.0","19.85","26.4","527.51","263.75","507.66","501.11","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1169.57","0.54","0.0","0.0","2.3","0.54","1.24","0.0","0.0","0.0","0.0","21.09","26.4","527.51","263.75","506.42","501.11","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1169.57","0.51","0.0","0.0","3.12","0.51","1.59","0.0","0.0","0.0","0.0","22.68","26.4","527.51","263.75","504.83","501.11","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1169.57","0.49","0.0","0.0","2.59","0.49","1.27","0.0","0.0","0.0","0.0","23.94","26.4","527.51","263.75","503.56","501.11","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1169.57","0.47","0.0","0.0","2.08","0.47","0.98","0.0","0.0","0.0","0.0","24.93","26.4","527.51","263.75","502.58","501.11","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1169.57","0.46","0.0","0.0","2.57","0.46","1.17","0.01","0.01","0.0","0.0","26.09","26.4","527.51","263.75","501.41","501.11","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1169.57","1.15","0.0","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","17.57","26.4","527.51","263.75","509.93","501.11","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1169.57","1.16","0.0","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","15.86","26.4","527.51","263.75","511.65","501.11","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1169.57","1.15","0.0","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","17.86","26.4","527.51","263.75","509.65","501.11","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1169.57","1.15","0.0","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","20.1","26.4","527.51","263.75","507.4","501.11","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1169.57","0.98","0.0","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","22.75","26.4","527.51","263.75","504.76","501.11","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1169.57","0.86","0.0","0.0","2.39","0.86","2.06","0.0","0.0","0.0","0.0","24.81","26.4","527.51","263.75","502.7","501.11","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1169.57","0.78","0.0","0.0","2.21","0.78","1.73","0.0","0.0","0.0","0.0","26.54","26.4","527.51","263.75","500.97","501.11","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1169.57","0.72","0.0","0.0","2.32","0.72","1.67","0.0","0.0","0.0","0.0","26.4","26.4","527.51","263.75","501.11","501.11","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1169.57","0.67","0.0","0.0","2.34","0.67","1.56","0.0","0.0","0.0","0.0","27.96","26.4","527.51","263.75","499.55","501.11","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1169.57","0.63","0.0","0.0","2.18","0.63","1.37","0.0","0.0","0.0","0.0","26.4","26.4","527.51","263.75","501.11","501.11","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1169.57","0.6","0.0","0.0","2.07","0.6","1.24","0.0","0.0","0.0","0.0","27.64","26.4","527.51","263.75","499.87","501.11","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1169.57","0.56","0.0","0.0","2.62","0.56","1.48","0.0","0.0","0.0","0.0","26.4","26.4","527.51","263.75","501.11","501.11","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1169.57","0.53","0.0","0.0","2.94","0.53","1.56","0.0","0.0","0.0","0.0","27.96","26.4","527.51","263.75","499.54","501.11","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1169.57","0.51","0.0","0.0","2.57","0.51","1.3","0.0","0.0","0.0","0.0","26.4","26.4","527.51","263.75","501.11","501.11","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1169.57","0.49","0.0","0.0","1.76","0.49","0.87","0.0","0.0","0.0","0.0","27.27","26.4","527.51","263.75","500.24","501.11","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1169.57","0.48","0.0","0.0","1.47","0.48","0.71","0.08","0.08","0.0","0.0","26.4","26.4","527.51","263.75","501.11","501.11","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1169.57","1.17","0.0","0.0","1.19","1.17","1.4","13.37","13.37","0.0","0.0","14.43","26.4","527.51","263.75","513.08","501.11","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1169.57","1.13","0.0","0.0","2.19","1.13","2.48","48.26","16.91","0.0","0.0","0.0","26.4","527.51","263.75","527.51","501.11","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1169.57","1.16","0.0","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","26.4","527.51","263.75","527.51","501.11","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1169.57","1.15","0.0","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","26.4","527.51","263.75","526.99","501.11","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1169.57","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","26.4","527.51","263.75","524.92","501.11","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1169.57","1.09","0.0","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","26.4","527.51","263.75","523.46","501.11","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1169.57","1.16","0.0","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","26.4","527.51","263.75","527.51","501.11","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1169.57","1.16","0.0","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","26.4","527.51","263.75","527.51","501.11","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1169.57","1.17","0.0","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","26.4","527.51","263.75","527.51","501.11","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1169.57","1.12","0.0","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","26.4","527.51","263.75","527.51","501.11","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1169.57","1.11","0.0","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","26.4","527.51","263.75","524.15","501.11","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1169.57","0.93","0.0","0.0","3.1","0.93","2.87","0.0","0.0","0.0","0.0","6.23","26.4","527.51","263.75","521.28","501.11","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1169.57","0.79","0.0","0.0","3.14","0.79","2.49","0.0","0.0","0.0","0.0","8.72","26.4","527.51","263.75","518.79","501.11","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1169.57","0.71","0.0","0.0","3.12","0.71","2.2","0.0","0.0","0.0","0.0","10.92","26.4","527.51","263.75","516.59","501.11","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1169.57","0.64","0.0","0.0","3.11","0.64","1.99","0.0","0.0","0.0","0.0","12.91","26.4","527.51","263.75","514.59","501.11","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1169.57","0.61","0.55","0.0","2.14","0.61","1.3","0.0","0.0","0.0","0.0","14.21","116.89","527.51","263.75","513.29","410.61","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1169.57","0.58","0.56","0.0","2.2","0.58","1.27","1.3","1.3","0.0","0.0","14.19","116.89","527.51","263.75","513.32","410.61","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1169.57","0.54","0.56","0.0","2.94","0.56","1.65","0.94","0.94","0.0","0.0","14.89","116.89","527.51","263.75","512.61","410.61","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1169.57","0.51","0.57","0.0","3.34","0.57","1.89","0.0","0.0","0.0","0.0","16.79","116.89","527.51","263.75","510.72","410.61","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1169.57","0.48","0.57","0.0","3.19","0.57","1.82","0.0","0.0","0.0","0.0","18.61","116.89","527.51","263.75","508.9","410.61","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1169.57","0.46","0.58","0.0","3.68","0.58","2.12","0.0","0.0","0.0","0.0","20.73","116.89","527.51","263.75","506.78","410.61","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1169.57","0.43","0.58","0.0","4.39","0.58","2.56","0.0","0.0","0.0","0.0","23.29","116.89","527.51","263.75","504.22","410.61","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1169.57","0.41","0.59","0.0","3.47","0.59","2.04","0.0","0.0","0.0","0.0","25.32","116.89","527.51","263.75","502.18","410.61","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1169.57","0.4","0.59","0.0","3.49","0.59","2.07","0.0","0.0","0.0","0.0","27.39","116.89","527.51","263.75","500.11","410.61","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1169.57","0.38","0.6","0.0","3.77","0.6","2.26","0.0","0.0","0.0","0.0","29.65","116.89","527.51","263.75","497.86","410.61","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1169.57","0.37","0.6","0.0","3.58","0.6","2.16","0.0","0.0","0.0","0.0","31.81","116.89","527.51","263.75","495.7","410.61","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1169.57","0.36","0.61","0.0","3.76","0.61","2.29","0.0","0.0","0.0","0.0","34.1","116.89","527.51","263.75","493.41","410.61","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1169.57","0.35","0.61","0.0","3.65","0.61","2.24","0.0","0.0","0.0","0.0","36.34","116.89","527.51","263.75","491.17","410.61","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1169.57","0.34","0.62","0.0","3.74","0.62","2.32","0.0","0.0","0.0","0.0","38.66","116.89","527.51","263.75","488.85","410.61","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1169.57","0.33","0.63","0.0","4.02","0.63","2.51","0.0","0.0","0.0","0.0","41.17","116.89","527.51","263.75","486.34","410.61","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1169.57","0.32","0.63","0.0","4.17","0.63","2.63","0.0","0.0","0.0","0.0","43.8","116.89","527.51","263.75","483.71","410.61","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1169.57","0.3","0.64","0.0","5.61","0.64","3.57","0.0","0.0","0.0","0.0","47.37","116.89","527.51","263.75","480.14","410.61","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1169.57","0.29","0.64","0.0","4.91","0.64","3.15","0.0","0.0","0.0","0.0","50.51","116.89","527.51","263.75","476.99","410.61","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1169.57","0.29","0.65","0.0","4.31","0.65","2.79","0.0","0.0","0.0","0.0","53.3","116.89","527.51","263.75","474.21","410.61","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1169.57","0.28","0.65","0.0","3.47","0.65","2.26","0.01","0.01","0.0","0.0","55.55","116.89","527.51","263.75","471.96","410.61","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1169.57","0.28","0.66","0.0","1.5","0.66","0.99","2.32","2.32","0.0","0.0","54.22","116.89","527.51","263.75","473.29","410.61","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1169.57","1.13","0.66","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","47.77","116.89","527.51","263.75","479.74","410.61","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1169.57","1.11","0.67","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","50.93","116.89","527.51","263.75","476.58","410.61","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1169.57","0.91","0.67","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","54.1","116.89","527.51","263.75","473.41","410.61","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1169.57","0.75","0.68","0.0","4.25","0.75","3.18","0.0","0.0","0.0","0.0","57.27","116.89","527.51","263.75","470.24","410.61","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1169.57","0.65","0.68","0.0","4.05","0.68","2.77","0.48","0.48","0.0","0.0","59.56","116.89","527.51","263.75","467.95","410.61","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1169.57","0.57","0.69","0.0","5.4","0.69","3.72","0.0","0.0","0.0","0.0","63.28","116.89","527.51","263.75","464.22","410.61","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1169.57","0.51","0.69","0.0","5.38","0.69","3.74","0.0","0.0","0.0","0.0","67.02","116.89","527.51","263.75","460.49","410.61","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1169.57","0.47","0.7","0.0","4.72","0.7","3.3","0.0","0.0","0.0","0.0","70.32","116.89","527.51","263.75","457.18","410.61","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1169.57","0.43","0.71","0.0","5.09","0.71","3.59","0.0","0.0","0.0","0.0","73.91","116.89","527.51","263.75","453.59","410.61","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1169.57","0.41","0.71","0.0","4.97","0.71","3.53","0.0","0.0","0.0","0.0","77.45","116.89","527.51","263.75","450.06","410.61","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1169.57","0.38","0.72","0.0","5.11","0.72","3.66","0.0","0.0","0.0","0.0","81.11","116.89","527.51","263.75","446.4","410.61","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1169.57","0.37","0.72","0.0","3.83","0.72","2.76","0.0","0.0","0.0","0.0","83.87","116.89","527.51","263.75","443.64","410.61","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1169.57","0.36","0.73","0.0","2.88","0.73","2.09","0.12","0.12","0.0","0.0","85.84","116.89","527.51","263.75","441.66","410.61","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1169.57","0.35","0.73","0.0","3.96","0.73","2.9","2.58","2.58","0.0","0.0","86.16","116.89","527.51","263.75","441.35","410.61","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1169.57","0.34","0.74","0.0","4.41","0.74","3.25","0.0","0.0","0.0","0.0","89.41","116.89","527.51","263.75","438.09","410.61","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1169.57","0.32","0.74","0.0","5.39","0.74","4.0","0.0","0.0","0.0","0.0","93.42","116.89","527.51","263.75","434.09","410.61","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1169.57","0.31","0.75","0.0","4.64","0.75","3.47","0.0","0.0","0.0","0.0","96.89","116.89","527.51","263.75","430.62","410.61","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1169.57","0.3","0.75","0.0","3.84","0.75","2.89","0.0","0.0","0.0","0.0","99.78","116.89","527.51","263.75","427.72","410.61","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1169.57","0.29","0.76","0.0","5.73","0.76","4.35","3.95","3.95","0.0","0.0","100.18","116.89","527.51","263.75","427.32","410.61","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1169.57","0.28","0.76","0.0","5.1","0.76","3.9","0.0","0.0","0.0","0.0","104.08","116.89","527.51","263.75","423.43","410.61","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1169.57","0.27","0.77","0.0","7.38","0.77","5.68","0.0","0.0","0.0","0.0","109.76","116.89","527.51","263.75","417.75","410.61","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1169.57","0.26","0.77","0.0","5.87","0.77","4.55","0.0","0.0","0.0","0.0","114.31","116.89","527.51","263.75","413.2","410.61","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1169.57","0.26","0.78","0.0","5.3","0.78","4.14","0.0","0.0","0.0","0.0","0.0","116.89","527.51","263.75","527.51","410.61","118.45","","","","","","",""
"2016.0","5.0","3.0","124.0","1169.57","0.25","0.79","0.0","4.33","0.79","3.4","0.0","0.0","0.0","0.0","3.4","116.89","527.51","263.75","524.11","410.61","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1169.57","0.25","0.79","0.0","4.83","0.79","3.82","0.0","0.0","0.0","0.0","7.22","116.89","527.51","263.75","520.28","410.61","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1169.57","0.24","0.8","0.0","2.3","0.8","1.83","0.02","0.02","0.0","0.0","9.03","116.89","527.51","263.75","518.47","410.61","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1169.57","0.24","0.8","0.0","2.1","0.8","1.68","0.13","0.13","0.0","0.0","10.59","116.89","527.51","263.75","516.92","410.61","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1169.57","0.24","0.81","0.0","2.06","0.81","1.66","1.36","1.36","0.0","0.0","10.89","116.89","527.51","263.75","516.62","410.61","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1169.57","0.24","0.81","0.0","3.2","0.81","2.6","2.24","2.24","0.0","0.0","11.25","116.89","527.51","263.75","516.26","410.61","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1169.57","0.23","0.82","0.0","4.63","0.82","3.79","0.0","0.0","0.0","0.0","15.04","116.89","527.51","263.75","512.47","410.61","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1169.57","0.23","0.82","0.0","5.64","0.82","4.64","0.0","0.0","0.0","0.0","19.68","116.89","527.51","263.75","507.83","410.61","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1169.57","0.22","0.83","0.0","5.95","0.83","4.93","0.0","0.0","0.0","0.0","24.61","116.89","527.51","263.75","502.9","410.61","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","1169.57","0.22","0.83","0.0","5.92","0.83","4.94","0.0","0.0","0.0","0.0","29.55","116.89","527.51","263.75","497.96","410.61","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1169.57","0.21","0.84","0.0","5.56","0.84","4.67","0.0","0.0","0.0","0.0","34.21","116.89","527.51","263.75","493.29","410.61","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1169.57","0.21","0.84","0.0","5.05","0.84","4.27","0.0","0.0","0.0","0.0","38.48","116.89","527.51","263.75","489.03","410.61","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","1169.57","0.21","0.85","0.0","5.51","0.85","4.68","0.0","0.0","0.0","0.0","43.16","116.89","527.51","263.75","484.34","410.61","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1169.57","0.2","0.86","0.0","6.55","0.86","5.6","0.0","0.0","0.0","0.0","48.77","116.89","527.51","263.75","478.74","410.61","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1169.57","0.2","0.86","0.0","7.65","0.86","6.58","0.0","0.0","0.0","0.0","55.35","116.89","527.51","263.75","472.16","410.61","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1169.57","0.19","0.87","0.0","7.01","0.87","6.07","0.0","0.0","0.0","0.0","61.42","116.89","527.51","263.75","466.09","410.61","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1169.57","0.19","0.87","0.0","6.2","0.87","5.4","0.0","0.0","0.0","0.0","66.82","116.89","527.51","263.75","460.68","410.61","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1169.57","0.19","0.88","0.0","4.88","0.88","4.28","0.0","0.0","0.0","0.0","71.1","116.89","527.51","263.75","456.4","410.61","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1169.57","0.19","0.88","0.0","4.07","0.88","3.59","0.51","0.51","0.0","0.0","74.18","116.89","527.51","263.75","453.32","410.61","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1169.57","0.18","0.89","0.0","4.31","0.89","3.83","0.2","0.2","0.0","0.0","77.81","116.89","527.51","263.75","449.7","410.61","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1169.57","0.18","0.89","0.0","4.77","0.89","4.26","0.0","0.0","0.0","0.0","82.07","116.89","527.51","263.75","445.44","410.61","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1169.57","0.18","0.9","0.0","4.82","0.9","4.33","0.0","0.0","0.0","0.0","86.4","116.89","527.51","263.75","441.11","410.61","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1169.57","0.18","0.9","0.0","5.25","0.9","4.74","0.0","0.0","0.0","0.0","91.14","116.89","527.51","263.75","436.37","410.61","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1169.57","0.18","0.91","0.0","5.68","0.91","5.16","0.0","0.0","0.0","0.0","96.3","116.89","527.51","263.75","431.2","410.61","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1169.57","0.17","0.91","0.0","5.98","0.91","5.47","0.0","0.0","0.0","0.0","101.77","116.89","527.51","263.75","425.74","410.61","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","1169.57","0.17","0.92","0.0","6.9","0.92","6.35","0.0","0.0","0.0","0.0","108.12","116.89","527.51","263.75","419.39","410.61","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1169.57","0.17","0.92","0.0","6.43","0.92","5.95","0.0","0.0","0.0","0.0","114.06","116.89","527.51","263.75","413.44","410.61","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1169.57","0.17","0.93","0.0","6.72","0.93","6.25","0.0","0.0","0.0","0.0","0.0","116.89","527.51","263.75","527.51","410.61","120.32","","","","","","",""
"2016.0","5.0","31.0","152.0","1169.57","0.16","0.94","0.0","7.04","0.94","6.59","0.0","0.0","0.0","0.0","6.59","116.89","527.51","263.75","520.92","410.61","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1169.57","0.16","0.94","0.0","7.1","0.94","6.68","0.0","0.0","0.0","0.0","13.27","116.89","527.51","263.75","514.24","410.61","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1169.57","0.16","0.95","0.0","6.77","0.95","6.41","0.0","0.0","0.0","0.0","19.68","116.89","527.51","263.75","507.83","410.61","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","1169.57","0.16","0.95","0.0","7.21","0.95","6.86","0.0","0.0","0.0","0.0","26.54","116.89","527.51","263.75","500.97","410.61","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1169.57","0.16","0.96","0.0","4.79","0.96","4.58","0.0","0.0","0.0","0.0","31.12","116.89","527.51","263.75","496.38","410.61","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1169.57","0.15","0.96","0.0","7.5","0.96","7.22","0.0","0.0","0.0","0.0","38.34","116.89","527.51","263.75","489.17","410.61","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","1169.57","0.15","0.97","0.0","7.01","0.97","6.78","0.0","0.0","0.0","0.0","45.13","116.89","527.51","263.75","482.38","410.61","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1169.57","0.15","0.97","0.0","6.63","0.97","6.45","0.0","0.0","0.0","0.0","51.58","116.89","527.51","263.75","475.93","410.61","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1169.57","0.15","0.98","0.0","6.37","0.98","6.23","0.0","0.0","0.0","0.0","57.81","116.89","527.51","263.75","469.69","410.61","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1169.57","0.15","0.98","0.0","6.1","0.98","6.0","0.0","0.0","0.0","0.0","63.81","116.89","527.51","263.75","463.69","410.61","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1169.57","0.15","0.99","0.0","6.5","0.99","6.43","0.0","0.0","0.0","0.0","70.25","116.89","527.51","263.75","457.26","410.61","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1169.57","0.14","0.99","0.0","6.86","0.99","6.82","0.0","0.0","0.0","0.0","77.07","116.89","527.51","263.75","450.44","410.61","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1169.57","0.14","1.0","0.0","6.89","1.0","6.89","0.0","0.0","0.0","0.0","83.96","116.89","527.51","263.75","443.55","410.61","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1169.57","0.14","1.01","0.0","6.55","1.01","6.59","0.0","0.0","0.0","0.0","90.54","116.89","527.51","263.75","436.96","410.61","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1169.57","0.14","1.01","0.0","6.15","1.01","6.22","0.0","0.0","0.0","0.0","96.76","116.89","527.51","263.75","430.75","410.61","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","1169.57","0.14","1.02","0.0","5.14","1.02","5.22","0.0","0.0","0.0","0.0","101.98","116.89","527.51","263.75","425.53","410.61","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1169.57","0.14","1.02","0.0","5.15","1.02","5.26","0.0","0.0","0.0","0.0","107.24","116.89","527.51","263.75","420.26","410.61","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1169.57","0.14","1.03","0.0","4.72","1.03","4.85","0.0","0.0","0.0","0.0","112.09","116.89","527.51","263.75","415.42","410.61","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1169.57","0.14","1.03","0.0","6.09","1.03","6.29","0.0","0.0","0.0","0.0","0.0","116.89","527.51","263.75","527.51","410.61","118.37","","","","","","",""
"2016.0","6.0","19.0","171.0","1169.57","0.13","1.04","0.0","6.76","1.04","7.01","0.0","0.0","0.0","0.0","7.01","116.89","527.51","263.75","520.49","410.61","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1169.57","0.13","1.04","0.0","7.29","1.04","7.6","0.0","0.0","0.0","0.0","14.62","116.89","527.51","263.75","512.89","410.61","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1169.57","0.13","1.05","0.0","7.6","1.05","7.97","0.0","0.0","0.0","0.0","22.58","116.89","527.51","263.75","504.92","410.61","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1169.57","0.13","1.05","0.0","7.59","1.05","8.0","0.0","0.0","0.0","0.0","30.58","116.89","527.51","263.75","496.93","410.61","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1169.57","0.13","1.06","0.0","7.55","1.06","7.99","0.0","0.0","0.0","0.0","38.57","116.89","527.51","263.75","488.93","410.61","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1169.57","0.13","1.06","0.0","6.9","1.06","7.34","0.0","0.0","0.0","0.0","45.92","116.89","527.51","263.75","481.59","410.61","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","1169.57","0.13","1.07","0.0","7.71","1.07","8.25","0.0","0.0","0.0","0.0","54.16","116.89","527.51","263.75","473.34","410.61","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","1169.57","0.13","1.08","0.0","7.55","1.08","8.12","0.0","0.0","0.0","0.0","62.28","116.89","527.51","263.75","465.23","410.61","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1169.57","0.12","1.08","0.0","7.98","1.08","8.62","0.0","0.0","0.0","0.0","70.9","116.89","527.51","263.75","456.61","410.61","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1169.57","0.12","1.09","0.0","7.97","1.09","8.65","0.0","0.0","0.0","0.0","79.56","116.89","527.51","263.75","447.95","410.61","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1169.57","0.12","1.09","0.0","7.26","1.09","7.92","0.0","0.0","0.0","0.0","87.48","116.89","527.51","263.75","440.03","410.61","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","1169.57","0.12","1.1","0.0","7.26","1.1","7.96","0.0","0.0","0.0","0.0","95.44","116.89","527.51","263.75","432.07","410.61","0.0","","","","","","",""
