" Daily soil water balance output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","7693.29","0.58","0.8","0.0","1.79","0.8","1.43","0.0","0.0","0.0","0.0","19.08","27.29","112.0","56.0","92.92","84.71","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","7693.29","0.56","0.8","0.0","1.84","0.8","1.47","0.0","0.0","0.0","0.0","20.55","27.29","112.0","56.0","91.45","84.71","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","7693.29","0.53","0.8","0.0","2.37","0.8","1.9","0.0","0.0","0.0","0.0","22.45","27.29","112.0","56.0","89.55","84.71","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","7693.29","0.5","0.8","0.0","3.26","0.8","2.61","0.0","0.0","0.0","0.0","25.06","27.29","112.0","56.0","86.94","84.71","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","7693.29","0.48","0.8","0.0","2.68","0.8","2.14","0.0","0.0","0.0","0.0","27.2","27.29","112.0","56.0","84.8","84.71","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","7693.29","0.47","0.8","0.0","2.12","0.8","1.7","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","28.9","","","","","","",""
"2016.0","2.0","17.0","48.0","7693.29","0.45","0.8","0.0","2.66","0.8","2.13","0.0","0.0","0.0","0.0","2.13","27.29","112.0","56.0","109.87","84.71","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","7693.29","1.15","0.8","0.0","1.86","1.15","2.13","16.21","4.26","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","7693.29","1.16","0.8","0.0","1.55","1.16","1.79","3.14","1.79","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","7693.29","1.15","0.8","0.0","1.8","1.15","2.08","0.31","0.31","0.0","0.0","1.77","27.29","112.0","56.0","110.23","84.71","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","7693.29","1.15","0.8","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","4.02","27.29","112.0","56.0","107.98","84.71","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","7693.29","0.97","0.8","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","6.74","27.29","112.0","56.0","105.26","84.71","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","7693.29","0.86","0.8","0.0","2.36","0.86","2.02","0.0","0.0","0.0","0.0","8.76","27.29","112.0","56.0","103.24","84.71","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","7693.29","0.78","0.8","0.0","2.24","0.8","1.79","0.0","0.0","0.0","0.0","10.55","27.29","112.0","56.0","101.45","84.71","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","7693.29","0.71","0.8","0.0","2.35","0.8","1.88","0.0","0.0","0.0","0.0","12.43","27.29","112.0","56.0","99.57","84.71","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","7693.29","0.66","0.8","0.0","2.4","0.8","1.92","0.0","0.0","0.0","0.0","14.35","27.29","112.0","56.0","97.65","84.71","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","7693.29","0.63","0.8","0.0","2.02","0.8","1.62","0.0","0.0","0.0","0.0","15.97","27.29","112.0","56.0","96.03","84.71","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","7693.29","0.6","0.8","0.0","2.15","0.8","1.72","0.0","0.0","0.0","0.0","17.69","27.29","112.0","56.0","94.31","84.71","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","7693.29","0.56","0.8","0.0","2.72","0.8","2.18","0.0","0.0","0.0","0.0","19.86","27.29","112.0","56.0","92.14","84.71","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","7693.29","0.53","0.8","0.0","3.06","0.8","2.45","0.0","0.0","0.0","0.0","22.31","27.29","112.0","56.0","89.69","84.71","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","7693.29","0.5","0.8","0.0","2.71","0.8","2.17","0.0","0.0","0.0","0.0","24.48","27.29","112.0","56.0","87.52","84.71","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","7693.29","0.49","0.8","0.0","1.77","0.8","1.42","0.0","0.0","0.0","0.0","25.9","27.29","112.0","56.0","86.1","84.71","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","7693.29","0.48","0.8","0.0","1.63","0.8","1.3","0.1","0.1","0.0","0.0","27.1","27.29","112.0","56.0","84.9","84.71","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","7693.29","1.17","0.8","0.0","1.26","1.17","1.47","18.31","18.31","0.0","0.0","10.26","27.29","112.0","56.0","101.74","84.71","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","7693.29","1.13","0.8","0.0","2.19","1.13","2.48","32.89","12.74","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","7693.29","1.16","0.8","0.0","1.55","1.16","1.79","12.91","1.79","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","7693.29","1.15","0.8","0.0","1.76","1.15","2.02","3.41","2.02","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","7693.29","1.15","0.8","0.0","1.87","1.15","2.15","0.0","0.0","0.0","0.0","2.15","27.29","112.0","56.0","109.85","84.71","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","7693.29","1.15","0.8","0.0","1.37","1.15","1.58","0.0","0.0","0.0","0.0","3.73","27.29","112.0","56.0","108.27","84.71","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","7693.29","1.16","0.8","0.0","1.46","1.16","1.7","14.63","5.42","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","7693.29","1.16","0.8","0.0","1.55","1.16","1.79","13.99","1.79","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","7693.29","1.17","0.8","0.0","1.15","1.17","1.35","16.1","1.35","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","7693.29","1.12","0.8","0.0","2.55","1.12","2.85","13.06","2.85","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","7693.29","1.11","0.8","0.0","3.08","1.11","3.41","0.0","0.0","0.0","0.0","3.41","27.29","112.0","56.0","108.59","84.71","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","7693.29","0.92","0.8","0.0","3.14","0.92","2.9","0.0","0.0","0.0","0.0","6.31","27.29","112.0","56.0","105.69","84.71","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","7693.29","0.79","0.8","0.0","3.18","0.8","2.54","0.0","0.0","0.0","0.0","8.85","27.29","112.0","56.0","103.15","84.71","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","7693.29","0.7","0.8","0.0","3.23","0.8","2.58","0.0","0.0","0.0","0.0","11.43","27.29","112.0","56.0","100.57","84.71","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","7693.29","0.63","0.8","0.0","3.24","0.8","2.59","0.0","0.0","0.0","0.0","14.03","27.29","112.0","56.0","97.97","84.71","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","7693.29","0.6","0.8","0.0","2.24","0.8","1.79","0.0","0.0","0.0","0.0","15.82","27.29","112.0","56.0","96.18","84.71","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","7693.29","0.57","0.8","0.0","2.22","0.8","1.78","1.74","1.74","0.0","0.0","15.85","27.29","112.0","56.0","96.15","84.71","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","7693.29","0.54","0.8","0.0","2.89","0.8","2.31","2.24","2.24","0.0","0.0","15.93","27.29","112.0","56.0","96.07","84.71","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","7693.29","0.51","0.8","0.0","3.35","0.8","2.68","0.0","0.0","0.0","0.0","18.61","27.29","112.0","56.0","93.39","84.71","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","7693.29","0.48","0.8","0.0","3.2","0.8","2.56","0.0","0.0","0.0","0.0","21.17","27.29","112.0","56.0","90.83","84.71","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","7693.29","0.45","0.8","0.0","3.72","0.8","2.98","0.0","0.0","0.0","0.0","24.14","27.29","112.0","56.0","87.86","84.71","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","7693.29","0.43","0.8","0.0","4.49","0.8","3.59","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","27.73","","","","","","",""
"2016.0","3.0","27.0","87.0","7693.29","0.41","0.8","0.0","3.4","0.8","2.72","0.0","0.0","0.0","0.0","2.72","27.29","112.0","56.0","109.28","84.71","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","7693.29","0.39","0.8","0.0","3.5","0.8","2.8","0.0","0.0","0.0","0.0","5.52","27.29","112.0","56.0","106.48","84.71","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","7693.29","0.38","0.8","0.0","3.83","0.8","3.06","0.0","0.0","0.0","0.0","8.58","27.29","112.0","56.0","103.42","84.71","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","7693.29","0.37","0.8","0.0","3.66","0.8","2.93","0.0","0.0","0.0","0.0","11.51","27.29","112.0","56.0","100.49","84.71","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","7693.29","0.35","0.8","0.0","3.78","0.8","3.02","0.0","0.0","0.0","0.0","14.54","27.29","112.0","56.0","97.46","84.71","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","7693.29","0.34","0.8","0.0","3.68","0.8","2.94","0.0","0.0","0.0","0.0","17.48","27.29","112.0","56.0","94.52","84.71","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","7693.29","0.33","0.8","0.0","3.75","0.8","3.0","0.0","0.0","0.0","0.0","20.48","27.29","112.0","56.0","91.52","84.71","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","7693.29","0.32","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","23.79","27.29","112.0","56.0","88.21","84.71","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","7693.29","0.31","0.8","0.0","4.25","0.8","3.4","0.0","0.0","0.0","0.0","27.19","27.29","112.0","56.0","84.81","84.71","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","7693.29","0.3","0.8","0.0","5.78","0.8","4.62","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","31.82","","","","","","",""
"2016.0","4.0","6.0","97.0","7693.29","0.29","0.8","0.0","5.0","0.8","4.0","0.0","0.0","0.0","0.0","4.0","27.29","112.0","56.0","108.0","84.71","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","7693.29","0.28","0.8","0.0","4.42","0.8","3.54","0.0","0.0","0.0","0.0","7.54","27.29","112.0","56.0","104.46","84.71","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","7693.29","0.28","0.8","0.0","3.72","0.8","2.98","0.0","0.0","0.0","0.0","10.51","27.29","112.0","56.0","101.49","84.71","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","7693.29","0.28","0.8","0.0","1.45","0.8","1.16","0.97","0.97","0.0","0.0","10.7","27.29","112.0","56.0","101.3","84.71","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","7693.29","1.13","0.8","0.0","2.23","1.13","2.52","9.82","9.82","0.0","0.0","3.4","27.29","112.0","56.0","108.6","84.71","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","7693.29","1.11","0.8","0.0","3.44","1.11","3.81","0.47","0.47","0.0","0.0","6.74","27.29","112.0","56.0","105.26","84.71","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","7693.29","0.89","0.8","0.0","3.59","0.89","3.21","0.0","0.0","0.0","0.0","9.95","27.29","112.0","56.0","102.05","84.71","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","7693.29","0.74","0.8","0.0","4.3","0.8","3.44","0.0","0.0","0.0","0.0","13.39","27.29","112.0","56.0","98.61","84.71","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","7693.29","0.65","0.8","0.0","3.98","0.8","3.18","1.09","1.09","0.0","0.0","15.49","27.29","112.0","56.0","96.51","84.71","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","7693.29","0.56","0.8","0.0","5.39","0.8","4.31","0.0","0.0","0.0","0.0","19.8","27.29","112.0","56.0","92.2","84.71","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","7693.29","0.5","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","24.25","27.29","112.0","56.0","87.75","84.71","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","7693.29","0.46","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","28.06","","","","","","",""
"2016.0","4.0","18.0","109.0","7693.29","0.43","0.8","0.0","5.13","0.8","4.1","0.0","0.0","0.0","0.0","4.1","27.29","112.0","56.0","107.9","84.71","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","7693.29","0.4","0.8","0.0","5.11","0.8","4.09","0.0","0.0","0.0","0.0","8.19","27.29","112.0","56.0","103.81","84.71","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","7693.29","0.38","0.8","0.0","5.32","0.8","4.26","0.0","0.0","0.0","0.0","12.45","27.29","112.0","56.0","99.55","84.71","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","7693.29","0.37","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","15.62","27.29","112.0","56.0","96.38","84.71","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","7693.29","0.36","0.8","0.0","2.61","0.8","2.09","0.18","0.18","0.0","0.0","17.53","27.29","112.0","56.0","94.47","84.71","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","7693.29","1.06","0.8","0.0","3.98","1.06","4.22","8.16","8.16","0.0","0.0","13.59","27.29","112.0","56.0","98.41","84.71","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","7693.29","0.92","0.8","0.0","4.45","0.92","4.09","0.0","0.0","0.0","0.0","17.68","27.29","112.0","56.0","94.32","84.71","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","7693.29","0.71","0.8","0.0","5.37","0.8","4.3","0.0","0.0","0.0","0.0","21.98","27.29","112.0","56.0","90.02","84.71","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","7693.29","0.62","0.8","0.0","4.54","0.8","3.63","0.0","0.0","0.0","0.0","25.61","27.29","112.0","56.0","86.39","84.71","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","7693.29","0.57","0.8","0.0","3.63","0.8","2.9","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","28.51","","","","","","",""
"2016.0","4.0","28.0","119.0","7693.29","0.5","0.8","0.0","5.81","0.8","4.65","4.56","4.56","0.0","0.0","0.09","27.29","112.0","56.0","111.91","84.71","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","7693.29","0.46","0.8","0.0","5.19","0.8","4.15","0.0","0.0","0.0","0.0","4.24","27.29","112.0","56.0","107.76","84.71","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","7693.29","0.41","0.8","0.0","7.4","0.8","5.92","0.38","0.38","0.0","0.0","9.78","27.29","112.0","56.0","102.22","84.71","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","7693.29","0.38","0.8","0.0","6.0","0.8","4.8","0.0","0.0","0.0","0.0","14.58","27.29","112.0","56.0","97.42","84.71","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","7693.29","0.36","0.8","0.0","5.48","0.8","4.38","0.0","0.0","0.0","0.0","18.96","27.29","112.0","56.0","93.04","84.71","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","7693.29","0.35","0.8","0.0","4.59","0.8","3.67","0.0","0.0","0.0","0.0","22.64","27.29","112.0","56.0","89.36","84.71","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","7693.29","0.33","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","26.56","27.29","112.0","56.0","85.44","84.71","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","7693.29","0.33","0.8","0.0","2.32","0.8","1.86","0.14","0.14","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","28.27","","","","","","",""
"2016.0","5.0","6.0","127.0","7693.29","0.33","0.8","0.0","2.27","0.8","1.82","2.56","1.82","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","7693.29","0.32","0.8","0.0","2.16","0.8","1.73","1.01","1.01","0.0","0.0","0.72","27.29","112.0","56.0","111.28","84.71","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","7693.29","0.31","0.8","0.0","3.37","0.8","2.7","1.65","1.65","0.0","0.0","1.76","27.29","112.0","56.0","110.24","84.71","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","7693.29","0.3","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","5.56","27.29","112.0","56.0","106.44","84.71","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","7693.29","0.29","0.8","0.0","5.83","0.8","4.66","0.0","0.0","0.0","0.0","10.22","27.29","112.0","56.0","101.78","84.71","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","7693.29","0.28","0.8","0.0","6.17","0.8","4.94","0.0","0.0","0.0","0.0","15.16","27.29","112.0","56.0","96.84","84.71","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","7693.29","0.27","0.8","0.0","6.23","0.8","4.98","0.0","0.0","0.0","0.0","20.14","27.29","112.0","56.0","91.86","84.71","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","7693.29","0.26","0.8","0.0","5.85","0.8","4.68","0.0","0.0","0.0","0.0","24.82","27.29","112.0","56.0","87.18","84.71","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","7693.29","0.26","0.8","0.0","5.16","0.8","4.13","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","28.95","","","","","","",""
"2016.0","5.0","15.0","136.0","7693.29","0.25","0.8","0.0","5.58","0.8","4.46","0.0","0.0","0.0","0.0","4.46","27.29","112.0","56.0","107.54","84.71","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","7693.29","0.24","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","9.77","27.29","112.0","56.0","102.23","84.71","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","7693.29","0.23","0.8","0.0","7.84","0.8","6.27","0.0","0.0","0.0","0.0","16.04","27.29","112.0","56.0","95.96","84.71","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","7693.29","0.23","0.8","0.0","7.07","0.8","5.66","0.0","0.0","0.0","0.0","21.7","27.29","112.0","56.0","90.3","84.71","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","7693.29","0.22","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","26.79","27.29","112.0","56.0","85.21","84.71","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","7693.29","0.22","0.8","0.0","4.54","0.8","3.63","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","30.42","","","","","","",""
"2016.0","5.0","21.0","142.0","7693.29","0.22","0.8","0.0","3.99","0.8","3.19","4.19","3.19","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","7693.29","0.21","0.8","0.0","4.41","0.8","3.53","0.5","0.5","0.0","0.0","3.03","27.29","112.0","56.0","108.97","84.71","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","7693.29","0.21","0.8","0.0","4.65","0.8","3.72","0.0","0.0","0.0","0.0","6.75","27.29","112.0","56.0","105.25","84.71","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","7693.29","0.21","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","10.63","27.29","112.0","56.0","101.37","84.71","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","7693.29","0.2","0.8","0.0","5.33","0.8","4.26","0.0","0.0","0.0","0.0","14.89","27.29","112.0","56.0","97.11","84.71","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","7693.29","0.2","0.8","0.0","5.82","0.8","4.66","0.0","0.0","0.0","0.0","19.55","27.29","112.0","56.0","92.45","84.71","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","7693.29","0.2","0.8","0.0","6.12","0.8","4.9","0.0","0.0","0.0","0.0","24.44","27.29","112.0","56.0","87.56","84.71","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","7693.29","0.19","0.8","0.0","7.03","0.8","5.62","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","30.07","","","","","","",""
"2016.0","5.0","29.0","150.0","7693.29","0.19","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","5.3","27.29","112.0","56.0","106.7","84.71","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","7693.29","0.19","0.8","0.0","6.85","0.8","5.48","0.0","0.0","0.0","0.0","10.78","27.29","112.0","56.0","101.22","84.71","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","7693.29","0.18","0.8","0.0","7.21","0.8","5.77","0.0","0.0","0.0","0.0","16.54","27.29","112.0","56.0","95.46","84.71","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","7693.29","0.18","0.8","0.0","7.46","0.8","5.97","0.0","0.0","0.0","0.0","22.51","27.29","112.0","56.0","89.49","84.71","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","7693.29","0.18","0.8","0.0","6.94","0.8","5.55","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","28.06","","","","","","",""
"2016.0","6.0","3.0","155.0","7693.29","0.17","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","5.94","27.29","112.0","56.0","106.06","84.71","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","7693.29","0.17","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","9.73","27.29","112.0","56.0","102.27","84.71","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","7693.29","0.17","0.8","0.0","7.63","0.8","6.1","0.0","0.0","0.0","0.0","15.83","27.29","112.0","56.0","96.17","84.71","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","7693.29","0.17","0.8","0.0","7.4","0.8","5.92","0.0","0.0","0.0","0.0","21.75","27.29","112.0","56.0","90.25","84.71","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","7693.29","0.16","0.8","0.0","6.96","0.8","5.57","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","27.32","","","","","","",""
"2016.0","6.0","8.0","160.0","7693.29","0.16","0.8","0.0","6.71","0.8","5.37","0.0","0.0","0.0","0.0","5.37","27.29","112.0","56.0","106.63","84.71","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","7693.29","0.16","0.8","0.0","6.42","0.8","5.14","0.0","0.0","0.0","0.0","10.5","27.29","112.0","56.0","101.5","84.71","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","7693.29","0.16","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","15.83","27.29","112.0","56.0","96.17","84.71","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","7693.29","0.15","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","21.35","27.29","112.0","56.0","90.65","84.71","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","7693.29","0.15","0.8","0.0","7.1","0.8","5.68","0.0","0.0","0.0","0.0","27.03","27.29","112.0","56.0","84.97","84.71","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","7693.29","0.15","0.8","0.0","6.78","0.8","5.42","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","32.46","","","","","","",""
"2016.0","6.0","14.0","166.0","7693.29","0.15","0.8","0.0","6.26","0.8","5.01","0.0","0.0","0.0","0.0","5.01","27.29","112.0","56.0","106.99","84.71","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","7693.29","0.15","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","9.03","27.29","112.0","56.0","102.97","84.71","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","7693.29","0.15","0.8","0.0","5.17","0.8","4.14","0.0","0.0","0.0","0.0","13.17","27.29","112.0","56.0","98.83","84.71","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","7693.29","0.15","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","16.97","27.29","112.0","56.0","95.03","84.71","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","7693.29","0.14","0.8","0.0","6.04","0.8","4.83","0.0","0.0","0.0","0.0","21.8","27.29","112.0","56.0","90.2","84.71","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","7693.29","0.14","0.8","0.0","6.75","0.8","5.4","0.0","0.0","0.0","0.0","27.2","27.29","112.0","56.0","84.8","84.71","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","7693.29","0.14","0.8","0.0","7.35","0.8","5.88","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","33.08","","","","","","",""
"2016.0","6.0","21.0","173.0","7693.29","0.14","0.8","0.0","7.66","0.8","6.13","0.0","0.0","0.0","0.0","6.13","27.29","112.0","56.0","105.87","84.71","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","7693.29","0.14","0.8","0.0","7.86","0.8","6.29","0.0","0.0","0.0","0.0","12.42","27.29","112.0","56.0","99.58","84.71","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","7693.29","0.14","0.8","0.0","7.65","0.8","6.12","0.0","0.0","0.0","0.0","18.54","27.29","112.0","56.0","93.46","84.71","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","7693.29","0.13","0.8","0.0","6.98","0.8","5.58","0.0","0.0","0.0","0.0","24.12","27.29","112.0","56.0","87.88","84.71","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","7693.29","0.13","0.8","0.0","7.75","0.8","6.2","0.0","0.0","0.0","0.0","0.0","27.29","112.0","56.0","112.0","84.71","30.32","","","","","","",""
"2016.0","6.0","26.0","178.0","7693.29","0.13","0.8","0.0","7.63","0.8","6.1","0.0","0.0","0.0","0.0","6.1","27.29","112.0","56.0","105.9","84.71","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","7693.29","0.13","0.8","0.0","8.06","0.8","6.45","0.0","0.0","0.0","0.0","12.55","27.29","112.0","56.0","99.45","84.71","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","7693.29","0.13","0.8","0.0","8.11","0.8","6.49","0.0","0.0","0.0","0.0","19.04","27.29","112.0","56.0","92.96","84.71","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","7693.29","0.13","0.8","0.0","7.59","0.8","6.07","0.0","0.0","0.0","0.0","25.11","27.29","112.0","56.0","86.89","84.71","0.0","","","","","","",""
