" Daily soil water balance output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","5715.76","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","29.7","600.92","300.46","581.25","571.22","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","5715.76","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","29.7","600.92","300.46","580.01","571.22","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","5715.76","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","29.7","600.92","300.46","578.52","571.22","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","5715.76","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","29.7","600.92","300.46","577.36","571.22","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","5715.76","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","29.7","600.92","300.46","576.33","571.22","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","5715.76","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","25.9","29.7","600.92","300.46","575.02","571.22","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","5715.76","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","15.5","29.7","600.92","300.46","585.42","571.22","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","5715.76","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","15.87","29.7","600.92","300.46","585.05","571.22","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","5715.76","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","17.91","29.7","600.92","300.46","583.0","571.22","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","5715.76","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","19.97","29.7","600.92","300.46","580.95","571.22","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","5715.76","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","22.29","29.7","600.92","300.46","578.63","571.22","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","5715.76","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","24.23","29.7","600.92","300.46","576.69","571.22","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","5715.76","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","25.87","29.7","600.92","300.46","575.05","571.22","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","5715.76","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","27.45","29.7","600.92","300.46","573.47","571.22","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","5715.76","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","28.98","29.7","600.92","300.46","571.94","571.22","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","5715.76","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","30.42","29.7","600.92","300.46","570.5","571.22","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","5715.76","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","5715.76","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","31.13","29.7","600.92","300.46","569.78","571.22","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","5715.76","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","5715.76","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","30.98","29.7","600.92","300.46","569.94","571.22","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","5715.76","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","5715.76","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","30.45","29.7","600.92","300.46","570.47","571.22","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","5715.76","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","20.92","29.7","600.92","300.46","580.0","571.22","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","5715.76","1.13","0.0","0.0","2.24","1.13","2.53","23.66","23.45","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","5715.76","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","5715.76","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","29.7","600.92","300.46","600.89","571.22","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","5715.76","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","29.7","600.92","300.46","598.43","571.22","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","5715.76","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","29.7","600.92","300.46","596.82","571.22","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","5715.76","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","29.7","600.92","300.46","597.53","571.22","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","5715.76","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","5715.76","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","5715.76","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","5715.76","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","29.7","600.92","300.46","597.55","571.22","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","5715.76","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","29.7","600.92","300.46","594.65","571.22","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","5715.76","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","29.7","600.92","300.46","592.15","571.22","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","5715.76","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","29.7","600.92","300.46","589.95","571.22","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","5715.76","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","29.7","600.92","300.46","587.95","571.22","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","5715.76","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","29.7","600.92","300.46","586.4","571.22","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","5715.76","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","29.7","600.92","300.46","586.06","571.22","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","5715.76","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","29.7","600.92","300.46","585.27","571.22","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","5715.76","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","29.7","600.92","300.46","583.56","571.22","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","5715.76","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","29.7","600.92","300.46","582.0","571.22","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","5715.76","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","29.7","600.92","300.46","580.34","571.22","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","5715.76","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","29.7","600.92","300.46","578.51","571.22","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","5715.76","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","23.88","29.7","600.92","300.46","577.04","571.22","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","5715.76","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","25.24","29.7","600.92","300.46","575.68","571.22","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","5715.76","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","26.66","29.7","600.92","300.46","574.26","571.22","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","5715.76","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","27.97","29.7","600.92","300.46","572.95","571.22","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","5715.76","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","29.32","29.7","600.92","300.46","571.6","571.22","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","5715.76","0.34","0.0","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","30.59","29.7","600.92","300.46","570.33","571.22","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","5715.76","0.33","0.0","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","5715.76","0.32","0.0","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","31.03","29.7","600.92","300.46","569.89","571.22","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","5715.76","0.31","0.0","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","5715.76","0.3","0.0","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","31.36","29.7","600.92","300.46","569.56","571.22","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","5715.76","0.29","0.0","0.0","4.85","0.29","1.42","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","5715.76","0.28","0.0","0.0","4.26","0.28","1.21","0.0","0.0","0.0","0.0","30.91","29.7","600.92","300.46","570.0","571.22","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","5715.76","0.28","0.0","0.0","3.38","0.28","0.95","0.01","0.01","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","5715.76","1.16","0.0","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","23.34","29.7","600.92","300.46","577.57","571.22","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","5715.76","1.14","0.0","0.0","2.05","1.14","2.33","30.23","25.68","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","5715.76","1.12","0.0","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","29.7","600.92","300.46","598.26","571.22","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","5715.76","0.94","0.0","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","29.7","600.92","300.46","595.23","571.22","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","5715.76","0.76","0.0","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","29.7","600.92","300.46","592.0","571.22","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","5715.76","0.66","0.0","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","29.7","600.92","300.46","590.86","571.22","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","5715.76","0.57","0.0","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","29.7","600.92","300.46","587.74","571.22","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","5715.76","0.51","0.0","0.0","5.16","0.51","2.64","0.0","0.0","0.0","0.0","15.82","29.7","600.92","300.46","585.1","571.22","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","5715.76","0.47","0.0","0.0","4.85","0.47","2.28","0.0","0.0","0.0","0.0","18.1","29.7","600.92","300.46","582.82","571.22","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","5715.76","0.44","0.0","0.0","5.18","0.44","2.26","0.0","0.0","0.0","0.0","20.36","29.7","600.92","300.46","580.56","571.22","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","5715.76","0.41","0.0","0.0","4.94","0.41","2.02","0.0","0.0","0.0","0.0","22.38","29.7","600.92","300.46","578.54","571.22","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","5715.76","0.39","0.0","0.0","5.19","0.39","2.0","0.0","0.0","0.0","0.0","24.38","29.7","600.92","300.46","576.54","571.22","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","5715.76","0.37","0.0","0.0","3.95","0.37","1.46","0.0","0.0","0.0","0.0","25.84","29.7","600.92","300.46","575.08","571.22","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","5715.76","0.36","0.0","0.0","2.76","0.36","1.0","0.01","0.01","0.0","0.0","26.83","29.7","600.92","300.46","574.09","571.22","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","5715.76","1.06","0.0","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","25.23","29.7","600.92","300.46","575.69","571.22","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","5715.76","0.9","0.0","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","29.39","29.7","600.92","300.46","571.53","571.22","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","5715.76","0.7","0.0","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","33.2","29.7","600.92","300.46","567.72","571.22","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","5715.76","0.61","0.0","0.0","4.78","0.61","2.9","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","5715.76","0.56","0.0","0.0","3.73","0.56","2.08","0.04","0.04","0.0","0.0","31.74","29.7","600.92","300.46","569.18","571.22","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","5715.76","0.5","0.0","0.0","5.66","0.5","2.81","3.4","3.4","0.0","0.0","28.34","29.7","600.92","300.46","572.58","571.22","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","5715.76","0.46","0.0","0.0","5.01","0.46","2.29","0.0","0.0","0.0","0.0","30.62","29.7","600.92","300.46","570.29","571.22","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","5715.76","0.41","0.0","0.0","7.32","0.41","3.01","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","5715.76","0.38","0.2","0.0","5.79","0.38","2.22","0.0","0.0","0.0","0.0","31.92","73.46","600.92","300.46","568.99","527.46","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","5715.76","0.36","0.2","0.0","5.39","0.36","1.96","0.0","0.0","0.0","0.0","33.88","73.46","600.92","300.46","567.04","527.46","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","5715.76","0.35","0.2","0.0","4.47","0.35","1.56","0.0","0.0","0.0","0.0","35.44","73.46","600.92","300.46","565.48","527.46","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","5715.76","0.34","0.2","0.0","4.71","0.34","1.58","0.0","0.0","0.0","0.0","37.02","73.46","600.92","300.46","563.89","527.46","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","5715.76","0.33","0.2","0.0","2.67","0.33","0.88","0.0","0.0","0.0","0.0","37.9","73.46","600.92","300.46","563.01","527.46","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","5715.76","0.33","0.2","0.0","1.97","0.33","0.64","0.26","0.26","0.0","0.0","38.29","73.46","600.92","300.46","562.63","527.46","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","5715.76","1.13","0.2","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","33.61","73.46","600.92","300.46","567.31","527.46","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","5715.76","1.11","0.2","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","36.61","73.46","600.92","300.46","564.3","527.46","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","5715.76","0.84","0.2","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","40.57","73.46","600.92","300.46","560.34","527.46","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","5715.76","0.67","0.2","0.0","5.58","0.67","3.75","0.0","0.0","0.0","0.0","44.32","73.46","600.92","300.46","556.6","527.46","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","5715.76","0.57","0.2","0.0","5.92","0.57","3.37","0.0","0.0","0.0","0.0","47.69","73.46","600.92","300.46","553.23","527.46","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","5715.76","0.5","0.25","0.0","6.04","0.5","3.03","0.0","0.0","0.0","0.0","50.72","73.46","600.92","300.46","550.2","527.46","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","5715.76","0.46","0.3","0.0","5.58","0.46","2.55","0.0","0.0","0.0","0.0","53.26","73.46","600.92","300.46","547.65","527.46","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","5715.76","0.42","0.35","0.0","5.14","0.42","2.18","0.0","0.0","0.0","0.0","55.45","73.46","600.92","300.46","545.47","527.46","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","5715.76","0.4","0.4","0.0","5.58","0.4","2.23","0.0","0.0","0.0","0.0","57.68","73.46","600.92","300.46","543.24","527.46","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","5715.76","0.37","0.45","0.0","6.65","0.45","2.99","0.0","0.0","0.0","0.0","60.67","73.46","600.92","300.46","540.25","527.46","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","5715.76","0.34","0.5","0.0","7.63","0.5","3.82","0.0","0.0","0.0","0.0","64.48","73.46","600.92","300.46","536.43","527.46","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","5715.76","0.32","0.55","0.0","7.1","0.55","3.91","0.0","0.0","0.0","0.0","68.39","73.46","600.92","300.46","532.53","527.46","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","5715.76","0.31","0.6","0.0","6.31","0.6","3.79","0.0","0.0","0.0","0.0","72.18","73.46","600.92","300.46","528.74","527.46","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","5715.76","0.3","0.65","0.0","5.02","0.65","3.26","0.0","0.0","0.0","0.0","0.0","73.46","600.92","300.46","600.92","527.46","75.44","","","","","","",""
"2016.0","5.0","21.0","142.0","5715.76","0.29","0.7","0.0","3.47","0.7","2.43","0.0","0.0","0.0","0.0","2.43","73.46","600.92","300.46","598.49","527.46","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","5715.76","0.28","0.75","0.0","4.27","0.75","3.2","1.71","1.71","0.0","0.0","3.92","73.46","600.92","300.46","597.0","527.46","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","5715.76","0.28","0.8","0.0","4.87","0.8","3.9","0.0","0.0","0.0","0.0","7.82","73.46","600.92","300.46","593.1","527.46","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","5715.76","0.27","0.85","0.0","4.92","0.85","4.18","0.0","0.0","0.0","0.0","12.0","73.46","600.92","300.46","588.92","527.46","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","5715.76","0.26","0.9","0.0","5.35","0.9","4.82","0.0","0.0","0.0","0.0","16.81","73.46","600.92","300.46","584.1","527.46","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","5715.76","0.25","0.95","0.0","5.71","0.95","5.42","0.0","0.0","0.0","0.0","22.24","73.46","600.92","300.46","578.68","527.46","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","5715.76","0.25","1.0","0.0","6.09","1.0","6.09","0.0","0.0","0.0","0.0","28.33","73.46","600.92","300.46","572.59","527.46","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","5715.76","0.24","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","35.62","73.46","600.92","300.46","565.3","527.46","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","5715.76","0.23","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","42.58","73.46","600.92","300.46","558.34","527.46","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","5715.76","0.23","1.05","0.0","6.85","1.05","7.19","0.0","0.0","0.0","0.0","49.77","73.46","600.92","300.46","551.15","527.46","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","5715.76","0.22","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","57.29","73.46","600.92","300.46","543.63","527.46","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","5715.76","0.21","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","64.81","73.46","600.92","300.46","536.11","527.46","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","5715.76","0.21","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","72.17","73.46","600.92","300.46","528.75","527.46","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","5715.76","0.2","1.05","0.0","7.38","1.05","7.75","0.0","0.0","0.0","0.0","0.0","73.46","600.92","300.46","600.92","527.46","79.92","","","","","","",""
"2016.0","6.0","4.0","156.0","5715.76","0.2","1.05","0.0","5.17","1.05","5.43","0.0","0.0","0.0","0.0","5.43","73.46","600.92","300.46","595.49","527.46","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","5715.76","0.2","1.05","0.0","7.76","1.05","8.15","0.0","0.0","0.0","0.0","13.58","73.46","600.92","300.46","587.34","527.46","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","5715.76","0.19","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","21.18","150.23","600.92","300.46","579.74","450.69","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","5715.76","0.19","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","28.47","150.23","600.92","300.46","572.45","450.69","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","5715.76","0.19","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","35.3","150.23","600.92","300.46","565.62","450.69","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","5715.76","0.18","1.05","0.0","6.32","1.05","6.64","0.0","0.0","0.0","0.0","41.94","150.23","600.92","300.46","558.98","450.69","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","5715.76","0.18","1.05","0.0","6.71","1.05","7.05","0.0","0.0","0.0","0.0","48.98","150.23","600.92","300.46","551.94","450.69","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","5715.76","0.18","1.05","0.0","6.85","1.05","7.19","0.0","0.0","0.0","0.0","56.18","150.23","600.92","300.46","544.74","450.69","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","5715.76","0.17","1.05","0.0","6.87","1.05","7.21","0.0","0.0","0.0","0.0","63.39","150.23","600.92","300.46","537.53","450.69","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","5715.76","0.17","1.05","0.0","6.59","1.05","6.92","0.0","0.0","0.0","0.0","70.31","150.23","600.92","300.46","530.61","450.69","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","5715.76","0.17","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","77.11","150.23","600.92","300.46","523.81","450.69","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","5715.76","0.17","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","82.93","150.23","600.92","300.46","517.99","450.69","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","5715.76","0.16","1.05","0.0","5.48","1.05","5.75","0.0","0.0","0.0","0.0","88.68","150.23","600.92","300.46","512.24","450.69","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","5715.76","0.16","1.05","0.0","5.34","1.05","5.61","0.0","0.0","0.0","0.0","94.29","150.23","600.92","300.46","506.63","450.69","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","5715.76","0.16","1.05","0.0","6.31","1.05","6.63","0.0","0.0","0.0","0.0","100.92","150.23","600.92","300.46","500.0","450.69","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","5715.76","0.16","0.98","0.0","6.96","0.98","6.84","0.0","0.0","0.0","0.0","107.76","150.23","600.92","300.46","493.16","450.69","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","5715.76","0.16","0.92","0.0","7.57","0.92","6.94","0.0","0.0","0.0","0.0","114.7","150.23","600.92","300.46","486.22","450.69","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","5715.76","0.15","0.85","0.0","7.92","0.85","6.73","0.0","0.0","0.0","0.0","121.43","150.23","600.92","300.46","479.49","450.69","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","5715.76","0.15","0.78","0.0","7.86","0.78","6.16","0.0","0.0","0.0","0.0","127.59","150.23","600.92","300.46","473.33","450.69","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","5715.76","0.15","0.72","0.0","7.8","0.72","5.59","0.0","0.0","0.0","0.0","133.18","150.23","600.92","300.46","467.74","450.69","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","5715.76","0.15","0.65","0.0","7.05","0.65","4.58","0.0","0.0","0.0","0.0","137.76","150.23","600.92","300.46","463.16","450.69","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","5715.76","0.15","0.58","0.0","7.82","0.58","4.56","0.0","0.0","0.0","0.0","142.32","150.23","600.92","300.46","458.6","450.69","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","5715.76","0.14","0.52","0.0","7.71","0.52","3.98","0.0","0.0","0.0","0.0","146.31","150.23","600.92","300.46","454.61","450.69","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","5715.76","0.14","0.45","0.0","8.18","0.45","3.68","0.0","0.0","0.0","0.0","149.99","150.23","600.92","300.46","450.93","450.69","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","5715.76","0.14","0.38","0.0","8.09","0.38","3.1","0.0","0.0","0.0","0.0","0.0","150.23","600.92","300.46","600.92","450.69","153.09","","","","","","",""
"2016.0","6.0","29.0","181.0","5715.76","0.14","0.32","0.0","7.45","0.32","2.36","0.0","0.0","0.0","0.0","2.36","150.23","600.92","300.46","598.56","450.69","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","5715.76","0.14","0.25","0.0","7.3","0.25","1.83","0.0","0.0","0.0","0.0","4.18","150.23","600.92","300.46","596.73","450.69","0.0","","","","","","",""
