" Daily soil water balance output for Citrus in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Citrus in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","3.11","0.55","0.7","0.0","2.25","0.7","1.58","0.0","0.0","0.0","0.0","20.92","83.76","373.08","186.54","352.15","289.32","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","3.11","0.52","0.7","0.0","2.94","0.7","2.06","0.0","0.0","0.0","0.0","22.98","83.76","373.08","186.54","350.1","289.32","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","3.11","0.5","0.7","0.0","2.45","0.7","1.72","0.0","0.0","0.0","0.0","24.69","83.76","373.08","186.54","348.38","289.32","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","3.11","0.49","0.7","0.0","2.13","0.7","1.49","0.0","0.0","0.0","0.0","26.18","83.76","373.08","186.54","346.89","289.32","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","3.11","1.11","0.7","0.0","2.73","1.11","3.03","2.71","2.71","0.0","0.0","26.51","83.76","373.08","186.54","346.57","289.32","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","3.11","1.14","0.7","0.0","1.95","1.14","2.23","9.85","9.85","0.0","0.0","18.88","83.76","373.08","186.54","354.19","289.32","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","3.11","1.15","0.7","0.0","1.71","1.15","1.96","1.24","1.24","0.0","0.0","19.6","83.76","373.08","186.54","353.47","289.32","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","3.11","1.15","0.7","0.0","1.78","1.15","2.04","0.01","0.01","0.0","0.0","21.64","83.76","373.08","186.54","351.44","289.32","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","3.11","1.02","0.7","0.0","1.99","1.02","2.03","0.0","0.0","0.0","0.0","23.67","83.76","373.08","186.54","349.41","289.32","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","3.11","0.88","0.7","0.0","2.61","0.88","2.29","0.0","0.0","0.0","0.0","25.96","83.76","373.08","186.54","347.12","289.32","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","3.11","0.78","0.7","0.0","2.48","0.78","1.94","0.0","0.0","0.0","0.0","27.9","83.76","373.08","186.54","345.18","289.32","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","3.11","0.72","0.7","0.0","2.24","0.72","1.62","0.0","0.0","0.0","0.0","29.51","83.76","373.08","186.54","343.56","289.32","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","3.11","0.67","0.7","0.0","2.36","0.7","1.65","0.0","0.0","0.0","0.0","31.17","83.76","373.08","186.54","341.91","289.32","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","3.11","0.63","0.7","0.0","2.33","0.7","1.63","0.0","0.0","0.0","0.0","32.8","83.76","373.08","186.54","340.28","289.32","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","3.11","0.59","0.7","0.0","2.37","0.7","1.66","0.0","0.0","0.0","0.0","34.46","83.76","373.08","186.54","338.62","289.32","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","3.11","0.57","0.7","0.0","2.04","0.7","1.43","0.0","0.0","0.0","0.0","35.88","83.76","373.08","186.54","337.19","289.32","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","3.11","0.54","0.7","0.0","2.61","0.7","1.83","0.0","0.0","0.0","0.0","37.71","83.76","373.08","186.54","335.36","289.32","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","3.11","0.51","0.7","0.0","2.95","0.7","2.07","0.0","0.0","0.0","0.0","39.78","83.76","373.08","186.54","333.3","289.32","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","3.11","0.49","0.7","0.0","2.56","0.7","1.79","0.0","0.0","0.0","0.0","41.57","83.76","373.08","186.54","331.51","289.32","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","3.11","0.47","0.7","0.0","1.87","0.7","1.31","0.0","0.0","0.0","0.0","42.88","83.76","373.08","186.54","330.2","289.32","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","3.11","0.47","0.7","0.0","1.5","0.7","1.05","1.71","1.71","0.0","0.0","42.22","83.76","373.08","186.54","330.86","289.32","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","3.11","1.17","0.7","0.0","1.33","1.17","1.55","14.14","14.14","0.0","0.0","29.63","83.76","373.08","186.54","343.45","289.32","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","3.11","1.13","0.7","0.0","2.26","1.13","2.55","20.66","20.66","0.0","0.0","11.52","83.76","373.08","186.54","361.55","289.32","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","3.11","1.16","0.7","0.0","1.53","1.16","1.77","13.1","13.1","0.0","0.0","0.19","83.76","373.08","186.54","372.88","289.32","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","3.11","1.15","0.7","0.0","1.93","1.15","2.22","1.46","1.46","0.0","0.0","0.96","83.76","373.08","186.54","372.12","289.32","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","3.11","1.15","0.7","0.0","1.98","1.15","2.27","0.57","0.57","0.0","0.0","2.66","83.76","373.08","186.54","370.42","289.32","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","3.11","1.16","0.7","0.0","1.59","1.16","1.84","2.01","2.01","0.0","0.0","2.49","83.76","373.08","186.54","370.59","289.32","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","3.11","1.16","0.7","0.0","1.54","1.16","1.78","5.1","4.27","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","3.11","1.15","0.7","0.0","1.8","1.15","2.07","7.19","2.07","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","3.11","1.17","0.7","0.0","1.19","1.17","1.4","12.32","1.4","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","3.11","1.12","0.7","0.0","2.52","1.12","2.82","10.8","2.82","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","3.11","1.11","0.7","0.0","2.99","1.11","3.32","0.0","0.0","0.0","0.0","3.32","83.76","373.08","186.54","369.76","289.32","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","3.11","0.93","0.7","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.21","83.76","373.08","186.54","366.87","289.32","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","3.11","0.8","0.7","0.0","3.14","0.8","2.5","0.0","0.0","0.0","0.0","8.71","83.76","373.08","186.54","364.37","289.32","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","3.11","0.71","0.7","0.0","3.04","0.71","2.16","0.0","0.0","0.0","0.0","10.86","83.76","373.08","186.54","362.21","289.32","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","3.11","0.65","0.7","0.0","2.97","0.7","2.08","0.0","0.0","0.0","0.0","12.94","83.76","373.08","186.54","360.13","289.32","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","3.11","0.61","0.7","0.0","2.33","0.7","1.63","0.03","0.03","0.0","0.0","14.54","83.76","373.08","186.54","358.53","289.32","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","3.11","0.58","0.7","0.0","2.37","0.7","1.66","1.23","1.23","0.0","0.0","14.97","83.76","373.08","186.54","358.1","289.32","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","3.11","0.54","0.7","0.0","3.0","0.7","2.1","0.94","0.94","0.0","0.0","16.13","83.76","373.08","186.54","356.94","289.32","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","3.11","0.51","0.7","0.0","3.33","0.7","2.33","0.0","0.0","0.0","0.0","18.46","83.76","373.08","186.54","354.61","289.32","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","3.11","0.48","0.7","0.0","3.19","0.7","2.23","0.0","0.0","0.0","0.0","20.7","83.76","373.08","186.54","352.38","289.32","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","3.11","0.46","0.7","0.0","3.61","0.7","2.53","0.0","0.0","0.0","0.0","23.22","83.76","373.08","186.54","349.85","289.32","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","3.11","0.43","0.7","0.0","4.2","0.7","2.94","0.0","0.0","0.0","0.0","26.16","83.76","373.08","186.54","346.91","289.32","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","3.11","0.41","0.7","0.0","3.51","0.7","2.46","0.0","0.0","0.0","0.0","28.62","83.76","373.08","186.54","344.45","289.32","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","3.11","0.4","0.7","0.0","3.52","0.7","2.46","0.0","0.0","0.0","0.0","31.08","83.76","373.08","186.54","341.99","289.32","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","3.11","0.38","0.7","0.0","3.71","0.7","2.6","0.0","0.0","0.0","0.0","33.68","83.76","373.08","186.54","339.39","289.32","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","3.11","0.37","0.7","0.0","3.49","0.7","2.44","0.0","0.0","0.0","0.0","36.12","83.76","373.08","186.54","336.95","289.32","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","3.11","0.36","0.7","0.0","3.72","0.7","2.6","0.0","0.0","0.0","0.0","38.73","83.76","373.08","186.54","334.35","289.32","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","3.11","0.35","0.7","0.0","3.62","0.7","2.53","0.0","0.0","0.0","0.0","41.26","83.76","373.08","186.54","331.81","289.32","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","3.11","0.34","0.7","0.0","3.72","0.7","2.6","0.0","0.0","0.0","0.0","43.87","83.76","373.08","186.54","329.21","289.32","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","3.11","0.33","0.7","0.0","3.94","0.7","2.76","0.0","0.0","0.0","0.0","46.62","83.76","373.08","186.54","326.45","289.32","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","3.11","0.32","0.7","0.0","4.14","0.7","2.9","0.0","0.0","0.0","0.0","49.52","83.76","373.08","186.54","323.55","289.32","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","3.11","0.31","0.7","0.0","5.39","0.7","3.77","0.0","0.0","0.0","0.0","53.3","83.76","373.08","186.54","319.78","289.32","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","3.11","0.3","0.7","0.0","4.84","0.7","3.39","0.0","0.0","0.0","0.0","56.68","83.76","373.08","186.54","316.39","289.32","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","3.11","0.29","0.7","0.0","4.19","0.7","2.93","0.0","0.0","0.0","0.0","59.62","83.76","373.08","186.54","313.46","289.32","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","3.11","0.28","0.7","0.0","3.25","0.7","2.28","1.44","1.44","0.0","0.0","60.45","83.76","373.08","186.54","312.62","289.32","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","3.11","1.16","0.7","0.0","1.59","1.16","1.84","12.65","12.65","0.0","0.0","49.64","83.76","373.08","186.54","323.43","289.32","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","3.11","1.15","0.7","0.0","1.84","1.15","2.11","20.51","20.51","0.0","0.0","31.24","83.76","373.08","186.54","341.84","289.32","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","3.11","1.12","0.7","0.0","3.06","1.12","3.43","0.4","0.4","0.0","0.0","34.27","83.76","373.08","186.54","338.8","289.32","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","3.11","0.95","0.7","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","37.52","83.76","373.08","186.54","335.56","289.32","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","3.11","0.77","0.7","0.0","4.11","0.77","3.17","0.0","0.0","0.0","0.0","40.69","83.76","373.08","186.54","332.38","289.32","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","3.11","0.67","0.7","0.0","4.1","0.7","2.87","0.78","0.78","0.0","0.0","42.78","83.76","373.08","186.54","330.29","289.32","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","3.11","0.58","0.7","0.0","5.34","0.7","3.74","0.0","0.0","0.0","0.0","46.52","83.76","373.08","186.54","326.55","289.32","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","3.11","0.52","0.7","0.0","5.13","0.7","3.59","0.0","0.0","0.0","0.0","50.11","83.76","373.08","186.54","322.96","289.32","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","3.11","0.48","0.7","0.0","4.75","0.7","3.33","0.0","0.0","0.0","0.0","53.44","83.76","373.08","186.54","319.64","289.32","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","3.11","0.44","0.7","0.0","5.08","0.7","3.56","0.0","0.0","0.0","0.0","56.99","83.76","373.08","186.54","316.08","289.32","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","3.11","0.41","0.7","0.0","4.82","0.7","3.37","0.0","0.0","0.0","0.0","60.37","83.76","373.08","186.54","312.71","289.32","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","3.11","0.39","0.7","0.0","5.01","0.7","3.51","0.0","0.0","0.0","0.0","63.87","83.76","373.08","186.54","309.2","289.32","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","3.11","0.38","0.7","0.0","3.61","0.7","2.53","0.0","0.0","0.0","0.0","66.4","83.76","373.08","186.54","306.67","289.32","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","3.11","0.37","0.7","0.0","2.88","0.7","2.02","0.68","0.68","0.0","0.0","67.74","83.76","373.08","186.54","305.34","289.32","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","3.11","0.35","0.7","0.0","4.01","0.7","2.81","3.64","3.64","0.0","0.0","66.9","83.76","373.08","186.54","306.17","289.32","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","3.11","0.34","0.7","0.0","4.5","0.7","3.15","0.0","0.0","0.0","0.0","70.05","83.76","373.08","186.54","303.02","289.32","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","3.11","0.33","0.7","0.0","5.34","0.7","3.74","0.0","0.0","0.0","0.0","73.79","83.76","373.08","186.54","299.28","289.32","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","3.11","0.32","0.7","0.0","4.63","0.7","3.24","0.0","0.0","0.0","0.0","77.03","83.76","373.08","186.54","296.04","289.32","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","3.11","0.31","0.7","0.0","3.59","0.7","2.51","0.1","0.1","0.0","0.0","79.45","83.76","373.08","186.54","293.63","289.32","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","3.11","0.3","0.7","0.0","5.55","0.7","3.89","1.66","1.66","0.0","0.0","81.67","83.76","373.08","186.54","291.4","289.32","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","3.11","0.29","0.7","0.0","4.91","0.7","3.44","0.0","0.0","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","85.11","","","","","","",""
"2016.0","4.0","30.0","121.0","3.11","0.28","0.7","0.0","7.15","0.7","5.01","0.0","0.0","0.0","0.0","5.01","83.76","373.08","186.54","368.07","289.32","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","3.11","0.27","0.7","0.0","5.68","0.7","3.98","0.0","0.0","0.0","0.0","8.98","83.76","373.08","186.54","364.09","289.32","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","3.11","0.26","0.7","0.0","5.14","0.7","3.6","0.0","0.0","0.0","0.0","12.58","83.76","373.08","186.54","360.5","289.32","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","3.11","0.26","0.7","0.0","4.27","0.7","2.99","0.0","0.0","0.0","0.0","15.57","83.76","373.08","186.54","357.51","289.32","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","3.11","0.25","0.7","0.0","4.54","0.7","3.18","0.0","0.0","0.0","0.0","18.75","83.76","373.08","186.54","354.33","289.32","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","3.11","0.25","0.7","0.0","2.55","0.7","1.79","0.46","0.46","0.0","0.0","20.07","83.76","373.08","186.54","353.0","289.32","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","3.11","0.25","0.7","0.0","1.88","0.7","1.32","0.47","0.47","0.0","0.0","20.92","83.76","373.08","186.54","352.16","289.32","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","3.11","1.14","0.7","0.0","2.03","1.14","2.31","4.81","4.81","0.0","0.0","18.42","83.76","373.08","186.54","354.66","289.32","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","3.11","1.11","0.7","0.0","3.27","1.11","3.64","0.69","0.69","0.0","0.0","21.37","83.76","373.08","186.54","351.7","289.32","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","3.11","0.87","0.7","0.0","4.52","0.87","3.91","0.0","0.0","0.0","0.0","25.29","83.76","373.08","186.54","347.79","289.32","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","3.11","0.69","0.7","0.0","5.37","0.7","3.76","0.0","0.0","0.0","0.0","29.04","83.76","373.08","186.54","344.03","289.32","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","3.11","0.58","0.7","0.0","5.67","0.7","3.97","0.0","0.0","0.0","0.0","33.01","83.76","373.08","186.54","340.06","289.32","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","3.11","0.52","0.7","0.0","5.67","0.7","3.97","0.0","0.0","0.0","0.0","36.98","83.76","373.08","186.54","336.09","289.32","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","3.11","0.47","0.7","0.0","5.3","0.7","3.71","0.0","0.0","0.0","0.0","40.69","83.76","373.08","186.54","332.38","289.32","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","3.11","0.44","0.7","0.0","4.83","0.7","3.38","0.0","0.0","0.0","0.0","44.07","83.76","373.08","186.54","329.0","289.32","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","3.11","0.41","0.7","0.0","5.41","0.7","3.79","0.0","0.0","0.0","0.0","47.86","83.76","373.08","186.54","325.21","289.32","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","3.11","0.38","0.7","0.0","6.4","0.7","4.48","0.0","0.0","0.0","0.0","52.34","83.76","373.08","186.54","320.73","289.32","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","3.11","0.35","0.7","0.0","7.38","0.7","5.17","0.0","0.0","0.0","0.0","57.51","83.76","373.08","186.54","315.57","289.32","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","3.11","0.33","0.7","0.0","6.85","0.7","4.8","0.0","0.0","0.0","0.0","62.3","83.76","373.08","186.54","310.77","289.32","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","3.11","0.31","0.7","0.0","6.05","0.7","4.24","0.0","0.0","0.0","0.0","66.54","83.76","373.08","186.54","306.54","289.32","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","3.11","0.3","0.7","0.0","4.86","0.7","3.4","0.0","0.0","0.0","0.0","69.94","83.76","373.08","186.54","303.14","289.32","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","3.11","0.3","0.7","0.0","3.64","0.7","2.55","0.0","0.0","0.0","0.0","72.49","83.76","373.08","186.54","300.59","289.32","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","3.11","0.29","0.7","0.0","4.01","0.7","2.81","0.8","0.8","0.0","0.0","74.49","83.76","373.08","186.54","298.58","289.32","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","3.11","0.28","0.7","0.0","4.59","0.7","3.21","0.0","0.0","0.0","0.0","77.71","83.76","373.08","186.54","295.37","289.32","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","3.11","0.28","0.7","0.0","4.79","0.7","3.35","0.0","0.0","0.0","0.0","81.06","83.76","373.08","186.54","292.02","289.32","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","3.11","0.27","0.7","0.0","5.18","0.7","3.63","0.0","0.0","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","84.69","","","","","","",""
"2016.0","5.0","26.0","147.0","3.11","0.26","0.7","0.0","5.52","0.7","3.86","0.0","0.0","0.0","0.0","3.86","83.76","373.08","186.54","369.21","289.32","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","3.11","0.25","0.7","0.0","5.89","0.7","4.12","0.0","0.0","0.0","0.0","7.99","83.76","373.08","186.54","365.09","289.32","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","3.11","0.25","0.7","0.0","6.73","0.7","4.71","0.0","0.0","0.0","0.0","12.7","83.76","373.08","186.54","360.38","289.32","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","3.11","0.24","0.7","0.0","6.28","0.7","4.4","0.0","0.0","0.0","0.0","17.09","83.76","373.08","186.54","355.98","289.32","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","3.11","0.23","0.7","0.0","6.56","0.7","4.59","0.0","0.0","0.0","0.0","21.69","83.76","373.08","186.54","351.39","289.32","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","3.11","0.23","0.7","0.0","6.88","0.7","4.82","0.0","0.0","0.0","0.0","26.5","83.76","373.08","186.54","346.57","289.32","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","3.11","0.22","0.7","0.0","6.81","0.7","4.77","0.0","0.0","0.0","0.0","31.27","83.76","373.08","186.54","341.81","289.32","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","3.11","0.21","0.7","0.0","6.66","0.7","4.66","0.0","0.0","0.0","0.0","35.93","83.76","373.08","186.54","337.14","289.32","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","3.11","0.21","0.7","0.0","7.1","0.7","4.97","0.0","0.0","0.0","0.0","40.9","83.76","373.08","186.54","332.17","289.32","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","3.11","0.21","0.7","0.0","4.9","0.7","3.43","0.0","0.0","0.0","0.0","44.33","83.76","373.08","186.54","328.74","289.32","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","3.11","0.2","0.7","0.0","7.37","0.7","5.16","0.0","0.0","0.0","0.0","49.49","83.76","373.08","186.54","323.59","289.32","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","3.11","0.2","0.7","0.0","6.75","0.7","4.73","0.0","0.0","0.0","0.0","54.22","83.76","373.08","186.54","318.86","289.32","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","3.11","0.19","0.7","0.0","6.48","0.7","4.54","0.0","0.0","0.0","0.0","58.75","83.76","373.08","186.54","314.32","289.32","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","3.11","0.19","0.7","0.0","6.22","0.7","4.35","0.0","0.0","0.0","0.0","63.11","83.76","373.08","186.54","309.97","289.32","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","3.11","0.19","0.7","0.0","5.96","0.7","4.17","0.0","0.0","0.0","0.0","67.28","83.76","373.08","186.54","305.8","289.32","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","3.11","0.18","0.7","0.0","6.41","0.7","4.49","0.0","0.0","0.0","0.0","71.76","83.76","373.08","186.54","301.31","289.32","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","3.11","0.18","0.7","0.0","6.68","0.7","4.68","0.0","0.0","0.0","0.0","76.44","83.76","373.08","186.54","296.64","289.32","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","3.11","0.18","0.7","0.0","6.62","0.7","4.63","0.0","0.0","0.0","0.0","81.07","83.76","373.08","186.54","292.0","289.32","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","3.11","0.18","0.7","0.0","6.3","0.7","4.41","0.0","0.0","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","85.48","","","","","","",""
"2016.0","6.0","14.0","166.0","3.11","0.17","0.7","0.0","6.24","0.7","4.37","0.0","0.0","0.0","0.0","4.37","83.76","373.08","186.54","368.71","289.32","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","3.11","0.17","0.7","0.0","5.37","0.7","3.76","0.0","0.0","0.0","0.0","8.13","83.76","373.08","186.54","364.95","289.32","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","3.11","0.17","0.7","0.0","5.25","0.7","3.68","0.0","0.0","0.0","0.0","11.8","83.76","373.08","186.54","361.27","289.32","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","3.11","0.17","0.7","0.0","5.14","0.7","3.6","0.0","0.0","0.0","0.0","15.4","83.76","373.08","186.54","357.68","289.32","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","3.11","0.16","0.7","0.0","6.17","0.7","4.32","0.0","0.0","0.0","0.0","19.72","83.76","373.08","186.54","353.36","289.32","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","3.11","0.16","0.7","0.0","6.83","0.7","4.78","0.0","0.0","0.0","0.0","24.5","83.76","373.08","186.54","348.58","289.32","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","3.11","0.16","0.7","0.0","7.19","0.7","5.03","0.0","0.0","0.0","0.0","29.53","83.76","373.08","186.54","343.54","289.32","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","3.11","0.16","0.7","0.0","7.59","0.7","5.31","0.0","0.0","0.0","0.0","34.85","83.76","373.08","186.54","338.23","289.32","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","3.11","0.16","0.7","0.0","7.42","0.7","5.19","0.0","0.0","0.0","0.0","40.04","83.76","373.08","186.54","333.04","289.32","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","3.11","0.15","0.7","0.0","7.46","0.7","5.22","0.0","0.0","0.0","0.0","45.26","83.76","373.08","186.54","327.81","289.32","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","3.11","0.15","0.7","0.0","6.79","0.7","4.75","0.0","0.0","0.0","0.0","50.02","83.76","373.08","186.54","323.06","289.32","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","3.11","0.15","0.7","0.0","7.58","0.7","5.31","0.0","0.0","0.0","0.0","55.32","83.76","373.08","186.54","317.75","289.32","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","3.11","0.15","0.7","0.0","7.44","0.7","5.21","0.0","0.0","0.0","0.0","60.53","83.76","373.08","186.54","312.55","289.32","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","3.11","0.15","0.7","0.0","7.85","0.7","5.5","0.0","0.0","0.0","0.0","66.02","83.76","373.08","186.54","307.05","289.32","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","3.11","0.14","0.7","0.0","7.77","0.7","5.44","0.0","0.0","0.0","0.0","71.46","83.76","373.08","186.54","301.61","289.32","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","3.11","0.14","0.7","0.0","7.0","0.7","4.9","0.0","0.0","0.0","0.0","76.36","83.76","373.08","186.54","296.71","289.32","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","3.11","0.14","0.7","0.0","6.96","0.7","4.87","0.0","0.0","0.0","0.0","81.24","83.76","373.08","186.54","291.84","289.32","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","3.11","0.14","0.7","0.0","6.82","0.7","4.77","0.0","0.0","0.0","0.0","0.0","83.76","373.08","186.54","373.08","289.32","86.01","","","","","","",""
"2016.0","7.0","2.0","184.0","3.11","0.14","0.7","0.0","6.74","0.7","4.72","0.0","0.0","0.0","0.0","4.72","83.76","373.08","186.54","368.36","289.32","0.0","","","","","","",""
