" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","11336.56","0.56","0.95","0.0","1.85","0.95","1.76","0.0","0.0","0.0","0.0","22.47","59.69","254.81","127.41","232.34","195.13","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","11336.56","0.54","0.95","0.0","2.34","0.95","2.22","0.0","0.0","0.0","0.0","24.69","59.69","254.81","127.41","230.12","195.13","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","11336.56","0.51","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","27.66","59.69","254.81","127.41","227.16","195.13","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","11336.56","0.49","0.95","0.0","2.53","0.95","2.4","0.0","0.0","0.0","0.0","30.06","59.69","254.81","127.41","224.75","195.13","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","11336.56","0.47","0.95","0.0","2.12","0.95","2.01","0.0","0.0","0.0","0.0","32.07","59.69","254.81","127.41","222.74","195.13","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","11336.56","0.45","0.95","0.0","2.71","0.95","2.57","0.42","0.42","0.0","0.0","34.23","59.69","254.81","127.41","220.58","195.13","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","11336.56","1.14","0.95","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","23.64","59.69","254.81","127.41","231.17","195.13","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","11336.56","1.15","0.95","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","21.28","59.69","254.81","127.41","233.54","195.13","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","11336.56","1.15","0.95","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","23.34","59.69","254.81","127.41","231.47","195.13","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","11336.56","1.15","0.95","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","25.62","59.69","254.81","127.41","229.19","195.13","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","11336.56","0.97","0.95","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","28.26","59.69","254.81","127.41","226.56","195.13","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","11336.56","0.85","0.95","0.0","2.42","0.95","2.3","0.0","0.0","0.0","0.0","30.56","59.69","254.81","127.41","224.26","195.13","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","11336.56","0.77","0.95","0.0","2.23","0.95","2.12","0.0","0.0","0.0","0.0","32.67","59.69","254.81","127.41","222.14","195.13","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","11336.56","0.71","0.95","0.0","2.36","0.95","2.24","0.0","0.0","0.0","0.0","34.92","59.69","254.81","127.41","219.9","195.13","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","11336.56","0.66","0.95","0.0","2.37","0.95","2.25","0.0","0.0","0.0","0.0","37.17","59.69","254.81","127.41","217.64","195.13","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","11336.56","0.62","0.95","0.0","2.25","0.95","2.14","0.0","0.0","0.0","0.0","39.31","59.69","254.81","127.41","215.51","195.13","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","11336.56","0.59","0.95","0.0","2.09","0.95","1.99","0.0","0.0","0.0","0.0","41.29","59.69","254.81","127.41","213.52","195.13","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","11336.56","0.56","0.95","0.0","2.68","0.95","2.55","0.0","0.0","0.0","0.0","43.84","59.69","254.81","127.41","210.98","195.13","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","11336.56","0.53","0.95","0.0","3.02","0.95","2.87","0.0","0.0","0.0","0.0","46.71","59.69","254.81","127.41","208.11","195.13","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","11336.56","0.5","0.95","0.0","2.62","0.95","2.49","0.0","0.0","0.0","0.0","49.2","59.69","254.81","127.41","205.62","195.13","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","11336.56","0.49","0.95","0.0","1.85","0.95","1.76","0.0","0.0","0.0","0.0","50.95","59.69","254.81","127.41","203.86","195.13","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","11336.56","0.48","0.95","0.0","1.57","0.95","1.49","0.3","0.3","0.0","0.0","52.14","59.69","254.81","127.41","202.67","195.13","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","11336.56","1.17","0.95","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","40.12","59.69","254.81","127.41","214.7","195.13","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","11336.56","1.13","0.95","0.0","2.16","1.13","2.45","33.53","33.53","0.0","0.0","9.03","59.69","254.81","127.41","245.78","195.13","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","11336.56","1.16","0.95","0.0","1.52","1.16","1.76","17.68","10.8","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","11336.56","1.15","0.95","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","11336.56","1.15","0.95","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","59.69","254.81","127.41","252.74","195.13","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","11336.56","1.15","0.95","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","59.69","254.81","127.41","251.47","195.13","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","11336.56","1.16","0.95","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","11336.56","1.15","0.95","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","11336.56","1.17","0.95","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","11336.56","1.12","0.95","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","11336.56","1.11","0.95","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","59.69","254.81","127.41","251.43","195.13","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","11336.56","0.92","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","6.34","59.69","254.81","127.41","248.47","195.13","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","11336.56","0.79","0.95","0.0","3.15","0.95","2.99","0.0","0.0","0.0","0.0","9.34","59.69","254.81","127.41","245.48","195.13","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","11336.56","0.7","0.95","0.0","3.16","0.95","3.0","0.0","0.0","0.0","0.0","12.34","59.69","254.81","127.41","242.48","195.13","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","11336.56","0.64","0.95","0.0","3.15","0.95","2.99","0.0","0.0","0.0","0.0","15.33","59.69","254.81","127.41","239.48","195.13","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","11336.56","0.6","0.95","0.0","2.32","0.95","2.2","0.02","0.02","0.0","0.0","17.51","59.69","254.81","127.41","237.3","195.13","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","11336.56","0.57","0.95","0.0","2.33","0.95","2.21","2.11","2.11","0.0","0.0","17.62","59.69","254.81","127.41","237.2","195.13","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","11336.56","0.54","0.95","0.0","2.98","0.95","2.83","0.76","0.76","0.0","0.0","19.69","59.69","254.81","127.41","235.12","195.13","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","11336.56","0.51","0.95","0.0","3.38","0.95","3.21","0.0","0.0","0.0","0.0","22.9","59.69","254.81","127.41","231.91","195.13","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","11336.56","0.48","0.95","0.0","3.22","0.95","3.06","0.0","0.0","0.0","0.0","25.96","59.69","254.81","127.41","228.85","195.13","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","11336.56","0.45","0.95","0.0","3.68","0.95","3.5","0.0","0.0","0.0","0.0","29.45","59.69","254.81","127.41","225.36","195.13","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","11336.56","0.43","0.95","0.0","4.39","0.95","4.17","0.0","0.0","0.0","0.0","33.62","59.69","254.81","127.41","221.19","195.13","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","11336.56","0.41","0.95","0.0","3.5","0.95","3.33","0.0","0.0","0.0","0.0","36.95","59.69","254.81","127.41","217.86","195.13","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","11336.56","0.39","0.95","0.0","3.48","0.95","3.31","0.0","0.0","0.0","0.0","40.26","59.69","254.81","127.41","214.56","195.13","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","11336.56","0.38","0.95","0.0","3.78","0.95","3.59","0.0","0.0","0.0","0.0","43.85","59.69","254.81","127.41","210.97","195.13","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","11336.56","0.37","0.95","0.0","3.6","0.95","3.42","0.0","0.0","0.0","0.0","47.27","59.69","254.81","127.41","207.55","195.13","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","11336.56","0.35","0.95","0.0","3.79","0.95","3.6","0.0","0.0","0.0","0.0","50.87","59.69","254.81","127.41","203.95","195.13","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","11336.56","0.34","0.95","0.0","3.69","0.95","3.51","0.0","0.0","0.0","0.0","54.37","59.69","254.81","127.41","200.44","195.13","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","11336.56","0.33","0.95","0.0","3.75","0.95","3.56","0.0","0.0","0.0","0.0","57.94","59.69","254.81","127.41","196.88","195.13","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","11336.56","0.32","0.95","0.0","4.07","0.95","3.87","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","61.8","","","","","","",""
"2016.0","4.0","4.0","95.0","11336.56","0.31","0.95","0.0","4.24","0.95","4.03","0.0","0.0","0.0","0.0","4.03","59.69","254.81","127.41","250.78","195.13","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","11336.56","0.3","0.95","0.0","5.59","0.95","5.31","0.0","0.0","0.0","0.0","9.34","59.69","254.81","127.41","245.47","195.13","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","11336.56","0.29","0.95","0.0","4.9","0.95","4.66","0.0","0.0","0.0","0.0","13.99","59.69","254.81","127.41","240.82","195.13","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","11336.56","0.29","0.95","0.0","4.35","0.95","4.13","0.0","0.0","0.0","0.0","18.13","59.69","254.81","127.41","236.69","195.13","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","11336.56","0.28","0.95","0.0","3.49","0.95","3.32","0.22","0.22","0.0","0.0","21.22","59.69","254.81","127.41","233.59","195.13","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","11336.56","1.16","0.95","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","19.26","59.69","254.81","127.41","235.55","195.13","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","11336.56","1.13","0.95","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","7.59","59.69","254.81","127.41","247.22","195.13","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","11336.56","1.11","0.95","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","10.34","59.69","254.81","127.41","244.47","195.13","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","11336.56","0.91","0.95","0.0","3.54","0.95","3.36","0.0","0.0","0.0","0.0","13.71","59.69","254.81","127.41","241.11","195.13","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","11336.56","0.75","0.95","0.0","4.25","0.95","4.04","0.0","0.0","0.0","0.0","17.74","59.69","254.81","127.41","237.07","195.13","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","11336.56","0.65","0.95","0.0","4.09","0.95","3.89","1.02","1.02","0.0","0.0","20.61","59.69","254.81","127.41","234.2","195.13","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","11336.56","0.56","0.95","0.0","5.43","0.95","5.16","0.0","0.0","0.0","0.0","25.77","59.69","254.81","127.41","229.05","195.13","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","11336.56","0.5","0.95","0.0","5.34","0.95","5.07","0.0","0.0","0.0","0.0","30.84","59.69","254.81","127.41","223.97","195.13","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","11336.56","0.47","0.95","0.0","4.76","0.95","4.52","0.0","0.0","0.0","0.0","35.36","59.69","254.81","127.41","219.45","195.13","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","11336.56","0.43","0.95","0.0","5.12","0.95","4.86","0.0","0.0","0.0","0.0","40.23","59.69","254.81","127.41","214.59","195.13","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","11336.56","0.41","0.95","0.0","4.98","0.95","4.73","0.0","0.0","0.0","0.0","44.96","59.69","254.81","127.41","209.86","195.13","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","11336.56","0.38","0.95","0.0","5.18","0.95","4.92","0.0","0.0","0.0","0.0","49.88","59.69","254.81","127.41","204.93","195.13","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","11336.56","0.37","0.95","0.0","3.85","0.95","3.66","0.0","0.0","0.0","0.0","53.54","59.69","254.81","127.41","201.28","195.13","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","11336.56","0.36","0.95","0.0","2.79","0.95","2.65","0.11","0.11","0.0","0.0","56.08","59.69","254.81","127.41","198.74","195.13","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","11336.56","1.06","0.95","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","55.17","59.69","254.81","127.41","199.64","195.13","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","11336.56","0.91","0.95","0.0","4.56","0.95","4.33","0.0","0.0","0.0","0.0","59.51","59.69","254.81","127.41","195.31","195.13","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","11336.56","0.71","0.95","0.0","5.38","0.95","5.11","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","64.62","","","","","","",""
"2016.0","4.0","26.0","117.0","11336.56","0.61","0.95","0.0","4.67","0.95","4.44","0.0","0.0","0.0","0.0","4.44","59.69","254.81","127.41","250.38","195.13","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","11336.56","0.56","0.95","0.0","3.74","0.95","3.55","0.0","0.0","0.0","0.0","7.99","59.69","254.81","127.41","246.82","195.13","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","11336.56","0.99","0.95","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","8.88","59.69","254.81","127.41","245.93","195.13","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","11336.56","0.79","0.95","0.0","5.1","0.95","4.85","0.0","0.0","0.0","0.0","13.73","59.69","254.81","127.41","241.09","195.13","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","11336.56","0.6","0.95","0.0","7.38","0.95","7.01","0.0","0.0","0.0","0.0","20.74","59.69","254.81","127.41","234.07","195.13","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","11336.56","0.52","0.95","0.0","5.86","0.95","5.57","0.0","0.0","0.0","0.0","26.31","59.69","254.81","127.41","228.51","195.13","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","11336.56","0.48","0.95","0.0","5.39","0.95","5.12","0.0","0.0","0.0","0.0","31.43","59.69","254.81","127.41","223.39","195.13","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","11336.56","0.44","0.95","0.0","4.49","0.95","4.27","0.0","0.0","0.0","0.0","35.69","59.69","254.81","127.41","219.12","195.13","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","11336.56","0.42","0.95","0.0","4.86","0.95","4.62","0.0","0.0","0.0","0.0","40.31","59.69","254.81","127.41","214.5","195.13","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","11336.56","0.41","0.95","0.0","2.44","0.95","2.32","0.08","0.08","0.0","0.0","42.55","59.69","254.81","127.41","212.27","195.13","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","11336.56","0.4","0.95","0.0","2.03","0.95","1.93","0.13","0.13","0.0","0.0","44.34","59.69","254.81","127.41","210.47","195.13","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","11336.56","0.39","0.95","0.0","2.18","0.95","2.07","3.39","3.39","0.0","0.0","43.03","59.69","254.81","127.41","211.79","195.13","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","11336.56","0.38","0.95","0.0","3.23","0.95","3.07","1.22","1.22","0.0","0.0","44.87","59.69","254.81","127.41","209.94","195.13","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","11336.56","0.36","0.95","0.0","4.65","0.95","4.42","0.0","0.0","0.0","0.0","49.29","59.69","254.81","127.41","205.52","195.13","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","11336.56","0.34","0.95","0.0","5.68","0.95","5.4","0.0","0.0","0.0","0.0","54.69","59.69","254.81","127.41","200.13","195.13","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","11336.56","0.33","0.95","0.0","6.03","0.95","5.73","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","60.42","","","","","","",""
"2016.0","5.0","12.0","133.0","11336.56","0.31","0.95","0.0","6.07","0.95","5.77","0.0","0.0","0.0","0.0","5.77","59.69","254.81","127.41","249.05","195.13","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","11336.56","0.3","0.95","0.0","5.63","0.95","5.35","0.0","0.0","0.0","0.0","11.12","59.69","254.81","127.41","243.7","195.13","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","11336.56","0.29","0.95","0.0","5.14","0.95","4.88","0.0","0.0","0.0","0.0","16.0","59.69","254.81","127.41","238.81","195.13","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","11336.56","0.28","0.95","0.0","5.57","0.95","5.29","0.0","0.0","0.0","0.0","21.29","59.69","254.81","127.41","233.52","195.13","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","11336.56","0.27","0.95","0.0","6.62","0.95","6.29","0.0","0.0","0.0","0.0","27.58","59.69","254.81","127.41","227.23","195.13","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","11336.56","0.26","0.95","0.0","7.71","0.95","7.32","0.0","0.0","0.0","0.0","34.9","59.69","254.81","127.41","219.91","195.13","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","11336.56","0.25","0.95","0.0","7.08","0.95","6.73","0.0","0.0","0.0","0.0","41.63","59.69","254.81","127.41","213.18","195.13","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","11336.56","0.24","0.95","0.0","6.3","0.95","5.99","0.0","0.0","0.0","0.0","47.61","59.69","254.81","127.41","207.2","195.13","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","11336.56","0.24","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","52.22","59.69","254.81","127.41","202.59","195.13","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","11336.56","0.24","0.95","0.0","3.73","0.95","3.54","0.32","0.32","0.0","0.0","55.45","59.69","254.81","127.41","199.37","195.13","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","11336.56","0.23","0.95","0.0","4.28","0.95","4.07","0.26","0.26","0.0","0.0","59.25","59.69","254.81","127.41","195.56","195.13","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","11336.56","0.23","0.95","0.0","4.84","0.95","4.6","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","63.85","","","","","","",""
"2016.0","5.0","24.0","145.0","11336.56","0.22","0.95","0.0","4.85","0.95","4.61","0.0","0.0","0.0","0.0","4.61","59.69","254.81","127.41","250.21","195.13","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","11336.56","0.22","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","9.65","59.69","254.81","127.41","245.16","195.13","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","11336.56","0.21","0.95","0.0","5.74","0.95","5.45","0.0","0.0","0.0","0.0","15.11","59.69","254.81","127.41","239.71","195.13","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","11336.56","0.21","0.95","0.0","6.05","0.95","5.75","0.0","0.0","0.0","0.0","20.85","59.69","254.81","127.41","233.96","195.13","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","11336.56","0.21","0.95","0.0","6.96","0.95","6.61","0.0","0.0","0.0","0.0","27.46","59.69","254.81","127.41","227.35","195.13","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","11336.56","0.2","0.95","0.0","6.57","0.95","6.24","0.0","0.0","0.0","0.0","33.71","59.69","254.81","127.41","221.11","195.13","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","11336.56","0.2","0.95","0.0","6.83","0.95","6.49","0.0","0.0","0.0","0.0","40.19","59.69","254.81","127.41","214.62","195.13","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","11336.56","0.19","0.95","0.0","7.15","0.95","6.79","0.0","0.0","0.0","0.0","46.99","59.69","254.81","127.41","207.83","195.13","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","11336.56","0.19","0.95","0.0","7.23","0.95","6.87","0.0","0.0","0.0","0.0","53.86","59.69","254.81","127.41","200.96","195.13","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","11336.56","0.19","0.95","0.0","6.91","0.95","6.56","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","60.42","","","","","","",""
"2016.0","6.0","3.0","155.0","11336.56","0.18","0.95","0.0","7.35","0.95","6.98","0.0","0.0","0.0","0.0","6.98","59.69","254.81","127.41","247.83","195.13","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","11336.56","0.18","0.95","0.0","4.89","0.95","4.65","0.0","0.0","0.0","0.0","11.63","59.69","254.81","127.41","243.18","195.13","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","11336.56","0.18","0.95","0.0","7.68","0.95","7.3","0.0","0.0","0.0","0.0","18.92","59.69","254.81","127.41","235.89","195.13","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","11336.56","0.17","0.95","0.0","7.2","0.95","6.84","0.0","0.0","0.0","0.0","25.76","59.69","254.81","127.41","229.05","195.13","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","11336.56","0.17","0.95","0.0","6.83","0.95","6.49","0.0","0.0","0.0","0.0","32.25","59.69","254.81","127.41","222.56","195.13","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","11336.56","0.17","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","38.48","59.69","254.81","127.41","216.34","195.13","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","11336.56","0.17","0.95","0.0","6.26","0.95","5.95","0.0","0.0","0.0","0.0","44.42","59.69","254.81","127.41","210.39","195.13","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","11336.56","0.16","0.95","0.0","6.64","0.95","6.31","0.0","0.0","0.0","0.0","50.73","59.69","254.81","127.41","204.08","195.13","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","11336.56","0.16","0.95","0.0","6.87","0.95","6.53","0.0","0.0","0.0","0.0","57.26","59.69","254.81","127.41","197.56","195.13","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","11336.56","0.16","0.95","0.0","6.96","0.95","6.61","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","63.87","","","","","","",""
"2016.0","6.0","13.0","165.0","11336.56","0.16","0.95","0.0","6.65","0.95","6.32","0.0","0.0","0.0","0.0","6.32","59.69","254.81","127.41","248.5","195.13","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","11336.56","0.16","0.95","0.0","6.35","0.95","6.03","0.0","0.0","0.0","0.0","12.35","59.69","254.81","127.41","242.46","195.13","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","11336.56","0.15","0.95","0.0","5.38","0.95","5.11","0.0","0.0","0.0","0.0","17.46","59.69","254.81","127.41","237.35","195.13","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","11336.56","0.15","0.95","0.0","5.31","0.95","5.04","0.0","0.0","0.0","0.0","22.51","59.69","254.81","127.41","232.31","195.13","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","11336.56","0.15","0.95","0.0","5.14","0.95","4.88","0.0","0.0","0.0","0.0","27.39","59.69","254.81","127.41","227.42","195.13","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","11336.56","0.15","0.95","0.0","6.18","0.95","5.87","0.0","0.0","0.0","0.0","33.26","59.69","254.81","127.41","221.55","195.13","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","11336.56","0.15","0.95","0.0","6.9","0.95","6.56","0.0","0.0","0.0","0.0","39.81","59.69","254.81","127.41","215.0","195.13","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","11336.56","0.15","0.95","0.0","7.46","0.95","7.09","0.0","0.0","0.0","0.0","46.9","59.69","254.81","127.41","207.91","195.13","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","11336.56","0.14","0.95","0.0","7.77","0.95","7.38","0.0","0.0","0.0","0.0","54.28","59.69","254.81","127.41","200.53","195.13","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","11336.56","0.14","0.95","0.0","7.82","0.95","7.43","0.0","0.0","0.0","0.0","0.0","59.69","254.81","127.41","254.81","195.13","61.71","","","","","","",""
"2016.0","6.0","23.0","175.0","11336.56","0.14","0.95","0.0","7.73","0.95","7.34","0.0","0.0","0.0","0.0","7.34","59.69","254.81","127.41","247.47","195.13","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","11336.56","0.14","0.95","0.0","7.01","0.95","6.66","0.0","0.0","0.0","0.0","14.0","59.69","254.81","127.41","240.81","195.13","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","11336.56","0.14","0.95","0.0","7.8","0.95","7.41","0.0","0.0","0.0","0.0","21.41","59.69","254.81","127.41","233.4","195.13","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","11336.56","0.14","0.95","0.0","7.67","0.95","7.29","0.0","0.0","0.0","0.0","28.7","59.69","254.81","127.41","226.11","195.13","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","11336.56","0.13","0.95","0.0","8.11","0.95","7.7","0.0","0.0","0.0","0.0","36.4","59.69","254.81","127.41","218.41","195.13","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","11336.56","0.13","0.95","0.0","8.1","0.95","7.7","0.0","0.0","0.0","0.0","44.1","59.69","254.81","127.41","210.71","195.13","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","11336.56","0.13","0.95","0.0","7.45","0.95","7.08","0.0","0.0","0.0","0.0","51.18","59.69","254.81","127.41","203.64","195.13","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","11336.56","0.13","0.95","0.0","7.39","0.95","7.02","0.0","0.0","0.0","0.0","58.2","59.69","254.81","127.41","196.62","195.13","0.0","","","","","","",""
