" Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","401.64","0.55","0.0","0.0","2.25","0.55","1.25","0.0","0.0","0.0","0.0","20.01","20.4","290.17","145.08","270.16","269.77","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","401.64","0.52","0.0","0.0","2.94","0.52","1.54","0.0","0.0","0.0","0.0","21.54","20.4","290.17","145.08","268.63","269.77","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","401.64","0.5","0.0","0.0","2.45","0.5","1.23","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","401.64","0.49","0.0","0.0","2.13","0.49","1.03","0.0","0.0","0.0","0.0","21.43","20.4","290.17","145.08","268.74","269.77","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","401.64","1.11","0.0","0.0","2.73","1.11","3.03","2.71","2.71","0.0","0.0","18.72","20.4","290.17","145.08","271.45","269.77","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","401.64","1.14","0.0","0.0","1.95","1.14","2.23","9.85","9.85","0.0","0.0","11.1","20.4","290.17","145.08","279.07","269.77","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","401.64","1.15","0.0","0.0","1.71","1.15","1.96","1.24","1.24","0.0","0.0","11.82","20.4","290.17","145.08","278.35","269.77","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","401.64","1.15","0.0","0.0","1.78","1.15","2.04","0.01","0.01","0.0","0.0","13.85","20.4","290.17","145.08","276.32","269.77","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","401.64","1.02","0.0","0.0","1.99","1.02","2.03","0.0","0.0","0.0","0.0","15.89","20.4","290.17","145.08","274.28","269.77","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","401.64","0.88","0.0","0.0","2.61","0.88","2.29","0.0","0.0","0.0","0.0","18.17","20.4","290.17","145.08","272.0","269.77","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","401.64","0.78","0.0","0.0","2.48","0.78","1.94","0.0","0.0","0.0","0.0","20.11","20.4","290.17","145.08","270.06","269.77","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","401.64","0.72","0.0","0.0","2.24","0.72","1.62","0.0","0.0","0.0","0.0","21.73","20.4","290.17","145.08","268.44","269.77","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","401.64","0.67","0.0","0.0","2.36","0.67","1.58","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","401.64","0.63","0.0","0.0","2.33","0.63","1.46","0.0","0.0","0.0","0.0","21.86","20.4","290.17","145.08","268.31","269.77","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","401.64","0.59","0.0","0.0","2.37","0.59","1.4","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","401.64","0.57","0.0","0.0","2.04","0.57","1.16","0.0","0.0","0.0","0.0","21.56","20.4","290.17","145.08","268.61","269.77","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","401.64","0.54","0.0","0.0","2.61","0.54","1.4","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","401.64","0.51","0.0","0.0","2.95","0.51","1.5","0.0","0.0","0.0","0.0","21.9","20.4","290.17","145.08","268.27","269.77","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","401.64","0.49","0.0","0.0","2.56","0.49","1.25","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","401.64","0.47","0.0","0.0","1.87","0.47","0.89","0.0","0.0","0.0","0.0","21.29","20.4","290.17","145.08","268.88","269.77","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","401.64","0.47","0.0","0.0","1.5","0.47","0.7","1.71","1.71","0.0","0.0","19.58","20.4","290.17","145.08","270.59","269.77","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","401.64","1.17","0.0","0.0","1.33","1.17","1.55","14.14","14.14","0.0","0.0","6.99","20.4","290.17","145.08","283.18","269.77","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","401.64","1.13","0.0","0.0","2.26","1.13","2.55","20.66","9.54","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","401.64","1.16","0.0","0.0","1.53","1.16","1.77","13.1","1.77","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","401.64","1.15","0.0","0.0","1.93","1.15","2.22","1.46","1.46","0.0","0.0","0.76","20.4","290.17","145.08","289.41","269.77","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","401.64","1.15","0.0","0.0","1.98","1.15","2.27","0.57","0.57","0.0","0.0","2.46","20.4","290.17","145.08","287.71","269.77","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","401.64","1.16","0.0","0.0","1.59","1.16","1.84","2.01","2.01","0.0","0.0","2.29","20.4","290.17","145.08","287.88","269.77","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","401.64","1.16","0.0","0.0","1.54","1.16","1.78","5.1","4.08","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","401.64","1.15","0.0","0.0","1.8","1.15","2.07","7.19","2.07","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","401.64","1.17","0.0","0.0","1.19","1.17","1.4","12.32","1.4","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","401.64","1.12","0.0","0.0","2.52","1.12","2.82","10.8","2.82","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","401.64","1.11","0.0","0.0","2.99","1.11","3.32","0.0","0.0","0.0","0.0","3.32","20.4","290.17","145.08","286.85","269.77","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","401.64","0.93","0.0","0.0","3.1","0.93","2.89","0.0","0.0","0.0","0.0","6.21","20.4","290.17","145.08","283.96","269.77","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","401.64","0.8","0.0","0.0","3.14","0.8","2.5","0.0","0.0","0.0","0.0","8.71","20.4","290.17","145.08","281.46","269.77","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","401.64","0.71","0.0","0.0","3.04","0.71","2.16","0.0","0.0","0.0","0.0","10.86","20.4","290.17","145.08","279.31","269.77","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","401.64","0.65","0.0","0.0","2.97","0.65","1.92","0.0","0.0","0.0","0.0","12.79","20.4","290.17","145.08","277.38","269.77","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","401.64","0.61","0.0","0.0","2.33","0.61","1.42","0.03","0.03","0.0","0.0","14.18","20.4","290.17","145.08","275.99","269.77","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","401.64","0.58","0.0","0.0","2.37","0.58","1.37","1.23","1.23","0.0","0.0","14.32","20.4","290.17","145.08","275.85","269.77","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","401.64","0.54","0.0","0.0","3.0","0.54","1.63","0.94","0.94","0.0","0.0","15.0","20.4","290.17","145.08","275.17","269.77","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","401.64","0.51","0.0","0.0","3.33","0.51","1.7","0.0","0.0","0.0","0.0","16.7","20.4","290.17","145.08","273.47","269.77","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","401.64","0.48","0.0","0.0","3.19","0.48","1.54","0.0","0.0","0.0","0.0","18.24","20.4","290.17","145.08","271.93","269.77","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","401.64","0.46","0.0","0.0","3.61","0.46","1.65","0.0","0.0","0.0","0.0","19.89","20.4","290.17","145.08","270.28","269.77","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","401.64","0.43","0.0","0.0","4.2","0.43","1.81","0.0","0.0","0.0","0.0","21.7","20.4","290.17","145.08","268.47","269.77","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","401.64","0.41","0.0","0.0","3.51","0.41","1.45","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","401.64","0.4","0.0","0.0","3.52","0.4","1.4","0.0","0.0","0.0","0.0","21.8","20.4","290.17","145.08","268.37","269.77","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","401.64","0.38","0.0","0.0","3.71","0.38","1.42","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","401.64","0.37","0.0","0.0","3.49","0.37","1.29","0.0","0.0","0.0","0.0","21.69","20.4","290.17","145.08","268.48","269.77","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","401.64","0.36","0.0","0.0","3.72","0.36","1.33","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","401.64","0.35","0.0","0.0","3.62","0.35","1.25","0.0","0.0","0.0","0.0","21.65","20.4","290.17","145.08","268.51","269.77","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","401.64","0.34","0.0","0.0","3.72","0.34","1.25","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","401.64","0.33","0.0","0.0","3.94","0.33","1.29","0.0","0.0","0.0","0.0","21.69","20.4","290.17","145.08","268.48","269.77","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","401.64","0.32","0.0","0.0","4.14","0.32","1.31","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","401.64","0.31","0.0","0.0","5.39","0.31","1.65","0.0","0.0","0.0","0.0","22.05","20.4","290.17","145.08","268.12","269.77","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","401.64","0.3","0.0","0.0","4.84","0.3","1.43","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","401.64","0.29","0.0","0.0","4.19","0.29","1.21","0.0","0.0","0.0","0.0","21.61","20.4","290.17","145.08","268.56","269.77","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","401.64","0.28","0.0","0.0","3.25","0.28","0.92","1.44","1.44","0.0","0.0","20.17","20.4","290.17","145.08","270.0","269.77","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","401.64","1.16","0.0","0.0","1.59","1.16","1.84","12.65","12.65","0.0","0.0","9.36","20.4","290.17","145.08","280.81","269.77","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","401.64","1.15","0.0","0.0","1.84","1.15","2.11","20.51","11.47","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","401.64","1.12","0.0","0.0","3.06","1.12","3.43","0.4","0.4","0.0","0.0","3.03","20.4","290.17","145.08","287.14","269.77","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","401.64","0.95","0.0","0.0","3.42","0.95","3.25","0.0","0.0","0.0","0.0","6.28","20.4","290.17","145.08","283.89","269.77","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","401.64","0.77","0.0","0.0","4.11","0.77","3.17","0.0","0.0","0.0","0.0","9.45","20.4","290.17","145.08","280.72","269.77","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","401.64","0.67","0.0","0.0","4.1","0.67","2.73","0.78","0.78","0.0","0.0","11.41","20.4","290.17","145.08","278.76","269.77","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","401.64","0.58","0.0","0.0","5.34","0.58","3.08","0.0","0.0","0.0","0.0","14.48","20.4","290.17","145.08","275.69","269.77","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","401.64","0.52","0.0","0.0","5.13","0.52","2.65","0.0","0.0","0.0","0.0","17.13","20.4","290.17","145.08","273.04","269.77","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","401.64","0.48","0.0","0.0","4.75","0.48","2.26","0.0","0.0","0.0","0.0","19.39","20.4","290.17","145.08","270.78","269.77","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","401.64","0.44","0.0","0.0","5.08","0.44","2.24","0.0","0.0","0.0","0.0","21.63","20.4","290.17","145.08","268.54","269.77","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","401.64","0.41","0.0","0.0","4.82","0.41","1.99","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","401.64","0.39","0.0","0.0","5.01","0.39","1.95","0.0","0.0","0.0","0.0","22.35","20.4","290.17","145.08","267.82","269.77","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","401.64","0.38","0.0","0.0","3.61","0.38","1.36","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","401.64","0.37","0.0","0.0","2.88","0.37","1.06","0.68","0.68","0.0","0.0","20.78","20.4","290.17","145.08","269.39","269.77","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","401.64","0.35","0.0","0.0","4.01","0.35","1.42","3.64","3.64","0.0","0.0","17.14","20.4","290.17","145.08","273.03","269.77","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","401.64","0.34","0.0","0.0","4.5","0.34","1.53","0.0","0.0","0.0","0.0","18.67","20.4","290.17","145.08","271.5","269.77","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","401.64","0.33","0.0","0.0","5.34","0.33","1.74","0.0","0.0","0.0","0.0","20.41","20.4","290.17","145.08","269.76","269.77","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","401.64","0.32","0.0","0.0","4.63","0.32","1.46","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","401.64","0.31","0.0","0.0","3.59","0.31","1.1","0.1","0.1","0.0","0.0","21.4","20.4","290.17","145.08","268.77","269.77","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","401.64","0.3","0.0","0.0","5.55","0.3","1.65","1.66","1.66","0.0","0.0","19.74","20.4","290.17","145.08","270.43","269.77","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","401.64","0.29","0.0","0.0","4.91","0.29","1.41","0.0","0.0","0.0","0.0","21.16","20.4","290.17","145.08","269.01","269.77","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","401.64","0.28","0.0","0.0","7.15","0.28","1.97","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","401.64","0.27","0.0","0.0","5.68","0.27","1.52","0.0","0.0","0.0","0.0","21.92","20.4","290.17","145.08","268.25","269.77","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","401.64","0.26","0.0","0.0","5.14","0.26","1.34","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","401.64","0.26","0.0","0.0","4.27","0.26","1.09","0.0","0.0","0.0","0.0","21.49","20.4","290.17","145.08","268.68","269.77","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","401.64","0.25","0.0","0.0","4.54","0.25","1.14","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","401.64","0.25","0.0","0.0","2.55","0.25","0.63","0.46","0.46","0.0","0.0","20.57","20.4","290.17","145.08","269.6","269.77","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","401.64","0.25","0.0","0.0","1.88","0.25","0.46","0.47","0.47","0.0","0.0","20.1","20.4","290.17","145.08","270.07","269.77","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","401.64","1.14","0.0","0.0","2.03","1.14","2.31","4.81","4.81","0.0","0.0","17.6","20.4","290.17","145.08","272.57","269.77","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","401.64","1.11","0.0","0.0","3.27","1.11","3.64","0.69","0.69","0.0","0.0","20.56","20.4","290.17","145.08","269.61","269.77","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","401.64","0.87","0.0","0.0","4.52","0.87","3.91","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","401.64","0.69","0.0","0.0","5.37","0.69","3.7","0.0","0.0","0.0","0.0","24.1","20.4","290.17","145.08","266.07","269.77","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","401.64","0.58","0.0","0.0","5.67","0.58","3.31","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","401.64","0.52","0.0","0.0","5.67","0.52","2.92","0.0","0.0","0.0","0.0","23.32","20.4","290.17","145.08","266.85","269.77","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","401.64","0.47","0.0","0.0","5.3","0.47","2.49","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","401.64","0.44","0.0","0.0","4.83","0.44","2.11","0.0","0.0","0.0","0.0","22.51","20.4","290.17","145.08","267.66","269.77","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","401.64","0.41","0.51","0.0","5.41","0.51","2.76","0.0","0.0","0.0","0.0","25.27","63.11","290.17","145.08","264.9","227.06","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","401.64","0.38","0.51","0.0","6.4","0.51","3.26","0.0","0.0","0.0","0.0","28.53","63.11","290.17","145.08","261.63","227.06","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","401.64","0.35","0.51","0.0","7.38","0.51","3.76","0.0","0.0","0.0","0.0","32.3","63.11","290.17","145.08","257.87","227.06","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","401.64","0.33","0.51","0.0","6.85","0.51","3.49","0.0","0.0","0.0","0.0","35.79","63.11","290.17","145.08","254.38","227.06","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","401.64","0.31","0.51","0.0","6.05","0.51","3.09","0.0","0.0","0.0","0.0","38.88","63.11","290.17","145.08","251.29","227.06","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","401.64","0.3","0.51","0.0","4.86","0.51","2.48","0.0","0.0","0.0","0.0","41.36","63.11","290.17","145.08","248.81","227.06","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","401.64","0.3","0.51","0.0","3.64","0.51","1.86","0.0","0.0","0.0","0.0","43.21","63.11","290.17","145.08","246.96","227.06","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","401.64","0.29","0.51","0.0","4.01","0.51","2.05","0.8","0.8","0.0","0.0","44.46","63.11","290.17","145.08","245.71","227.06","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","401.64","0.28","0.51","0.0","4.59","0.51","2.34","0.0","0.0","0.0","0.0","46.8","63.11","290.17","145.08","243.37","227.06","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","401.64","0.28","0.51","0.0","4.79","0.51","2.44","0.0","0.0","0.0","0.0","49.24","63.11","290.17","145.08","240.93","227.06","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","401.64","0.27","0.51","0.0","5.18","0.51","2.64","0.0","0.0","0.0","0.0","51.88","63.11","290.17","145.08","238.29","227.06","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","401.64","0.26","0.51","0.0","5.52","0.51","2.82","0.0","0.0","0.0","0.0","54.7","63.11","290.17","145.08","235.47","227.06","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","401.64","0.25","0.51","0.0","5.89","0.51","3.0","0.0","0.0","0.0","0.0","57.7","63.11","290.17","145.08","232.47","227.06","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","401.64","0.25","0.51","0.0","6.73","0.51","3.43","0.0","0.0","0.0","0.0","61.13","63.11","290.17","145.08","229.03","227.06","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","401.64","0.24","0.51","0.0","6.28","0.51","3.2","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","64.34","","","","","","",""
"2016.0","5.0","30.0","151.0","401.64","0.23","0.51","0.0","6.56","0.51","3.35","0.0","0.0","0.0","0.0","3.35","63.11","290.17","145.08","286.82","227.06","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","401.64","0.23","0.51","0.0","6.88","0.51","3.51","0.0","0.0","0.0","0.0","6.85","63.11","290.17","145.08","283.32","227.06","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","401.64","0.22","0.51","0.0","6.81","0.51","3.47","0.0","0.0","0.0","0.0","10.33","63.11","290.17","145.08","279.84","227.06","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","401.64","0.21","0.51","0.0","6.66","0.51","3.4","0.0","0.0","0.0","0.0","13.72","63.11","290.17","145.08","276.45","227.06","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","401.64","0.21","0.51","0.0","7.1","0.51","3.62","0.0","0.0","0.0","0.0","17.35","63.11","290.17","145.08","272.82","227.06","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","401.64","0.21","0.51","0.0","4.9","0.51","2.5","0.0","0.0","0.0","0.0","19.84","63.11","290.17","145.08","270.33","227.06","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","401.64","0.2","0.51","0.0","7.37","0.51","3.76","0.0","0.0","0.0","0.0","23.6","63.11","290.17","145.08","266.57","227.06","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","401.64","0.2","0.51","0.0","6.75","0.51","3.44","0.0","0.0","0.0","0.0","27.05","63.11","290.17","145.08","263.12","227.06","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","401.64","0.19","0.51","0.0","6.48","0.51","3.3","0.0","0.0","0.0","0.0","30.35","63.11","290.17","145.08","259.82","227.06","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","401.64","0.19","0.51","0.0","6.22","0.51","3.17","0.0","0.0","0.0","0.0","33.52","63.11","290.17","145.08","256.65","227.06","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","401.64","0.19","0.51","0.0","5.96","0.51","3.04","0.0","0.0","0.0","0.0","36.56","63.11","290.17","145.08","253.61","227.06","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","401.64","0.18","0.51","0.0","6.41","0.51","3.27","0.0","0.0","0.0","0.0","39.83","63.11","290.17","145.08","250.34","227.06","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","401.64","0.18","0.51","0.0","6.68","0.51","3.41","0.0","0.0","0.0","0.0","43.24","63.11","290.17","145.08","246.93","227.06","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","401.64","0.18","0.51","0.0","6.62","0.51","3.38","0.0","0.0","0.0","0.0","46.61","63.11","290.17","145.08","243.56","227.06","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","401.64","0.18","0.52","0.0","6.3","0.52","3.28","0.0","0.0","0.0","0.0","49.89","63.11","290.17","145.08","240.28","227.06","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","401.64","0.17","0.53","0.0","6.24","0.53","3.31","0.0","0.0","0.0","0.0","53.21","63.11","290.17","145.08","236.96","227.06","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","401.64","0.17","0.54","0.0","5.37","0.54","2.91","0.0","0.0","0.0","0.0","56.11","63.11","290.17","145.08","234.06","227.06","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","401.64","0.17","0.55","0.0","5.25","0.55","2.9","0.0","0.0","0.0","0.0","59.01","63.11","290.17","145.08","231.16","227.06","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","401.64","0.17","0.56","0.0","5.14","0.56","2.89","0.0","0.0","0.0","0.0","61.9","63.11","290.17","145.08","228.27","227.06","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","401.64","0.16","0.57","0.0","6.17","0.57","3.54","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","65.44","","","","","","",""
"2016.0","6.0","19.0","171.0","401.64","0.16","0.58","0.0","6.83","0.58","3.99","0.0","0.0","0.0","0.0","3.99","63.11","290.17","145.08","286.18","227.06","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","401.64","0.16","0.59","0.0","7.19","0.59","4.27","0.0","0.0","0.0","0.0","8.26","63.11","290.17","145.08","281.91","227.06","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","401.64","0.16","0.6","0.0","7.59","0.6","4.59","0.0","0.0","0.0","0.0","12.84","63.11","290.17","145.08","277.33","227.06","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","401.64","0.16","0.62","0.0","7.42","0.62","4.56","0.0","0.0","0.0","0.0","17.41","63.11","290.17","145.08","272.76","227.06","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","401.64","0.15","0.63","0.0","7.46","0.63","4.67","0.0","0.0","0.0","0.0","22.07","63.11","290.17","145.08","268.1","227.06","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","401.64","0.15","0.64","0.0","6.79","0.64","4.32","0.0","0.0","0.0","0.0","26.39","63.11","290.17","145.08","263.78","227.06","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","401.64","0.15","0.65","0.0","7.58","0.65","4.9","0.0","0.0","0.0","0.0","31.29","63.11","290.17","145.08","258.88","227.06","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","401.64","0.15","0.66","0.0","7.44","0.66","4.89","0.0","0.0","0.0","0.0","36.18","63.11","290.17","145.08","253.99","227.06","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","401.64","0.15","0.67","0.0","7.85","0.67","5.24","0.0","0.0","0.0","0.0","41.42","63.11","290.17","145.08","248.75","227.06","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","401.64","0.14","0.68","0.0","7.77","0.68","5.27","0.0","0.0","0.0","0.0","46.69","63.11","290.17","145.08","243.48","227.06","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","401.64","0.14","0.69","0.0","7.0","0.69","4.82","0.0","0.0","0.0","0.0","51.51","63.11","290.17","145.08","238.66","227.06","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","401.64","0.14","0.7","0.0","6.96","0.7","4.87","0.0","0.0","0.0","0.0","56.37","63.11","290.17","145.08","233.8","227.06","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","401.64","0.14","0.71","0.0","6.82","0.71","4.84","0.0","0.0","0.0","0.0","61.21","63.11","290.17","145.08","228.96","227.06","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","401.64","0.14","0.72","0.0","6.74","0.72","4.85","0.0","0.0","0.0","0.0","0.0","63.11","290.17","145.08","290.17","227.06","66.06","","","","","","",""
