" Daily soil water balance output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","34035.48","0.58","0.8","0.0","1.83","0.8","1.46","0.0","0.0","0.0","0.0","20.79","30.61","128.0","64.0","107.21","97.39","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","34035.48","0.56","0.8","0.0","1.91","0.8","1.53","0.0","0.0","0.0","0.0","22.32","30.61","128.0","64.0","105.68","97.39","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","34035.48","0.53","0.8","0.0","2.33","0.8","1.86","0.0","0.0","0.0","0.0","24.19","30.61","128.0","64.0","103.81","97.39","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","34035.48","0.5","0.8","0.0","2.91","0.8","2.33","0.0","0.0","0.0","0.0","26.51","30.61","128.0","64.0","101.49","97.39","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","34035.48","0.49","0.8","0.0","2.37","0.8","1.9","0.0","0.0","0.0","0.0","28.41","30.61","128.0","64.0","99.59","97.39","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","34035.48","0.47","0.8","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","30.17","30.61","128.0","64.0","97.83","97.39","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","34035.48","0.45","0.8","0.0","2.94","0.8","2.35","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","32.52","","","","","","",""
"2016.0","2.0","18.0","49.0","34035.48","1.14","0.8","0.0","1.95","1.14","2.23","11.59","2.23","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","34035.48","1.14","0.8","0.0","1.84","1.14","2.11","0.77","0.77","0.0","0.0","1.34","30.61","128.0","64.0","126.66","97.39","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","34035.48","1.15","0.8","0.0","1.77","1.15","2.03","0.0","0.0","0.0","0.0","3.36","30.61","128.0","64.0","124.64","97.39","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","34035.48","1.01","0.8","0.0","2.04","1.01","2.06","0.0","0.0","0.0","0.0","5.42","30.61","128.0","64.0","122.58","97.39","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","34035.48","0.87","0.8","0.0","2.66","0.87","2.3","0.0","0.0","0.0","0.0","7.72","30.61","128.0","64.0","120.28","97.39","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","34035.48","0.78","0.8","0.0","2.5","0.8","2.0","0.0","0.0","0.0","0.0","9.72","30.61","128.0","64.0","118.28","97.39","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","34035.48","0.71","0.8","0.0","2.3","0.8","1.84","0.0","0.0","0.0","0.0","11.56","30.61","128.0","64.0","116.44","97.39","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","34035.48","0.66","0.8","0.0","2.4","0.8","1.92","0.0","0.0","0.0","0.0","13.48","30.61","128.0","64.0","114.52","97.39","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","34035.48","0.62","0.8","0.0","2.5","0.8","2.0","0.0","0.0","0.0","0.0","15.48","30.61","128.0","64.0","112.52","97.39","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","34035.48","0.58","0.8","0.0","2.48","0.8","1.98","0.0","0.0","0.0","0.0","17.47","30.61","128.0","64.0","110.53","97.39","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","34035.48","0.56","0.8","0.0","2.1","0.8","1.68","0.0","0.0","0.0","0.0","19.15","30.61","128.0","64.0","108.85","97.39","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","34035.48","0.53","0.8","0.0","2.71","0.8","2.17","0.0","0.0","0.0","0.0","21.32","30.61","128.0","64.0","106.68","97.39","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","34035.48","0.5","0.8","0.0","3.1","0.8","2.48","0.0","0.0","0.0","0.0","23.8","30.61","128.0","64.0","104.2","97.39","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","34035.48","0.48","0.8","0.0","2.69","0.8","2.15","0.0","0.0","0.0","0.0","25.95","30.61","128.0","64.0","102.05","97.39","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","34035.48","0.47","0.8","0.0","2.04","0.8","1.63","0.0","0.0","0.0","0.0","27.58","30.61","128.0","64.0","100.42","97.39","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","34035.48","0.46","0.8","0.0","1.69","0.8","1.35","0.0","0.0","0.0","0.0","28.93","30.61","128.0","64.0","99.07","97.39","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","34035.48","1.17","0.8","0.0","1.3","1.17","1.52","8.26","8.26","0.0","0.0","22.19","30.61","128.0","64.0","105.81","97.39","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","34035.48","1.13","0.8","0.0","2.24","1.13","2.53","21.29","21.29","0.0","0.0","3.43","30.61","128.0","64.0","124.57","97.39","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","34035.48","1.16","0.8","0.0","1.42","1.16","1.65","16.21","5.08","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","34035.48","1.14","0.8","0.0","2.05","1.14","2.33","2.11","2.11","0.0","0.0","0.22","30.61","128.0","64.0","127.78","97.39","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","34035.48","1.13","0.8","0.0","2.21","1.13","2.51","0.0","0.0","0.0","0.0","2.73","30.61","128.0","64.0","125.27","97.39","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","34035.48","1.14","0.8","0.0","1.5","1.14","1.71","0.03","0.03","0.0","0.0","4.42","30.61","128.0","64.0","123.58","97.39","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","34035.48","1.03","0.8","0.0","1.59","1.03","1.63","1.52","1.52","0.0","0.0","4.53","30.61","128.0","64.0","123.47","97.39","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","34035.48","1.14","0.8","0.0","2.06","1.14","2.34","8.58","6.87","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","34035.48","1.17","0.8","0.0","1.23","1.17","1.44","3.88","1.44","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","34035.48","1.12","0.8","0.0","2.53","1.12","2.83","13.6","2.83","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","34035.48","1.11","0.8","0.0","3.04","1.11","3.37","0.1","0.1","0.0","0.0","3.27","30.61","128.0","64.0","124.73","97.39","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","34035.48","0.93","0.8","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.17","30.61","128.0","64.0","121.83","97.39","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","34035.48","0.79","0.8","0.0","3.15","0.8","2.52","0.0","0.0","0.0","0.0","8.69","30.61","128.0","64.0","119.31","97.39","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","34035.48","0.7","0.8","0.0","3.12","0.8","2.5","0.0","0.0","0.0","0.0","11.19","30.61","128.0","64.0","116.81","97.39","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","34035.48","0.64","0.8","0.0","3.15","0.8","2.52","0.0","0.0","0.0","0.0","13.71","30.61","128.0","64.0","114.29","97.39","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","34035.48","0.6","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","15.8","30.61","128.0","64.0","112.2","97.39","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","34035.48","0.57","0.8","0.0","2.43","0.8","1.94","0.61","0.61","0.0","0.0","17.14","30.61","128.0","64.0","110.86","97.39","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","34035.48","0.53","0.8","0.0","3.07","0.8","2.46","0.7","0.7","0.0","0.0","18.89","30.61","128.0","64.0","109.11","97.39","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","34035.48","0.5","0.8","0.0","3.42","0.8","2.74","0.0","0.0","0.0","0.0","21.63","30.61","128.0","64.0","106.37","97.39","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","34035.48","0.48","0.8","0.0","3.29","0.8","2.63","0.0","0.0","0.0","0.0","24.26","30.61","128.0","64.0","103.74","97.39","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","34035.48","0.45","0.8","0.0","3.69","0.8","2.95","0.0","0.0","0.0","0.0","27.21","30.61","128.0","64.0","100.79","97.39","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","34035.48","0.43","0.8","0.0","4.29","0.8","3.43","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","30.64","","","","","","",""
"2016.0","3.0","27.0","87.0","34035.48","0.41","0.8","0.0","3.62","0.8","2.9","0.0","0.0","0.0","0.0","2.9","30.61","128.0","64.0","125.1","97.39","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","34035.48","0.39","0.8","0.0","3.44","0.8","2.75","0.0","0.0","0.0","0.0","5.65","30.61","128.0","64.0","122.35","97.39","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","34035.48","0.38","0.8","0.0","3.75","0.8","3.0","0.01","0.01","0.0","0.0","8.64","30.61","128.0","64.0","119.36","97.39","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","34035.48","0.36","0.8","0.0","3.59","0.8","2.87","0.0","0.0","0.0","0.0","11.51","30.61","128.0","64.0","116.49","97.39","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","34035.48","0.35","0.8","0.0","3.82","0.8","3.06","0.0","0.0","0.0","0.0","14.57","30.61","128.0","64.0","113.43","97.39","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","34035.48","0.34","0.8","0.0","3.75","0.8","3.0","0.0","0.0","0.0","0.0","17.57","30.61","128.0","64.0","110.43","97.39","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","34035.48","0.33","0.8","0.0","3.84","0.8","3.07","0.0","0.0","0.0","0.0","20.64","30.61","128.0","64.0","107.36","97.39","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","34035.48","0.32","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","23.95","30.61","128.0","64.0","104.05","97.39","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","34035.48","0.31","0.8","0.0","4.37","0.8","3.5","0.0","0.0","0.0","0.0","27.45","30.61","128.0","64.0","100.55","97.39","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","34035.48","0.3","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","31.85","","","","","","",""
"2016.0","4.0","6.0","97.0","34035.48","0.29","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","3.88","30.61","128.0","64.0","124.12","97.39","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","34035.48","0.28","0.8","0.0","4.3","0.8","3.44","0.0","0.0","0.0","0.0","7.32","30.61","128.0","64.0","120.68","97.39","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","34035.48","0.28","0.8","0.0","3.37","0.8","2.7","0.0","0.0","0.0","0.0","10.02","30.61","128.0","64.0","117.98","97.39","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","34035.48","1.16","0.8","0.0","1.55","1.16","1.79","9.7","9.7","0.0","0.0","2.11","30.61","128.0","64.0","125.89","97.39","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","34035.48","1.14","0.8","0.0","2.0","1.14","2.28","37.66","4.39","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","34035.48","1.12","0.8","0.0","3.08","1.12","3.44","0.88","0.88","0.0","0.0","2.56","30.61","128.0","64.0","125.44","97.39","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","34035.48","0.95","0.8","0.0","3.18","0.95","3.03","0.0","0.0","0.0","0.0","5.6","30.61","128.0","64.0","122.4","97.39","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","34035.48","0.77","0.8","0.0","4.23","0.8","3.38","0.0","0.0","0.0","0.0","8.98","30.61","128.0","64.0","119.02","97.39","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","34035.48","0.66","0.8","0.0","4.16","0.8","3.33","1.69","1.69","0.0","0.0","10.62","30.61","128.0","64.0","117.38","97.39","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","34035.48","0.57","0.8","0.0","5.49","0.8","4.39","0.0","0.0","0.0","0.0","15.01","30.61","128.0","64.0","112.99","97.39","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","34035.48","0.51","0.8","0.0","5.12","0.8","4.1","0.0","0.0","0.0","0.0","19.11","30.61","128.0","64.0","108.89","97.39","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","34035.48","0.47","0.8","0.0","4.88","0.8","3.9","0.0","0.0","0.0","0.0","23.01","30.61","128.0","64.0","104.99","97.39","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","34035.48","0.44","0.8","0.0","5.2","0.8","4.16","0.0","0.0","0.0","0.0","27.17","30.61","128.0","64.0","100.83","97.39","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","34035.48","0.41","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","31.13","","","","","","",""
"2016.0","4.0","20.0","111.0","34035.48","0.39","0.8","0.0","5.22","0.8","4.18","0.0","0.0","0.0","0.0","4.18","30.61","128.0","64.0","123.82","97.39","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","34035.48","0.37","0.8","0.0","4.03","0.8","3.22","0.0","0.0","0.0","0.0","7.4","30.61","128.0","64.0","120.6","97.39","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","34035.48","0.36","0.8","0.0","2.79","0.8","2.23","0.0","0.0","0.0","0.0","9.63","30.61","128.0","64.0","118.37","97.39","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","34035.48","1.06","0.8","0.0","4.12","1.06","4.35","5.88","5.88","0.0","0.0","8.1","30.61","128.0","64.0","119.9","97.39","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","34035.48","0.89","0.8","0.0","4.69","0.89","4.2","0.0","0.0","0.0","0.0","12.3","30.61","128.0","64.0","115.7","97.39","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","34035.48","0.7","0.8","0.0","5.41","0.8","4.33","0.0","0.0","0.0","0.0","16.62","30.61","128.0","64.0","111.38","97.39","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","34035.48","0.6","0.8","0.0","4.81","0.8","3.85","0.0","0.0","0.0","0.0","20.47","30.61","128.0","64.0","107.53","97.39","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","34035.48","0.56","0.8","0.0","3.69","0.8","2.95","0.03","0.03","0.0","0.0","23.39","30.61","128.0","64.0","104.61","97.39","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","34035.48","0.5","0.8","0.0","5.64","0.8","4.51","2.26","2.26","0.0","0.0","25.65","30.61","128.0","64.0","102.35","97.39","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","34035.48","0.46","0.8","0.0","5.0","0.8","4.0","0.0","0.0","0.0","0.0","29.65","30.61","128.0","64.0","98.35","97.39","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","34035.48","0.41","0.8","0.0","7.3","0.8","5.84","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","35.49","","","","","","",""
"2016.0","5.0","1.0","122.0","34035.48","0.38","0.8","0.0","5.78","0.8","4.62","0.0","0.0","0.0","0.0","4.62","30.61","128.0","64.0","123.38","97.39","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","34035.48","0.36","0.8","0.0","5.41","0.8","4.33","0.0","0.0","0.0","0.0","8.95","30.61","128.0","64.0","119.05","97.39","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","34035.48","0.35","0.8","0.0","4.5","0.8","3.6","0.0","0.0","0.0","0.0","12.55","30.61","128.0","64.0","115.45","97.39","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","34035.48","0.34","0.8","0.0","4.7","0.8","3.76","0.0","0.0","0.0","0.0","16.31","30.61","128.0","64.0","111.69","97.39","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","34035.48","0.33","0.8","0.0","2.71","0.8","2.17","0.0","0.0","0.0","0.0","18.48","30.61","128.0","64.0","109.52","97.39","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","34035.48","0.33","0.8","0.0","1.93","0.8","1.54","0.29","0.29","0.0","0.0","19.73","30.61","128.0","64.0","108.27","97.39","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","34035.48","1.13","0.8","0.0","2.26","1.13","2.55","8.01","8.01","0.0","0.0","14.28","30.61","128.0","64.0","113.72","97.39","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","34035.48","1.11","0.8","0.0","3.48","1.11","3.85","0.8","0.8","0.0","0.0","17.32","30.61","128.0","64.0","110.68","97.39","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","34035.48","0.83","0.8","0.0","4.74","0.83","3.96","0.0","0.0","0.0","0.0","21.28","30.61","128.0","64.0","106.72","97.39","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","34035.48","0.67","0.8","0.0","5.58","0.8","4.46","0.0","0.0","0.0","0.0","25.74","30.61","128.0","64.0","102.26","97.39","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","34035.48","0.57","0.8","0.0","5.92","0.8","4.74","0.0","0.0","0.0","0.0","30.48","30.61","128.0","64.0","97.52","97.39","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","34035.48","0.5","0.8","0.0","6.08","0.8","4.86","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","35.34","","","","","","",""
"2016.0","5.0","13.0","134.0","34035.48","0.45","0.8","0.0","5.61","0.8","4.49","0.0","0.0","0.0","0.0","4.49","30.61","128.0","64.0","123.51","97.39","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","34035.48","0.42","0.8","0.0","5.18","0.8","4.14","0.0","0.0","0.0","0.0","8.63","30.61","128.0","64.0","119.37","97.39","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","34035.48","0.39","0.8","0.0","5.6","0.8","4.48","0.0","0.0","0.0","0.0","13.11","30.61","128.0","64.0","114.89","97.39","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","34035.48","0.37","0.8","0.0","6.68","0.8","5.34","0.0","0.0","0.0","0.0","18.46","30.61","128.0","64.0","109.54","97.39","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","34035.48","0.34","0.8","0.0","7.63","0.8","6.1","0.0","0.0","0.0","0.0","24.56","30.61","128.0","64.0","103.44","97.39","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","34035.48","0.32","0.8","0.0","7.14","0.8","5.71","0.0","0.0","0.0","0.0","30.27","30.61","128.0","64.0","97.73","97.39","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","34035.48","0.31","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","35.37","","","","","","",""
"2016.0","5.0","20.0","141.0","34035.48","0.3","0.8","0.0","5.06","0.8","4.05","0.0","0.0","0.0","0.0","4.05","30.61","128.0","64.0","123.95","97.39","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","34035.48","0.29","0.8","0.0","3.28","0.8","2.62","0.0","0.0","0.0","0.0","6.67","30.61","128.0","64.0","121.33","97.39","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","34035.48","0.28","0.8","0.0","4.31","0.8","3.45","2.02","2.02","0.0","0.0","8.1","30.61","128.0","64.0","119.9","97.39","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","34035.48","0.28","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","12.06","30.61","128.0","64.0","115.94","97.39","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","34035.48","0.27","0.8","0.0","4.96","0.8","3.97","0.0","0.0","0.0","0.0","16.03","30.61","128.0","64.0","111.97","97.39","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","34035.48","0.26","0.8","0.0","5.37","0.8","4.3","0.0","0.0","0.0","0.0","20.32","30.61","128.0","64.0","107.68","97.39","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","34035.48","0.25","0.8","0.0","5.71","0.8","4.57","0.0","0.0","0.0","0.0","24.89","30.61","128.0","64.0","103.11","97.39","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","34035.48","0.25","0.8","0.0","6.12","0.8","4.9","0.0","0.0","0.0","0.0","29.79","30.61","128.0","64.0","98.21","97.39","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","34035.48","0.24","0.8","0.0","6.95","0.8","5.56","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","35.35","","","","","","",""
"2016.0","5.0","29.0","150.0","34035.48","0.23","0.8","0.0","6.68","0.8","5.34","0.0","0.0","0.0","0.0","5.34","30.61","128.0","64.0","122.66","97.39","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","34035.48","0.23","0.8","0.0","6.88","0.8","5.5","0.0","0.0","0.0","0.0","10.85","30.61","128.0","64.0","117.15","97.39","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","34035.48","0.22","0.8","0.0","7.18","0.8","5.74","0.0","0.0","0.0","0.0","16.59","30.61","128.0","64.0","111.41","97.39","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","34035.48","0.21","0.8","0.0","7.17","0.8","5.74","0.0","0.0","0.0","0.0","22.33","30.61","128.0","64.0","105.67","97.39","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","34035.48","0.21","0.8","0.0","7.06","0.8","5.65","0.0","0.0","0.0","0.0","27.98","30.61","128.0","64.0","100.02","97.39","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","34035.48","0.2","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","33.91","","","","","","",""
"2016.0","6.0","4.0","156.0","34035.48","0.2","0.8","0.0","5.34","0.8","4.27","0.0","0.0","0.0","0.0","4.27","30.61","128.0","64.0","123.73","97.39","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","34035.48","0.2","0.8","0.0","7.8","0.8","6.24","0.0","0.0","0.0","0.0","10.51","30.61","128.0","64.0","117.49","97.39","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","34035.48","0.19","0.8","0.0","7.29","0.8","5.83","0.0","0.0","0.0","0.0","16.34","30.61","128.0","64.0","111.66","97.39","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","34035.48","0.19","0.8","0.0","7.02","0.8","5.62","0.0","0.0","0.0","0.0","21.96","30.61","128.0","64.0","106.04","97.39","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","34035.48","0.18","0.8","0.0","6.51","0.8","5.21","0.0","0.0","0.0","0.0","27.17","30.61","128.0","64.0","100.83","97.39","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","34035.48","0.18","0.8","0.0","6.37","0.8","5.1","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","32.26","","","","","","",""
"2016.0","6.0","10.0","162.0","34035.48","0.18","0.8","0.0","6.74","0.8","5.39","0.0","0.0","0.0","0.0","5.39","30.61","128.0","64.0","122.61","97.39","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","34035.48","0.18","0.8","0.0","6.87","0.8","5.5","0.0","0.0","0.0","0.0","10.89","30.61","128.0","64.0","117.11","97.39","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","34035.48","0.17","0.8","0.0","6.87","0.8","5.5","0.0","0.0","0.0","0.0","16.38","30.61","128.0","64.0","111.62","97.39","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","34035.48","0.17","0.8","0.0","6.6","0.8","5.28","0.0","0.0","0.0","0.0","21.66","30.61","128.0","64.0","106.34","97.39","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","34035.48","0.17","0.8","0.0","6.52","0.8","5.22","0.0","0.0","0.0","0.0","26.88","30.61","128.0","64.0","101.12","97.39","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","34035.48","0.17","0.8","0.0","5.59","0.8","4.47","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","31.35","","","","","","",""
"2016.0","6.0","16.0","168.0","34035.48","0.16","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","4.42","30.61","128.0","64.0","123.58","97.39","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","34035.48","0.16","0.8","0.0","5.4","0.8","4.32","0.0","0.0","0.0","0.0","8.74","30.61","128.0","64.0","119.26","97.39","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","34035.48","0.16","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","13.81","30.61","128.0","64.0","114.19","97.39","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","34035.48","0.16","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","19.41","30.61","128.0","64.0","108.59","97.39","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","34035.48","0.16","0.8","0.0","7.63","0.8","6.1","0.0","0.0","0.0","0.0","25.51","30.61","128.0","64.0","102.49","97.39","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","34035.48","0.15","0.8","0.0","7.97","0.8","6.38","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","31.89","","","","","","",""
"2016.0","6.0","22.0","174.0","34035.48","0.15","0.8","0.0","7.9","0.8","6.32","0.0","0.0","0.0","0.0","6.32","30.61","128.0","64.0","121.68","97.39","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","34035.48","0.15","0.8","0.0","7.84","0.8","6.27","0.0","0.0","0.0","0.0","12.59","30.61","128.0","64.0","115.41","97.39","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","34035.48","0.15","0.8","0.0","7.08","0.8","5.66","0.0","0.0","0.0","0.0","18.26","30.61","128.0","64.0","109.74","97.39","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","34035.48","0.15","0.8","0.0","7.83","0.8","6.26","0.0","0.0","0.0","0.0","24.52","30.61","128.0","64.0","103.48","97.39","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","34035.48","0.14","0.8","0.0","7.73","0.8","6.18","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","30.7","","","","","","",""
"2016.0","6.0","27.0","179.0","34035.48","0.14","0.8","0.0","8.2","0.8","6.56","0.0","0.0","0.0","0.0","6.56","30.61","128.0","64.0","121.44","97.39","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","34035.48","0.14","0.8","0.0","8.11","0.8","6.49","0.0","0.0","0.0","0.0","13.05","30.61","128.0","64.0","114.95","97.39","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","34035.48","0.14","0.8","0.0","7.5","0.8","6.0","0.0","0.0","0.0","0.0","19.05","30.61","128.0","64.0","108.95","97.39","0.0","","","","","","",""
