" Daily soil water balance output for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","205.49","0.54","0.0","0.0","2.35","0.54","1.26","0.0","0.0","0.0","0.0","20.54","20.25","421.01","210.51","400.48","400.76","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","205.49","0.51","0.0","0.0","3.22","0.51","1.63","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","205.49","0.48","0.0","0.0","2.64","0.48","1.28","0.0","0.0","0.0","0.0","21.53","20.25","421.01","210.51","399.48","400.76","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","205.49","0.47","0.0","0.0","2.1","0.47","0.99","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","205.49","0.45","0.0","0.0","2.65","0.45","1.2","0.0","0.0","0.0","0.0","21.45","20.25","421.01","210.51","399.56","400.76","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","205.49","1.15","0.0","0.0","1.85","1.15","2.12","13.67","13.67","0.0","0.0","7.78","20.25","421.01","210.51","413.23","400.76","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","205.49","1.16","0.0","0.0","1.55","1.16","1.79","3.73","3.73","0.0","0.0","5.84","20.25","421.01","210.51","415.17","400.76","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","205.49","1.15","0.0","0.0","1.81","1.15","2.09","0.24","0.24","0.0","0.0","7.69","20.25","421.01","210.51","413.32","400.76","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","205.49","1.15","0.0","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","9.94","20.25","421.01","210.51","411.07","400.76","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","205.49","0.98","0.0","0.0","2.76","0.98","2.69","0.0","0.0","0.0","0.0","12.64","20.25","421.01","210.51","408.38","400.76","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","205.49","0.86","0.0","0.0","2.38","0.86","2.04","0.0","0.0","0.0","0.0","14.68","20.25","421.01","210.51","406.34","400.76","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","205.49","0.78","0.0","0.0","2.23","0.78","1.73","0.0","0.0","0.0","0.0","16.41","20.25","421.01","210.51","404.6","400.76","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","205.49","0.71","0.0","0.0","2.35","0.71","1.68","0.0","0.0","0.0","0.0","18.09","20.25","421.01","210.51","402.92","400.76","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","205.49","0.66","0.0","0.0","2.38","0.66","1.58","0.0","0.0","0.0","0.0","19.67","20.25","421.01","210.51","401.35","400.76","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","205.49","0.63","0.0","0.0","2.08","0.63","1.3","0.0","0.0","0.0","0.0","20.97","20.25","421.01","210.51","400.04","400.76","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","205.49","0.6","0.0","0.0","2.1","0.6","1.25","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","205.49","0.56","0.0","0.0","2.69","0.56","1.51","0.0","0.0","0.0","0.0","21.76","20.25","421.01","210.51","399.25","400.76","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","205.49","0.53","0.0","0.0","3.02","0.53","1.6","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","205.49","0.5","0.0","0.0","2.66","0.5","1.34","0.0","0.0","0.0","0.0","21.59","20.25","421.01","210.51","399.42","400.76","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","205.49","0.49","0.0","0.0","1.77","0.49","0.87","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","205.49","0.48","0.0","0.0","1.55","0.48","0.74","0.14","0.14","0.0","0.0","20.85","20.25","421.01","210.51","400.16","400.76","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","205.49","1.17","0.0","0.0","1.23","1.17","1.44","16.2","16.2","0.0","0.0","4.65","20.25","421.01","210.51","416.36","400.76","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","205.49","1.13","0.0","0.0","2.17","1.13","2.46","38.99","7.11","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","205.49","1.16","0.0","0.0","1.57","1.16","1.82","13.12","1.82","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","205.49","1.15","0.0","0.0","1.76","1.15","2.02","2.77","2.02","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","205.49","1.15","0.0","0.0","1.86","1.15","2.13","0.0","0.0","0.0","0.0","2.13","20.25","421.01","210.51","418.88","400.76","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","205.49","1.15","0.0","0.0","1.4","1.15","1.61","0.02","0.02","0.0","0.0","3.73","20.25","421.01","210.51","417.28","400.76","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","205.49","1.16","0.0","0.0","1.47","1.16","1.71","14.58","5.44","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","205.49","1.16","0.0","0.0","1.54","1.16","1.78","12.59","1.78","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","205.49","1.17","0.0","0.0","1.15","1.17","1.35","14.06","1.35","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","205.49","1.12","0.0","0.0","2.55","1.12","2.85","12.93","2.85","0.0","0.0","0.0","20.25","421.01","210.51","421.01","400.76","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","205.49","1.11","0.0","0.0","3.07","1.11","3.4","0.0","0.0","0.0","0.0","3.4","20.25","421.01","210.51","417.61","400.76","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","205.49","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.28","20.25","421.01","210.51","414.73","400.76","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","205.49","0.79","0.0","0.0","3.16","0.79","2.5","0.0","0.0","0.0","0.0","8.78","20.25","421.01","210.51","412.23","400.76","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","205.49","0.7","0.0","0.0","3.19","0.7","2.24","0.0","0.0","0.0","0.0","11.02","20.25","421.01","210.51","409.99","400.76","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","205.49","0.64","0.0","0.0","3.17","0.64","2.02","0.0","0.0","0.0","0.0","13.04","20.25","421.01","210.51","407.97","400.76","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","205.49","0.6","0.0","0.0","2.2","0.6","1.33","0.0","0.0","0.0","0.0","14.37","20.25","421.01","210.51","406.64","400.76","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","205.49","0.57","0.0","0.0","2.32","0.57","1.33","1.54","1.54","0.0","0.0","14.16","20.25","421.01","210.51","406.85","400.76","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","205.49","0.54","0.0","0.0","2.92","0.54","1.57","1.83","1.83","0.0","0.0","13.9","20.25","421.01","210.51","407.11","400.76","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","205.49","0.51","0.0","0.0","3.36","0.51","1.7","0.0","0.0","0.0","0.0","15.61","20.25","421.01","210.51","405.41","400.76","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","205.49","0.48","0.0","0.0","3.2","0.48","1.54","0.0","0.0","0.0","0.0","17.14","20.25","421.01","210.51","403.87","400.76","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","205.49","0.45","0.0","0.0","3.71","0.45","1.69","0.0","0.0","0.0","0.0","18.83","20.25","421.01","210.51","402.18","400.76","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","205.49","0.43","0.0","0.0","4.47","0.43","1.91","0.0","0.0","0.0","0.0","20.74","20.25","421.01","210.51","400.27","400.76","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","205.49","0.41","0.0","0.0","3.43","0.41","1.41","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","205.49","0.39","0.0","0.0","3.53","0.39","1.39","0.0","0.0","0.0","0.0","21.64","20.25","421.01","210.51","399.37","400.76","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","205.49","0.38","0.0","0.0","3.82","0.38","1.45","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","205.49","0.37","0.0","0.0","3.64","0.37","1.33","0.0","0.0","0.0","0.0","21.58","20.25","421.01","210.51","399.43","400.76","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","205.49","0.35","0.0","0.0","3.78","0.35","1.34","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","205.49","0.34","0.0","0.0","3.67","0.34","1.26","0.0","0.0","0.0","0.0","21.51","20.25","421.01","210.51","399.5","400.76","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","205.49","0.33","0.0","0.0","3.74","0.33","1.25","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","205.49","0.32","0.0","0.0","4.08","0.32","1.32","0.0","0.0","0.0","0.0","21.57","20.25","421.01","210.51","399.44","400.76","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","205.49","0.31","0.0","0.0","4.22","0.31","1.33","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","205.49","0.3","0.0","0.0","5.72","0.3","1.73","0.0","0.0","0.0","0.0","21.98","20.25","421.01","210.51","399.04","400.76","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","205.49","0.29","0.0","0.0","4.95","0.29","1.45","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","205.49","0.29","0.0","0.0","4.34","0.29","1.24","0.0","0.0","0.0","0.0","21.49","20.25","421.01","210.51","399.52","400.76","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","205.49","0.28","0.0","0.0","3.63","0.28","1.02","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","205.49","0.28","0.0","0.0","1.42","0.28","0.39","1.32","1.32","0.0","0.0","19.32","20.25","421.01","210.51","401.69","400.76","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","205.49","1.13","0.0","0.0","2.26","1.13","2.55","9.35","9.35","0.0","0.0","12.53","20.25","421.01","210.51","408.49","400.76","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","205.49","1.11","0.0","0.0","3.33","1.11","3.69","0.43","0.43","0.0","0.0","15.79","20.25","421.01","210.51","405.23","400.76","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","205.49","0.9","0.0","0.0","3.61","0.9","3.24","0.0","0.0","0.0","0.0","19.03","20.25","421.01","210.51","401.98","400.76","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","205.49","0.74","0.0","0.0","4.28","0.74","3.16","0.0","0.0","0.0","0.0","22.19","20.25","421.01","210.51","398.83","400.76","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","205.49","0.65","0.0","0.0","4.01","0.65","2.59","0.67","0.67","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","205.49","0.56","0.55","0.0","5.41","0.56","3.04","0.0","0.0","0.0","0.0","23.29","97.36","421.01","210.51","397.73","323.65","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","205.49","0.5","0.56","0.0","5.5","0.56","3.06","0.0","0.0","0.0","0.0","26.34","97.36","421.01","210.51","394.67","323.65","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","205.49","0.46","0.56","0.0","4.75","0.56","2.67","0.0","0.0","0.0","0.0","29.01","97.36","421.01","210.51","392.0","323.65","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","205.49","0.43","0.57","0.0","5.12","0.57","2.91","0.0","0.0","0.0","0.0","31.92","97.36","421.01","210.51","389.09","323.65","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","205.49","0.4","0.57","0.0","5.07","0.57","2.91","0.0","0.0","0.0","0.0","34.83","97.36","421.01","210.51","386.18","323.65","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","205.49","0.38","0.58","0.0","5.26","0.58","3.05","0.0","0.0","0.0","0.0","37.88","97.36","421.01","210.51","383.13","323.65","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","205.49","0.37","0.59","0.0","3.95","0.59","2.31","0.0","0.0","0.0","0.0","40.2","97.36","421.01","210.51","380.82","323.65","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","205.49","0.36","0.59","0.0","2.78","0.59","1.65","0.28","0.28","0.0","0.0","41.56","97.36","421.01","210.51","379.45","323.65","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","205.49","1.06","0.6","0.0","3.98","1.06","4.22","6.11","6.11","0.0","0.0","39.68","97.36","421.01","210.51","381.34","323.65","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","205.49","0.92","0.6","0.0","4.44","0.92","4.08","0.0","0.0","0.0","0.0","43.76","97.36","421.01","210.51","377.26","323.65","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","205.49","0.71","0.61","0.0","5.39","0.71","3.84","0.0","0.0","0.0","0.0","47.59","97.36","421.01","210.51","373.42","323.65","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","205.49","0.62","0.62","0.0","4.58","0.62","2.83","0.0","0.0","0.0","0.0","50.42","97.36","421.01","210.51","370.59","323.65","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","205.49","0.57","0.62","0.0","3.62","0.62","2.25","0.0","0.0","0.0","0.0","52.67","97.36","421.01","210.51","368.34","323.65","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","205.49","0.5","0.63","0.0","5.82","0.63","3.65","4.55","4.55","0.0","0.0","51.78","97.36","421.01","210.51","369.24","323.65","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","205.49","0.46","0.63","0.0","5.17","0.63","3.28","0.0","0.0","0.0","0.0","55.05","97.36","421.01","210.51","365.96","323.65","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","205.49","0.41","0.64","0.0","7.43","0.64","4.76","0.03","0.03","0.0","0.0","59.78","97.36","421.01","210.51","361.23","323.65","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","205.49","0.38","0.65","0.0","5.97","0.65","3.86","0.0","0.0","0.0","0.0","63.64","97.36","421.01","210.51","357.38","323.65","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","205.49","0.36","0.65","0.0","5.45","0.65","3.55","0.0","0.0","0.0","0.0","67.19","97.36","421.01","210.51","353.82","323.65","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","205.49","0.35","0.66","0.0","4.6","0.66","3.03","0.0","0.0","0.0","0.0","70.22","97.36","421.01","210.51","350.8","323.65","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","205.49","0.33","0.66","0.0","4.92","0.66","3.27","0.0","0.0","0.0","0.0","73.48","97.36","421.01","210.51","347.53","323.65","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","205.49","0.33","0.67","0.0","2.31","0.67","1.55","0.16","0.16","0.0","0.0","74.87","97.36","421.01","210.51","346.14","323.65","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","205.49","0.33","0.68","0.0","2.18","0.68","1.47","1.17","1.17","0.0","0.0","75.17","97.36","421.01","210.51","345.84","323.65","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","205.49","0.32","0.68","0.0","2.15","0.68","1.47","1.04","1.04","0.0","0.0","75.6","97.36","421.01","210.51","345.41","323.65","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","205.49","0.31","0.69","0.0","3.26","0.69","2.24","1.91","1.91","0.0","0.0","75.93","97.36","421.01","210.51","345.08","323.65","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","205.49","0.3","0.69","0.0","4.71","0.69","3.27","0.0","0.0","0.0","0.0","79.2","97.36","421.01","210.51","341.81","323.65","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","205.49","0.29","0.7","0.0","5.78","0.7","4.05","0.0","0.0","0.0","0.0","83.25","97.36","421.01","210.51","337.77","323.65","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","205.49","0.28","0.71","0.0","6.12","0.71","4.32","0.0","0.0","0.0","0.0","87.57","97.36","421.01","210.51","333.44","323.65","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","205.49","0.27","0.71","0.0","6.17","0.71","4.39","0.0","0.0","0.0","0.0","91.96","97.36","421.01","210.51","329.05","323.65","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","205.49","0.26","0.72","0.0","5.78","0.72","4.15","0.0","0.0","0.0","0.0","96.11","97.36","421.01","210.51","324.9","323.65","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","205.49","0.26","0.72","0.0","5.15","0.72","3.73","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","99.84","","","","","","",""
"2016.0","5.0","15.0","136.0","205.49","0.25","0.73","0.0","5.59","0.73","4.08","0.0","0.0","0.0","0.0","4.08","97.36","421.01","210.51","416.93","323.65","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","205.49","0.24","0.74","0.0","6.64","0.74","4.89","0.0","0.0","0.0","0.0","8.97","97.36","421.01","210.51","412.05","323.65","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","205.49","0.23","0.74","0.0","7.82","0.74","5.8","0.0","0.0","0.0","0.0","14.77","97.36","421.01","210.51","406.24","323.65","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","205.49","0.23","0.75","0.0","7.09","0.75","5.3","0.0","0.0","0.0","0.0","20.07","97.36","421.01","210.51","400.94","323.65","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","205.49","0.22","0.75","0.0","6.34","0.75","4.78","0.0","0.0","0.0","0.0","24.85","97.36","421.01","210.51","396.16","323.65","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","205.49","0.22","0.76","0.0","4.71","0.76","3.58","0.0","0.0","0.0","0.0","28.43","97.36","421.01","210.51","392.58","323.65","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","205.49","0.22","0.77","0.0","4.08","0.77","3.13","3.3","3.3","0.0","0.0","28.26","97.36","421.01","210.51","392.75","323.65","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","205.49","0.21","0.77","0.0","4.38","0.77","3.38","0.7","0.7","0.0","0.0","30.94","97.36","421.01","210.51","390.07","323.65","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","205.49","0.21","0.78","0.0","4.66","0.78","3.63","0.0","0.0","0.0","0.0","34.57","97.36","421.01","210.51","386.45","323.65","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","205.49","0.21","0.78","0.0","4.86","0.78","3.81","0.0","0.0","0.0","0.0","38.38","97.36","421.01","210.51","382.64","323.65","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","205.49","0.2","0.79","0.0","5.33","0.79","4.21","0.0","0.0","0.0","0.0","42.59","97.36","421.01","210.51","378.43","323.65","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","205.49","0.2","0.8","0.0","5.8","0.8","4.62","0.0","0.0","0.0","0.0","47.2","97.36","421.01","210.51","373.81","323.65","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","205.49","0.2","0.8","0.0","6.09","0.8","4.88","0.0","0.0","0.0","0.0","52.09","97.36","421.01","210.51","368.93","323.65","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","205.49","0.19","0.81","0.0","7.02","0.81","5.67","0.0","0.0","0.0","0.0","57.76","97.36","421.01","210.51","363.25","323.65","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","205.49","0.19","0.81","0.0","6.61","0.81","5.38","0.0","0.0","0.0","0.0","63.14","97.36","421.01","210.51","357.87","323.65","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","205.49","0.19","0.82","0.0","6.86","0.82","5.63","0.0","0.0","0.0","0.0","68.77","97.36","421.01","210.51","352.25","323.65","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","205.49","0.18","0.83","0.0","7.19","0.83","5.94","0.0","0.0","0.0","0.0","74.7","97.36","421.01","210.51","346.31","323.65","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","205.49","0.18","0.83","0.0","7.38","0.83","6.14","0.0","0.0","0.0","0.0","80.84","97.36","421.01","210.51","340.17","323.65","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","205.49","0.18","0.84","0.0","6.92","0.84","5.8","0.0","0.0","0.0","0.0","86.64","97.36","421.01","210.51","334.37","323.65","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","205.49","0.17","0.84","0.0","7.41","0.84","6.25","0.0","0.0","0.0","0.0","92.9","97.36","421.01","210.51","328.12","323.65","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","205.49","0.17","0.85","0.0","4.7","0.85","4.0","0.0","0.0","0.0","0.0","96.89","97.36","421.01","210.51","324.12","323.65","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","205.49","0.17","0.86","0.0","7.65","0.86","6.55","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","103.44","","","","","","",""
"2016.0","6.0","6.0","158.0","205.49","0.17","0.86","0.0","7.32","0.86","6.31","0.0","0.0","0.0","0.0","6.31","97.36","421.01","210.51","414.7","323.65","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","205.49","0.16","0.87","0.0","6.88","0.87","5.97","0.0","0.0","0.0","0.0","12.28","97.36","421.01","210.51","408.73","323.65","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","205.49","0.16","0.87","0.0","6.66","0.87","5.82","0.0","0.0","0.0","0.0","18.1","97.36","421.01","210.51","402.91","323.65","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","205.49","0.16","0.88","0.0","6.33","0.88","5.57","0.0","0.0","0.0","0.0","23.67","97.36","421.01","210.51","397.34","323.65","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","205.49","0.16","0.89","0.0","6.63","0.89","5.87","0.0","0.0","0.0","0.0","29.55","97.36","421.01","210.51","391.47","323.65","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","205.49","0.15","0.89","0.0","6.93","0.89","6.18","0.0","0.0","0.0","0.0","35.73","97.36","421.01","210.51","385.29","323.65","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","205.49","0.15","0.9","0.0","7.07","0.9","6.35","0.0","0.0","0.0","0.0","42.08","97.36","421.01","210.51","378.94","323.65","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","205.49","0.15","0.9","0.0","6.74","0.9","6.09","0.0","0.0","0.0","0.0","48.17","97.36","421.01","210.51","372.84","323.65","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","205.49","0.15","0.91","0.0","6.25","0.91","5.69","0.0","0.0","0.0","0.0","53.86","97.36","421.01","210.51","367.16","323.65","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","205.49","0.15","0.92","0.0","5.13","0.92","4.7","0.0","0.0","0.0","0.0","58.56","97.36","421.01","210.51","362.46","323.65","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","205.49","0.15","0.92","0.0","5.19","0.92","4.79","0.0","0.0","0.0","0.0","63.34","97.36","421.01","210.51","357.67","323.65","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","205.49","0.15","0.93","0.0","4.72","0.93","4.38","0.0","0.0","0.0","0.0","67.72","97.36","421.01","210.51","353.29","323.65","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","205.49","0.14","0.93","0.0","6.09","0.93","5.69","0.0","0.0","0.0","0.0","73.41","97.36","421.01","210.51","347.6","323.65","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","205.49","0.14","0.94","0.0","6.77","0.94","6.36","0.0","0.0","0.0","0.0","79.77","97.36","421.01","210.51","341.24","323.65","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","205.49","0.14","0.95","0.0","7.37","0.95","6.97","0.0","0.0","0.0","0.0","86.75","97.36","421.01","210.51","334.27","323.65","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","205.49","0.14","0.95","0.0","7.68","0.95","7.31","0.0","0.0","0.0","0.0","94.06","97.36","421.01","210.51","326.96","323.65","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","205.49","0.14","0.96","0.0","7.83","0.96","7.5","0.0","0.0","0.0","0.0","0.0","97.36","421.01","210.51","421.01","323.65","101.56","","","","","","",""
"2016.0","6.0","23.0","175.0","205.49","0.14","0.96","0.0","7.67","0.96","7.39","0.0","0.0","0.0","0.0","7.39","97.36","421.01","210.51","413.62","323.65","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","205.49","0.13","0.97","0.0","7.0","0.97","6.79","0.0","0.0","0.0","0.0","14.18","97.36","421.01","210.51","406.83","323.65","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","205.49","0.13","0.98","0.0","7.78","0.98","7.59","0.0","0.0","0.0","0.0","21.78","97.36","421.01","210.51","399.24","323.65","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","205.49","0.13","0.98","0.0","7.64","0.98","7.5","0.0","0.0","0.0","0.0","29.28","97.36","421.01","210.51","391.73","323.65","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","205.49","0.13","0.99","0.0","8.07","0.99","7.97","0.0","0.0","0.0","0.0","37.25","97.36","421.01","210.51","383.76","323.65","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","205.49","0.13","0.99","0.0","8.11","0.99","8.06","0.0","0.0","0.0","0.0","45.31","97.36","421.01","210.51","375.7","323.65","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","205.49","0.13","1.0","0.0","7.53","1.0","7.53","0.0","0.0","0.0","0.0","52.84","97.36","421.01","210.51","368.17","323.65","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","205.49","0.13","1.01","0.0","7.46","1.01","7.5","0.0","0.0","0.0","0.0","60.35","97.36","421.01","210.51","360.66","323.65","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","205.49","0.13","1.01","0.0","7.37","1.01","7.46","0.0","0.0","0.0","0.0","67.81","97.36","421.01","210.51","353.21","323.65","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","205.49","0.12","1.02","0.0","7.33","1.02","7.46","0.0","0.0","0.0","0.0","75.27","97.36","421.01","210.51","345.74","323.65","0.0","","","","","","",""
