" Daily soil water balance output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","1704.65","0.58","0.85","0.0","1.8","0.85","1.53","0.0","0.0","0.0","0.0","20.83","56.99","241.4","120.7","220.57","184.42","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","1704.65","0.56","0.85","0.0","1.89","0.85","1.61","0.0","0.0","0.0","0.0","22.44","56.99","241.4","120.7","218.96","184.42","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1704.65","0.53","0.85","0.0","2.32","0.85","1.97","0.0","0.0","0.0","0.0","24.41","56.99","241.4","120.7","216.99","184.42","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1704.65","0.51","0.85","0.0","2.94","0.85","2.5","0.0","0.0","0.0","0.0","26.91","56.99","241.4","120.7","214.49","184.42","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1704.65","0.49","0.85","0.0","2.4","0.85","2.04","0.0","0.0","0.0","0.0","28.95","56.99","241.4","120.7","212.45","184.42","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1704.65","0.47","0.85","0.0","2.18","0.85","1.85","0.0","0.0","0.0","0.0","30.8","56.99","241.4","120.7","210.6","184.42","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1704.65","0.45","0.85","0.0","2.89","0.85","2.46","0.0","0.0","0.0","0.0","33.26","56.99","241.4","120.7","208.14","184.42","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1704.65","1.14","0.85","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","22.87","56.99","241.4","120.7","218.53","184.42","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1704.65","1.15","0.85","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","23.24","56.99","241.4","120.7","218.16","184.42","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1704.65","1.15","0.85","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","25.28","56.99","241.4","120.7","216.12","184.42","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1704.65","1.01","0.85","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","27.34","56.99","241.4","120.7","214.07","184.42","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1704.65","0.87","0.85","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","29.66","56.99","241.4","120.7","211.75","184.42","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1704.65","0.78","0.85","0.0","2.49","0.85","2.12","0.0","0.0","0.0","0.0","31.77","56.99","241.4","120.7","209.63","184.42","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1704.65","0.72","0.85","0.0","2.29","0.85","1.95","0.0","0.0","0.0","0.0","33.72","56.99","241.4","120.7","207.68","184.42","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1704.65","0.66","0.85","0.0","2.39","0.85","2.03","0.0","0.0","0.0","0.0","35.75","56.99","241.4","120.7","205.65","184.42","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1704.65","0.62","0.85","0.0","2.46","0.85","2.09","0.0","0.0","0.0","0.0","37.84","56.99","241.4","120.7","203.56","184.42","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1704.65","0.59","0.85","0.0","2.45","0.85","2.08","0.0","0.0","0.0","0.0","39.92","56.99","241.4","120.7","201.48","184.42","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1704.65","0.56","0.85","0.0","2.08","0.85","1.77","0.0","0.0","0.0","0.0","41.69","56.99","241.4","120.7","199.71","184.42","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1704.65","0.53","0.85","0.0","2.7","0.85","2.3","0.0","0.0","0.0","0.0","43.99","56.99","241.4","120.7","197.42","184.42","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1704.65","0.5","0.85","0.0","3.07","0.85","2.61","0.0","0.0","0.0","0.0","46.6","56.99","241.4","120.7","194.81","184.42","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1704.65","0.48","0.85","0.0","2.66","0.85","2.26","0.0","0.0","0.0","0.0","48.86","56.99","241.4","120.7","192.54","184.42","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1704.65","0.47","0.85","0.0","2.01","0.85","1.71","0.0","0.0","0.0","0.0","50.57","56.99","241.4","120.7","190.84","184.42","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1704.65","0.46","0.85","0.0","1.63","0.85","1.39","0.0","0.0","0.0","0.0","51.95","56.99","241.4","120.7","189.45","184.42","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1704.65","1.17","0.85","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","43.93","56.99","241.4","120.7","197.47","184.42","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1704.65","1.13","0.85","0.0","2.24","1.13","2.53","23.66","23.66","0.0","0.0","22.8","56.99","241.4","120.7","218.6","184.42","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1704.65","1.16","0.85","0.0","1.43","1.16","1.66","16.86","16.86","0.0","0.0","7.6","56.99","241.4","120.7","233.8","184.42","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1704.65","1.14","0.85","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","7.63","56.99","241.4","120.7","233.77","184.42","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1704.65","1.14","0.85","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","10.09","56.99","241.4","120.7","231.31","184.42","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1704.65","1.14","0.85","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","11.7","56.99","241.4","120.7","229.7","184.42","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1704.65","1.16","0.85","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","10.99","56.99","241.4","120.7","230.41","184.42","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1704.65","1.14","0.85","0.0","1.94","1.14","2.22","10.13","10.13","0.0","0.0","3.08","56.99","241.4","120.7","238.32","184.42","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1704.65","1.17","0.85","0.0","1.23","1.17","1.44","5.53","4.52","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1704.65","1.12","0.85","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1704.65","1.11","0.85","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","56.99","241.4","120.7","238.03","184.42","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1704.65","0.93","0.85","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","56.99","241.4","120.7","235.13","184.42","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1704.65","0.79","0.85","0.0","3.15","0.85","2.68","0.0","0.0","0.0","0.0","8.95","56.99","241.4","120.7","232.45","184.42","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1704.65","0.7","0.85","0.0","3.12","0.85","2.65","0.0","0.0","0.0","0.0","11.6","56.99","241.4","120.7","229.8","184.42","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1704.65","0.64","0.85","0.0","3.12","0.85","2.65","0.0","0.0","0.0","0.0","14.25","56.99","241.4","120.7","227.15","184.42","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1704.65","0.6","0.85","0.0","2.58","0.85","2.19","0.0","0.0","0.0","0.0","16.44","56.99","241.4","120.7","224.96","184.42","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1704.65","0.57","0.85","0.0","2.43","0.85","2.07","1.04","1.04","0.0","0.0","17.47","56.99","241.4","120.7","223.93","184.42","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1704.65","0.53","0.85","0.0","3.06","0.85","2.6","0.84","0.84","0.0","0.0","19.23","56.99","241.4","120.7","222.17","184.42","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1704.65","0.5","0.85","0.0","3.41","0.85","2.9","0.0","0.0","0.0","0.0","22.13","56.99","241.4","120.7","219.27","184.42","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1704.65","0.48","0.85","0.0","3.28","0.85","2.79","0.0","0.0","0.0","0.0","24.92","56.99","241.4","120.7","216.48","184.42","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1704.65","0.45","0.85","0.0","3.68","0.85","3.13","0.0","0.0","0.0","0.0","28.04","56.99","241.4","120.7","213.36","184.42","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1704.65","0.43","0.85","0.0","4.3","0.85","3.66","0.0","0.0","0.0","0.0","31.7","56.99","241.4","120.7","209.7","184.42","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1704.65","0.41","0.85","0.0","3.59","0.85","3.05","0.0","0.0","0.0","0.0","34.75","56.99","241.4","120.7","206.65","184.42","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1704.65","0.39","0.85","0.0","3.48","0.85","2.96","0.0","0.0","0.0","0.0","37.71","56.99","241.4","120.7","203.69","184.42","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1704.65","0.38","0.85","0.0","3.78","0.85","3.21","0.01","0.01","0.0","0.0","40.91","56.99","241.4","120.7","200.49","184.42","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1704.65","0.37","0.85","0.0","3.59","0.85","3.05","0.0","0.0","0.0","0.0","43.96","56.99","241.4","120.7","197.44","184.42","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1704.65","0.35","0.85","0.0","3.81","0.85","3.24","0.0","0.0","0.0","0.0","47.2","56.99","241.4","120.7","194.2","184.42","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1704.65","0.34","0.85","0.0","3.73","0.85","3.17","0.0","0.0","0.0","0.0","50.37","56.99","241.4","120.7","191.03","184.42","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1704.65","0.33","0.85","0.0","3.81","0.85","3.24","0.0","0.0","0.0","0.0","53.61","56.99","241.4","120.7","187.79","184.42","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1704.65","0.32","0.85","0.0","4.13","0.85","3.51","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","57.12","","","","","","",""
"2016.0","4.0","4.0","95.0","1704.65","0.31","0.85","0.0","4.33","0.85","3.68","0.0","0.0","0.0","0.0","3.68","56.99","241.4","120.7","237.72","184.42","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1704.65","0.3","0.85","0.0","5.51","0.85","4.68","0.0","0.0","0.0","0.0","8.36","56.99","241.4","120.7","233.04","184.42","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1704.65","0.29","0.85","0.0","4.85","0.85","4.12","0.0","0.0","0.0","0.0","12.49","56.99","241.4","120.7","228.92","184.42","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1704.65","0.28","0.85","0.0","4.26","0.85","3.62","0.0","0.0","0.0","0.0","16.11","56.99","241.4","120.7","225.29","184.42","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1704.65","0.28","0.85","0.0","3.38","0.85","2.87","0.01","0.01","0.0","0.0","18.97","56.99","241.4","120.7","222.43","184.42","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1704.65","1.16","0.85","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","12.62","56.99","241.4","120.7","228.79","184.42","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1704.65","1.14","0.85","0.0","2.05","1.14","2.33","30.23","14.95","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1704.65","1.12","0.85","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","56.99","241.4","120.7","238.75","184.42","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1704.65","0.94","0.85","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","56.99","241.4","120.7","235.71","184.42","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1704.65","0.76","0.85","0.0","4.22","0.85","3.59","0.0","0.0","0.0","0.0","9.28","56.99","241.4","120.7","232.13","184.42","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1704.65","0.66","0.85","0.0","4.17","0.85","3.54","1.61","1.61","0.0","0.0","11.21","56.99","241.4","120.7","230.19","184.42","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1704.65","0.57","0.85","0.0","5.48","0.85","4.66","0.0","0.0","0.0","0.0","15.87","56.99","241.4","120.7","225.53","184.42","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1704.65","0.51","0.85","0.0","5.16","0.85","4.39","0.0","0.0","0.0","0.0","20.25","56.99","241.4","120.7","221.15","184.42","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1704.65","0.47","0.85","0.0","4.85","0.85","4.12","0.0","0.0","0.0","0.0","24.38","56.99","241.4","120.7","217.02","184.42","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1704.65","0.44","0.85","0.0","5.18","0.85","4.4","0.0","0.0","0.0","0.0","28.78","56.99","241.4","120.7","212.62","184.42","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1704.65","0.41","0.85","0.0","4.94","0.85","4.2","0.0","0.0","0.0","0.0","32.98","56.99","241.4","120.7","208.42","184.42","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1704.65","0.39","0.85","0.0","5.19","0.85","4.41","0.0","0.0","0.0","0.0","37.39","56.99","241.4","120.7","204.01","184.42","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1704.65","0.37","0.85","0.0","3.95","0.85","3.36","0.0","0.0","0.0","0.0","40.75","56.99","241.4","120.7","200.65","184.42","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1704.65","0.36","0.85","0.0","2.76","0.85","2.35","0.01","0.01","0.0","0.0","43.08","56.99","241.4","120.7","198.32","184.42","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1704.65","1.06","0.85","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","41.48","56.99","241.4","120.7","199.92","184.42","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1704.65","0.9","0.85","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","45.65","56.99","241.4","120.7","195.76","184.42","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1704.65","0.7","0.85","0.0","5.42","0.85","4.61","0.0","0.0","0.0","0.0","50.25","56.99","241.4","120.7","191.15","184.42","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1704.65","0.61","0.85","0.0","4.78","0.85","4.06","0.0","0.0","0.0","0.0","54.32","56.99","241.4","120.7","187.09","184.42","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1704.65","0.56","0.85","0.0","3.73","0.85","3.17","0.04","0.04","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","57.45","","","","","","",""
"2016.0","4.0","28.0","119.0","1704.65","0.5","0.85","0.0","5.66","0.85","4.81","3.4","3.4","0.0","0.0","1.41","56.99","241.4","120.7","239.99","184.42","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1704.65","0.46","0.85","0.0","5.01","0.85","4.26","0.0","0.0","0.0","0.0","5.67","56.99","241.4","120.7","235.73","184.42","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1704.65","0.41","0.85","0.0","7.32","0.85","6.22","0.0","0.0","0.0","0.0","11.89","56.99","241.4","120.7","229.51","184.42","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1704.65","0.38","0.85","0.0","5.79","0.85","4.92","0.0","0.0","0.0","0.0","16.81","56.99","241.4","120.7","224.59","184.42","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1704.65","0.36","0.85","0.0","5.39","0.85","4.58","0.0","0.0","0.0","0.0","21.39","56.99","241.4","120.7","220.01","184.42","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1704.65","0.35","0.85","0.0","4.47","0.85","3.8","0.0","0.0","0.0","0.0","25.19","56.99","241.4","120.7","216.21","184.42","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1704.65","0.34","0.85","0.0","4.71","0.85","4.0","0.0","0.0","0.0","0.0","29.2","56.99","241.4","120.7","212.2","184.42","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1704.65","0.33","0.85","0.0","2.67","0.85","2.27","0.0","0.0","0.0","0.0","31.47","56.99","241.4","120.7","209.93","184.42","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1704.65","0.33","0.85","0.0","1.97","0.85","1.67","0.26","0.26","0.0","0.0","32.88","56.99","241.4","120.7","208.52","184.42","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1704.65","1.13","0.85","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","28.2","56.99","241.4","120.7","213.2","184.42","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1704.65","1.11","0.85","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","31.21","56.99","241.4","120.7","210.19","184.42","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1704.65","0.84","0.85","0.0","4.7","0.85","4.0","0.0","0.0","0.0","0.0","35.2","56.99","241.4","120.7","206.2","184.42","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1704.65","0.67","0.85","0.0","5.58","0.85","4.74","0.0","0.0","0.0","0.0","39.95","56.99","241.4","120.7","201.45","184.42","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1704.65","0.57","0.85","0.0","5.92","0.85","5.03","0.0","0.0","0.0","0.0","44.98","56.99","241.4","120.7","196.42","184.42","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","1704.65","0.5","0.85","0.0","6.04","0.85","5.13","0.0","0.0","0.0","0.0","50.11","56.99","241.4","120.7","191.29","184.42","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1704.65","0.46","0.85","0.0","5.58","0.85","4.74","0.0","0.0","0.0","0.0","54.86","56.99","241.4","120.7","186.55","184.42","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1704.65","0.42","0.85","0.0","5.14","0.85","4.37","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","59.23","","","","","","",""
"2016.0","5.0","15.0","136.0","1704.65","0.4","0.85","0.0","5.58","0.85","4.74","0.0","0.0","0.0","0.0","4.74","56.99","241.4","120.7","236.66","184.42","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1704.65","0.37","0.85","0.0","6.65","0.85","5.65","0.0","0.0","0.0","0.0","10.4","56.99","241.4","120.7","231.01","184.42","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1704.65","0.34","0.85","0.0","7.63","0.85","6.49","0.0","0.0","0.0","0.0","16.88","56.99","241.4","120.7","224.52","184.42","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1704.65","0.32","0.85","0.0","7.1","0.85","6.04","0.0","0.0","0.0","0.0","22.92","56.99","241.4","120.7","218.49","184.42","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1704.65","0.31","0.85","0.0","6.31","0.85","5.36","0.0","0.0","0.0","0.0","28.28","56.99","241.4","120.7","213.12","184.42","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1704.65","0.3","0.85","0.0","5.02","0.85","4.27","0.0","0.0","0.0","0.0","32.55","56.99","241.4","120.7","208.86","184.42","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1704.65","0.29","0.85","0.0","3.47","0.85","2.95","0.0","0.0","0.0","0.0","35.5","56.99","241.4","120.7","205.91","184.42","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1704.65","0.28","0.85","0.0","4.27","0.85","3.63","1.71","1.71","0.0","0.0","37.42","56.99","241.4","120.7","203.99","184.42","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1704.65","0.28","0.85","0.0","4.87","0.85","4.14","0.0","0.0","0.0","0.0","41.56","56.99","241.4","120.7","199.85","184.42","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1704.65","0.27","0.85","0.0","4.92","0.85","4.18","0.0","0.0","0.0","0.0","45.74","56.99","241.4","120.7","195.66","184.42","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1704.65","0.26","0.85","0.0","5.35","0.85","4.55","0.0","0.0","0.0","0.0","50.28","56.99","241.4","120.7","191.12","184.42","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","1704.65","0.25","0.85","0.0","5.71","0.85","4.85","0.0","0.0","0.0","0.0","55.14","56.99","241.4","120.7","186.26","184.42","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1704.65","0.25","0.85","0.0","6.09","0.85","5.18","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","60.31","","","","","","",""
"2016.0","5.0","28.0","149.0","1704.65","0.24","0.85","0.0","6.94","0.85","5.9","0.0","0.0","0.0","0.0","5.9","56.99","241.4","120.7","235.5","184.42","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1704.65","0.23","0.85","0.0","6.63","0.85","5.64","0.0","0.0","0.0","0.0","11.53","56.99","241.4","120.7","229.87","184.42","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1704.65","0.23","0.85","0.0","6.85","0.85","5.82","0.0","0.0","0.0","0.0","17.36","56.99","241.4","120.7","224.04","184.42","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1704.65","0.22","0.85","0.0","7.16","0.85","6.09","0.0","0.0","0.0","0.0","23.44","56.99","241.4","120.7","217.96","184.42","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1704.65","0.21","0.85","0.0","7.16","0.85","6.09","0.0","0.0","0.0","0.0","29.53","56.99","241.4","120.7","211.87","184.42","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1704.65","0.21","0.85","0.0","7.01","0.85","5.96","0.0","0.0","0.0","0.0","35.49","56.99","241.4","120.7","205.91","184.42","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","1704.65","0.2","0.85","0.0","7.38","0.85","6.27","0.0","0.0","0.0","0.0","41.76","56.99","241.4","120.7","199.64","184.42","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1704.65","0.2","0.85","0.0","5.17","0.85","4.39","0.0","0.0","0.0","0.0","46.16","56.99","241.4","120.7","195.25","184.42","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1704.65","0.2","0.85","0.0","7.76","0.85","6.6","0.0","0.0","0.0","0.0","52.75","56.99","241.4","120.7","188.65","184.42","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","1704.65","0.19","0.85","0.0","7.24","0.85","6.15","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","58.91","","","","","","",""
"2016.0","6.0","7.0","159.0","1704.65","0.19","0.85","0.0","6.94","0.85","5.9","0.0","0.0","0.0","0.0","5.9","56.99","241.4","120.7","235.5","184.42","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1704.65","0.19","0.85","0.0","6.51","0.85","5.53","0.0","0.0","0.0","0.0","11.43","56.99","241.4","120.7","229.97","184.42","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1704.65","0.18","0.85","0.0","6.32","0.85","5.37","0.0","0.0","0.0","0.0","16.8","56.99","241.4","120.7","224.6","184.42","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1704.65","0.18","0.85","0.0","6.71","0.85","5.7","0.0","0.0","0.0","0.0","22.51","56.99","241.4","120.7","218.89","184.42","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1704.65","0.18","0.85","0.0","6.85","0.85","5.82","0.0","0.0","0.0","0.0","28.33","56.99","241.4","120.7","213.07","184.42","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1704.65","0.17","0.85","0.0","6.87","0.85","5.84","0.0","0.0","0.0","0.0","34.17","56.99","241.4","120.7","207.23","184.42","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1704.65","0.17","0.85","0.0","6.59","0.85","5.6","0.0","0.0","0.0","0.0","39.77","56.99","241.4","120.7","201.63","184.42","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1704.65","0.17","0.85","0.0","6.48","0.85","5.51","0.0","0.0","0.0","0.0","45.28","56.99","241.4","120.7","196.12","184.42","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","1704.65","0.17","0.85","0.0","5.54","0.85","4.71","0.0","0.0","0.0","0.0","49.99","56.99","241.4","120.7","191.41","184.42","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1704.65","0.16","0.85","0.0","5.48","0.85","4.66","0.0","0.0","0.0","0.0","54.65","56.99","241.4","120.7","186.76","184.42","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","1704.65","0.16","0.85","0.0","5.34","0.85","4.54","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","59.19","","","","","","",""
"2016.0","6.0","18.0","170.0","1704.65","0.16","0.85","0.0","6.31","0.85","5.36","0.0","0.0","0.0","0.0","5.36","56.99","241.4","120.7","236.04","184.42","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1704.65","0.16","0.85","0.0","6.96","0.85","5.92","0.0","0.0","0.0","0.0","11.28","56.99","241.4","120.7","230.12","184.42","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1704.65","0.16","0.85","0.0","7.57","0.85","6.43","0.0","0.0","0.0","0.0","17.71","56.99","241.4","120.7","223.69","184.42","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1704.65","0.15","0.85","0.0","7.92","0.85","6.73","0.0","0.0","0.0","0.0","24.45","56.99","241.4","120.7","216.96","184.42","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1704.65","0.15","0.85","0.0","7.86","0.85","6.68","0.0","0.0","0.0","0.0","31.13","56.99","241.4","120.7","210.27","184.42","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1704.65","0.15","0.85","0.0","7.8","0.85","6.63","0.0","0.0","0.0","0.0","37.76","56.99","241.4","120.7","203.64","184.42","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1704.65","0.15","0.85","0.0","7.05","0.85","5.99","0.0","0.0","0.0","0.0","43.75","56.99","241.4","120.7","197.65","184.42","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","1704.65","0.15","0.85","0.0","7.82","0.85","6.65","0.0","0.0","0.0","0.0","50.4","56.99","241.4","120.7","191.01","184.42","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","1704.65","0.14","0.85","0.0","7.71","0.85","6.55","0.0","0.0","0.0","0.0","56.95","56.99","241.4","120.7","184.45","184.42","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","1704.65","0.14","0.85","0.0","8.18","0.85","6.95","0.0","0.0","0.0","0.0","0.0","56.99","241.4","120.7","241.4","184.42","63.9","","","","","","",""
"2016.0","6.0","28.0","180.0","1704.65","0.14","0.85","0.0","8.09","0.85","6.88","0.0","0.0","0.0","0.0","6.88","56.99","241.4","120.7","234.53","184.42","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1704.65","0.14","0.85","0.0","7.45","0.85","6.33","0.0","0.0","0.0","0.0","13.21","56.99","241.4","120.7","228.19","184.42","0.0","","","","","","",""
