" Daily soil water balance output for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","4920.26","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","25.65","492.27","246.14","474.06","466.62","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","4920.26","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","25.65","492.27","246.14","472.81","466.62","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","4920.26","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","25.65","492.27","246.14","471.23","466.62","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","4920.26","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","25.65","492.27","246.14","470.0","466.62","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","4920.26","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","25.65","492.27","246.14","469.0","466.62","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","4920.26","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","25.65","492.27","246.14","468.19","466.62","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","4920.26","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","25.65","492.27","246.14","478.77","466.62","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","4920.26","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","25.65","492.27","246.14","481.14","466.62","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","4920.26","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","25.65","492.27","246.14","479.08","466.62","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","4920.26","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","25.65","492.27","246.14","476.8","466.62","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","4920.26","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","25.65","492.27","246.14","474.16","466.62","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","4920.26","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","25.65","492.27","246.14","472.1","466.62","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","4920.26","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","25.65","492.27","246.14","470.37","466.62","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","4920.26","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","25.65","492.27","246.14","468.69","466.62","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","4920.26","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","25.65","492.27","246.14","467.12","466.62","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","4920.26","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","25.65","492.27","246.14","465.72","466.62","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","4920.26","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","4920.26","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","27.15","25.65","492.27","246.14","465.13","466.62","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","4920.26","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","4920.26","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","26.97","25.65","492.27","246.14","465.31","466.62","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","4920.26","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","4920.26","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","26.1","25.65","492.27","246.14","466.18","466.62","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","4920.26","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","12.62","25.65","492.27","246.14","479.66","466.62","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","4920.26","1.13","0.0","0.0","2.16","1.13","2.45","33.53","15.07","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","4920.26","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","4920.26","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","4920.26","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","25.65","492.27","246.14","490.2","466.62","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","4920.26","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","25.65","492.27","246.14","488.93","466.62","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","4920.26","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","4920.26","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","4920.26","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","4920.26","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","4920.26","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","25.65","492.27","246.14","488.9","466.62","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","4920.26","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","25.65","492.27","246.14","486.01","466.62","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","4920.26","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","25.65","492.27","246.14","483.52","466.62","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","4920.26","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","25.65","492.27","246.14","481.3","466.62","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","4920.26","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","25.65","492.27","246.14","479.28","466.62","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","4920.26","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","25.65","492.27","246.14","477.91","466.62","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","4920.26","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","25.65","492.27","246.14","478.68","466.62","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","4920.26","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","25.65","492.27","246.14","477.84","466.62","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","4920.26","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","25.65","492.27","246.14","476.13","466.62","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","4920.26","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","25.65","492.27","246.14","474.59","466.62","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","4920.26","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","25.65","492.27","246.14","472.92","466.62","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","4920.26","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","25.65","492.27","246.14","471.04","466.62","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","4920.26","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","25.65","492.27","246.14","469.6","466.62","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","4920.26","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","25.65","492.27","246.14","468.23","466.62","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","4920.26","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","25.48","25.65","492.27","246.14","466.8","466.62","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","4920.26","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","26.8","25.65","492.27","246.14","465.48","466.62","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","4920.26","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","4920.26","0.34","0.0","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","26.92","25.65","492.27","246.14","465.36","466.62","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","4920.26","0.33","0.0","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","4920.26","0.32","0.0","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","26.97","25.65","492.27","246.14","465.31","466.62","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","4920.26","0.31","0.0","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","4920.26","0.3","0.0","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","27.34","25.65","492.27","246.14","464.94","466.62","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","4920.26","0.29","0.0","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","4920.26","0.29","0.0","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","26.89","25.65","492.27","246.14","465.38","466.62","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","4920.26","0.28","0.0","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","4920.26","1.16","0.0","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","23.69","25.65","492.27","246.14","468.59","466.62","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","4920.26","1.13","0.0","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","12.02","25.65","492.27","246.14","480.26","466.62","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","4920.26","1.11","0.0","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","14.77","25.65","492.27","246.14","477.5","466.62","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","4920.26","0.91","0.0","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","17.99","25.65","492.27","246.14","474.28","466.62","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","4920.26","0.75","0.0","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","21.16","25.65","492.27","246.14","471.12","466.62","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","4920.26","0.65","0.0","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","22.79","25.65","492.27","246.14","469.48","466.62","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","4920.26","0.56","0.0","0.0","5.43","0.56","3.06","0.0","0.0","0.0","0.0","25.85","25.65","492.27","246.14","466.42","466.62","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","4920.26","0.5","0.55","0.0","5.34","0.55","2.94","0.0","0.0","0.0","0.0","28.79","103.38","492.27","246.14","463.48","388.89","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","4920.26","0.47","0.56","0.0","4.76","0.56","2.66","0.0","0.0","0.0","0.0","31.45","103.38","492.27","246.14","460.83","388.89","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","4920.26","0.43","0.57","0.0","5.12","0.57","2.9","0.0","0.0","0.0","0.0","34.35","103.38","492.27","246.14","457.93","388.89","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","4920.26","0.41","0.57","0.0","4.98","0.57","2.86","0.0","0.0","0.0","0.0","37.21","103.38","492.27","246.14","455.07","388.89","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","4920.26","0.38","0.58","0.0","5.18","0.58","3.02","0.0","0.0","0.0","0.0","40.23","103.38","492.27","246.14","452.05","388.89","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","4920.26","0.37","0.59","0.0","3.85","0.59","2.28","0.0","0.0","0.0","0.0","42.5","103.38","492.27","246.14","449.77","388.89","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","4920.26","0.36","0.6","0.0","2.79","0.6","1.67","0.11","0.11","0.0","0.0","44.06","103.38","492.27","246.14","448.21","388.89","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","4920.26","1.06","0.61","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","43.16","103.38","492.27","246.14","449.11","388.89","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","4920.26","0.91","0.62","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","47.3","103.38","492.27","246.14","444.97","388.89","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","4920.26","0.71","0.62","0.0","5.38","0.71","3.81","0.0","0.0","0.0","0.0","51.11","103.38","492.27","246.14","441.17","388.89","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","4920.26","0.61","0.63","0.0","4.67","0.63","2.95","0.0","0.0","0.0","0.0","54.06","103.38","492.27","246.14","438.22","388.89","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","4920.26","0.56","0.64","0.0","3.74","0.64","2.39","0.0","0.0","0.0","0.0","56.45","103.38","492.27","246.14","435.82","388.89","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","4920.26","0.99","0.65","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","57.35","103.38","492.27","246.14","434.93","388.89","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","4920.26","0.79","0.66","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","61.38","103.38","492.27","246.14","430.9","388.89","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","4920.26","0.6","0.66","0.0","7.38","0.66","4.91","0.0","0.0","0.0","0.0","66.28","103.38","492.27","246.14","425.99","388.89","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","4920.26","0.52","0.67","0.0","5.86","0.67","3.94","0.0","0.0","0.0","0.0","70.23","103.38","492.27","246.14","422.05","388.89","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","4920.26","0.48","0.68","0.0","5.39","0.68","3.67","0.0","0.0","0.0","0.0","73.9","103.38","492.27","246.14","418.38","388.89","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","4920.26","0.44","0.69","0.0","4.49","0.69","3.1","0.0","0.0","0.0","0.0","76.99","103.38","492.27","246.14","415.28","388.89","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","4920.26","0.42","0.7","0.0","4.86","0.7","3.39","0.0","0.0","0.0","0.0","80.38","103.38","492.27","246.14","411.89","388.89","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","4920.26","0.41","0.71","0.0","2.44","0.71","1.72","0.08","0.08","0.0","0.0","82.03","103.38","492.27","246.14","410.25","388.89","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","4920.26","0.4","0.71","0.0","2.03","0.71","1.45","0.13","0.13","0.0","0.0","83.35","103.38","492.27","246.14","408.93","388.89","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","4920.26","0.39","0.72","0.0","2.18","0.72","1.57","3.39","3.39","0.0","0.0","81.53","103.38","492.27","246.14","410.75","388.89","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","4920.26","0.38","0.73","0.0","3.23","0.73","2.36","1.22","1.22","0.0","0.0","82.67","103.38","492.27","246.14","409.61","388.89","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","4920.26","0.36","0.74","0.0","4.65","0.74","3.43","0.0","0.0","0.0","0.0","86.1","103.38","492.27","246.14","406.17","388.89","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","4920.26","0.34","0.75","0.0","5.68","0.75","4.24","0.0","0.0","0.0","0.0","90.34","103.38","492.27","246.14","401.93","388.89","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","4920.26","0.33","0.75","0.0","6.03","0.75","4.55","0.0","0.0","0.0","0.0","94.9","103.38","492.27","246.14","397.38","388.89","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","4920.26","0.31","0.76","0.0","6.07","0.76","4.63","0.0","0.0","0.0","0.0","99.53","103.38","492.27","246.14","392.75","388.89","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","4920.26","0.3","0.77","0.0","5.63","0.77","4.34","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","103.87","","","","","","",""
"2016.0","5.0","14.0","135.0","4920.26","0.29","0.78","0.0","5.14","0.78","4.01","0.0","0.0","0.0","0.0","4.01","103.38","492.27","246.14","488.27","388.89","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","4920.26","0.28","0.79","0.0","5.57","0.79","4.39","0.0","0.0","0.0","0.0","8.39","103.38","492.27","246.14","483.88","388.89","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","4920.26","0.27","0.8","0.0","6.62","0.8","5.27","0.0","0.0","0.0","0.0","13.66","103.38","492.27","246.14","478.61","388.89","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","4920.26","0.26","0.8","0.0","7.71","0.8","6.2","0.0","0.0","0.0","0.0","19.86","103.38","492.27","246.14","472.41","388.89","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","4920.26","0.25","0.81","0.0","7.08","0.81","5.75","0.0","0.0","0.0","0.0","25.61","103.38","492.27","246.14","466.66","388.89","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","4920.26","0.24","0.82","0.0","6.3","0.82","5.17","0.0","0.0","0.0","0.0","30.78","103.38","492.27","246.14","461.49","388.89","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","4920.26","0.24","0.83","0.0","4.85","0.83","4.02","0.0","0.0","0.0","0.0","34.8","103.38","492.27","246.14","457.47","388.89","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","4920.26","0.24","0.84","0.0","3.73","0.84","3.12","0.32","0.32","0.0","0.0","37.6","103.38","492.27","246.14","454.67","388.89","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","4920.26","0.23","0.85","0.0","4.28","0.85","3.62","0.26","0.26","0.0","0.0","40.96","103.38","492.27","246.14","451.31","388.89","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","4920.26","0.23","0.85","0.0","4.84","0.85","4.13","0.0","0.0","0.0","0.0","45.09","103.38","492.27","246.14","447.18","388.89","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","4920.26","0.22","0.86","0.0","4.85","0.86","4.18","0.0","0.0","0.0","0.0","49.27","103.38","492.27","246.14","443.01","388.89","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","4920.26","0.22","0.87","0.0","5.31","0.87","4.62","0.0","0.0","0.0","0.0","53.89","103.38","492.27","246.14","438.39","388.89","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","4920.26","0.21","0.88","0.0","5.74","0.88","5.04","0.0","0.0","0.0","0.0","58.93","103.38","492.27","246.14","433.35","388.89","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","4920.26","0.21","0.89","0.0","6.05","0.89","5.36","0.0","0.0","0.0","0.0","64.29","103.38","492.27","246.14","427.99","388.89","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","4920.26","0.21","0.89","0.0","6.96","0.89","6.22","0.0","0.0","0.0","0.0","70.51","103.38","492.27","246.14","421.76","388.89","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","4920.26","0.2","0.9","0.0","6.57","0.9","5.93","0.0","0.0","0.0","0.0","76.44","103.38","492.27","246.14","415.84","388.89","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","4920.26","0.2","0.91","0.0","6.83","0.91","6.22","0.0","0.0","0.0","0.0","82.66","103.38","492.27","246.14","409.62","388.89","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","4920.26","0.19","0.92","0.0","7.15","0.92","6.57","0.0","0.0","0.0","0.0","89.23","103.38","492.27","246.14","403.05","388.89","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","4920.26","0.19","0.93","0.0","7.23","0.93","6.7","0.0","0.0","0.0","0.0","95.93","103.38","492.27","246.14","396.34","388.89","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","4920.26","0.19","0.94","0.0","6.91","0.94","6.46","0.0","0.0","0.0","0.0","102.39","103.38","492.27","246.14","389.88","388.89","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","4920.26","0.18","0.94","0.0","7.35","0.94","6.93","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","109.33","","","","","","",""
"2016.0","6.0","4.0","156.0","4920.26","0.18","0.95","0.0","4.89","0.95","4.65","0.0","0.0","0.0","0.0","4.65","103.38","492.27","246.14","487.62","388.89","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","4920.26","0.18","0.96","0.0","7.68","0.96","7.37","0.0","0.0","0.0","0.0","12.03","103.38","492.27","246.14","480.25","388.89","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","4920.26","0.17","0.97","0.0","7.2","0.97","6.97","0.0","0.0","0.0","0.0","18.99","103.38","492.27","246.14","473.28","388.89","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","4920.26","0.17","0.98","0.0","6.83","0.98","6.67","0.0","0.0","0.0","0.0","25.66","103.38","492.27","246.14","466.61","388.89","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","4920.26","0.17","0.98","0.0","6.55","0.98","6.45","0.0","0.0","0.0","0.0","32.11","103.38","492.27","246.14","460.16","388.89","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","4920.26","0.17","0.99","0.0","6.26","0.99","6.21","0.0","0.0","0.0","0.0","38.32","103.38","492.27","246.14","453.95","388.89","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","4920.26","0.16","1.0","0.0","6.64","1.0","6.65","0.0","0.0","0.0","0.0","44.97","103.38","492.27","246.14","447.31","388.89","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","4920.26","0.16","1.01","0.0","6.87","1.01","6.93","0.0","0.0","0.0","0.0","51.9","103.38","492.27","246.14","440.37","388.89","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","4920.26","0.16","1.02","0.0","6.96","1.02","7.08","0.0","0.0","0.0","0.0","58.98","103.38","492.27","246.14","433.29","388.89","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","4920.26","0.16","1.03","0.0","6.65","1.03","6.82","0.0","0.0","0.0","0.0","65.8","103.38","492.27","246.14","426.47","388.89","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","4920.26","0.16","1.03","0.0","6.35","1.03","6.56","0.0","0.0","0.0","0.0","72.36","103.38","492.27","246.14","419.91","388.89","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","4920.26","0.15","1.04","0.0","5.38","1.04","5.6","0.0","0.0","0.0","0.0","77.97","103.38","492.27","246.14","414.31","388.89","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","4920.26","0.15","1.05","0.0","5.31","1.05","5.58","0.0","0.0","0.0","0.0","83.54","103.38","492.27","246.14","408.73","388.89","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","4920.26","0.15","1.05","0.0","5.14","1.05","5.4","0.0","0.0","0.0","0.0","88.94","103.38","492.27","246.14","403.33","388.89","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","4920.26","0.15","1.05","0.0","6.18","1.05","6.49","0.0","0.0","0.0","0.0","95.43","103.38","492.27","246.14","396.84","388.89","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","4920.26","0.15","1.05","0.0","6.9","1.05","7.25","0.0","0.0","0.0","0.0","102.68","103.38","492.27","246.14","389.6","388.89","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","4920.26","0.15","1.05","0.0","7.46","1.05","7.83","0.0","0.0","0.0","0.0","0.0","103.38","492.27","246.14","492.27","388.89","110.51","","","","","","",""
"2016.0","6.0","21.0","173.0","4920.26","0.14","1.05","0.0","7.77","1.05","8.16","0.0","0.0","0.0","0.0","8.16","103.38","492.27","246.14","484.12","388.89","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","4920.26","0.14","1.05","0.0","7.82","1.05","8.21","0.0","0.0","0.0","0.0","16.37","103.38","492.27","246.14","475.91","388.89","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","4920.26","0.14","1.05","0.0","7.73","1.05","8.12","0.0","0.0","0.0","0.0","24.49","103.38","492.27","246.14","467.79","388.89","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","4920.26","0.14","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","31.85","103.38","492.27","246.14","460.43","388.89","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","4920.26","0.14","1.05","0.0","7.8","1.05","8.19","0.0","0.0","0.0","0.0","40.04","103.38","492.27","246.14","452.24","388.89","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","4920.26","0.14","1.05","0.0","7.67","1.05","8.05","0.0","0.0","0.0","0.0","48.09","103.38","492.27","246.14","444.18","388.89","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","4920.26","0.13","1.05","0.0","8.11","1.05","8.52","0.0","0.0","0.0","0.0","56.61","103.38","492.27","246.14","435.67","388.89","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","4920.26","0.13","1.05","0.0","8.1","1.05","8.51","0.0","0.0","0.0","0.0","65.11","103.38","492.27","246.14","427.16","388.89","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","4920.26","0.13","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","72.93","103.38","492.27","246.14","419.34","388.89","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","4920.26","0.13","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","80.69","103.38","492.27","246.14","411.58","388.89","0.0","","","","","","",""
