" Daily soil water balance output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","3446.67","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","27.0","219.46","109.73","199.78","192.46","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","3446.67","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","27.0","219.46","109.73","198.55","192.46","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","3446.67","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","27.0","219.46","109.73","197.06","192.46","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","3446.67","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","27.0","219.46","109.73","195.89","192.46","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","3446.67","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","27.0","219.46","109.73","194.87","192.46","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","3446.67","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","25.9","27.0","219.46","109.73","193.56","192.46","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","3446.67","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","15.5","27.0","219.46","109.73","203.95","192.46","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","3446.67","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","15.87","27.0","219.46","109.73","203.58","192.46","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","3446.67","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","17.91","27.0","219.46","109.73","201.54","192.46","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","3446.67","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","19.97","27.0","219.46","109.73","199.48","192.46","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","3446.67","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","22.29","27.0","219.46","109.73","197.17","192.46","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","3446.67","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","24.23","27.0","219.46","109.73","195.23","192.46","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","3446.67","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","25.87","27.0","219.46","109.73","193.59","192.46","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","3446.67","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","27.45","27.0","219.46","109.73","192.0","192.46","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","3446.67","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","3446.67","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","28.44","27.0","219.46","109.73","191.02","192.46","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","3446.67","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","3446.67","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","28.43","27.0","219.46","109.73","191.02","192.46","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","3446.67","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","3446.67","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","28.28","27.0","219.46","109.73","191.17","192.46","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","3446.67","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","3446.67","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","27.75","27.0","219.46","109.73","191.71","192.46","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","3446.67","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","18.22","27.0","219.46","109.73","201.24","192.46","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","3446.67","1.13","0.0","0.0","2.24","1.13","2.53","23.66","20.75","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","3446.67","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","3446.67","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","27.0","219.46","109.73","219.43","192.46","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","3446.67","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","27.0","219.46","109.73","216.97","192.46","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","3446.67","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","27.0","219.46","109.73","215.35","192.46","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","3446.67","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","27.0","219.46","109.73","216.07","192.46","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","3446.67","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","3446.67","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","3446.67","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","3446.67","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","27.0","219.46","109.73","216.09","192.46","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","3446.67","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","27.0","219.46","109.73","213.19","192.46","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","3446.67","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","27.0","219.46","109.73","210.69","192.46","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","3446.67","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","27.0","219.46","109.73","208.49","192.46","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","3446.67","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","27.0","219.46","109.73","206.49","192.46","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","3446.67","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","27.0","219.46","109.73","204.94","192.46","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","3446.67","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","27.0","219.46","109.73","204.6","192.46","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","3446.67","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","27.0","219.46","109.73","203.81","192.46","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","3446.67","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","27.0","219.46","109.73","202.1","192.46","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","3446.67","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","27.0","219.46","109.73","200.53","192.46","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","3446.67","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","27.0","219.46","109.73","198.88","192.46","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","3446.67","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","27.0","219.46","109.73","197.04","192.46","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","3446.67","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","23.88","27.0","219.46","109.73","195.58","192.46","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","3446.67","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","25.24","27.0","219.46","109.73","194.21","192.46","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","3446.67","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","26.66","27.0","219.46","109.73","192.8","192.46","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","3446.67","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","27.97","27.0","219.46","109.73","191.49","192.46","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","3446.67","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","3446.67","0.34","0.0","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","28.28","27.0","219.46","109.73","191.18","192.46","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","3446.67","0.33","0.0","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","3446.67","0.32","0.0","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","28.33","27.0","219.46","109.73","191.13","192.46","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","3446.67","0.31","0.0","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","3446.67","0.3","0.0","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","28.66","27.0","219.46","109.73","190.8","192.46","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","3446.67","0.29","0.0","0.0","4.85","0.29","1.42","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","3446.67","0.28","0.0","0.0","4.26","0.28","1.21","0.0","0.0","0.0","0.0","28.21","27.0","219.46","109.73","191.24","192.46","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","3446.67","0.28","0.0","0.0","3.38","0.28","0.95","0.01","0.01","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","3446.67","1.16","0.0","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","20.64","27.0","219.46","109.73","198.81","192.46","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","3446.67","1.14","0.0","0.0","2.05","1.14","2.33","30.23","22.98","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","3446.67","1.12","0.0","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","27.0","219.46","109.73","216.8","192.46","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","3446.67","0.94","0.0","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","27.0","219.46","109.73","213.77","192.46","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","3446.67","0.76","0.0","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","27.0","219.46","109.73","210.54","192.46","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","3446.67","0.66","0.0","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","27.0","219.46","109.73","209.4","192.46","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","3446.67","0.57","0.0","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","27.0","219.46","109.73","206.28","192.46","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","3446.67","0.51","0.0","0.0","5.16","0.51","2.64","0.0","0.0","0.0","0.0","15.82","27.0","219.46","109.73","203.64","192.46","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","3446.67","0.47","0.0","0.0","4.85","0.47","2.28","0.0","0.0","0.0","0.0","18.1","27.0","219.46","109.73","201.36","192.46","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","3446.67","0.44","0.0","0.0","5.18","0.44","2.26","0.0","0.0","0.0","0.0","20.36","27.0","219.46","109.73","199.1","192.46","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","3446.67","0.41","0.0","0.0","4.94","0.41","2.02","0.0","0.0","0.0","0.0","22.38","27.0","219.46","109.73","197.08","192.46","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","3446.67","0.39","0.0","0.0","5.19","0.39","2.0","0.0","0.0","0.0","0.0","24.38","27.0","219.46","109.73","195.08","192.46","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","3446.67","0.37","0.0","0.0","3.95","0.37","1.46","0.0","0.0","0.0","0.0","25.84","27.0","219.46","109.73","193.61","192.46","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","3446.67","0.36","0.0","0.0","2.76","0.36","1.0","0.01","0.01","0.0","0.0","26.83","27.0","219.46","109.73","192.62","192.46","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","3446.67","1.06","0.0","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","25.23","27.0","219.46","109.73","194.23","192.46","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","3446.67","0.9","0.0","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","29.39","27.0","219.46","109.73","190.06","192.46","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","3446.67","0.7","0.0","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","3446.67","0.61","0.0","0.0","4.78","0.61","2.9","0.0","0.0","0.0","0.0","29.9","27.0","219.46","109.73","189.56","192.46","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","3446.67","0.56","0.0","0.0","3.73","0.56","2.08","0.04","0.04","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","3446.67","0.5","0.0","0.0","5.66","0.5","2.81","3.4","3.4","0.0","0.0","26.41","27.0","219.46","109.73","193.05","192.46","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","3446.67","0.46","0.0","0.0","5.01","0.46","2.29","0.0","0.0","0.0","0.0","28.7","27.0","219.46","109.73","190.76","192.46","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","3446.67","0.41","0.0","0.0","7.32","0.41","3.01","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","3446.67","0.38","0.0","0.0","5.79","0.38","2.22","0.0","0.0","0.0","0.0","29.22","27.0","219.46","109.73","190.23","192.46","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","3446.67","0.36","0.0","0.0","5.39","0.36","1.96","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","3446.67","0.35","0.0","0.0","4.47","0.35","1.56","0.0","0.0","0.0","0.0","28.56","27.0","219.46","109.73","190.9","192.46","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","3446.67","0.34","0.0","0.0","4.71","0.34","1.58","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","3446.67","0.33","0.0","0.0","2.67","0.33","0.88","0.0","0.0","0.0","0.0","27.88","27.0","219.46","109.73","191.58","192.46","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","3446.67","0.33","0.0","0.0","1.97","0.33","0.64","0.26","0.26","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","3446.67","1.13","0.0","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","22.32","27.0","219.46","109.73","197.14","192.46","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","3446.67","1.11","1.1","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","25.33","","","","","","",""
"2016.0","5.0","9.0","130.0","3446.67","0.84","1.1","0.0","4.7","1.1","5.17","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.17","","","","","","",""
"2016.0","5.0","10.0","131.0","3446.67","0.67","1.1","0.0","5.58","1.1","6.14","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.14","","","","","","",""
"2016.0","5.0","11.0","132.0","3446.67","0.57","1.1","0.0","5.92","1.1","6.51","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.51","","","","","","",""
"2016.0","5.0","12.0","133.0","3446.67","0.5","1.1","0.0","6.04","1.1","6.64","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.64","","","","","","",""
"2016.0","5.0","13.0","134.0","3446.67","0.46","1.1","0.0","5.58","1.1","6.14","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.14","","","","","","",""
"2016.0","5.0","14.0","135.0","3446.67","0.42","1.1","0.0","5.14","1.1","5.65","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.65","","","","","","",""
"2016.0","5.0","15.0","136.0","3446.67","0.4","1.1","0.0","5.58","1.1","6.14","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.14","","","","","","",""
"2016.0","5.0","16.0","137.0","3446.67","0.37","1.1","0.0","6.65","1.1","7.32","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.32","","","","","","",""
"2016.0","5.0","17.0","138.0","3446.67","0.34","1.1","0.0","7.63","1.1","8.39","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","8.39","","","","","","",""
"2016.0","5.0","18.0","139.0","3446.67","0.32","1.1","0.0","7.1","1.1","7.81","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.81","","","","","","",""
"2016.0","5.0","19.0","140.0","3446.67","0.31","1.1","0.0","6.31","1.1","6.94","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.94","","","","","","",""
"2016.0","5.0","20.0","141.0","3446.67","0.3","1.1","0.0","5.02","1.1","5.52","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.52","","","","","","",""
"2016.0","5.0","21.0","142.0","3446.67","0.29","1.1","0.0","3.47","1.1","3.82","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.82","","","","","","",""
"2016.0","5.0","22.0","143.0","3446.67","0.28","1.1","0.0","4.27","1.1","4.7","1.71","1.71","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","2.99","","","","","","",""
"2016.0","5.0","23.0","144.0","3446.67","0.28","1.1","0.0","4.87","1.1","5.36","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.36","","","","","","",""
"2016.0","5.0","24.0","145.0","3446.67","0.27","1.1","0.0","4.92","1.1","5.41","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.41","","","","","","",""
"2016.0","5.0","25.0","146.0","3446.67","0.26","1.1","0.0","5.35","1.1","5.89","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.89","","","","","","",""
"2016.0","5.0","26.0","147.0","3446.67","0.25","1.1","0.0","5.71","1.1","6.28","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.28","","","","","","",""
"2016.0","5.0","27.0","148.0","3446.67","0.25","1.1","0.0","6.09","1.1","6.7","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.7","","","","","","",""
"2016.0","5.0","28.0","149.0","3446.67","0.24","1.1","0.0","6.94","1.1","7.63","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.63","","","","","","",""
"2016.0","5.0","29.0","150.0","3446.67","0.23","1.1","0.0","6.63","1.1","7.29","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.29","","","","","","",""
"2016.0","5.0","30.0","151.0","3446.67","0.23","1.1","0.0","6.85","1.1","7.54","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.54","","","","","","",""
"2016.0","5.0","31.0","152.0","3446.67","0.22","1.1","0.0","7.16","1.1","7.88","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.88","","","","","","",""
"2016.0","6.0","1.0","153.0","3446.67","0.21","1.1","0.0","7.16","1.1","7.88","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.88","","","","","","",""
"2016.0","6.0","2.0","154.0","3446.67","0.21","1.1","0.0","7.01","1.1","7.71","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.71","","","","","","",""
"2016.0","6.0","3.0","155.0","3446.67","0.2","1.1","0.0","7.38","1.1","8.12","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","8.12","","","","","","",""
"2016.0","6.0","4.0","156.0","3446.67","0.2","1.1","0.0","5.17","1.1","5.69","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.69","","","","","","",""
"2016.0","6.0","5.0","157.0","3446.67","0.2","1.1","0.0","7.76","1.1","8.54","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","8.54","","","","","","",""
"2016.0","6.0","6.0","158.0","3446.67","0.19","1.1","0.0","7.24","1.1","7.96","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.96","","","","","","",""
"2016.0","6.0","7.0","159.0","3446.67","0.19","1.09","0.0","6.94","1.09","7.56","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.56","","","","","","",""
"2016.0","6.0","8.0","160.0","3446.67","0.19","1.08","0.0","6.51","1.08","7.02","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.02","","","","","","",""
"2016.0","6.0","9.0","161.0","3446.67","0.18","1.07","0.0","6.32","1.07","6.74","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.74","","","","","","",""
"2016.0","6.0","10.0","162.0","3446.67","0.18","1.06","0.0","6.71","1.06","7.08","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.08","","","","","","",""
"2016.0","6.0","11.0","163.0","3446.67","0.18","1.04","0.0","6.85","1.04","7.15","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.15","","","","","","",""
"2016.0","6.0","12.0","164.0","3446.67","0.17","1.03","0.0","6.87","1.03","7.1","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.1","","","","","","",""
"2016.0","6.0","13.0","165.0","3446.67","0.17","1.02","0.0","6.59","1.02","6.74","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.74","","","","","","",""
"2016.0","6.0","14.0","166.0","3446.67","0.17","1.01","0.0","6.48","1.01","6.55","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.55","","","","","","",""
"2016.0","6.0","15.0","167.0","3446.67","0.17","1.0","0.0","5.54","1.0","5.54","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.54","","","","","","",""
"2016.0","6.0","16.0","168.0","3446.67","0.16","1.0","0.0","5.48","1.0","5.48","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.48","","","","","","",""
"2016.0","6.0","17.0","169.0","3446.67","0.16","1.0","0.0","5.34","1.0","5.34","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.34","","","","","","",""
"2016.0","6.0","18.0","170.0","3446.67","0.16","1.0","0.0","6.31","1.0","6.31","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.31","","","","","","",""
"2016.0","6.0","19.0","171.0","3446.67","0.16","1.0","0.0","6.96","1.0","6.96","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.96","","","","","","",""
"2016.0","6.0","20.0","172.0","3446.67","0.16","1.0","0.0","7.57","1.0","7.57","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.57","","","","","","",""
"2016.0","6.0","21.0","173.0","3446.67","0.15","1.0","0.0","7.92","1.0","7.92","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.92","","","","","","",""
"2016.0","6.0","22.0","174.0","3446.67","0.15","1.0","0.0","7.86","1.0","7.86","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.86","","","","","","",""
"2016.0","6.0","23.0","175.0","3446.67","0.15","1.0","0.0","7.8","1.0","7.8","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.8","","","","","","",""
"2016.0","6.0","24.0","176.0","3446.67","0.15","1.0","0.0","7.05","1.0","7.05","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.05","","","","","","",""
"2016.0","6.0","25.0","177.0","3446.67","0.15","1.0","0.0","7.82","1.0","7.82","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.82","","","","","","",""
"2016.0","6.0","26.0","178.0","3446.67","0.14","1.0","0.0","7.71","1.0","7.71","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.71","","","","","","",""
"2016.0","6.0","27.0","179.0","3446.67","0.14","1.0","0.0","8.18","1.0","8.18","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","8.18","","","","","","",""
"2016.0","6.0","28.0","180.0","3446.67","0.14","1.0","0.0","8.09","1.0","8.09","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","8.09","","","","","","",""
"2016.0","6.0","29.0","181.0","3446.67","0.14","1.0","0.0","7.45","1.0","7.45","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.45","","","","","","",""
"2016.0","6.0","30.0","182.0","3446.67","0.14","1.0","0.0","7.3","1.0","7.3","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.3","","","","","","",""
