" Daily soil water balance output for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","8811.94","0.58","0.9","0.0","1.76","0.9","1.58","0.0","0.0","0.0","0.0","20.0","123.52","601.67","300.83","581.67","478.15","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","8811.94","0.56","0.9","0.0","1.85","0.9","1.67","0.0","0.0","0.0","0.0","21.66","123.52","601.67","300.83","580.01","478.15","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","8811.94","0.54","0.9","0.0","2.34","0.9","2.11","0.0","0.0","0.0","0.0","23.77","123.52","601.67","300.83","577.9","478.15","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","8811.94","0.51","0.9","0.0","3.12","0.9","2.81","0.0","0.0","0.0","0.0","26.58","123.52","601.67","300.83","575.09","478.15","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","8811.94","0.49","0.9","0.0","2.53","0.9","2.28","0.0","0.0","0.0","0.0","28.85","123.52","601.67","300.83","572.81","478.15","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","8811.94","0.47","0.9","0.0","2.12","0.9","1.91","0.0","0.0","0.0","0.0","30.76","123.52","601.67","300.83","570.91","478.15","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","8811.94","0.45","0.9","0.0","2.71","0.9","2.44","0.42","0.42","0.0","0.0","32.78","123.52","601.67","300.83","568.89","478.15","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","8811.94","1.14","0.9","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","22.2","123.52","601.67","300.83","579.47","478.15","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","8811.94","1.15","0.9","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","19.83","123.52","601.67","300.83","581.84","478.15","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","8811.94","1.15","0.9","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","21.89","123.52","601.67","300.83","579.78","478.15","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","8811.94","1.15","0.9","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","24.18","123.52","601.67","300.83","577.49","478.15","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","8811.94","0.97","0.9","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","26.81","123.52","601.67","300.83","574.86","478.15","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","8811.94","0.85","0.9","0.0","2.42","0.9","2.18","0.0","0.0","0.0","0.0","28.99","123.52","601.67","300.83","572.68","478.15","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","8811.94","0.77","0.9","0.0","2.23","0.9","2.01","0.0","0.0","0.0","0.0","31.0","123.52","601.67","300.83","570.67","478.15","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","8811.94","0.71","0.9","0.0","2.36","0.9","2.12","0.0","0.0","0.0","0.0","33.12","123.52","601.67","300.83","568.55","478.15","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","8811.94","0.66","0.9","0.0","2.37","0.9","2.13","0.0","0.0","0.0","0.0","35.25","123.52","601.67","300.83","566.42","478.15","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","8811.94","0.62","0.9","0.0","2.25","0.9","2.03","0.0","0.0","0.0","0.0","37.28","123.52","601.67","300.83","564.39","478.15","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","8811.94","0.59","0.9","0.0","2.09","0.9","1.88","0.0","0.0","0.0","0.0","39.16","123.52","601.67","300.83","562.51","478.15","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","8811.94","0.56","0.9","0.0","2.68","0.9","2.41","0.0","0.0","0.0","0.0","41.57","123.52","601.67","300.83","560.1","478.15","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","8811.94","0.53","0.9","0.0","3.02","0.9","2.72","0.0","0.0","0.0","0.0","44.29","123.52","601.67","300.83","557.38","478.15","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","8811.94","0.5","0.9","0.0","2.62","0.9","2.36","0.0","0.0","0.0","0.0","46.65","123.52","601.67","300.83","555.02","478.15","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","8811.94","0.49","0.9","0.0","1.85","0.9","1.67","0.0","0.0","0.0","0.0","48.31","123.52","601.67","300.83","553.36","478.15","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","8811.94","0.48","0.9","0.0","1.57","0.9","1.41","0.3","0.3","0.0","0.0","49.42","123.52","601.67","300.83","552.24","478.15","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","8811.94","1.17","0.9","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","37.4","123.52","601.67","300.83","564.27","478.15","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","8811.94","1.13","0.9","0.0","2.16","1.13","2.45","33.53","33.53","0.0","0.0","6.31","123.52","601.67","300.83","595.35","478.15","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","8811.94","1.16","0.9","0.0","1.52","1.16","1.76","17.68","8.08","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","8811.94","1.15","0.9","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","8811.94","1.15","0.9","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","123.52","601.67","300.83","599.59","478.15","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","8811.94","1.15","0.9","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","123.52","601.67","300.83","598.33","478.15","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","8811.94","1.16","0.9","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","8811.94","1.15","0.9","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","8811.94","1.17","0.9","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","8811.94","1.12","0.9","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","8811.94","1.11","0.9","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","123.52","601.67","300.83","598.29","478.15","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","8811.94","0.92","0.9","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","123.52","601.67","300.83","595.41","478.15","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","8811.94","0.79","0.9","0.0","3.15","0.9","2.84","0.0","0.0","0.0","0.0","9.1","123.52","601.67","300.83","592.57","478.15","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","8811.94","0.7","0.9","0.0","3.16","0.9","2.84","0.0","0.0","0.0","0.0","11.94","123.52","601.67","300.83","589.73","478.15","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","8811.94","0.64","0.9","0.0","3.15","0.9","2.84","0.0","0.0","0.0","0.0","14.78","123.52","601.67","300.83","586.89","478.15","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","8811.94","0.6","0.9","0.0","2.32","0.9","2.09","0.02","0.02","0.0","0.0","16.84","123.52","601.67","300.83","584.82","478.15","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","8811.94","0.57","0.9","0.0","2.33","0.9","2.1","2.11","2.11","0.0","0.0","16.83","123.52","601.67","300.83","584.84","478.15","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","8811.94","0.54","0.9","0.0","2.98","0.9","2.68","0.76","0.76","0.0","0.0","18.75","123.52","601.67","300.83","582.92","478.15","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","8811.94","0.51","0.9","0.0","3.38","0.9","3.04","0.0","0.0","0.0","0.0","21.8","123.52","601.67","300.83","579.87","478.15","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","8811.94","0.48","0.9","0.0","3.22","0.9","2.9","0.0","0.0","0.0","0.0","24.69","123.52","601.67","300.83","576.98","478.15","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","8811.94","0.45","0.9","0.0","3.68","0.9","3.31","0.0","0.0","0.0","0.0","28.01","123.52","601.67","300.83","573.66","478.15","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","8811.94","0.43","0.9","0.0","4.39","0.9","3.95","0.0","0.0","0.0","0.0","31.96","123.52","601.67","300.83","569.71","478.15","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","8811.94","0.41","0.9","0.0","3.5","0.9","3.15","0.0","0.0","0.0","0.0","35.11","123.52","601.67","300.83","566.56","478.15","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","8811.94","0.39","0.9","0.0","3.48","0.9","3.13","0.0","0.0","0.0","0.0","38.24","123.52","601.67","300.83","563.43","478.15","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","8811.94","0.38","0.9","0.0","3.78","0.9","3.4","0.0","0.0","0.0","0.0","41.64","123.52","601.67","300.83","560.03","478.15","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","8811.94","0.37","0.9","0.0","3.6","0.9","3.24","0.0","0.0","0.0","0.0","44.88","123.52","601.67","300.83","556.79","478.15","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","8811.94","0.35","0.9","0.0","3.79","0.9","3.41","0.0","0.0","0.0","0.0","48.29","123.52","601.67","300.83","553.38","478.15","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","8811.94","0.34","0.9","0.0","3.69","0.9","3.32","0.0","0.0","0.0","0.0","51.61","123.52","601.67","300.83","550.06","478.15","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","8811.94","0.33","0.9","0.0","3.75","0.9","3.38","0.0","0.0","0.0","0.0","54.99","123.52","601.67","300.83","546.68","478.15","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","8811.94","0.32","0.9","0.0","4.07","0.9","3.66","0.0","0.0","0.0","0.0","58.65","123.52","601.67","300.83","543.02","478.15","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","8811.94","0.31","0.9","0.0","4.24","0.9","3.82","0.0","0.0","0.0","0.0","62.47","123.52","601.67","300.83","539.2","478.15","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","8811.94","0.3","0.9","0.0","5.59","0.9","5.03","0.0","0.0","0.0","0.0","67.5","123.52","601.67","300.83","534.17","478.15","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","8811.94","0.29","0.9","0.0","4.9","0.9","4.41","0.0","0.0","0.0","0.0","71.91","123.52","601.67","300.83","529.76","478.15","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","8811.94","0.29","0.9","0.0","4.35","0.9","3.92","0.0","0.0","0.0","0.0","75.82","123.52","601.67","300.83","525.85","478.15","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","8811.94","0.28","0.9","0.0","3.49","0.9","3.14","0.22","0.22","0.0","0.0","78.74","123.52","601.67","300.83","522.93","478.15","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","8811.94","1.16","0.9","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","76.78","123.52","601.67","300.83","524.89","478.15","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","8811.94","1.13","0.9","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","65.11","123.52","601.67","300.83","536.56","478.15","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","8811.94","1.11","0.9","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","67.87","123.52","601.67","300.83","533.8","478.15","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","8811.94","0.91","0.9","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","71.09","123.52","601.67","300.83","530.58","478.15","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","8811.94","0.75","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","74.91","123.52","601.67","300.83","526.76","478.15","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","8811.94","0.65","0.9","0.0","4.09","0.9","3.68","1.02","1.02","0.0","0.0","77.57","123.52","601.67","300.83","524.1","478.15","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","8811.94","0.56","0.9","0.0","5.43","0.9","4.89","0.0","0.0","0.0","0.0","82.46","123.52","601.67","300.83","519.21","478.15","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","8811.94","0.5","0.9","0.0","5.34","0.9","4.81","0.0","0.0","0.0","0.0","87.26","123.52","601.67","300.83","514.4","478.15","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","8811.94","0.47","0.9","0.0","4.76","0.9","4.28","0.0","0.0","0.0","0.0","91.55","123.52","601.67","300.83","510.12","478.15","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","8811.94","0.43","0.9","0.0","5.12","0.9","4.61","0.0","0.0","0.0","0.0","96.16","123.52","601.67","300.83","505.51","478.15","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","8811.94","0.41","0.9","0.0","4.98","0.9","4.48","0.0","0.0","0.0","0.0","100.64","123.52","601.67","300.83","501.03","478.15","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","8811.94","0.38","0.9","0.0","5.18","0.9","4.66","0.0","0.0","0.0","0.0","105.3","123.52","601.67","300.83","496.37","478.15","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","8811.94","0.37","0.9","0.0","3.85","0.9","3.47","0.0","0.0","0.0","0.0","108.77","123.52","601.67","300.83","492.9","478.15","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","8811.94","0.36","0.9","0.0","2.79","0.9","2.51","0.11","0.11","0.0","0.0","111.17","123.52","601.67","300.83","490.5","478.15","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","8811.94","1.06","0.9","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","110.26","123.52","601.67","300.83","491.41","478.15","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","8811.94","0.91","0.9","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","114.4","123.52","601.67","300.83","487.26","478.15","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","8811.94","0.71","0.9","0.0","5.38","0.9","4.84","0.0","0.0","0.0","0.0","119.25","123.52","601.67","300.83","482.42","478.15","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","8811.94","0.61","0.9","0.0","4.67","0.9","4.2","0.0","0.0","0.0","0.0","123.45","123.52","601.67","300.83","478.22","478.15","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","8811.94","0.56","0.9","0.0","3.74","0.9","3.37","0.0","0.0","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","126.82","","","","","","",""
"2016.0","4.0","28.0","119.0","8811.94","0.99","0.9","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","0.89","123.52","601.67","300.83","600.78","478.15","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","8811.94","0.79","0.9","0.0","5.1","0.9","4.59","0.0","0.0","0.0","0.0","5.48","123.52","601.67","300.83","596.19","478.15","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","8811.94","0.6","0.9","0.0","7.38","0.9","6.64","0.0","0.0","0.0","0.0","12.12","123.52","601.67","300.83","589.54","478.15","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","8811.94","0.52","0.9","0.0","5.86","0.9","5.27","0.0","0.0","0.0","0.0","17.4","123.52","601.67","300.83","584.27","478.15","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","8811.94","0.48","0.9","0.0","5.39","0.9","4.85","0.0","0.0","0.0","0.0","22.25","123.52","601.67","300.83","579.42","478.15","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","8811.94","0.44","0.9","0.0","4.49","0.9","4.04","0.0","0.0","0.0","0.0","26.29","123.52","601.67","300.83","575.38","478.15","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","8811.94","0.42","0.9","0.0","4.86","0.9","4.37","0.0","0.0","0.0","0.0","30.66","123.52","601.67","300.83","571.0","478.15","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","8811.94","0.41","0.9","0.0","2.44","0.9","2.2","0.08","0.08","0.0","0.0","32.78","123.52","601.67","300.83","568.89","478.15","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","8811.94","0.4","0.9","0.0","2.03","0.9","1.83","0.13","0.13","0.0","0.0","34.48","123.52","601.67","300.83","567.19","478.15","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","8811.94","0.39","0.9","0.0","2.18","0.9","1.96","3.39","3.39","0.0","0.0","33.05","123.52","601.67","300.83","568.62","478.15","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","8811.94","0.38","0.9","0.0","3.23","0.9","2.91","1.22","1.22","0.0","0.0","34.74","123.52","601.67","300.83","566.93","478.15","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","8811.94","0.36","0.9","0.0","4.65","0.9","4.19","0.0","0.0","0.0","0.0","38.92","123.52","601.67","300.83","562.75","478.15","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","8811.94","0.34","0.9","0.0","5.68","0.9","5.11","0.0","0.0","0.0","0.0","44.03","123.52","601.67","300.83","557.64","478.15","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","8811.94","0.33","0.9","0.0","6.03","0.9","5.43","0.0","0.0","0.0","0.0","49.46","123.52","601.67","300.83","552.21","478.15","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","8811.94","0.31","0.9","0.0","6.07","0.9","5.46","0.0","0.0","0.0","0.0","54.92","123.52","601.67","300.83","546.75","478.15","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","8811.94","0.3","0.9","0.0","5.63","0.9","5.07","0.0","0.0","0.0","0.0","59.99","123.52","601.67","300.83","541.68","478.15","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","8811.94","0.29","0.9","0.0","5.14","0.9","4.63","0.0","0.0","0.0","0.0","64.62","123.52","601.67","300.83","537.05","478.15","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","8811.94","0.28","0.9","0.0","5.57","0.9","5.01","0.0","0.0","0.0","0.0","69.63","123.52","601.67","300.83","532.04","478.15","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","8811.94","0.27","0.9","0.0","6.62","0.9","5.96","0.0","0.0","0.0","0.0","75.59","123.52","601.67","300.83","526.08","478.15","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","8811.94","0.26","0.9","0.0","7.71","0.9","6.94","0.0","0.0","0.0","0.0","82.53","123.52","601.67","300.83","519.14","478.15","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","8811.94","0.25","0.9","0.0","7.08","0.9","6.37","0.0","0.0","0.0","0.0","88.9","123.52","601.67","300.83","512.77","478.15","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","8811.94","0.24","0.9","0.0","6.3","0.9","5.67","0.0","0.0","0.0","0.0","94.57","123.52","601.67","300.83","507.1","478.15","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","8811.94","0.24","0.9","0.0","4.85","0.9","4.37","0.0","0.0","0.0","0.0","98.93","123.52","601.67","300.83","502.74","478.15","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","8811.94","0.24","0.9","0.0","3.73","0.9","3.36","0.32","0.32","0.0","0.0","101.97","123.52","601.67","300.83","499.7","478.15","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","8811.94","0.23","0.9","0.0","4.28","0.9","3.85","0.26","0.26","0.0","0.0","105.56","123.52","601.67","300.83","496.11","478.15","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","8811.94","0.23","0.9","0.0","4.84","0.9","4.36","0.0","0.0","0.0","0.0","109.92","123.52","601.67","300.83","491.75","478.15","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","8811.94","0.22","0.9","0.0","4.85","0.9","4.37","0.0","0.0","0.0","0.0","114.28","123.52","601.67","300.83","487.39","478.15","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","8811.94","0.22","0.9","0.0","5.31","0.9","4.78","0.0","0.0","0.0","0.0","119.06","123.52","601.67","300.83","482.61","478.15","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","8811.94","0.21","0.9","0.0","5.74","0.9","5.17","0.0","0.0","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","124.23","","","","","","",""
"2016.0","5.0","27.0","148.0","8811.94","0.21","0.9","0.0","6.05","0.9","5.45","0.0","0.0","0.0","0.0","5.45","123.52","601.67","300.83","596.22","478.15","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","8811.94","0.21","0.9","0.0","6.96","0.9","6.26","0.0","0.0","0.0","0.0","11.71","123.52","601.67","300.83","589.96","478.15","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","8811.94","0.2","0.9","0.0","6.57","0.9","5.91","0.0","0.0","0.0","0.0","17.62","123.52","601.67","300.83","584.05","478.15","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","8811.94","0.2","0.9","0.0","6.83","0.9","6.15","0.0","0.0","0.0","0.0","23.77","123.52","601.67","300.83","577.9","478.15","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","8811.94","0.19","0.9","0.0","7.15","0.9","6.44","0.0","0.0","0.0","0.0","30.2","123.52","601.67","300.83","571.47","478.15","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","8811.94","0.19","0.9","0.0","7.23","0.9","6.51","0.0","0.0","0.0","0.0","36.71","123.52","601.67","300.83","564.96","478.15","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","8811.94","0.19","0.9","0.0","6.91","0.9","6.22","0.0","0.0","0.0","0.0","42.93","123.52","601.67","300.83","558.74","478.15","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","8811.94","0.18","0.9","0.0","7.35","0.9","6.62","0.0","0.0","0.0","0.0","49.55","123.52","601.67","300.83","552.12","478.15","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","8811.94","0.18","0.9","0.0","4.89","0.9","4.4","0.0","0.0","0.0","0.0","53.95","123.52","601.67","300.83","547.72","478.15","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","8811.94","0.18","0.9","0.0","7.68","0.9","6.91","0.0","0.0","0.0","0.0","60.86","123.52","601.67","300.83","540.81","478.15","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","8811.94","0.17","0.9","0.0","7.2","0.9","6.48","0.0","0.0","0.0","0.0","67.34","123.52","601.67","300.83","534.33","478.15","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","8811.94","0.17","0.9","0.0","6.83","0.9","6.15","0.0","0.0","0.0","0.0","73.49","123.52","601.67","300.83","528.18","478.15","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","8811.94","0.17","0.9","0.0","6.55","0.9","5.9","0.0","0.0","0.0","0.0","79.38","123.52","601.67","300.83","522.29","478.15","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","8811.94","0.17","0.9","0.0","6.26","0.9","5.63","0.0","0.0","0.0","0.0","85.01","123.52","601.67","300.83","516.66","478.15","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","8811.94","0.16","0.9","0.0","6.64","0.9","5.98","0.0","0.0","0.0","0.0","90.99","123.52","601.67","300.83","510.68","478.15","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","8811.94","0.16","0.9","0.0","6.87","0.9","6.18","0.0","0.0","0.0","0.0","97.17","123.52","601.67","300.83","504.5","478.15","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","8811.94","0.16","0.9","0.0","6.96","0.9","6.26","0.0","0.0","0.0","0.0","103.44","123.52","601.67","300.83","498.23","478.15","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","8811.94","0.16","0.9","0.0","6.65","0.9","5.99","0.0","0.0","0.0","0.0","109.42","123.52","601.67","300.83","492.25","478.15","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","8811.94","0.16","0.9","0.0","6.35","0.9","5.72","0.0","0.0","0.0","0.0","115.14","123.52","601.67","300.83","486.53","478.15","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","8811.94","0.15","0.9","0.0","5.38","0.9","4.84","0.0","0.0","0.0","0.0","119.98","123.52","601.67","300.83","481.69","478.15","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","8811.94","0.15","0.9","0.0","5.31","0.9","4.78","0.0","0.0","0.0","0.0","0.0","123.52","601.67","300.83","601.67","478.15","124.76","","","","","","",""
"2016.0","6.0","17.0","169.0","8811.94","0.15","0.9","0.0","5.14","0.9","4.63","0.0","0.0","0.0","0.0","4.63","123.52","601.67","300.83","597.04","478.15","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","8811.94","0.15","0.9","0.0","6.18","0.9","5.56","0.0","0.0","0.0","0.0","10.19","123.52","601.67","300.83","591.48","478.15","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","8811.94","0.15","0.9","0.0","6.9","0.9","6.21","0.0","0.0","0.0","0.0","16.4","123.52","601.67","300.83","585.27","478.15","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","8811.94","0.15","0.9","0.0","7.46","0.9","6.71","0.0","0.0","0.0","0.0","23.11","123.52","601.67","300.83","578.56","478.15","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","8811.94","0.14","0.9","0.0","7.77","0.9","6.99","0.0","0.0","0.0","0.0","30.11","123.52","601.67","300.83","571.56","478.15","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","8811.94","0.14","0.9","0.0","7.82","0.9","7.04","0.0","0.0","0.0","0.0","37.14","123.52","601.67","300.83","564.53","478.15","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","8811.94","0.14","0.9","0.0","7.73","0.9","6.96","0.0","0.0","0.0","0.0","44.1","123.52","601.67","300.83","557.57","478.15","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","8811.94","0.14","0.9","0.0","7.01","0.9","6.31","0.0","0.0","0.0","0.0","50.41","123.52","601.67","300.83","551.26","478.15","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","8811.94","0.14","0.9","0.0","7.8","0.9","7.02","0.0","0.0","0.0","0.0","57.43","123.52","601.67","300.83","544.24","478.15","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","8811.94","0.14","0.9","0.0","7.67","0.9","6.9","0.0","0.0","0.0","0.0","64.33","123.52","601.67","300.83","537.34","478.15","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","8811.94","0.13","0.9","0.0","8.11","0.9","7.3","0.0","0.0","0.0","0.0","71.63","123.52","601.67","300.83","530.04","478.15","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","8811.94","0.13","0.9","0.0","8.1","0.9","7.29","0.0","0.0","0.0","0.0","78.92","123.52","601.67","300.83","522.75","478.15","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","8811.94","0.13","0.9","0.0","7.45","0.9","6.71","0.0","0.0","0.0","0.0","85.63","123.52","601.67","300.83","516.04","478.15","0.0","","","","","","",""
