" Daily soil water balance output for Other Deciduous in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Other Deciduous at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","3.78","0.54","0.0","0.0","2.23","0.54","1.19","0.0","0.0","0.0","0.0","21.95","21.6","307.24","153.62","285.29","285.64","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","3.78","0.51","0.0","0.0","2.77","0.51","1.41","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","3.78","0.49","0.0","0.0","2.41","0.49","1.18","0.0","0.0","0.0","0.0","22.78","21.6","307.24","153.62","284.46","285.64","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","3.78","0.47","0.0","0.0","2.19","0.47","1.04","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","3.78","0.46","0.0","0.0","2.81","0.46","1.28","0.0","0.0","0.0","0.0","22.88","21.6","307.24","153.62","284.36","285.64","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","3.78","1.14","0.0","0.0","1.99","1.14","2.27","11.41","11.41","0.0","0.0","11.47","21.6","307.24","153.62","295.77","285.64","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","3.78","1.14","0.0","0.0","1.8","1.14","2.06","0.6","0.6","0.0","0.0","12.93","21.6","307.24","153.62","294.31","285.64","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","3.78","1.15","0.0","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","14.98","21.6","307.24","153.62","292.26","285.64","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","3.78","1.01","0.0","0.0","2.02","1.01","2.04","0.0","0.0","0.0","0.0","17.02","21.6","307.24","153.62","290.22","285.64","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","3.78","0.87","0.0","0.0","2.59","0.87","2.25","0.0","0.0","0.0","0.0","19.27","21.6","307.24","153.62","287.97","285.64","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","3.78","0.78","0.0","0.0","2.54","0.78","1.97","0.0","0.0","0.0","0.0","21.24","21.6","307.24","153.62","286.0","285.64","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","3.78","0.71","0.0","0.0","2.3","0.71","1.64","0.0","0.0","0.0","0.0","22.88","21.6","307.24","153.62","284.36","285.64","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","3.78","0.66","0.0","0.0","2.39","0.66","1.58","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","3.78","0.62","0.0","0.0","2.38","0.62","1.48","0.0","0.0","0.0","0.0","23.08","21.6","307.24","153.62","284.16","285.64","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","3.78","0.59","0.0","0.0","2.47","0.59","1.45","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","3.78","0.56","0.0","0.0","1.98","0.56","1.11","0.0","0.0","0.0","0.0","22.71","21.6","307.24","153.62","284.53","285.64","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","3.78","0.53","0.0","0.0","2.66","0.53","1.42","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","3.78","0.51","0.0","0.0","2.99","0.51","1.51","0.0","0.0","0.0","0.0","23.11","21.6","307.24","153.62","284.13","285.64","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","3.78","0.48","0.0","0.0","2.58","0.48","1.25","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","3.78","0.47","0.5","0.0","2.01","0.5","1.01","0.0","0.0","0.0","0.0","22.61","68.67","307.24","153.62","284.63","238.57","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","3.78","0.46","0.5","0.0","1.57","0.5","0.79","0.0","0.0","0.0","0.0","23.39","68.67","307.24","153.62","283.84","238.57","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","3.78","1.17","0.5","0.0","1.33","1.17","1.55","8.94","8.94","0.0","0.0","16.01","68.67","307.24","153.62","291.23","238.57","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","3.78","1.13","0.51","0.0","2.35","1.13","2.65","15.39","15.39","0.0","0.0","3.26","68.67","307.24","153.62","303.98","238.57","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","3.78","1.16","0.51","0.0","1.45","1.16","1.68","11.15","4.95","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","3.78","1.14","0.51","0.0","1.96","1.14","2.24","2.39","2.24","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","3.78","1.14","0.51","0.0","2.13","1.14","2.42","0.0","0.0","0.0","0.0","2.42","68.67","307.24","153.62","304.81","238.57","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","3.78","1.14","0.52","0.0","1.68","1.14","1.92","0.63","0.63","0.0","0.0","3.71","68.67","307.24","153.62","303.52","238.57","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","3.78","1.15","0.52","0.0","1.74","1.15","2.0","1.88","1.88","0.0","0.0","3.84","68.67","307.24","153.62","303.4","238.57","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","3.78","1.15","0.52","0.0","1.85","1.15","2.12","4.36","4.36","0.0","0.0","1.6","68.67","307.24","153.62","305.64","238.57","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","3.78","1.17","0.52","0.0","1.21","1.17","1.42","6.19","3.01","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","3.78","1.12","0.53","0.0","2.5","1.12","2.8","12.58","2.8","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","3.78","1.11","0.53","0.0","2.97","1.11","3.3","0.0","0.0","0.0","0.0","3.3","68.67","307.24","153.62","303.94","238.57","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","3.78","0.93","0.53","0.0","3.12","0.93","2.91","0.0","0.0","0.0","0.0","6.21","68.67","307.24","153.62","301.03","238.57","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","3.78","0.8","0.53","0.0","3.16","0.8","2.52","0.0","0.0","0.0","0.0","8.73","68.67","307.24","153.62","298.51","238.57","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","3.78","0.71","0.54","0.0","3.01","0.71","2.14","0.0","0.0","0.0","0.0","10.86","68.67","307.24","153.62","296.37","238.57","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","3.78","0.65","0.54","0.0","2.88","0.65","1.87","0.0","0.0","0.0","0.0","12.74","68.67","307.24","153.62","294.5","238.57","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","3.78","0.61","0.54","0.0","2.45","0.61","1.49","0.0","0.0","0.0","0.0","14.23","68.67","307.24","153.62","293.01","238.57","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","3.78","0.58","0.54","0.0","2.48","0.58","1.43","0.81","0.81","0.0","0.0","14.85","68.67","307.24","153.62","292.39","238.57","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","3.78","0.54","0.55","0.0","3.02","0.55","1.65","1.9","1.9","0.0","0.0","14.6","68.67","307.24","153.62","292.64","238.57","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","3.78","0.51","0.55","0.0","3.33","0.55","1.83","0.0","0.0","0.0","0.0","16.43","68.67","307.24","153.62","290.81","238.57","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","3.78","0.48","0.55","0.0","3.2","0.55","1.77","0.0","0.0","0.0","0.0","18.2","68.67","307.24","153.62","289.04","238.57","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","3.78","0.46","0.55","0.0","3.57","0.55","1.98","0.0","0.0","0.0","0.0","20.18","68.67","307.24","153.62","287.06","238.57","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","3.78","0.43","0.56","0.0","4.13","0.56","2.3","0.0","0.0","0.0","0.0","22.48","68.67","307.24","153.62","284.76","238.57","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","3.78","0.41","0.56","0.0","3.54","0.56","1.98","0.0","0.0","0.0","0.0","24.46","68.67","307.24","153.62","282.78","238.57","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","3.78","0.4","0.56","0.0","3.45","0.56","1.94","0.0","0.0","0.0","0.0","26.4","68.67","307.24","153.62","280.84","238.57","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","3.78","0.38","0.56","0.0","3.66","0.56","2.07","0.0","0.0","0.0","0.0","28.46","68.67","307.24","153.62","278.78","238.57","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","3.78","0.37","0.57","0.0","3.45","0.57","1.96","0.0","0.0","0.0","0.0","30.42","68.67","307.24","153.62","276.82","238.57","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","3.78","0.36","0.57","0.0","3.71","0.57","2.11","0.0","0.0","0.0","0.0","32.53","68.67","307.24","153.62","274.71","238.57","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","3.78","0.35","0.57","0.0","3.62","0.57","2.07","0.0","0.0","0.0","0.0","34.6","68.67","307.24","153.62","272.64","238.57","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","3.78","0.34","0.57","0.0","3.76","0.57","2.16","0.0","0.0","0.0","0.0","36.76","68.67","307.24","153.62","270.48","238.57","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","3.78","0.33","0.58","0.0","3.92","0.58","2.26","0.0","0.0","0.0","0.0","39.02","68.67","307.24","153.62","268.22","238.57","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","3.78","0.32","0.58","0.0","4.15","0.58","2.4","0.0","0.0","0.0","0.0","41.43","68.67","307.24","153.62","265.81","238.57","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","3.78","0.31","0.58","0.0","5.31","0.58","3.09","0.0","0.0","0.0","0.0","44.52","68.67","307.24","153.62","262.72","238.57","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","3.78","0.3","0.58","0.0","4.82","0.58","2.82","0.0","0.0","0.0","0.0","47.33","68.67","307.24","153.62","259.91","238.57","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","3.78","0.29","0.59","0.0","4.09","0.59","2.4","0.0","0.0","0.0","0.0","49.73","68.67","307.24","153.62","257.51","238.57","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","3.78","0.28","0.59","0.0","3.17","0.59","1.87","0.0","0.0","0.0","0.0","51.6","68.67","307.24","153.62","255.64","238.57","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","3.78","1.15","0.59","0.0","1.67","1.15","1.93","10.08","10.08","0.0","0.0","43.45","68.67","307.24","153.62","263.79","238.57","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","3.78","1.15","0.59","0.0","1.79","1.15","2.06","22.52","22.52","0.0","0.0","22.98","68.67","307.24","153.62","284.26","238.57","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","3.78","1.13","0.6","0.0","2.63","1.13","2.98","0.5","0.5","0.0","0.0","25.46","68.67","307.24","153.62","281.78","238.57","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","3.78","0.98","0.6","0.0","3.39","0.98","3.33","0.0","0.0","0.0","0.0","28.79","68.67","307.24","153.62","278.45","238.57","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","3.78","0.79","0.6","0.0","4.11","0.79","3.25","0.0","0.0","0.0","0.0","32.04","68.67","307.24","153.62","275.2","238.57","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","3.78","0.68","0.6","0.0","4.09","0.68","2.78","0.6","0.6","0.0","0.0","34.21","68.67","307.24","153.62","273.02","238.57","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","3.78","0.58","0.61","0.0","5.31","0.61","3.22","0.0","0.0","0.0","0.0","37.43","68.67","307.24","153.62","269.8","238.57","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","3.78","0.52","0.61","0.0","5.03","0.61","3.06","0.0","0.0","0.0","0.0","40.5","68.67","307.24","153.62","266.74","238.57","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","3.78","0.48","0.61","0.0","4.83","0.61","2.95","0.0","0.0","0.0","0.0","43.45","68.67","307.24","153.62","263.79","238.57","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","3.78","0.44","0.61","0.0","5.14","0.61","3.16","0.0","0.0","0.0","0.0","46.61","68.67","307.24","153.62","260.63","238.57","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","3.78","0.42","0.62","0.0","4.86","0.62","3.0","0.0","0.0","0.0","0.0","49.6","68.67","307.24","153.62","257.63","238.57","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","3.78","0.39","0.62","0.0","5.01","0.62","3.1","0.0","0.0","0.0","0.0","52.71","68.67","307.24","153.62","254.53","238.57","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","3.78","0.38","0.62","0.0","3.57","0.62","2.22","0.0","0.0","0.0","0.0","54.92","68.67","307.24","153.62","252.31","238.57","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","3.78","0.37","0.62","0.0","2.93","0.62","1.83","0.0","0.0","0.0","0.0","56.75","68.67","307.24","153.62","250.49","238.57","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","3.78","1.07","0.63","0.0","3.8","1.07","4.06","4.37","4.37","0.0","0.0","56.44","68.67","307.24","153.62","250.8","238.57","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","3.78","0.93","0.63","0.0","4.41","0.93","4.11","0.0","0.0","0.0","0.0","60.55","68.67","307.24","153.62","246.69","238.57","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","3.78","0.72","0.63","0.0","5.33","0.72","3.84","0.0","0.0","0.0","0.0","64.39","68.67","307.24","153.62","242.85","238.57","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","3.78","0.62","0.63","0.0","4.64","0.63","2.94","0.0","0.0","0.0","0.0","67.33","68.67","307.24","153.62","239.9","238.57","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","3.78","0.57","0.64","0.0","3.74","0.64","2.38","1.02","1.02","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","68.69","","","","","","",""
"2016.0","4.0","28.0","119.0","3.78","0.51","0.64","0.0","5.44","0.64","3.48","0.06","0.06","0.0","0.0","3.42","68.67","307.24","153.62","303.82","238.57","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","3.78","0.47","0.64","0.0","4.83","0.64","3.1","0.0","0.0","0.0","0.0","6.51","68.67","307.24","153.62","300.73","238.57","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","3.78","0.42","0.64","0.0","7.02","0.64","4.52","0.0","0.0","0.0","0.0","11.03","68.67","307.24","153.62","296.21","238.57","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","3.78","0.39","0.65","0.0","5.56","0.65","3.59","0.0","0.0","0.0","0.0","14.63","68.67","307.24","153.62","292.61","238.57","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","3.78","0.37","0.65","0.0","5.08","0.65","3.3","0.0","0.0","0.0","0.0","17.92","68.67","307.24","153.62","289.32","238.57","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","3.78","0.36","0.65","0.0","4.27","0.65","2.78","0.0","0.0","0.0","0.0","20.7","68.67","307.24","153.62","286.54","238.57","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","3.78","0.34","0.65","0.0","4.46","0.65","2.92","0.0","0.0","0.0","0.0","23.62","68.67","307.24","153.62","283.62","238.57","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","3.78","0.34","0.66","0.0","2.51","0.66","1.65","0.0","0.0","0.0","0.0","25.26","68.67","307.24","153.62","281.97","238.57","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","3.78","0.33","0.66","0.0","1.88","0.66","1.24","0.33","0.33","0.0","0.0","26.17","68.67","307.24","153.62","281.07","238.57","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","3.78","1.14","0.66","0.0","2.02","1.14","2.3","5.71","5.71","0.0","0.0","22.76","68.67","307.24","153.62","284.47","238.57","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","3.78","1.12","0.66","0.0","3.22","1.12","3.59","0.88","0.88","0.0","0.0","25.48","68.67","307.24","153.62","281.76","238.57","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","3.78","0.87","0.67","0.0","4.58","0.87","3.97","0.0","0.0","0.0","0.0","29.44","68.67","307.24","153.62","277.8","238.57","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","3.78","0.69","0.67","0.0","5.26","0.69","3.64","0.0","0.0","0.0","0.0","33.08","68.67","307.24","153.62","274.16","238.57","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","3.78","0.59","0.67","0.0","5.52","0.67","3.7","0.0","0.0","0.0","0.0","36.79","68.67","307.24","153.62","270.45","238.57","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","3.78","0.52","0.67","0.0","5.57","0.67","3.75","0.0","0.0","0.0","0.0","40.54","68.67","307.24","153.62","266.7","238.57","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","3.78","0.47","0.68","0.0","5.2","0.68","3.52","0.0","0.0","0.0","0.0","44.05","68.67","307.24","153.62","263.18","238.57","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","3.78","0.44","0.68","0.0","4.93","0.68","3.35","0.0","0.0","0.0","0.0","47.4","68.67","307.24","153.62","259.84","238.57","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","3.78","0.41","0.68","0.0","5.35","0.68","3.64","0.0","0.0","0.0","0.0","51.04","68.67","307.24","153.62","256.2","238.57","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","3.78","0.38","0.68","0.0","6.32","0.68","4.32","0.0","0.0","0.0","0.0","55.36","68.67","307.24","153.62","251.88","238.57","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","3.78","0.35","0.69","0.0","7.24","0.69","4.97","0.0","0.0","0.0","0.0","60.33","68.67","307.24","153.62","246.91","238.57","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","3.78","0.33","0.69","0.0","6.77","0.69","4.66","0.0","0.0","0.0","0.0","64.99","68.67","307.24","153.62","242.25","238.57","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","3.78","0.32","0.69","0.0","6.08","0.69","4.2","0.0","0.0","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","69.19","","","","","","",""
"2016.0","5.0","20.0","141.0","3.78","0.31","0.69","0.0","4.95","0.69","3.43","0.0","0.0","0.0","0.0","3.43","68.67","307.24","153.62","303.81","238.57","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","3.78","0.3","0.7","0.0","3.91","0.7","2.72","0.0","0.0","0.0","0.0","6.15","68.67","307.24","153.62","301.09","238.57","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","3.78","0.29","0.7","0.0","4.27","0.7","2.98","0.01","0.01","0.0","0.0","9.13","68.67","307.24","153.62","298.11","238.57","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","3.78","0.28","0.7","0.0","4.9","0.7","3.43","0.0","0.0","0.0","0.0","12.56","68.67","307.24","153.62","294.68","238.57","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","3.78","0.28","0.7","0.0","4.88","0.7","3.43","0.0","0.0","0.0","0.0","15.99","68.67","307.24","153.62","291.25","238.57","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","3.78","0.27","0.71","0.0","5.16","0.71","3.64","0.0","0.0","0.0","0.0","19.63","68.67","307.24","153.62","287.61","238.57","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","3.78","0.26","0.71","0.0","5.46","0.71","3.87","0.0","0.0","0.0","0.0","23.5","68.67","307.24","153.62","283.74","238.57","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","3.78","0.25","0.71","0.0","5.87","0.71","4.17","0.0","0.0","0.0","0.0","27.67","68.67","307.24","153.62","279.57","238.57","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","3.78","0.24","0.71","0.0","6.71","0.71","4.79","0.0","0.0","0.0","0.0","32.46","68.67","307.24","153.62","274.78","238.57","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","3.78","0.24","0.72","0.0","6.25","0.72","4.47","0.0","0.0","0.0","0.0","36.93","68.67","307.24","153.62","270.31","238.57","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","3.78","0.23","0.72","0.0","6.48","0.72","4.65","0.0","0.0","0.0","0.0","41.58","68.67","307.24","153.62","265.65","238.57","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","3.78","0.23","0.72","0.0","6.79","0.72","4.89","0.0","0.0","0.0","0.0","46.48","68.67","307.24","153.62","260.76","238.57","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","3.78","0.22","0.72","0.0","6.66","0.72","4.82","0.0","0.0","0.0","0.0","51.29","68.67","307.24","153.62","255.94","238.57","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","3.78","0.21","0.73","0.0","6.66","0.73","4.83","0.0","0.0","0.0","0.0","56.13","68.67","307.24","153.62","251.11","238.57","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","3.78","0.21","0.73","0.0","7.06","0.73","5.14","0.0","0.0","0.0","0.0","61.27","68.67","307.24","153.62","245.97","238.57","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","3.78","0.21","0.73","0.0","5.11","0.73","3.73","0.0","0.0","0.0","0.0","65.0","68.67","307.24","153.62","242.24","238.57","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","3.78","0.2","0.73","0.0","7.26","0.73","5.32","0.0","0.0","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","70.32","","","","","","",""
"2016.0","6.0","6.0","158.0","3.78","0.2","0.74","0.0","6.66","0.74","4.9","0.0","0.0","0.0","0.0","4.9","68.67","307.24","153.62","302.34","238.57","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","3.78","0.19","0.74","0.0","6.41","0.74","4.73","0.0","0.0","0.0","0.0","9.63","68.67","307.24","153.62","297.61","238.57","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","3.78","0.19","0.74","0.0","6.1","0.74","4.52","0.0","0.0","0.0","0.0","14.15","68.67","307.24","153.62","293.09","238.57","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","3.78","0.19","0.74","0.0","5.92","0.74","4.4","0.0","0.0","0.0","0.0","18.54","68.67","307.24","153.62","288.69","238.57","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","3.78","0.18","0.75","0.0","6.34","0.75","4.73","0.0","0.0","0.0","0.0","23.27","68.67","307.24","153.62","283.97","238.57","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","3.78","0.18","0.75","0.0","6.63","0.75","4.96","0.0","0.0","0.0","0.0","28.23","68.67","307.24","153.62","279.01","238.57","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","3.78","0.18","0.75","0.0","6.49","0.75","4.87","0.0","0.0","0.0","0.0","33.1","68.67","307.24","153.62","274.14","238.57","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","3.78","0.18","0.75","0.0","6.18","0.75","4.65","0.0","0.0","0.0","0.0","37.75","68.67","307.24","153.62","269.49","238.57","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","3.78","0.17","0.76","0.0","6.18","0.76","4.67","0.0","0.0","0.0","0.0","42.42","68.67","307.24","153.62","264.82","238.57","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","3.78","0.17","0.76","0.0","5.33","0.76","4.04","0.0","0.0","0.0","0.0","46.46","68.67","307.24","153.62","260.78","238.57","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","3.78","0.17","0.76","0.0","5.34","0.76","4.06","0.0","0.0","0.0","0.0","50.52","68.67","307.24","153.62","256.72","238.57","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","3.78","0.17","0.76","0.0","5.01","0.76","3.82","0.0","0.0","0.0","0.0","54.34","68.67","307.24","153.62","252.9","238.57","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","3.78","0.17","0.77","0.0","6.2","0.77","4.74","0.0","0.0","0.0","0.0","59.09","68.67","307.24","153.62","248.15","238.57","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","3.78","0.16","0.77","0.0","6.84","0.77","5.25","0.0","0.0","0.0","0.0","64.34","68.67","307.24","153.62","242.9","238.57","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","3.78","0.16","0.77","0.0","7.15","0.77","5.51","0.0","0.0","0.0","0.0","0.0","68.67","307.24","153.62","307.24","238.57","69.85","","","","","","",""
"2016.0","6.0","21.0","173.0","3.78","0.16","0.77","0.0","7.59","0.77","5.87","0.0","0.0","0.0","0.0","5.87","68.67","307.24","153.62","301.37","238.57","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","3.78","0.16","0.78","0.0","7.32","0.78","5.67","0.0","0.0","0.0","0.0","11.54","68.67","307.24","153.62","295.7","238.57","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","3.78","0.15","0.78","0.0","7.37","0.78","5.73","0.0","0.0","0.0","0.0","17.27","68.67","307.24","153.62","289.97","238.57","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","3.78","0.15","0.78","0.0","6.72","0.78","5.24","0.0","0.0","0.0","0.0","22.51","68.67","307.24","153.62","284.72","238.57","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","3.78","0.15","0.78","0.0","7.49","0.78","5.86","0.0","0.0","0.0","0.0","28.38","68.67","307.24","153.62","278.86","238.57","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","3.78","0.15","0.79","0.0","7.36","0.79","5.78","0.0","0.0","0.0","0.0","34.15","68.67","307.24","153.62","273.08","238.57","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","3.78","0.15","0.79","0.0","7.71","0.79","6.07","0.0","0.0","0.0","0.0","40.23","68.67","307.24","153.62","267.01","238.57","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","3.78","0.14","0.79","0.0","7.6","0.79","6.0","0.0","0.0","0.0","0.0","46.23","68.67","307.24","153.62","261.01","238.57","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","3.78","0.14","0.79","0.0","6.89","0.79","5.46","0.0","0.0","0.0","0.0","51.69","68.67","307.24","153.62","255.55","238.57","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","3.78","0.14","0.8","0.0","6.7","0.8","5.33","0.0","0.0","0.0","0.0","57.02","68.67","307.24","153.62","250.22","238.57","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","3.78","0.14","0.8","0.0","6.67","0.8","5.32","0.0","0.0","0.0","0.0","62.34","68.67","307.24","153.62","244.9","238.57","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","3.78","0.14","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","67.63","68.67","307.24","153.62","239.6","238.57","0.0","","","","","","",""
