" Daily soil water balance output for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","11232.92","0.56","0.0","0.0","1.83","0.56","1.03","0.0","0.0","0.0","0.0","19.28","24.75","514.57","257.29","495.3","489.82","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","11232.92","0.54","0.0","0.0","2.35","0.54","1.26","0.0","0.0","0.0","0.0","20.54","24.75","514.57","257.29","494.04","489.82","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","11232.92","0.51","0.0","0.0","3.22","0.51","1.63","0.0","0.0","0.0","0.0","22.16","24.75","514.57","257.29","492.41","489.82","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","11232.92","0.48","0.0","0.0","2.64","0.48","1.28","0.0","0.0","0.0","0.0","23.44","24.75","514.57","257.29","491.13","489.82","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","11232.92","0.47","0.0","0.0","2.1","0.47","0.99","0.0","0.0","0.0","0.0","24.43","24.75","514.57","257.29","490.14","489.82","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","11232.92","0.45","0.0","0.0","2.65","0.45","1.2","0.0","0.0","0.0","0.0","25.63","24.75","514.57","257.29","488.94","489.82","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","11232.92","1.15","0.0","0.0","1.85","1.15","2.12","13.67","13.67","0.0","0.0","11.96","24.75","514.57","257.29","502.61","489.82","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","11232.92","1.16","0.0","0.0","1.55","1.16","1.79","3.73","3.73","0.0","0.0","10.03","24.75","514.57","257.29","504.55","489.82","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","11232.92","1.15","0.0","0.0","1.81","1.15","2.09","0.24","0.24","0.0","0.0","11.87","24.75","514.57","257.29","502.7","489.82","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","11232.92","1.15","0.0","0.0","1.96","1.15","2.25","0.0","0.0","0.0","0.0","14.12","24.75","514.57","257.29","500.45","489.82","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","11232.92","0.98","0.0","0.0","2.76","0.98","2.69","0.0","0.0","0.0","0.0","16.82","24.75","514.57","257.29","497.75","489.82","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","11232.92","0.86","0.0","0.0","2.38","0.86","2.04","0.0","0.0","0.0","0.0","18.86","24.75","514.57","257.29","495.71","489.82","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","11232.92","0.78","0.0","0.0","2.23","0.78","1.73","0.0","0.0","0.0","0.0","20.59","24.75","514.57","257.29","493.98","489.82","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","11232.92","0.71","0.0","0.0","2.35","0.71","1.68","0.0","0.0","0.0","0.0","22.27","24.75","514.57","257.29","492.3","489.82","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","11232.92","0.66","0.0","0.0","2.38","0.66","1.58","0.0","0.0","0.0","0.0","23.85","24.75","514.57","257.29","490.72","489.82","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","11232.92","0.63","0.0","0.0","2.08","0.63","1.3","0.0","0.0","0.0","0.0","25.15","24.75","514.57","257.29","489.42","489.82","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","11232.92","0.6","0.0","0.0","2.1","0.6","1.25","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","11232.92","0.56","0.0","0.0","2.69","0.56","1.51","0.0","0.0","0.0","0.0","26.26","24.75","514.57","257.29","488.31","489.82","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","11232.92","0.53","0.0","0.0","3.02","0.53","1.6","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","11232.92","0.5","0.0","0.0","2.66","0.5","1.34","0.0","0.0","0.0","0.0","26.09","24.75","514.57","257.29","488.48","489.82","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","11232.92","0.49","0.0","0.0","1.77","0.49","0.87","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","11232.92","0.48","0.0","0.0","1.55","0.48","0.74","0.14","0.14","0.0","0.0","25.35","24.75","514.57","257.29","489.22","489.82","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","11232.92","1.17","0.0","0.0","1.23","1.17","1.44","16.2","16.2","0.0","0.0","9.15","24.75","514.57","257.29","505.42","489.82","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","11232.92","1.13","0.0","0.0","2.17","1.13","2.46","38.99","11.61","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","11232.92","1.16","0.0","0.0","1.57","1.16","1.82","13.12","1.82","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","11232.92","1.15","0.0","0.0","1.76","1.15","2.02","2.77","2.02","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","11232.92","1.15","0.0","0.0","1.86","1.15","2.13","0.0","0.0","0.0","0.0","2.13","24.75","514.57","257.29","512.44","489.82","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","11232.92","1.15","0.0","0.0","1.4","1.15","1.61","0.02","0.02","0.0","0.0","3.73","24.75","514.57","257.29","510.84","489.82","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","11232.92","1.16","0.0","0.0","1.47","1.16","1.71","14.58","5.44","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","11232.92","1.16","0.0","0.0","1.54","1.16","1.78","12.59","1.78","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","11232.92","1.17","0.0","0.0","1.15","1.17","1.35","14.06","1.35","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","11232.92","1.12","0.0","0.0","2.55","1.12","2.85","12.93","2.85","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","11232.92","1.11","0.0","0.0","3.07","1.11","3.4","0.0","0.0","0.0","0.0","3.4","24.75","514.57","257.29","511.17","489.82","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","11232.92","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.28","24.75","514.57","257.29","508.29","489.82","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","11232.92","0.79","0.0","0.0","3.16","0.79","2.5","0.0","0.0","0.0","0.0","8.78","24.75","514.57","257.29","505.79","489.82","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","11232.92","0.7","0.0","0.0","3.19","0.7","2.24","0.0","0.0","0.0","0.0","11.02","24.75","514.57","257.29","503.55","489.82","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","11232.92","0.64","0.0","0.0","3.17","0.64","2.02","0.0","0.0","0.0","0.0","13.04","24.75","514.57","257.29","501.53","489.82","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","11232.92","0.6","0.0","0.0","2.2","0.6","1.33","0.0","0.0","0.0","0.0","14.37","24.75","514.57","257.29","500.2","489.82","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","11232.92","0.57","0.0","0.0","2.32","0.57","1.33","1.54","1.54","0.0","0.0","14.16","24.75","514.57","257.29","500.41","489.82","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","11232.92","0.54","0.0","0.0","2.92","0.54","1.57","1.83","1.83","0.0","0.0","13.9","24.75","514.57","257.29","500.67","489.82","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","11232.92","0.51","0.0","0.0","3.36","0.51","1.7","0.0","0.0","0.0","0.0","15.61","24.75","514.57","257.29","498.97","489.82","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","11232.92","0.48","0.0","0.0","3.2","0.48","1.54","0.0","0.0","0.0","0.0","17.14","24.75","514.57","257.29","497.43","489.82","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","11232.92","0.45","0.0","0.0","3.71","0.45","1.69","0.0","0.0","0.0","0.0","18.83","24.75","514.57","257.29","495.74","489.82","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","11232.92","0.43","0.0","0.0","4.47","0.43","1.91","0.0","0.0","0.0","0.0","20.74","24.75","514.57","257.29","493.83","489.82","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","11232.92","0.41","0.0","0.0","3.43","0.41","1.41","0.0","0.0","0.0","0.0","22.15","24.75","514.57","257.29","492.42","489.82","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","11232.92","0.39","0.0","0.0","3.53","0.39","1.39","0.0","0.0","0.0","0.0","23.55","24.75","514.57","257.29","491.03","489.82","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","11232.92","0.38","0.0","0.0","3.82","0.38","1.45","0.0","0.0","0.0","0.0","25.0","24.75","514.57","257.29","489.57","489.82","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","11232.92","0.37","0.0","0.0","3.64","0.37","1.33","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","11232.92","0.35","0.0","0.0","3.78","0.35","1.34","0.0","0.0","0.0","0.0","26.09","24.75","514.57","257.29","488.48","489.82","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","11232.92","0.34","0.45","0.0","3.67","0.45","1.65","0.0","0.0","0.0","0.0","27.74","110.77","514.57","257.29","486.83","403.8","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","11232.92","0.33","0.46","0.0","3.74","0.46","1.71","0.0","0.0","0.0","0.0","29.45","110.77","514.57","257.29","485.13","403.8","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","11232.92","0.32","0.46","0.0","4.08","0.46","1.89","0.0","0.0","0.0","0.0","31.33","110.77","514.57","257.29","483.24","403.8","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","11232.92","0.31","0.47","0.0","4.22","0.47","1.98","0.0","0.0","0.0","0.0","33.31","110.77","514.57","257.29","481.26","403.8","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","11232.92","0.3","0.47","0.0","5.72","0.47","2.71","0.0","0.0","0.0","0.0","36.02","110.77","514.57","257.29","478.55","403.8","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","11232.92","0.29","0.48","0.0","4.95","0.48","2.38","0.0","0.0","0.0","0.0","38.4","110.77","514.57","257.29","476.17","403.8","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","11232.92","0.29","0.49","0.0","4.34","0.49","2.11","0.0","0.0","0.0","0.0","40.52","110.77","514.57","257.29","474.06","403.8","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","11232.92","0.28","0.49","0.0","3.63","0.49","1.79","0.0","0.0","0.0","0.0","42.31","110.77","514.57","257.29","472.27","403.8","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","11232.92","0.28","0.5","0.0","1.42","0.5","0.71","1.32","1.32","0.0","0.0","41.7","110.77","514.57","257.29","472.88","403.8","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","11232.92","1.13","0.51","0.0","2.26","1.13","2.55","9.35","9.35","0.0","0.0","34.9","110.77","514.57","257.29","479.67","403.8","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","11232.92","1.11","0.51","0.0","3.33","1.11","3.69","0.43","0.43","0.0","0.0","38.16","110.77","514.57","257.29","476.41","403.8","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","11232.92","0.9","0.52","0.0","3.61","0.9","3.24","0.0","0.0","0.0","0.0","41.4","110.77","514.57","257.29","473.17","403.8","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","11232.92","0.74","0.52","0.0","4.28","0.74","3.16","0.0","0.0","0.0","0.0","44.56","110.77","514.57","257.29","470.01","403.8","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","11232.92","0.65","0.53","0.0","4.01","0.65","2.59","0.67","0.67","0.0","0.0","46.48","110.77","514.57","257.29","468.09","403.8","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","11232.92","0.56","0.54","0.0","5.41","0.56","3.04","0.0","0.0","0.0","0.0","49.51","110.77","514.57","257.29","465.06","403.8","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","11232.92","0.5","0.54","0.0","5.5","0.54","2.98","0.0","0.0","0.0","0.0","52.5","110.77","514.57","257.29","462.08","403.8","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","11232.92","0.46","0.55","0.0","4.75","0.55","2.6","0.0","0.0","0.0","0.0","55.1","110.77","514.57","257.29","459.47","403.8","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","11232.92","0.43","0.55","0.0","5.12","0.55","2.84","0.0","0.0","0.0","0.0","57.94","110.77","514.57","257.29","456.63","403.8","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","11232.92","0.4","0.56","0.0","5.07","0.56","2.84","0.0","0.0","0.0","0.0","60.78","110.77","514.57","257.29","453.79","403.8","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","11232.92","0.38","0.57","0.0","5.26","0.57","2.98","0.0","0.0","0.0","0.0","63.76","110.77","514.57","257.29","450.81","403.8","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","11232.92","0.37","0.57","0.0","3.95","0.57","2.26","0.0","0.0","0.0","0.0","66.02","110.77","514.57","257.29","448.55","403.8","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","11232.92","0.36","0.58","0.0","2.78","0.58","1.61","0.28","0.28","0.0","0.0","67.35","110.77","514.57","257.29","447.22","403.8","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","11232.92","1.06","0.59","0.0","3.98","1.06","4.22","6.11","6.11","0.0","0.0","65.47","110.77","514.57","257.29","449.11","403.8","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","11232.92","0.92","0.59","0.0","4.44","0.92","4.08","0.0","0.0","0.0","0.0","69.55","110.77","514.57","257.29","445.03","403.8","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","11232.92","0.71","0.6","0.0","5.39","0.71","3.84","0.0","0.0","0.0","0.0","73.38","110.77","514.57","257.29","441.19","403.8","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","11232.92","0.62","0.6","0.0","4.58","0.62","2.83","0.0","0.0","0.0","0.0","76.21","110.77","514.57","257.29","438.36","403.8","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","11232.92","0.57","0.61","0.0","3.62","0.61","2.21","0.0","0.0","0.0","0.0","78.42","110.77","514.57","257.29","436.16","403.8","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","11232.92","0.5","0.62","0.0","5.82","0.62","3.58","4.55","4.55","0.0","0.0","77.45","110.77","514.57","257.29","437.12","403.8","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","11232.92","0.46","0.62","0.0","5.17","0.62","3.22","0.0","0.0","0.0","0.0","80.67","110.77","514.57","257.29","433.91","403.8","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","11232.92","0.41","0.63","0.0","7.43","0.63","4.67","0.03","0.03","0.0","0.0","85.3","110.77","514.57","257.29","429.27","403.8","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","11232.92","0.38","0.63","0.0","5.97","0.63","3.79","0.0","0.0","0.0","0.0","89.09","110.77","514.57","257.29","425.48","403.8","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","11232.92","0.36","0.64","0.0","5.45","0.64","3.49","0.0","0.0","0.0","0.0","92.58","110.77","514.57","257.29","421.99","403.8","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","11232.92","0.35","0.65","0.0","4.6","0.65","2.97","0.0","0.0","0.0","0.0","95.55","110.77","514.57","257.29","419.02","403.8","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","11232.92","0.33","0.65","0.0","4.92","0.65","3.21","0.0","0.0","0.0","0.0","98.76","110.77","514.57","257.29","415.81","403.8","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","11232.92","0.33","0.66","0.0","2.31","0.66","1.52","0.16","0.16","0.0","0.0","100.13","110.77","514.57","257.29","414.45","403.8","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","11232.92","0.33","0.66","0.0","2.18","0.66","1.45","1.17","1.17","0.0","0.0","100.41","110.77","514.57","257.29","414.17","403.8","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","11232.92","0.32","0.67","0.0","2.15","0.67","1.44","1.04","1.04","0.0","0.0","100.81","110.77","514.57","257.29","413.76","403.8","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","11232.92","0.31","0.68","0.0","3.26","0.68","2.21","1.91","1.91","0.0","0.0","101.11","110.77","514.57","257.29","413.47","403.8","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","11232.92","0.3","0.68","0.0","4.71","0.68","3.22","0.0","0.0","0.0","0.0","104.32","110.77","514.57","257.29","410.25","403.8","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","11232.92","0.29","0.69","0.0","5.78","0.69","3.99","0.0","0.0","0.0","0.0","108.31","110.77","514.57","257.29","406.26","403.8","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","11232.92","0.28","0.7","0.0","6.12","0.7","4.26","0.0","0.0","0.0","0.0","0.0","110.77","514.57","257.29","514.57","403.8","112.57","","","","","","",""
"2016.0","5.0","12.0","133.0","11232.92","0.27","0.7","0.0","6.17","0.7","4.33","0.0","0.0","0.0","0.0","4.33","110.77","514.57","257.29","510.24","403.8","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","11232.92","0.26","0.71","0.0","5.78","0.71","4.09","0.0","0.0","0.0","0.0","8.42","110.77","514.57","257.29","506.15","403.8","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","11232.92","0.26","0.71","0.0","5.15","0.71","3.68","0.0","0.0","0.0","0.0","12.1","110.77","514.57","257.29","502.47","403.8","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","11232.92","0.25","0.72","0.0","5.59","0.72","4.03","0.0","0.0","0.0","0.0","16.12","110.77","514.57","257.29","498.45","403.8","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","11232.92","0.24","0.73","0.0","6.64","0.73","4.82","0.0","0.0","0.0","0.0","20.95","110.77","514.57","257.29","493.63","403.8","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","11232.92","0.23","0.73","0.0","7.82","0.73","5.73","0.0","0.0","0.0","0.0","26.68","110.77","514.57","257.29","487.9","403.8","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","11232.92","0.23","0.74","0.0","7.09","0.74","5.24","0.0","0.0","0.0","0.0","31.91","110.77","514.57","257.29","482.66","403.8","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","11232.92","0.22","0.74","0.0","6.34","0.74","4.72","0.0","0.0","0.0","0.0","36.63","110.77","514.57","257.29","477.94","403.8","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","11232.92","0.22","0.75","0.0","4.71","0.75","3.54","0.0","0.0","0.0","0.0","40.17","110.77","514.57","257.29","474.4","403.8","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","11232.92","0.22","0.76","0.0","4.08","0.76","3.09","3.3","3.3","0.0","0.0","39.96","110.77","514.57","257.29","474.61","403.8","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","11232.92","0.21","0.76","0.0","4.38","0.76","3.34","0.7","0.7","0.0","0.0","42.6","110.77","514.57","257.29","471.97","403.8","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","11232.92","0.21","0.77","0.0","4.66","0.77","3.58","0.0","0.0","0.0","0.0","46.19","110.77","514.57","257.29","468.39","403.8","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","11232.92","0.21","0.78","0.0","4.86","0.78","3.77","0.0","0.0","0.0","0.0","49.95","110.77","514.57","257.29","464.62","403.8","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","11232.92","0.2","0.78","0.0","5.33","0.78","4.17","0.0","0.0","0.0","0.0","54.12","110.77","514.57","257.29","460.45","403.8","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","11232.92","0.2","0.79","0.0","5.8","0.79","4.57","0.0","0.0","0.0","0.0","58.69","110.77","514.57","257.29","455.88","403.8","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","11232.92","0.2","0.79","0.0","6.09","0.79","4.83","0.0","0.0","0.0","0.0","63.52","110.77","514.57","257.29","451.05","403.8","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","11232.92","0.19","0.8","0.0","7.02","0.8","5.62","0.0","0.0","0.0","0.0","69.14","110.77","514.57","257.29","445.43","403.8","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","11232.92","0.19","0.8","0.0","6.61","0.8","5.29","0.0","0.0","0.0","0.0","74.43","110.77","514.57","257.29","440.14","403.8","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","11232.92","0.19","0.8","0.0","6.86","0.8","5.49","0.0","0.0","0.0","0.0","79.92","110.77","514.57","257.29","434.66","403.8","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","11232.92","0.18","0.8","0.0","7.19","0.8","5.75","0.0","0.0","0.0","0.0","85.67","110.77","514.57","257.29","428.9","403.8","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","11232.92","0.18","0.8","0.0","7.38","0.8","5.9","0.0","0.0","0.0","0.0","91.57","110.77","514.57","257.29","423.0","403.8","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","11232.92","0.18","0.8","0.0","6.92","0.8","5.54","0.0","0.0","0.0","0.0","97.11","110.77","514.57","257.29","417.46","403.8","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","11232.92","0.17","0.8","0.0","7.41","0.8","5.93","0.0","0.0","0.0","0.0","103.04","110.77","514.57","257.29","411.54","403.8","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","11232.92","0.17","0.8","0.0","4.7","0.8","3.76","0.0","0.0","0.0","0.0","106.8","110.77","514.57","257.29","407.78","403.8","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","11232.92","0.17","0.8","0.0","7.65","0.8","6.12","0.0","0.0","0.0","0.0","0.0","110.77","514.57","257.29","514.57","403.8","112.92","","","","","","",""
"2016.0","6.0","6.0","158.0","11232.92","0.17","0.8","0.0","7.32","0.8","5.86","0.0","0.0","0.0","0.0","5.86","110.77","514.57","257.29","508.72","403.8","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","11232.92","0.16","0.8","0.0","6.88","0.8","5.5","0.0","0.0","0.0","0.0","11.36","110.77","514.57","257.29","503.21","403.8","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","11232.92","0.16","0.8","0.0","6.66","0.8","5.33","0.0","0.0","0.0","0.0","16.69","110.77","514.57","257.29","497.88","403.8","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","11232.92","0.16","0.8","0.0","6.33","0.8","5.06","0.0","0.0","0.0","0.0","21.75","110.77","514.57","257.29","492.82","403.8","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","11232.92","0.16","0.8","0.0","6.63","0.8","5.3","0.0","0.0","0.0","0.0","27.06","110.77","514.57","257.29","487.52","403.8","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","11232.92","0.15","0.8","0.0","6.93","0.8","5.54","0.0","0.0","0.0","0.0","32.6","110.77","514.57","257.29","481.97","403.8","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","11232.92","0.15","0.8","0.0","7.07","0.8","5.66","0.0","0.0","0.0","0.0","38.26","110.77","514.57","257.29","476.32","403.8","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","11232.92","0.15","0.8","0.0","6.74","0.8","5.39","0.0","0.0","0.0","0.0","43.65","110.77","514.57","257.29","470.92","403.8","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","11232.92","0.15","0.8","0.0","6.25","0.8","5.0","0.0","0.0","0.0","0.0","48.65","110.77","514.57","257.29","465.92","403.8","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","11232.92","0.15","0.8","0.0","5.13","0.8","4.1","0.0","0.0","0.0","0.0","52.75","110.77","514.57","257.29","461.82","403.8","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","11232.92","0.15","0.8","0.0","5.19","0.8","4.15","0.0","0.0","0.0","0.0","56.9","110.77","514.57","257.29","457.67","403.8","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","11232.92","0.15","0.8","0.0","4.72","0.8","3.78","0.0","0.0","0.0","0.0","60.68","110.77","514.57","257.29","453.89","403.8","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","11232.92","0.14","0.8","0.0","6.09","0.8","4.87","0.0","0.0","0.0","0.0","65.55","110.77","514.57","257.29","449.02","403.8","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","11232.92","0.14","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","70.97","110.77","514.57","257.29","443.6","403.8","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","11232.92","0.14","0.8","0.0","7.37","0.8","5.9","0.0","0.0","0.0","0.0","76.86","110.77","514.57","257.29","437.71","403.8","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","11232.92","0.14","0.8","0.0","7.68","0.8","6.14","0.0","0.0","0.0","0.0","83.01","110.77","514.57","257.29","431.56","403.8","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","11232.92","0.14","0.8","0.0","7.83","0.8","6.26","0.0","0.0","0.0","0.0","89.27","110.77","514.57","257.29","425.3","403.8","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","11232.92","0.14","0.8","0.0","7.67","0.8","6.14","0.0","0.0","0.0","0.0","95.41","110.77","514.57","257.29","419.16","403.8","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","11232.92","0.13","0.8","0.0","7.0","0.8","5.6","0.0","0.0","0.0","0.0","101.01","110.77","514.57","257.29","413.56","403.8","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","11232.92","0.13","0.8","0.0","7.78","0.8","6.22","0.0","0.0","0.0","0.0","107.23","110.77","514.57","257.29","407.34","403.8","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","11232.92","0.13","0.8","0.0","7.64","0.8","6.11","0.0","0.0","0.0","0.0","0.0","110.77","514.57","257.29","514.57","403.8","113.34","","","","","","",""
"2016.0","6.0","27.0","179.0","11232.92","0.13","0.8","0.0","8.07","0.8","6.46","0.0","0.0","0.0","0.0","6.46","110.77","514.57","257.29","508.12","403.8","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","11232.92","0.13","0.8","0.0","8.11","0.8","6.49","0.0","0.0","0.0","0.0","12.94","110.77","514.57","257.29","501.63","403.8","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","11232.92","0.13","0.8","0.0","7.53","0.8","6.02","0.0","0.0","0.0","0.0","18.97","110.77","514.57","257.29","495.6","403.8","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","11232.92","0.13","0.8","0.0","7.46","0.8","5.97","0.0","0.0","0.0","0.0","24.94","110.77","514.57","257.29","489.64","403.8","0.0","","","","","","",""
