" Daily soil water balance output for Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly outputfor Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","15888.31","0.56","0.95","0.0","1.78","0.95","1.69","0.0","0.0","0.0","0.0","23.97","51.35","214.58","107.29","190.61","163.22","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","15888.31","0.54","0.95","0.0","2.3","0.95","2.19","0.0","0.0","0.0","0.0","26.16","51.35","214.58","107.29","188.42","163.22","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","15888.31","0.51","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","29.12","51.35","214.58","107.29","185.46","163.22","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","15888.31","0.49","0.95","0.0","2.59","0.95","2.46","0.0","0.0","0.0","0.0","31.58","51.35","214.58","107.29","183.0","163.22","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","15888.31","0.47","0.95","0.0","2.08","0.95","1.98","0.0","0.0","0.0","0.0","33.56","51.35","214.58","107.29","181.02","163.22","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","15888.31","0.46","0.95","0.0","2.57","0.95","2.44","0.01","0.01","0.0","0.0","35.99","51.35","214.58","107.29","178.59","163.22","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","15888.31","1.15","0.95","0.0","1.86","1.15","2.13","10.65","10.65","0.0","0.0","27.47","51.35","214.58","107.29","187.11","163.22","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","15888.31","1.16","0.95","0.0","1.54","1.16","1.78","3.5","3.5","0.0","0.0","25.75","51.35","214.58","107.29","188.82","163.22","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","15888.31","1.15","0.95","0.0","1.79","1.15","2.06","0.06","0.06","0.0","0.0","27.76","51.35","214.58","107.29","186.82","163.22","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","15888.31","1.15","0.95","0.0","1.95","1.15","2.24","0.0","0.0","0.0","0.0","30.0","51.35","214.58","107.29","184.58","163.22","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","15888.31","0.98","0.95","0.0","2.69","0.98","2.65","0.0","0.0","0.0","0.0","32.65","51.35","214.58","107.29","181.93","163.22","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","15888.31","0.86","0.95","0.0","2.39","0.95","2.27","0.0","0.0","0.0","0.0","34.92","51.35","214.58","107.29","179.66","163.22","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","15888.31","0.78","0.95","0.0","2.21","0.95","2.1","0.0","0.0","0.0","0.0","37.02","51.35","214.58","107.29","177.56","163.22","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","15888.31","0.72","0.95","0.0","2.32","0.95","2.2","0.0","0.0","0.0","0.0","39.22","51.35","214.58","107.29","175.36","163.22","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","15888.31","0.67","0.95","0.0","2.34","0.95","2.22","0.0","0.0","0.0","0.0","41.44","51.35","214.58","107.29","173.14","163.22","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","15888.31","0.63","0.95","0.0","2.18","0.95","2.07","0.0","0.0","0.0","0.0","43.51","51.35","214.58","107.29","171.06","163.22","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","15888.31","0.6","0.95","0.0","2.07","0.95","1.97","0.0","0.0","0.0","0.0","45.48","51.35","214.58","107.29","169.1","163.22","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","15888.31","0.56","0.95","0.0","2.62","0.95","2.49","0.0","0.0","0.0","0.0","47.97","51.35","214.58","107.29","166.61","163.22","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","15888.31","0.53","0.95","0.0","2.94","0.95","2.79","0.0","0.0","0.0","0.0","50.76","51.35","214.58","107.29","163.82","163.22","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","15888.31","0.51","0.95","0.0","2.57","0.95","2.44","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","53.2","","","","","","",""
"2016.0","3.0","3.0","63.0","15888.31","0.49","0.95","0.0","1.76","0.95","1.67","0.0","0.0","0.0","0.0","1.67","51.35","214.58","107.29","212.91","163.22","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","15888.31","0.48","0.95","0.0","1.47","0.95","1.4","0.08","0.08","0.0","0.0","2.99","51.35","214.58","107.29","211.59","163.22","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","15888.31","1.17","0.95","0.0","1.19","1.17","1.4","13.37","4.38","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","15888.31","1.13","0.95","0.0","2.19","1.13","2.48","48.26","2.48","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","15888.31","1.16","0.95","0.0","1.61","1.16","1.86","13.88","1.86","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","15888.31","1.15","0.95","0.0","1.79","1.15","2.06","1.54","1.54","0.0","0.0","0.52","51.35","214.58","107.29","214.06","163.22","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","15888.31","1.15","0.95","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","2.58","51.35","214.58","107.29","212.0","163.22","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","15888.31","1.09","0.95","0.0","1.41","1.09","1.53","0.07","0.07","0.0","0.0","4.04","51.35","214.58","107.29","210.53","163.22","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","15888.31","1.16","0.95","0.0","1.45","1.16","1.68","13.58","5.73","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","15888.31","1.16","0.95","0.0","1.5","1.16","1.74","9.41","1.74","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","15888.31","1.17","0.95","0.0","1.17","1.17","1.37","11.27","1.37","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","15888.31","1.12","0.95","0.0","2.57","1.12","2.87","11.81","2.87","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","15888.31","1.11","0.95","0.0","3.03","1.11","3.36","0.0","0.0","0.0","0.0","3.36","51.35","214.58","107.29","211.22","163.22","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","15888.31","0.93","0.95","0.0","3.1","0.95","2.95","0.0","0.0","0.0","0.0","6.3","51.35","214.58","107.29","208.28","163.22","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","15888.31","0.79","0.95","0.0","3.14","0.95","2.98","0.0","0.0","0.0","0.0","9.29","51.35","214.58","107.29","205.29","163.22","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","15888.31","0.71","0.95","0.0","3.12","0.95","2.96","0.0","0.0","0.0","0.0","12.25","51.35","214.58","107.29","202.33","163.22","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","15888.31","0.64","0.95","0.0","3.11","0.95","2.95","0.0","0.0","0.0","0.0","15.2","51.35","214.58","107.29","199.38","163.22","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","15888.31","0.61","0.95","0.0","2.14","0.95","2.03","0.0","0.0","0.0","0.0","17.24","51.35","214.58","107.29","197.34","163.22","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","15888.31","0.58","0.95","0.0","2.2","0.95","2.09","1.3","1.3","0.0","0.0","18.03","51.35","214.58","107.29","196.55","163.22","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","15888.31","0.54","0.95","0.0","2.94","0.95","2.79","0.94","0.94","0.0","0.0","19.88","51.35","214.58","107.29","194.7","163.22","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","15888.31","0.51","0.95","0.0","3.34","0.95","3.17","0.0","0.0","0.0","0.0","23.05","51.35","214.58","107.29","191.53","163.22","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","15888.31","0.48","0.95","0.0","3.19","0.95","3.03","0.0","0.0","0.0","0.0","26.08","51.35","214.58","107.29","188.5","163.22","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","15888.31","0.46","0.95","0.0","3.68","0.95","3.5","0.0","0.0","0.0","0.0","29.58","51.35","214.58","107.29","185.0","163.22","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","15888.31","0.43","0.95","0.0","4.39","0.95","4.17","0.0","0.0","0.0","0.0","33.75","51.35","214.58","107.29","180.83","163.22","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","15888.31","0.41","0.95","0.0","3.47","0.95","3.3","0.0","0.0","0.0","0.0","37.05","51.35","214.58","107.29","177.53","163.22","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","15888.31","0.4","0.95","0.0","3.49","0.95","3.32","0.0","0.0","0.0","0.0","40.36","51.35","214.58","107.29","174.22","163.22","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","15888.31","0.38","0.95","0.0","3.77","0.95","3.58","0.0","0.0","0.0","0.0","43.94","51.35","214.58","107.29","170.64","163.22","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","15888.31","0.37","0.95","0.0","3.58","0.95","3.4","0.0","0.0","0.0","0.0","47.34","51.35","214.58","107.29","167.23","163.22","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","15888.31","0.36","0.95","0.0","3.76","0.95","3.57","0.0","0.0","0.0","0.0","50.92","51.35","214.58","107.29","163.66","163.22","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","15888.31","0.35","0.95","0.0","3.65","0.95","3.47","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","54.38","","","","","","",""
"2016.0","4.0","2.0","93.0","15888.31","0.34","0.95","0.0","3.74","0.95","3.55","0.0","0.0","0.0","0.0","3.55","51.35","214.58","107.29","211.03","163.22","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","15888.31","0.33","0.95","0.0","4.02","0.95","3.82","0.0","0.0","0.0","0.0","7.37","51.35","214.58","107.29","207.21","163.22","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","15888.31","0.32","0.95","0.0","4.17","0.95","3.96","0.0","0.0","0.0","0.0","11.33","51.35","214.58","107.29","203.25","163.22","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","15888.31","0.3","0.95","0.0","5.61","0.95","5.33","0.0","0.0","0.0","0.0","16.66","51.35","214.58","107.29","197.92","163.22","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","15888.31","0.29","0.95","0.0","4.91","0.95","4.66","0.0","0.0","0.0","0.0","21.33","51.35","214.58","107.29","193.25","163.22","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","15888.31","0.29","0.95","0.0","4.31","0.95","4.09","0.0","0.0","0.0","0.0","25.42","51.35","214.58","107.29","189.16","163.22","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","15888.31","0.28","0.95","0.0","3.47","0.95","3.3","0.01","0.01","0.0","0.0","28.71","51.35","214.58","107.29","185.87","163.22","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","15888.31","0.28","0.95","0.0","1.5","0.95","1.43","2.32","2.32","0.0","0.0","27.81","51.35","214.58","107.29","186.77","163.22","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","15888.31","1.13","0.95","0.0","2.21","1.13","2.5","8.95","8.95","0.0","0.0","21.36","51.35","214.58","107.29","193.21","163.22","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","15888.31","1.11","0.95","0.0","3.25","1.11","3.61","0.45","0.45","0.0","0.0","24.52","51.35","214.58","107.29","190.05","163.22","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","15888.31","0.91","0.95","0.0","3.47","0.95","3.3","0.0","0.0","0.0","0.0","27.82","51.35","214.58","107.29","186.76","163.22","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","15888.31","0.75","0.95","0.0","4.25","0.95","4.04","0.0","0.0","0.0","0.0","31.86","51.35","214.58","107.29","182.72","163.22","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","15888.31","0.65","0.95","0.0","4.05","0.95","3.85","0.48","0.48","0.0","0.0","35.23","51.35","214.58","107.29","179.35","163.22","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","15888.31","0.57","0.95","0.0","5.4","0.95","5.13","0.0","0.0","0.0","0.0","40.36","51.35","214.58","107.29","174.22","163.22","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","15888.31","0.51","0.95","0.0","5.38","0.95","5.11","0.0","0.0","0.0","0.0","45.47","51.35","214.58","107.29","169.11","163.22","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","15888.31","0.47","0.95","0.0","4.72","0.95","4.48","0.0","0.0","0.0","0.0","49.95","51.35","214.58","107.29","164.63","163.22","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","15888.31","0.43","0.95","0.0","5.09","0.95","4.84","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","54.79","","","","","","",""
"2016.0","4.0","19.0","110.0","15888.31","0.41","0.95","0.0","4.97","0.95","4.72","0.0","0.0","0.0","0.0","4.72","51.35","214.58","107.29","209.86","163.22","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","15888.31","0.38","0.95","0.0","5.11","0.95","4.85","0.0","0.0","0.0","0.0","9.58","51.35","214.58","107.29","205.0","163.22","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","15888.31","0.37","0.95","0.0","3.83","0.95","3.64","0.0","0.0","0.0","0.0","13.21","51.35","214.58","107.29","201.36","163.22","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","15888.31","0.36","0.95","0.0","2.88","0.95","2.74","0.12","0.12","0.0","0.0","15.83","51.35","214.58","107.29","198.75","163.22","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","15888.31","0.35","0.95","0.0","3.96","0.95","3.76","2.58","2.58","0.0","0.0","17.01","51.35","214.58","107.29","197.57","163.22","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","15888.31","0.34","0.95","0.0","4.41","0.95","4.19","0.0","0.0","0.0","0.0","21.2","51.35","214.58","107.29","193.38","163.22","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","15888.31","0.32","0.95","0.0","5.39","0.95","5.12","0.0","0.0","0.0","0.0","26.32","51.35","214.58","107.29","188.26","163.22","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","15888.31","0.31","0.95","0.0","4.64","0.95","4.41","0.0","0.0","0.0","0.0","30.73","51.35","214.58","107.29","183.85","163.22","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","15888.31","0.3","0.95","0.0","3.84","0.95","3.65","0.0","0.0","0.0","0.0","34.38","51.35","214.58","107.29","180.2","163.22","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","15888.31","0.29","0.95","0.0","5.73","0.95","5.44","3.95","3.95","0.0","0.0","35.87","51.35","214.58","107.29","178.71","163.22","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","15888.31","0.28","0.95","0.0","5.1","0.95","4.85","0.0","0.0","0.0","0.0","40.72","51.35","214.58","107.29","173.86","163.22","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","15888.31","0.27","0.95","0.0","7.38","0.95","7.01","0.0","0.0","0.0","0.0","47.73","51.35","214.58","107.29","166.85","163.22","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","15888.31","0.26","0.95","0.0","5.87","0.95","5.58","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","53.3","","","","","","",""
"2016.0","5.0","2.0","123.0","15888.31","0.26","0.95","0.0","5.3","0.95","5.04","0.0","0.0","0.0","0.0","5.04","51.35","214.58","107.29","209.54","163.22","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","15888.31","0.25","0.95","0.0","4.33","0.95","4.11","0.0","0.0","0.0","0.0","9.15","51.35","214.58","107.29","205.43","163.22","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","15888.31","0.25","0.95","0.0","4.83","0.95","4.59","0.0","0.0","0.0","0.0","13.74","51.35","214.58","107.29","200.84","163.22","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","15888.31","0.24","0.95","0.0","2.3","0.95","2.19","0.02","0.02","0.0","0.0","15.9","51.35","214.58","107.29","198.68","163.22","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","15888.31","0.24","0.95","0.0","2.1","0.95","2.0","0.13","0.13","0.0","0.0","17.77","51.35","214.58","107.29","196.81","163.22","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","15888.31","0.24","0.95","0.0","2.06","0.95","1.96","1.36","1.36","0.0","0.0","18.36","51.35","214.58","107.29","196.22","163.22","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","15888.31","0.24","0.95","0.0","3.2","0.95","3.04","2.24","2.24","0.0","0.0","19.16","51.35","214.58","107.29","195.42","163.22","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","15888.31","0.23","0.95","0.0","4.63","0.95","4.4","0.0","0.0","0.0","0.0","23.56","51.35","214.58","107.29","191.02","163.22","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","15888.31","0.23","0.95","0.0","5.64","0.95","5.36","0.0","0.0","0.0","0.0","28.92","51.35","214.58","107.29","185.66","163.22","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","15888.31","0.22","0.95","0.0","5.95","0.95","5.65","0.0","0.0","0.0","0.0","34.57","51.35","214.58","107.29","180.01","163.22","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","15888.31","0.22","0.95","0.0","5.92","0.95","5.62","0.0","0.0","0.0","0.0","40.2","51.35","214.58","107.29","174.38","163.22","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","15888.31","0.21","0.95","0.0","5.56","0.95","5.28","0.0","0.0","0.0","0.0","45.48","51.35","214.58","107.29","169.1","163.22","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","15888.31","0.21","0.95","0.0","5.05","0.95","4.8","0.0","0.0","0.0","0.0","50.28","51.35","214.58","107.29","164.3","163.22","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","15888.31","0.21","0.95","0.0","5.51","0.95","5.23","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","55.51","","","","","","",""
"2016.0","5.0","16.0","137.0","15888.31","0.2","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","6.22","51.35","214.58","107.29","208.36","163.22","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","15888.31","0.2","0.95","0.0","7.65","0.95","7.27","0.0","0.0","0.0","0.0","13.49","51.35","214.58","107.29","201.09","163.22","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","15888.31","0.19","0.95","0.0","7.01","0.95","6.66","0.0","0.0","0.0","0.0","20.15","51.35","214.58","107.29","194.43","163.22","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","15888.31","0.19","0.95","0.0","6.2","0.95","5.89","0.0","0.0","0.0","0.0","26.04","51.35","214.58","107.29","188.54","163.22","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","15888.31","0.19","0.95","0.0","4.88","0.95","4.64","0.0","0.0","0.0","0.0","30.68","51.35","214.58","107.29","183.9","163.22","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","15888.31","0.19","0.95","0.0","4.07","0.95","3.87","0.51","0.51","0.0","0.0","34.03","51.35","214.58","107.29","180.55","163.22","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","15888.31","0.18","0.95","0.0","4.31","0.95","4.09","0.2","0.2","0.0","0.0","37.93","51.35","214.58","107.29","176.65","163.22","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","15888.31","0.18","0.95","0.0","4.77","0.95","4.53","0.0","0.0","0.0","0.0","42.46","51.35","214.58","107.29","172.12","163.22","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","15888.31","0.18","0.95","0.0","4.82","0.95","4.58","0.0","0.0","0.0","0.0","47.04","51.35","214.58","107.29","167.54","163.22","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","15888.31","0.18","0.95","0.0","5.25","0.95","4.99","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","52.02","","","","","","",""
"2016.0","5.0","26.0","147.0","15888.31","0.18","0.95","0.0","5.68","0.95","5.4","0.0","0.0","0.0","0.0","5.4","51.35","214.58","107.29","209.18","163.22","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","15888.31","0.17","0.95","0.0","5.98","0.95","5.68","0.0","0.0","0.0","0.0","11.08","51.35","214.58","107.29","203.5","163.22","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","15888.31","0.17","0.95","0.0","6.9","0.95","6.56","0.0","0.0","0.0","0.0","17.63","51.35","214.58","107.29","196.95","163.22","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","15888.31","0.17","0.95","0.0","6.43","0.95","6.11","0.0","0.0","0.0","0.0","23.74","51.35","214.58","107.29","190.84","163.22","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","15888.31","0.17","0.95","0.0","6.72","0.95","6.38","0.0","0.0","0.0","0.0","30.12","51.35","214.58","107.29","184.45","163.22","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","15888.31","0.16","0.95","0.0","7.04","0.95","6.69","0.0","0.0","0.0","0.0","36.81","51.35","214.58","107.29","177.77","163.22","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","15888.31","0.16","0.95","0.0","7.1","0.95","6.75","0.0","0.0","0.0","0.0","43.56","51.35","214.58","107.29","171.02","163.22","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","15888.31","0.16","0.95","0.0","6.77","0.95","6.43","0.0","0.0","0.0","0.0","49.99","51.35","214.58","107.29","164.59","163.22","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","15888.31","0.16","0.95","0.0","7.21","0.95","6.85","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","56.84","","","","","","",""
"2016.0","6.0","4.0","156.0","15888.31","0.16","0.95","0.0","4.79","0.95","4.55","0.0","0.0","0.0","0.0","4.55","51.35","214.58","107.29","210.03","163.22","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","15888.31","0.15","0.95","0.0","7.5","0.95","7.13","0.0","0.0","0.0","0.0","11.68","51.35","214.58","107.29","202.9","163.22","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","15888.31","0.15","0.95","0.0","7.01","0.95","6.66","0.0","0.0","0.0","0.0","18.34","51.35","214.58","107.29","196.24","163.22","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","15888.31","0.15","0.95","0.0","6.63","0.95","6.3","0.0","0.0","0.0","0.0","24.63","51.35","214.58","107.29","189.95","163.22","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","15888.31","0.15","0.95","0.0","6.37","0.95","6.05","0.0","0.0","0.0","0.0","30.69","51.35","214.58","107.29","183.89","163.22","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","15888.31","0.15","0.95","0.0","6.1","0.95","5.8","0.0","0.0","0.0","0.0","36.48","51.35","214.58","107.29","178.1","163.22","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","15888.31","0.15","0.95","0.0","6.5","0.95","6.18","0.0","0.0","0.0","0.0","42.66","51.35","214.58","107.29","171.92","163.22","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","15888.31","0.14","0.95","0.0","6.86","0.95","6.52","0.0","0.0","0.0","0.0","49.17","51.35","214.58","107.29","165.41","163.22","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","15888.31","0.14","0.95","0.0","6.89","0.95","6.55","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","55.72","","","","","","",""
"2016.0","6.0","13.0","165.0","15888.31","0.14","0.95","0.0","6.55","0.95","6.22","0.0","0.0","0.0","0.0","6.22","51.35","214.58","107.29","208.36","163.22","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","15888.31","0.14","0.95","0.0","6.15","0.95","5.84","0.0","0.0","0.0","0.0","12.07","51.35","214.58","107.29","202.51","163.22","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","15888.31","0.14","0.95","0.0","5.14","0.95","4.88","0.0","0.0","0.0","0.0","16.95","51.35","214.58","107.29","197.63","163.22","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","15888.31","0.14","0.95","0.0","5.15","0.95","4.89","0.0","0.0","0.0","0.0","21.84","51.35","214.58","107.29","192.74","163.22","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","15888.31","0.14","0.95","0.0","4.72","0.95","4.48","0.0","0.0","0.0","0.0","26.32","51.35","214.58","107.29","188.25","163.22","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","15888.31","0.14","0.95","0.0","6.09","0.95","5.79","0.0","0.0","0.0","0.0","32.11","51.35","214.58","107.29","182.47","163.22","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","15888.31","0.13","0.95","0.0","6.76","0.95","6.42","0.0","0.0","0.0","0.0","38.53","51.35","214.58","107.29","176.05","163.22","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","15888.31","0.13","0.95","0.0","7.29","0.95","6.93","0.0","0.0","0.0","0.0","45.46","51.35","214.58","107.29","169.12","163.22","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","15888.31","0.13","0.95","0.0","7.6","0.95","7.22","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","52.68","","","","","","",""
"2016.0","6.0","22.0","174.0","15888.31","0.13","0.95","0.0","7.59","0.95","7.21","0.0","0.0","0.0","0.0","7.21","51.35","214.58","107.29","207.37","163.22","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","15888.31","0.13","0.95","0.0","7.55","0.95","7.17","0.0","0.0","0.0","0.0","14.38","51.35","214.58","107.29","200.2","163.22","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","15888.31","0.13","0.95","0.0","6.9","0.95","6.56","0.0","0.0","0.0","0.0","20.94","51.35","214.58","107.29","193.64","163.22","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","15888.31","0.13","0.95","0.0","7.71","0.95","7.32","0.0","0.0","0.0","0.0","28.26","51.35","214.58","107.29","186.32","163.22","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","15888.31","0.13","0.95","0.0","7.55","0.95","7.17","0.0","0.0","0.0","0.0","35.44","51.35","214.58","107.29","179.14","163.22","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","15888.31","0.12","0.95","0.0","7.98","0.95","7.58","0.0","0.0","0.0","0.0","43.02","51.35","214.58","107.29","171.56","163.22","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","15888.31","0.12","0.95","0.0","7.97","0.95","7.57","0.0","0.0","0.0","0.0","50.59","51.35","214.58","107.29","163.99","163.22","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","15888.31","0.12","0.95","0.0","7.26","0.95","6.9","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.22","57.48","","","","","","",""
"2016.0","6.0","30.0","182.0","15888.31","0.12","0.95","0.0","7.26","0.95","6.9","0.0","0.0","0.0","0.0","6.9","51.35","214.58","107.29","207.68","163.22","0.0","","","","","","",""
