" Daily soil water balance output for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Almonds in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","11119.95","0.58","0.0","0.0","1.8","0.58","1.04","0.0","0.0","0.0","0.0","18.62","29.7","593.45","296.72","574.83","563.75","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","11119.95","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","29.7","593.45","296.72","573.77","563.75","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","11119.95","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","29.7","593.45","296.72","572.54","563.75","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","11119.95","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","29.7","593.45","296.72","571.05","563.75","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","11119.95","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","23.56","29.7","593.45","296.72","569.88","563.75","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","11119.95","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","24.59","29.7","593.45","296.72","568.86","563.75","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","11119.95","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","25.9","29.7","593.45","296.72","567.55","563.75","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","11119.95","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","15.5","29.7","593.45","296.72","577.94","563.75","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","11119.95","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","15.87","29.7","593.45","296.72","577.57","563.75","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","11119.95","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","17.91","29.7","593.45","296.72","575.53","563.75","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","11119.95","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","19.97","29.7","593.45","296.72","573.47","563.75","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","11119.95","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","22.29","29.7","593.45","296.72","571.16","563.75","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","11119.95","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","24.23","29.7","593.45","296.72","569.22","563.75","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","11119.95","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","25.87","29.7","593.45","296.72","567.58","563.75","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","11119.95","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","27.45","29.7","593.45","296.72","565.99","563.75","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","11119.95","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","28.98","29.7","593.45","296.72","564.46","563.75","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","11119.95","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","30.42","29.7","593.45","296.72","563.03","563.75","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","11119.95","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","11119.95","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","31.13","29.7","593.45","296.72","562.31","563.75","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","11119.95","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","11119.95","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","30.98","29.7","593.45","296.72","562.46","563.75","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","11119.95","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","29.7","29.7","593.45","296.72","563.75","563.75","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","11119.95","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","30.45","29.7","593.45","296.72","563.0","563.75","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","11119.95","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","20.92","29.7","593.45","296.72","572.53","563.75","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","11119.95","1.13","0.0","0.0","2.24","1.13","2.53","23.66","23.45","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","11119.95","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","11119.95","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","29.7","593.45","296.72","593.42","563.75","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","11119.95","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","29.7","593.45","296.72","590.96","563.75","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","11119.95","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","29.7","593.45","296.72","589.34","563.75","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","11119.95","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","29.7","593.45","296.72","590.06","563.75","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","11119.95","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","11119.95","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","11119.95","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","29.7","593.45","296.72","593.45","563.75","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","11119.95","1.11","0.55","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","130.98","593.45","296.72","590.08","462.47","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","11119.95","0.93","0.56","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","130.98","593.45","296.72","587.18","462.47","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","11119.95","0.79","0.56","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","130.98","593.45","296.72","584.68","462.47","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","11119.95","0.7","0.57","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","130.98","593.45","296.72","582.48","462.47","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","11119.95","0.64","0.57","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","130.98","593.45","296.72","580.48","462.47","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","11119.95","0.6","0.58","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","130.98","593.45","296.72","578.93","462.47","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","11119.95","0.57","0.58","0.0","2.43","0.58","1.42","1.04","1.04","0.0","0.0","14.89","130.98","593.45","296.72","578.55","462.47","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","11119.95","0.53","0.59","0.0","3.06","0.59","1.8","0.84","0.84","0.0","0.0","15.86","130.98","593.45","296.72","577.59","462.47","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","11119.95","0.5","0.59","0.0","3.41","0.59","2.03","0.0","0.0","0.0","0.0","17.88","130.98","593.45","296.72","575.56","462.47","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","11119.95","0.48","0.6","0.0","3.28","0.6","1.97","0.0","0.0","0.0","0.0","19.85","130.98","593.45","296.72","573.59","462.47","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","11119.95","0.45","0.61","0.0","3.68","0.61","2.23","0.0","0.0","0.0","0.0","22.08","130.98","593.45","296.72","571.36","462.47","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","11119.95","0.43","0.61","0.0","4.3","0.61","2.63","0.0","0.0","0.0","0.0","24.71","130.98","593.45","296.72","568.73","462.47","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","11119.95","0.41","0.62","0.0","3.59","0.62","2.22","0.0","0.0","0.0","0.0","26.93","130.98","593.45","296.72","566.52","462.47","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","11119.95","0.39","0.62","0.0","3.48","0.62","2.17","0.0","0.0","0.0","0.0","29.1","130.98","593.45","296.72","564.35","462.47","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","11119.95","0.38","0.63","0.0","3.78","0.63","2.38","0.01","0.01","0.0","0.0","31.46","130.98","593.45","296.72","561.98","462.47","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","11119.95","0.37","0.63","0.0","3.59","0.63","2.28","0.0","0.0","0.0","0.0","33.74","130.98","593.45","296.72","559.71","462.47","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","11119.95","0.35","0.64","0.0","3.81","0.64","2.44","0.0","0.0","0.0","0.0","36.18","130.98","593.45","296.72","557.27","462.47","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","11119.95","0.34","0.65","0.0","3.73","0.65","2.41","0.0","0.0","0.0","0.0","38.58","130.98","593.45","296.72","554.86","462.47","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","11119.95","0.33","0.65","0.0","3.81","0.65","2.48","0.0","0.0","0.0","0.0","41.06","130.98","593.45","296.72","552.38","462.47","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","11119.95","0.32","0.66","0.0","4.13","0.66","2.71","0.0","0.0","0.0","0.0","43.78","130.98","593.45","296.72","549.67","462.47","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","11119.95","0.31","0.66","0.0","4.33","0.66","2.87","0.0","0.0","0.0","0.0","46.64","130.98","593.45","296.72","546.8","462.47","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","11119.95","0.3","0.67","0.0","5.51","0.67","3.68","0.0","0.0","0.0","0.0","50.32","130.98","593.45","296.72","543.12","462.47","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","11119.95","0.29","0.67","0.0","4.85","0.67","3.27","0.0","0.0","0.0","0.0","53.59","130.98","593.45","296.72","539.86","462.47","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","11119.95","0.28","0.68","0.0","4.26","0.68","2.89","0.0","0.0","0.0","0.0","56.48","130.98","593.45","296.72","536.97","462.47","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","11119.95","0.28","0.68","0.0","3.38","0.68","2.31","0.01","0.01","0.0","0.0","58.78","130.98","593.45","296.72","534.66","462.47","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","11119.95","1.16","0.69","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","52.43","130.98","593.45","296.72","541.02","462.47","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","11119.95","1.14","0.7","0.0","2.05","1.14","2.33","30.23","30.23","0.0","0.0","24.53","130.98","593.45","296.72","568.91","462.47","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","11119.95","1.12","0.7","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","27.19","130.98","593.45","296.72","566.26","462.47","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","11119.95","0.94","0.71","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","30.22","130.98","593.45","296.72","563.22","462.47","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","11119.95","0.76","0.71","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","33.45","130.98","593.45","296.72","560.0","462.47","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","11119.95","0.66","0.72","0.0","4.17","0.72","2.99","1.61","1.61","0.0","0.0","34.83","130.98","593.45","296.72","558.61","462.47","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","11119.95","0.57","0.72","0.0","5.48","0.72","3.97","0.0","0.0","0.0","0.0","38.8","130.98","593.45","296.72","554.65","462.47","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","11119.95","0.51","0.73","0.0","5.16","0.73","3.76","0.0","0.0","0.0","0.0","42.56","130.98","593.45","296.72","550.88","462.47","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","11119.95","0.47","0.74","0.0","4.85","0.74","3.56","0.0","0.0","0.0","0.0","46.13","130.98","593.45","296.72","547.32","462.47","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","11119.95","0.44","0.74","0.0","5.18","0.74","3.84","0.0","0.0","0.0","0.0","49.96","130.98","593.45","296.72","543.48","462.47","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","11119.95","0.41","0.75","0.0","4.94","0.75","3.69","0.0","0.0","0.0","0.0","53.65","130.98","593.45","296.72","539.8","462.47","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","11119.95","0.39","0.75","0.0","5.19","0.75","3.9","0.0","0.0","0.0","0.0","57.55","130.98","593.45","296.72","535.89","462.47","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","11119.95","0.37","0.76","0.0","3.95","0.76","2.99","0.0","0.0","0.0","0.0","60.54","130.98","593.45","296.72","532.9","462.47","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","11119.95","0.36","0.76","0.0","2.76","0.76","2.11","0.01","0.01","0.0","0.0","62.64","130.98","593.45","296.72","530.81","462.47","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","11119.95","1.06","0.77","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","61.04","130.98","593.45","296.72","532.41","462.47","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","11119.95","0.9","0.77","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","65.2","130.98","593.45","296.72","528.24","462.47","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","11119.95","0.7","0.78","0.0","5.42","0.78","4.23","0.0","0.0","0.0","0.0","69.43","130.98","593.45","296.72","524.02","462.47","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","11119.95","0.61","0.79","0.0","4.78","0.79","3.75","0.0","0.0","0.0","0.0","73.18","130.98","593.45","296.72","520.26","462.47","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","11119.95","0.56","0.79","0.0","3.73","0.79","2.95","0.04","0.04","0.0","0.0","76.09","130.98","593.45","296.72","517.35","462.47","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","11119.95","0.5","0.8","0.0","5.66","0.8","4.51","3.4","3.4","0.0","0.0","77.2","130.98","593.45","296.72","516.24","462.47","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","11119.95","0.46","0.8","0.0","5.01","0.8","4.02","0.0","0.0","0.0","0.0","81.22","130.98","593.45","296.72","512.22","462.47","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","11119.95","0.41","0.81","0.0","7.32","0.81","5.91","0.0","0.0","0.0","0.0","87.14","130.98","593.45","296.72","506.31","462.47","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","11119.95","0.38","0.81","0.0","5.79","0.81","4.71","0.0","0.0","0.0","0.0","91.85","130.98","593.45","296.72","501.6","462.47","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","11119.95","0.36","0.82","0.0","5.39","0.82","4.42","0.0","0.0","0.0","0.0","96.26","130.98","593.45","296.72","497.18","462.47","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","11119.95","0.35","0.82","0.0","4.47","0.82","3.69","0.0","0.0","0.0","0.0","99.95","130.98","593.45","296.72","493.5","462.47","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","11119.95","0.34","0.83","0.0","4.71","0.83","3.91","0.0","0.0","0.0","0.0","103.86","130.98","593.45","296.72","489.58","462.47","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","11119.95","0.33","0.84","0.0","2.67","0.84","2.23","0.0","0.0","0.0","0.0","106.09","130.98","593.45","296.72","487.35","462.47","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","11119.95","0.33","0.84","0.0","1.97","0.84","1.66","0.26","0.26","0.0","0.0","107.49","130.98","593.45","296.72","485.95","462.47","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","11119.95","1.13","0.85","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","102.81","130.98","593.45","296.72","490.63","462.47","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","11119.95","1.11","0.85","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","105.82","130.98","593.45","296.72","487.63","462.47","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","11119.95","0.84","0.86","0.0","4.7","0.86","4.03","0.0","0.0","0.0","0.0","109.85","130.98","593.45","296.72","483.59","462.47","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","11119.95","0.67","0.86","0.0","5.58","0.86","4.82","0.0","0.0","0.0","0.0","114.67","130.98","593.45","296.72","478.77","462.47","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","11119.95","0.57","0.87","0.0","5.92","0.87","5.15","0.0","0.0","0.0","0.0","119.82","130.98","593.45","296.72","473.62","462.47","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","11119.95","0.5","0.88","0.0","6.04","0.88","5.29","0.0","0.0","0.0","0.0","125.11","130.98","593.45","296.72","468.34","462.47","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","11119.95","0.46","0.88","0.0","5.58","0.88","4.92","0.0","0.0","0.0","0.0","130.02","130.98","593.45","296.72","463.42","462.47","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","11119.95","0.42","0.89","0.0","5.14","0.89","4.56","0.0","0.0","0.0","0.0","0.0","130.98","593.45","296.72","593.45","462.47","134.58","","","","","","",""
"2016.0","5.0","15.0","136.0","11119.95","0.4","0.89","0.0","5.58","0.89","4.98","0.0","0.0","0.0","0.0","4.98","130.98","593.45","296.72","588.47","462.47","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","11119.95","0.37","0.9","0.0","6.65","0.9","5.97","0.0","0.0","0.0","0.0","10.95","130.98","593.45","296.72","582.5","462.47","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","11119.95","0.34","0.9","0.0","7.63","0.9","6.89","0.0","0.0","0.0","0.0","17.84","130.98","593.45","296.72","575.61","462.47","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","11119.95","0.32","0.91","0.0","7.1","0.91","6.45","0.0","0.0","0.0","0.0","24.29","130.98","593.45","296.72","569.15","462.47","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","11119.95","0.31","0.91","0.0","6.31","0.91","5.77","0.0","0.0","0.0","0.0","30.06","130.98","593.45","296.72","563.38","462.47","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","11119.95","0.3","0.92","0.0","5.02","0.92","4.62","0.0","0.0","0.0","0.0","34.68","130.98","593.45","296.72","558.76","462.47","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","11119.95","0.29","0.93","0.0","3.47","0.93","3.21","0.0","0.0","0.0","0.0","37.89","130.98","593.45","296.72","555.55","462.47","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","11119.95","0.28","0.93","0.0","4.27","0.93","3.98","1.71","1.71","0.0","0.0","40.16","130.98","593.45","296.72","553.29","462.47","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","11119.95","0.28","0.94","0.0","4.87","0.94","4.56","0.0","0.0","0.0","0.0","44.72","130.98","593.45","296.72","548.72","462.47","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","11119.95","0.27","0.94","0.0","4.92","0.94","4.64","0.0","0.0","0.0","0.0","49.36","130.98","593.45","296.72","544.09","462.47","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","11119.95","0.26","0.95","0.0","5.35","0.95","5.07","0.0","0.0","0.0","0.0","54.43","130.98","593.45","296.72","539.01","462.47","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","11119.95","0.25","0.95","0.0","5.71","0.95","5.45","0.0","0.0","0.0","0.0","59.88","130.98","593.45","296.72","533.57","462.47","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","11119.95","0.25","0.96","0.0","6.09","0.96","5.84","0.0","0.0","0.0","0.0","65.72","130.98","593.45","296.72","527.72","462.47","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","11119.95","0.24","0.96","0.0","6.94","0.96","6.7","0.0","0.0","0.0","0.0","72.42","130.98","593.45","296.72","521.03","462.47","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","11119.95","0.23","0.97","0.0","6.63","0.97","6.43","0.0","0.0","0.0","0.0","78.85","130.98","593.45","296.72","514.59","462.47","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","11119.95","0.23","0.98","0.0","6.85","0.98","6.69","0.0","0.0","0.0","0.0","85.54","130.98","593.45","296.72","507.91","462.47","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","11119.95","0.22","0.98","0.0","7.16","0.98","7.03","0.0","0.0","0.0","0.0","92.57","130.98","593.45","296.72","500.88","462.47","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","11119.95","0.21","0.99","0.0","7.16","0.99","7.07","0.0","0.0","0.0","0.0","99.64","130.98","593.45","296.72","493.81","462.47","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","11119.95","0.21","0.99","0.0","7.01","0.99","6.96","0.0","0.0","0.0","0.0","106.6","130.98","593.45","296.72","486.85","462.47","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","11119.95","0.2","1.0","0.0","7.38","1.0","7.37","0.0","0.0","0.0","0.0","113.97","130.98","593.45","296.72","479.48","462.47","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","11119.95","0.2","1.0","0.0","5.17","1.0","5.19","0.0","0.0","0.0","0.0","119.16","130.98","593.45","296.72","474.28","462.47","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","11119.95","0.2","1.01","0.0","7.76","1.01","7.84","0.0","0.0","0.0","0.0","127.0","130.98","593.45","296.72","466.45","462.47","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","11119.95","0.19","1.02","0.0","7.24","1.02","7.35","0.0","0.0","0.0","0.0","0.0","130.98","593.45","296.72","593.45","462.47","134.35","","","","","","",""
"2016.0","6.0","7.0","159.0","11119.95","0.19","1.02","0.0","6.94","1.02","7.09","0.0","0.0","0.0","0.0","7.09","130.98","593.45","296.72","586.36","462.47","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","11119.95","0.19","1.03","0.0","6.51","1.03","6.68","0.0","0.0","0.0","0.0","13.77","130.98","593.45","296.72","579.68","462.47","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","11119.95","0.18","1.03","0.0","6.32","1.03","6.52","0.0","0.0","0.0","0.0","20.29","130.98","593.45","296.72","573.15","462.47","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","11119.95","0.18","1.04","0.0","6.71","1.04","6.96","0.0","0.0","0.0","0.0","27.26","130.98","593.45","296.72","566.19","462.47","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","11119.95","0.18","1.04","0.0","6.85","1.04","7.15","0.0","0.0","0.0","0.0","34.4","130.98","593.45","296.72","559.04","462.47","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","11119.95","0.17","1.05","0.0","6.87","1.05","7.21","0.0","0.0","0.0","0.0","41.61","130.98","593.45","296.72","551.83","462.47","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","11119.95","0.17","1.05","0.0","6.59","1.05","6.95","0.0","0.0","0.0","0.0","48.56","130.98","593.45","296.72","544.88","462.47","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","11119.95","0.17","1.06","0.0","6.48","1.06","6.87","0.0","0.0","0.0","0.0","55.43","130.98","593.45","296.72","538.01","462.47","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","11119.95","0.17","1.07","0.0","5.54","1.07","5.91","0.0","0.0","0.0","0.0","61.34","130.98","593.45","296.72","532.11","462.47","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","11119.95","0.16","1.07","0.0","5.48","1.07","5.87","0.0","0.0","0.0","0.0","67.21","130.98","593.45","296.72","526.24","462.47","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","11119.95","0.16","1.08","0.0","5.34","1.08","5.75","0.0","0.0","0.0","0.0","72.96","130.98","593.45","296.72","520.48","462.47","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","11119.95","0.16","1.08","0.0","6.31","1.08","6.83","0.0","0.0","0.0","0.0","79.79","130.98","593.45","296.72","513.65","462.47","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","11119.95","0.16","1.09","0.0","6.96","1.09","7.57","0.0","0.0","0.0","0.0","87.37","130.98","593.45","296.72","506.08","462.47","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","11119.95","0.16","1.09","0.0","7.57","1.09","8.28","0.0","0.0","0.0","0.0","95.65","130.98","593.45","296.72","497.8","462.47","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","11119.95","0.15","1.1","0.0","7.92","1.1","8.71","0.0","0.0","0.0","0.0","104.36","130.98","593.45","296.72","489.09","462.47","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","11119.95","0.15","1.11","0.0","7.86","1.11","8.69","0.0","0.0","0.0","0.0","113.04","130.98","593.45","296.72","480.4","462.47","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","11119.95","0.15","1.11","0.0","7.8","1.11","8.66","0.0","0.0","0.0","0.0","121.71","130.98","593.45","296.72","471.74","462.47","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","11119.95","0.15","1.12","0.0","7.05","1.12","7.87","0.0","0.0","0.0","0.0","129.58","130.98","593.45","296.72","463.87","462.47","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","11119.95","0.15","1.12","0.0","7.82","1.12","8.77","0.0","0.0","0.0","0.0","0.0","130.98","593.45","296.72","593.45","462.47","138.35","","","","","","",""
"2016.0","6.0","26.0","178.0","11119.95","0.14","1.13","0.0","7.71","1.13","8.69","0.0","0.0","0.0","0.0","8.69","130.98","593.45","296.72","584.75","462.47","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","11119.95","0.14","1.13","0.0","8.18","1.13","9.27","0.0","0.0","0.0","0.0","17.96","130.98","593.45","296.72","575.48","462.47","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","11119.95","0.14","1.14","0.0","8.09","1.14","9.21","0.0","0.0","0.0","0.0","27.18","130.98","593.45","296.72","566.27","462.47","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","11119.95","0.14","1.14","0.0","7.45","1.14","8.53","0.0","0.0","0.0","0.0","35.7","130.98","593.45","296.72","557.74","462.47","0.0","","","","","","",""
