" Daily soil water balance output for Fallow in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","8.0","39.0","6475.0158675","0.67","0.67","0.0","2.05","0.67","1.3735","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","9.0","40.0","6475.0158675","0.64","0.64","0.0","1.92","0.64","1.2288","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","10.0","41.0","6475.0158675","0.61","0.61","0.0","1.88","0.61","1.1468","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","11.0","42.0","6475.0158675","0.59","0.59","0.0","1.71","0.59","1.0089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","6475.0158675","0.56","0.56","0.0","1.78","0.56","0.9968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","6475.0158675","0.54","0.54","0.0","2.3","0.54","1.242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","6475.0158675","0.51","0.51","0.0","3.12","0.51","1.5912","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","6475.0158675","0.49","0.49","0.0","2.59","0.49","1.2691","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","6475.0158675","0.47","0.47","0.0","2.08","0.47","0.9776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","6475.0158675","0.46","0.46","0.0","2.57","0.46","1.1822","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","6475.0158675","1.15","1.15","0.0","1.86","1.15","2.139","10.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","6475.0158675","1.16","1.16","0.0","1.54","1.16","1.7864","3.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","6475.0158675","1.15","1.15","0.0","1.79","1.15","2.0585","0.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","6475.0158675","1.15","1.15","0.0","1.95","1.15","2.2425","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","6475.0158675","0.98","0.98","0.0","2.69","0.98","2.6362","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","6475.0158675","0.86","0.86","0.0","2.39","0.86","2.0554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","6475.0158675","0.78","0.78","0.0","2.21","0.78","1.7238","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","6475.0158675","0.72","0.72","0.0","2.32","0.72","1.6704","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","6475.0158675","0.67","0.67","0.0","2.34","0.67","1.5678","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","6475.0158675","0.63","0.63","0.0","2.18","0.63","1.3734","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","6475.0158675","0.6","0.6","0.0","2.07","0.6","1.242","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","6475.0158675","0.56","0.56","0.0","2.62","0.56","1.4672","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","6475.0158675","0.53","0.53","0.0","2.94","0.53","1.5582","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","6475.0158675","0.51","0.51","0.0","2.57","0.51","1.3107","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","6475.0158675","0.49","0.49","0.0","1.76","0.49","0.8624","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","6475.0158675","0.48","0.48","0.0","1.47","0.48","0.7056","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","6475.0158675","1.17","1.17","0.0","1.19","1.17","1.3923","13.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","6475.0158675","1.13","1.13","0.0","2.19","1.13","2.4747","48.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","6475.0158675","1.16","1.16","0.0","1.61","1.16","1.8676","13.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","6475.0158675","1.15","1.15","0.0","1.79","1.15","2.0585","1.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","6475.0158675","1.15","1.15","0.0","1.8","1.15","2.07","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","6475.0158675","1.09","1.09","0.0","1.41","1.09","1.5369","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","6475.0158675","1.16","1.16","0.0","1.45","1.16","1.682","13.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","6475.0158675","1.16","1.16","0.0","1.5","1.16","1.74","9.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","6475.0158675","1.17","1.17","0.0","1.17","1.17","1.3689","11.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","6475.0158675","1.12","1.12","0.0","2.57","1.12","2.8784","11.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","6475.0158675","1.11","1.11","0.0","3.03","1.11","3.3633","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","6475.0158675","0.93","0.93","0.0","3.1","0.93","2.883","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","6475.0158675","0.79","0.79","0.0","3.14","0.79","2.4806","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","6475.0158675","0.71","0.71","0.0","3.12","0.71","2.2152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","6475.0158675","0.64","0.64","0.0","3.11","0.64","1.9904","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","6475.0158675","0.61","0.61","0.0","2.14","0.61","1.3054","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","6475.0158675","0.58","0.58","0.0","2.2","0.58","1.276","1.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","6475.0158675","0.54","0.54","0.0","2.94","0.54","1.5876","0.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","6475.0158675","0.51","0.51","0.0","3.34","0.51","1.7034","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","6475.0158675","0.48","0.48","0.0","3.19","0.48","1.5312","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","6475.0158675","0.46","0.46","0.0","3.68","0.46","1.6928","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","6475.0158675","0.43","0.43","0.0","4.39","0.43","1.8877","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","6475.0158675","0.41","0.41","0.0","3.47","0.41","1.4227","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","6475.0158675","0.4","0.4","0.0","3.49","0.4","1.396","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","6475.0158675","0.38","0.38","0.0","3.77","0.38","1.4326","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","6475.0158675","0.37","0.37","0.0","3.58","0.37","1.3246","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","6475.0158675","0.36","0.36","0.0","3.76","0.36","1.3536","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","6475.0158675","0.35","0.35","0.0","3.65","0.35","1.2775","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","6475.0158675","0.34","0.34","0.0","3.74","0.34","1.2716","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","6475.0158675","0.33","0.33","0.0","4.02","0.33","1.3266","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","6475.0158675","0.32","0.32","0.0","4.17","0.32","1.3344","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","6475.0158675","0.3","0.3","0.0","5.61","0.3","1.683","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","6475.0158675","0.29","0.29","0.0","4.91","0.29","1.4239","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","6475.0158675","0.29","0.29","0.0","4.31","0.29","1.2499","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","6475.0158675","0.28","0.28","0.0","3.47","0.28","0.9716","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","6475.0158675","0.28","0.28","0.0","1.5","0.28","0.42","2.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","6475.0158675","1.13","1.13","0.0","2.21","1.13","2.4973","8.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","6475.0158675","1.11","1.11","0.0","3.25","1.11","3.6075","0.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","6475.0158675","0.91","0.91","0.0","3.47","0.91","3.1577","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","6475.0158675","0.75","0.75","0.0","4.25","0.75","3.1875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","6475.0158675","0.65","0.65","0.0","4.05","0.65","2.6325","0.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","6475.0158675","0.57","0.57","0.0","5.4","0.57","3.078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","6475.0158675","0.51","0.51","0.0","5.38","0.51","2.7438","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","6475.0158675","0.47","0.47","0.0","4.72","0.47","2.2184","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","6475.0158675","0.43","0.43","0.0","5.09","0.43","2.1887","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","6475.0158675","0.41","0.41","0.0","4.97","0.41","2.0377","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","6475.0158675","0.38","0.38","0.0","5.11","0.38","1.9418","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","6475.0158675","0.37","0.37","0.0","3.83","0.37","1.4171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","6475.0158675","0.36","0.36","0.0","2.88","0.36","1.0368","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","6475.0158675","0.35","0.35","0.0","3.96","0.35","1.386","2.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","6475.0158675","0.34","0.34","0.0","4.41","0.34","1.4994","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","6475.0158675","0.32","0.32","0.0","5.39","0.32","1.7248","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","6475.0158675","0.31","0.31","0.0","4.64","0.31","1.4384","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","6475.0158675","0.3","0.3","0.0","3.84","0.3","1.152","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","6475.0158675","0.29","0.29","0.0","5.73","0.29","1.6617","3.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","6475.0158675","0.28","0.28","0.0","5.1","0.28","1.428","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","6475.0158675","0.27","0.27","0.0","7.38","0.27","1.9926","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","6475.0158675","0.26","0.26","0.0","5.87","0.26","1.5262","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","6475.0158675","0.26","0.26","0.0","5.3","0.26","1.378","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","6475.0158675","0.25","0.25","0.0","4.33","0.25","1.0825","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","6475.0158675","0.25","0.25","0.0","4.83","0.25","1.2075","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","6475.0158675","0.24","0.24","0.0","2.3","0.24","0.552","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","6475.0158675","0.24","0.24","0.0","2.1","0.24","0.504","0.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","6475.0158675","0.24","0.24","0.0","2.06","0.24","0.4944","1.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","6475.0158675","0.24","0.24","0.0","3.2","0.24","0.768","2.24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","6475.0158675","0.23","0.23","0.0","4.63","0.23","1.0649","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","6475.0158675","0.23","0.23","0.0","5.64","0.23","1.2972","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","6475.0158675","0.22","0.22","0.0","5.95","0.22","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","6475.0158675","0.22","0.22","0.0","5.92","0.22","1.3024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","6475.0158675","0.21","0.21","0.0","5.56","0.21","1.1676","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","6475.0158675","0.21","0.21","0.0","5.05","0.21","1.0605","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","6475.0158675","0.21","0.21","0.0","5.51","0.21","1.1571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","6475.0158675","0.2","0.2","0.0","6.55","0.2","1.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","6475.0158675","0.2","0.2","0.0","7.65","0.2","1.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","6475.0158675","0.19","0.19","0.0","7.01","0.19","1.3319","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","6475.0158675","0.19","0.19","0.0","6.2","0.19","1.178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","6475.0158675","0.19","0.19","0.0","4.88","0.19","0.9272","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","6475.0158675","0.19","0.19","0.0","4.07","0.19","0.7733","0.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","6475.0158675","0.18","0.18","0.0","4.31","0.18","0.7758","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","6475.0158675","0.18","0.18","0.0","4.77","0.18","0.8586","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","6475.0158675","0.18","0.18","0.0","4.82","0.18","0.8676","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","6475.0158675","0.18","0.18","0.0","5.25","0.18","0.945","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","6475.0158675","0.18","0.18","0.0","5.68","0.18","1.0224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","6475.0158675","0.17","0.17","0.0","5.98","0.17","1.0166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","6475.0158675","0.17","0.17","0.0","6.9","0.17","1.173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","6475.0158675","0.17","0.17","0.0","6.43","0.17","1.0931","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","6475.0158675","0.17","0.17","0.0","6.72","0.17","1.1424","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","6475.0158675","0.16","0.16","0.0","7.04","0.16","1.1264","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","6475.0158675","0.16","0.16","0.0","7.1","0.16","1.136","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","6475.0158675","0.16","0.16","0.0","6.77","0.16","1.0832","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","6475.0158675","0.16","0.16","0.0","7.21","0.16","1.1536","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","6475.0158675","0.16","0.16","0.0","4.79","0.16","0.7664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","6475.0158675","0.15","0.15","0.0","7.5","0.15","1.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","6475.0158675","0.15","0.15","0.0","7.01","0.15","1.0515","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","6475.0158675","0.15","0.15","0.0","6.63","0.15","0.9945","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","6475.0158675","0.15","0.15","0.0","6.37","0.15","0.9555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","6475.0158675","0.15","0.15","0.0","6.1","0.15","0.915","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","6475.0158675","0.15","0.15","0.0","6.5","0.15","0.975","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","6475.0158675","0.14","0.14","0.0","6.86","0.14","0.9604","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","6475.0158675","0.14","0.14","0.0","6.89","0.14","0.9646","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","6475.0158675","0.14","0.14","0.0","6.55","0.14","0.917","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","6475.0158675","0.14","0.14","0.0","6.15","0.14","0.861","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","6475.0158675","0.14","0.14","0.0","5.14","0.14","0.7196","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","6475.0158675","0.14","0.14","0.0","5.15","0.14","0.721","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","6475.0158675","0.14","0.14","0.0","4.72","0.14","0.6608","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","6475.0158675","0.14","0.14","0.0","6.09","0.14","0.8526","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","6475.0158675","0.13","0.13","0.0","6.76","0.13","0.8788","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","6475.0158675","0.13","0.13","0.0","7.29","0.13","0.9477","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","6475.0158675","0.13","0.13","0.0","7.6","0.13","0.988","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","6475.0158675","0.13","0.13","0.0","7.59","0.13","0.9867","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
