" Daily soil water balance output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","12.0","43.0","14927.12","0.56","0.0","0.0","1.85","0.56","1.04","0.0","0.0","0.0","0.0","18.21","34.2","486.46","243.23","468.25","452.26","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","14927.12","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","34.2","486.46","243.23","466.99","452.26","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","14927.12","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","34.2","486.46","243.23","465.41","452.26","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","14927.12","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","34.2","486.46","243.23","464.18","452.26","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","14927.12","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","34.2","486.46","243.23","463.18","452.26","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","14927.12","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","34.2","486.46","243.23","462.38","452.26","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","14927.12","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","34.2","486.46","243.23","472.96","452.26","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","14927.12","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","34.2","486.46","243.23","475.33","452.26","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","14927.12","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","34.2","486.46","243.23","473.26","452.26","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","14927.12","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","34.2","486.46","243.23","470.98","452.26","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","14927.12","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","34.2","486.46","243.23","468.35","452.26","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","14927.12","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","34.2","486.46","243.23","466.28","452.26","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","14927.12","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","34.2","486.46","243.23","464.56","452.26","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","14927.12","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","34.2","486.46","243.23","462.88","452.26","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","14927.12","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","34.2","486.46","243.23","461.31","452.26","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","14927.12","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","34.2","486.46","243.23","459.91","452.26","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","14927.12","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","27.79","34.2","486.46","243.23","458.67","452.26","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","14927.12","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","29.28","34.2","486.46","243.23","457.18","452.26","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","14927.12","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","30.87","34.2","486.46","243.23","455.59","452.26","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","14927.12","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","32.19","34.2","486.46","243.23","454.27","452.26","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","14927.12","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","33.09","34.2","486.46","243.23","453.37","452.26","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","14927.12","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","33.54","34.2","486.46","243.23","452.92","452.26","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","14927.12","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","21.51","34.2","486.46","243.23","464.95","452.26","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","14927.12","1.13","0.0","0.0","2.16","1.13","2.45","33.53","23.96","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","14927.12","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","14927.12","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","14927.12","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","34.2","486.46","243.23","484.38","452.26","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","14927.12","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","34.2","486.46","243.23","483.12","452.26","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","14927.12","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","14927.12","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","14927.12","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","14927.12","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","14927.12","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","34.2","486.46","243.23","483.08","452.26","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","14927.12","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","34.2","486.46","243.23","480.2","452.26","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","14927.12","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","34.2","486.46","243.23","477.7","452.26","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","14927.12","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","34.2","486.46","243.23","475.48","452.26","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","14927.12","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","34.2","486.46","243.23","473.47","452.26","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","14927.12","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","34.2","486.46","243.23","472.09","452.26","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","14927.12","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","34.2","486.46","243.23","472.87","452.26","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","14927.12","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","34.2","486.46","243.23","472.03","452.26","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","14927.12","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","34.2","486.46","243.23","470.32","452.26","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","14927.12","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","34.2","486.46","243.23","468.77","452.26","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","14927.12","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","34.2","486.46","243.23","467.1","452.26","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","14927.12","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","34.2","486.46","243.23","465.23","452.26","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","14927.12","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","34.2","486.46","243.23","463.79","452.26","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","14927.12","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","34.2","486.46","243.23","462.42","452.26","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","14927.12","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","25.48","34.2","486.46","243.23","460.98","452.26","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","14927.12","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","26.8","34.2","486.46","243.23","459.66","452.26","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","14927.12","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","28.14","34.2","486.46","243.23","458.32","452.26","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","14927.12","0.34","0.0","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","29.41","34.2","486.46","243.23","457.05","452.26","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","14927.12","0.33","0.0","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","30.66","34.2","486.46","243.23","455.8","452.26","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","14927.12","0.32","0.0","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","31.98","34.2","486.46","243.23","454.48","452.26","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","14927.12","0.31","0.0","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","33.31","34.2","486.46","243.23","453.15","452.26","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","14927.12","0.3","0.0","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","35.0","34.2","486.46","243.23","451.46","452.26","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","14927.12","0.29","0.0","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","14927.12","0.29","0.0","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","35.44","34.2","486.46","243.23","451.02","452.26","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","14927.12","0.28","0.0","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","14927.12","1.16","0.0","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","32.24","34.2","486.46","243.23","454.22","452.26","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","14927.12","1.13","0.0","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","20.57","34.2","486.46","243.23","465.89","452.26","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","14927.12","1.11","0.0","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","23.32","34.2","486.46","243.23","463.14","452.26","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","14927.12","0.91","0.0","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","26.54","34.2","486.46","243.23","459.92","452.26","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","14927.12","0.75","0.0","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","29.71","34.2","486.46","243.23","456.75","452.26","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","14927.12","0.65","0.0","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","31.34","34.2","486.46","243.23","455.12","452.26","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","14927.12","0.56","0.0","0.0","5.43","0.56","3.06","0.0","0.0","0.0","0.0","34.4","34.2","486.46","243.23","452.06","452.26","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","14927.12","0.5","0.0","0.0","5.34","0.5","2.7","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","14927.12","0.47","0.0","0.0","4.76","0.47","2.22","0.0","0.0","0.0","0.0","36.42","34.2","486.46","243.23","450.04","452.26","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","14927.12","0.43","0.0","0.0","5.12","0.43","2.21","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","14927.12","0.41","0.0","0.0","4.98","0.41","2.02","0.0","0.0","0.0","0.0","36.22","34.2","486.46","243.23","450.24","452.26","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","14927.12","0.38","0.0","0.0","5.18","0.38","1.98","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","14927.12","0.37","0.0","0.0","3.85","0.37","1.42","0.0","0.0","0.0","0.0","35.62","34.2","486.46","243.23","450.84","452.26","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","14927.12","0.36","0.0","0.0","2.79","0.36","1.0","0.11","0.11","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","14927.12","1.06","0.0","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","33.3","34.2","486.46","243.23","453.16","452.26","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","14927.12","0.91","0.0","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","37.44","34.2","486.46","243.23","449.02","452.26","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","14927.12","0.71","0.0","0.0","5.38","0.71","3.81","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","14927.12","0.61","0.0","0.0","4.67","0.61","2.86","0.0","0.0","0.0","0.0","37.06","34.2","486.46","243.23","449.4","452.26","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","14927.12","0.56","0.0","0.0","3.74","0.56","2.1","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","14927.12","0.99","0.0","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","35.09","34.2","486.46","243.23","451.37","452.26","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","14927.12","0.79","0.0","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","14927.12","0.6","0.0","0.0","7.38","0.6","4.44","0.0","0.0","0.0","0.0","38.64","34.2","486.46","243.23","447.82","452.26","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","14927.12","0.52","0.2","0.0","5.86","0.52","3.07","0.0","0.0","0.0","0.0","41.71","98.29","486.46","243.23","444.75","388.17","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","14927.12","0.48","0.2","0.0","5.39","0.48","2.56","0.0","0.0","0.0","0.0","44.27","98.29","486.46","243.23","442.19","388.17","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","14927.12","0.44","0.2","0.0","4.49","0.44","2.0","0.0","0.0","0.0","0.0","46.27","98.29","486.46","243.23","440.19","388.17","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","14927.12","0.42","0.2","0.0","4.86","0.42","2.03","0.0","0.0","0.0","0.0","48.3","98.29","486.46","243.23","438.16","388.17","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","14927.12","0.41","0.2","0.0","2.44","0.41","0.99","0.08","0.08","0.0","0.0","49.21","98.29","486.46","243.23","437.25","388.17","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","14927.12","0.4","0.2","0.0","2.03","0.4","0.81","0.13","0.13","0.0","0.0","49.89","98.29","486.46","243.23","436.57","388.17","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","14927.12","0.39","0.2","0.0","2.18","0.39","0.86","3.39","3.39","0.0","0.0","47.36","98.29","486.46","243.23","439.1","388.17","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","14927.12","0.38","0.2","0.0","3.23","0.38","1.23","1.22","1.22","0.0","0.0","47.37","98.29","486.46","243.23","439.09","388.17","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","14927.12","0.36","0.2","0.0","4.65","0.36","1.69","0.0","0.0","0.0","0.0","49.06","98.29","486.46","243.23","437.4","388.17","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","14927.12","0.34","0.2","0.0","5.68","0.34","1.96","0.0","0.0","0.0","0.0","51.02","98.29","486.46","243.23","435.44","388.17","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","14927.12","0.33","0.2","0.0","6.03","0.33","1.98","0.0","0.0","0.0","0.0","52.99","98.29","486.46","243.23","433.47","388.17","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","14927.12","0.31","0.2","0.0","6.07","0.31","1.9","0.0","0.0","0.0","0.0","54.89","98.29","486.46","243.23","431.57","388.17","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","14927.12","0.3","0.2","0.0","5.63","0.3","1.69","0.0","0.0","0.0","0.0","56.59","98.29","486.46","243.23","429.87","388.17","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","14927.12","0.29","0.2","0.0","5.14","0.29","1.5","0.0","0.0","0.0","0.0","58.08","98.29","486.46","243.23","428.38","388.17","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","14927.12","0.28","0.2","0.0","5.57","0.28","1.57","0.0","0.0","0.0","0.0","59.65","98.29","486.46","243.23","426.81","388.17","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","14927.12","0.27","0.2","0.0","6.62","0.27","1.79","0.0","0.0","0.0","0.0","61.44","98.29","486.46","243.23","425.02","388.17","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","14927.12","0.26","0.2","0.0","7.71","0.26","2.0","0.0","0.0","0.0","0.0","63.45","98.29","486.46","243.23","423.01","388.17","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","14927.12","0.25","0.2","0.0","7.08","0.25","1.78","0.0","0.0","0.0","0.0","65.22","98.29","486.46","243.23","421.24","388.17","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","14927.12","0.24","0.2","0.0","6.3","0.24","1.53","0.0","0.0","0.0","0.0","66.76","98.29","486.46","243.23","419.7","388.17","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","14927.12","0.24","0.2","0.0","4.85","0.24","1.16","0.0","0.0","0.0","0.0","67.91","98.29","486.46","243.23","418.55","388.17","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","14927.12","0.24","0.2","0.0","3.73","0.24","0.88","0.32","0.32","0.0","0.0","68.47","98.29","486.46","243.23","417.99","388.17","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","14927.12","0.23","0.2","0.0","4.28","0.23","0.99","0.26","0.26","0.0","0.0","69.2","98.29","486.46","243.23","417.26","388.17","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","14927.12","0.23","0.2","0.0","4.84","0.23","1.1","0.0","0.0","0.0","0.0","70.3","98.29","486.46","243.23","416.16","388.17","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","14927.12","0.22","0.2","0.0","4.85","0.22","1.08","0.0","0.0","0.0","0.0","71.39","98.29","486.46","243.23","415.07","388.17","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","14927.12","0.22","0.2","0.0","5.31","0.22","1.16","0.0","0.0","0.0","0.0","72.55","98.29","486.46","243.23","413.91","388.17","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","14927.12","0.21","0.2","0.0","5.74","0.21","1.23","0.0","0.0","0.0","0.0","73.78","98.29","486.46","243.23","412.68","388.17","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","14927.12","0.21","0.23","0.0","6.05","0.23","1.38","0.0","0.0","0.0","0.0","75.16","98.29","486.46","243.23","411.3","388.17","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","14927.12","0.21","0.26","0.0","6.96","0.26","1.79","0.0","0.0","0.0","0.0","76.95","98.29","486.46","243.23","409.51","388.17","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","14927.12","0.2","0.29","0.0","6.57","0.29","1.87","0.0","0.0","0.0","0.0","78.82","98.29","486.46","243.23","407.64","388.17","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","14927.12","0.2","0.31","0.0","6.83","0.31","2.14","0.0","0.0","0.0","0.0","80.96","98.29","486.46","243.23","405.5","388.17","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","14927.12","0.19","0.34","0.0","7.15","0.34","2.44","0.0","0.0","0.0","0.0","83.41","98.29","486.46","243.23","403.06","388.17","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","14927.12","0.19","0.37","0.0","7.23","0.37","2.68","0.0","0.0","0.0","0.0","86.08","98.29","486.46","243.23","400.38","388.17","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","14927.12","0.19","0.4","0.0","6.91","0.4","2.75","0.0","0.0","0.0","0.0","88.83","98.29","486.46","243.23","397.63","388.17","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","14927.12","0.18","0.43","0.0","7.35","0.43","3.14","0.0","0.0","0.0","0.0","91.97","98.29","486.46","243.23","394.49","388.17","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","14927.12","0.18","0.46","0.0","4.89","0.46","2.22","0.0","0.0","0.0","0.0","94.19","98.29","486.46","243.23","392.27","388.17","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","14927.12","0.18","0.48","0.0","7.68","0.48","3.71","0.0","0.0","0.0","0.0","97.91","98.29","486.46","243.23","388.56","388.17","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","14927.12","0.17","0.51","0.0","7.2","0.51","3.68","0.0","0.0","0.0","0.0","0.0","98.29","486.46","243.23","486.46","388.17","101.59","","","","","","",""
"2016.0","6.0","7.0","159.0","14927.12","0.17","0.54","0.0","6.83","0.54","3.69","0.0","0.0","0.0","0.0","3.69","98.29","486.46","243.23","482.77","388.17","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","14927.12","0.17","0.57","0.0","6.55","0.57","3.72","0.0","0.0","0.0","0.0","7.41","98.29","486.46","243.23","479.05","388.17","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","14927.12","0.17","0.6","0.0","6.26","0.6","3.74","0.0","0.0","0.0","0.0","11.15","98.29","486.46","243.23","475.31","388.17","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","14927.12","0.16","0.63","0.0","6.64","0.63","4.15","0.0","0.0","0.0","0.0","15.3","98.29","486.46","243.23","471.16","388.17","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","14927.12","0.16","0.65","0.0","6.87","0.65","4.49","0.0","0.0","0.0","0.0","19.78","98.29","486.46","243.23","466.68","388.17","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","14927.12","0.16","0.68","0.0","6.96","0.68","4.74","0.0","0.0","0.0","0.0","24.53","98.29","486.46","243.23","461.93","388.17","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","14927.12","0.16","0.71","0.0","6.65","0.71","4.72","0.0","0.0","0.0","0.0","29.25","98.29","486.46","243.23","457.21","388.17","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","14927.12","0.16","0.74","0.0","6.35","0.74","4.69","0.0","0.0","0.0","0.0","33.94","98.29","486.46","243.23","452.52","388.17","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","14927.12","0.15","0.77","0.0","5.38","0.77","4.12","0.0","0.0","0.0","0.0","38.06","98.29","486.46","243.23","448.4","388.17","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","14927.12","0.15","0.8","0.0","5.31","0.8","4.22","0.0","0.0","0.0","0.0","42.28","98.29","486.46","243.23","444.18","388.17","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","14927.12","0.15","0.82","0.0","5.14","0.82","4.23","0.0","0.0","0.0","0.0","46.52","98.29","486.46","243.23","439.94","388.17","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","14927.12","0.15","0.85","0.0","6.18","0.85","5.26","0.0","0.0","0.0","0.0","51.78","98.29","486.46","243.23","434.68","388.17","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","14927.12","0.15","0.88","0.0","6.9","0.88","6.07","0.0","0.0","0.0","0.0","57.85","98.29","486.46","243.23","428.61","388.17","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","14927.12","0.15","0.91","0.0","7.46","0.91","6.78","0.0","0.0","0.0","0.0","64.63","98.29","486.46","243.23","421.83","388.17","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","14927.12","0.14","0.94","0.0","7.77","0.94","7.28","0.0","0.0","0.0","0.0","71.91","98.29","486.46","243.23","414.55","388.17","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","14927.12","0.14","0.97","0.0","7.82","0.97","7.55","0.0","0.0","0.0","0.0","79.45","98.29","486.46","243.23","407.01","388.17","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","14927.12","0.14","0.99","0.0","7.73","0.99","7.68","0.0","0.0","0.0","0.0","87.13","98.29","486.46","243.23","399.33","388.17","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","14927.12","0.14","1.02","0.0","7.01","1.02","7.16","0.0","0.0","0.0","0.0","94.29","98.29","486.46","243.23","392.17","388.17","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","14927.12","0.14","1.05","0.0","7.8","1.05","8.19","0.0","0.0","0.0","0.0","0.0","98.29","486.46","243.23","486.46","388.17","102.48","","","","","","",""
"2016.0","6.0","26.0","178.0","14927.12","0.14","1.05","0.0","7.67","1.05","8.05","0.0","0.0","0.0","0.0","8.05","98.29","486.46","243.23","478.41","388.17","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","14927.12","0.13","1.05","0.0","8.11","1.05","8.52","0.0","0.0","0.0","0.0","16.57","98.29","486.46","243.23","469.89","388.17","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","14927.12","0.13","1.05","0.0","8.1","1.05","8.51","0.0","0.0","0.0","0.0","25.07","98.29","486.46","243.23","461.39","388.17","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","14927.12","0.13","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","32.9","98.29","486.46","243.23","453.56","388.17","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","14927.12","0.13","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","40.66","98.29","486.46","243.23","445.8","388.17","0.0","","","","","","",""
