" Daily soil water balance output for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"2016.0","2.0","13.0","44.0","108.53","0.54","0.0","0.0","2.34","0.54","1.25","0.0","0.0","0.0","0.0","19.47","25.65","492.27","246.14","472.81","466.62","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","108.53","0.51","0.0","0.0","3.12","0.51","1.58","0.0","0.0","0.0","0.0","21.05","25.65","492.27","246.14","471.23","466.62","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","108.53","0.49","0.0","0.0","2.53","0.49","1.23","0.0","0.0","0.0","0.0","22.28","25.65","492.27","246.14","470.0","466.62","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","108.53","0.47","0.0","0.0","2.12","0.47","1.0","0.0","0.0","0.0","0.0","23.28","25.65","492.27","246.14","469.0","466.62","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","108.53","0.45","0.0","0.0","2.71","0.45","1.23","0.42","0.42","0.0","0.0","24.09","25.65","492.27","246.14","468.19","466.62","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","108.53","1.14","0.0","0.0","1.92","1.14","2.19","12.78","12.78","0.0","0.0","13.5","25.65","492.27","246.14","478.77","466.62","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","108.53","1.15","0.0","0.0","1.64","1.15","1.89","4.26","4.26","0.0","0.0","11.13","25.65","492.27","246.14","481.14","466.62","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","108.53","1.15","0.0","0.0","1.8","1.15","2.07","0.01","0.01","0.0","0.0","13.2","25.65","492.27","246.14","479.08","466.62","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","108.53","1.15","0.0","0.0","1.99","1.15","2.28","0.0","0.0","0.0","0.0","15.48","25.65","492.27","246.14","476.8","466.62","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","108.53","0.97","0.0","0.0","2.71","0.97","2.64","0.0","0.0","0.0","0.0","18.11","25.65","492.27","246.14","474.16","466.62","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","108.53","0.85","0.0","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","20.18","25.65","492.27","246.14","472.1","466.62","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","108.53","0.77","0.0","0.0","2.23","0.77","1.73","0.0","0.0","0.0","0.0","21.91","25.65","492.27","246.14","470.37","466.62","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","108.53","0.71","0.0","0.0","2.36","0.71","1.68","0.0","0.0","0.0","0.0","23.58","25.65","492.27","246.14","468.69","466.62","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","108.53","0.66","0.0","0.0","2.37","0.66","1.57","0.0","0.0","0.0","0.0","25.15","25.65","492.27","246.14","467.12","466.62","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","108.53","0.62","0.0","0.0","2.25","0.62","1.4","0.0","0.0","0.0","0.0","26.55","25.65","492.27","246.14","465.72","466.62","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","108.53","0.59","0.0","0.0","2.09","0.59","1.24","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","108.53","0.56","0.0","0.0","2.68","0.56","1.5","0.0","0.0","0.0","0.0","27.15","25.65","492.27","246.14","465.13","466.62","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","108.53","0.53","0.0","0.0","3.02","0.53","1.59","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","108.53","0.5","0.0","0.0","2.62","0.5","1.32","0.0","0.0","0.0","0.0","26.97","25.65","492.27","246.14","465.31","466.62","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","108.53","0.49","0.0","0.0","1.85","0.49","0.9","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","108.53","0.48","0.0","0.0","1.57","0.48","0.75","0.3","0.3","0.0","0.0","26.1","25.65","492.27","246.14","466.18","466.62","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","108.53","1.17","0.0","0.0","1.24","1.17","1.45","13.48","13.48","0.0","0.0","12.62","25.65","492.27","246.14","479.66","466.62","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","108.53","1.13","0.0","0.0","2.16","1.13","2.45","33.53","15.07","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","108.53","1.16","0.0","0.0","1.52","1.16","1.76","17.68","1.76","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","108.53","1.15","0.0","0.0","1.84","1.15","2.11","2.59","2.11","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","108.53","1.15","0.0","0.0","1.91","1.15","2.19","0.11","0.11","0.0","0.0","2.08","25.65","492.27","246.14","490.2","466.62","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","108.53","1.15","0.0","0.0","1.42","1.15","1.63","0.37","0.37","0.0","0.0","3.34","25.65","492.27","246.14","488.93","466.62","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","108.53","1.16","0.0","0.0","1.5","1.16","1.74","8.16","5.08","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","108.53","1.15","0.0","0.0","1.66","1.15","1.91","11.81","1.91","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","108.53","1.17","0.0","0.0","1.2","1.17","1.41","11.61","1.41","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","108.53","1.12","0.0","0.0","2.56","1.12","2.86","17.07","2.86","0.0","0.0","0.0","25.65","492.27","246.14","492.27","466.62","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","108.53","1.11","0.0","0.0","3.05","1.11","3.38","0.0","0.0","0.0","0.0","3.38","25.65","492.27","246.14","488.9","466.62","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","108.53","0.92","0.0","0.0","3.12","0.92","2.88","0.0","0.0","0.0","0.0","6.26","25.65","492.27","246.14","486.01","466.62","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","108.53","0.79","0.0","0.0","3.15","0.79","2.49","0.0","0.0","0.0","0.0","8.76","25.65","492.27","246.14","483.52","466.62","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","108.53","0.7","0.0","0.0","3.16","0.7","2.22","0.0","0.0","0.0","0.0","10.98","25.65","492.27","246.14","481.3","466.62","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","108.53","0.64","0.0","0.0","3.15","0.64","2.01","0.0","0.0","0.0","0.0","12.99","25.65","492.27","246.14","479.28","466.62","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","108.53","0.6","0.0","0.0","2.32","0.6","1.4","0.02","0.02","0.0","0.0","14.37","25.65","492.27","246.14","477.91","466.62","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","108.53","0.57","0.0","0.0","2.33","0.57","1.33","2.11","2.11","0.0","0.0","13.59","25.65","492.27","246.14","478.68","466.62","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","108.53","0.54","0.0","0.0","2.98","0.54","1.6","0.76","0.76","0.0","0.0","14.44","25.65","492.27","246.14","477.84","466.62","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","108.53","0.51","0.0","0.0","3.38","0.51","1.71","0.0","0.0","0.0","0.0","16.14","25.65","492.27","246.14","476.13","466.62","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","108.53","0.48","0.0","0.0","3.22","0.48","1.54","0.0","0.0","0.0","0.0","17.69","25.65","492.27","246.14","474.59","466.62","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","108.53","0.45","0.0","0.0","3.68","0.45","1.67","0.0","0.0","0.0","0.0","19.36","25.65","492.27","246.14","472.92","466.62","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","108.53","0.43","0.0","0.0","4.39","0.43","1.88","0.0","0.0","0.0","0.0","21.23","25.65","492.27","246.14","471.04","466.62","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","108.53","0.41","0.0","0.0","3.5","0.41","1.44","0.0","0.0","0.0","0.0","22.67","25.65","492.27","246.14","469.6","466.62","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","108.53","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","24.04","25.65","492.27","246.14","468.23","466.62","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","108.53","0.38","0.0","0.0","3.78","0.38","1.43","0.0","0.0","0.0","0.0","25.48","25.65","492.27","246.14","466.8","466.62","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","108.53","0.37","0.0","0.0","3.6","0.37","1.32","0.0","0.0","0.0","0.0","26.8","25.65","492.27","246.14","465.48","466.62","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","108.53","0.35","0.0","0.0","3.79","0.35","1.34","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","108.53","0.34","0.0","0.0","3.69","0.34","1.27","0.0","0.0","0.0","0.0","26.92","25.65","492.27","246.14","465.36","466.62","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","108.53","0.33","0.0","0.0","3.75","0.33","1.25","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","108.53","0.32","0.0","0.0","4.07","0.32","1.32","0.0","0.0","0.0","0.0","26.97","25.65","492.27","246.14","465.31","466.62","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","108.53","0.31","0.0","0.0","4.24","0.31","1.33","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","108.53","0.3","0.0","0.0","5.59","0.3","1.69","0.0","0.0","0.0","0.0","27.34","25.65","492.27","246.14","464.94","466.62","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","108.53","0.29","0.0","0.0","4.9","0.29","1.44","0.0","0.0","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","108.53","0.29","0.0","0.0","4.35","0.29","1.24","0.0","0.0","0.0","0.0","26.89","25.65","492.27","246.14","465.38","466.62","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","108.53","0.28","0.0","0.0","3.49","0.28","0.98","0.22","0.22","0.0","0.0","25.65","25.65","492.27","246.14","466.62","466.62","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","108.53","1.16","0.0","0.0","1.48","1.16","1.72","3.68","3.68","0.0","0.0","23.69","25.65","492.27","246.14","468.59","466.62","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","108.53","1.13","0.0","0.0","2.16","1.13","2.45","14.12","14.12","0.0","0.0","12.02","25.65","492.27","246.14","480.26","466.62","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","108.53","1.11","0.0","0.0","3.29","1.11","3.66","0.9","0.9","0.0","0.0","14.77","25.65","492.27","246.14","477.5","466.62","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","108.53","0.91","0.0","0.0","3.54","0.91","3.22","0.0","0.0","0.0","0.0","17.99","25.65","492.27","246.14","474.28","466.62","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","108.53","0.75","0.0","0.0","4.25","0.75","3.17","0.0","0.0","0.0","0.0","21.16","25.65","492.27","246.14","471.12","466.62","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","108.53","0.65","0.0","0.0","4.09","0.65","2.66","1.02","1.02","0.0","0.0","22.79","25.65","492.27","246.14","469.48","466.62","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","108.53","0.56","0.0","0.0","5.43","0.56","3.06","0.0","0.0","0.0","0.0","25.85","25.65","492.27","246.14","466.42","466.62","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","108.53","0.5","0.55","0.0","5.34","0.55","2.94","0.0","0.0","0.0","0.0","28.79","105.27","492.27","246.14","463.48","387.0","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","108.53","0.47","0.56","0.0","4.76","0.56","2.65","0.0","0.0","0.0","0.0","31.44","105.27","492.27","246.14","460.84","387.0","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","108.53","0.43","0.56","0.0","5.12","0.56","2.88","0.0","0.0","0.0","0.0","34.32","105.27","492.27","246.14","457.96","387.0","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","108.53","0.41","0.57","0.0","4.98","0.57","2.83","0.0","0.0","0.0","0.0","37.14","105.27","492.27","246.14","455.13","387.0","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","108.53","0.38","0.57","0.0","5.18","0.57","2.97","0.0","0.0","0.0","0.0","40.12","105.27","492.27","246.14","452.16","387.0","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","108.53","0.37","0.58","0.0","3.85","0.58","2.23","0.0","0.0","0.0","0.0","42.35","105.27","492.27","246.14","449.92","387.0","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","108.53","0.36","0.59","0.0","2.79","0.59","1.64","0.11","0.11","0.0","0.0","43.88","105.27","492.27","246.14","448.4","387.0","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","108.53","1.06","0.59","0.0","4.03","1.06","4.27","5.17","5.17","0.0","0.0","42.98","105.27","492.27","246.14","449.3","387.0","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","108.53","0.91","0.6","0.0","4.56","0.91","4.14","0.0","0.0","0.0","0.0","47.12","105.27","492.27","246.14","445.16","387.0","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","108.53","0.71","0.6","0.0","5.38","0.71","3.81","0.0","0.0","0.0","0.0","50.92","105.27","492.27","246.14","441.35","387.0","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","108.53","0.61","0.61","0.0","4.67","0.61","2.86","0.0","0.0","0.0","0.0","53.78","105.27","492.27","246.14","438.49","387.0","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","108.53","0.56","0.62","0.0","3.74","0.62","2.31","0.0","0.0","0.0","0.0","56.09","105.27","492.27","246.14","436.19","387.0","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","108.53","0.99","0.62","0.0","5.75","0.99","5.69","4.8","4.8","0.0","0.0","56.98","105.27","492.27","246.14","435.29","387.0","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","108.53","0.79","0.63","0.0","5.1","0.79","4.03","0.0","0.0","0.0","0.0","61.01","105.27","492.27","246.14","431.26","387.0","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","108.53","0.6","0.63","0.0","7.38","0.63","4.69","0.0","0.0","0.0","0.0","65.7","105.27","492.27","246.14","426.58","387.0","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","108.53","0.52","0.64","0.0","5.86","0.64","3.76","0.0","0.0","0.0","0.0","69.45","105.27","492.27","246.14","422.82","387.0","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","108.53","0.48","0.65","0.0","5.39","0.65","3.49","0.0","0.0","0.0","0.0","72.94","105.27","492.27","246.14","419.33","387.0","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","108.53","0.44","0.65","0.0","4.49","0.65","2.93","0.0","0.0","0.0","0.0","75.87","105.27","492.27","246.14","416.4","387.0","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","108.53","0.42","0.66","0.0","4.86","0.66","3.2","0.0","0.0","0.0","0.0","79.08","105.27","492.27","246.14","413.2","387.0","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","108.53","0.41","0.67","0.0","2.44","0.67","1.62","0.08","0.08","0.0","0.0","80.62","105.27","492.27","246.14","411.66","387.0","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","108.53","0.4","0.67","0.0","2.03","0.67","1.36","0.13","0.13","0.0","0.0","81.85","105.27","492.27","246.14","410.42","387.0","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","108.53","0.39","0.68","0.0","2.18","0.68","1.48","3.39","3.39","0.0","0.0","79.94","105.27","492.27","246.14","412.34","387.0","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","108.53","0.38","0.68","0.0","3.23","0.68","2.21","1.22","1.22","0.0","0.0","80.93","105.27","492.27","246.14","411.35","387.0","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","108.53","0.36","0.69","0.0","4.65","0.69","3.21","0.0","0.0","0.0","0.0","84.13","105.27","492.27","246.14","408.14","387.0","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","108.53","0.34","0.7","0.0","5.68","0.7","3.95","0.0","0.0","0.0","0.0","88.08","105.27","492.27","246.14","404.19","387.0","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","108.53","0.33","0.7","0.0","6.03","0.7","4.23","0.0","0.0","0.0","0.0","92.31","105.27","492.27","246.14","399.96","387.0","0.0","","","","","","",""
"2016.0","5.0","12.0","133.0","108.53","0.31","0.71","0.0","6.07","0.71","4.29","0.0","0.0","0.0","0.0","96.61","105.27","492.27","246.14","395.67","387.0","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","108.53","0.3","0.71","0.0","5.63","0.71","4.02","0.0","0.0","0.0","0.0","100.62","105.27","492.27","246.14","391.65","387.0","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","108.53","0.29","0.72","0.0","5.14","0.72","3.7","0.0","0.0","0.0","0.0","104.32","105.27","492.27","246.14","387.95","387.0","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","108.53","0.28","0.73","0.0","5.57","0.73","4.04","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","108.37","","","","","","",""
"2016.0","5.0","16.0","137.0","108.53","0.27","0.73","0.0","6.62","0.73","4.84","0.0","0.0","0.0","0.0","4.84","105.27","492.27","246.14","487.43","387.0","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","108.53","0.26","0.74","0.0","7.71","0.74","5.69","0.0","0.0","0.0","0.0","10.53","105.27","492.27","246.14","481.74","387.0","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","108.53","0.25","0.74","0.0","7.08","0.74","5.27","0.0","0.0","0.0","0.0","15.8","105.27","492.27","246.14","476.47","387.0","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","108.53","0.24","0.75","0.0","6.3","0.75","4.73","0.0","0.0","0.0","0.0","20.53","105.27","492.27","246.14","471.75","387.0","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","108.53","0.24","0.76","0.0","4.85","0.76","3.67","0.0","0.0","0.0","0.0","24.19","105.27","492.27","246.14","468.08","387.0","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","108.53","0.24","0.76","0.0","3.73","0.76","2.84","0.32","0.32","0.0","0.0","26.72","105.27","492.27","246.14","465.56","387.0","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","108.53","0.23","0.77","0.0","4.28","0.77","3.29","0.26","0.26","0.0","0.0","29.74","105.27","492.27","246.14","462.53","387.0","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","108.53","0.23","0.77","0.0","4.84","0.77","3.75","0.0","0.0","0.0","0.0","33.49","105.27","492.27","246.14","458.78","387.0","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","108.53","0.22","0.78","0.0","4.85","0.78","3.78","0.0","0.0","0.0","0.0","37.28","105.27","492.27","246.14","455.0","387.0","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","108.53","0.22","0.79","0.0","5.31","0.79","4.18","0.0","0.0","0.0","0.0","41.45","105.27","492.27","246.14","450.82","387.0","0.0","","","","","","",""
"2016.0","5.0","26.0","147.0","108.53","0.21","0.79","0.0","5.74","0.79","4.55","0.0","0.0","0.0","0.0","46.0","105.27","492.27","246.14","446.28","387.0","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","108.53","0.21","0.8","0.0","6.05","0.8","4.83","0.0","0.0","0.0","0.0","50.83","105.27","492.27","246.14","441.44","387.0","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","108.53","0.21","0.8","0.0","6.96","0.8","5.6","0.0","0.0","0.0","0.0","56.43","105.27","492.27","246.14","435.85","387.0","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","108.53","0.2","0.81","0.0","6.57","0.81","5.33","0.0","0.0","0.0","0.0","61.76","105.27","492.27","246.14","430.52","387.0","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","108.53","0.2","0.82","0.0","6.83","0.82","5.58","0.0","0.0","0.0","0.0","67.33","105.27","492.27","246.14","424.94","387.0","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","108.53","0.19","0.82","0.0","7.15","0.82","5.88","0.0","0.0","0.0","0.0","73.22","105.27","492.27","246.14","419.06","387.0","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","108.53","0.19","0.83","0.0","7.23","0.83","5.99","0.0","0.0","0.0","0.0","79.21","105.27","492.27","246.14","413.07","387.0","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","108.53","0.19","0.83","0.0","6.91","0.83","5.77","0.0","0.0","0.0","0.0","84.98","105.27","492.27","246.14","407.3","387.0","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","108.53","0.18","0.84","0.0","7.35","0.84","6.18","0.0","0.0","0.0","0.0","91.16","105.27","492.27","246.14","401.12","387.0","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","108.53","0.18","0.85","0.0","4.89","0.85","4.14","0.0","0.0","0.0","0.0","95.3","105.27","492.27","246.14","396.98","387.0","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","108.53","0.18","0.85","0.0","7.68","0.85","6.55","0.0","0.0","0.0","0.0","101.85","105.27","492.27","246.14","390.42","387.0","0.0","","","","","","",""
"2016.0","6.0","6.0","158.0","108.53","0.17","0.86","0.0","7.2","0.86","6.19","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","108.04","","","","","","",""
"2016.0","6.0","7.0","159.0","108.53","0.17","0.87","0.0","6.83","0.87","5.91","0.0","0.0","0.0","0.0","5.91","105.27","492.27","246.14","486.37","387.0","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","108.53","0.17","0.87","0.0","6.55","0.87","5.71","0.0","0.0","0.0","0.0","11.62","105.27","492.27","246.14","480.66","387.0","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","108.53","0.17","0.88","0.0","6.26","0.88","5.49","0.0","0.0","0.0","0.0","17.11","105.27","492.27","246.14","475.17","387.0","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","108.53","0.16","0.88","0.0","6.64","0.88","5.87","0.0","0.0","0.0","0.0","22.97","105.27","492.27","246.14","469.3","387.0","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","108.53","0.16","0.89","0.0","6.87","0.89","6.11","0.0","0.0","0.0","0.0","29.08","105.27","492.27","246.14","463.19","387.0","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","108.53","0.16","0.9","0.0","6.96","0.9","6.23","0.0","0.0","0.0","0.0","35.31","105.27","492.27","246.14","456.96","387.0","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","108.53","0.16","0.9","0.0","6.65","0.9","6.0","0.0","0.0","0.0","0.0","41.31","105.27","492.27","246.14","450.96","387.0","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","108.53","0.16","0.91","0.0","6.35","0.91","5.76","0.0","0.0","0.0","0.0","47.07","105.27","492.27","246.14","445.2","387.0","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","108.53","0.15","0.91","0.0","5.38","0.91","4.92","0.0","0.0","0.0","0.0","51.99","105.27","492.27","246.14","440.29","387.0","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","108.53","0.15","0.92","0.0","5.31","0.92","4.88","0.0","0.0","0.0","0.0","56.87","105.27","492.27","246.14","435.4","387.0","0.0","","","","","","",""
"2016.0","6.0","17.0","169.0","108.53","0.15","0.93","0.0","5.14","0.93","4.76","0.0","0.0","0.0","0.0","61.63","105.27","492.27","246.14","430.64","387.0","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","108.53","0.15","0.93","0.0","6.18","0.93","5.76","0.0","0.0","0.0","0.0","67.39","105.27","492.27","246.14","424.89","387.0","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","108.53","0.15","0.94","0.0","6.9","0.94","6.47","0.0","0.0","0.0","0.0","73.86","105.27","492.27","246.14","418.41","387.0","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","108.53","0.15","0.94","0.0","7.46","0.94","7.04","0.0","0.0","0.0","0.0","80.9","105.27","492.27","246.14","411.37","387.0","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","108.53","0.14","0.95","0.0","7.77","0.95","7.38","0.0","0.0","0.0","0.0","88.28","105.27","492.27","246.14","403.99","387.0","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","108.53","0.14","0.96","0.0","7.82","0.96","7.48","0.0","0.0","0.0","0.0","95.76","105.27","492.27","246.14","396.51","387.0","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","108.53","0.14","0.96","0.0","7.73","0.96","7.44","0.0","0.0","0.0","0.0","103.2","105.27","492.27","246.14","389.08","387.0","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","108.53","0.14","0.97","0.0","7.01","0.97","6.79","0.0","0.0","0.0","0.0","0.0","105.27","492.27","246.14","492.27","387.0","109.98","","","","","","",""
"2016.0","6.0","25.0","177.0","108.53","0.14","0.97","0.0","7.8","0.97","7.6","0.0","0.0","0.0","0.0","7.6","105.27","492.27","246.14","484.68","387.0","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","108.53","0.14","0.98","0.0","7.67","0.98","7.52","0.0","0.0","0.0","0.0","15.12","105.27","492.27","246.14","477.16","387.0","0.0","","","","","","",""
"2016.0","6.0","27.0","179.0","108.53","0.13","0.99","0.0","8.11","0.99","8.0","0.0","0.0","0.0","0.0","23.12","105.27","492.27","246.14","469.16","387.0","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","108.53","0.13","0.99","0.0","8.1","0.99","8.04","0.0","0.0","0.0","0.0","31.16","105.27","492.27","246.14","461.12","387.0","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","108.53","0.13","1.0","0.0","7.45","1.0","7.44","0.0","0.0","0.0","0.0","38.59","105.27","492.27","246.14","453.68","387.0","0.0","","","","","","",""
"2016.0","6.0","30.0","182.0","108.53","0.13","1.0","0.0","7.39","1.0","7.42","0.0","0.0","0.0","0.0","46.02","105.27","492.27","246.14","446.26","387.0","0.0","","","","","","",""
"2016.0","7.0","1.0","183.0","108.53","0.13","1.01","0.0","7.26","1.01","7.34","0.0","0.0","0.0","0.0","53.36","105.27","492.27","246.14","438.92","387.0","0.0","","","","","","",""
"2016.0","7.0","2.0","184.0","108.53","0.13","1.02","0.0","7.24","1.02","7.36","0.0","0.0","0.0","0.0","60.72","105.27","492.27","246.14","431.56","387.0","0.0","","","","","","",""
