" Daily soil water balance output for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"2016.0","2.0","11.0","42.0","1236.74","0.58","0.0","0.0","1.8","0.58","1.04","0.0","0.0","0.0","0.0","18.62","21.6","307.3","153.65","288.68","285.7","0.0","","","","","","",""
"2016.0","2.0","12.0","43.0","1236.74","0.56","0.0","0.0","1.89","0.56","1.05","0.0","0.0","0.0","0.0","19.67","21.6","307.3","153.65","287.62","285.7","0.0","","","","","","",""
"2016.0","2.0","13.0","44.0","1236.74","0.53","0.0","0.0","2.32","0.53","1.24","0.0","0.0","0.0","0.0","20.91","21.6","307.3","153.65","286.39","285.7","0.0","","","","","","",""
"2016.0","2.0","14.0","45.0","1236.74","0.51","0.0","0.0","2.94","0.51","1.49","0.0","0.0","0.0","0.0","22.39","21.6","307.3","153.65","284.9","285.7","0.0","","","","","","",""
"2016.0","2.0","15.0","46.0","1236.74","0.49","0.0","0.0","2.4","0.49","1.17","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","2.0","16.0","47.0","1236.74","0.47","0.0","0.0","2.18","0.47","1.03","0.0","0.0","0.0","0.0","22.63","21.6","307.3","153.65","284.67","285.7","0.0","","","","","","",""
"2016.0","2.0","17.0","48.0","1236.74","0.45","0.0","0.0","2.89","0.45","1.31","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","2.0","18.0","49.0","1236.74","1.14","0.0","0.0","1.93","1.14","2.21","12.6","12.6","0.0","0.0","11.21","21.6","307.3","153.65","296.09","285.7","0.0","","","","","","",""
"2016.0","2.0","19.0","50.0","1236.74","1.15","0.0","0.0","1.79","1.15","2.05","1.68","1.68","0.0","0.0","11.58","21.6","307.3","153.65","295.72","285.7","0.0","","","","","","",""
"2016.0","2.0","20.0","51.0","1236.74","1.15","0.0","0.0","1.78","1.15","2.04","0.0","0.0","0.0","0.0","13.62","21.6","307.3","153.65","293.68","285.7","0.0","","","","","","",""
"2016.0","2.0","21.0","52.0","1236.74","1.01","0.0","0.0","2.03","1.01","2.06","0.0","0.0","0.0","0.0","15.68","21.6","307.3","153.65","291.62","285.7","0.0","","","","","","",""
"2016.0","2.0","22.0","53.0","1236.74","0.87","0.0","0.0","2.67","0.87","2.32","0.0","0.0","0.0","0.0","17.99","21.6","307.3","153.65","289.3","285.7","0.0","","","","","","",""
"2016.0","2.0","23.0","54.0","1236.74","0.78","0.0","0.0","2.49","0.78","1.94","0.0","0.0","0.0","0.0","19.93","21.6","307.3","153.65","287.37","285.7","0.0","","","","","","",""
"2016.0","2.0","24.0","55.0","1236.74","0.72","0.0","0.0","2.29","0.72","1.64","0.0","0.0","0.0","0.0","21.57","21.6","307.3","153.65","285.73","285.7","0.0","","","","","","",""
"2016.0","2.0","25.0","56.0","1236.74","0.66","0.0","0.0","2.39","0.66","1.59","0.0","0.0","0.0","0.0","23.16","21.6","307.3","153.65","284.14","285.7","0.0","","","","","","",""
"2016.0","2.0","26.0","57.0","1236.74","0.62","0.0","0.0","2.46","0.62","1.53","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","2.0","27.0","58.0","1236.74","0.59","0.0","0.0","2.45","0.59","1.44","0.0","0.0","0.0","0.0","23.04","21.6","307.3","153.65","284.26","285.7","0.0","","","","","","",""
"2016.0","2.0","28.0","59.0","1236.74","0.56","0.0","0.0","2.08","0.56","1.17","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","2.0","29.0","60.0","1236.74","0.53","0.0","0.0","2.7","0.53","1.43","0.0","0.0","0.0","0.0","23.03","21.6","307.3","153.65","284.26","285.7","0.0","","","","","","",""
"2016.0","3.0","1.0","61.0","1236.74","0.5","0.0","0.0","3.07","0.5","1.54","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","3.0","2.0","62.0","1236.74","0.48","0.0","0.0","2.66","0.48","1.28","0.0","0.0","0.0","0.0","22.88","21.6","307.3","153.65","284.41","285.7","0.0","","","","","","",""
"2016.0","3.0","3.0","63.0","1236.74","0.47","0.0","0.0","2.01","0.47","0.94","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","3.0","4.0","64.0","1236.74","0.46","0.0","0.0","1.63","0.46","0.75","0.0","0.0","0.0","0.0","22.35","21.6","307.3","153.65","284.95","285.7","0.0","","","","","","",""
"2016.0","3.0","5.0","65.0","1236.74","1.17","0.0","0.0","1.29","1.17","1.51","9.53","9.53","0.0","0.0","12.82","21.6","307.3","153.65","294.48","285.7","0.0","","","","","","",""
"2016.0","3.0","6.0","66.0","1236.74","1.13","0.0","0.0","2.24","1.13","2.53","23.66","15.35","0.0","0.0","0.0","21.6","307.3","153.65","307.3","285.7","0.0","","","","","","",""
"2016.0","3.0","7.0","67.0","1236.74","1.16","0.0","0.0","1.43","1.16","1.66","16.86","1.66","0.0","0.0","0.0","21.6","307.3","153.65","307.3","285.7","0.0","","","","","","",""
"2016.0","3.0","8.0","68.0","1236.74","1.14","0.0","0.0","2.0","1.14","2.28","2.25","2.25","0.0","0.0","0.03","21.6","307.3","153.65","307.27","285.7","0.0","","","","","","",""
"2016.0","3.0","9.0","69.0","1236.74","1.14","0.0","0.0","2.17","1.14","2.47","0.01","0.01","0.0","0.0","2.49","21.6","307.3","153.65","304.81","285.7","0.0","","","","","","",""
"2016.0","3.0","10.0","70.0","1236.74","1.14","0.0","0.0","1.49","1.14","1.71","0.09","0.09","0.0","0.0","4.1","21.6","307.3","153.65","303.19","285.7","0.0","","","","","","",""
"2016.0","3.0","11.0","71.0","1236.74","1.16","0.0","0.0","1.56","1.16","1.81","2.52","2.52","0.0","0.0","3.39","21.6","307.3","153.65","303.91","285.7","0.0","","","","","","",""
"2016.0","3.0","12.0","72.0","1236.74","1.14","0.0","0.0","1.94","1.14","2.22","10.13","5.6","0.0","0.0","0.0","21.6","307.3","153.65","307.3","285.7","0.0","","","","","","",""
"2016.0","3.0","13.0","73.0","1236.74","1.17","0.0","0.0","1.23","1.17","1.44","5.53","1.44","0.0","0.0","0.0","21.6","307.3","153.65","307.3","285.7","0.0","","","","","","",""
"2016.0","3.0","14.0","74.0","1236.74","1.12","0.0","0.0","2.53","1.12","2.83","16.17","2.83","0.0","0.0","0.0","21.6","307.3","153.65","307.3","285.7","0.0","","","","","","",""
"2016.0","3.0","15.0","75.0","1236.74","1.11","0.0","0.0","3.04","1.11","3.37","0.0","0.0","0.0","0.0","3.37","21.6","307.3","153.65","303.93","285.7","0.0","","","","","","",""
"2016.0","3.0","16.0","76.0","1236.74","0.93","0.0","0.0","3.13","0.93","2.9","0.0","0.0","0.0","0.0","6.27","21.6","307.3","153.65","301.03","285.7","0.0","","","","","","",""
"2016.0","3.0","17.0","77.0","1236.74","0.79","0.0","0.0","3.15","0.79","2.5","0.0","0.0","0.0","0.0","8.77","21.6","307.3","153.65","298.53","285.7","0.0","","","","","","",""
"2016.0","3.0","18.0","78.0","1236.74","0.7","0.0","0.0","3.12","0.7","2.2","0.0","0.0","0.0","0.0","10.97","21.6","307.3","153.65","296.33","285.7","0.0","","","","","","",""
"2016.0","3.0","19.0","79.0","1236.74","0.64","0.0","0.0","3.12","0.64","2.0","0.0","0.0","0.0","0.0","12.97","21.6","307.3","153.65","294.33","285.7","0.0","","","","","","",""
"2016.0","3.0","20.0","80.0","1236.74","0.6","0.0","0.0","2.58","0.6","1.55","0.0","0.0","0.0","0.0","14.51","21.6","307.3","153.65","292.78","285.7","0.0","","","","","","",""
"2016.0","3.0","21.0","81.0","1236.74","0.57","0.0","0.0","2.43","0.57","1.38","1.04","1.04","0.0","0.0","14.86","21.6","307.3","153.65","292.44","285.7","0.0","","","","","","",""
"2016.0","3.0","22.0","82.0","1236.74","0.53","0.0","0.0","3.06","0.53","1.63","0.84","0.84","0.0","0.0","15.65","21.6","307.3","153.65","291.65","285.7","0.0","","","","","","",""
"2016.0","3.0","23.0","83.0","1236.74","0.5","0.0","0.0","3.41","0.5","1.71","0.0","0.0","0.0","0.0","17.36","21.6","307.3","153.65","289.94","285.7","0.0","","","","","","",""
"2016.0","3.0","24.0","84.0","1236.74","0.48","0.0","0.0","3.28","0.48","1.56","0.0","0.0","0.0","0.0","18.92","21.6","307.3","153.65","288.37","285.7","0.0","","","","","","",""
"2016.0","3.0","25.0","85.0","1236.74","0.45","0.0","0.0","3.68","0.45","1.66","0.0","0.0","0.0","0.0","20.58","21.6","307.3","153.65","286.72","285.7","0.0","","","","","","",""
"2016.0","3.0","26.0","86.0","1236.74","0.43","0.0","0.0","4.3","0.43","1.83","0.0","0.0","0.0","0.0","22.41","21.6","307.3","153.65","284.88","285.7","0.0","","","","","","",""
"2016.0","3.0","27.0","87.0","1236.74","0.41","0.0","0.0","3.59","0.41","1.46","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","3.0","28.0","88.0","1236.74","0.39","0.0","0.0","3.48","0.39","1.37","0.0","0.0","0.0","0.0","22.97","21.6","307.3","153.65","284.33","285.7","0.0","","","","","","",""
"2016.0","3.0","29.0","89.0","1236.74","0.38","0.0","0.0","3.78","0.38","1.43","0.01","0.01","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","3.0","30.0","90.0","1236.74","0.37","0.0","0.0","3.59","0.37","1.31","0.0","0.0","0.0","0.0","22.91","21.6","307.3","153.65","284.39","285.7","0.0","","","","","","",""
"2016.0","3.0","31.0","91.0","1236.74","0.35","0.0","0.0","3.81","0.35","1.34","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2016.0","4.0","1.0","92.0","1236.74","0.34","0.3","0.0","3.73","0.34","1.28","0.0","0.0","0.0","0.0","22.88","72.53","307.3","153.65","284.42","234.77","0.0","","","","","","",""
"2016.0","4.0","2.0","93.0","1236.74","0.33","0.3","0.0","3.81","0.33","1.27","0.0","0.0","0.0","0.0","24.14","72.53","307.3","153.65","283.15","234.77","0.0","","","","","","",""
"2016.0","4.0","3.0","94.0","1236.74","0.32","0.3","0.0","4.13","0.32","1.33","0.0","0.0","0.0","0.0","25.47","72.53","307.3","153.65","281.82","234.77","0.0","","","","","","",""
"2016.0","4.0","4.0","95.0","1236.74","0.31","0.3","0.0","4.33","0.31","1.35","0.0","0.0","0.0","0.0","26.82","72.53","307.3","153.65","280.47","234.77","0.0","","","","","","",""
"2016.0","4.0","5.0","96.0","1236.74","0.3","0.3","0.0","5.51","0.3","1.66","0.0","0.0","0.0","0.0","28.48","72.53","307.3","153.65","278.81","234.77","0.0","","","","","","",""
"2016.0","4.0","6.0","97.0","1236.74","0.29","0.3","0.0","4.85","0.3","1.46","0.0","0.0","0.0","0.0","29.94","72.53","307.3","153.65","277.36","234.77","0.0","","","","","","",""
"2016.0","4.0","7.0","98.0","1236.74","0.28","0.3","0.0","4.26","0.3","1.28","0.0","0.0","0.0","0.0","31.22","72.53","307.3","153.65","276.08","234.77","0.0","","","","","","",""
"2016.0","4.0","8.0","99.0","1236.74","0.28","0.3","0.0","3.38","0.3","1.01","0.01","0.01","0.0","0.0","32.22","72.53","307.3","153.65","275.08","234.77","0.0","","","","","","",""
"2016.0","4.0","9.0","100.0","1236.74","1.16","0.3","0.0","1.55","1.16","1.79","8.15","8.15","0.0","0.0","25.86","72.53","307.3","153.65","281.43","234.77","0.0","","","","","","",""
"2016.0","4.0","10.0","101.0","1236.74","1.14","0.3","0.0","2.05","1.14","2.33","30.23","28.2","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","0.0","","","","","","",""
"2016.0","4.0","11.0","102.0","1236.74","1.12","0.3","0.0","3.17","1.12","3.54","0.88","0.88","0.0","0.0","2.66","72.53","307.3","153.65","304.64","234.77","0.0","","","","","","",""
"2016.0","4.0","12.0","103.0","1236.74","0.94","0.3","0.0","3.22","0.94","3.03","0.0","0.0","0.0","0.0","5.69","72.53","307.3","153.65","301.61","234.77","0.0","","","","","","",""
"2016.0","4.0","13.0","104.0","1236.74","0.76","0.3","0.0","4.22","0.76","3.22","0.0","0.0","0.0","0.0","8.91","72.53","307.3","153.65","298.38","234.77","0.0","","","","","","",""
"2016.0","4.0","14.0","105.0","1236.74","0.66","0.3","0.0","4.17","0.66","2.75","1.61","1.61","0.0","0.0","10.06","72.53","307.3","153.65","297.24","234.77","0.0","","","","","","",""
"2016.0","4.0","15.0","106.0","1236.74","0.57","0.3","0.0","5.48","0.57","3.12","0.0","0.0","0.0","0.0","13.18","72.53","307.3","153.65","294.12","234.77","0.0","","","","","","",""
"2016.0","4.0","16.0","107.0","1236.74","0.51","0.3","0.0","5.16","0.51","2.64","0.0","0.0","0.0","0.0","15.82","72.53","307.3","153.65","291.48","234.77","0.0","","","","","","",""
"2016.0","4.0","17.0","108.0","1236.74","0.47","0.32","0.0","4.85","0.47","2.28","0.0","0.0","0.0","0.0","18.1","72.53","307.3","153.65","289.2","234.77","0.0","","","","","","",""
"2016.0","4.0","18.0","109.0","1236.74","0.44","0.34","0.0","5.18","0.44","2.26","0.0","0.0","0.0","0.0","20.36","72.53","307.3","153.65","286.94","234.77","0.0","","","","","","",""
"2016.0","4.0","19.0","110.0","1236.74","0.41","0.36","0.0","4.94","0.41","2.02","0.0","0.0","0.0","0.0","22.38","72.53","307.3","153.65","284.92","234.77","0.0","","","","","","",""
"2016.0","4.0","20.0","111.0","1236.74","0.39","0.39","0.0","5.19","0.39","2.0","0.0","0.0","0.0","0.0","24.38","72.53","307.3","153.65","282.92","234.77","0.0","","","","","","",""
"2016.0","4.0","21.0","112.0","1236.74","0.37","0.41","0.0","3.95","0.41","1.61","0.0","0.0","0.0","0.0","25.99","72.53","307.3","153.65","281.31","234.77","0.0","","","","","","",""
"2016.0","4.0","22.0","113.0","1236.74","0.36","0.43","0.0","2.76","0.43","1.18","0.01","0.01","0.0","0.0","27.16","72.53","307.3","153.65","280.14","234.77","0.0","","","","","","",""
"2016.0","4.0","23.0","114.0","1236.74","1.06","0.45","0.0","4.11","1.06","4.34","5.94","5.94","0.0","0.0","25.56","72.53","307.3","153.65","281.74","234.77","0.0","","","","","","",""
"2016.0","4.0","24.0","115.0","1236.74","0.9","0.47","0.0","4.63","0.9","4.16","0.0","0.0","0.0","0.0","29.72","72.53","307.3","153.65","277.57","234.77","0.0","","","","","","",""
"2016.0","4.0","25.0","116.0","1236.74","0.7","0.49","0.0","5.42","0.7","3.8","0.0","0.0","0.0","0.0","33.53","72.53","307.3","153.65","273.77","234.77","0.0","","","","","","",""
"2016.0","4.0","26.0","117.0","1236.74","0.61","0.51","0.0","4.78","0.61","2.9","0.0","0.0","0.0","0.0","36.42","72.53","307.3","153.65","270.87","234.77","0.0","","","","","","",""
"2016.0","4.0","27.0","118.0","1236.74","0.56","0.54","0.0","3.73","0.56","2.08","0.04","0.04","0.0","0.0","38.46","72.53","307.3","153.65","268.84","234.77","0.0","","","","","","",""
"2016.0","4.0","28.0","119.0","1236.74","0.5","0.56","0.0","5.66","0.56","3.15","3.4","3.4","0.0","0.0","38.21","72.53","307.3","153.65","269.08","234.77","0.0","","","","","","",""
"2016.0","4.0","29.0","120.0","1236.74","0.46","0.58","0.0","5.01","0.58","2.9","0.0","0.0","0.0","0.0","41.11","72.53","307.3","153.65","266.18","234.77","0.0","","","","","","",""
"2016.0","4.0","30.0","121.0","1236.74","0.41","0.6","0.0","7.32","0.6","4.39","0.0","0.0","0.0","0.0","45.5","72.53","307.3","153.65","261.79","234.77","0.0","","","","","","",""
"2016.0","5.0","1.0","122.0","1236.74","0.38","0.62","0.0","5.79","0.62","3.6","0.0","0.0","0.0","0.0","49.1","72.53","307.3","153.65","258.19","234.77","0.0","","","","","","",""
"2016.0","5.0","2.0","123.0","1236.74","0.36","0.64","0.0","5.39","0.64","3.47","0.0","0.0","0.0","0.0","52.57","72.53","307.3","153.65","254.73","234.77","0.0","","","","","","",""
"2016.0","5.0","3.0","124.0","1236.74","0.35","0.66","0.0","4.47","0.66","2.97","0.0","0.0","0.0","0.0","55.54","72.53","307.3","153.65","251.76","234.77","0.0","","","","","","",""
"2016.0","5.0","4.0","125.0","1236.74","0.34","0.69","0.0","4.71","0.69","3.23","0.0","0.0","0.0","0.0","58.77","72.53","307.3","153.65","248.53","234.77","0.0","","","","","","",""
"2016.0","5.0","5.0","126.0","1236.74","0.33","0.71","0.0","2.67","0.71","1.89","0.0","0.0","0.0","0.0","60.65","72.53","307.3","153.65","246.64","234.77","0.0","","","","","","",""
"2016.0","5.0","6.0","127.0","1236.74","0.33","0.73","0.0","1.97","0.73","1.44","0.26","0.26","0.0","0.0","61.83","72.53","307.3","153.65","245.47","234.77","0.0","","","","","","",""
"2016.0","5.0","7.0","128.0","1236.74","1.13","0.75","0.0","2.2","1.13","2.49","7.17","7.17","0.0","0.0","57.15","72.53","307.3","153.65","250.15","234.77","0.0","","","","","","",""
"2016.0","5.0","8.0","129.0","1236.74","1.11","0.77","0.0","3.41","1.11","3.78","0.77","0.77","0.0","0.0","60.16","72.53","307.3","153.65","247.14","234.77","0.0","","","","","","",""
"2016.0","5.0","9.0","130.0","1236.74","0.84","0.79","0.0","4.7","0.84","3.96","0.0","0.0","0.0","0.0","64.12","72.53","307.3","153.65","243.18","234.77","0.0","","","","","","",""
"2016.0","5.0","10.0","131.0","1236.74","0.67","0.81","0.0","5.58","0.81","4.54","0.0","0.0","0.0","0.0","68.66","72.53","307.3","153.65","238.64","234.77","0.0","","","","","","",""
"2016.0","5.0","11.0","132.0","1236.74","0.57","0.84","0.0","5.92","0.84","4.95","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","73.61","","","","","","",""
"2016.0","5.0","12.0","133.0","1236.74","0.5","0.86","0.0","6.04","0.86","5.18","0.0","0.0","0.0","0.0","5.18","72.53","307.3","153.65","302.12","234.77","0.0","","","","","","",""
"2016.0","5.0","13.0","134.0","1236.74","0.46","0.88","0.0","5.58","0.88","4.9","0.0","0.0","0.0","0.0","10.08","72.53","307.3","153.65","297.22","234.77","0.0","","","","","","",""
"2016.0","5.0","14.0","135.0","1236.74","0.42","0.9","0.0","5.14","0.9","4.63","0.0","0.0","0.0","0.0","14.71","72.53","307.3","153.65","292.59","234.77","0.0","","","","","","",""
"2016.0","5.0","15.0","136.0","1236.74","0.4","0.92","0.0","5.58","0.92","5.14","0.0","0.0","0.0","0.0","19.85","72.53","307.3","153.65","287.45","234.77","0.0","","","","","","",""
"2016.0","5.0","16.0","137.0","1236.74","0.37","0.94","0.0","6.65","0.94","6.27","0.0","0.0","0.0","0.0","26.12","72.53","307.3","153.65","281.18","234.77","0.0","","","","","","",""
"2016.0","5.0","17.0","138.0","1236.74","0.34","0.96","0.0","7.63","0.96","7.36","0.0","0.0","0.0","0.0","33.47","72.53","307.3","153.65","273.82","234.77","0.0","","","","","","",""
"2016.0","5.0","18.0","139.0","1236.74","0.32","0.99","0.0","7.1","0.99","7.0","0.0","0.0","0.0","0.0","40.47","72.53","307.3","153.65","266.82","234.77","0.0","","","","","","",""
"2016.0","5.0","19.0","140.0","1236.74","0.31","1.01","0.0","6.31","1.01","6.36","0.0","0.0","0.0","0.0","46.83","72.53","307.3","153.65","260.47","234.77","0.0","","","","","","",""
"2016.0","5.0","20.0","141.0","1236.74","0.3","1.03","0.0","5.02","1.03","5.16","0.0","0.0","0.0","0.0","51.99","72.53","307.3","153.65","255.3","234.77","0.0","","","","","","",""
"2016.0","5.0","21.0","142.0","1236.74","0.29","1.05","0.0","3.47","1.05","3.64","0.0","0.0","0.0","0.0","55.64","72.53","307.3","153.65","251.66","234.77","0.0","","","","","","",""
"2016.0","5.0","22.0","143.0","1236.74","0.28","1.05","0.0","4.27","1.05","4.48","1.71","1.71","0.0","0.0","58.41","72.53","307.3","153.65","248.89","234.77","0.0","","","","","","",""
"2016.0","5.0","23.0","144.0","1236.74","0.28","1.05","0.0","4.87","1.05","5.11","0.0","0.0","0.0","0.0","63.52","72.53","307.3","153.65","243.77","234.77","0.0","","","","","","",""
"2016.0","5.0","24.0","145.0","1236.74","0.27","1.05","0.0","4.92","1.05","5.17","0.0","0.0","0.0","0.0","68.69","72.53","307.3","153.65","238.61","234.77","0.0","","","","","","",""
"2016.0","5.0","25.0","146.0","1236.74","0.26","1.05","0.0","5.35","1.05","5.62","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","74.31","","","","","","",""
"2016.0","5.0","26.0","147.0","1236.74","0.25","1.05","0.0","5.71","1.05","6.0","0.0","0.0","0.0","0.0","6.0","72.53","307.3","153.65","301.3","234.77","0.0","","","","","","",""
"2016.0","5.0","27.0","148.0","1236.74","0.25","1.05","0.0","6.09","1.05","6.39","0.0","0.0","0.0","0.0","12.39","72.53","307.3","153.65","294.91","234.77","0.0","","","","","","",""
"2016.0","5.0","28.0","149.0","1236.74","0.24","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","19.68","72.53","307.3","153.65","287.62","234.77","0.0","","","","","","",""
"2016.0","5.0","29.0","150.0","1236.74","0.23","1.05","0.0","6.63","1.05","6.96","0.0","0.0","0.0","0.0","26.64","72.53","307.3","153.65","280.66","234.77","0.0","","","","","","",""
"2016.0","5.0","30.0","151.0","1236.74","0.23","1.05","0.0","6.85","1.05","7.19","0.0","0.0","0.0","0.0","33.83","72.53","307.3","153.65","273.47","234.77","0.0","","","","","","",""
"2016.0","5.0","31.0","152.0","1236.74","0.22","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","41.35","72.53","307.3","153.65","265.95","234.77","0.0","","","","","","",""
"2016.0","6.0","1.0","153.0","1236.74","0.21","1.05","0.0","7.16","1.05","7.52","0.0","0.0","0.0","0.0","48.87","72.53","307.3","153.65","258.43","234.77","0.0","","","","","","",""
"2016.0","6.0","2.0","154.0","1236.74","0.21","1.05","0.0","7.01","1.05","7.36","0.0","0.0","0.0","0.0","56.23","72.53","307.3","153.65","251.07","234.77","0.0","","","","","","",""
"2016.0","6.0","3.0","155.0","1236.74","0.2","1.05","0.0","7.38","1.05","7.75","0.0","0.0","0.0","0.0","63.98","72.53","307.3","153.65","243.32","234.77","0.0","","","","","","",""
"2016.0","6.0","4.0","156.0","1236.74","0.2","1.05","0.0","5.17","1.05","5.43","0.0","0.0","0.0","0.0","69.41","72.53","307.3","153.65","237.89","234.77","0.0","","","","","","",""
"2016.0","6.0","5.0","157.0","1236.74","0.2","1.05","0.0","7.76","1.05","8.15","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","77.55","","","","","","",""
"2016.0","6.0","6.0","158.0","1236.74","0.19","1.05","0.0","7.24","1.05","7.6","0.0","0.0","0.0","0.0","7.6","72.53","307.3","153.65","299.69","234.77","0.0","","","","","","",""
"2016.0","6.0","7.0","159.0","1236.74","0.19","1.05","0.0","6.94","1.05","7.29","0.0","0.0","0.0","0.0","14.89","72.53","307.3","153.65","292.41","234.77","0.0","","","","","","",""
"2016.0","6.0","8.0","160.0","1236.74","0.19","1.05","0.0","6.51","1.05","6.84","0.0","0.0","0.0","0.0","21.72","72.53","307.3","153.65","285.57","234.77","0.0","","","","","","",""
"2016.0","6.0","9.0","161.0","1236.74","0.18","1.05","0.0","6.32","1.05","6.64","0.0","0.0","0.0","0.0","28.36","72.53","307.3","153.65","278.94","234.77","0.0","","","","","","",""
"2016.0","6.0","10.0","162.0","1236.74","0.18","1.05","0.0","6.71","1.05","7.05","0.0","0.0","0.0","0.0","35.41","72.53","307.3","153.65","271.89","234.77","0.0","","","","","","",""
"2016.0","6.0","11.0","163.0","1236.74","0.18","1.05","0.0","6.85","1.05","7.19","0.0","0.0","0.0","0.0","42.6","72.53","307.3","153.65","264.7","234.77","0.0","","","","","","",""
"2016.0","6.0","12.0","164.0","1236.74","0.17","1.05","0.0","6.87","1.05","7.21","0.0","0.0","0.0","0.0","49.81","72.53","307.3","153.65","257.48","234.77","0.0","","","","","","",""
"2016.0","6.0","13.0","165.0","1236.74","0.17","1.05","0.0","6.59","1.05","6.92","0.0","0.0","0.0","0.0","56.73","72.53","307.3","153.65","250.56","234.77","0.0","","","","","","",""
"2016.0","6.0","14.0","166.0","1236.74","0.17","1.05","0.0","6.48","1.05","6.8","0.0","0.0","0.0","0.0","63.54","72.53","307.3","153.65","243.76","234.77","0.0","","","","","","",""
"2016.0","6.0","15.0","167.0","1236.74","0.17","1.05","0.0","5.54","1.05","5.82","0.0","0.0","0.0","0.0","69.35","72.53","307.3","153.65","237.94","234.77","0.0","","","","","","",""
"2016.0","6.0","16.0","168.0","1236.74","0.16","1.05","0.0","5.48","1.05","5.75","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","75.11","","","","","","",""
"2016.0","6.0","17.0","169.0","1236.74","0.16","1.05","0.0","5.34","1.05","5.61","0.0","0.0","0.0","0.0","5.61","72.53","307.3","153.65","301.69","234.77","0.0","","","","","","",""
"2016.0","6.0","18.0","170.0","1236.74","0.16","1.05","0.0","6.31","1.05","6.63","0.0","0.0","0.0","0.0","12.23","72.53","307.3","153.65","295.06","234.77","0.0","","","","","","",""
"2016.0","6.0","19.0","171.0","1236.74","0.16","1.05","0.0","6.96","1.05","7.31","0.0","0.0","0.0","0.0","19.54","72.53","307.3","153.65","287.76","234.77","0.0","","","","","","",""
"2016.0","6.0","20.0","172.0","1236.74","0.16","1.05","0.0","7.57","1.05","7.95","0.0","0.0","0.0","0.0","27.49","72.53","307.3","153.65","279.81","234.77","0.0","","","","","","",""
"2016.0","6.0","21.0","173.0","1236.74","0.15","1.05","0.0","7.92","1.05","8.32","0.0","0.0","0.0","0.0","35.81","72.53","307.3","153.65","271.49","234.77","0.0","","","","","","",""
"2016.0","6.0","22.0","174.0","1236.74","0.15","1.05","0.0","7.86","1.05","8.25","0.0","0.0","0.0","0.0","44.06","72.53","307.3","153.65","263.24","234.77","0.0","","","","","","",""
"2016.0","6.0","23.0","175.0","1236.74","0.15","1.05","0.0","7.8","1.05","8.19","0.0","0.0","0.0","0.0","52.25","72.53","307.3","153.65","255.05","234.77","0.0","","","","","","",""
"2016.0","6.0","24.0","176.0","1236.74","0.15","1.05","0.0","7.05","1.05","7.4","0.0","0.0","0.0","0.0","59.65","72.53","307.3","153.65","247.65","234.77","0.0","","","","","","",""
"2016.0","6.0","25.0","177.0","1236.74","0.15","1.05","0.0","7.82","1.05","8.21","0.0","0.0","0.0","0.0","67.86","72.53","307.3","153.65","239.43","234.77","0.0","","","","","","",""
"2016.0","6.0","26.0","178.0","1236.74","0.14","1.05","0.0","7.71","1.05","8.1","0.0","0.0","0.0","0.0","0.0","72.53","307.3","153.65","307.3","234.77","75.96","","","","","","",""
"2016.0","6.0","27.0","179.0","1236.74","0.14","1.05","0.0","8.18","1.05","8.59","0.0","0.0","0.0","0.0","8.59","72.53","307.3","153.65","298.71","234.77","0.0","","","","","","",""
"2016.0","6.0","28.0","180.0","1236.74","0.14","1.05","0.0","8.09","1.05","8.49","0.0","0.0","0.0","0.0","17.08","72.53","307.3","153.65","290.21","234.77","0.0","","","","","","",""
"2016.0","6.0","29.0","181.0","1236.74","0.14","1.05","0.0","7.45","1.05","7.82","0.0","0.0","0.0","0.0","24.91","72.53","307.3","153.65","282.39","234.77","0.0","","","","","","",""
