" Daily soil water balance output for Almonds in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Almonds at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","60.0","1.14","0.0","0.0","2.11","1.14","2.4","13.89","7.69","0.0","0.0","0.0","26.4","498.58","249.29","498.58","472.18","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","60.0","1.14","0.0","0.0","1.9","1.14","2.17","0.0","0.0","0.0","0.0","2.17","26.4","498.58","249.29","496.41","472.18","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","60.0","1.14","0.0","0.0","1.76","1.14","2.01","0.0","0.0","0.0","0.0","4.18","26.4","498.58","249.29","494.4","472.18","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","60.0","0.99","0.0","0.0","2.06","0.99","2.05","0.0","0.0","0.0","0.0","6.22","26.4","498.58","249.29","492.36","472.18","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","60.0","0.88","0.0","0.0","2.11","0.88","1.86","0.0","0.0","0.0","0.0","8.08","26.4","498.58","249.29","490.5","472.18","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","60.0","0.8","0.0","0.0","2.23","0.8","1.77","0.0","0.0","0.0","0.0","9.85","26.4","498.58","249.29","488.73","472.18","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","60.0","0.73","0.0","0.0","2.13","0.73","1.56","0.0","0.0","0.0","0.0","11.42","26.4","498.58","249.29","487.16","472.18","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","60.0","0.69","0.0","0.0","2.07","0.69","1.42","0.0","0.0","0.0","0.0","12.84","26.4","498.58","249.29","485.74","472.18","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","60.0","0.65","0.0","0.0","1.78","0.65","1.16","0.0","0.0","0.0","0.0","14.0","26.4","498.58","249.29","484.58","472.18","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","60.0","0.62","0.0","0.0","1.83","0.62","1.14","0.0","0.0","0.0","0.0","15.13","26.4","498.58","249.29","483.45","472.18","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","60.0","0.6","0.0","0.0","1.16","0.6","0.7","0.0","0.0","0.0","0.0","15.83","26.4","498.58","249.29","482.75","472.18","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","60.0","0.58","0.0","0.0","1.9","0.58","1.1","0.0","0.0","0.0","0.0","16.93","26.4","498.58","249.29","481.65","472.18","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","60.0","0.56","0.0","0.0","1.8","0.56","1.0","0.0","0.0","0.0","0.0","17.94","26.4","498.58","249.29","480.64","472.18","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","60.0","0.53","0.0","0.0","2.86","0.53","1.51","0.0","0.0","0.0","0.0","19.45","26.4","498.58","249.29","479.13","472.18","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","60.0","0.5","0.0","0.0","3.4","0.5","1.69","0.0","0.0","0.0","0.0","21.14","26.4","498.58","249.29","477.44","472.18","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","60.0","0.48","0.0","0.0","2.7","0.48","1.29","0.0","0.0","0.0","0.0","22.42","26.4","498.58","249.29","476.16","472.18","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","60.0","0.46","0.0","0.0","2.19","0.46","1.01","0.0","0.0","0.0","0.0","23.44","26.4","498.58","249.29","475.14","472.18","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","60.0","0.44","0.0","0.0","2.85","0.44","1.27","0.0","0.0","0.0","0.0","24.7","26.4","498.58","249.29","473.88","472.18","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","60.0","0.43","0.0","0.0","2.91","0.43","1.25","0.0","0.0","0.0","0.0","25.95","26.4","498.58","249.29","472.63","472.18","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","60.0","0.42","0.0","0.0","2.05","0.42","0.86","0.0","0.0","0.0","0.0","26.8","26.4","498.58","249.29","471.78","472.18","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","60.0","0.41","0.0","0.0","2.5","0.41","1.02","0.02","0.02","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","60.0","0.4","0.0","0.0","2.14","0.4","0.85","0.0","0.0","0.0","0.0","27.25","26.4","498.58","249.29","471.33","472.18","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","60.0","0.39","0.0","0.0","2.47","0.39","0.96","0.02","0.02","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","60.0","0.38","0.0","0.0","2.62","0.38","0.99","0.0","0.0","0.0","0.0","27.39","26.4","498.58","249.29","471.19","472.18","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","60.0","0.37","0.0","0.0","2.83","0.37","1.04","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","60.0","0.36","0.0","0.0","3.01","0.36","1.08","0.0","0.0","0.0","0.0","27.48","26.4","498.58","249.29","471.1","472.18","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","60.0","0.35","0.0","0.0","2.91","0.35","1.02","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","60.0","0.34","0.0","0.0","2.92","0.34","1.0","0.0","0.0","0.0","0.0","27.4","26.4","498.58","249.29","471.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","60.0","0.33","0.0","0.0","2.84","0.33","0.95","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","60.0","0.33","0.0","0.0","2.41","0.33","0.79","0.0","0.0","0.0","0.0","27.19","26.4","498.58","249.29","471.39","472.18","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","60.0","1.14","0.0","0.0","2.12","1.14","2.41","2.84","2.84","0.0","0.0","24.35","26.4","498.58","249.29","474.23","472.18","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","60.0","1.09","0.0","0.0","3.28","1.09","3.57","3.22","3.22","0.0","0.0","24.7","26.4","498.58","249.29","473.88","472.18","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","60.0","1.08","0.0","0.0","3.05","1.08","3.3","0.0","0.0","0.0","0.0","28.0","26.4","498.58","249.29","470.58","472.18","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","60.0","0.86","0.0","0.0","3.51","0.86","3.04","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","60.0","0.73","0.0","0.0","3.83","0.73","2.8","0.0","0.0","0.0","0.0","29.2","26.4","498.58","249.29","469.38","472.18","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","60.0","0.67","0.0","0.0","2.77","0.67","1.85","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","60.0","0.61","0.0","0.0","3.6","0.61","2.18","0.0","0.0","0.0","0.0","28.58","26.4","498.58","249.29","470.0","472.18","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","60.0","0.56","0.0","0.0","3.7","0.56","2.06","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","60.0","0.52","0.0","0.0","3.73","0.52","1.93","0.0","0.0","0.0","0.0","28.33","26.4","498.58","249.29","470.25","472.18","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","60.0","0.49","0.0","0.0","3.13","0.49","1.53","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","60.0","0.46","0.0","0.0","3.46","0.46","1.6","0.0","0.0","0.0","0.0","28.0","26.4","498.58","249.29","470.58","472.18","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","60.0","0.45","0.0","0.0","2.95","0.45","1.31","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","60.0","0.43","0.0","0.0","3.01","0.43","1.29","0.09","0.09","0.0","0.0","27.6","26.4","498.58","249.29","470.98","472.18","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","60.0","0.41","0.0","0.0","3.29","0.41","1.35","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","60.0","0.39","0.0","0.0","3.98","0.39","1.57","0.0","0.0","0.0","0.0","27.97","26.4","498.58","249.29","470.61","472.18","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","60.0","0.38","0.0","0.0","3.89","0.38","1.47","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","60.0","0.36","0.0","0.0","4.2","0.36","1.53","0.0","0.0","0.0","0.0","27.93","26.4","498.58","249.29","470.65","472.18","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","60.0","0.35","0.0","0.0","4.77","0.35","1.66","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","60.0","0.34","0.0","0.0","4.58","0.34","1.54","0.0","0.0","0.0","0.0","27.94","26.4","498.58","249.29","470.64","472.18","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","60.0","0.32","0.0","0.0","4.37","0.32","1.42","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","60.0","0.31","0.0","0.0","4.56","0.31","1.43","0.0","0.0","0.0","0.0","27.83","26.4","498.58","249.29","470.75","472.18","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","60.0","0.31","0.0","0.0","4.09","0.31","1.25","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","60.0","0.3","0.0","0.0","5.22","0.3","1.54","0.0","0.0","0.0","0.0","27.94","26.4","498.58","249.29","470.64","472.18","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","60.0","0.29","0.0","0.0","4.53","0.29","1.3","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","60.0","0.28","0.0","0.0","4.37","0.28","1.22","0.0","0.0","0.0","0.0","27.62","26.4","498.58","249.29","470.96","472.18","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","60.0","0.28","0.0","0.0","2.64","0.28","0.73","0.82","0.82","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","60.0","0.27","0.0","0.0","2.87","0.27","0.78","1.69","1.69","0.0","0.0","25.49","26.4","498.58","249.29","473.09","472.18","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","60.0","1.11","0.0","0.0","2.84","1.11","3.14","3.8","3.8","0.0","0.0","24.83","26.4","498.58","249.29","473.75","472.18","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","60.0","1.09","0.0","0.0","3.15","1.09","3.45","4.57","4.57","0.0","0.0","23.71","26.4","498.58","249.29","474.87","472.18","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","60.0","1.05","0.0","0.0","3.48","1.05","3.66","0.0","0.0","0.0","0.0","27.37","26.4","498.58","249.29","471.21","472.18","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","60.0","0.83","0.0","0.0","4.04","0.83","3.34","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","60.0","0.7","0.0","0.0","4.18","0.7","2.92","0.0","0.0","0.0","0.0","29.32","26.4","498.58","249.29","469.26","472.18","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","60.0","0.61","0.0","0.0","4.74","0.61","2.87","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","60.0","0.54","0.0","0.0","4.61","0.54","2.51","0.0","0.0","0.0","0.0","28.91","26.4","498.58","249.29","469.67","472.18","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","60.0","0.49","0.0","0.0","4.9","0.49","2.42","0.0","0.0","0.0","0.0","26.4","26.4","498.58","249.29","472.18","472.18","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","60.0","0.45","0.55","0.0","5.96","0.55","3.28","0.0","0.0","0.0","0.0","29.68","114.58","498.58","249.29","468.9","384.0","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","60.0","0.42","0.56","0.0","5.56","0.56","3.09","0.0","0.0","0.0","0.0","32.77","114.58","498.58","249.29","465.81","384.0","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","60.0","0.39","0.56","0.0","5.25","0.56","2.95","0.0","0.0","0.0","0.0","35.72","114.58","498.58","249.29","462.86","384.0","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","60.0","0.37","0.57","0.0","4.79","0.57","2.72","0.0","0.0","0.0","0.0","38.44","114.58","498.58","249.29","460.14","384.0","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","60.0","0.36","0.57","0.0","4.84","0.57","2.78","0.0","0.0","0.0","0.0","41.22","114.58","498.58","249.29","457.36","384.0","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","60.0","0.34","0.58","0.0","4.45","0.58","2.58","0.0","0.0","0.0","0.0","43.8","114.58","498.58","249.29","454.78","384.0","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","60.0","0.33","0.59","0.0","3.69","0.59","2.16","0.0","0.0","0.0","0.0","45.96","114.58","498.58","249.29","452.62","384.0","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","60.0","0.32","0.59","0.0","4.06","0.59","2.4","0.0","0.0","0.0","0.0","48.37","114.58","498.58","249.29","450.21","384.0","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","60.0","0.31","0.6","0.0","4.55","0.6","2.72","0.0","0.0","0.0","0.0","51.09","114.58","498.58","249.29","447.49","384.0","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","60.0","0.3","0.6","0.0","4.92","0.6","2.97","0.0","0.0","0.0","0.0","54.06","114.58","498.58","249.29","444.52","384.0","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","60.0","0.29","0.61","0.0","4.04","0.61","2.46","4.04","4.04","0.0","0.0","52.48","114.58","498.58","249.29","446.1","384.0","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","60.0","0.29","0.62","0.0","5.0","0.62","3.08","0.0","0.0","0.0","0.0","55.56","114.58","498.58","249.29","443.02","384.0","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","60.0","0.28","0.62","0.0","5.7","0.62","3.55","0.0","0.0","0.0","0.0","59.11","114.58","498.58","249.29","439.47","384.0","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","60.0","0.27","0.63","0.0","5.31","0.63","3.33","0.0","0.0","0.0","0.0","62.44","114.58","498.58","249.29","436.14","384.0","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","60.0","0.26","0.63","0.0","5.12","0.63","3.25","0.0","0.0","0.0","0.0","65.69","114.58","498.58","249.29","432.89","384.0","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","60.0","0.25","0.64","0.0","6.3","0.64","4.03","0.0","0.0","0.0","0.0","69.72","114.58","498.58","249.29","428.86","384.0","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","60.0","0.25","0.65","0.0","6.17","0.65","3.99","0.0","0.0","0.0","0.0","73.71","114.58","498.58","249.29","424.87","384.0","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","60.0","0.24","0.65","0.0","5.52","0.65","3.6","0.0","0.0","0.0","0.0","77.31","114.58","498.58","249.29","421.27","384.0","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","60.0","0.24","0.66","0.0","4.85","0.66","3.19","0.0","0.0","0.0","0.0","80.5","114.58","498.58","249.29","418.08","384.0","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","60.0","0.23","0.66","0.0","4.57","0.66","3.03","0.0","0.0","0.0","0.0","83.53","114.58","498.58","249.29","415.05","384.0","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","60.0","0.23","0.67","0.0","4.68","0.67","3.14","0.0","0.0","0.0","0.0","86.67","114.58","498.58","249.29","411.91","384.0","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","60.0","0.22","0.68","0.0","4.88","0.68","3.3","0.0","0.0","0.0","0.0","89.97","114.58","498.58","249.29","408.61","384.0","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","60.0","0.22","0.68","0.0","3.03","0.68","2.07","0.0","0.0","0.0","0.0","92.03","114.58","498.58","249.29","406.55","384.0","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","60.0","0.22","0.69","0.0","4.27","0.69","2.94","1.21","1.21","0.0","0.0","93.76","114.58","498.58","249.29","404.82","384.0","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","60.0","0.21","0.69","0.0","4.65","0.69","3.23","0.0","0.0","0.0","0.0","96.99","114.58","498.58","249.29","401.59","384.0","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","60.0","0.21","0.7","0.0","4.94","0.7","3.46","0.0","0.0","0.0","0.0","100.45","114.58","498.58","249.29","398.13","384.0","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","60.0","0.21","0.71","0.0","4.97","0.71","3.51","0.0","0.0","0.0","0.0","103.95","114.58","498.58","249.29","394.63","384.0","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","60.0","0.2","0.71","0.0","4.93","0.71","3.51","0.0","0.0","0.0","0.0","107.46","114.58","498.58","249.29","391.12","384.0","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","60.0","0.2","0.72","0.0","4.61","0.72","3.31","0.0","0.0","0.0","0.0","110.77","114.58","498.58","249.29","387.81","384.0","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","60.0","0.2","0.72","0.0","3.0","0.72","2.17","0.0","0.0","0.0","0.0","112.95","114.58","498.58","249.29","385.63","384.0","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","60.0","1.04","0.73","0.0","4.53","1.04","4.71","11.7","11.7","0.0","0.0","105.95","114.58","498.58","249.29","392.63","384.0","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","60.0","0.88","0.74","0.0","4.61","0.88","4.04","0.0","0.0","0.0","0.0","109.99","114.58","498.58","249.29","388.59","384.0","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","60.0","0.74","0.74","0.0","3.94","0.74","2.92","0.0","0.0","0.0","0.0","112.91","114.58","498.58","249.29","385.67","384.0","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","60.0","0.63","0.75","0.0","4.69","0.75","3.51","0.0","0.0","0.0","0.0","0.0","114.58","498.58","249.29","498.58","384.0","116.42","","","","","","","","",""
"2015.0","5.0","19.0","139.0","60.0","0.56","0.75","0.0","4.84","0.75","3.65","0.0","0.0","0.0","0.0","3.65","114.58","498.58","249.29","494.93","384.0","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","60.0","0.51","0.76","0.0","4.67","0.76","3.55","0.0","0.0","0.0","0.0","7.2","114.58","498.58","249.29","491.38","384.0","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","60.0","0.47","0.77","0.0","4.2","0.77","3.22","0.0","0.0","0.0","0.0","10.42","114.58","498.58","249.29","488.16","384.0","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","60.0","0.44","0.77","0.0","4.77","0.77","3.68","0.0","0.0","0.0","0.0","14.1","114.58","498.58","249.29","484.48","384.0","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","60.0","0.41","0.78","0.0","4.69","0.78","3.65","0.0","0.0","0.0","0.0","17.75","114.58","498.58","249.29","480.83","384.0","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","60.0","0.39","0.78","0.0","5.17","0.78","4.05","0.0","0.0","0.0","0.0","21.8","114.58","498.58","249.29","476.78","384.0","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","60.0","0.37","0.79","0.0","5.17","0.79","4.08","0.0","0.0","0.0","0.0","25.88","114.58","498.58","249.29","472.7","384.0","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","60.0","0.35","0.8","0.0","5.18","0.8","4.12","0.0","0.0","0.0","0.0","30.01","114.58","498.58","249.29","468.57","384.0","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","60.0","0.34","0.8","0.0","5.24","0.8","4.2","0.0","0.0","0.0","0.0","34.21","114.58","498.58","249.29","464.37","384.0","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","60.0","0.32","0.81","0.0","5.12","0.81","4.14","0.0","0.0","0.0","0.0","38.35","114.58","498.58","249.29","460.23","384.0","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","60.0","0.31","0.81","0.0","5.74","0.81","4.67","0.0","0.0","0.0","0.0","43.02","114.58","498.58","249.29","455.56","384.0","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","60.0","0.3","0.82","0.0","6.09","0.82","4.99","0.0","0.0","0.0","0.0","48.01","114.58","498.58","249.29","450.57","384.0","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","60.0","0.29","0.83","0.0","5.25","0.83","4.34","0.0","0.0","0.0","0.0","52.35","114.58","498.58","249.29","446.23","384.0","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","60.0","0.28","0.83","0.0","5.51","0.83","4.58","0.0","0.0","0.0","0.0","56.93","114.58","498.58","249.29","441.65","384.0","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","60.0","0.27","0.84","0.0","5.52","0.84","4.63","0.0","0.0","0.0","0.0","61.56","114.58","498.58","249.29","437.02","384.0","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","60.0","0.26","0.84","0.0","5.25","0.84","4.43","0.0","0.0","0.0","0.0","65.99","114.58","498.58","249.29","432.59","384.0","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","60.0","0.26","0.85","0.0","5.59","0.85","4.75","0.0","0.0","0.0","0.0","70.74","114.58","498.58","249.29","427.84","384.0","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","60.0","0.25","0.86","0.0","6.19","0.86","5.3","0.0","0.0","0.0","0.0","76.04","114.58","498.58","249.29","422.54","384.0","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","60.0","0.24","0.86","0.0","6.0","0.86","5.17","0.0","0.0","0.0","0.0","81.21","114.58","498.58","249.29","417.37","384.0","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","60.0","0.23","0.87","0.0","6.42","0.87","5.57","0.0","0.0","0.0","0.0","86.79","114.58","498.58","249.29","411.79","384.0","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","60.0","0.23","0.87","0.0","7.13","0.87","6.23","0.0","0.0","0.0","0.0","93.02","114.58","498.58","249.29","405.56","384.0","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","60.0","0.22","0.88","0.0","6.15","0.88","5.41","0.0","0.0","0.0","0.0","98.43","114.58","498.58","249.29","400.15","384.0","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","60.0","0.22","0.89","0.0","2.9","0.89","2.57","0.76","0.76","0.0","0.0","100.24","114.58","498.58","249.29","398.34","384.0","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","60.0","0.22","0.89","0.0","6.56","0.89","5.85","3.16","3.16","0.0","0.0","102.93","114.58","498.58","249.29","395.65","384.0","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","60.0","0.21","0.9","0.0","7.25","0.9","6.51","0.0","0.0","0.0","0.0","109.44","114.58","498.58","249.29","389.14","384.0","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","60.0","0.21","0.9","0.0","7.01","0.9","6.34","0.0","0.0","0.0","0.0","0.0","114.58","498.58","249.29","498.58","384.0","115.78","","","","","","","","",""
"2015.0","6.0","14.0","165.0","60.0","0.2","0.91","0.0","6.27","0.91","5.71","0.0","0.0","0.0","0.0","5.71","114.58","498.58","249.29","492.87","384.0","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","60.0","0.2","0.92","0.0","6.1","0.92","5.59","0.0","0.0","0.0","0.0","11.29","114.58","498.58","249.29","487.29","384.0","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","60.0","0.19","0.92","0.0","6.47","0.92","5.97","0.0","0.0","0.0","0.0","17.26","114.58","498.58","249.29","481.32","384.0","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","60.0","0.19","0.93","0.0","6.61","0.93","6.13","0.0","0.0","0.0","0.0","23.39","114.58","498.58","249.29","475.19","384.0","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","60.0","0.19","0.93","0.0","6.97","0.93","6.51","0.0","0.0","0.0","0.0","29.9","114.58","498.58","249.29","468.68","384.0","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","60.0","0.18","0.94","0.0","6.99","0.94","6.57","0.0","0.0","0.0","0.0","36.47","114.58","498.58","249.29","462.11","384.0","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","60.0","0.18","0.95","0.0","6.55","0.95","6.2","0.0","0.0","0.0","0.0","42.67","114.58","498.58","249.29","455.91","384.0","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","60.0","0.18","0.95","0.0","7.0","0.95","6.66","0.0","0.0","0.0","0.0","49.33","114.58","498.58","249.29","449.25","384.0","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","60.0","0.17","0.96","0.0","6.6","0.96","6.32","0.0","0.0","0.0","0.0","55.66","114.58","498.58","249.29","442.92","384.0","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","60.0","0.17","0.96","0.0","6.94","0.96","6.69","0.0","0.0","0.0","0.0","62.35","114.58","498.58","249.29","436.23","384.0","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","60.0","0.17","0.97","0.0","6.83","0.97","6.63","0.0","0.0","0.0","0.0","68.97","114.58","498.58","249.29","429.61","384.0","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","60.0","0.17","0.98","0.0","7.59","0.98","7.41","0.0","0.0","0.0","0.0","76.38","114.58","498.58","249.29","422.2","384.0","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","60.0","0.16","0.98","0.0","7.7","0.98","7.56","0.0","0.0","0.0","0.0","83.94","114.58","498.58","249.29","414.64","384.0","0.0","","","","","","","","",""
