" Daily soil water balance output for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","2.0","1.14","0.0","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","22.5","274.32","137.16","274.32","251.82","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","2.0","1.14","0.0","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","22.5","274.32","137.16","272.41","251.82","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","2.0","1.15","0.0","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","22.5","274.32","137.16","270.58","251.82","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","2.0","1.03","0.0","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","22.5","274.32","137.16","268.55","251.82","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","2.0","0.91","0.0","0.0","2.03","0.91","1.84","0.0","0.0","0.0","0.0","7.61","22.5","274.32","137.16","266.71","251.82","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","2.0","0.82","0.0","0.0","2.18","0.82","1.78","0.0","0.0","0.0","0.0","9.39","22.5","274.32","137.16","264.93","251.82","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","2.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","10.96","22.5","274.32","137.16","263.36","251.82","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","2.0","0.7","0.0","0.0","2.24","0.7","1.56","0.0","0.0","0.0","0.0","12.52","22.5","274.32","137.16","261.8","251.82","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","2.0","0.66","0.0","0.0","1.94","0.66","1.28","0.0","0.0","0.0","0.0","13.8","22.5","274.32","137.16","260.52","251.82","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","2.0","0.63","0.0","0.0","1.5","0.63","0.95","0.0","0.0","0.0","0.0","14.74","22.5","274.32","137.16","259.58","251.82","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","2.0","0.62","0.0","0.0","1.08","0.62","0.66","0.0","0.0","0.0","0.0","15.41","22.5","274.32","137.16","258.91","251.82","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","2.0","0.59","0.0","0.0","1.97","0.59","1.16","0.0","0.0","0.0","0.0","16.57","22.5","274.32","137.16","257.75","251.82","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","2.0","0.57","0.0","0.0","1.62","0.57","0.92","0.0","0.0","0.0","0.0","17.49","22.5","274.32","137.16","256.83","251.82","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","2.0","0.53","0.0","0.0","3.74","0.53","1.97","0.0","0.0","0.0","0.0","19.46","22.5","274.32","137.16","254.86","251.82","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","2.0","0.49","0.0","0.0","4.35","0.49","2.13","0.0","0.0","0.0","0.0","21.58","22.5","274.32","137.16","252.74","251.82","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","2.0","0.47","0.0","0.0","2.85","0.47","1.33","0.0","0.0","0.0","0.0","22.92","22.5","274.32","137.16","251.4","251.82","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","2.0","0.45","0.0","0.0","2.19","0.45","0.99","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","2.0","0.44","0.0","0.0","3.07","0.44","1.34","0.0","0.0","0.0","0.0","23.84","22.5","274.32","137.16","250.48","251.82","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","2.0","0.42","0.0","0.0","2.77","0.42","1.17","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","2.0","0.41","0.0","0.0","1.93","0.41","0.8","0.0","0.0","0.0","0.0","23.3","22.5","274.32","137.16","251.02","251.82","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","2.0","0.4","0.0","0.0","2.68","0.4","1.07","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","2.0","0.39","0.0","0.0","2.33","0.39","0.91","0.0","0.0","0.0","0.0","23.41","22.5","274.32","137.16","250.91","251.82","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","2.0","0.38","0.0","0.0","2.59","0.38","0.99","1.02","1.02","0.0","0.0","22.39","22.5","274.32","137.16","251.93","251.82","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","2.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","23.36","22.5","274.32","137.16","250.96","251.82","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","2.0","0.36","0.0","0.0","2.79","0.36","1.01","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","2.0","0.35","0.0","0.0","3.0","0.35","1.06","0.0","0.0","0.0","0.0","23.56","22.5","274.32","137.16","250.76","251.82","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","2.0","0.35","0.0","0.0","2.8","0.35","0.97","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","2.0","0.34","0.0","0.0","2.98","0.34","1.01","0.0","0.0","0.0","0.0","23.51","22.5","274.32","137.16","250.81","251.82","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","2.0","0.33","0.0","0.0","3.06","0.33","1.01","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","2.0","0.32","0.0","0.0","2.4","0.32","0.78","0.0","0.0","0.0","0.0","23.28","22.5","274.32","137.16","251.04","251.82","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","2.0","0.32","0.0","0.0","2.11","0.32","0.67","1.32","1.32","0.0","0.0","21.96","22.5","274.32","137.16","252.36","251.82","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","2.0","1.08","0.0","0.0","3.47","1.08","3.75","3.55","3.55","0.0","0.0","22.16","22.5","274.32","137.16","252.16","251.82","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","2.0","1.06","0.0","0.0","3.11","1.06","3.29","0.0","0.0","0.0","0.0","25.45","22.5","274.32","137.16","248.87","251.82","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","2.0","0.86","0.0","0.0","3.29","0.86","2.84","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","2.0","0.73","0.0","0.0","3.85","0.73","2.81","0.0","0.0","0.0","0.0","25.31","22.5","274.32","137.16","249.01","251.82","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","2.0","0.68","0.0","0.0","2.46","0.68","1.66","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","2.0","0.61","0.0","0.0","3.49","0.61","2.13","0.0","0.0","0.0","0.0","24.63","22.5","274.32","137.16","249.69","251.82","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","2.0","0.56","0.0","0.0","3.89","0.56","2.17","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","2.0","0.52","0.0","0.0","3.94","0.52","2.03","0.0","0.0","0.0","0.0","24.53","22.5","274.32","137.16","249.79","251.82","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","2.0","0.49","0.0","0.0","3.11","0.49","1.52","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","2.0","0.46","0.0","0.0","3.63","0.46","1.68","0.0","0.0","0.0","0.0","24.18","22.5","274.32","137.16","250.14","251.82","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","2.0","0.44","0.0","0.0","3.27","0.44","1.45","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","2.0","0.42","0.0","0.0","3.28","0.42","1.39","0.25","0.25","0.0","0.0","23.64","22.5","274.32","137.16","250.68","251.82","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","2.0","0.41","0.0","0.0","3.19","0.41","1.3","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","2.0","0.39","0.0","0.0","4.23","0.39","1.65","0.0","0.0","0.0","0.0","24.15","22.5","274.32","137.16","250.17","251.82","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","2.0","0.37","0.0","0.0","3.92","0.37","1.47","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","2.0","0.36","0.0","0.0","4.55","0.36","1.63","0.0","0.0","0.0","0.0","24.13","22.5","274.32","137.16","250.19","251.82","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","2.0","0.34","0.0","0.0","4.99","0.34","1.71","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","2.0","0.33","0.0","0.0","4.76","0.33","1.57","0.0","0.0","0.0","0.0","24.07","22.5","274.32","137.16","250.25","251.82","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","2.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","2.0","0.31","0.0","0.0","4.61","0.31","1.43","0.0","0.0","0.0","0.0","23.93","22.5","274.32","137.16","250.39","251.82","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","2.0","0.3","0.0","0.0","4.22","0.3","1.27","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","2.0","0.29","0.0","0.0","5.59","0.29","1.62","0.0","0.0","0.0","0.0","24.12","22.5","274.32","137.16","250.2","251.82","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","2.0","0.28","0.0","0.0","4.63","0.28","1.31","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","2.0","0.28","0.0","0.0","4.53","0.28","1.25","0.0","0.0","0.0","0.0","23.75","22.5","274.32","137.16","250.57","251.82","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","2.0","0.27","0.0","0.0","2.58","0.27","0.7","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","2.0","0.27","0.0","0.0","2.98","0.27","0.8","1.42","1.42","0.0","0.0","21.88","22.5","274.32","137.16","252.44","251.82","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","2.0","1.12","0.0","0.0","2.41","1.12","2.71","6.49","6.49","0.0","0.0","18.1","22.5","274.32","137.16","256.22","251.82","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","2.0","1.1","0.0","0.0","2.91","1.1","3.21","13.25","13.25","0.0","0.0","8.06","22.5","274.32","137.16","266.26","251.82","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","2.0","1.07","0.0","0.0","3.48","1.07","3.74","0.0","0.0","0.0","0.0","11.8","22.5","274.32","137.16","262.52","251.82","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","2.0","0.83","0.0","0.0","4.13","0.83","3.44","0.0","0.0","0.0","0.0","15.24","22.5","274.32","137.16","259.08","251.82","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","2.0","0.7","0.0","0.0","4.29","0.7","3.0","0.0","0.0","0.0","0.0","18.24","22.5","274.32","137.16","256.08","251.82","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","2.0","0.6","0.0","0.0","4.97","0.6","2.99","0.0","0.0","0.0","0.0","21.23","22.5","274.32","137.16","253.09","251.82","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","2.0","0.53","0.0","0.0","5.12","0.53","2.74","0.0","0.0","0.0","0.0","23.97","22.5","274.32","137.16","250.35","251.82","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","2.0","0.49","0.0","0.0","4.85","0.49","2.37","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","2.0","0.44","0.0","0.0","6.7","0.44","2.94","0.0","0.0","0.0","0.0","25.44","22.5","274.32","137.16","248.88","251.82","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","2.0","0.4","0.0","0.0","6.12","0.4","2.48","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","2.0","0.38","0.0","0.0","5.33","0.38","2.03","0.0","0.0","0.0","0.0","24.53","22.5","274.32","137.16","249.79","251.82","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","2.0","0.36","0.0","0.0","5.03","0.36","1.82","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","2.0","0.34","0.0","0.0","5.36","0.34","1.85","0.0","0.0","0.0","0.0","24.35","22.5","274.32","137.16","249.97","251.82","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","2.0","0.33","0.0","0.0","4.9","0.33","1.62","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","2.0","0.32","0.0","0.0","3.95","0.32","1.27","0.0","0.0","0.0","0.0","23.77","22.5","274.32","137.16","250.55","251.82","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","2.0","0.31","0.0","0.0","4.22","0.31","1.32","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","2.0","0.3","0.0","0.0","4.83","0.3","1.46","0.0","0.0","0.0","0.0","23.96","22.5","274.32","137.16","250.36","251.82","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","2.0","0.29","0.0","0.0","4.92","0.29","1.44","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","2.0","1.06","0.2","0.0","4.12","1.06","4.35","14.13","14.13","0.0","0.0","12.72","59.21","274.32","137.16","261.6","215.11","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","2.0","0.87","0.2","0.0","5.12","0.87","4.46","0.0","0.0","0.0","0.0","17.17","59.21","274.32","137.16","257.15","215.11","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","2.0","0.67","0.2","0.0","6.14","0.67","4.1","0.0","0.0","0.0","0.0","21.27","59.21","274.32","137.16","253.05","215.11","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","2.0","0.57","0.2","0.0","5.67","0.57","3.23","0.0","0.0","0.0","0.0","24.5","59.21","274.32","137.16","249.82","215.11","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","2.0","0.51","0.2","0.0","5.35","0.51","2.72","0.0","0.0","0.0","0.0","27.22","59.21","274.32","137.16","247.1","215.11","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","2.0","0.45","0.2","0.0","6.54","0.45","2.96","0.0","0.0","0.0","0.0","30.18","59.21","274.32","137.16","244.14","215.11","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","2.0","0.41","0.2","0.0","6.55","0.41","2.7","0.0","0.0","0.0","0.0","32.89","59.21","274.32","137.16","241.43","215.11","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","2.0","0.38","0.2","0.0","6.19","0.38","2.37","0.0","0.0","0.0","0.0","35.26","59.21","274.32","137.16","239.06","215.11","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","2.0","0.36","0.2","0.0","5.44","0.36","1.97","0.0","0.0","0.0","0.0","37.23","59.21","274.32","137.16","237.09","215.11","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","2.0","0.35","0.2","0.0","4.95","0.35","1.72","0.0","0.0","0.0","0.0","38.94","59.21","274.32","137.16","235.38","215.11","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","2.0","0.33","0.2","0.0","4.89","0.33","1.63","0.0","0.0","0.0","0.0","40.57","59.21","274.32","137.16","233.75","215.11","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","2.0","0.32","0.2","0.0","5.24","0.32","1.67","0.0","0.0","0.0","0.0","42.25","59.21","274.32","137.16","232.07","215.11","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","2.0","0.31","0.2","0.0","4.2","0.31","1.3","0.45","0.45","0.0","0.0","43.1","59.21","274.32","137.16","231.22","215.11","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","2.0","0.3","0.2","0.0","4.53","0.3","1.36","0.55","0.55","0.0","0.0","43.91","59.21","274.32","137.16","230.41","215.11","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","2.0","0.29","0.2","0.0","5.14","0.29","1.5","0.0","0.0","0.0","0.0","45.41","59.21","274.32","137.16","228.91","215.11","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","2.0","0.28","0.2","0.0","5.31","0.28","1.5","0.0","0.0","0.0","0.0","46.91","59.21","274.32","137.16","227.41","215.11","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","2.0","0.27","0.2","0.0","5.28","0.27","1.45","0.0","0.0","0.0","0.0","48.36","59.21","274.32","137.16","225.96","215.11","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","2.0","0.27","0.2","0.0","5.03","0.27","1.34","0.0","0.0","0.0","0.0","49.7","59.21","274.32","137.16","224.62","215.11","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","2.0","0.26","0.2","0.0","4.79","0.26","1.25","0.0","0.0","0.0","0.0","50.95","59.21","274.32","137.16","223.37","215.11","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","2.0","0.26","0.2","0.0","3.95","0.26","1.01","0.0","0.0","0.0","0.0","51.96","59.21","274.32","137.16","222.36","215.11","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","2.0","0.25","0.2","0.0","4.75","0.25","1.19","0.02","0.02","0.0","0.0","53.13","59.21","274.32","137.16","221.19","215.11","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","2.0","0.24","0.2","0.0","4.87","0.24","1.19","0.0","0.0","0.0","0.0","54.32","59.21","274.32","137.16","220.0","215.11","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","2.0","0.24","0.2","0.0","4.0","0.24","0.96","0.0","0.0","0.0","0.0","55.28","59.21","274.32","137.16","219.04","215.11","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","2.0","0.24","0.2","0.0","4.7","0.24","1.11","0.0","0.0","0.0","0.0","56.4","59.21","274.32","137.16","217.92","215.11","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","2.0","0.23","0.2","0.0","5.07","0.23","1.17","0.0","0.0","0.0","0.0","57.57","59.21","274.32","137.16","216.75","215.11","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","2.0","0.23","0.2","0.0","5.05","0.23","1.15","0.0","0.0","0.0","0.0","58.72","59.21","274.32","137.16","215.6","215.11","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","2.0","0.22","0.2","0.0","4.58","0.22","1.02","0.0","0.0","0.0","0.0","0.0","59.21","274.32","137.16","274.32","215.11","59.74","","","","","","","","",""
"2015.0","5.0","22.0","142.0","2.0","0.22","0.23","0.0","4.94","0.23","1.13","0.0","0.0","0.0","0.0","1.13","59.21","274.32","137.16","273.19","215.11","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","2.0","0.22","0.26","0.0","4.77","0.26","1.22","0.0","0.0","0.0","0.0","2.35","59.21","274.32","137.16","271.97","215.11","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","2.0","0.21","0.28","0.0","5.77","0.28","1.64","0.0","0.0","0.0","0.0","3.99","59.21","274.32","137.16","270.33","215.11","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","2.0","0.21","0.31","0.0","5.58","0.31","1.74","0.0","0.0","0.0","0.0","5.73","59.21","274.32","137.16","268.59","215.11","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","2.0","0.2","0.34","0.0","5.63","0.34","1.92","0.0","0.0","0.0","0.0","7.65","59.21","274.32","137.16","266.67","215.11","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","2.0","0.2","0.37","0.0","5.67","0.37","2.09","0.0","0.0","0.0","0.0","9.74","59.21","274.32","137.16","264.58","215.11","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","2.0","0.2","0.4","0.0","5.48","0.4","2.17","0.0","0.0","0.0","0.0","11.92","59.21","274.32","137.16","262.4","215.11","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","2.0","0.19","0.43","0.0","6.16","0.43","2.62","0.0","0.0","0.0","0.0","14.54","59.21","274.32","137.16","259.78","215.11","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","2.0","0.19","0.45","0.0","6.49","0.45","2.94","0.0","0.0","0.0","0.0","17.48","59.21","274.32","137.16","256.84","215.11","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","2.0","0.19","0.48","0.0","5.57","0.48","2.68","0.0","0.0","0.0","0.0","20.16","59.21","274.32","137.16","254.16","215.11","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","2.0","0.19","0.51","0.0","5.56","0.51","2.83","0.0","0.0","0.0","0.0","22.99","59.21","274.32","137.16","251.33","215.11","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","2.0","0.18","0.54","0.0","5.75","0.54","3.09","0.0","0.0","0.0","0.0","26.08","59.21","274.32","137.16","248.24","215.11","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","2.0","0.18","0.57","0.0","5.65","0.57","3.2","0.0","0.0","0.0","0.0","29.28","59.21","274.32","137.16","245.04","215.11","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","2.0","0.18","0.59","0.0","5.94","0.59","3.53","0.0","0.0","0.0","0.0","32.8","59.21","274.32","137.16","241.52","215.11","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","2.0","0.17","0.62","0.0","6.93","0.62","4.31","0.0","0.0","0.0","0.0","37.11","59.21","274.32","137.16","237.21","215.11","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","2.0","0.17","0.65","0.0","6.53","0.65","4.24","0.01","0.01","0.0","0.0","41.35","59.21","274.32","137.16","232.97","215.11","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","2.0","0.17","0.68","0.0","7.06","0.68","4.79","0.0","0.0","0.0","0.0","46.13","59.21","274.32","137.16","228.19","215.11","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","2.0","0.17","0.71","0.0","7.42","0.71","5.24","0.0","0.0","0.0","0.0","51.37","59.21","274.32","137.16","222.95","215.11","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","2.0","0.16","0.73","0.0","7.22","0.73","5.3","0.0","0.0","0.0","0.0","56.68","59.21","274.32","137.16","217.64","215.11","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","2.0","0.16","0.76","0.0","2.57","0.76","1.96","0.07","0.07","0.0","0.0","58.57","59.21","274.32","137.16","215.75","215.11","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","2.0","0.16","0.79","0.0","7.16","0.79","5.66","1.22","1.22","0.0","0.0","0.0","59.21","274.32","137.16","274.32","215.11","63.01","","","","","","","","",""
"2015.0","6.0","12.0","163.0","2.0","0.16","0.82","0.0","8.08","0.82","6.62","0.0","0.0","0.0","0.0","6.62","59.21","274.32","137.16","267.7","215.11","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","2.0","0.16","0.85","0.0","7.66","0.85","6.49","0.0","0.0","0.0","0.0","13.1","59.21","274.32","137.16","261.22","215.11","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","2.0","0.15","0.88","0.0","6.92","0.88","6.06","0.0","0.0","0.0","0.0","19.16","59.21","274.32","137.16","255.16","215.11","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","2.0","0.15","0.9","0.0","6.72","0.9","6.07","0.0","0.0","0.0","0.0","25.23","59.21","274.32","137.16","249.09","215.11","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","2.0","0.15","0.93","0.0","7.03","0.93","6.55","0.0","0.0","0.0","0.0","31.77","59.21","274.32","137.16","242.55","215.11","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","2.0","0.15","0.96","0.0","6.97","0.96","6.69","0.0","0.0","0.0","0.0","38.46","59.21","274.32","137.16","235.86","215.11","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","2.0","0.15","0.99","0.0","7.75","0.99","7.65","0.0","0.0","0.0","0.0","46.11","59.21","274.32","137.16","228.21","215.11","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","2.0","0.14","1.02","0.0","7.43","1.02","7.55","0.0","0.0","0.0","0.0","53.66","59.21","274.32","137.16","220.66","215.11","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","2.0","0.14","1.04","0.0","7.17","1.04","7.48","0.0","0.0","0.0","0.0","0.0","59.21","274.32","137.16","274.32","215.11","61.14","","","","","","","","",""
"2015.0","6.0","21.0","172.0","2.0","0.14","1.07","0.0","7.78","1.07","8.34","0.0","0.0","0.0","0.0","8.34","59.21","274.32","137.16","265.98","215.11","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","2.0","0.14","1.1","0.0","6.99","1.1","7.69","0.0","0.0","0.0","0.0","16.03","59.21","274.32","137.16","258.29","215.11","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","2.0","0.14","1.1","0.0","7.45","1.1","8.2","0.0","0.0","0.0","0.0","24.22","59.21","274.32","137.16","250.1","215.11","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","2.0","0.14","1.1","0.0","7.51","1.1","8.26","0.0","0.0","0.0","0.0","32.48","59.21","274.32","137.16","241.84","215.11","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","2.0","0.14","1.1","0.0","7.98","1.1","8.78","0.0","0.0","0.0","0.0","41.26","59.21","274.32","137.16","233.06","215.11","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","2.0","0.13","1.1","0.0","8.46","1.1","9.31","0.0","0.0","0.0","0.0","50.57","59.21","274.32","137.16","223.75","215.11","0.0","","","","","","","","",""
