" Daily soil water balance output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2015.0","2.0","8.0","39.0","2335.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","4.09","27.0","219.46","109.73","215.37","192.46","0.0","","","","","","","","",""
"2015.0","2.0","9.0","40.0","2335.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","6.49","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","2335.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","27.0","219.46","109.73","217.32","192.46","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","2335.0","1.14","0.0","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","4.09","27.0","219.46","109.73","215.37","192.46","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","2335.0","1.0","0.0","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","6.09","27.0","219.46","109.73","213.36","192.46","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","2335.0","0.89","0.0","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","7.95","27.0","219.46","109.73","211.51","192.46","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","2335.0","0.8","0.0","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","9.71","27.0","219.46","109.73","209.74","192.46","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","2335.0","0.74","0.0","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","11.25","27.0","219.46","109.73","208.21","192.46","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","2335.0","0.69","0.0","0.0","2.09","0.69","1.44","0.0","0.0","0.0","0.0","12.69","27.0","219.46","109.73","206.76","192.46","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","2335.0","0.65","0.0","0.0","1.81","0.65","1.19","0.0","0.0","0.0","0.0","13.88","27.0","219.46","109.73","205.58","192.46","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","2335.0","0.63","0.0","0.0","1.72","0.63","1.08","0.0","0.0","0.0","0.0","14.96","27.0","219.46","109.73","204.5","192.46","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","2335.0","0.61","0.0","0.0","1.04","0.61","0.64","0.0","0.0","0.0","0.0","15.59","27.0","219.46","109.73","203.87","192.46","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","2335.0","0.59","0.0","0.0","1.75","0.59","1.03","0.0","0.0","0.0","0.0","16.62","27.0","219.46","109.73","202.84","192.46","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","2335.0","0.57","0.0","0.0","1.58","0.57","0.9","0.0","0.0","0.0","0.0","17.51","27.0","219.46","109.73","201.94","192.46","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","2335.0","0.53","0.0","0.0","2.95","0.53","1.58","0.0","0.0","0.0","0.0","19.09","27.0","219.46","109.73","200.36","192.46","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","2335.0","0.5","0.0","0.0","3.55","0.5","1.78","0.0","0.0","0.0","0.0","20.87","27.0","219.46","109.73","198.58","192.46","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","2335.0","0.48","0.0","0.0","2.71","0.48","1.3","0.0","0.0","0.0","0.0","22.18","27.0","219.46","109.73","197.28","192.46","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","2335.0","0.47","0.0","0.0","2.2","0.47","1.02","0.0","0.0","0.0","0.0","23.2","27.0","219.46","109.73","196.26","192.46","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","2335.0","0.45","0.0","0.0","2.91","0.45","1.3","0.0","0.0","0.0","0.0","24.5","27.0","219.46","109.73","194.96","192.46","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","2335.0","0.43","0.0","0.0","2.86","0.43","1.23","0.0","0.0","0.0","0.0","25.73","27.0","219.46","109.73","193.72","192.46","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","2335.0","0.42","0.0","0.0","2.01","0.42","0.85","0.0","0.0","0.0","0.0","26.58","27.0","219.46","109.73","192.88","192.46","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","2335.0","0.41","0.0","0.0","2.51","0.41","1.03","0.25","0.25","0.0","0.0","27.36","27.0","219.46","109.73","192.1","192.46","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","2335.0","0.4","0.0","0.0","2.21","0.4","0.88","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","2335.0","0.39","0.0","0.0","2.53","0.39","0.98","1.19","1.19","0.0","0.0","26.79","27.0","219.46","109.73","192.66","192.46","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","2335.0","0.38","0.0","0.0","2.61","0.38","0.99","0.0","0.0","0.0","0.0","27.79","27.0","219.46","109.73","191.67","192.46","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","2335.0","0.37","0.0","0.0","2.81","0.37","1.04","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","2335.0","0.36","0.0","0.0","2.99","0.36","1.08","0.0","0.0","0.0","0.0","28.08","27.0","219.46","109.73","191.38","192.46","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","2335.0","0.35","0.0","0.0","2.88","0.35","1.01","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","2335.0","0.34","0.0","0.0","2.97","0.34","1.02","0.0","0.0","0.0","0.0","28.02","27.0","219.46","109.73","191.44","192.46","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","2335.0","0.34","0.0","0.0","2.92","0.34","0.98","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","2335.0","0.33","0.0","0.0","2.53","0.33","0.83","0.0","0.0","0.0","0.0","27.83","27.0","219.46","109.73","191.62","192.46","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","2335.0","0.32","0.0","0.0","2.06","0.32","0.67","1.21","1.21","0.0","0.0","26.62","27.0","219.46","109.73","192.83","192.46","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","2335.0","1.09","0.0","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","26.94","27.0","219.46","109.73","192.52","192.46","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","2335.0","1.07","0.0","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","30.23","27.0","219.46","109.73","189.23","192.46","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","2335.0","0.86","0.0","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","2335.0","0.73","0.0","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","29.9","27.0","219.46","109.73","189.56","192.46","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","2335.0","0.66","0.0","0.0","2.83","0.66","1.88","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","2335.0","0.6","0.0","0.0","3.65","0.6","2.19","0.0","0.0","0.0","0.0","29.19","27.0","219.46","109.73","190.26","192.46","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","2335.0","0.55","0.0","0.0","3.82","0.55","2.1","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","2335.0","0.51","0.0","0.0","3.83","0.51","1.96","0.0","0.0","0.0","0.0","28.96","27.0","219.46","109.73","190.5","192.46","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","2335.0","0.48","0.0","0.0","3.23","0.48","1.56","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","2335.0","0.46","0.0","0.0","3.56","0.46","1.63","0.0","0.0","0.0","0.0","28.63","27.0","219.46","109.73","190.82","192.46","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","2335.0","0.44","0.0","0.0","3.17","0.44","1.39","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","2335.0","0.42","0.0","0.0","3.21","0.42","1.35","0.72","0.72","0.0","0.0","27.63","27.0","219.46","109.73","191.82","192.46","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","2335.0","0.41","0.0","0.0","3.34","0.41","1.35","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","2335.0","0.39","0.0","0.0","4.1","0.39","1.59","0.0","0.0","0.0","0.0","28.59","27.0","219.46","109.73","190.87","192.46","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","2335.0","0.37","0.0","0.0","3.96","0.37","1.48","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","2335.0","0.36","0.0","0.0","4.5","0.36","1.61","0.0","0.0","0.0","0.0","28.61","27.0","219.46","109.73","190.85","192.46","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","2335.0","0.34","0.0","0.0","4.95","0.34","1.69","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","2335.0","0.33","0.0","0.0","4.75","0.33","1.56","0.0","0.0","0.0","0.0","28.56","27.0","219.46","109.73","190.89","192.46","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","2335.0","0.32","0.0","0.0","4.57","0.32","1.46","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","2335.0","0.31","0.0","0.0","4.69","0.31","1.45","0.0","0.0","0.0","0.0","28.45","27.0","219.46","109.73","191.01","192.46","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","2335.0","0.3","0.0","0.0","4.21","0.3","1.26","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","2335.0","0.29","0.0","0.0","5.44","0.29","1.58","0.0","0.0","0.0","0.0","28.58","27.0","219.46","109.73","190.88","192.46","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","2335.0","0.28","0.0","0.0","4.68","0.28","1.32","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","2335.0","0.28","0.0","0.0","4.56","0.28","1.25","0.0","0.0","0.0","0.0","28.25","27.0","219.46","109.73","191.2","192.46","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","2335.0","0.27","0.0","0.0","2.58","0.27","0.7","0.04","0.04","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","2335.0","0.27","0.0","0.0","3.08","0.27","0.82","2.02","2.02","0.0","0.0","25.8","27.0","219.46","109.73","193.65","192.46","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","2335.0","1.11","0.0","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","24.6","27.0","219.46","109.73","194.86","192.46","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","2335.0","1.1","0.0","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","16.74","27.0","219.46","109.73","202.72","192.46","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","2335.0","1.06","0.0","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","20.45","27.0","219.46","109.73","199.0","192.46","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","2335.0","0.82","0.0","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","23.89","27.0","219.46","109.73","195.57","192.46","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","2335.0","0.69","0.0","0.0","4.35","0.69","3.01","0.0","0.0","0.0","0.0","26.9","27.0","219.46","109.73","192.56","192.46","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","2335.0","0.6","0.0","0.0","4.89","0.6","2.93","0.0","0.0","0.0","0.0","29.83","27.0","219.46","109.73","189.63","192.46","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","2335.0","0.53","0.0","0.0","5.01","0.53","2.68","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","2335.0","0.49","0.0","0.0","4.99","0.49","2.43","0.0","0.0","0.0","0.0","29.43","27.0","219.46","109.73","190.03","192.46","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","2335.0","0.44","0.0","0.0","6.25","0.44","2.75","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","2335.0","0.41","0.0","0.0","5.67","0.41","2.32","0.0","0.0","0.0","0.0","29.32","27.0","219.46","109.73","190.14","192.46","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","2335.0","0.38","0.0","0.0","5.38","0.38","2.07","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","2335.0","0.37","0.0","0.0","4.98","0.37","1.82","0.0","0.0","0.0","0.0","28.82","27.0","219.46","109.73","190.64","192.46","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","2335.0","0.35","0.0","0.0","5.17","0.35","1.8","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","2335.0","0.33","0.0","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","28.6","27.0","219.46","109.73","190.85","192.46","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","2335.0","0.32","0.0","0.0","3.84","0.32","1.25","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","2335.0","0.32","0.0","0.0","4.05","0.32","1.28","0.0","0.0","0.0","0.0","28.28","27.0","219.46","109.73","191.18","192.46","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","2335.0","0.31","0.0","0.0","4.79","0.31","1.46","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","2335.0","0.3","0.0","0.0","5.07","0.3","1.5","0.0","0.0","0.0","0.0","28.5","27.0","219.46","109.73","190.96","192.46","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","2335.0","1.06","0.0","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","17.62","27.0","219.46","109.73","201.84","192.46","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","2335.0","0.87","0.0","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","22.13","27.0","219.46","109.73","197.33","192.46","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","2335.0","0.68","0.0","0.0","5.81","0.68","3.94","0.0","0.0","0.0","0.0","26.07","27.0","219.46","109.73","193.39","192.46","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","2335.0","0.58","0.0","0.0","5.63","0.58","3.24","0.0","0.0","0.0","0.0","29.31","27.0","219.46","109.73","190.15","192.46","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","2335.0","0.51","0.0","0.0","5.42","0.51","2.78","0.0","0.0","0.0","0.0","27.0","27.0","219.46","109.73","192.46","192.46","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","2335.0","0.46","0.0","0.0","6.46","0.46","2.95","0.0","0.0","0.0","0.0","29.95","27.0","219.46","109.73","189.51","192.46","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","2335.0","0.42","1.1","0.0","6.5","1.1","7.15","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","37.1","","","","","","","","",""
"2015.0","5.0","2.0","122.0","2335.0","0.39","1.1","0.0","5.93","1.1","6.52","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.52","","","","","","","","",""
"2015.0","5.0","3.0","123.0","2335.0","0.37","1.1","0.0","5.27","1.1","5.8","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.8","","","","","","","","",""
"2015.0","5.0","4.0","124.0","2335.0","0.35","1.1","0.0","4.89","1.1","5.38","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.38","","","","","","","","",""
"2015.0","5.0","5.0","125.0","2335.0","0.34","1.1","0.0","4.9","1.1","5.39","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.39","","","","","","","","",""
"2015.0","5.0","6.0","126.0","2335.0","0.32","1.1","0.0","5.04","1.1","5.54","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.54","","","","","","","","",""
"2015.0","5.0","7.0","127.0","2335.0","0.32","1.1","0.0","3.23","1.1","3.55","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.55","","","","","","","","",""
"2015.0","5.0","8.0","128.0","2335.0","0.31","1.1","0.0","4.37","1.1","4.81","1.13","1.13","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.68","","","","","","","","",""
"2015.0","5.0","9.0","129.0","2335.0","0.3","1.1","0.0","4.89","1.1","5.38","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.38","","","","","","","","",""
"2015.0","5.0","10.0","130.0","2335.0","0.29","1.1","0.0","5.25","1.1","5.78","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.78","","","","","","","","",""
"2015.0","5.0","11.0","131.0","2335.0","0.28","1.1","0.0","5.24","1.1","5.76","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.76","","","","","","","","",""
"2015.0","5.0","12.0","132.0","2335.0","0.27","1.1","0.0","5.05","1.1","5.56","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.56","","","","","","","","",""
"2015.0","5.0","13.0","133.0","2335.0","0.26","1.1","0.0","4.75","1.1","5.23","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.23","","","","","","","","",""
"2015.0","5.0","14.0","134.0","2335.0","0.26","1.1","0.0","3.29","1.1","3.62","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.62","","","","","","","","",""
"2015.0","5.0","15.0","135.0","2335.0","0.26","1.1","0.0","4.65","1.1","5.12","1.77","1.77","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.35","","","","","","","","",""
"2015.0","5.0","16.0","136.0","2335.0","0.25","1.1","0.0","4.81","1.1","5.29","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.29","","","","","","","","",""
"2015.0","5.0","17.0","137.0","2335.0","0.25","1.1","0.0","3.92","1.1","4.31","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.31","","","","","","","","",""
"2015.0","5.0","18.0","138.0","2335.0","0.24","1.1","0.0","4.84","1.1","5.32","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.32","","","","","","","","",""
"2015.0","5.0","19.0","139.0","2335.0","0.24","1.1","0.0","5.04","1.1","5.54","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.54","","","","","","","","",""
"2015.0","5.0","20.0","140.0","2335.0","0.23","1.1","0.0","4.95","1.1","5.45","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.45","","","","","","","","",""
"2015.0","5.0","21.0","141.0","2335.0","0.23","1.1","0.0","4.01","1.1","4.41","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","4.41","","","","","","","","",""
"2015.0","5.0","22.0","142.0","2335.0","0.22","1.1","0.0","4.85","1.1","5.34","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.34","","","","","","","","",""
"2015.0","5.0","23.0","143.0","2335.0","0.22","1.1","0.0","4.86","1.1","5.35","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.35","","","","","","","","",""
"2015.0","5.0","24.0","144.0","2335.0","0.22","1.1","0.0","5.54","1.1","6.09","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.09","","","","","","","","",""
"2015.0","5.0","25.0","145.0","2335.0","0.21","1.1","0.0","5.5","1.1","6.05","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.05","","","","","","","","",""
"2015.0","5.0","26.0","146.0","2335.0","0.21","1.1","0.0","5.52","1.1","6.07","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.07","","","","","","","","",""
"2015.0","5.0","27.0","147.0","2335.0","0.2","1.1","0.0","5.56","1.1","6.12","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.12","","","","","","","","",""
"2015.0","5.0","28.0","148.0","2335.0","0.2","1.09","0.0","5.42","1.09","5.9","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.9","","","","","","","","",""
"2015.0","5.0","29.0","149.0","2335.0","0.2","1.08","0.0","6.13","1.08","6.61","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.61","","","","","","","","",""
"2015.0","5.0","30.0","150.0","2335.0","0.19","1.07","0.0","6.48","1.07","6.91","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.91","","","","","","","","",""
"2015.0","5.0","31.0","151.0","2335.0","0.19","1.06","0.0","5.44","1.06","5.74","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.74","","","","","","","","",""
"2015.0","6.0","1.0","152.0","2335.0","0.19","1.04","0.0","5.54","1.04","5.79","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.79","","","","","","","","",""
"2015.0","6.0","2.0","153.0","2335.0","0.19","1.03","0.0","5.77","1.03","5.96","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.96","","","","","","","","",""
"2015.0","6.0","3.0","154.0","2335.0","0.18","1.02","0.0","5.57","1.02","5.69","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.69","","","","","","","","",""
"2015.0","6.0","4.0","155.0","2335.0","0.18","1.01","0.0","5.83","1.01","5.89","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","5.89","","","","","","","","",""
"2015.0","6.0","5.0","156.0","2335.0","0.18","1.0","0.0","6.52","1.0","6.52","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.52","","","","","","","","",""
"2015.0","6.0","6.0","157.0","2335.0","0.17","1.0","0.0","6.39","1.0","6.39","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.39","","","","","","","","",""
"2015.0","6.0","7.0","158.0","2335.0","0.17","1.0","0.0","6.75","1.0","6.75","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.75","","","","","","","","",""
"2015.0","6.0","8.0","159.0","2335.0","0.17","1.0","0.0","7.39","1.0","7.39","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.39","","","","","","","","",""
"2015.0","6.0","9.0","160.0","2335.0","0.17","1.0","0.0","6.66","1.0","6.66","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.66","","","","","","","","",""
"2015.0","6.0","10.0","161.0","2335.0","0.17","1.0","0.0","3.04","1.0","3.04","0.1","0.1","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","2.94","","","","","","","","",""
"2015.0","6.0","11.0","162.0","2335.0","0.16","1.0","0.0","6.89","1.0","6.89","3.61","3.61","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","3.28","","","","","","","","",""
"2015.0","6.0","12.0","163.0","2335.0","0.16","1.0","0.0","7.67","1.0","7.67","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.67","","","","","","","","",""
"2015.0","6.0","13.0","164.0","2335.0","0.16","1.0","0.0","7.55","1.0","7.55","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.55","","","","","","","","",""
"2015.0","6.0","14.0","165.0","2335.0","0.16","1.0","0.0","6.8","1.0","6.8","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.8","","","","","","","","",""
"2015.0","6.0","15.0","166.0","2335.0","0.15","1.0","0.0","6.63","1.0","6.63","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.63","","","","","","","","",""
"2015.0","6.0","16.0","167.0","2335.0","0.15","1.0","0.0","6.95","1.0","6.95","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.95","","","","","","","","",""
"2015.0","6.0","17.0","168.0","2335.0","0.15","1.0","0.0","6.98","1.0","6.98","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.98","","","","","","","","",""
"2015.0","6.0","18.0","169.0","2335.0","0.15","1.0","0.0","7.54","1.0","7.54","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.54","","","","","","","","",""
"2015.0","6.0","19.0","170.0","2335.0","0.15","1.0","0.0","7.41","1.0","7.41","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.41","","","","","","","","",""
"2015.0","6.0","20.0","171.0","2335.0","0.15","1.0","0.0","6.95","1.0","6.95","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","6.95","","","","","","","","",""
"2015.0","6.0","21.0","172.0","2335.0","0.14","1.0","0.0","7.57","1.0","7.57","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.57","","","","","","","","",""
"2015.0","6.0","22.0","173.0","2335.0","0.14","1.0","0.0","7.07","1.0","7.07","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.07","","","","","","","","",""
"2015.0","6.0","23.0","174.0","2335.0","0.14","1.0","0.0","7.35","1.0","7.35","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.35","","","","","","","","",""
"2015.0","6.0","24.0","175.0","2335.0","0.14","1.0","0.0","7.29","1.0","7.29","0.0","0.0","0.0","0.0","0.0","27.0","219.46","109.73","219.46","192.46","7.29","","","","","","","","",""
