" Daily soil water balance output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","858.0","1.14","0.0","0.0","2.02","1.14","2.3","18.45","3.93","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","858.0","1.14","0.0","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","31.35","601.67","300.83","599.59","570.32","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","858.0","1.15","0.0","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","31.35","601.67","300.83","597.72","570.32","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","858.0","1.02","0.0","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","31.35","601.67","300.83","595.7","570.32","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","858.0","0.9","0.0","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","31.35","601.67","300.83","593.87","570.32","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","858.0","0.81","0.0","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","31.35","601.67","300.83","592.1","570.32","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","858.0","0.75","0.0","0.0","2.08","0.75","1.56","0.0","0.0","0.0","0.0","11.13","31.35","601.67","300.83","590.54","570.32","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","858.0","0.7","0.0","0.0","2.18","0.7","1.52","0.0","0.0","0.0","0.0","12.65","31.35","601.67","300.83","589.02","570.32","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","858.0","0.66","0.0","0.0","1.84","0.66","1.21","0.0","0.0","0.0","0.0","13.86","31.35","601.67","300.83","587.81","570.32","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","858.0","0.63","0.0","0.0","1.59","0.63","1.0","0.0","0.0","0.0","0.0","14.86","31.35","601.67","300.83","586.81","570.32","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","858.0","0.62","0.0","0.0","1.06","0.62","0.65","0.0","0.0","0.0","0.0","15.51","31.35","601.67","300.83","586.16","570.32","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","858.0","0.59","0.0","0.0","1.88","0.59","1.11","0.0","0.0","0.0","0.0","16.62","31.35","601.67","300.83","585.05","570.32","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","858.0","0.57","0.0","0.0","1.63","0.57","0.93","0.0","0.0","0.0","0.0","17.55","31.35","601.67","300.83","584.12","570.32","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","858.0","0.53","0.0","0.0","3.48","0.53","1.85","0.0","0.0","0.0","0.0","19.4","31.35","601.67","300.83","582.27","570.32","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","858.0","0.49","0.0","0.0","4.09","0.49","2.02","0.0","0.0","0.0","0.0","21.41","31.35","601.67","300.83","580.25","570.32","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","858.0","0.47","0.0","0.0","2.78","0.47","1.31","0.0","0.0","0.0","0.0","22.73","31.35","601.67","300.83","578.94","570.32","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","858.0","0.46","0.0","0.0","2.16","0.46","0.99","0.0","0.0","0.0","0.0","23.72","31.35","601.67","300.83","577.95","570.32","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","858.0","0.44","0.0","0.0","3.01","0.44","1.33","0.0","0.0","0.0","0.0","25.05","31.35","601.67","300.83","576.62","570.32","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","858.0","0.43","0.0","0.0","2.86","0.43","1.22","0.0","0.0","0.0","0.0","26.26","31.35","601.67","300.83","575.41","570.32","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","858.0","0.42","0.0","0.0","2.01","0.42","0.83","0.0","0.0","0.0","0.0","27.1","31.35","601.67","300.83","574.57","570.32","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","858.0","0.4","0.0","0.0","2.6","0.4","1.05","0.0","0.0","0.0","0.0","28.14","31.35","601.67","300.83","573.52","570.32","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","858.0","0.39","0.0","0.0","2.27","0.39","0.89","0.0","0.0","0.0","0.0","29.04","31.35","601.67","300.83","572.63","570.32","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","858.0","0.38","0.0","0.0","2.57","0.38","0.99","0.86","0.86","0.0","0.0","29.17","31.35","601.67","300.83","572.5","570.32","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","858.0","0.37","0.0","0.0","2.6","0.37","0.97","0.0","0.0","0.0","0.0","30.14","31.35","601.67","300.83","571.53","570.32","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","858.0","0.37","0.0","0.0","2.79","0.37","1.02","0.0","0.0","0.0","0.0","31.16","31.35","601.67","300.83","570.51","570.32","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","858.0","0.36","0.0","0.0","2.99","0.36","1.06","0.0","0.0","0.0","0.0","32.22","31.35","601.67","300.83","569.44","570.32","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","858.0","0.35","0.0","0.0","2.82","0.35","0.98","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","858.0","0.34","0.0","0.0","2.96","0.34","1.01","0.0","0.0","0.0","0.0","32.36","31.35","601.67","300.83","569.31","570.32","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","858.0","0.33","0.0","0.0","2.98","0.33","0.99","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","858.0","0.33","0.0","0.0","2.43","0.33","0.79","0.0","0.0","0.0","0.0","32.14","31.35","601.67","300.83","569.53","570.32","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","858.0","0.32","0.0","0.0","2.13","0.32","0.69","0.72","0.72","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","858.0","1.08","0.0","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","31.08","31.35","601.67","300.83","570.59","570.32","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","858.0","1.07","0.0","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","34.35","31.35","601.67","300.83","567.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","858.0","0.87","0.0","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","858.0","0.73","0.0","0.0","3.87","0.73","2.83","0.0","0.0","0.0","0.0","34.18","31.35","601.67","300.83","567.49","570.32","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","858.0","0.67","0.0","0.0","2.59","0.67","1.74","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","858.0","0.61","0.0","0.0","3.57","0.61","2.17","0.0","0.0","0.0","0.0","33.52","31.35","601.67","300.83","568.14","570.32","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","858.0","0.56","0.0","0.0","3.85","0.56","2.14","0.21","0.21","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","858.0","0.52","0.0","0.0","3.88","0.52","2.0","0.0","0.0","0.0","0.0","33.35","31.35","601.67","300.83","568.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","858.0","0.49","0.0","0.0","3.12","0.49","1.52","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","858.0","0.46","0.0","0.0","3.61","0.46","1.67","0.0","0.0","0.0","0.0","33.02","31.35","601.67","300.83","568.65","570.32","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","858.0","0.44","0.0","0.0","3.15","0.44","1.39","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","858.0","0.42","0.0","0.0","3.24","0.42","1.38","0.46","0.46","0.0","0.0","32.27","31.35","601.67","300.83","569.4","570.32","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","858.0","0.41","0.0","0.0","3.22","0.41","1.32","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","858.0","0.39","0.0","0.0","4.16","0.39","1.62","0.0","0.0","0.0","0.0","32.97","31.35","601.67","300.83","568.7","570.32","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","858.0","0.38","0.0","0.0","3.91","0.38","1.47","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","858.0","0.36","0.0","0.0","4.48","0.36","1.61","0.0","0.0","0.0","0.0","32.96","31.35","601.67","300.83","568.71","570.32","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","858.0","0.34","0.0","0.0","4.95","0.34","1.7","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","858.0","0.33","0.0","0.0","4.75","0.33","1.57","0.0","0.0","0.0","0.0","32.92","31.35","601.67","300.83","568.75","570.32","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","858.0","0.32","0.0","0.0","4.54","0.32","1.45","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","858.0","0.31","0.0","0.0","4.67","0.31","1.45","0.0","0.0","0.0","0.0","32.8","31.35","601.67","300.83","568.87","570.32","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","858.0","0.3","0.0","0.0","4.21","0.3","1.27","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","858.0","0.29","0.0","0.0","5.53","0.29","1.61","0.0","0.0","0.0","0.0","32.96","31.35","601.67","300.83","568.71","570.32","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","858.0","0.28","0.0","0.0","4.65","0.28","1.32","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","858.0","0.28","0.0","0.0","4.54","0.28","1.25","0.0","0.0","0.0","0.0","32.6","31.35","601.67","300.83","569.07","570.32","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","858.0","0.27","0.0","0.0","2.51","0.27","0.68","0.08","0.08","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","858.0","0.27","0.0","0.0","2.97","0.27","0.8","2.53","2.53","0.0","0.0","29.62","31.35","601.67","300.83","572.05","570.32","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","858.0","0.27","0.0","0.0","2.49","0.27","0.66","3.03","3.03","0.0","0.0","27.25","31.35","601.67","300.83","574.42","570.32","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","858.0","1.1","0.0","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","16.08","31.35","601.67","300.83","585.59","570.32","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","858.0","1.07","0.0","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","19.81","31.35","601.67","300.83","581.86","570.32","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","858.0","0.83","0.0","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","23.24","31.35","601.67","300.83","578.43","570.32","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","858.0","0.7","0.0","0.0","4.3","0.7","2.99","0.0","0.0","0.0","0.0","26.23","31.35","601.67","300.83","575.44","570.32","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","858.0","0.6","0.0","0.0","4.93","0.6","2.96","0.0","0.0","0.0","0.0","29.2","31.35","601.67","300.83","572.47","570.32","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","858.0","0.54","0.0","0.0","5.02","0.54","2.69","0.0","0.0","0.0","0.0","31.88","31.35","601.67","300.83","569.79","570.32","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","858.0","0.49","0.0","0.0","4.9","0.49","2.39","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","858.0","0.44","0.0","0.0","6.53","0.44","2.87","0.0","0.0","0.0","0.0","34.22","31.35","601.67","300.83","567.45","570.32","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","858.0","0.41","0.0","0.0","5.97","0.41","2.43","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","858.0","0.38","0.0","0.0","5.35","0.38","2.05","0.0","0.0","0.0","0.0","33.4","31.35","601.67","300.83","568.27","570.32","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","858.0","0.36","0.0","0.0","4.99","0.36","1.81","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","858.0","0.35","0.0","0.0","5.25","0.35","1.82","0.0","0.0","0.0","0.0","33.17","31.35","601.67","300.83","568.5","570.32","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","858.0","0.33","0.0","0.0","4.8","0.33","1.6","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","858.0","0.32","0.0","0.0","3.83","0.32","1.24","0.0","0.0","0.0","0.0","32.59","31.35","601.67","300.83","569.08","570.32","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","858.0","0.31","0.0","0.0","4.16","0.31","1.31","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","858.0","0.3","0.0","0.0","4.79","0.3","1.46","0.0","0.0","0.0","0.0","32.81","31.35","601.67","300.83","568.86","570.32","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","858.0","0.29","0.0","0.0","5.05","0.29","1.49","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","858.0","1.06","0.0","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","23.31","31.35","601.67","300.83","578.36","570.32","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","858.0","0.87","0.0","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","27.79","31.35","601.67","300.83","573.87","570.32","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","858.0","0.67","0.0","0.0","6.01","0.67","4.04","0.0","0.0","0.0","0.0","31.83","31.35","601.67","300.83","569.84","570.32","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","858.0","0.57","0.0","0.0","5.62","0.57","3.22","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","858.0","0.51","0.0","0.0","5.35","0.51","2.73","0.0","0.0","0.0","0.0","34.08","31.35","601.67","300.83","567.59","570.32","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","858.0","0.46","0.0","0.0","6.46","0.46","2.94","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","858.0","0.41","0.2","0.0","6.52","0.41","2.7","0.0","0.0","0.0","0.0","34.05","103.87","601.67","300.83","567.62","497.8","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","858.0","0.39","0.2","0.0","6.03","0.39","2.32","0.0","0.0","0.0","0.0","36.38","103.87","601.67","300.83","565.29","497.8","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","858.0","0.37","0.2","0.0","5.29","0.37","1.93","0.0","0.0","0.0","0.0","38.31","103.87","601.67","300.83","563.36","497.8","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","858.0","0.35","0.2","0.0","4.85","0.35","1.69","0.0","0.0","0.0","0.0","40.0","103.87","601.67","300.83","561.67","497.8","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","858.0","0.34","0.2","0.0","4.86","0.34","1.63","0.0","0.0","0.0","0.0","41.63","103.87","601.67","300.83","560.04","497.8","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","858.0","0.32","0.2","0.0","5.17","0.32","1.66","0.0","0.0","0.0","0.0","43.3","103.87","601.67","300.83","558.37","497.8","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","858.0","0.31","0.2","0.0","3.74","0.31","1.17","0.12","0.12","0.0","0.0","44.35","103.87","601.67","300.83","557.32","497.8","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","858.0","0.3","0.2","0.0","4.45","0.3","1.36","0.04","0.04","0.0","0.0","45.67","103.87","601.67","300.83","556.0","497.8","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","858.0","0.29","0.2","0.0","5.02","0.29","1.48","0.0","0.0","0.0","0.0","47.15","103.87","601.67","300.83","554.52","497.8","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","858.0","0.29","0.2","0.0","5.24","0.29","1.5","0.0","0.0","0.0","0.0","48.64","103.87","601.67","300.83","553.03","497.8","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","858.0","0.28","0.2","0.0","5.2","0.28","1.44","0.0","0.0","0.0","0.0","50.08","103.87","601.67","300.83","551.59","497.8","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","858.0","0.27","0.2","0.0","5.04","0.27","1.36","0.0","0.0","0.0","0.0","51.44","103.87","601.67","300.83","550.23","497.8","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","858.0","0.26","0.2","0.0","4.75","0.26","1.25","0.0","0.0","0.0","0.0","52.69","103.87","601.67","300.83","548.98","497.8","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","858.0","0.26","0.2","0.0","3.53","0.26","0.91","0.0","0.0","0.0","0.0","53.61","103.87","601.67","300.83","548.06","497.8","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","858.0","0.25","0.24","0.0","4.69","0.25","1.19","0.41","0.41","0.0","0.0","54.38","103.87","601.67","300.83","547.29","497.8","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","858.0","0.25","0.28","0.0","4.83","0.28","1.36","0.0","0.0","0.0","0.0","55.74","103.87","601.67","300.83","545.93","497.8","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","858.0","0.24","0.32","0.0","4.03","0.32","1.3","0.0","0.0","0.0","0.0","57.04","103.87","601.67","300.83","544.63","497.8","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","858.0","0.24","0.36","0.0","4.74","0.36","1.72","0.0","0.0","0.0","0.0","58.75","103.87","601.67","300.83","542.92","497.8","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","858.0","0.23","0.4","0.0","5.03","0.4","2.02","0.0","0.0","0.0","0.0","60.78","103.87","601.67","300.83","540.89","497.8","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","858.0","0.23","0.44","0.0","4.98","0.44","2.21","0.0","0.0","0.0","0.0","62.98","103.87","601.67","300.83","538.69","497.8","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","858.0","0.23","0.48","0.0","4.26","0.48","2.06","0.0","0.0","0.0","0.0","65.04","103.87","601.67","300.83","536.63","497.8","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","858.0","0.22","0.52","0.0","4.91","0.52","2.57","0.0","0.0","0.0","0.0","67.61","103.87","601.67","300.83","534.06","497.8","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","858.0","0.22","0.56","0.0","4.7","0.56","2.65","0.0","0.0","0.0","0.0","70.26","103.87","601.67","300.83","531.4","497.8","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","858.0","0.21","0.6","0.0","5.63","0.6","3.4","0.0","0.0","0.0","0.0","73.67","103.87","601.67","300.83","528.0","497.8","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","858.0","0.21","0.65","0.0","5.5","0.65","3.55","0.0","0.0","0.0","0.0","77.22","103.87","601.67","300.83","524.45","497.8","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","858.0","0.21","0.69","0.0","5.52","0.69","3.79","0.0","0.0","0.0","0.0","81.0","103.87","601.67","300.83","520.67","497.8","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","858.0","0.2","0.73","0.0","5.56","0.73","4.04","0.0","0.0","0.0","0.0","85.04","103.87","601.67","300.83","516.63","497.8","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","858.0","0.2","0.77","0.0","5.44","0.77","4.17","0.0","0.0","0.0","0.0","89.21","103.87","601.67","300.83","512.46","497.8","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","858.0","0.2","0.81","0.0","6.1","0.81","4.92","0.0","0.0","0.0","0.0","94.14","103.87","601.67","300.83","507.53","497.8","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","858.0","0.19","0.85","0.0","6.43","0.85","5.45","0.0","0.0","0.0","0.0","99.59","103.87","601.67","300.83","502.08","497.8","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","858.0","0.19","0.89","0.0","5.4","0.89","4.8","0.0","0.0","0.0","0.0","0.0","103.87","601.67","300.83","601.67","497.8","104.38","","","","","","","","",""
"2015.0","6.0","1.0","152.0","858.0","0.19","0.93","0.0","5.46","0.93","5.07","0.0","0.0","0.0","0.0","5.07","103.87","601.67","300.83","596.6","497.8","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","858.0","0.18","0.97","0.0","5.75","0.97","5.57","0.0","0.0","0.0","0.0","10.64","103.87","601.67","300.83","591.03","497.8","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","858.0","0.18","1.01","0.0","5.49","1.01","5.54","0.0","0.0","0.0","0.0","16.18","103.87","601.67","300.83","585.48","497.8","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","858.0","0.18","1.05","0.0","5.89","1.05","6.18","0.0","0.0","0.0","0.0","22.37","103.87","601.67","300.83","579.3","497.8","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","858.0","0.18","1.05","0.0","6.77","1.05","7.11","0.0","0.0","0.0","0.0","29.48","103.87","601.67","300.83","572.19","497.8","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","858.0","0.17","1.05","0.0","6.34","1.05","6.66","0.0","0.0","0.0","0.0","36.13","103.87","601.67","300.83","565.53","497.8","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","858.0","0.17","1.05","0.0","6.9","1.05","7.25","0.0","0.0","0.0","0.0","43.38","103.87","601.67","300.83","558.29","497.8","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","858.0","0.17","1.05","0.0","7.39","1.05","7.76","0.0","0.0","0.0","0.0","51.14","103.87","601.67","300.83","550.53","497.8","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","858.0","0.17","1.05","0.0","7.03","1.05","7.38","0.0","0.0","0.0","0.0","58.52","103.87","601.67","300.83","543.15","497.8","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","858.0","0.17","1.05","0.0","2.7","1.05","2.84","0.02","0.02","0.0","0.0","61.34","103.87","601.67","300.83","540.33","497.8","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","858.0","0.16","1.05","0.0","7.01","1.05","7.36","2.18","2.18","0.0","0.0","66.52","103.87","601.67","300.83","535.15","497.8","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","858.0","0.16","1.05","0.0","7.89","1.05","8.28","0.0","0.0","0.0","0.0","74.8","103.87","601.67","300.83","526.87","497.8","0.0","","","","","","","","",""
"2015.0","6.0","13.0","164.0","858.0","0.16","1.05","0.0","7.55","1.05","7.93","0.0","0.0","0.0","0.0","82.73","103.87","601.67","300.83","518.94","497.8","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","858.0","0.16","1.05","0.0","6.8","1.05","7.14","0.0","0.0","0.0","0.0","89.87","103.87","601.67","300.83","511.8","497.8","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","858.0","0.15","1.05","0.0","6.62","1.05","6.95","0.0","0.0","0.0","0.0","96.82","103.87","601.67","300.83","504.85","497.8","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","858.0","0.15","1.05","0.0","6.96","1.05","7.31","0.51","0.51","0.0","0.0","103.62","103.87","601.67","300.83","498.05","497.8","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","858.0","0.15","1.05","0.0","6.97","1.05","7.32","0.0","0.0","0.0","0.0","0.0","103.87","601.67","300.83","601.67","497.8","110.94","","","","","","","","",""
"2015.0","6.0","18.0","169.0","858.0","0.15","1.05","0.0","7.62","1.05","8.0","0.0","0.0","0.0","0.0","8.0","103.87","601.67","300.83","593.67","497.8","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","858.0","0.15","1.05","0.0","7.42","1.05","7.79","0.0","0.0","0.0","0.0","15.79","103.87","601.67","300.83","585.88","497.8","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","858.0","0.14","1.05","0.0","7.06","1.05","7.41","0.0","0.0","0.0","0.0","23.21","103.87","601.67","300.83","578.46","497.8","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","858.0","0.14","1.05","0.0","7.62","1.05","8.0","0.0","0.0","0.0","0.0","31.21","150.42","601.67","300.83","570.46","451.25","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","858.0","0.14","1.05","0.0","6.99","1.05","7.34","0.0","0.0","0.0","0.0","38.55","150.42","601.67","300.83","563.12","451.25","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","858.0","0.14","1.05","0.0","7.4","1.05","7.77","0.0","0.0","0.0","0.0","46.32","150.42","601.67","300.83","555.35","451.25","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","858.0","0.14","1.05","0.0","7.41","1.05","7.78","0.0","0.0","0.0","0.0","54.1","150.42","601.67","300.83","547.57","451.25","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","858.0","0.14","1.05","0.0","8.0","1.05","8.4","0.0","0.0","0.0","0.0","62.5","150.42","601.67","300.83","539.17","451.25","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","858.0","0.13","1.05","0.0","8.37","1.05","8.79","0.0","0.0","0.0","0.0","71.28","150.42","601.67","300.83","530.38","451.25","0.0","","","","","","","","",""
