" Daily soil water balance output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2015.0","2.0","9.0","40.0","487.0","1.14","0.0","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","24.0","316.99","158.5","316.99","292.99","0.0","","","","","","","","",""
"2015.0","2.0","10.0","41.0","487.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","24.0","316.99","158.5","314.91","292.99","0.0","","","","","","","","",""
"2015.0","2.0","11.0","42.0","487.0","1.15","0.0","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","24.0","316.99","158.5","313.06","292.99","0.0","","","","","","","","",""
"2015.0","2.0","12.0","43.0","487.0","1.02","0.0","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","24.0","316.99","158.5","311.05","292.99","0.0","","","","","","","","",""
"2015.0","2.0","13.0","44.0","487.0","0.91","0.0","0.0","2.0","0.91","1.81","0.0","0.0","0.0","0.0","7.76","24.0","316.99","158.5","309.23","292.99","0.0","","","","","","","","",""
"2015.0","2.0","14.0","45.0","487.0","0.82","0.0","0.0","2.16","0.82","1.77","0.0","0.0","0.0","0.0","9.53","24.0","316.99","158.5","307.47","292.99","0.0","","","","","","","","",""
"2015.0","2.0","15.0","46.0","487.0","0.75","0.0","0.0","2.09","0.75","1.57","0.0","0.0","0.0","0.0","11.1","24.0","316.99","158.5","305.9","292.99","0.0","","","","","","","","",""
"2015.0","2.0","16.0","47.0","487.0","0.7","0.0","0.0","2.19","0.7","1.53","0.0","0.0","0.0","0.0","12.63","24.0","316.99","158.5","304.37","292.99","0.0","","","","","","","","",""
"2015.0","2.0","17.0","48.0","487.0","0.66","0.0","0.0","1.85","0.66","1.22","0.0","0.0","0.0","0.0","13.85","24.0","316.99","158.5","303.15","292.99","0.0","","","","","","","","",""
"2015.0","2.0","18.0","49.0","487.0","0.63","0.0","0.0","1.58","0.63","1.0","0.0","0.0","0.0","0.0","14.85","24.0","316.99","158.5","302.14","292.99","0.0","","","","","","","","",""
"2015.0","2.0","19.0","50.0","487.0","0.62","0.0","0.0","1.04","0.62","0.64","0.0","0.0","0.0","0.0","15.49","24.0","316.99","158.5","301.5","292.99","0.0","","","","","","","","",""
"2015.0","2.0","20.0","51.0","487.0","0.59","0.0","0.0","2.0","0.59","1.18","0.0","0.0","0.0","0.0","16.67","24.0","316.99","158.5","300.32","292.99","0.0","","","","","","","","",""
"2015.0","2.0","21.0","52.0","487.0","0.57","0.0","0.0","1.73","0.57","0.98","0.0","0.0","0.0","0.0","17.65","24.0","316.99","158.5","299.34","292.99","0.0","","","","","","","","",""
"2015.0","2.0","22.0","53.0","487.0","0.53","0.0","0.0","3.63","0.53","1.92","0.0","0.0","0.0","0.0","19.57","24.0","316.99","158.5","297.43","292.99","0.0","","","","","","","","",""
"2015.0","2.0","23.0","54.0","487.0","0.49","0.0","0.0","4.25","0.49","2.08","0.0","0.0","0.0","0.0","21.65","24.0","316.99","158.5","295.34","292.99","0.0","","","","","","","","",""
"2015.0","2.0","24.0","55.0","487.0","0.47","0.0","0.0","2.81","0.47","1.32","0.0","0.0","0.0","0.0","22.97","24.0","316.99","158.5","294.02","292.99","0.0","","","","","","","","",""
"2015.0","2.0","25.0","56.0","487.0","0.46","0.0","0.0","2.18","0.46","0.99","0.0","0.0","0.0","0.0","23.96","24.0","316.99","158.5","293.03","292.99","0.0","","","","","","","","",""
"2015.0","2.0","26.0","57.0","487.0","0.44","0.0","0.0","3.03","0.44","1.33","0.0","0.0","0.0","0.0","25.29","24.0","316.99","158.5","291.7","292.99","0.0","","","","","","","","",""
"2015.0","2.0","27.0","58.0","487.0","0.42","0.0","0.0","2.87","0.42","1.21","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","2.0","28.0","59.0","487.0","0.41","0.0","0.0","2.01","0.41","0.83","0.0","0.0","0.0","0.0","24.83","24.0","316.99","158.5","292.16","292.99","0.0","","","","","","","","",""
"2015.0","3.0","1.0","60.0","487.0","0.4","0.0","0.0","2.65","0.4","1.06","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","2.0","61.0","487.0","0.39","0.0","0.0","2.24","0.39","0.88","0.0","0.0","0.0","0.0","24.88","24.0","316.99","158.5","292.11","292.99","0.0","","","","","","","","",""
"2015.0","3.0","3.0","62.0","487.0","1.12","0.0","0.0","2.55","1.12","2.85","3.36","3.36","0.0","0.0","21.52","24.0","316.99","158.5","295.47","292.99","0.0","","","","","","","","",""
"2015.0","3.0","4.0","63.0","487.0","1.12","0.0","0.0","2.6","1.12","2.9","0.0","0.0","0.0","0.0","24.42","24.0","316.99","158.5","292.57","292.99","0.0","","","","","","","","",""
"2015.0","3.0","5.0","64.0","487.0","0.97","0.0","0.0","2.79","0.97","2.72","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","6.0","65.0","487.0","0.83","0.0","0.0","2.99","0.83","2.48","0.0","0.0","0.0","0.0","26.48","24.0","316.99","158.5","290.51","292.99","0.0","","","","","","","","",""
"2015.0","3.0","7.0","66.0","487.0","0.74","0.0","0.0","2.81","0.74","2.08","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","8.0","67.0","487.0","0.67","0.0","0.0","2.94","0.67","1.97","0.0","0.0","0.0","0.0","25.97","24.0","316.99","158.5","291.02","292.99","0.0","","","","","","","","",""
"2015.0","3.0","9.0","68.0","487.0","0.62","0.0","0.0","2.98","0.62","1.84","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","10.0","69.0","487.0","0.58","0.0","0.0","2.3","0.58","1.34","0.0","0.0","0.0","0.0","25.34","24.0","316.99","158.5","291.65","292.99","0.0","","","","","","","","",""
"2015.0","3.0","11.0","70.0","487.0","0.56","0.0","0.0","2.11","0.56","1.18","0.83","0.83","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","12.0","71.0","487.0","1.08","0.0","0.0","3.41","1.08","3.7","4.58","4.58","0.0","0.0","23.12","24.0","316.99","158.5","293.88","292.99","0.0","","","","","","","","",""
"2015.0","3.0","13.0","72.0","487.0","1.07","0.0","0.0","3.03","1.07","3.24","0.0","0.0","0.0","0.0","26.36","24.0","316.99","158.5","290.63","292.99","0.0","","","","","","","","",""
"2015.0","3.0","14.0","73.0","487.0","0.87","0.0","0.0","3.23","0.87","2.82","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","15.0","74.0","487.0","0.74","0.0","0.0","3.74","0.74","2.77","0.0","0.0","0.0","0.0","26.77","24.0","316.99","158.5","290.22","292.99","0.0","","","","","","","","",""
"2015.0","3.0","16.0","75.0","487.0","0.68","0.0","0.0","2.43","0.68","1.66","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","17.0","76.0","487.0","0.62","0.0","0.0","3.53","0.62","2.18","0.0","0.0","0.0","0.0","26.18","24.0","316.99","158.5","290.81","292.99","0.0","","","","","","","","",""
"2015.0","3.0","18.0","77.0","487.0","0.56","0.0","0.0","3.85","0.56","2.17","0.01","0.01","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","19.0","78.0","487.0","0.52","0.0","0.0","3.88","0.52","2.02","0.0","0.0","0.0","0.0","26.02","24.0","316.99","158.5","290.97","292.99","0.0","","","","","","","","",""
"2015.0","3.0","20.0","79.0","487.0","0.49","0.0","0.0","3.07","0.49","1.51","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","21.0","80.0","487.0","0.47","0.0","0.0","3.6","0.47","1.68","0.0","0.0","0.0","0.0","25.68","24.0","316.99","158.5","291.31","292.99","0.0","","","","","","","","",""
"2015.0","3.0","22.0","81.0","487.0","0.44","0.0","0.0","3.31","0.44","1.47","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","23.0","82.0","487.0","0.43","0.0","0.0","3.28","0.43","1.4","0.11","0.11","0.0","0.0","25.29","24.0","316.99","158.5","291.7","292.99","0.0","","","","","","","","",""
"2015.0","3.0","24.0","83.0","487.0","0.41","0.0","0.0","3.19","0.41","1.31","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","25.0","84.0","487.0","0.39","0.0","0.0","4.18","0.39","1.64","0.0","0.0","0.0","0.0","25.64","24.0","316.99","158.5","291.35","292.99","0.0","","","","","","","","",""
"2015.0","3.0","26.0","85.0","487.0","0.38","0.0","0.0","3.88","0.38","1.46","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","27.0","86.0","487.0","0.36","0.0","0.0","4.4","0.36","1.59","0.0","0.0","0.0","0.0","25.59","24.0","316.99","158.5","291.4","292.99","0.0","","","","","","","","",""
"2015.0","3.0","28.0","87.0","487.0","0.35","0.0","0.0","4.93","0.35","1.7","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","29.0","88.0","487.0","0.33","0.0","0.0","4.71","0.33","1.57","0.0","0.0","0.0","0.0","25.57","24.0","316.99","158.5","291.43","292.99","0.0","","","","","","","","",""
"2015.0","3.0","30.0","89.0","487.0","0.32","0.0","0.0","4.49","0.32","1.44","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","3.0","31.0","90.0","487.0","0.31","0.0","0.0","4.65","0.31","1.45","0.0","0.0","0.0","0.0","25.45","24.0","316.99","158.5","291.55","292.99","0.0","","","","","","","","",""
"2015.0","4.0","1.0","91.0","487.0","0.3","0.0","0.0","4.22","0.3","1.28","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","2.0","92.0","487.0","0.29","0.0","0.0","5.54","0.29","1.62","0.0","0.0","0.0","0.0","25.62","24.0","316.99","158.5","291.37","292.99","0.0","","","","","","","","",""
"2015.0","4.0","3.0","93.0","487.0","0.28","0.0","0.0","4.6","0.28","1.31","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","4.0","94.0","487.0","0.28","0.0","0.0","4.48","0.28","1.24","0.0","0.0","0.0","0.0","25.24","24.0","316.99","158.5","291.75","292.99","0.0","","","","","","","","",""
"2015.0","4.0","5.0","95.0","487.0","0.27","0.0","0.0","2.56","0.27","0.7","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","6.0","96.0","487.0","0.27","0.0","0.0","2.92","0.27","0.79","0.96","0.96","0.0","0.0","23.83","24.0","316.99","158.5","293.16","292.99","0.0","","","","","","","","",""
"2015.0","4.0","7.0","97.0","487.0","1.12","0.0","0.0","2.53","1.12","2.83","4.05","4.05","0.0","0.0","22.61","24.0","316.99","158.5","294.38","292.99","0.0","","","","","","","","",""
"2015.0","4.0","8.0","98.0","487.0","1.1","0.0","0.0","2.94","1.1","3.24","14.39","14.39","0.0","0.0","11.46","24.0","316.99","158.5","305.53","292.99","0.0","","","","","","","","",""
"2015.0","4.0","9.0","99.0","487.0","1.07","0.0","0.0","3.48","1.07","3.73","0.0","0.0","0.0","0.0","15.19","24.0","316.99","158.5","301.8","292.99","0.0","","","","","","","","",""
"2015.0","4.0","10.0","100.0","487.0","0.83","0.0","0.0","4.1","0.83","3.42","0.0","0.0","0.0","0.0","18.61","24.0","316.99","158.5","298.39","292.99","0.0","","","","","","","","",""
"2015.0","4.0","11.0","101.0","487.0","0.7","0.0","0.0","4.26","0.7","2.98","0.0","0.0","0.0","0.0","21.59","24.0","316.99","158.5","295.4","292.99","0.0","","","","","","","","",""
"2015.0","4.0","12.0","102.0","487.0","0.6","0.0","0.0","4.91","0.6","2.97","0.0","0.0","0.0","0.0","24.55","24.0","316.99","158.5","292.44","292.99","0.0","","","","","","","","",""
"2015.0","4.0","13.0","103.0","487.0","0.54","0.0","0.0","4.91","0.54","2.64","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","14.0","104.0","487.0","0.49","0.0","0.0","4.87","0.49","2.39","0.0","0.0","0.0","0.0","26.39","24.0","316.99","158.5","290.6","292.99","0.0","","","","","","","","",""
"2015.0","4.0","15.0","105.0","487.0","0.44","0.0","0.0","6.58","0.44","2.91","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","16.0","106.0","487.0","0.41","0.0","0.0","6.06","0.41","2.47","0.0","0.0","0.0","0.0","26.47","24.0","316.99","158.5","290.52","292.99","0.0","","","","","","","","",""
"2015.0","4.0","17.0","107.0","487.0","0.38","0.0","0.0","5.29","0.38","2.03","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","18.0","108.0","487.0","0.36","0.0","0.0","4.95","0.36","1.8","0.0","0.0","0.0","0.0","25.8","24.0","316.99","158.5","291.19","292.99","0.0","","","","","","","","",""
"2015.0","4.0","19.0","109.0","487.0","0.35","0.0","0.0","5.18","0.35","1.8","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","20.0","110.0","487.0","0.33","0.0","0.0","4.74","0.33","1.58","0.0","0.0","0.0","0.0","25.58","24.0","316.99","158.5","291.41","292.99","0.0","","","","","","","","",""
"2015.0","4.0","21.0","111.0","487.0","0.32","0.0","0.0","3.79","0.32","1.23","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","22.0","112.0","487.0","0.32","0.0","0.0","4.2","0.32","1.32","0.0","0.0","0.0","0.0","25.32","24.0","316.99","158.5","291.67","292.99","0.0","","","","","","","","",""
"2015.0","4.0","23.0","113.0","487.0","0.31","0.0","0.0","4.75","0.31","1.45","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","24.0","114.0","487.0","0.3","0.0","0.0","4.96","0.3","1.46","0.0","0.0","0.0","0.0","25.46","24.0","316.99","158.5","291.53","292.99","0.0","","","","","","","","",""
"2015.0","4.0","25.0","115.0","487.0","1.06","0.0","0.0","3.96","1.06","4.2","11.93","11.93","0.0","0.0","13.53","24.0","316.99","158.5","303.46","292.99","0.0","","","","","","","","",""
"2015.0","4.0","26.0","116.0","487.0","0.88","0.0","0.0","5.11","0.88","4.5","0.0","0.0","0.0","0.0","18.03","24.0","316.99","158.5","298.96","292.99","0.0","","","","","","","","",""
"2015.0","4.0","27.0","117.0","487.0","0.67","0.0","0.0","6.12","0.67","4.12","0.0","0.0","0.0","0.0","22.15","24.0","316.99","158.5","294.84","292.99","0.0","","","","","","","","",""
"2015.0","4.0","28.0","118.0","487.0","0.58","0.0","0.0","5.51","0.58","3.17","0.0","0.0","0.0","0.0","25.32","24.0","316.99","158.5","291.67","292.99","0.0","","","","","","","","",""
"2015.0","4.0","29.0","119.0","487.0","0.51","0.0","0.0","5.26","0.51","2.7","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","4.0","30.0","120.0","487.0","0.46","0.0","0.0","6.47","0.46","2.96","0.0","0.0","0.0","0.0","26.96","24.0","316.99","158.5","290.03","292.99","0.0","","","","","","","","",""
"2015.0","5.0","1.0","121.0","487.0","0.42","0.0","0.0","6.45","0.42","2.69","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","2.0","122.0","487.0","0.39","0.0","0.0","5.94","0.39","2.3","0.0","0.0","0.0","0.0","26.3","24.0","316.99","158.5","290.69","292.99","0.0","","","","","","","","",""
"2015.0","5.0","3.0","123.0","487.0","0.37","0.0","0.0","5.17","0.37","1.9","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","4.0","124.0","487.0","0.35","0.0","0.0","4.74","0.35","1.67","0.0","0.0","0.0","0.0","25.67","24.0","316.99","158.5","291.33","292.99","0.0","","","","","","","","",""
"2015.0","5.0","5.0","125.0","487.0","0.34","0.0","0.0","4.79","0.34","1.62","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","6.0","126.0","487.0","0.32","0.0","0.0","5.2","0.32","1.68","0.0","0.0","0.0","0.0","25.68","24.0","316.99","158.5","291.31","292.99","0.0","","","","","","","","",""
"2015.0","5.0","7.0","127.0","487.0","0.32","0.0","0.0","3.82","0.32","1.21","0.5","0.5","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","8.0","128.0","487.0","0.31","0.0","0.0","4.45","0.31","1.36","0.01","0.01","0.0","0.0","25.35","24.0","316.99","158.5","291.64","292.99","0.0","","","","","","","","",""
"2015.0","5.0","9.0","129.0","487.0","0.3","0.0","0.0","4.99","0.3","1.48","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","10.0","130.0","487.0","0.29","0.0","0.0","5.12","0.29","1.47","0.0","0.0","0.0","0.0","25.47","24.0","316.99","158.5","291.52","292.99","0.0","","","","","","","","",""
"2015.0","5.0","11.0","131.0","487.0","0.28","0.0","0.0","5.11","0.28","1.42","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","12.0","132.0","487.0","0.27","0.0","0.0","5.01","0.27","1.36","0.0","0.0","0.0","0.0","25.36","24.0","316.99","158.5","291.63","292.99","0.0","","","","","","","","",""
"2015.0","5.0","13.0","133.0","487.0","0.26","0.0","0.0","4.72","0.26","1.25","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","14.0","134.0","487.0","0.26","0.0","0.0","3.63","0.26","0.94","0.0","0.0","0.0","0.0","24.94","24.0","316.99","158.5","292.05","292.99","0.0","","","","","","","","",""
"2015.0","5.0","15.0","135.0","487.0","0.25","0.0","0.0","4.7","0.25","1.2","0.06","0.06","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","16.0","136.0","487.0","0.25","0.0","0.0","4.79","0.25","1.19","0.0","0.0","0.0","0.0","25.19","24.0","316.99","158.5","291.8","292.99","0.0","","","","","","","","",""
"2015.0","5.0","17.0","137.0","487.0","0.24","0.0","0.0","3.87","0.24","0.95","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","18.0","138.0","487.0","0.24","0.0","0.0","4.77","0.24","1.15","0.0","0.0","0.0","0.0","25.15","24.0","316.99","158.5","291.85","292.99","0.0","","","","","","","","",""
"2015.0","5.0","19.0","139.0","487.0","0.24","0.0","0.0","4.98","0.24","1.17","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","20.0","140.0","487.0","0.23","0.0","0.0","4.89","0.23","1.13","0.0","0.0","0.0","0.0","25.13","24.0","316.99","158.5","291.86","292.99","0.0","","","","","","","","",""
"2015.0","5.0","21.0","141.0","487.0","0.23","0.0","0.0","4.59","0.23","1.04","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","22.0","142.0","487.0","0.22","0.0","0.0","4.9","0.22","1.09","0.0","0.0","0.0","0.0","25.09","24.0","316.99","158.5","291.9","292.99","0.0","","","","","","","","",""
"2015.0","5.0","23.0","143.0","487.0","0.22","0.0","0.0","4.73","0.22","1.04","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","24.0","144.0","487.0","0.21","0.0","0.0","5.57","0.21","1.2","0.0","0.0","0.0","0.0","25.2","24.0","316.99","158.5","291.79","292.99","0.0","","","","","","","","",""
"2015.0","5.0","25.0","145.0","487.0","0.21","0.0","0.0","5.38","0.21","1.14","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","26.0","146.0","487.0","0.21","0.0","0.0","5.42","0.21","1.12","0.0","0.0","0.0","0.0","25.12","24.0","316.99","158.5","291.87","292.99","0.0","","","","","","","","",""
"2015.0","5.0","27.0","147.0","487.0","0.2","0.0","0.0","5.47","0.2","1.12","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","28.0","148.0","487.0","0.2","0.0","0.0","5.36","0.2","1.08","0.0","0.0","0.0","0.0","25.08","24.0","316.99","158.5","291.92","292.99","0.0","","","","","","","","",""
"2015.0","5.0","29.0","149.0","487.0","0.2","0.0","0.0","5.96","0.2","1.18","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","5.0","30.0","150.0","487.0","0.19","0.0","0.0","6.29","0.19","1.22","0.0","0.0","0.0","0.0","25.22","24.0","316.99","158.5","291.77","292.99","0.0","","","","","","","","",""
"2015.0","5.0","31.0","151.0","487.0","0.19","0.0","0.0","5.29","0.19","1.01","0.0","0.0","0.0","0.0","24.0","24.0","316.99","158.5","292.99","292.99","0.0","","","","","","","","",""
"2015.0","6.0","1.0","152.0","487.0","0.19","0.69","0.0","5.34","0.69","3.67","0.0","0.0","0.0","0.0","27.67","68.91","316.99","158.5","289.32","248.09","0.0","","","","","","","","",""
"2015.0","6.0","2.0","153.0","487.0","0.19","0.69","0.0","5.63","0.69","3.87","0.0","0.0","0.0","0.0","31.54","68.91","316.99","158.5","285.46","248.09","0.0","","","","","","","","",""
"2015.0","6.0","3.0","154.0","487.0","0.18","0.69","0.0","5.42","0.69","3.72","0.0","0.0","0.0","0.0","35.26","68.91","316.99","158.5","281.73","248.09","0.0","","","","","","","","",""
"2015.0","6.0","4.0","155.0","487.0","0.18","0.69","0.0","5.87","0.69","4.03","0.0","0.0","0.0","0.0","39.29","68.91","316.99","158.5","277.7","248.09","0.0","","","","","","","","",""
"2015.0","6.0","5.0","156.0","487.0","0.18","0.69","0.0","6.78","0.69","4.66","0.0","0.0","0.0","0.0","43.95","68.91","316.99","158.5","273.04","248.09","0.0","","","","","","","","",""
"2015.0","6.0","6.0","157.0","487.0","0.17","0.69","0.0","6.33","0.69","4.35","0.0","0.0","0.0","0.0","48.3","68.91","316.99","158.5","268.69","248.09","0.0","","","","","","","","",""
"2015.0","6.0","7.0","158.0","487.0","0.17","0.69","0.0","6.88","0.69","4.73","0.0","0.0","0.0","0.0","53.03","68.91","316.99","158.5","263.97","248.09","0.0","","","","","","","","",""
"2015.0","6.0","8.0","159.0","487.0","0.17","0.69","0.0","7.31","0.69","5.02","0.0","0.0","0.0","0.0","58.05","68.91","316.99","158.5","258.94","248.09","0.0","","","","","","","","",""
"2015.0","6.0","9.0","160.0","487.0","0.17","0.69","0.0","6.91","0.69","4.75","0.0","0.0","0.0","0.0","62.79","68.91","316.99","158.5","254.2","248.09","0.0","","","","","","","","",""
"2015.0","6.0","10.0","161.0","487.0","0.17","0.69","0.0","2.53","0.69","1.74","0.32","0.32","0.0","0.0","64.21","68.91","316.99","158.5","252.78","248.09","0.0","","","","","","","","",""
"2015.0","6.0","11.0","162.0","487.0","0.16","0.69","0.0","7.0","0.69","4.81","1.59","1.59","0.0","0.0","67.43","68.91","316.99","158.5","249.56","248.09","0.0","","","","","","","","",""
"2015.0","6.0","12.0","163.0","487.0","0.16","0.69","0.0","7.84","0.69","5.39","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","72.82","","","","","","","","",""
"2015.0","6.0","13.0","164.0","487.0","0.16","0.69","0.0","7.39","0.69","5.08","0.0","0.0","0.0","0.0","5.08","68.91","316.99","158.5","311.92","248.09","0.0","","","","","","","","",""
"2015.0","6.0","14.0","165.0","487.0","0.16","0.69","0.0","6.62","0.69","4.55","0.0","0.0","0.0","0.0","9.62","68.91","316.99","158.5","307.37","248.09","0.0","","","","","","","","",""
"2015.0","6.0","15.0","166.0","487.0","0.15","0.69","0.0","6.43","0.69","4.42","0.0","0.0","0.0","0.0","14.04","68.91","316.99","158.5","302.95","248.09","0.0","","","","","","","","",""
"2015.0","6.0","16.0","167.0","487.0","0.15","0.69","0.0","6.82","0.69","4.69","0.02","0.02","0.0","0.0","18.71","68.91","316.99","158.5","298.28","248.09","0.0","","","","","","","","",""
"2015.0","6.0","17.0","168.0","487.0","0.15","0.69","0.0","6.84","0.69","4.7","0.0","0.0","0.0","0.0","23.41","68.91","316.99","158.5","293.59","248.09","0.0","","","","","","","","",""
"2015.0","6.0","18.0","169.0","487.0","0.15","0.69","0.0","7.46","0.69","5.13","0.0","0.0","0.0","0.0","28.53","68.91","316.99","158.5","288.46","248.09","0.0","","","","","","","","",""
"2015.0","6.0","19.0","170.0","487.0","0.15","0.69","0.0","7.3","0.69","5.02","0.0","0.0","0.0","0.0","33.55","68.91","316.99","158.5","283.45","248.09","0.0","","","","","","","","",""
"2015.0","6.0","20.0","171.0","487.0","0.15","0.69","0.0","6.95","0.69","4.77","0.0","0.0","0.0","0.0","38.32","68.91","316.99","158.5","278.67","248.09","0.0","","","","","","","","",""
"2015.0","6.0","21.0","172.0","487.0","0.14","0.69","0.0","7.44","0.69","5.11","0.0","0.0","0.0","0.0","43.43","68.91","316.99","158.5","273.56","248.09","0.0","","","","","","","","",""
"2015.0","6.0","22.0","173.0","487.0","0.14","0.69","0.0","6.8","0.69","4.67","0.0","0.0","0.0","0.0","48.1","68.91","316.99","158.5","268.89","248.09","0.0","","","","","","","","",""
"2015.0","6.0","23.0","174.0","487.0","0.14","0.69","0.0","7.3","0.69","5.02","0.0","0.0","0.0","0.0","53.12","68.91","316.99","158.5","263.87","248.09","0.0","","","","","","","","",""
"2015.0","6.0","24.0","175.0","487.0","0.14","0.69","0.0","7.32","0.69","5.03","0.0","0.0","0.0","0.0","58.15","68.91","316.99","158.5","258.84","248.09","0.0","","","","","","","","",""
"2015.0","6.0","25.0","176.0","487.0","0.14","0.69","0.0","7.89","0.69","5.42","0.0","0.0","0.0","0.0","63.57","68.91","316.99","158.5","253.42","248.09","0.0","","","","","","","","",""
"2015.0","6.0","26.0","177.0","487.0","0.14","0.69","0.0","8.25","0.69","5.73","0.0","0.0","0.0","0.0","0.0","68.91","316.99","158.5","316.99","248.09","69.3","","","","","","","","",""
