" Daily soil water balance output for Citrus & Subtropical in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2015.0","2.0","13.0","44.0","2.0","0.89","0.7","0.0","2.09","0.89","1.86","0.0","0.0","0.0","0.0","16.44","86.62","395.02","197.51","378.58","308.4","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","2.0","0.8","0.7","0.0","2.2","0.8","1.76","0.0","0.0","0.0","0.0","18.2","86.62","395.02","197.51","376.82","308.4","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","2.0","0.74","0.7","0.0","2.08","0.74","1.54","0.0","0.0","0.0","0.0","19.74","86.62","395.02","197.51","375.28","308.4","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","2.0","0.69","0.7","0.0","2.09","0.7","1.46","0.0","0.0","0.0","0.0","21.21","86.62","395.02","197.51","373.81","308.4","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","2.0","0.65","0.7","0.0","1.81","0.7","1.27","0.0","0.0","0.0","0.0","22.47","86.62","395.02","197.51","372.55","308.4","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","2.0","0.63","0.7","0.0","1.72","0.7","1.2","0.0","0.0","0.0","0.0","23.68","86.62","395.02","197.51","371.34","308.4","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","2.0","0.61","0.7","0.0","1.04","0.7","0.73","0.0","0.0","0.0","0.0","24.41","86.62","395.02","197.51","370.62","308.4","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","2.0","0.59","0.7","0.0","1.75","0.7","1.23","0.0","0.0","0.0","0.0","25.63","86.62","395.02","197.51","369.39","308.4","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","2.0","0.57","0.7","0.0","1.58","0.7","1.11","0.0","0.0","0.0","0.0","26.74","86.62","395.02","197.51","368.28","308.4","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","2.0","0.53","0.7","0.0","2.95","0.7","2.07","0.0","0.0","0.0","0.0","28.8","86.62","395.02","197.51","366.22","308.4","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","2.0","0.5","0.7","0.0","3.55","0.7","2.49","0.0","0.0","0.0","0.0","31.29","86.62","395.02","197.51","363.73","308.4","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","2.0","0.48","0.7","0.0","2.71","0.7","1.9","0.0","0.0","0.0","0.0","33.18","86.62","395.02","197.51","361.84","308.4","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","2.0","0.47","0.7","0.0","2.2","0.7","1.54","0.0","0.0","0.0","0.0","34.72","86.62","395.02","197.51","360.3","308.4","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","2.0","0.45","0.7","0.0","2.91","0.7","2.04","0.0","0.0","0.0","0.0","36.76","86.62","395.02","197.51","358.26","308.4","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","2.0","0.43","0.7","0.0","2.86","0.7","2.0","0.0","0.0","0.0","0.0","38.76","86.62","395.02","197.51","356.26","308.4","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","2.0","0.42","0.7","0.0","2.01","0.7","1.41","0.0","0.0","0.0","0.0","40.17","86.62","395.02","197.51","354.85","308.4","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","2.0","0.41","0.7","0.0","2.51","0.7","1.76","0.25","0.25","0.0","0.0","41.68","86.62","395.02","197.51","353.34","308.4","0.0","","","","","","",""
"2015.0","3.0","2.0","61.0","2.0","0.4","0.7","0.0","2.21","0.7","1.55","0.0","0.0","0.0","0.0","43.22","86.62","395.02","197.51","351.8","308.4","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","2.0","0.39","0.7","0.0","2.53","0.7","1.77","1.19","1.19","0.0","0.0","43.8","86.62","395.02","197.51","351.22","308.4","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","2.0","0.38","0.7","0.0","2.61","0.7","1.83","0.0","0.0","0.0","0.0","45.63","86.62","395.02","197.51","349.39","308.4","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","2.0","0.37","0.7","0.0","2.81","0.7","1.97","0.0","0.0","0.0","0.0","47.6","86.62","395.02","197.51","347.42","308.4","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","2.0","0.36","0.7","0.0","2.99","0.7","2.09","0.0","0.0","0.0","0.0","49.69","86.62","395.02","197.51","345.33","308.4","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","2.0","0.35","0.7","0.0","2.88","0.7","2.02","0.0","0.0","0.0","0.0","51.71","86.62","395.02","197.51","343.31","308.4","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","2.0","0.34","0.7","0.0","2.97","0.7","2.08","0.0","0.0","0.0","0.0","53.79","86.62","395.02","197.51","341.23","308.4","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","2.0","0.34","0.7","0.0","2.92","0.7","2.04","0.0","0.0","0.0","0.0","55.83","86.62","395.02","197.51","339.19","308.4","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","2.0","0.33","0.7","0.0","2.53","0.7","1.77","0.0","0.0","0.0","0.0","57.6","86.62","395.02","197.51","337.42","308.4","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","2.0","0.32","0.7","0.0","2.06","0.7","1.44","1.21","1.21","0.0","0.0","57.83","86.62","395.02","197.51","337.19","308.4","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","2.0","1.09","0.7","0.0","3.36","1.09","3.65","3.33","3.33","0.0","0.0","58.15","86.62","395.02","197.51","336.87","308.4","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","2.0","1.07","0.7","0.0","3.07","1.07","3.29","0.0","0.0","0.0","0.0","61.44","86.62","395.02","197.51","333.58","308.4","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","2.0","0.86","0.7","0.0","3.44","0.86","2.97","0.0","0.0","0.0","0.0","64.41","86.62","395.02","197.51","330.61","308.4","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","2.0","0.73","0.7","0.0","3.99","0.73","2.9","0.0","0.0","0.0","0.0","67.31","86.62","395.02","197.51","327.71","308.4","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","2.0","0.66","0.7","0.0","2.83","0.7","1.98","0.0","0.0","0.0","0.0","69.29","86.62","395.02","197.51","325.73","308.4","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","2.0","0.6","0.7","0.0","3.65","0.7","2.56","0.0","0.0","0.0","0.0","71.84","86.62","395.02","197.51","323.18","308.4","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","2.0","0.55","0.7","0.0","3.82","0.7","2.67","0.0","0.0","0.0","0.0","74.52","86.62","395.02","197.51","320.5","308.4","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","2.0","0.51","0.7","0.0","3.83","0.7","2.68","0.0","0.0","0.0","0.0","77.2","86.62","395.02","197.51","317.82","308.4","0.0","","","","","","",""
"2015.0","3.0","20.0","79.0","2.0","0.48","0.7","0.0","3.23","0.7","2.26","0.0","0.0","0.0","0.0","79.46","86.62","395.02","197.51","315.56","308.4","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","2.0","0.46","0.7","0.0","3.56","0.7","2.49","0.0","0.0","0.0","0.0","81.95","86.62","395.02","197.51","313.07","308.4","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","2.0","0.44","0.7","0.0","3.17","0.7","2.22","0.0","0.0","0.0","0.0","84.17","86.62","395.02","197.51","310.85","308.4","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","2.0","0.42","0.7","0.0","3.21","0.7","2.25","0.72","0.72","0.0","0.0","85.7","86.62","395.02","197.51","309.32","308.4","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","2.0","0.41","0.7","0.0","3.34","0.7","2.34","0.0","0.0","0.0","0.0","0.0","86.62","395.02","197.51","395.02","308.4","88.03","","","","","","",""
"2015.0","3.0","25.0","84.0","2.0","0.39","0.7","0.0","4.1","0.7","2.87","0.0","0.0","0.0","0.0","2.87","86.62","395.02","197.51","392.15","308.4","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","2.0","0.37","0.7","0.0","3.96","0.7","2.77","0.0","0.0","0.0","0.0","5.64","86.62","395.02","197.51","389.38","308.4","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","2.0","0.36","0.7","0.0","4.5","0.7","3.15","0.0","0.0","0.0","0.0","8.79","86.62","395.02","197.51","386.23","308.4","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","2.0","0.34","0.7","0.0","4.95","0.7","3.47","0.0","0.0","0.0","0.0","12.26","86.62","395.02","197.51","382.76","308.4","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","2.0","0.33","0.7","0.0","4.75","0.7","3.33","0.0","0.0","0.0","0.0","15.58","86.62","395.02","197.51","379.44","308.4","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","2.0","0.32","0.7","0.0","4.57","0.7","3.2","0.0","0.0","0.0","0.0","18.78","86.62","395.02","197.51","376.24","308.4","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","2.0","0.31","0.7","0.0","4.69","0.7","3.28","0.0","0.0","0.0","0.0","22.06","86.62","395.02","197.51","372.96","308.4","0.0","","","","","","",""
"2015.0","4.0","1.0","91.0","2.0","0.3","0.7","0.0","4.21","0.7","2.95","0.0","0.0","0.0","0.0","25.01","86.62","395.02","197.51","370.01","308.4","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","2.0","0.29","0.7","0.0","5.44","0.7","3.81","0.0","0.0","0.0","0.0","28.82","86.62","395.02","197.51","366.2","308.4","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","2.0","0.28","0.7","0.0","4.68","0.7","3.28","0.0","0.0","0.0","0.0","32.1","86.62","395.02","197.51","362.93","308.4","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","2.0","0.28","0.7","0.0","4.56","0.7","3.19","0.0","0.0","0.0","0.0","35.29","86.62","395.02","197.51","359.73","308.4","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","2.0","0.27","0.7","0.0","2.58","0.7","1.81","0.04","0.04","0.0","0.0","37.05","86.62","395.02","197.51","357.97","308.4","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","2.0","0.27","0.7","0.0","3.08","0.7","2.16","2.02","2.02","0.0","0.0","37.19","86.62","395.02","197.51","357.83","308.4","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","2.0","1.11","0.7","0.0","2.76","1.11","3.06","4.27","4.27","0.0","0.0","35.98","86.62","395.02","197.51","359.04","308.4","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","2.0","1.1","0.7","0.0","3.05","1.1","3.35","11.21","11.21","0.0","0.0","28.12","86.62","395.02","197.51","366.9","308.4","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","2.0","1.06","0.7","0.0","3.51","1.06","3.72","0.0","0.0","0.0","0.0","31.84","86.62","395.02","197.51","363.18","308.4","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","2.0","0.82","0.7","0.0","4.17","0.82","3.43","0.0","0.0","0.0","0.0","35.27","86.62","395.02","197.51","359.75","308.4","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","2.0","0.69","0.7","0.0","4.35","0.7","3.05","0.0","0.0","0.0","0.0","38.32","86.62","395.02","197.51","356.7","308.4","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","2.0","0.6","0.7","0.0","4.89","0.7","3.42","0.0","0.0","0.0","0.0","41.74","86.62","395.02","197.51","353.28","308.4","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","2.0","0.53","0.7","0.0","5.01","0.7","3.51","0.0","0.0","0.0","0.0","45.25","86.62","395.02","197.51","349.77","308.4","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","2.0","0.49","0.7","0.0","4.99","0.7","3.49","0.0","0.0","0.0","0.0","48.74","86.62","395.02","197.51","346.28","308.4","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","2.0","0.44","0.7","0.0","6.25","0.7","4.38","0.0","0.0","0.0","0.0","53.12","86.62","395.02","197.51","341.9","308.4","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","2.0","0.41","0.7","0.0","5.67","0.7","3.97","0.0","0.0","0.0","0.0","57.09","86.62","395.02","197.51","337.94","308.4","0.0","","","","","","",""
"2015.0","4.0","17.0","107.0","2.0","0.38","0.7","0.0","5.38","0.7","3.77","0.0","0.0","0.0","0.0","60.85","86.62","395.02","197.51","334.17","308.4","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","2.0","0.37","0.7","0.0","4.98","0.7","3.49","0.0","0.0","0.0","0.0","64.34","86.62","395.02","197.51","330.68","308.4","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","2.0","0.35","0.7","0.0","5.17","0.7","3.62","0.0","0.0","0.0","0.0","67.96","86.62","395.02","197.51","327.06","308.4","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","2.0","0.33","0.7","0.0","4.8","0.7","3.36","0.0","0.0","0.0","0.0","71.32","86.62","395.02","197.51","323.7","308.4","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","2.0","0.32","0.7","0.0","3.84","0.7","2.69","0.0","0.0","0.0","0.0","74.0","86.62","395.02","197.51","321.02","308.4","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","2.0","0.32","0.7","0.0","4.05","0.7","2.84","0.0","0.0","0.0","0.0","76.84","86.62","395.02","197.51","318.18","308.4","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","2.0","0.31","0.7","0.0","4.79","0.7","3.35","0.0","0.0","0.0","0.0","80.19","86.62","395.02","197.51","314.83","308.4","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","2.0","0.3","0.7","0.0","5.07","0.7","3.55","0.0","0.0","0.0","0.0","83.74","86.62","395.02","197.51","311.28","308.4","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","2.0","1.06","0.7","0.0","4.03","1.06","4.27","10.88","10.88","0.0","0.0","77.13","86.62","395.02","197.51","317.89","308.4","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","2.0","0.87","0.7","0.0","5.17","0.87","4.51","0.0","0.0","0.0","0.0","81.64","86.62","395.02","197.51","313.38","308.4","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","2.0","0.68","0.7","0.0","5.81","0.7","4.07","0.0","0.0","0.0","0.0","85.71","86.62","395.02","197.51","309.31","308.4","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","2.0","0.58","0.7","0.0","5.63","0.7","3.94","0.0","0.0","0.0","0.0","0.0","86.62","395.02","197.51","395.02","308.4","89.65","","","","","","",""
"2015.0","4.0","29.0","119.0","2.0","0.51","0.7","0.0","5.42","0.7","3.79","0.0","0.0","0.0","0.0","3.79","86.62","395.02","197.51","391.23","308.4","0.0","","","","","","",""
"2015.0","4.0","30.0","120.0","2.0","0.46","0.7","0.0","6.46","0.7","4.52","0.0","0.0","0.0","0.0","8.32","86.62","395.02","197.51","386.7","308.4","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","2.0","0.42","0.7","0.0","6.5","0.7","4.55","0.0","0.0","0.0","0.0","12.87","86.62","395.02","197.51","382.15","308.4","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","2.0","0.39","0.7","0.0","5.93","0.7","4.15","0.0","0.0","0.0","0.0","17.02","86.62","395.02","197.51","378.0","308.4","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","2.0","0.37","0.7","0.0","5.27","0.7","3.69","0.0","0.0","0.0","0.0","20.71","86.62","395.02","197.51","374.31","308.4","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","2.0","0.35","0.7","0.0","4.89","0.7","3.42","0.0","0.0","0.0","0.0","24.13","86.62","395.02","197.51","370.89","308.4","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","2.0","0.34","0.7","0.0","4.9","0.7","3.43","0.0","0.0","0.0","0.0","27.56","86.62","395.02","197.51","367.46","308.4","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","2.0","0.32","0.7","0.0","5.04","0.7","3.53","0.0","0.0","0.0","0.0","31.09","86.62","395.02","197.51","363.93","308.4","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","2.0","0.32","0.7","0.0","3.23","0.7","2.26","0.0","0.0","0.0","0.0","33.35","86.62","395.02","197.51","361.67","308.4","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","2.0","0.31","0.7","0.0","4.37","0.7","3.06","1.13","1.13","0.0","0.0","35.28","86.62","395.02","197.51","359.74","308.4","0.0","","","","","","",""
"2015.0","5.0","9.0","129.0","2.0","0.3","0.7","0.0","4.89","0.7","3.42","0.0","0.0","0.0","0.0","38.7","86.62","395.02","197.51","356.32","308.4","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","2.0","0.29","0.7","0.0","5.25","0.7","3.68","0.0","0.0","0.0","0.0","42.38","86.62","395.02","197.51","352.65","308.4","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","2.0","0.28","0.7","0.0","5.24","0.7","3.67","0.0","0.0","0.0","0.0","46.04","86.62","395.02","197.51","348.98","308.4","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","2.0","0.27","0.7","0.0","5.05","0.7","3.54","0.0","0.0","0.0","0.0","49.58","86.62","395.02","197.51","345.44","308.4","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","2.0","0.26","0.7","0.0","4.75","0.7","3.33","0.0","0.0","0.0","0.0","52.9","86.62","395.02","197.51","342.12","308.4","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","2.0","0.26","0.7","0.0","3.29","0.7","2.3","0.0","0.0","0.0","0.0","55.21","86.62","395.02","197.51","339.81","308.4","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","2.0","0.26","0.7","0.0","4.65","0.7","3.26","1.77","1.77","0.0","0.0","56.69","86.62","395.02","197.51","338.33","308.4","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","2.0","0.25","0.7","0.0","4.81","0.7","3.37","0.0","0.0","0.0","0.0","60.06","86.62","395.02","197.51","334.96","308.4","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","2.0","0.25","0.7","0.0","3.92","0.7","2.74","0.0","0.0","0.0","0.0","62.8","86.62","395.02","197.51","332.22","308.4","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","2.0","0.24","0.7","0.0","4.84","0.7","3.39","0.0","0.0","0.0","0.0","66.19","86.62","395.02","197.51","328.83","308.4","0.0","","","","","","",""
"2015.0","5.0","19.0","139.0","2.0","0.24","0.7","0.0","5.04","0.7","3.53","0.0","0.0","0.0","0.0","69.72","86.62","395.02","197.51","325.3","308.4","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","2.0","0.23","0.7","0.0","4.95","0.7","3.47","0.0","0.0","0.0","0.0","73.18","86.62","395.02","197.51","321.84","308.4","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","2.0","0.23","0.7","0.0","4.01","0.7","2.81","0.0","0.0","0.0","0.0","75.99","86.62","395.02","197.51","319.03","308.4","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","2.0","0.22","0.7","0.0","4.85","0.7","3.4","0.0","0.0","0.0","0.0","79.39","86.62","395.02","197.51","315.64","308.4","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","2.0","0.22","0.7","0.0","4.86","0.7","3.4","0.0","0.0","0.0","0.0","82.79","86.62","395.02","197.51","312.23","308.4","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","2.0","0.22","0.7","0.0","5.54","0.7","3.88","0.0","0.0","0.0","0.0","0.0","86.62","395.02","197.51","395.02","308.4","86.67","","","","","","",""
"2015.0","5.0","25.0","145.0","2.0","0.21","0.7","0.0","5.5","0.7","3.85","0.0","0.0","0.0","0.0","3.85","86.62","395.02","197.51","391.17","308.4","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","2.0","0.21","0.7","0.0","5.52","0.7","3.86","0.0","0.0","0.0","0.0","7.71","86.62","395.02","197.51","387.31","308.4","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","2.0","0.2","0.7","0.0","5.56","0.7","3.89","0.0","0.0","0.0","0.0","11.61","86.62","395.02","197.51","383.41","308.4","0.0","","","","","","",""
"2015.0","5.0","28.0","148.0","2.0","0.2","0.7","0.0","5.42","0.7","3.79","0.0","0.0","0.0","0.0","15.4","86.62","395.02","197.51","379.62","308.4","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","2.0","0.2","0.7","0.0","6.13","0.7","4.29","0.0","0.0","0.0","0.0","19.69","86.62","395.02","197.51","375.33","308.4","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","2.0","0.19","0.7","0.0","6.48","0.7","4.54","0.0","0.0","0.0","0.0","24.23","86.62","395.02","197.51","370.79","308.4","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","2.0","0.19","0.7","0.0","5.44","0.7","3.81","0.0","0.0","0.0","0.0","28.04","86.62","395.02","197.51","366.99","308.4","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","2.0","0.19","0.7","0.0","5.54","0.7","3.88","0.0","0.0","0.0","0.0","31.91","86.62","395.02","197.51","363.11","308.4","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","2.0","0.19","0.7","0.0","5.77","0.7","4.04","0.0","0.0","0.0","0.0","35.95","86.62","395.02","197.51","359.07","308.4","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","2.0","0.18","0.7","0.0","5.57","0.7","3.9","0.0","0.0","0.0","0.0","39.85","86.62","395.02","197.51","355.17","308.4","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","2.0","0.18","0.7","0.0","5.83","0.7","4.08","0.0","0.0","0.0","0.0","43.93","86.62","395.02","197.51","351.09","308.4","0.0","","","","","","",""
"2015.0","6.0","5.0","156.0","2.0","0.18","0.7","0.0","6.52","0.7","4.56","0.0","0.0","0.0","0.0","48.5","86.62","395.02","197.51","346.52","308.4","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","2.0","0.17","0.7","0.0","6.39","0.7","4.47","0.0","0.0","0.0","0.0","52.97","86.62","395.02","197.51","342.05","308.4","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","2.0","0.17","0.7","0.0","6.75","0.7","4.73","0.0","0.0","0.0","0.0","57.69","86.62","395.02","197.51","337.33","308.4","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","2.0","0.17","0.7","0.0","7.39","0.7","5.17","0.0","0.0","0.0","0.0","62.87","86.62","395.02","197.51","332.15","308.4","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","2.0","0.17","0.7","0.0","6.66","0.7","4.66","0.0","0.0","0.0","0.0","67.53","86.62","395.02","197.51","327.49","308.4","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","2.0","0.17","0.7","0.0","3.04","0.7","2.13","0.1","0.1","0.0","0.0","69.56","86.62","395.02","197.51","325.46","308.4","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","2.0","0.16","0.7","0.0","6.89","0.7","4.82","3.61","3.61","0.0","0.0","70.77","86.62","395.02","197.51","324.25","308.4","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","2.0","0.16","0.7","0.0","7.67","0.7","5.37","0.0","0.0","0.0","0.0","76.14","86.62","395.02","197.51","318.88","308.4","0.0","","","","","","",""
"2015.0","6.0","13.0","164.0","2.0","0.16","0.7","0.0","7.55","0.7","5.29","0.0","0.0","0.0","0.0","81.42","86.62","395.02","197.51","313.6","308.4","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","2.0","0.16","0.7","0.0","6.8","0.7","4.76","0.0","0.0","0.0","0.0","86.18","86.62","395.02","197.51","308.84","308.4","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","2.0","0.15","0.7","0.0","6.63","0.7","4.64","0.0","0.0","0.0","0.0","0.0","86.62","395.02","197.51","395.02","308.4","90.83","","","","","","",""
"2015.0","6.0","16.0","167.0","2.0","0.15","0.7","0.0","6.95","0.7","4.87","0.0","0.0","0.0","0.0","4.87","86.62","395.02","197.51","390.16","308.4","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","2.0","0.15","0.7","0.0","6.98","0.7","4.89","0.0","0.0","0.0","0.0","9.75","86.62","395.02","197.51","385.27","308.4","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","2.0","0.15","0.7","0.0","7.54","0.7","5.28","0.0","0.0","0.0","0.0","15.03","86.62","395.02","197.51","379.99","308.4","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","2.0","0.15","0.7","0.0","7.41","0.7","5.19","0.0","0.0","0.0","0.0","20.22","86.62","395.02","197.51","374.8","308.4","0.0","","","","","","",""
"2015.0","6.0","20.0","171.0","2.0","0.15","0.7","0.0","6.95","0.7","4.87","0.0","0.0","0.0","0.0","25.08","86.62","395.02","197.51","369.94","308.4","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","2.0","0.14","0.7","0.0","7.57","0.7","5.3","0.0","0.0","0.0","0.0","30.38","86.62","395.02","197.51","364.64","308.4","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","2.0","0.14","0.7","0.0","7.07","0.7","4.95","0.0","0.0","0.0","0.0","35.33","86.62","395.02","197.51","359.69","308.4","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","2.0","0.14","0.7","0.0","7.35","0.7","5.15","0.0","0.0","0.0","0.0","40.47","86.62","395.02","197.51","354.55","308.4","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","2.0","0.14","0.7","0.0","7.29","0.7","5.1","0.0","0.0","0.0","0.0","45.58","86.62","395.02","197.51","349.44","308.4","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","2.0","0.14","0.7","0.0","7.98","0.7","5.59","0.0","0.0","0.0","0.0","51.16","86.62","395.02","197.51","343.86","308.4","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","2.0","0.14","0.7","0.0","8.25","0.7","5.78","0.0","0.0","0.0","0.0","56.94","86.62","395.02","197.51","338.08","308.4","0.0","","","","","","",""
"2015.0","6.0","27.0","178.0","2.0","0.13","0.7","0.0","6.76","0.7","4.73","0.0","0.0","0.0","0.0","61.67","86.62","395.02","197.51","333.35","308.4","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","2.0","0.13","0.7","0.0","7.21","0.7","5.05","0.0","0.0","0.0","0.0","66.72","86.62","395.02","197.51","328.3","308.4","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","2.0","0.13","0.7","0.0","7.58","0.7","5.31","0.0","0.0","0.0","0.0","72.02","86.62","395.02","197.51","323.0","308.4","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","2.0","0.13","0.7","0.0","7.7","0.7","5.39","0.0","0.0","0.0","0.0","77.41","86.62","395.02","197.51","317.61","308.4","0.0","","","","","","",""
"2015.0","7.0","1.0","182.0","2.0","0.13","0.7","0.0","7.4","0.7","5.18","0.0","0.0","0.0","0.0","82.59","86.62","395.02","197.51","312.43","308.4","0.0","","","","","","",""
"2015.0","7.0","2.0","183.0","2.0","0.13","0.7","0.0","7.05","0.7","4.94","0.0","0.0","0.0","0.0","0.0","86.62","395.02","197.51","395.02","308.4","87.53","","","","","","",""
"2015.0","7.0","3.0","184.0","2.0","0.13","0.7","0.0","7.61","0.7","5.33","0.0","0.0","0.0","0.0","5.33","86.62","395.02","197.51","389.69","308.4","0.0","","","","","","",""
