" Daily soil water balance output for Urban Landscape in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2015.0","2.0","11.0","42.0","7709.0","1.15","0.8","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","3.95","36.46","152.0","76.0","148.05","115.54","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","7709.0","1.02","0.8","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","5.97","36.46","152.0","76.0","146.03","115.54","0.0","","","","","","",""
"2015.0","2.0","13.0","44.0","7709.0","0.9","0.8","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","7.8","36.46","152.0","76.0","144.2","115.54","0.0","","","","","","",""
"2015.0","2.0","14.0","45.0","7709.0","0.81","0.8","0.0","2.18","0.81","1.77","0.0","0.0","0.0","0.0","9.57","36.46","152.0","76.0","142.43","115.54","0.0","","","","","","",""
"2015.0","2.0","15.0","46.0","7709.0","0.75","0.8","0.0","2.08","0.8","1.66","0.0","0.0","0.0","0.0","11.24","36.46","152.0","76.0","140.76","115.54","0.0","","","","","","",""
"2015.0","2.0","16.0","47.0","7709.0","0.7","0.8","0.0","2.18","0.8","1.74","0.0","0.0","0.0","0.0","12.98","36.46","152.0","76.0","139.02","115.54","0.0","","","","","","",""
"2015.0","2.0","17.0","48.0","7709.0","0.66","0.8","0.0","1.84","0.8","1.47","0.0","0.0","0.0","0.0","14.45","36.46","152.0","76.0","137.55","115.54","0.0","","","","","","",""
"2015.0","2.0","18.0","49.0","7709.0","0.63","0.8","0.0","1.59","0.8","1.27","0.0","0.0","0.0","0.0","15.72","36.46","152.0","76.0","136.28","115.54","0.0","","","","","","",""
"2015.0","2.0","19.0","50.0","7709.0","0.62","0.8","0.0","1.06","0.8","0.85","0.0","0.0","0.0","0.0","16.57","36.46","152.0","76.0","135.43","115.54","0.0","","","","","","",""
"2015.0","2.0","20.0","51.0","7709.0","0.59","0.8","0.0","1.88","0.8","1.5","0.0","0.0","0.0","0.0","18.08","36.46","152.0","76.0","133.92","115.54","0.0","","","","","","",""
"2015.0","2.0","21.0","52.0","7709.0","0.57","0.8","0.0","1.63","0.8","1.3","0.0","0.0","0.0","0.0","19.38","36.46","152.0","76.0","132.62","115.54","0.0","","","","","","",""
"2015.0","2.0","22.0","53.0","7709.0","0.53","0.8","0.0","3.48","0.8","2.78","0.0","0.0","0.0","0.0","22.16","36.46","152.0","76.0","129.84","115.54","0.0","","","","","","",""
"2015.0","2.0","23.0","54.0","7709.0","0.49","0.8","0.0","4.09","0.8","3.27","0.0","0.0","0.0","0.0","25.44","36.46","152.0","76.0","126.56","115.54","0.0","","","","","","",""
"2015.0","2.0","24.0","55.0","7709.0","0.47","0.8","0.0","2.78","0.8","2.22","0.0","0.0","0.0","0.0","27.66","36.46","152.0","76.0","124.34","115.54","0.0","","","","","","",""
"2015.0","2.0","25.0","56.0","7709.0","0.46","0.8","0.0","2.16","0.8","1.73","0.0","0.0","0.0","0.0","29.39","36.46","152.0","76.0","122.61","115.54","0.0","","","","","","",""
"2015.0","2.0","26.0","57.0","7709.0","0.44","0.8","0.0","3.01","0.8","2.41","0.0","0.0","0.0","0.0","31.8","36.46","152.0","76.0","120.2","115.54","0.0","","","","","","",""
"2015.0","2.0","27.0","58.0","7709.0","0.43","0.8","0.0","2.86","0.8","2.29","0.0","0.0","0.0","0.0","34.08","36.46","152.0","76.0","117.92","115.54","0.0","","","","","","",""
"2015.0","2.0","28.0","59.0","7709.0","0.42","0.8","0.0","2.01","0.8","1.61","0.0","0.0","0.0","0.0","35.69","36.46","152.0","76.0","116.31","115.54","0.0","","","","","","",""
"2015.0","3.0","1.0","60.0","7709.0","0.4","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","37.77","","","","","","",""
"2015.0","3.0","2.0","61.0","7709.0","0.39","0.8","0.0","2.27","0.8","1.82","0.0","0.0","0.0","0.0","1.82","36.46","152.0","76.0","150.18","115.54","0.0","","","","","","",""
"2015.0","3.0","3.0","62.0","7709.0","0.38","0.8","0.0","2.57","0.8","2.06","0.86","0.86","0.0","0.0","3.01","36.46","152.0","76.0","148.99","115.54","0.0","","","","","","",""
"2015.0","3.0","4.0","63.0","7709.0","0.37","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","5.09","36.46","152.0","76.0","146.91","115.54","0.0","","","","","","",""
"2015.0","3.0","5.0","64.0","7709.0","0.37","0.8","0.0","2.79","0.8","2.23","0.0","0.0","0.0","0.0","7.32","36.46","152.0","76.0","144.68","115.54","0.0","","","","","","",""
"2015.0","3.0","6.0","65.0","7709.0","0.36","0.8","0.0","2.99","0.8","2.39","0.0","0.0","0.0","0.0","9.72","36.46","152.0","76.0","142.28","115.54","0.0","","","","","","",""
"2015.0","3.0","7.0","66.0","7709.0","0.35","0.8","0.0","2.82","0.8","2.26","0.0","0.0","0.0","0.0","11.97","36.46","152.0","76.0","140.03","115.54","0.0","","","","","","",""
"2015.0","3.0","8.0","67.0","7709.0","0.34","0.8","0.0","2.96","0.8","2.37","0.0","0.0","0.0","0.0","14.34","36.46","152.0","76.0","137.66","115.54","0.0","","","","","","",""
"2015.0","3.0","9.0","68.0","7709.0","0.33","0.8","0.0","2.98","0.8","2.38","0.0","0.0","0.0","0.0","16.72","36.46","152.0","76.0","135.28","115.54","0.0","","","","","","",""
"2015.0","3.0","10.0","69.0","7709.0","0.33","0.8","0.0","2.43","0.8","1.94","0.0","0.0","0.0","0.0","18.67","36.46","152.0","76.0","133.33","115.54","0.0","","","","","","",""
"2015.0","3.0","11.0","70.0","7709.0","0.32","0.8","0.0","2.13","0.8","1.7","0.72","0.72","0.0","0.0","19.65","36.46","152.0","76.0","132.35","115.54","0.0","","","","","","",""
"2015.0","3.0","12.0","71.0","7709.0","1.08","0.8","0.0","3.4","1.08","3.69","3.96","3.96","0.0","0.0","19.38","36.46","152.0","76.0","132.62","115.54","0.0","","","","","","",""
"2015.0","3.0","13.0","72.0","7709.0","1.07","0.8","0.0","3.07","1.07","3.28","0.0","0.0","0.0","0.0","22.65","36.46","152.0","76.0","129.35","115.54","0.0","","","","","","",""
"2015.0","3.0","14.0","73.0","7709.0","0.87","0.8","0.0","3.32","0.87","2.88","0.0","0.0","0.0","0.0","25.53","36.46","152.0","76.0","126.47","115.54","0.0","","","","","","",""
"2015.0","3.0","15.0","74.0","7709.0","0.73","0.8","0.0","3.87","0.8","3.1","0.0","0.0","0.0","0.0","28.63","36.46","152.0","76.0","123.37","115.54","0.0","","","","","","",""
"2015.0","3.0","16.0","75.0","7709.0","0.67","0.8","0.0","2.59","0.8","2.07","0.0","0.0","0.0","0.0","30.7","36.46","152.0","76.0","121.3","115.54","0.0","","","","","","",""
"2015.0","3.0","17.0","76.0","7709.0","0.61","0.8","0.0","3.57","0.8","2.86","0.0","0.0","0.0","0.0","33.56","36.46","152.0","76.0","118.44","115.54","0.0","","","","","","",""
"2015.0","3.0","18.0","77.0","7709.0","0.56","0.8","0.0","3.85","0.8","3.08","0.21","0.21","0.0","0.0","36.43","36.46","152.0","76.0","115.57","115.54","0.0","","","","","","",""
"2015.0","3.0","19.0","78.0","7709.0","0.52","0.8","0.0","3.88","0.8","3.1","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","39.53","","","","","","",""
"2015.0","3.0","20.0","79.0","7709.0","0.49","0.8","0.0","3.12","0.8","2.5","0.0","0.0","0.0","0.0","2.5","36.46","152.0","76.0","149.5","115.54","0.0","","","","","","",""
"2015.0","3.0","21.0","80.0","7709.0","0.46","0.8","0.0","3.61","0.8","2.89","0.0","0.0","0.0","0.0","5.38","36.46","152.0","76.0","146.62","115.54","0.0","","","","","","",""
"2015.0","3.0","22.0","81.0","7709.0","0.44","0.8","0.0","3.15","0.8","2.52","0.0","0.0","0.0","0.0","7.9","36.46","152.0","76.0","144.1","115.54","0.0","","","","","","",""
"2015.0","3.0","23.0","82.0","7709.0","0.42","0.8","0.0","3.24","0.8","2.59","0.46","0.46","0.0","0.0","10.04","36.46","152.0","76.0","141.96","115.54","0.0","","","","","","",""
"2015.0","3.0","24.0","83.0","7709.0","0.41","0.8","0.0","3.22","0.8","2.58","0.0","0.0","0.0","0.0","12.61","36.46","152.0","76.0","139.39","115.54","0.0","","","","","","",""
"2015.0","3.0","25.0","84.0","7709.0","0.39","0.8","0.0","4.16","0.8","3.33","0.0","0.0","0.0","0.0","15.94","36.46","152.0","76.0","136.06","115.54","0.0","","","","","","",""
"2015.0","3.0","26.0","85.0","7709.0","0.38","0.8","0.0","3.91","0.8","3.13","0.0","0.0","0.0","0.0","19.07","36.46","152.0","76.0","132.93","115.54","0.0","","","","","","",""
"2015.0","3.0","27.0","86.0","7709.0","0.36","0.8","0.0","4.48","0.8","3.58","0.0","0.0","0.0","0.0","22.65","36.46","152.0","76.0","129.35","115.54","0.0","","","","","","",""
"2015.0","3.0","28.0","87.0","7709.0","0.34","0.8","0.0","4.95","0.8","3.96","0.0","0.0","0.0","0.0","26.61","36.46","152.0","76.0","125.39","115.54","0.0","","","","","","",""
"2015.0","3.0","29.0","88.0","7709.0","0.33","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","30.41","36.46","152.0","76.0","121.59","115.54","0.0","","","","","","",""
"2015.0","3.0","30.0","89.0","7709.0","0.32","0.8","0.0","4.54","0.8","3.63","0.0","0.0","0.0","0.0","34.04","36.46","152.0","76.0","117.96","115.54","0.0","","","","","","",""
"2015.0","3.0","31.0","90.0","7709.0","0.31","0.8","0.0","4.67","0.8","3.74","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","37.78","","","","","","",""
"2015.0","4.0","1.0","91.0","7709.0","0.3","0.8","0.0","4.21","0.8","3.37","0.0","0.0","0.0","0.0","3.37","36.46","152.0","76.0","148.63","115.54","0.0","","","","","","",""
"2015.0","4.0","2.0","92.0","7709.0","0.29","0.8","0.0","5.53","0.8","4.42","0.0","0.0","0.0","0.0","7.79","36.46","152.0","76.0","144.21","115.54","0.0","","","","","","",""
"2015.0","4.0","3.0","93.0","7709.0","0.28","0.8","0.0","4.65","0.8","3.72","0.0","0.0","0.0","0.0","11.51","36.46","152.0","76.0","140.49","115.54","0.0","","","","","","",""
"2015.0","4.0","4.0","94.0","7709.0","0.28","0.8","0.0","4.54","0.8","3.63","0.0","0.0","0.0","0.0","15.14","36.46","152.0","76.0","136.86","115.54","0.0","","","","","","",""
"2015.0","4.0","5.0","95.0","7709.0","0.27","0.8","0.0","2.51","0.8","2.01","0.08","0.08","0.0","0.0","17.07","36.46","152.0","76.0","134.93","115.54","0.0","","","","","","",""
"2015.0","4.0","6.0","96.0","7709.0","0.27","0.8","0.0","2.97","0.8","2.38","2.53","2.53","0.0","0.0","16.92","36.46","152.0","76.0","135.08","115.54","0.0","","","","","","",""
"2015.0","4.0","7.0","97.0","7709.0","0.27","0.8","0.0","2.49","0.8","1.99","3.03","3.03","0.0","0.0","15.88","36.46","152.0","76.0","136.12","115.54","0.0","","","","","","",""
"2015.0","4.0","8.0","98.0","7709.0","1.1","0.8","0.0","2.99","1.1","3.29","14.46","14.46","0.0","0.0","4.71","36.46","152.0","76.0","147.29","115.54","0.0","","","","","","",""
"2015.0","4.0","9.0","99.0","7709.0","1.07","0.8","0.0","3.5","1.07","3.73","0.0","0.0","0.0","0.0","8.44","36.46","152.0","76.0","143.56","115.54","0.0","","","","","","",""
"2015.0","4.0","10.0","100.0","7709.0","0.83","0.8","0.0","4.14","0.83","3.43","0.0","0.0","0.0","0.0","11.87","36.46","152.0","76.0","140.13","115.54","0.0","","","","","","",""
"2015.0","4.0","11.0","101.0","7709.0","0.7","0.8","0.0","4.3","0.8","3.44","0.0","0.0","0.0","0.0","15.31","36.46","152.0","76.0","136.69","115.54","0.0","","","","","","",""
"2015.0","4.0","12.0","102.0","7709.0","0.6","0.8","0.0","4.93","0.8","3.94","0.0","0.0","0.0","0.0","19.25","36.46","152.0","76.0","132.75","115.54","0.0","","","","","","",""
"2015.0","4.0","13.0","103.0","7709.0","0.54","0.8","0.0","5.02","0.8","4.02","0.0","0.0","0.0","0.0","23.27","36.46","152.0","76.0","128.73","115.54","0.0","","","","","","",""
"2015.0","4.0","14.0","104.0","7709.0","0.49","0.8","0.0","4.9","0.8","3.92","0.0","0.0","0.0","0.0","27.19","36.46","152.0","76.0","124.81","115.54","0.0","","","","","","",""
"2015.0","4.0","15.0","105.0","7709.0","0.44","0.8","0.0","6.53","0.8","5.22","0.0","0.0","0.0","0.0","32.41","36.46","152.0","76.0","119.59","115.54","0.0","","","","","","",""
"2015.0","4.0","16.0","106.0","7709.0","0.41","0.8","0.0","5.97","0.8","4.78","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","37.19","","","","","","",""
"2015.0","4.0","17.0","107.0","7709.0","0.38","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","4.28","36.46","152.0","76.0","147.72","115.54","0.0","","","","","","",""
"2015.0","4.0","18.0","108.0","7709.0","0.36","0.8","0.0","4.99","0.8","3.99","0.0","0.0","0.0","0.0","8.27","36.46","152.0","76.0","143.73","115.54","0.0","","","","","","",""
"2015.0","4.0","19.0","109.0","7709.0","0.35","0.8","0.0","5.25","0.8","4.2","0.0","0.0","0.0","0.0","12.47","36.46","152.0","76.0","139.53","115.54","0.0","","","","","","",""
"2015.0","4.0","20.0","110.0","7709.0","0.33","0.8","0.0","4.8","0.8","3.84","0.0","0.0","0.0","0.0","16.31","36.46","152.0","76.0","135.69","115.54","0.0","","","","","","",""
"2015.0","4.0","21.0","111.0","7709.0","0.32","0.8","0.0","3.83","0.8","3.06","0.0","0.0","0.0","0.0","19.38","36.46","152.0","76.0","132.62","115.54","0.0","","","","","","",""
"2015.0","4.0","22.0","112.0","7709.0","0.31","0.8","0.0","4.16","0.8","3.33","0.0","0.0","0.0","0.0","22.7","36.46","152.0","76.0","129.3","115.54","0.0","","","","","","",""
"2015.0","4.0","23.0","113.0","7709.0","0.3","0.8","0.0","4.79","0.8","3.83","0.0","0.0","0.0","0.0","26.54","36.46","152.0","76.0","125.46","115.54","0.0","","","","","","",""
"2015.0","4.0","24.0","114.0","7709.0","0.29","0.8","0.0","5.05","0.8","4.04","0.0","0.0","0.0","0.0","30.58","36.46","152.0","76.0","121.42","115.54","0.0","","","","","","",""
"2015.0","4.0","25.0","115.0","7709.0","1.06","0.8","0.0","4.07","1.06","4.3","12.34","12.34","0.0","0.0","22.54","36.46","152.0","76.0","129.46","115.54","0.0","","","","","","",""
"2015.0","4.0","26.0","116.0","7709.0","0.87","0.8","0.0","5.14","0.87","4.48","0.0","0.0","0.0","0.0","27.02","36.46","152.0","76.0","124.98","115.54","0.0","","","","","","",""
"2015.0","4.0","27.0","117.0","7709.0","0.67","0.8","0.0","6.01","0.8","4.81","0.0","0.0","0.0","0.0","31.83","36.46","152.0","76.0","120.17","115.54","0.0","","","","","","",""
"2015.0","4.0","28.0","118.0","7709.0","0.57","0.8","0.0","5.62","0.8","4.5","0.0","0.0","0.0","0.0","36.32","36.46","152.0","76.0","115.68","115.54","0.0","","","","","","",""
"2015.0","4.0","29.0","119.0","7709.0","0.51","0.8","0.0","5.35","0.8","4.28","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","40.6","","","","","","",""
"2015.0","4.0","30.0","120.0","7709.0","0.46","0.8","0.0","6.46","0.8","5.17","0.0","0.0","0.0","0.0","5.17","36.46","152.0","76.0","146.83","115.54","0.0","","","","","","",""
"2015.0","5.0","1.0","121.0","7709.0","0.41","0.8","0.0","6.52","0.8","5.22","0.0","0.0","0.0","0.0","10.38","36.46","152.0","76.0","141.62","115.54","0.0","","","","","","",""
"2015.0","5.0","2.0","122.0","7709.0","0.39","0.8","0.0","6.03","0.8","4.82","0.0","0.0","0.0","0.0","15.21","36.46","152.0","76.0","136.79","115.54","0.0","","","","","","",""
"2015.0","5.0","3.0","123.0","7709.0","0.37","0.8","0.0","5.29","0.8","4.23","0.0","0.0","0.0","0.0","19.44","36.46","152.0","76.0","132.56","115.54","0.0","","","","","","",""
"2015.0","5.0","4.0","124.0","7709.0","0.35","0.8","0.0","4.85","0.8","3.88","0.0","0.0","0.0","0.0","23.32","36.46","152.0","76.0","128.68","115.54","0.0","","","","","","",""
"2015.0","5.0","5.0","125.0","7709.0","0.34","0.8","0.0","4.86","0.8","3.89","0.0","0.0","0.0","0.0","27.21","36.46","152.0","76.0","124.79","115.54","0.0","","","","","","",""
"2015.0","5.0","6.0","126.0","7709.0","0.32","0.8","0.0","5.17","0.8","4.14","0.0","0.0","0.0","0.0","31.34","36.46","152.0","76.0","120.66","115.54","0.0","","","","","","",""
"2015.0","5.0","7.0","127.0","7709.0","0.31","0.8","0.0","3.74","0.8","2.99","0.12","0.12","0.0","0.0","34.22","36.46","152.0","76.0","117.78","115.54","0.0","","","","","","",""
"2015.0","5.0","8.0","128.0","7709.0","0.3","0.8","0.0","4.45","0.8","3.56","0.04","0.04","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","37.74","","","","","","",""
"2015.0","5.0","9.0","129.0","7709.0","0.29","0.8","0.0","5.02","0.8","4.02","0.0","0.0","0.0","0.0","4.02","36.46","152.0","76.0","147.98","115.54","0.0","","","","","","",""
"2015.0","5.0","10.0","130.0","7709.0","0.29","0.8","0.0","5.24","0.8","4.19","0.0","0.0","0.0","0.0","8.21","36.46","152.0","76.0","143.79","115.54","0.0","","","","","","",""
"2015.0","5.0","11.0","131.0","7709.0","0.28","0.8","0.0","5.2","0.8","4.16","0.0","0.0","0.0","0.0","12.37","36.46","152.0","76.0","139.63","115.54","0.0","","","","","","",""
"2015.0","5.0","12.0","132.0","7709.0","0.27","0.8","0.0","5.04","0.8","4.03","0.0","0.0","0.0","0.0","16.4","36.46","152.0","76.0","135.6","115.54","0.0","","","","","","",""
"2015.0","5.0","13.0","133.0","7709.0","0.26","0.8","0.0","4.75","0.8","3.8","0.0","0.0","0.0","0.0","20.2","36.46","152.0","76.0","131.8","115.54","0.0","","","","","","",""
"2015.0","5.0","14.0","134.0","7709.0","0.26","0.8","0.0","3.53","0.8","2.82","0.0","0.0","0.0","0.0","23.02","36.46","152.0","76.0","128.98","115.54","0.0","","","","","","",""
"2015.0","5.0","15.0","135.0","7709.0","0.25","0.8","0.0","4.69","0.8","3.75","0.41","0.41","0.0","0.0","26.37","36.46","152.0","76.0","125.63","115.54","0.0","","","","","","",""
"2015.0","5.0","16.0","136.0","7709.0","0.25","0.8","0.0","4.83","0.8","3.86","0.0","0.0","0.0","0.0","30.23","36.46","152.0","76.0","121.77","115.54","0.0","","","","","","",""
"2015.0","5.0","17.0","137.0","7709.0","0.24","0.8","0.0","4.03","0.8","3.22","0.0","0.0","0.0","0.0","33.45","36.46","152.0","76.0","118.55","115.54","0.0","","","","","","",""
"2015.0","5.0","18.0","138.0","7709.0","0.24","0.8","0.0","4.74","0.8","3.79","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","37.25","","","","","","",""
"2015.0","5.0","19.0","139.0","7709.0","0.23","0.8","0.0","5.03","0.8","4.02","0.0","0.0","0.0","0.0","4.02","36.46","152.0","76.0","147.98","115.54","0.0","","","","","","",""
"2015.0","5.0","20.0","140.0","7709.0","0.23","0.8","0.0","4.98","0.8","3.98","0.0","0.0","0.0","0.0","8.01","36.46","152.0","76.0","143.99","115.54","0.0","","","","","","",""
"2015.0","5.0","21.0","141.0","7709.0","0.23","0.8","0.0","4.26","0.8","3.41","0.0","0.0","0.0","0.0","11.42","36.46","152.0","76.0","140.58","115.54","0.0","","","","","","",""
"2015.0","5.0","22.0","142.0","7709.0","0.22","0.8","0.0","4.91","0.8","3.93","0.0","0.0","0.0","0.0","15.34","36.46","152.0","76.0","136.66","115.54","0.0","","","","","","",""
"2015.0","5.0","23.0","143.0","7709.0","0.22","0.8","0.0","4.7","0.8","3.76","0.0","0.0","0.0","0.0","19.1","36.46","152.0","76.0","132.9","115.54","0.0","","","","","","",""
"2015.0","5.0","24.0","144.0","7709.0","0.21","0.8","0.0","5.63","0.8","4.5","0.0","0.0","0.0","0.0","23.61","36.46","152.0","76.0","128.39","115.54","0.0","","","","","","",""
"2015.0","5.0","25.0","145.0","7709.0","0.21","0.8","0.0","5.5","0.8","4.4","0.0","0.0","0.0","0.0","28.01","36.46","152.0","76.0","123.99","115.54","0.0","","","","","","",""
"2015.0","5.0","26.0","146.0","7709.0","0.21","0.8","0.0","5.52","0.8","4.42","0.0","0.0","0.0","0.0","32.42","36.46","152.0","76.0","119.58","115.54","0.0","","","","","","",""
"2015.0","5.0","27.0","147.0","7709.0","0.2","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","36.87","","","","","","",""
"2015.0","5.0","28.0","148.0","7709.0","0.2","0.8","0.0","5.44","0.8","4.35","0.0","0.0","0.0","0.0","4.35","36.46","152.0","76.0","147.65","115.54","0.0","","","","","","",""
"2015.0","5.0","29.0","149.0","7709.0","0.2","0.8","0.0","6.1","0.8","4.88","0.0","0.0","0.0","0.0","9.23","36.46","152.0","76.0","142.77","115.54","0.0","","","","","","",""
"2015.0","5.0","30.0","150.0","7709.0","0.19","0.8","0.0","6.43","0.8","5.14","0.0","0.0","0.0","0.0","14.38","36.46","152.0","76.0","137.62","115.54","0.0","","","","","","",""
"2015.0","5.0","31.0","151.0","7709.0","0.19","0.8","0.0","5.4","0.8","4.32","0.0","0.0","0.0","0.0","18.7","36.46","152.0","76.0","133.3","115.54","0.0","","","","","","",""
"2015.0","6.0","1.0","152.0","7709.0","0.19","0.8","0.0","5.46","0.8","4.37","0.0","0.0","0.0","0.0","23.06","36.46","152.0","76.0","128.94","115.54","0.0","","","","","","",""
"2015.0","6.0","2.0","153.0","7709.0","0.18","0.8","0.0","5.75","0.8","4.6","0.0","0.0","0.0","0.0","27.66","36.46","152.0","76.0","124.34","115.54","0.0","","","","","","",""
"2015.0","6.0","3.0","154.0","7709.0","0.18","0.8","0.0","5.49","0.8","4.39","0.0","0.0","0.0","0.0","32.06","36.46","152.0","76.0","119.94","115.54","0.0","","","","","","",""
"2015.0","6.0","4.0","155.0","7709.0","0.18","0.8","0.0","5.89","0.8","4.71","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","36.77","","","","","","",""
"2015.0","6.0","5.0","156.0","7709.0","0.18","0.8","0.0","6.77","0.8","5.42","0.0","0.0","0.0","0.0","5.42","36.46","152.0","76.0","146.58","115.54","0.0","","","","","","",""
"2015.0","6.0","6.0","157.0","7709.0","0.17","0.8","0.0","6.34","0.8","5.07","0.0","0.0","0.0","0.0","10.49","36.46","152.0","76.0","141.51","115.54","0.0","","","","","","",""
"2015.0","6.0","7.0","158.0","7709.0","0.17","0.8","0.0","6.9","0.8","5.52","0.0","0.0","0.0","0.0","16.01","36.46","152.0","76.0","135.99","115.54","0.0","","","","","","",""
"2015.0","6.0","8.0","159.0","7709.0","0.17","0.8","0.0","7.39","0.8","5.91","0.0","0.0","0.0","0.0","21.92","36.46","152.0","76.0","130.08","115.54","0.0","","","","","","",""
"2015.0","6.0","9.0","160.0","7709.0","0.17","0.8","0.0","7.03","0.8","5.62","0.0","0.0","0.0","0.0","27.54","36.46","152.0","76.0","124.46","115.54","0.0","","","","","","",""
"2015.0","6.0","10.0","161.0","7709.0","0.17","0.8","0.0","2.7","0.8","2.16","0.02","0.02","0.0","0.0","29.68","36.46","152.0","76.0","122.32","115.54","0.0","","","","","","",""
"2015.0","6.0","11.0","162.0","7709.0","0.16","0.8","0.0","7.01","0.8","5.61","2.18","2.18","0.0","0.0","33.11","36.46","152.0","76.0","118.89","115.54","0.0","","","","","","",""
"2015.0","6.0","12.0","163.0","7709.0","0.16","0.8","0.0","7.89","0.8","6.31","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","39.42","","","","","","",""
"2015.0","6.0","13.0","164.0","7709.0","0.16","0.8","0.0","7.55","0.8","6.04","0.0","0.0","0.0","0.0","6.04","36.46","152.0","76.0","145.96","115.54","0.0","","","","","","",""
"2015.0","6.0","14.0","165.0","7709.0","0.16","0.8","0.0","6.8","0.8","5.44","0.0","0.0","0.0","0.0","11.48","36.46","152.0","76.0","140.52","115.54","0.0","","","","","","",""
"2015.0","6.0","15.0","166.0","7709.0","0.15","0.8","0.0","6.62","0.8","5.3","0.0","0.0","0.0","0.0","16.78","36.46","152.0","76.0","135.22","115.54","0.0","","","","","","",""
"2015.0","6.0","16.0","167.0","7709.0","0.15","0.8","0.0","6.96","0.8","5.57","0.51","0.51","0.0","0.0","21.83","36.46","152.0","76.0","130.17","115.54","0.0","","","","","","",""
"2015.0","6.0","17.0","168.0","7709.0","0.15","0.8","0.0","6.97","0.8","5.58","0.0","0.0","0.0","0.0","27.41","36.46","152.0","76.0","124.59","115.54","0.0","","","","","","",""
"2015.0","6.0","18.0","169.0","7709.0","0.15","0.8","0.0","7.62","0.8","6.1","0.0","0.0","0.0","0.0","33.51","36.46","152.0","76.0","118.49","115.54","0.0","","","","","","",""
"2015.0","6.0","19.0","170.0","7709.0","0.15","0.8","0.0","7.42","0.8","5.94","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","39.44","","","","","","",""
"2015.0","6.0","20.0","171.0","7709.0","0.14","0.8","0.0","7.06","0.8","5.65","0.0","0.0","0.0","0.0","5.65","36.46","152.0","76.0","146.35","115.54","0.0","","","","","","",""
"2015.0","6.0","21.0","172.0","7709.0","0.14","0.8","0.0","7.62","0.8","6.1","0.0","0.0","0.0","0.0","11.74","36.46","152.0","76.0","140.26","115.54","0.0","","","","","","",""
"2015.0","6.0","22.0","173.0","7709.0","0.14","0.8","0.0","6.99","0.8","5.59","0.0","0.0","0.0","0.0","17.34","36.46","152.0","76.0","134.66","115.54","0.0","","","","","","",""
"2015.0","6.0","23.0","174.0","7709.0","0.14","0.8","0.0","7.4","0.8","5.92","0.0","0.0","0.0","0.0","23.26","36.46","152.0","76.0","128.74","115.54","0.0","","","","","","",""
"2015.0","6.0","24.0","175.0","7709.0","0.14","0.8","0.0","7.41","0.8","5.93","0.0","0.0","0.0","0.0","29.18","36.46","152.0","76.0","122.82","115.54","0.0","","","","","","",""
"2015.0","6.0","25.0","176.0","7709.0","0.14","0.8","0.0","8.0","0.8","6.4","0.0","0.0","0.0","0.0","35.58","36.46","152.0","76.0","116.42","115.54","0.0","","","","","","",""
"2015.0","6.0","26.0","177.0","7709.0","0.13","0.8","0.0","8.37","0.8","6.7","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","42.28","","","","","","",""
"2015.0","6.0","27.0","178.0","7709.0","0.13","0.8","0.0","6.94","0.8","5.55","0.0","0.0","0.0","0.0","5.55","36.46","152.0","76.0","146.45","115.54","0.0","","","","","","",""
"2015.0","6.0","28.0","179.0","7709.0","0.13","0.8","0.0","7.3","0.8","5.84","0.0","0.0","0.0","0.0","11.39","36.46","152.0","76.0","140.61","115.54","0.0","","","","","","",""
"2015.0","6.0","29.0","180.0","7709.0","0.13","0.8","0.0","7.58","0.8","6.06","0.0","0.0","0.0","0.0","17.46","36.46","152.0","76.0","134.54","115.54","0.0","","","","","","",""
"2015.0","6.0","30.0","181.0","7709.0","0.13","0.8","0.0","7.69","0.8","6.15","0.0","0.0","0.0","0.0","23.61","36.46","152.0","76.0","128.39","115.54","0.0","","","","","","",""
